QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,PORTLAND_ACTION,SACRAMENTO_SCORE,PORTLAND_SCORE
2,1:46.0,D. Fox makes 2-pt jump shot from 13 ft,,80,57
2,1:27.0,,A. Simons makes 2-pt jump shot from 9 ft,80,59
2,1:17.0,D. Fox makes 2-pt layup from 1 ft,,82,59
2,1:07.0,,Turnover by M. Leonard (bad pass; steal by M. Bagley),82,59
2,1:03.0,M. Bagley misses 2-pt jump shot from 2 ft,,82,59
2,1:02.0,Offensive rebound by B. Hield,,82,59
2,0:59.0,D. Fox makes 3-pt jump shot from 26 ft (assist by B. Hield),,85,59
2,0:59.0,N. Bjelica enters the game for M. Bagley,,85,59
2,0:59.0,,Z. Collins enters the game for S. Labissière,85,59
2,0:34.0,,G. Trent misses 2-pt jump shot from 11 ft,85,59
2,0:34.0,,Offensive rebound by Team,85,59
2,0:34.0,,Turnover by Team (shot clock),85,59
2,0:30.0,D. Fox makes 2-pt layup from 1 ft,,87,59
2,0:10.0,,A. Simons makes 3-pt jump shot from 25 ft,87,62
2,0:00.0,D. Fox misses 2-pt jump shot from 14 ft,,87,62
2,0:00.0,Offensive rebound by Team,,87,62
3,11:46.0,C. Swanigan misses 2-pt jump shot from 14 ft,,87,62
3,11:43.0,,Defensive rebound by G. Trent,87,62
3,11:31.0,,G. Trent makes 3-pt jump shot from 26 ft (assist by A. Simons),87,65
3,11:16.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,87,65
3,11:12.0,,Defensive rebound by M. Leonard,87,65
3,11:04.0,,M. Leonard misses 3-pt jump shot from 26 ft,87,65
3,11:00.0,Defensive rebound by C. Swanigan,,87,65
3,10:51.0,Personal foul by M. Leonard (drawn by M. Bagley),,87,65
3,10:45.0,Y. Ferrell makes 2-pt jump shot from 12 ft,,89,65
3,10:22.0,,A. Simons misses 3-pt jump shot from 26 ft,89,65
3,10:19.0,Defensive rebound by B. Bogdanović,,89,65
3,10:09.0,Turnover by C. Brewer (bad pass; steal by J. Layman),,89,65
3,10:04.0,,J. Layman makes 2-pt layup from 7 ft,89,67
3,10:04.0,,Shooting foul by C. Brewer (drawn by J. Layman),89,67
3,10:04.0,,J. Layman makes free throw 1 of 1,89,68
3,9:48.0,B. Bogdanović misses 2-pt layup from 1 ft,,89,68
3,9:46.0,,Defensive rebound by J. Layman,89,68
3,9:42.0,,G. Trent misses 3-pt jump shot from 26 ft,89,68
3,9:37.0,,Offensive rebound by S. Labissière,89,68
3,9:37.0,,S. Labissière misses 2-pt layup at rim,89,68
3,9:36.0,Defensive rebound by M. Bagley,,89,68
3,9:33.0,Shooting foul by S. Labissière (drawn by M. Bagley),,89,68
3,9:33.0,M. Bagley makes free throw 1 of 2,,90,68
3,9:33.0,M. Bagley makes free throw 2 of 2,,91,68
3,9:19.0,,Shooting foul by C. Swanigan (drawn by S. Labissière),91,68
3,9:19.0,,S. Labissière makes free throw 1 of 2,91,69
3,9:19.0,,S. Labissière makes free throw 2 of 2,91,70
3,9:09.0,Y. Ferrell makes 2-pt layup from 1 ft,,93,70
3,8:51.0,,Offensive foul by J. Layman (drawn by C. Swanigan),93,70
3,8:51.0,,Turnover by J. Layman (offensive foul),93,70
3,8:35.0,M. Bagley makes 2-pt jump shot from 13 ft,,95,70
3,8:19.0,,Shooting foul by Y. Ferrell (drawn by A. Simons),95,70
3,8:19.0,,A. Simons makes free throw 1 of 2,95,71
3,8:19.0,,A. Simons makes free throw 2 of 2,95,72
3,8:07.0,B. Bogdanović misses 3-pt jump shot from 27 ft,,95,72
3,8:03.0,,Defensive rebound by S. Labissière,95,72
3,8:00.0,,M. Leonard makes 2-pt dunk from 1 ft (assist by A. Simons),95,74
3,7:51.0,B. Bogdanović makes 2-pt jump shot from 17 ft,,97,74
3,7:39.0,,M. Leonard makes 3-pt jump shot from 27 ft (assist by A. Simons),97,77
3,7:23.0,M. Bagley misses 3-pt jump shot from 25 ft,,97,77
3,7:20.0,,Defensive rebound by M. Leonard,97,77
3,7:09.0,,S. Labissière misses 2-pt jump shot from 20 ft,97,77
3,7:06.0,Defensive rebound by M. Bagley,,97,77
3,6:57.0,Y. Ferrell misses 2-pt jump shot from 12 ft,,97,77
3,6:55.0,Offensive rebound by Team,,97,77
3,6:55.0,,Portland full timeout,97,77
3,6:55.0,T. Williams enters the game for C. Swanigan,,97,77
3,6:51.0,Y. Ferrell makes 3-pt jump shot from 25 ft (assist by C. Brewer),,100,77
3,6:36.0,,G. Trent misses 2-pt jump shot from 20 ft,100,77
3,6:34.0,,Offensive rebound by M. Leonard,100,77
3,6:33.0,,M. Leonard makes 2-pt jump shot from 2 ft,100,79
3,6:14.0,Turnover by C. Brewer (traveling),,100,79
3,5:59.0,,Turnover by M. Leonard (bad pass; steal by C. Brewer),100,79
3,5:56.0,M. Bagley misses 2-pt layup from 2 ft (block by G. Trent),,100,79
3,5:56.0,Offensive rebound by Team,,100,79
3,5:56.0,F. Mason enters the game for C. Brewer,,100,79
3,5:47.0,B. Bogdanović misses 2-pt jump shot from 15 ft,,100,79
3,5:40.0,Offensive rebound by F. Mason,,100,79
3,5:40.0,F. Mason misses 2-pt layup from 1 ft,,100,79
3,5:37.0,Offensive rebound by F. Mason,,100,79
3,5:37.0,F. Mason makes 2-pt layup from 1 ft,,102,79
3,5:22.0,,M. Leonard makes 2-pt jump shot from 16 ft (assist by A. Simons),102,81
3,5:07.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,102,81
3,5:04.0,,Defensive rebound by M. Leonard,102,81
3,4:51.0,,S. Labissière makes 2-pt hook shot from 5 ft,102,83
3,4:39.0,Turnover by Y. Ferrell (bad pass; steal by S. Labissière),,102,83
3,4:26.0,,G. Trent makes 2-pt jump shot from 22 ft,102,85
3,4:26.0,,Shooting foul by T. Williams (drawn by G. Trent),102,85
3,4:26.0,Sacramento full timeout,,102,85
3,4:26.0,,G. Trent misses free throw 1 of 1,102,85
3,4:24.0,Defensive rebound by M. Bagley,,102,85
3,4:06.0,T. Williams makes 2-pt jump shot from 6 ft (assist by Y. Ferrell),,104,85
3,3:38.0,,Shooting foul by T. Williams (drawn by J. Layman),104,85
3,3:38.0,,J. Layman makes free throw 1 of 2,104,86
3,3:38.0,,J. Layman misses free throw 2 of 2,104,86
3,3:36.0,Defensive rebound by Team,,104,86
3,3:18.0,Y. Ferrell makes 3-pt jump shot from 25 ft (assist by F. Mason),,107,86
3,2:55.0,,S. Labissière makes 3-pt jump shot from 26 ft,107,89
3,2:45.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,107,89
3,2:41.0,,Defensive rebound by S. Labissière,107,89
3,2:31.0,,S. Labissière makes 2-pt jump shot from 19 ft (assist by A. Simons),107,91
3,2:13.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by Y. Ferrell),,110,91
3,1:56.0,,Offensive foul by S. Labissière (drawn by B. Bogdanović),110,91
3,1:56.0,,Turnover by S. Labissière (offensive foul),110,91
3,1:56.0,C. Swanigan enters the game for M. Bagley,,110,91
3,1:48.0,F. Mason makes 3-pt jump shot from 25 ft,,113,91
3,1:27.0,,G. Trent misses 3-pt jump shot from 27 ft,113,91
3,1:24.0,Defensive rebound by C. Swanigan,,113,91
3,1:19.0,Turnover by F. Mason (bad pass),,113,91
3,1:19.0,,Z. Collins enters the game for S. Labissière,113,91
3,1:05.0,,Personal foul by T. Williams (drawn by Z. Collins),113,91
3,1:05.0,,Z. Collins makes free throw 1 of 2,113,92
3,1:05.0,,Z. Collins makes free throw 2 of 2,113,93
3,0:52.0,F. Mason misses 2-pt jump shot from 20 ft,,113,93
3,0:49.0,Offensive rebound by T. Williams,,113,93
3,0:49.0,T. Williams misses 2-pt layup from 2 ft,,113,93
3,0:49.0,,Defensive rebound by Z. Collins,113,93
3,0:33.0,,J. Layman makes 3-pt jump shot from 29 ft,113,96
3,0:24.0,C. Swanigan misses 3-pt jump shot from 23 ft,,113,96
3,0:22.0,,Defensive rebound by M. Leonard,113,96
3,0:02.0,,A. Simons misses 2-pt layup from 4 ft,113,96
3,0:00.0,,Offensive rebound by Z. Collins,113,96
3,0:00.0,,Z. Collins makes 2-pt layup at rim,113,98
3,0:00.0,,Violation by Team (delay of game),113,98
3,0:00.0,T. Williams misses 3-pt jump shot from 50 ft,,113,98
3,0:00.0,Offensive rebound by Team,,113,98
4,11:44.0,,G. Trent makes 2-pt layup from 1 ft (assist by M. Leonard),113,100
4,11:30.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,113,100
4,11:25.0,Offensive rebound by T. Williams,,113,100
4,11:25.0,T. Williams makes 2-pt layup from 1 ft,,115,100
4,11:16.0,,Personal foul by F. Mason (drawn by G. Trent),115,100
4,11:09.0,,G. Trent makes 2-pt jump shot from 13 ft,115,102
4,10:51.0,Y. Ferrell misses 2-pt jump shot from 16 ft,,115,102
4,10:48.0,,Defensive rebound by A. Simons,115,102
4,10:31.0,,G. Trent misses 2-pt jump shot from 5 ft (block by C. Swanigan),115,102
4,10:31.0,,Offensive rebound by Team,115,102
4,10:31.0,M. Bagley enters the game for Y. Ferrell,,115,102
4,10:31.0,C. Brewer enters the game for C. Swanigan,,115,102
4,10:28.0,,Z. Collins misses 2-pt hook shot from 11 ft,115,102
4,10:24.0,,Offensive rebound by M. Leonard,115,102
4,10:24.0,,M. Leonard makes 2-pt layup at rim,115,104
4,10:13.0,T. Williams misses 2-pt layup from 2 ft,,115,104
4,10:10.0,,Defensive rebound by J. Layman,115,104
4,10:06.0,,M. Leonard makes 2-pt dunk from 2 ft (assist by J. Layman),115,106
4,10:06.0,Sacramento full timeout,,115,106
4,9:51.0,F. Mason makes 2-pt jump shot from 13 ft,,117,106
4,9:51.0,,J. Layman misses 2-pt layup from 3 ft,117,106
4,9:51.0,Defensive rebound by Team,,117,106
4,9:29.0,,Loose ball foul by M. Leonard (drawn by M. Bagley),117,106
4,9:20.0,Turnover by M. Bagley (off goaltending),,117,106
4,9:11.0,,A. Simons makes 3-pt jump shot from 28 ft,117,109
4,8:49.0,Turnover by B. Bogdanović (lost ball; steal by G. Trent),,117,109
4,8:47.0,,G. Trent makes 2-pt layup from 1 ft,117,111
4,8:29.0,Turnover by F. Mason (bad pass),,117,111
4,8:29.0,,S. Labissière enters the game for Z. Collins,117,111
4,8:16.0,,S. Labissière makes 2-pt dunk from 1 ft,117,113
4,8:03.0,F. Mason misses 3-pt jump shot from 26 ft,,117,113
4,8:00.0,,Defensive rebound by J. Layman,117,113
4,7:54.0,,A. Simons makes 3-pt jump shot from 26 ft (assist by J. Layman),117,116
4,7:53.0,Sacramento full timeout,,117,116
4,7:53.0,Y. Ferrell enters the game for T. Williams,,117,116
4,7:43.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,117,116
4,7:40.0,,Defensive rebound by M. Leonard,117,116
4,7:31.0,,M. Leonard misses 2-pt jump shot from 16 ft,117,116
4,7:27.0,Defensive rebound by M. Bagley,,117,116
4,7:19.0,M. Bagley misses 2-pt hook shot from 9 ft,,117,116
4,7:17.0,,Defensive rebound by M. Leonard,117,116
4,7:05.0,,J. Layman makes 2-pt dunk from 1 ft (assist by A. Simons),117,118
4,6:55.0,M. Bagley misses 3-pt jump shot from 25 ft,,117,118
4,6:53.0,,Defensive rebound by S. Labissière,117,118
4,6:36.0,,G. Trent makes 2-pt jump shot from 20 ft,117,120
4,6:26.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,117,120
4,6:23.0,Offensive rebound by Y. Ferrell,,117,120
4,6:22.0,Y. Ferrell misses 3-pt jump shot from 24 ft,,117,120
4,6:19.0,,Defensive rebound by S. Labissière,117,120
4,6:06.0,,Turnover by M. Leonard (lost ball; steal by C. Brewer),117,120
4,6:03.0,Offensive foul by C. Brewer (drawn by G. Trent),,117,120
4,6:03.0,Turnover by C. Brewer (offensive foul),,117,120
4,6:03.0,B. Johnson enters the game for B. Bogdanović,,117,120
4,5:45.0,,M. Leonard makes 2-pt dunk from 1 ft (assist by S. Labissière),117,122
4,5:17.0,F. Mason misses 3-pt jump shot from 26 ft,,117,122
4,5:15.0,,Defensive rebound by S. Labissière,117,122
4,5:01.0,,Offensive foul by G. Trent (drawn by M. Bagley),117,122
4,5:01.0,,Turnover by G. Trent (offensive foul),117,122
4,5:01.0,,Portland full timeout,117,122
4,5:01.0,C. Swanigan enters the game for M. Bagley,,117,122
4,4:41.0,B. Johnson makes 2-pt jump shot from 14 ft,,119,122
4,4:27.0,,J. Layman makes 2-pt layup from 2 ft (assist by M. Leonard),119,124
4,4:16.0,B. Johnson misses 3-pt jump shot from 26 ft,,119,124
4,4:12.0,,Defensive rebound by A. Simons,119,124
4,3:56.0,,S. Labissière makes 2-pt layup from 1 ft,119,126
4,3:44.0,F. Mason misses 2-pt layup from 2 ft,,119,126
4,3:42.0,,Defensive rebound by S. Labissière,119,126
4,3:26.0,,J. Layman makes 2-pt jump shot from 12 ft (assist by G. Trent),119,128
4,3:09.0,F. Mason misses 3-pt jump shot from 26 ft,,119,128
4,3:08.0,,Defensive rebound by S. Labissière,119,128
4,3:08.0,,Portland full timeout,119,128
4,3:01.0,,Turnover by A. Simons (back court),119,128
4,2:49.0,C. Swanigan makes 2-pt jump shot from 10 ft,,121,128
4,2:33.0,,A. Simons misses 2-pt jump shot from 13 ft,121,128
4,2:31.0,,Offensive rebound by A. Simons,121,128
4,2:25.0,,Turnover by J. Layman (bad pass; steal by C. Swanigan),121,128
4,2:20.0,F. Mason makes 2-pt layup from 1 ft (assist by C. Brewer),,123,128
4,2:20.0,Shooting foul by M. Leonard (drawn by F. Mason),,123,128
4,2:20.0,F. Mason misses free throw 1 of 1,,123,128
4,2:17.0,,Defensive rebound by S. Labissière,123,128
4,2:05.0,,A. Simons makes 3-pt jump shot from 23 ft (assist by G. Trent),123,131
4,1:51.0,F. Mason makes 3-pt jump shot from 25 ft,,126,131
4,1:35.0,,Turnover by A. Simons (lost ball; steal by C. Swanigan),126,131
4,1:32.0,Y. Ferrell makes 2-pt layup from 1 ft (assist by C. Brewer),,128,131
4,1:14.0,,G. Trent misses 2-pt jump shot from 9 ft,128,131
4,1:13.0,,Offensive rebound by S. Labissière,128,131
4,1:13.0,,S. Labissière makes 2-pt dunk at rim,128,133
4,1:05.0,F. Mason makes 2-pt layup from 1 ft (assist by C. Swanigan),,130,133
4,1:05.0,Shooting foul by S. Labissière (drawn by F. Mason),,130,133
4,1:05.0,F. Mason makes free throw 1 of 1,,131,133
4,1:05.0,,Portland full timeout,131,133
4,0:50.0,,A. Simons misses 2-pt jump shot from 10 ft,131,133
4,0:48.0,,A. Simons makes 2-pt layup at rim,131,135
4,0:48.0,,Offensive rebound by A. Simons,131,135
