QUARTER,TIME_REMAINING,MINNESOTA_ACTION,INDIANA_ACTION,MINNESOTA_SCORE,INDIANA_SCORE
1,7:53.0,K. Towns makes free throw 1 of 2,,11,10
1,7:53.0,,K. O'Quinn enters the game for M. Turner,11,10
1,7:53.0,K. Towns makes free throw 2 of 2,,12,10
1,7:44.0,,W. Matthews makes 3-pt jump shot from 27 ft (assist by D. Collison),12,13
1,7:30.0,A. Wiggins misses 2-pt jump shot from 16 ft,,12,13
1,7:27.0,,Defensive rebound by K. O'Quinn,12,13
1,7:15.0,,B. Bogdanović makes 2-pt layup at rim (assist by W. Matthews),12,15
1,7:02.0,J. Teague misses 2-pt jump shot from 11 ft,,12,15
1,6:59.0,,Defensive rebound by T. Young,12,15
1,6:48.0,,Indiana full timeout,12,15
1,6:43.0,,Turnover by W. Matthews (traveling),12,15
1,6:33.0,A. Wiggins makes 2-pt dunk from 1 ft,,14,15
1,6:21.0,,B. Bogdanović misses 2-pt jump shot from 9 ft,14,15
1,6:18.0,Defensive rebound by K. Towns,,14,15
1,6:06.0,K. Towns makes 2-pt layup from 1 ft (assist by A. Wiggins),,16,15
1,5:55.0,,Turnover by D. Collison (lost ball; steal by J. Teague),16,15
1,5:51.0,Offensive foul by A. Wiggins (drawn by W. Matthews),,16,15
1,5:51.0,Turnover by A. Wiggins (offensive foul),,16,15
1,5:51.0,T. Jones enters the game for J. Okogie,,16,15
1,5:51.0,D. Rose enters the game for J. Teague,,16,15
1,5:40.0,,K. O'Quinn makes 2-pt jump shot from 18 ft (assist by B. Bogdanović),16,17
1,5:21.0,K. Towns misses 2-pt jump shot from 9 ft,,16,17
1,5:18.0,Offensive rebound by K. Towns,,16,17
1,5:18.0,K. Towns misses 2-pt layup from 1 ft (block by D. Collison),,16,17
1,5:18.0,,Defensive rebound by T. Young,16,17
1,5:03.0,,K. O'Quinn misses 2-pt jump shot from 16 ft,16,17
1,5:00.0,Defensive rebound by K. Towns,,16,17
1,4:54.0,D. Šarić misses 3-pt jump shot from 24 ft,,16,17
1,4:51.0,Offensive rebound by K. Towns,,16,17
1,4:50.0,K. Towns makes 2-pt layup at rim,,18,17
1,4:38.0,,D. Collison misses 2-pt layup from 1 ft,18,17
1,4:36.0,,Offensive rebound by D. Collison,18,17
1,4:35.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,18,17
1,4:32.0,Defensive rebound by A. Wiggins,,18,17
1,4:25.0,Shooting foul by K. O'Quinn (drawn by K. Towns),,18,17
1,4:25.0,K. Towns misses free throw 1 of 3,,18,17
1,4:25.0,Offensive rebound by Team,,18,17
1,4:25.0,K. Towns misses free throw 2 of 3,,18,17
1,4:25.0,Offensive rebound by Team,,18,17
1,4:25.0,T. Gibson enters the game for D. Šarić,,18,17
1,4:25.0,,C. Joseph enters the game for B. Bogdanović,18,17
1,4:25.0,K. Towns makes free throw 3 of 3,,19,17
1,4:14.0,,T. Young makes 2-pt dunk from 1 ft (assist by D. Collison),19,19
1,4:01.0,K. Towns makes 2-pt layup from 1 ft,,21,19
1,4:01.0,Shooting foul by K. O'Quinn (drawn by K. Towns),,21,19
1,4:01.0,K. Bates-Diop enters the game for A. Wiggins,,21,19
1,4:01.0,K. Towns makes free throw 1 of 1,,22,19
1,3:53.0,,Shooting foul by T. Jones (drawn by D. Collison),22,19
1,3:53.0,,D. Collison makes free throw 1 of 2,22,20
1,3:53.0,,D. Collison makes free throw 2 of 2,22,21
1,3:38.0,K. Towns misses 3-pt jump shot from 23 ft,,22,21
1,3:36.0,Offensive rebound by T. Gibson,,22,21
1,3:35.0,T. Gibson makes 2-pt hook shot from 2 ft,,24,21
1,3:25.0,,D. Collison misses 2-pt layup at rim,24,21
1,3:23.0,,Offensive rebound by D. Collison,24,21
1,3:23.0,,D. Collison misses 2-pt layup from 1 ft,24,21
1,3:22.0,Defensive rebound by T. Jones,,24,21
1,3:11.0,K. Towns makes 3-pt jump shot from 26 ft (assist by T. Gibson),,27,21
1,2:55.0,,W. Matthews misses 2-pt jump shot from 17 ft,27,21
1,2:52.0,Defensive rebound by K. Towns,,27,21
1,2:49.0,Turnover by T. Gibson (out of bounds lost ball),,27,21
1,2:49.0,Minnesota full timeout,,27,21
1,2:49.0,,A. Holiday enters the game for D. Collison,27,21
1,2:49.0,,T. Leaf enters the game for W. Matthews,27,21
1,2:49.0,,D. McDermott enters the game for T. Young,27,21
1,2:42.0,,C. Joseph misses 2-pt jump shot from 15 ft,27,21
1,2:39.0,Defensive rebound by T. Jones,,27,21
1,2:15.0,K. Towns misses 2-pt hook shot from 6 ft,,27,21
1,2:12.0,,Defensive rebound by T. Leaf,27,21
1,2:06.0,,A. Holiday misses 2-pt jump shot from 5 ft,27,21
1,2:04.0,Defensive rebound by K. Bates-Diop,,27,21
1,1:58.0,D. Rose makes 2-pt jump shot from 19 ft,,29,21
1,1:41.0,,T. Leaf misses 2-pt jump shot from 8 ft,29,21
1,1:38.0,Defensive rebound by T. Gibson,,29,21
1,1:23.0,K. Towns makes 2-pt jump shot from 5 ft,,31,21
1,1:23.0,Shooting foul by K. O'Quinn (drawn by K. Towns),,31,21
1,1:23.0,,M. Turner enters the game for K. O'Quinn,31,21
1,1:23.0,K. Towns misses free throw 1 of 1,,31,21
1,1:19.0,,Defensive rebound by D. McDermott,31,21
1,1:09.0,,D. McDermott makes 3-pt jump shot from 27 ft (assist by C. Joseph),31,24
1,0:51.0,K. Towns misses 2-pt jump shot from 20 ft,,31,24
1,0:48.0,,Defensive rebound by C. Joseph,31,24
1,0:43.0,,C. Joseph makes 2-pt layup at rim,31,26
1,0:32.0,K. Bates-Diop makes 2-pt layup from 7 ft (assist by K. Towns),,33,26
1,0:26.0,,Turnover by D. McDermott (bad pass; steal by T. Gibson),33,26
1,0:03.0,K. Towns makes 2-pt jump shot from 16 ft,,35,26
1,0:01.0,,Turnover by A. Holiday (lost ball; steal by K. Bates-Diop),35,26
2,11:43.0,K. Towns misses 3-pt jump shot from 25 ft,,35,26
2,11:41.0,,Defensive rebound by T. Leaf,35,26
2,11:19.0,,T. Leaf makes 2-pt hook shot from 9 ft (assist by C. Joseph),35,28
2,11:07.0,T. Gibson misses 2-pt jump shot from 15 ft,,35,28
2,11:04.0,,Defensive rebound by D. McDermott,35,28
2,10:57.0,,D. McDermott misses 2-pt jump shot from 17 ft,35,28
2,10:54.0,Defensive rebound by T. Gibson,,35,28
2,10:39.0,K. Towns misses 2-pt jump shot from 9 ft,,35,28
2,10:36.0,,Defensive rebound by A. Holiday,35,28
2,10:31.0,,T. Leaf makes 2-pt hook shot from 8 ft (assist by D. McDermott),35,30
2,10:16.0,T. Gibson makes 2-pt layup at rim (assist by T. Jones),,37,30
2,10:02.0,,T. Leaf makes 2-pt jump shot from 5 ft (assist by A. Holiday),37,32
2,10:02.0,,Shooting foul by D. Rose (drawn by T. Leaf),37,32
2,10:02.0,A. Tolliver enters the game for K. Bates-Diop,,37,32
2,10:02.0,A. Wiggins enters the game for K. Towns,,37,32
2,10:02.0,,T. Leaf makes free throw 1 of 1,37,33
2,9:51.0,A. Wiggins misses 2-pt layup from 2 ft,,37,33
2,9:49.0,,Defensive rebound by D. McDermott,37,33
2,9:35.0,,A. Holiday misses 2-pt layup from 1 ft,37,33
2,9:33.0,Defensive rebound by T. Gibson,,37,33
2,9:28.0,A. Tolliver makes 3-pt jump shot from 28 ft (assist by T. Jones),,40,33
2,9:28.0,Shooting foul by T. Leaf (drawn by A. Tolliver),,40,33
2,9:28.0,J. Okogie enters the game for D. Rose,,40,33
2,9:28.0,A. Tolliver makes free throw 1 of 1,,41,33
2,9:19.0,,Turnover by M. Turner (out of bounds lost ball),41,33
2,8:57.0,A. Wiggins misses 2-pt layup from 2 ft (block by M. Turner),,41,33
2,8:55.0,,Defensive rebound by C. Joseph,41,33
2,8:52.0,,D. McDermott makes 3-pt jump shot from 27 ft (assist by C. Joseph),41,36
2,8:37.0,Shooting foul by M. Turner (drawn by J. Okogie),,41,36
2,8:37.0,J. Okogie misses free throw 1 of 2,,41,36
2,8:37.0,Offensive rebound by Team,,41,36
2,8:37.0,,T. Young enters the game for M. Turner,41,36
2,8:37.0,J. Okogie makes free throw 2 of 2,,42,36
2,8:25.0,,T. Young misses 3-pt jump shot from 28 ft,42,36
2,8:22.0,Defensive rebound by T. Gibson,,42,36
2,8:10.0,Offensive foul by T. Gibson (drawn by T. Young),,42,36
2,8:10.0,Turnover by T. Gibson (offensive foul),,42,36
2,7:58.0,,A. Holiday misses 2-pt jump shot from 17 ft,42,36
2,7:55.0,Defensive rebound by T. Gibson,,42,36
2,7:52.0,Offensive foul by A. Tolliver (drawn by A. Holiday),,42,36
2,7:52.0,Turnover by A. Tolliver (offensive foul),,42,36
2,7:52.0,,Indiana full timeout,42,36
2,7:43.0,,T. Leaf misses 2-pt layup from 2 ft,42,36
2,7:41.0,Defensive rebound by T. Gibson,,42,36
2,7:26.0,A. Wiggins makes 2-pt layup from 1 ft,,44,36
2,7:26.0,Shooting foul by T. Young (drawn by A. Wiggins),,44,36
2,7:26.0,J. Teague enters the game for T. Jones,,44,36
2,7:26.0,A. Wiggins makes free throw 1 of 1,,45,36
2,7:12.0,,A. Holiday makes 2-pt layup from 1 ft,45,38
2,6:53.0,T. Gibson makes 2-pt layup at rim,,47,38
2,6:36.0,,Turnover by A. Holiday (lost ball; steal by T. Gibson),47,38
2,6:19.0,A. Wiggins makes 2-pt jump shot from 21 ft,,49,38
2,6:09.0,,Personal foul by J. Okogie (drawn by C. Joseph),49,38
2,6:09.0,D. Šarić enters the game for T. Gibson,,49,38
2,6:09.0,,B. Bogdanović enters the game for A. Holiday,49,38
2,6:09.0,,W. Matthews enters the game for D. McDermott,49,38
2,5:59.0,,B. Bogdanović makes 2-pt layup from 3 ft (assist by C. Joseph),49,40
2,5:48.0,A. Tolliver makes 3-pt jump shot from 26 ft (assist by J. Teague),,52,40
2,5:34.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by C. Joseph),52,43
2,5:23.0,Def 3 sec tech foul by Team,,52,43
2,5:23.0,J. Teague misses technical free throw,,52,43
2,5:23.0,Offensive rebound by Team,,52,43
2,5:23.0,,D. Collison enters the game for T. Leaf,52,43
2,5:15.0,A. Tolliver misses 3-pt jump shot from 31 ft,,52,43
2,5:12.0,,Defensive rebound by D. Collison,52,43
2,5:07.0,,C. Joseph makes 3-pt jump shot from 28 ft (assist by T. Young),52,46
2,5:05.0,Minnesota full timeout,,52,46
2,5:05.0,K. Towns enters the game for A. Tolliver,,52,46
2,4:41.0,Turnover by Team (shot clock),,52,46
2,4:28.0,,B. Bogdanović makes 2-pt layup from 3 ft (assist by D. Collison),52,48
2,4:03.0,K. Towns makes 3-pt jump shot from 26 ft (assist by J. Okogie),,55,48
2,3:42.0,,B. Bogdanović misses 2-pt layup from 3 ft (block by D. Šarić),55,48
2,3:39.0,,Offensive rebound by B. Bogdanović,55,48
2,3:37.0,,T. Young makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),55,51
2,3:26.0,K. Towns misses 2-pt jump shot from 15 ft,,55,51
2,3:22.0,Offensive rebound by J. Okogie,,55,51
2,3:22.0,J. Okogie misses 2-pt layup at rim,,55,51
2,3:22.0,Offensive rebound by A. Wiggins,,55,51
2,3:22.0,Shooting foul by W. Matthews (drawn by A. Wiggins),,55,51
2,3:22.0,A. Wiggins makes free throw 1 of 2,,56,51
2,3:22.0,D. Rose enters the game for J. Okogie,,56,51
2,3:22.0,A. Wiggins makes free throw 2 of 2,,57,51
2,3:09.0,,W. Matthews misses 3-pt jump shot from 27 ft,57,51
2,3:05.0,Defensive rebound by D. Rose,,57,51
2,3:02.0,A. Wiggins misses 3-pt jump shot from 27 ft,,57,51
2,2:58.0,Offensive rebound by D. Šarić,,57,51
2,2:45.0,Turnover by K. Towns (bad pass; steal by C. Joseph),,57,51
2,2:42.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by C. Joseph),57,53
2,2:42.0,,Shooting foul by J. Teague (drawn by B. Bogdanović),57,53
2,2:42.0,,B. Bogdanović misses free throw 1 of 1,57,53
2,2:41.0,Defensive rebound by K. Towns,,57,53
2,2:35.0,Turnover by J. Teague (bad pass),,57,53
2,2:29.0,,T. Young makes 3-pt jump shot from 28 ft (assist by D. Collison),57,56
2,2:11.0,A. Wiggins misses 2-pt jump shot from 19 ft,,57,56
2,2:08.0,,Defensive rebound by C. Joseph,57,56
2,2:05.0,,T. Young makes 2-pt layup from 1 ft (assist by C. Joseph),57,58
2,1:43.0,Turnover by J. Teague (lost ball; steal by T. Young),,57,58
2,1:39.0,,W. Matthews misses 3-pt jump shot from 27 ft,57,58
2,1:36.0,,Offensive rebound by C. Joseph,57,58
2,1:33.0,,T. Young makes 3-pt jump shot from 26 ft (assist by C. Joseph),57,61
2,1:22.0,Personal foul by T. Young (drawn by K. Towns),,57,61
2,1:22.0,K. Towns makes free throw 1 of 2,,58,61
2,1:22.0,K. Towns makes free throw 2 of 2,,59,61
2,1:15.0,,B. Bogdanović misses 3-pt jump shot from 28 ft,59,61
2,1:11.0,Defensive rebound by K. Towns,,59,61
2,1:07.0,Turnover by K. Towns (lost ball; steal by T. Young),,59,61
2,1:05.0,,Personal foul by K. Towns (drawn by T. Young),59,61
2,1:05.0,Technical foul by K. Towns,,59,61
2,1:05.0,,B. Bogdanović makes technical free throw,59,62
2,1:05.0,,T. Leaf enters the game for T. Young,59,62
2,0:49.0,,B. Bogdanović misses 2-pt jump shot from 7 ft (block by A. Wiggins),59,62
2,0:47.0,Defensive rebound by A. Wiggins,,59,62
2,0:42.0,A. Wiggins misses 2-pt jump shot from 3 ft (block by T. Leaf),,59,62
2,0:38.0,Offensive rebound by D. Šarić,,59,62
2,0:37.0,Turnover by D. Šarić (bad pass; steal by D. Collison),,59,62
2,0:32.0,,T. Leaf misses 2-pt layup from 1 ft,59,62
2,0:32.0,,B. Bogdanović makes 2-pt layup from 1 ft,59,64
2,0:32.0,,Offensive rebound by B. Bogdanović,59,64
2,0:27.0,Personal foul by T. Leaf (drawn by K. Towns),,59,64
2,0:27.0,K. Towns makes free throw 1 of 2,,60,64
2,0:27.0,T. Gibson enters the game for D. Šarić,,60,64
2,0:27.0,J. Okogie enters the game for J. Teague,,60,64
2,0:27.0,K. Towns misses free throw 2 of 2,,60,64
2,0:26.0,,Defensive rebound by B. Bogdanović,60,64
2,0:04.0,,T. Leaf misses 2-pt hook shot from 7 ft,60,64
2,0:02.0,Defensive rebound by A. Wiggins,,60,64
2,0:01.0,A. Wiggins misses 3-pt jump shot from 43 ft,,60,64
2,0:00.0,Offensive rebound by Team,,60,64
3,11:50.0,Personal foul by D. Collison (drawn by K. Towns),,60,64
3,11:36.0,Turnover by Team (shot clock),,60,64
3,11:21.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by W. Matthews),60,67
3,11:11.0,J. Teague makes 2-pt jump shot from 13 ft,,62,67
3,11:03.0,,Shooting foul by A. Wiggins (drawn by B. Bogdanović),62,67
3,11:03.0,,B. Bogdanović makes free throw 1 of 2,62,68
3,11:03.0,,B. Bogdanović makes free throw 2 of 2,62,69
3,10:50.0,Turnover by J. Teague (traveling),,62,69
3,10:40.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by T. Young),62,72
3,10:22.0,K. Towns makes 2-pt layup from 1 ft,,64,72
3,10:03.0,,Personal foul by K. Towns (drawn by M. Turner),64,72
3,9:59.0,,B. Bogdanović makes 2-pt dunk from 1 ft (assist by T. Young),64,74
3,9:43.0,K. Towns makes 2-pt dunk from 2 ft (assist by J. Teague),,66,74
3,9:27.0,,T. Young misses 3-pt jump shot from 27 ft,66,74
3,9:25.0,Defensive rebound by K. Towns,,66,74
3,9:17.0,Personal foul by T. Young (drawn by J. Teague),,66,74
3,9:08.0,J. Okogie misses 3-pt jump shot from 27 ft,,66,74
3,9:06.0,Offensive rebound by D. Šarić,,66,74
3,9:05.0,D. Šarić makes 2-pt layup from 1 ft,,68,74
3,8:45.0,,D. Collison misses 2-pt jump shot from 16 ft,68,74
3,8:44.0,Defensive rebound by J. Teague,,68,74
3,8:26.0,D. Šarić makes 3-pt jump shot from 23 ft (assist by J. Teague),,71,74
3,8:04.0,,W. Matthews misses 3-pt jump shot from 25 ft,71,74
3,8:01.0,Defensive rebound by D. Šarić,,71,74
3,7:48.0,Personal foul by M. Turner (drawn by D. Šarić),,71,74
3,7:48.0,,T. Leaf enters the game for M. Turner,71,74
3,7:44.0,Shooting foul by D. Collison (drawn by J. Teague),,71,74
3,7:44.0,J. Teague makes free throw 1 of 2,,72,74
3,7:44.0,J. Teague makes free throw 2 of 2,,73,74
3,7:37.0,,Turnover by B. Bogdanović (traveling),73,74
3,7:26.0,Offensive foul by K. Towns (drawn by T. Leaf),,73,74
3,7:26.0,Turnover by K. Towns (offensive foul),,73,74
3,7:08.0,,Personal foul by A. Wiggins (drawn by T. Young),73,74
3,7:01.0,,B. Bogdanović misses 2-pt jump shot from 5 ft,73,74
3,6:59.0,Defensive rebound by J. Okogie,,73,74
3,6:55.0,J. Okogie misses 2-pt layup from 1 ft,,73,74
3,6:52.0,Offensive rebound by J. Teague,,73,74
3,6:47.0,K. Towns makes 2-pt layup from 1 ft,,75,74
3,6:47.0,Technical foul by N. McMillan,,75,74
3,6:47.0,K. Towns makes technical free throw,,76,74
3,6:33.0,,Turnover by W. Matthews (bad pass),76,74
3,6:33.0,,Indiana full timeout,76,74
3,6:24.0,Personal foul by T. Young (drawn by J. Teague),,76,74
3,6:24.0,J. Teague makes free throw 1 of 2,,77,74
3,6:24.0,,K. O'Quinn enters the game for T. Young,77,74
3,6:24.0,J. Teague makes free throw 2 of 2,,78,74
3,6:08.0,,K. O'Quinn makes 2-pt jump shot from 19 ft (assist by D. Collison),78,76
3,5:53.0,A. Wiggins misses 2-pt layup from 2 ft,,78,76
3,5:50.0,,Defensive rebound by D. Collison,78,76
3,5:45.0,,Shooting foul by K. Towns (drawn by T. Leaf),78,76
3,5:45.0,,T. Leaf makes free throw 1 of 2,78,77
3,5:45.0,T. Gibson enters the game for K. Towns,,78,77
3,5:45.0,,T. Leaf makes free throw 2 of 2,78,78
3,5:34.0,T. Gibson makes 2-pt dunk from 3 ft (assist by J. Teague),,80,78
3,5:13.0,,Turnover by D. Collison (traveling),80,78
3,5:05.0,D. Šarić misses 3-pt jump shot from 27 ft,,80,78
3,5:01.0,Offensive rebound by D. Šarić,,80,78
3,4:52.0,J. Teague misses 2-pt jump shot from 7 ft,,80,78
3,4:50.0,Offensive rebound by J. Teague,,80,78
3,4:44.0,Turnover by J. Teague (bad pass; steal by W. Matthews),,80,78
3,4:23.0,,T. Leaf makes 3-pt jump shot from 27 ft (assist by B. Bogdanović),80,81
3,4:11.0,Minnesota full timeout,,80,81
3,4:11.0,T. Jones enters the game for J. Okogie,,80,81
3,4:11.0,D. Rose enters the game for D. Šarić,,80,81
3,4:11.0,A. Tolliver enters the game for J. Teague,,80,81
3,4:01.0,D. Rose misses 2-pt jump shot from 18 ft,,80,81
3,3:58.0,,Defensive rebound by D. Collison,80,81
3,3:39.0,,K. O'Quinn makes 2-pt jump shot from 17 ft (assist by D. Collison),80,83
3,3:27.0,Personal foul by B. Bogdanović (drawn by T. Gibson),,80,83
3,3:27.0,T. Gibson makes free throw 1 of 2,,81,83
3,3:27.0,K. Bates-Diop enters the game for A. Wiggins,,81,83
3,3:27.0,,C. Joseph enters the game for B. Bogdanović,81,83
3,3:27.0,T. Gibson makes free throw 2 of 2,,82,83
3,3:15.0,,K. O'Quinn misses 2-pt jump shot from 17 ft,82,83
3,3:12.0,Defensive rebound by K. Bates-Diop,,82,83
3,3:04.0,K. Bates-Diop misses 3-pt jump shot from 27 ft,,82,83
3,3:01.0,Offensive rebound by T. Gibson,,82,83
3,2:50.0,D. Rose makes 2-pt jump shot from 12 ft,,84,83
3,2:35.0,,Turnover by K. O'Quinn (bad pass),84,83
3,2:23.0,D. Rose makes 2-pt jump shot from 16 ft (assist by T. Jones),,86,83
3,2:09.0,,W. Matthews misses 2-pt jump shot from 12 ft (block by T. Gibson),86,83
3,2:07.0,,Offensive rebound by Team,86,83
3,2:07.0,Loose ball foul by T. Gibson (drawn by W. Matthews),,86,83
3,2:07.0,,W. Matthews makes free throw 1 of 2,86,84
3,2:07.0,,A. Holiday enters the game for D. Collison,86,84
3,2:07.0,,W. Matthews makes free throw 2 of 2,86,85
3,1:44.0,D. Rose misses 2-pt jump shot from 15 ft (block by K. O'Quinn),,86,85
3,1:43.0,Offensive rebound by Team,,86,85
3,1:43.0,Turnover by Team (shot clock),,86,85
3,1:43.0,,D. McDermott enters the game for W. Matthews,86,85
3,1:24.0,,T. Leaf makes 2-pt jump shot from 9 ft (assist by C. Joseph),86,87
3,1:06.0,D. Rose makes 2-pt jump shot from 10 ft,,88,87
3,0:48.0,,K. O'Quinn makes 2-pt layup from 1 ft (assist by C. Joseph),88,89
3,0:48.0,,Shooting foul by T. Gibson (drawn by K. O'Quinn),88,89
3,0:48.0,,K. O'Quinn makes free throw 1 of 1,88,90
3,0:35.0,A. Tolliver misses 3-pt jump shot from 26 ft,,88,90
3,0:32.0,,Defensive rebound by K. O'Quinn,88,90
3,0:15.0,,T. Leaf makes 2-pt layup from 1 ft (assist by C. Joseph),88,92
3,0:01.0,T. Jones makes 2-pt jump shot from 15 ft,,90,92
3,0:01.0,,C. Joseph misses 3-pt jump shot from 39 ft (block by D. Rose),90,92
3,0:00.0,,Offensive rebound by Team,90,92
4,11:46.0,,T. Leaf makes 2-pt layup from 1 ft (assist by C. Joseph),90,94
4,11:31.0,D. Rose makes 2-pt layup from 1 ft,,92,94
4,11:09.0,,T. Leaf misses 2-pt layup from 2 ft,92,94
4,11:07.0,,Offensive rebound by Team,92,94
4,11:07.0,A. Wiggins enters the game for K. Bates-Diop,,92,94
4,11:05.0,,C. Joseph makes 3-pt jump shot from 26 ft (assist by A. Holiday),92,97
4,10:47.0,A. Wiggins makes 2-pt jump shot from 6 ft,,94,97
4,10:22.0,,Shooting foul by T. Gibson (drawn by K. O'Quinn),94,97
4,10:22.0,,K. O'Quinn misses free throw 1 of 2,94,97
4,10:22.0,,Offensive rebound by Team,94,97
4,10:22.0,,K. O'Quinn makes free throw 2 of 2,94,98
4,10:01.0,Shooting foul by K. O'Quinn (drawn by T. Gibson),,94,98
4,10:01.0,T. Gibson misses free throw 1 of 2,,94,98
4,10:01.0,Offensive rebound by Team,,94,98
4,10:01.0,J. Teague enters the game for D. Rose,,94,98
4,10:01.0,,M. Turner enters the game for K. O'Quinn,94,98
4,10:01.0,T. Gibson misses free throw 2 of 2,,94,98
4,9:59.0,,Defensive rebound by T. Leaf,94,98
4,9:45.0,,M. Turner misses 3-pt jump shot from 25 ft,94,98
4,9:41.0,Defensive rebound by J. Teague,,94,98
4,9:27.0,J. Teague makes 2-pt layup from 1 ft,,96,98
4,9:26.0,,Indiana full timeout,96,98
4,9:15.0,,C. Joseph misses 3-pt jump shot from 28 ft,96,98
4,9:12.0,Defensive rebound by T. Jones,,96,98
4,9:00.0,A. Tolliver misses 3-pt jump shot from 29 ft,,96,98
4,8:57.0,Offensive rebound by T. Gibson,,96,98
4,8:54.0,T. Gibson misses 2-pt layup from 2 ft (block by C. Joseph),,96,98
4,8:54.0,,Defensive rebound by C. Joseph,96,98
4,8:47.0,,Shooting foul by A. Tolliver (drawn by D. McDermott),96,98
4,8:47.0,,D. McDermott makes free throw 1 of 3,96,99
4,8:47.0,,D. McDermott makes free throw 2 of 3,96,100
4,8:47.0,,D. McDermott makes free throw 3 of 3,96,101
4,8:47.0,J. Okogie enters the game for T. Gibson,,96,101
4,8:47.0,K. Towns enters the game for T. Jones,,96,101
4,8:47.0,,W. Matthews enters the game for A. Holiday,96,101
4,8:47.0,,T. Young enters the game for T. Leaf,96,101
4,8:36.0,J. Teague misses 2-pt layup from 2 ft (block by M. Turner),,96,101
4,8:33.0,Offensive rebound by K. Towns,,96,101
4,8:32.0,K. Towns makes 2-pt layup from 1 ft,,98,101
4,8:10.0,,T. Young misses 2-pt hook shot from 7 ft,98,101
4,8:07.0,,Offensive rebound by T. Young,98,101
4,8:04.0,,Turnover by D. McDermott (lost ball; steal by J. Okogie),98,101
4,8:01.0,J. Okogie makes 2-pt dunk from 2 ft,,100,101
4,7:45.0,,M. Turner misses 2-pt jump shot from 18 ft,100,101
4,7:42.0,Defensive rebound by A. Tolliver,,100,101
4,7:24.0,J. Teague makes 2-pt layup from 1 ft,,102,101
4,7:22.0,Technical foul by J. Teague,,102,101
4,7:22.0,,W. Matthews makes technical free throw,102,102
4,7:22.0,,B. Bogdanović enters the game for D. McDermott,102,102
4,7:05.0,,Shooting foul by J. Teague (drawn by T. Young),102,102
4,7:05.0,,T. Young makes free throw 1 of 2,102,103
4,7:05.0,,T. Young misses free throw 2 of 2,102,103
4,7:03.0,Defensive rebound by K. Towns,,102,103
4,6:48.0,A. Tolliver makes 3-pt jump shot from 24 ft (assist by K. Towns),,105,103
4,6:31.0,,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by T. Young),105,106
4,6:10.0,A. Tolliver misses 3-pt jump shot from 26 ft,,105,106
4,6:06.0,Offensive rebound by J. Teague,,105,106
4,6:02.0,A. Tolliver misses 2-pt dunk from 2 ft (block by M. Turner),,105,106
4,5:59.0,Offensive rebound by K. Towns,,105,106
4,5:58.0,K. Towns makes 2-pt layup from 1 ft,,107,106
