QUARTER,TIME_REMAINING,PORTLAND_ACTION,WASHINGTON_ACTION,PORTLAND_SCORE,WASHINGTON_SCORE
1,1:02.0,,K. Oubre makes 2-pt dunk from 2 ft (assist by J. Wall),32,21
1,1:01.0,Portland full timeout,,32,21
1,0:43.0,Turnover by N. Stauskas (step out of bounds),,32,21
1,0:35.0,,J. Wall misses 2-pt jump shot from 16 ft,32,21
1,0:32.0,Defensive rebound by E. Turner,,32,21
1,0:21.0,Turnover by A. Simons (lost ball; steal by J. Green),,32,21
1,0:19.0,,J. Wall makes 2-pt layup from 2 ft (assist by J. Green),32,23
1,0:10.0,Personal foul by T. Satoranský (drawn by E. Turner),,32,23
1,0:10.0,D. Lillard enters the game for A. Simons,,32,23
1,0:05.0,Offensive foul by Z. Collins (drawn by J. Green),,32,23
1,0:05.0,Turnover by Z. Collins (offensive foul),,32,23
1,0:05.0,,B. Beal enters the game for T. Satoranský,32,23
1,0:00.0,,J. Wall makes 2-pt jump shot from 14 ft,32,25
2,11:41.0,Turnover by N. Stauskas (bad pass; steal by B. Beal),,32,25
2,11:35.0,,K. Oubre misses 2-pt layup from 4 ft (block by J. Layman),32,25
2,11:31.0,Defensive rebound by A. Simons,,32,25
2,11:27.0,J. Layman misses 3-pt jump shot from 27 ft,,32,25
2,11:23.0,,Defensive rebound by B. Beal,32,25
2,11:12.0,,Personal foul by Z. Collins (drawn by J. Green),32,25
2,11:00.0,,B. Beal makes 2-pt layup from 6 ft,32,27
2,10:46.0,Shooting foul by T. Satoranský (drawn by Z. Collins),,32,27
2,10:46.0,Z. Collins makes free throw 1 of 2,,33,27
2,10:46.0,Z. Collins makes free throw 2 of 2,,34,27
2,10:32.0,,B. Beal misses 2-pt jump shot from 7 ft,34,27
2,10:28.0,,Offensive rebound by J. Green,34,27
2,10:28.0,,J. Green makes 2-pt layup at rim,34,29
2,10:13.0,Z. Collins makes 2-pt layup from 5 ft (assist by E. Turner),,36,29
2,10:13.0,Shooting foul by B. Beal (drawn by Z. Collins),,36,29
2,10:13.0,Z. Collins makes free throw 1 of 1,,37,29
2,9:55.0,,T. Satoranský makes 2-pt layup from 4 ft,37,31
2,9:37.0,E. Turner makes 2-pt layup from 2 ft (assist by Z. Collins),,39,31
2,9:23.0,,K. Oubre misses 3-pt jump shot from 25 ft,39,31
2,9:21.0,,Offensive rebound by J. Green,39,31
2,9:13.0,,J. Green misses 2-pt jump shot from 19 ft,39,31
2,9:11.0,Defensive rebound by Team,,39,31
2,9:01.0,Personal foul by T. Satoranský (drawn by E. Turner),,39,31
2,9:01.0,,J. Wall enters the game for T. Satoranský,39,31
2,8:54.0,A. Simons misses 2-pt layup from 7 ft (block by J. Wall),,39,31
2,8:51.0,,Defensive rebound by B. Beal,39,31
2,8:50.0,,B. Beal makes 3-pt jump shot from 25 ft,39,34
2,8:29.0,E. Turner misses 2-pt layup from 1 ft,,39,34
2,8:29.0,,Defensive rebound by Team,39,34
2,8:29.0,D. Lillard enters the game for A. Simons,,39,34
2,8:29.0,C. McCollum enters the game for N. Stauskas,,39,34
2,8:22.0,,Shooting foul by Z. Collins (drawn by J. Wall),39,34
2,8:22.0,,J. Wall misses free throw 1 of 2,39,34
2,8:22.0,,Offensive rebound by Team,39,34
2,8:22.0,A. Aminu enters the game for Z. Collins,,39,34
2,8:22.0,J. Nurkić enters the game for J. Layman,,39,34
2,8:22.0,,J. Wall misses free throw 2 of 2,39,34
2,8:21.0,Defensive rebound by Team,,39,34
2,8:21.0,,Loose ball foul by B. Beal (drawn by J. Nurkić),39,34
2,8:10.0,E. Turner makes 2-pt dunk from 2 ft,,41,34
2,7:50.0,,B. Beal misses 3-pt jump shot from 24 ft,41,34
2,7:49.0,,Offensive rebound by Team,41,34
2,7:49.0,Loose ball foul by J. Nurkić (drawn by J. Green),,41,34
2,7:42.0,,J. Wall misses 2-pt jump shot from 18 ft,41,34
2,7:39.0,Defensive rebound by J. Nurkić,,41,34
2,7:25.0,D. Lillard misses 2-pt layup from 2 ft (block by B. Beal),,41,34
2,7:25.0,,Defensive rebound by B. Beal,41,34
2,7:14.0,,K. Oubre misses 3-pt jump shot from 26 ft,41,34
2,7:10.0,Defensive rebound by J. Nurkić,,41,34
2,7:05.0,Personal foul by K. Oubre (drawn by D. Lillard),,41,34
2,7:05.0,D. Lillard makes free throw 1 of 2,,42,34
2,7:05.0,,D. Howard enters the game for J. Green,42,34
2,7:05.0,D. Lillard makes free throw 2 of 2,,43,34
2,6:54.0,,Personal foul by E. Turner (drawn by D. Howard),43,34
2,6:54.0,,Washington full timeout,43,34
2,6:46.0,,Turnover by D. Howard (3 sec),43,34
2,6:34.0,J. Nurkić misses 2-pt dunk from 2 ft (block by K. Oubre),,43,34
2,6:31.0,,Defensive rebound by B. Beal,43,34
2,6:26.0,,K. Oubre misses 3-pt jump shot from 28 ft,43,34
2,6:21.0,Defensive rebound by C. McCollum,,43,34
2,6:14.0,E. Turner misses 2-pt jump shot from 17 ft,,43,34
2,6:11.0,,Defensive rebound by D. Howard,43,34
2,6:03.0,,J. Wall misses 2-pt jump shot from 15 ft,43,34
2,6:01.0,Defensive rebound by D. Lillard,,43,34
2,5:54.0,D. Lillard makes 2-pt layup from 1 ft,,45,34
2,5:36.0,,Turnover by D. Howard (lost ball; steal by A. Aminu),45,34
2,5:32.0,A. Aminu misses 2-pt layup from 1 ft (block by J. Wall),,45,34
2,5:32.0,Offensive rebound by Team,,45,34
2,5:32.0,,Loose ball foul by D. Howard (drawn by J. Nurkić),45,34
2,5:32.0,,J. Green enters the game for D. Howard,45,34
2,5:32.0,,O. Porter enters the game for K. Oubre,45,34
2,5:32.0,J. Nurkić misses free throw 1 of 2,,45,34
2,5:32.0,Offensive rebound by Team,,45,34
2,5:32.0,,Violation by Team (delay of game),45,34
2,5:32.0,J. Nurkić misses free throw 2 of 2,,45,34
2,5:30.0,,Defensive rebound by A. Rivers,45,34
2,5:13.0,,Shooting foul by C. McCollum (drawn by B. Beal),45,34
2,5:13.0,,B. Beal makes free throw 1 of 2,45,35
2,5:13.0,,B. Beal makes free throw 2 of 2,45,36
2,5:07.0,C. McCollum makes 2-pt dunk from 2 ft (assist by E. Turner),,47,36
2,4:41.0,,Turnover by Team (shot clock),47,36
2,4:31.0,D. Lillard makes 2-pt jump shot from 18 ft,,49,36
2,4:18.0,,B. Beal misses 3-pt jump shot from 26 ft,49,36
2,4:15.0,Defensive rebound by C. McCollum,,49,36
2,4:08.0,C. McCollum misses 3-pt jump shot from 25 ft,,49,36
2,4:06.0,,Defensive rebound by J. Green,49,36
2,3:56.0,,J. Green misses 3-pt jump shot from 26 ft,49,36
2,3:52.0,Defensive rebound by E. Turner,,49,36
2,3:48.0,D. Lillard makes 2-pt layup from 2 ft (assist by E. Turner),,51,36
2,3:47.0,,Washington full timeout,51,36
2,3:47.0,,K. Oubre enters the game for A. Rivers,51,36
2,3:33.0,,O. Porter misses 2-pt jump shot from 20 ft,51,36
2,3:31.0,Defensive rebound by E. Turner,,51,36
2,3:20.0,D. Lillard makes 3-pt jump shot from 27 ft (assist by J. Nurkić),,54,36
2,3:05.0,,B. Beal misses 3-pt jump shot from 26 ft,54,36
2,3:02.0,,Offensive rebound by J. Green,54,36
2,3:00.0,,O. Porter misses 2-pt jump shot from 19 ft,54,36
2,3:00.0,,Offensive rebound by J. Green,54,36
2,3:00.0,,J. Green makes 2-pt layup at rim,54,38
2,3:00.0,,Shooting foul by D. Lillard (drawn by J. Green),54,38
2,3:00.0,,J. Green makes free throw 1 of 1,54,39
2,2:48.0,C. McCollum makes 2-pt layup from 2 ft (assist by J. Nurkić),,56,39
2,2:29.0,,K. Oubre makes 2-pt jump shot from 3 ft (assist by B. Beal),56,41
2,2:18.0,D. Lillard misses 2-pt dunk from 2 ft,,56,41
2,2:16.0,,Defensive rebound by O. Porter,56,41
2,2:13.0,,Turnover by O. Porter (out of bounds lost ball),56,41
2,1:57.0,Shooting foul by B. Beal (drawn by E. Turner),,56,41
2,1:57.0,E. Turner makes free throw 1 of 2,,57,41
2,1:57.0,,M. Morris enters the game for B. Beal,57,41
2,1:57.0,E. Turner makes free throw 2 of 2,,58,41
2,1:44.0,,J. Wall misses 3-pt jump shot from 26 ft,58,41
2,1:40.0,Defensive rebound by D. Lillard,,58,41
2,1:37.0,C. McCollum misses 3-pt jump shot from 27 ft,,58,41
2,1:33.0,,Defensive rebound by J. Green,58,41
2,1:16.0,,M. Morris misses 3-pt jump shot from 26 ft,58,41
2,1:09.0,Defensive rebound by C. McCollum,,58,41
2,1:00.0,A. Aminu misses 3-pt jump shot from 23 ft,,58,41
2,0:59.0,Offensive rebound by Team,,58,41
2,0:59.0,,Loose ball foul by J. Green (drawn by J. Nurkić),58,41
2,0:59.0,J. Nurkić makes free throw 1 of 2,,59,41
2,0:59.0,J. Nurkić makes free throw 2 of 2,,60,41
2,0:50.0,,J. Green misses 3-pt jump shot from 26 ft,60,41
2,0:47.0,Defensive rebound by J. Nurkić,,60,41
2,0:33.0,D. Lillard misses 3-pt jump shot from 29 ft,,60,41
2,0:30.0,,Defensive rebound by J. Green,60,41
2,0:06.0,,J. Green misses 2-pt jump shot from 22 ft,60,41
2,0:06.0,Defensive rebound by E. Turner,,60,41
2,0:01.0,E. Turner misses 2-pt layup from 2 ft,,60,41
2,0:00.0,Offensive rebound by D. Lillard,,60,41
2,0:00.0,Shooting foul by K. Oubre (drawn by D. Lillard),,60,41
2,0:00.0,D. Lillard makes free throw 1 of 2,,61,41
2,0:00.0,D. Lillard makes free throw 2 of 2,,62,41
3,11:39.0,C. McCollum misses 2-pt jump shot from 20 ft,,62,41
3,11:37.0,,Defensive rebound by O. Porter,62,41
3,11:27.0,,M. Morris misses 2-pt layup from 2 ft,62,41
3,11:25.0,Defensive rebound by A. Aminu,,62,41
3,11:22.0,Shooting foul by M. Morris (drawn by D. Lillard),,62,41
3,11:22.0,D. Lillard misses free throw 1 of 2,,62,41
3,11:22.0,Offensive rebound by Team,,62,41
3,11:22.0,D. Lillard makes free throw 2 of 2,,63,41
3,11:08.0,,M. Morris misses 2-pt jump shot from 15 ft,63,41
3,11:02.0,,Offensive rebound by J. Green,63,41
3,11:02.0,,J. Green misses 2-pt layup from 1 ft,63,41
3,11:02.0,Defensive rebound by A. Aminu,,63,41
3,10:58.0,D. Lillard misses 3-pt jump shot from 26 ft,,63,41
3,10:53.0,,Defensive rebound by M. Morris,63,41
3,10:44.0,,J. Wall makes 2-pt layup from 1 ft,63,43
3,10:35.0,J. Layman misses 3-pt jump shot from 23 ft,,63,43
3,10:33.0,Offensive rebound by A. Aminu,,63,43
3,10:31.0,D. Lillard makes 3-pt jump shot from 27 ft (assist by A. Aminu),,66,43
3,10:14.0,,J. Green makes 2-pt dunk from 3 ft (assist by J. Wall),66,45
3,9:58.0,D. Lillard misses 3-pt jump shot from 27 ft,,66,45
3,9:55.0,,Defensive rebound by M. Morris,66,45
3,9:52.0,,Shooting foul by C. McCollum (drawn by J. Wall),66,45
3,9:52.0,,J. Wall misses free throw 1 of 2,66,45
3,9:52.0,,Offensive rebound by Team,66,45
3,9:52.0,,J. Wall makes free throw 2 of 2,66,46
3,9:37.0,C. McCollum makes 2-pt layup from 1 ft (assist by J. Nurkić),,68,46
3,9:24.0,,B. Beal misses 2-pt jump shot from 12 ft,68,46
3,9:22.0,Defensive rebound by J. Nurkić,,68,46
3,9:14.0,Offensive foul by A. Aminu (drawn by J. Green),,68,46
3,9:14.0,Turnover by A. Aminu (offensive foul),,68,46
3,9:05.0,,Turnover by J. Wall (bad pass; steal by J. Layman),68,46
3,8:56.0,C. McCollum misses 2-pt jump shot from 5 ft,,68,46
3,8:53.0,Offensive rebound by C. McCollum,,68,46
3,8:46.0,J. Nurkić misses 2-pt hook shot from 7 ft,,68,46
3,8:43.0,,Defensive rebound by J. Wall,68,46
3,8:36.0,,J. Wall makes 2-pt layup at rim,68,48
3,8:19.0,J. Layman makes 2-pt hook shot from 7 ft (assist by J. Nurkić),,70,48
3,8:11.0,,Offensive foul by B. Beal (drawn by J. Nurkić),70,48
3,8:11.0,,Turnover by B. Beal (offensive foul),70,48
3,7:53.0,Turnover by D. Lillard (bad pass),,70,48
3,7:42.0,,B. Beal misses 2-pt layup from 2 ft,70,48
3,7:40.0,Defensive rebound by A. Aminu,,70,48
3,7:22.0,,Violation by Team (kicked ball),70,48
3,7:21.0,Offensive foul by J. Layman (drawn by B. Beal),,70,48
3,7:21.0,Turnover by J. Layman (offensive foul),,70,48
3,7:13.0,,J. Wall misses 2-pt jump shot from 15 ft,70,48
3,7:09.0,,Offensive rebound by J. Green,70,48
3,7:08.0,,J. Green misses 2-pt layup from 2 ft,70,48
3,7:08.0,Defensive rebound by A. Aminu,,70,48
3,7:02.0,J. Layman misses 3-pt jump shot from 26 ft,,70,48
3,7:01.0,,Defensive rebound by J. Green,70,48
3,7:01.0,Technical foul by S. Brooks,,70,48
3,7:01.0,D. Lillard makes technical free throw,,71,48
3,6:48.0,,J. Wall makes 2-pt layup from 2 ft,71,50
3,6:32.0,D. Lillard makes 2-pt layup from 2 ft,,73,50
3,6:32.0,Shooting foul by M. Morris (drawn by D. Lillard),,73,50
3,6:32.0,,Washington full timeout,73,50
3,6:32.0,D. Lillard makes free throw 1 of 1,,74,50
3,6:24.0,,O. Porter makes 2-pt jump shot from 13 ft,74,52
3,6:05.0,,Violation by Team (kicked ball),74,52
3,5:57.0,A. Aminu misses 2-pt layup from 5 ft (block by J. Wall),,74,52
3,5:53.0,,Defensive rebound by O. Porter,74,52
3,5:47.0,,J. Wall misses 3-pt jump shot from 25 ft,74,52
3,5:43.0,Defensive rebound by J. Nurkić,,74,52
3,5:37.0,Personal foul by B. Beal (drawn by J. Nurkić),,74,52
3,5:37.0,E. Turner enters the game for J. Layman,,74,52
3,5:37.0,,A. Rivers enters the game for B. Beal,74,52
3,5:29.0,C. McCollum makes 2-pt layup from 3 ft (assist by D. Lillard),,76,52
3,5:24.0,,Shooting foul by E. Turner (drawn by O. Porter),76,52
3,5:24.0,,O. Porter misses free throw 1 of 2,76,52
3,5:24.0,,Offensive rebound by Team,76,52
3,5:24.0,,O. Porter misses free throw 2 of 2,76,52
3,5:23.0,,Offensive rebound by Team,76,52
3,5:17.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by O. Porter),76,55
3,4:58.0,C. McCollum makes 2-pt layup from 7 ft (assist by E. Turner),,78,55
3,4:58.0,Shooting foul by A. Rivers (drawn by C. McCollum),,78,55
3,4:58.0,C. McCollum makes free throw 1 of 1,,79,55
3,4:46.0,,J. Wall makes 3-pt jump shot from 25 ft (assist by O. Porter),79,58
3,4:30.0,D. Lillard misses 2-pt layup from 3 ft (block by O. Porter),,79,58
3,4:28.0,,Defensive rebound by J. Green,79,58
3,4:24.0,,A. Rivers misses 3-pt jump shot from 23 ft,79,58
3,4:20.0,Defensive rebound by D. Lillard,,79,58
3,4:13.0,D. Lillard makes 2-pt layup from 1 ft,,81,58
3,4:05.0,,J. Wall makes 2-pt jump shot from 2 ft,81,60
3,3:43.0,J. Nurkić misses 3-pt jump shot from 26 ft,,81,60
3,3:39.0,Offensive rebound by C. McCollum,,81,60
3,3:39.0,C. McCollum misses 2-pt jump shot from 10 ft,,81,60
3,3:39.0,,Defensive rebound by A. Rivers,81,60
3,3:25.0,,J. Wall misses 2-pt jump shot from 4 ft,81,60
3,3:22.0,Defensive rebound by E. Turner,,81,60
3,3:21.0,Offensive foul by E. Turner (drawn by A. Rivers),,81,60
3,3:21.0,Turnover by E. Turner (offensive foul),,81,60
3,3:21.0,Z. Collins enters the game for J. Nurkić,,81,60
3,3:21.0,,K. Oubre enters the game for J. Green,81,60
3,3:04.0,,Offensive foul by M. Morris (drawn by D. Lillard),81,60
3,3:04.0,,Turnover by M. Morris (offensive foul),81,60
3,3:04.0,Portland full timeout,,81,60
3,3:04.0,,J. Smith enters the game for M. Morris,81,60
3,2:50.0,C. McCollum makes 2-pt layup from 3 ft (assist by Z. Collins),,83,60
3,2:37.0,,J. Smith misses 2-pt jump shot from 13 ft,83,60
3,2:34.0,Defensive rebound by E. Turner,,83,60
3,2:32.0,Offensive foul by Z. Collins (drawn by K. Oubre),,83,60
3,2:32.0,Turnover by Z. Collins (offensive foul),,83,60
3,2:32.0,N. Stauskas enters the game for C. McCollum,,83,60
3,2:23.0,,J. Wall misses 2-pt layup from 4 ft,83,60
3,2:21.0,,Offensive rebound by J. Smith,83,60
3,2:21.0,,J. Smith misses 2-pt layup from 2 ft,83,60
3,2:14.0,Defensive rebound by A. Aminu,,83,60
3,2:14.0,D. Lillard misses 2-pt layup from 2 ft,,83,60
3,2:11.0,Offensive rebound by D. Lillard,,83,60
3,2:11.0,D. Lillard makes 2-pt layup at rim,,85,60
3,2:02.0,,K. Oubre misses 3-pt jump shot from 25 ft,85,60
3,1:59.0,Defensive rebound by Z. Collins,,85,60
3,1:49.0,D. Lillard makes 2-pt layup from 2 ft (assist by E. Turner),,87,60
3,1:45.0,,Turnover by J. Smith (bad pass; steal by D. Lillard),87,60
3,1:45.0,D. Lillard makes 2-pt layup from 2 ft,,89,60
3,1:45.0,Shooting foul by J. Smith (drawn by D. Lillard),,89,60
3,1:45.0,,T. Satoranský enters the game for J. Wall,89,60
3,1:45.0,D. Lillard misses free throw 1 of 1,,89,60
3,1:45.0,,Defensive rebound by J. Smith,89,60
3,1:20.0,,K. Oubre makes 2-pt dunk from 3 ft (assist by T. Satoranský),89,62
3,1:06.0,Turnover by E. Turner (lost ball; steal by T. Satoranský),,89,62
3,1:03.0,,Shooting foul by A. Aminu (drawn by O. Porter),89,62
3,1:03.0,,O. Porter makes free throw 1 of 2,89,63
3,1:03.0,,O. Porter makes free throw 2 of 2,89,64
3,0:51.0,D. Lillard misses 2-pt layup from 15 ft (block by A. Rivers),,89,64
3,0:51.0,,Defensive rebound by Team,89,64
3,0:39.0,,K. Oubre makes 3-pt jump shot from 26 ft (assist by T. Satoranský),89,67
3,0:33.0,Personal foul by A. Rivers (drawn by D. Lillard),,89,67
3,0:33.0,D. Lillard makes free throw 1 of 2,,90,67
3,0:33.0,J. Nurkić enters the game for Z. Collins,,90,67
3,0:33.0,D. Lillard makes free throw 2 of 2,,91,67
3,0:23.0,,O. Porter makes 3-pt jump shot from 24 ft (assist by T. Satoranský),91,70
3,0:05.0,D. Lillard misses 3-pt jump shot from 26 ft,,91,70
3,0:02.0,Offensive rebound by J. Nurkić,,91,70
3,0:02.0,J. Nurkić misses 2-pt layup from 3 ft (block by K. Oubre),,91,70
3,0:02.0,,Defensive rebound by K. Oubre,91,70
4,11:46.0,,O. Porter makes 2-pt dunk from 1 ft (assist by T. Satoranský),91,72
4,11:25.0,N. Stauskas makes 2-pt hook shot from 11 ft,,93,72
4,11:12.0,,K. Oubre misses 2-pt jump shot from 8 ft,93,72
4,11:10.0,,Offensive rebound by K. Oubre,93,72
4,11:09.0,,K. Oubre misses 2-pt layup from 3 ft,93,72
4,11:07.0,Defensive rebound by Z. Collins,,93,72
4,11:00.0,Personal foul by J. Smith (drawn by Z. Collins),,93,72
4,10:52.0,E. Turner makes 2-pt dunk from 2 ft (assist by Z. Collins),,95,72
4,10:35.0,,K. Oubre makes 2-pt layup from 3 ft (assist by J. Smith),95,74
4,10:30.0,,Technical foul by K. Oubre,95,74
4,10:30.0,C. McCollum makes technical free throw,,96,74
4,10:30.0,,T. Brown enters the game for O. Porter,96,74
4,10:14.0,Turnover by Z. Collins (3 sec),,96,74
4,10:06.0,,Offensive foul by J. Smith (drawn by N. Stauskas),96,74
4,10:06.0,,Turnover by J. Smith (offensive foul),96,74
4,9:48.0,J. Layman misses 3-pt jump shot from 24 ft,,96,74
4,9:45.0,Offensive rebound by C. McCollum,,96,74
4,9:34.0,Z. Collins makes 2-pt layup from 2 ft (assist by N. Stauskas),,98,74
4,9:22.0,,Shooting foul by Z. Collins (drawn by K. Oubre),98,74
4,9:22.0,M. Leonard enters the game for Z. Collins,,98,74
4,9:22.0,,K. Oubre makes free throw 1 of 2,98,75
4,9:22.0,,K. Oubre makes free throw 2 of 2,98,76
4,9:11.0,N. Stauskas makes 3-pt jump shot from 26 ft (assist by E. Turner),,101,76
4,8:50.0,,A. Rivers makes 3-pt jump shot from 25 ft (assist by T. Brown),101,79
4,8:32.0,M. Leonard makes 2-pt dunk from 1 ft,,103,79
4,8:18.0,,T. Brown misses 3-pt jump shot from 25 ft,103,79
4,8:16.0,Defensive rebound by M. Leonard,,103,79
4,8:07.0,C. McCollum misses 2-pt jump shot from 19 ft,,103,79
4,8:04.0,,Defensive rebound by T. Satoranský,103,79
4,7:55.0,,T. Brown makes 2-pt layup from 2 ft (assist by T. Satoranský),103,81
4,7:37.0,N. Stauskas misses 2-pt layup from 3 ft,,103,81
4,7:34.0,,Defensive rebound by A. Rivers,103,81
4,7:29.0,,A. Rivers makes 2-pt layup from 2 ft,103,83
4,7:29.0,Portland full timeout,,103,83
4,7:29.0,A. Aminu enters the game for J. Layman,,103,83
4,7:29.0,W. Baldwin enters the game for N. Stauskas,,103,83
4,7:29.0,D. Lillard enters the game for E. Turner,,103,83
4,7:13.0,Offensive foul by W. Baldwin (drawn by J. Smith),,103,83
4,7:13.0,Turnover by W. Baldwin (offensive foul),,103,83
