QUARTER,TIME_REMAINING,DENVER_ACTION,LA LAKERS_ACTION,DENVER_SCORE,LA LAKERS_SCORE
3,8:47.0,Personal foul by L. James (drawn by P. Millsap),,66,69
3,8:40.0,,Violation by Team (kicked ball),66,69
3,8:32.0,N. Jokić makes 3-pt jump shot from 25 ft (assist by P. Millsap),,69,69
3,8:16.0,,K. Kuzma misses 3-pt jump shot from 27 ft,69,69
3,8:12.0,Defensive rebound by J. Murray,,69,69
3,8:04.0,N. Jokić misses 3-pt jump shot from 26 ft,,69,69
3,8:00.0,,Defensive rebound by K. Kuzma,69,69
3,7:48.0,,J. McGee misses 2-pt jump shot from 3 ft,69,69
3,7:44.0,Defensive rebound by T. Craig,,69,69
3,7:33.0,P. Millsap makes 2-pt jump shot from 7 ft,,71,69
3,7:31.0,,LA Lakers full timeout,71,69
3,7:31.0,,J. Williams enters the game for J. McGee,71,69
3,7:18.0,,L. James makes 2-pt layup from 1 ft (assist by L. Ball),71,71
3,7:00.0,Turnover by P. Millsap (bad pass),,71,71
3,6:56.0,,Shooting foul by P. Millsap (drawn by K. Kuzma),71,71
3,6:56.0,,K. Kuzma makes free throw 1 of 2,71,72
3,6:56.0,,K. Kuzma makes free throw 2 of 2,71,73
3,6:37.0,J. Murray misses 2-pt jump shot from 12 ft,,71,73
3,6:36.0,Offensive rebound by Team,,71,73
3,6:36.0,,Loose ball foul by K. Kuzma (drawn by P. Millsap),71,73
3,6:26.0,Turnover by T. Craig (bad pass; steal by L. Ball),,71,73
3,6:13.0,,L. Ball makes 2-pt jump shot from 15 ft,71,75
3,5:59.0,J. Murray misses 3-pt jump shot from 25 ft,,71,75
3,5:58.0,Offensive rebound by N. Jokić,,71,75
3,5:57.0,N. Jokić misses 2-pt layup from 3 ft,,71,75
3,5:55.0,,Defensive rebound by L. James,71,75
3,5:50.0,,Turnover by J. Williams (out of bounds lost ball),71,75
3,5:33.0,P. Millsap misses 2-pt jump shot from 7 ft,,71,75
3,5:30.0,,Defensive rebound by L. James,71,75
3,5:26.0,,K. Kuzma misses 2-pt layup from 1 ft,71,75
3,5:23.0,Defensive rebound by N. Jokić,,71,75
3,5:21.0,G. Harris makes 2-pt layup from 1 ft,,73,75
3,4:53.0,,J. Williams makes 2-pt layup from 1 ft (assist by L. James),73,77
3,4:45.0,Personal foul by J. Hart (drawn by N. Jokić),,73,77
3,4:45.0,M. Morris enters the game for J. Murray,,73,77
3,4:36.0,T. Craig misses 2-pt layup from 3 ft,,73,77
3,4:33.0,,Defensive rebound by J. Williams,73,77
3,4:27.0,,Shooting foul by N. Jokić (drawn by L. James),73,77
3,4:27.0,,L. James makes free throw 1 of 2,73,78
3,4:27.0,,K. Caldwell-Pope enters the game for J. Hart,73,78
3,4:27.0,,L. James makes free throw 2 of 2,73,79
3,4:12.0,N. Jokić makes 2-pt layup from 1 ft,,75,79
3,4:04.0,,K. Kuzma makes 2-pt layup from 1 ft (assist by L. Ball),75,81
3,3:47.0,Shooting foul by J. Williams (drawn by N. Jokić),,75,81
3,3:47.0,N. Jokić makes free throw 1 of 2,,76,81
3,3:47.0,M. Beasley enters the game for T. Craig,,76,81
3,3:47.0,T. Lyles enters the game for P. Millsap,,76,81
3,3:47.0,,L. Stephenson enters the game for L. James,76,81
3,3:47.0,N. Jokić makes free throw 2 of 2,,77,81
3,3:30.0,,K. Kuzma misses 3-pt jump shot from 25 ft,77,81
3,3:26.0,Defensive rebound by M. Beasley,,77,81
3,3:14.0,Shooting foul by L. Ball (drawn by N. Jokić),,77,81
3,3:14.0,N. Jokić makes free throw 1 of 2,,78,81
3,3:14.0,N. Jokić makes free throw 2 of 2,,79,81
3,2:58.0,,J. Williams misses 2-pt hook shot from 6 ft,79,81
3,2:56.0,Defensive rebound by G. Harris,,79,81
3,2:41.0,G. Harris misses 2-pt jump shot from 4 ft,,79,81
3,2:39.0,Offensive rebound by N. Jokić,,79,81
3,2:37.0,N. Jokić makes 2-pt layup from 1 ft,,81,81
3,2:23.0,,L. Ball makes 2-pt layup from 1 ft,81,83
3,2:07.0,M. Morris makes 2-pt layup from 1 ft (assist by N. Jokić),,83,83
3,1:56.0,,Turnover by L. Ball (bad pass; steal by M. Morris),83,83
3,1:53.0,Shooting foul by L. Stephenson (drawn by M. Morris),,83,83
3,1:53.0,M. Morris makes free throw 1 of 2,,84,83
