QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MINNESOTA_ACTION,BROOKLYN_SCORE,MINNESOTA_SCORE
1,5:11.0,Offensive rebound by R. Hollis-Jefferson,,16,18
1,5:01.0,Turnover by D. Russell (lost ball; steal by J. Teague),,16,18
1,4:59.0,,Turnover by J. Teague (bad pass),16,18
1,4:59.0,A. Crabbe enters the game for J. Harris,,16,18
1,4:59.0,,G. Dieng enters the game for D. Rose,16,18
1,4:59.0,,J. Okogie enters the game for K. Towns,16,18
1,4:46.0,C. LeVert makes 2-pt layup from 1 ft,,18,18
1,4:30.0,,J. Okogie makes 2-pt jump shot from 12 ft,18,20
1,4:14.0,D. Russell makes 3-pt jump shot from 25 ft (assist by J. Dudley),,21,20
1,4:06.0,,Shooting foul by C. LeVert (drawn by J. Teague),21,20
1,4:06.0,,J. Teague makes free throw 1 of 2,21,21
1,4:06.0,D. Carroll enters the game for J. Dudley,,21,21
1,4:06.0,E. Davis enters the game for R. Hollis-Jefferson,,21,21
1,4:06.0,S. Dinwiddie enters the game for D. Russell,,21,21
1,4:06.0,,J. Teague makes free throw 2 of 2,21,22
1,3:57.0,A. Crabbe makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),,24,22
1,3:50.0,,Personal foul by C. LeVert (drawn by A. Wiggins),24,22
1,3:41.0,,J. Teague makes 2-pt jump shot from 1 ft,24,24
1,3:41.0,,Shooting foul by S. Dinwiddie (drawn by J. Teague),24,24
1,3:41.0,J. Harris enters the game for C. LeVert,,24,24
1,3:41.0,,A. Tolliver enters the game for T. Gibson,24,24
1,3:41.0,,J. Teague makes free throw 1 of 1,24,25
1,3:26.0,D. Carroll misses 2-pt jump shot from 20 ft,,24,25
1,3:22.0,,Defensive rebound by J. Okogie,24,25
1,3:18.0,,J. Okogie misses 2-pt layup from 3 ft,24,25
1,3:18.0,,Offensive rebound by A. Tolliver,24,25
1,3:09.0,,A. Wiggins makes 3-pt jump shot from 25 ft (assist by J. Teague),24,28
1,2:50.0,A. Crabbe misses 2-pt jump shot from 20 ft,,24,28
1,2:50.0,,Defensive rebound by J. Okogie,24,28
1,2:43.0,,J. Teague misses 3-pt jump shot from 25 ft,24,28
1,2:43.0,Defensive rebound by D. Carroll,,24,28
1,2:27.0,E. Davis misses 2-pt jump shot from 2 ft,,24,28
1,2:26.0,Offensive rebound by E. Davis,,24,28
1,2:24.0,D. Carroll makes 3-pt jump shot from 26 ft (assist by E. Davis),,27,28
1,2:14.0,,A. Tolliver misses 3-pt jump shot from 25 ft,27,28
1,2:14.0,Defensive rebound by D. Carroll,,27,28
1,2:07.0,Offensive foul by D. Carroll (drawn by J. Teague),,27,28
1,2:07.0,Turnover by D. Carroll (offensive foul),,27,28
1,2:07.0,,Minnesota full timeout,27,28
1,2:07.0,,T. Jones enters the game for J. Teague,27,28
1,1:57.0,,A. Wiggins misses 2-pt jump shot from 19 ft,27,28
1,1:54.0,Defensive rebound by E. Davis,,27,28
1,1:47.0,A. Crabbe misses 3-pt jump shot from 25 ft,,27,28
1,1:44.0,,Defensive rebound by A. Tolliver,27,28
1,1:33.0,,G. Dieng misses 2-pt hook shot from 9 ft,27,28
1,1:31.0,,Offensive rebound by Team,27,28
1,1:25.0,,Offensive foul by A. Wiggins (drawn by A. Crabbe),27,28
1,1:25.0,,Turnover by A. Wiggins (offensive foul),27,28
1,1:14.0,J. Harris misses 3-pt jump shot from 24 ft,,27,28
1,1:12.0,,Defensive rebound by A. Wiggins,27,28
1,1:05.0,,T. Jones makes 2-pt jump shot from 9 ft,27,30
1,0:50.0,Shooting foul by G. Dieng (drawn by D. Carroll),,27,30
1,0:50.0,D. Carroll makes free throw 1 of 2,,28,30
1,0:50.0,,D. Rose enters the game for A. Wiggins,28,30
1,0:50.0,D. Carroll makes free throw 2 of 2,,29,30
1,0:40.0,,G. Dieng misses 2-pt jump shot from 15 ft,29,30
1,0:36.0,Defensive rebound by E. Davis,,29,30
1,0:32.0,J. Harris misses 3-pt jump shot from 25 ft,,29,30
1,0:30.0,Offensive rebound by E. Davis,,29,30
1,0:30.0,E. Davis makes 2-pt dunk at rim,,31,30
1,0:10.0,,D. Rose misses 2-pt jump shot from 9 ft,31,30
1,0:06.0,,Offensive rebound by Team,31,30
1,0:00.0,,T. Jones misses 3-pt jump shot from 24 ft,31,30
1,0:00.0,,Offensive rebound by Team,31,30
2,11:45.0,Shooting foul by K. Towns (drawn by E. Davis),,31,30
2,11:45.0,E. Davis misses free throw 1 of 2,,31,30
2,11:45.0,Offensive rebound by Team,,31,30
2,11:45.0,E. Davis makes free throw 2 of 2,,32,30
2,11:34.0,,Turnover by K. Towns (traveling),32,30
2,11:24.0,Turnover by S. Dinwiddie (bad pass; steal by T. Jones),,32,30
2,11:20.0,,D. Rose misses 2-pt layup from 1 ft,32,30
2,11:18.0,Defensive rebound by J. Harris,,32,30
2,11:14.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,32,30
2,11:11.0,,Defensive rebound by T. Jones,32,30
2,11:02.0,,Turnover by A. Tolliver (lost ball; steal by A. Crabbe),32,30
2,10:55.0,A. Crabbe misses 3-pt jump shot from 25 ft,,32,30
2,10:53.0,,Defensive rebound by Team,32,30
2,10:53.0,Loose ball foul by J. Harris (drawn by K. Towns),,32,30
2,10:34.0,,K. Towns makes 2-pt hook shot from 3 ft,32,32
2,10:28.0,J. Harris misses 3-pt jump shot from 25 ft,,32,32
2,10:25.0,,Defensive rebound by K. Towns,32,32
2,10:19.0,,Personal foul by E. Davis (drawn by K. Towns),32,32
2,10:13.0,,Personal foul by E. Davis (drawn by K. Towns),32,32
2,10:01.0,,Personal foul by J. Harris (drawn by J. Okogie),32,32
2,9:58.0,,K. Towns makes 2-pt jump shot from 13 ft (assist by D. Rose),32,34
2,9:29.0,J. Harris misses 2-pt hook shot from 7 ft,,32,34
2,9:27.0,Offensive rebound by E. Davis,,32,34
2,9:25.0,E. Davis makes 2-pt layup from 2 ft,,34,34
2,9:14.0,,D. Rose misses 2-pt jump shot from 21 ft,34,34
2,9:12.0,Defensive rebound by E. Davis,,34,34
2,8:58.0,J. Harris misses 3-pt jump shot from 26 ft,,34,34
2,8:55.0,,Defensive rebound by J. Okogie,34,34
2,8:51.0,,D. Rose makes 2-pt layup from 1 ft (assist by J. Okogie),34,36
2,8:51.0,Brooklyn full timeout,,34,36
2,8:51.0,J. Dudley enters the game for D. Carroll,,34,36
2,8:51.0,,A. Wiggins enters the game for J. Okogie,34,36
2,8:38.0,A. Crabbe misses 2-pt jump shot from 19 ft,,34,36
2,8:38.0,,Defensive rebound by A. Wiggins,34,36
2,8:27.0,,Personal foul by J. Dudley (drawn by A. Wiggins),34,36
2,8:27.0,,A. Wiggins misses free throw 1 of 2,34,36
2,8:27.0,,Offensive rebound by Team,34,36
2,8:27.0,C. LeVert enters the game for J. Harris,,34,36
2,8:27.0,,A. Wiggins makes free throw 2 of 2,34,37
2,8:05.0,A. Crabbe makes 2-pt layup from 1 ft (assist by C. LeVert),,36,37
2,7:50.0,,Turnover by D. Rose (bad pass; steal by S. Dinwiddie),36,37
2,7:41.0,J. Dudley misses 2-pt layup from 3 ft (block by K. Towns),,36,37
2,7:37.0,Offensive rebound by E. Davis,,36,37
2,7:31.0,S. Dinwiddie makes 3-pt jump shot from 26 ft (assist by C. LeVert),,39,37
2,7:13.0,,K. Towns misses 2-pt jump shot from 16 ft,39,37
2,7:09.0,Defensive rebound by J. Dudley,,39,37
2,7:04.0,J. Dudley misses 3-pt jump shot from 25 ft,,39,37
2,7:01.0,,Defensive rebound by A. Tolliver,39,37
2,6:56.0,,Turnover by K. Towns (out of bounds lost ball),39,37
2,6:56.0,D. Russell enters the game for A. Crabbe,,39,37
2,6:56.0,,T. Gibson enters the game for T. Jones,39,37
2,6:56.0,,J. Teague enters the game for A. Tolliver,39,37
2,6:35.0,C. LeVert makes 2-pt dunk from 1 ft,,41,37
2,6:23.0,,A. Wiggins misses 2-pt jump shot from 5 ft,41,37
2,6:22.0,,Offensive rebound by T. Gibson,41,37
2,6:22.0,,T. Gibson misses 2-pt layup from 10 ft,41,37
2,6:21.0,,Offensive rebound by A. Wiggins,41,37
2,6:18.0,,A. Wiggins misses 2-pt layup from 1 ft (block by J. Dudley),41,37
2,6:17.0,,Offensive rebound by T. Gibson,41,37
2,6:16.0,,Shooting foul by J. Dudley (drawn by T. Gibson),41,37
2,6:16.0,,T. Gibson misses free throw 1 of 2,41,37
2,6:16.0,,Offensive rebound by Team,41,37
2,6:16.0,,T. Gibson makes free throw 2 of 2,41,38
2,6:03.0,D. Russell misses 3-pt jump shot from 26 ft,,41,38
2,6:00.0,,Defensive rebound by K. Towns,41,38
2,5:53.0,,K. Towns makes 3-pt jump shot from 26 ft (assist by J. Teague),41,41
2,5:39.0,C. LeVert misses 2-pt jump shot from 6 ft,,41,41
2,5:36.0,,Defensive rebound by T. Gibson,41,41
2,5:29.0,,D. Rose misses 2-pt jump shot from 8 ft,41,41
2,5:25.0,Defensive rebound by E. Davis,,41,41
2,5:17.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,41,41
2,5:14.0,Offensive rebound by E. Davis,,41,41
2,5:12.0,C. LeVert misses 2-pt jump shot from 5 ft,,41,41
2,5:11.0,Offensive rebound by C. LeVert,,41,41
2,5:08.0,S. Dinwiddie misses 3-pt jump shot from 22 ft,,41,41
2,5:06.0,Offensive rebound by C. LeVert,,41,41
2,5:03.0,D. Russell makes 3-pt jump shot from 25 ft (assist by J. Dudley),,44,41
2,5:02.0,,Minnesota full timeout,44,41
2,5:02.0,R. Hollis-Jefferson enters the game for E. Davis,,44,41
2,4:54.0,,A. Wiggins makes 3-pt jump shot from 23 ft (assist by K. Towns),44,44
2,4:39.0,C. LeVert makes 2-pt layup from 2 ft (assist by D. Russell),,46,44
2,4:25.0,,Turnover by A. Wiggins (bad pass; steal by R. Hollis-Jefferson),46,44
2,4:21.0,C. LeVert misses 2-pt dunk at rim,,46,44
2,4:19.0,,Defensive rebound by K. Towns,46,44
2,4:12.0,,J. Teague misses 2-pt layup from 5 ft,46,44
2,4:08.0,Defensive rebound by C. LeVert,,46,44
2,3:57.0,D. Russell makes 3-pt jump shot from 24 ft (assist by C. LeVert),,49,44
2,3:45.0,,Turnover by J. Teague (bad pass),49,44
2,3:45.0,D. Carroll enters the game for J. Dudley,,49,44
2,3:34.0,R. Hollis-Jefferson misses 2-pt layup from 3 ft,,49,44
2,3:33.0,,Defensive rebound by A. Wiggins,49,44
2,3:26.0,,T. Gibson makes 2-pt dunk from 1 ft (assist by A. Wiggins),49,46
2,3:15.0,D. Russell makes 2-pt jump shot from 6 ft,,51,46
2,3:15.0,Shooting foul by J. Teague (drawn by D. Russell),,51,46
2,3:15.0,D. Russell misses free throw 1 of 1,,51,46
2,3:13.0,,Defensive rebound by T. Gibson,51,46
2,3:09.0,,J. Teague makes 2-pt layup from 1 ft,51,48
2,2:57.0,Personal foul by J. Teague (drawn by D. Russell),,51,48
2,2:51.0,D. Russell misses 2-pt jump shot from 19 ft,,51,48
2,2:48.0,,Defensive rebound by K. Towns,51,48
2,2:48.0,,T. Jones enters the game for J. Teague,51,48
2,2:27.0,,K. Towns misses 2-pt jump shot from 19 ft,51,48
2,2:22.0,Defensive rebound by D. Russell,,51,48
2,2:13.0,D. Carroll misses 3-pt jump shot from 23 ft,,51,48
2,2:10.0,,Defensive rebound by A. Wiggins,51,48
2,1:53.0,,D. Rose misses 2-pt layup from 4 ft (block by R. Hollis-Jefferson),51,48
2,1:53.0,,Offensive rebound by Team,51,48
2,1:50.0,,A. Wiggins misses 2-pt jump shot from 3 ft,51,48
2,1:48.0,Defensive rebound by R. Hollis-Jefferson,,51,48
2,1:37.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by D. Russell),,53,48
2,1:29.0,,D. Rose makes 2-pt layup from 1 ft,53,50
2,1:16.0,C. LeVert misses 3-pt jump shot from 25 ft,,53,50
2,1:14.0,,Defensive rebound by K. Towns,53,50
2,1:11.0,,T. Gibson makes 2-pt layup from 1 ft (assist by K. Towns),53,52
2,0:53.0,D. Carroll misses 3-pt jump shot from 25 ft,,53,52
2,0:50.0,,Defensive rebound by K. Towns,53,52
2,0:43.0,,T. Gibson misses 2-pt layup from 1 ft,53,52
2,0:43.0,,Offensive rebound by K. Towns,53,52
2,0:43.0,,K. Towns makes 2-pt dunk from 1 ft,53,54
2,0:34.0,Shooting foul by T. Gibson (drawn by D. Russell),,53,54
2,0:34.0,D. Russell misses free throw 1 of 2,,53,54
2,0:34.0,Offensive rebound by Team,,53,54
2,0:34.0,D. Russell misses free throw 2 of 2,,53,54
2,0:33.0,,Defensive rebound by K. Towns,53,54
2,0:29.0,,Shooting foul by D. Russell (drawn by D. Rose),53,54
2,0:29.0,,D. Rose makes free throw 1 of 2,53,55
2,0:29.0,,G. Dieng enters the game for K. Towns,53,55
2,0:29.0,,J. Okogie enters the game for A. Wiggins,53,55
2,0:29.0,,D. Rose makes free throw 2 of 2,53,56
2,0:10.0,C. LeVert misses 3-pt jump shot from 25 ft,,53,56
2,0:07.0,,Defensive rebound by J. Okogie,53,56
2,0:03.0,,Shooting foul by C. LeVert (drawn by J. Okogie),53,56
2,0:03.0,A. Crabbe enters the game for C. LeVert,,53,56
2,0:03.0,,J. Okogie misses free throw 1 of 2,53,56
2,0:03.0,,Offensive rebound by Team,53,56
2,0:03.0,,C. Williams enters the game for G. Dieng,53,56
2,0:03.0,,J. Okogie makes free throw 2 of 2,53,57
3,11:47.0,J. Harris makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),,56,57
3,11:22.0,,Turnover by K. Towns (traveling),56,57
3,11:03.0,D. Russell misses 2-pt jump shot from 12 ft,,56,57
3,11:00.0,,Defensive rebound by K. Towns,56,57
3,10:57.0,,Shooting foul by J. Dudley (drawn by T. Gibson),56,57
3,10:57.0,,T. Gibson makes free throw 1 of 2,56,58
3,10:57.0,,T. Gibson makes free throw 2 of 2,56,59
3,10:43.0,J. Dudley misses 2-pt layup from 2 ft (block by D. Rose),,56,59
3,10:43.0,Offensive rebound by Team,,56,59
3,10:41.0,Shooting foul by K. Towns (drawn by R. Hollis-Jefferson),,56,59
3,10:41.0,R. Hollis-Jefferson makes free throw 1 of 2,,57,59
3,10:41.0,R. Hollis-Jefferson makes free throw 2 of 2,,58,59
3,10:31.0,,A. Wiggins misses 3-pt jump shot from 25 ft,58,59
3,10:28.0,,Offensive rebound by T. Gibson,58,59
3,10:17.0,,D. Rose makes 3-pt jump shot from 25 ft (assist by T. Gibson),58,62
3,9:59.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by J. Dudley),,60,62
3,9:40.0,,K. Towns makes 2-pt hook shot from 6 ft (assist by D. Rose),60,64
3,9:18.0,D. Russell misses 2-pt hook shot from 8 ft,,60,64
3,9:14.0,Offensive rebound by R. Hollis-Jefferson,,60,64
3,9:12.0,D. Russell makes 3-pt jump shot from 23 ft (assist by R. Hollis-Jefferson),,63,64
3,8:59.0,,A. Wiggins makes 2-pt jump shot from 6 ft (assist by J. Teague),63,66
3,8:40.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,63,66
3,8:38.0,,Defensive rebound by D. Rose,63,66
3,8:35.0,,Personal foul by J. Dudley (drawn by K. Towns),63,66
3,8:35.0,D. Carroll enters the game for J. Dudley,,63,66
3,8:24.0,,Turnover by T. Gibson (bad pass; steal by R. Hollis-Jefferson),63,66
3,8:12.0,D. Russell makes 3-pt jump shot from 25 ft,,66,66
3,8:02.0,,Personal foul by R. Hollis-Jefferson (drawn by K. Towns),66,66
3,7:54.0,,Turnover by K. Towns (lost ball; steal by D. Russell),66,66
3,7:47.0,D. Russell misses 3-pt jump shot from 24 ft,,66,66
3,7:44.0,,Defensive rebound by T. Gibson,66,66
3,7:33.0,,D. Rose misses 3-pt jump shot from 25 ft,66,66
3,7:32.0,,Offensive rebound by Team,66,66
3,7:32.0,Loose ball foul by S. Dinwiddie (drawn by K. Towns),,66,66
3,7:26.0,,J. Teague misses 2-pt jump shot from 8 ft,66,66
3,7:23.0,Defensive rebound by J. Harris,,66,66
3,7:15.0,J. Harris misses 2-pt layup from 1 ft,,66,66
3,7:13.0,,Defensive rebound by K. Towns,66,66
3,7:08.0,,T. Gibson makes 2-pt dunk from 1 ft (assist by D. Rose),66,68
3,7:08.0,Brooklyn full timeout,,66,68
3,6:46.0,D. Carroll makes 3-pt jump shot from 25 ft (assist by R. Hollis-Jefferson),,69,68
3,6:36.0,,Personal foul by R. Hollis-Jefferson (drawn by K. Towns),69,68
3,6:36.0,,K. Towns makes free throw 1 of 2,69,69
3,6:36.0,,K. Towns makes free throw 2 of 2,69,70
3,6:25.0,J. Harris misses 3-pt jump shot from 23 ft,,69,70
3,6:22.0,,Defensive rebound by T. Gibson,69,70
3,6:02.0,,Turnover by K. Towns (3 sec),69,70
3,6:02.0,A. Crabbe enters the game for J. Harris,,69,70
3,5:49.0,S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by D. Russell),,72,70
3,5:34.0,,D. Rose makes 3-pt jump shot from 23 ft (assist by K. Towns),72,73
3,5:23.0,D. Carroll misses 3-pt jump shot from 24 ft (block by T. Gibson),,72,73
3,5:20.0,,Defensive rebound by D. Rose,72,73
3,5:11.0,,J. Teague makes 2-pt layup from 2 ft,72,75
3,4:58.0,Turnover by S. Dinwiddie (bad pass; steal by J. Teague),,72,75
3,4:56.0,,Turnover by D. Rose (lost ball; steal by R. Hollis-Jefferson),72,75
3,4:55.0,Brooklyn full timeout,,72,75
3,4:55.0,,G. Dieng enters the game for D. Rose,72,75
3,4:55.0,,J. Okogie enters the game for K. Towns,72,75
3,4:41.0,S. Dinwiddie makes 2-pt layup from 2 ft (assist by R. Hollis-Jefferson),,74,75
3,4:20.0,,Turnover by J. Teague (bad pass; steal by A. Crabbe),74,75
3,4:16.0,Turnover by A. Crabbe (bad pass; steal by T. Gibson),,74,75
3,4:12.0,,Personal foul by S. Dinwiddie (drawn by T. Gibson),74,75
3,4:12.0,E. Davis enters the game for R. Hollis-Jefferson,,74,75
3,4:12.0,S. Napier enters the game for D. Russell,,74,75
3,4:12.0,,T. Gibson makes free throw 1 of 2,74,76
3,4:12.0,,T. Gibson makes free throw 2 of 2,74,77
3,3:57.0,S. Dinwiddie makes 2-pt jump shot from 13 ft (assist by S. Napier),,76,77
3,3:57.0,Shooting foul by J. Okogie (drawn by S. Dinwiddie),,76,77
3,3:57.0,S. Dinwiddie makes free throw 1 of 1,,77,77
3,3:45.0,,Shooting foul by S. Dinwiddie (drawn by J. Teague),77,77
3,3:45.0,,J. Teague misses free throw 1 of 2,77,77
3,3:45.0,,Offensive rebound by Team,77,77
3,3:45.0,J. Harris enters the game for S. Dinwiddie,,77,77
3,3:45.0,,J. Teague makes free throw 2 of 2,77,78
3,3:31.0,J. Harris misses 3-pt jump shot from 25 ft,,77,78
3,3:31.0,,Defensive rebound by T. Gibson,77,78
3,3:15.0,,Turnover by J. Okogie (traveling),77,78
3,2:51.0,J. Harris makes 2-pt jump shot from 11 ft,,79,78
3,2:40.0,,J. Teague makes 2-pt jump shot from 8 ft,79,80
3,2:37.0,,Technical foul by T. Gibson,79,80
3,2:37.0,A. Crabbe makes technical free throw,,80,80
3,2:29.0,A. Crabbe misses 3-pt jump shot from 25 ft,,80,80
3,2:26.0,,Defensive rebound by G. Dieng,80,80
3,2:15.0,,A. Wiggins makes 2-pt jump shot from 1 ft (assist by J. Teague),80,82
3,2:07.0,Turnover by D. Carroll (out of bounds lost ball),,80,82
3,1:54.0,,A. Wiggins makes 2-pt jump shot from 11 ft (assist by J. Teague),80,84
3,1:43.0,S. Napier makes 2-pt layup from 1 ft,,82,84
3,1:36.0,,J. Teague makes 2-pt layup from 1 ft,82,86
3,1:24.0,Turnover by D. Carroll (traveling),,82,86
3,1:14.0,,G. Dieng makes 2-pt jump shot from 15 ft (assist by J. Teague),82,88
3,0:48.0,Shooting foul by T. Gibson (drawn by D. Carroll),,82,88
3,0:48.0,D. Carroll misses free throw 1 of 2,,82,88
3,0:48.0,Offensive rebound by Team,,82,88
3,0:48.0,D. Carroll makes free throw 2 of 2,,83,88
3,0:33.0,,G. Dieng makes 3-pt jump shot from 22 ft (assist by J. Teague),83,91
3,0:28.0,Turnover by A. Crabbe (step out of bounds),,83,91
3,0:13.0,,Personal foul by S. Napier (drawn by J. Teague),83,91
3,0:13.0,,J. Teague makes free throw 1 of 2,83,92
3,0:13.0,,J. Teague makes free throw 2 of 2,83,93
3,0:02.0,S. Napier makes 2-pt layup from 5 ft,,85,93
3,0:00.0,,J. Okogie misses 3-pt jump shot from 37 ft,85,93
3,0:00.0,,Offensive rebound by Team,85,93
4,11:43.0,,A. Tolliver misses 3-pt jump shot from 24 ft,85,93
4,11:41.0,Defensive rebound by J. Dudley,,85,93
4,11:35.0,S. Dinwiddie makes 2-pt jump shot from 11 ft,,87,93
4,11:35.0,Shooting foul by T. Jones (drawn by S. Dinwiddie),,87,93
4,11:35.0,,K. Towns enters the game for G. Dieng,87,93
4,11:35.0,S. Dinwiddie makes free throw 1 of 1,,88,93
4,11:16.0,,J. Okogie makes 2-pt jump shot from 2 ft (assist by A. Tolliver),88,95
4,11:03.0,J. Harris makes 3-pt jump shot from 25 ft (assist by J. Dudley),,91,95
4,10:49.0,,Personal foul by E. Davis (drawn by K. Towns),91,95
4,10:42.0,,Personal foul by A. Crabbe (drawn by K. Towns),91,95
4,10:39.0,,Personal foul by E. Davis (drawn by K. Towns),91,95
4,10:32.0,,Turnover by K. Towns (traveling),91,95
4,10:21.0,J. Harris misses 2-pt layup from 1 ft,,91,95
4,10:17.0,Offensive rebound by E. Davis,,91,95
4,10:17.0,E. Davis misses 2-pt layup from 1 ft,,91,95
4,10:16.0,,Defensive rebound by A. Tolliver,91,95
4,10:09.0,,A. Tolliver misses 3-pt jump shot from 25 ft,91,95
4,10:06.0,Defensive rebound by E. Davis,,91,95
4,10:02.0,Offensive foul by S. Dinwiddie (drawn by J. Okogie),,91,95
4,10:02.0,Turnover by S. Dinwiddie (offensive foul),,91,95
4,10:02.0,D. Russell enters the game for S. Dinwiddie,,91,95
4,9:50.0,,Offensive foul by K. Towns (drawn by J. Dudley),91,95
4,9:50.0,,Turnover by K. Towns (offensive foul),91,95
4,9:35.0,D. Russell misses 3-pt jump shot from 25 ft,,91,95
4,9:32.0,Offensive rebound by E. Davis,,91,95
4,9:31.0,J. Dudley makes 3-pt jump shot from 26 ft (assist by E. Davis),,94,95
4,9:22.0,,Minnesota full timeout,94,95
4,9:16.0,,J. Okogie misses 3-pt jump shot from 23 ft,94,95
4,9:13.0,,Offensive rebound by T. Jones,94,95
4,9:07.0,,D. Rose makes 2-pt jump shot from 16 ft,94,97
4,8:56.0,J. Harris misses 3-pt jump shot from 25 ft,,94,97
4,8:53.0,,Defensive rebound by K. Towns,94,97
4,8:41.0,,D. Rose misses 2-pt jump shot from 17 ft,94,97
4,8:38.0,Defensive rebound by J. Harris,,94,97
4,8:29.0,J. Harris misses 2-pt jump shot from 6 ft (block by J. Okogie),,94,97
4,8:27.0,Offensive rebound by E. Davis,,94,97
4,8:27.0,Shooting foul by A. Tolliver (drawn by E. Davis),,94,97
4,8:27.0,E. Davis makes free throw 1 of 2,,95,97
4,8:27.0,,J. Teague enters the game for T. Jones,95,97
4,8:27.0,E. Davis makes free throw 2 of 2,,96,97
4,8:12.0,,A. Tolliver makes 3-pt jump shot from 25 ft (assist by J. Teague),96,100
4,7:46.0,D. Russell misses 3-pt jump shot from 26 ft,,96,100
4,7:43.0,,Defensive rebound by A. Tolliver,96,100
