QUARTER,TIME_REMAINING,NEW YORK_ACTION,CLEVELAND_ACTION,NEW YORK_SCORE,CLEVELAND_SCORE
1,7:39.0,,A. Burks misses 3-pt jump shot from 25 ft,8,11
1,7:37.0,Defensive rebound by K. Knox,,8,11
1,7:31.0,K. Knox misses 3-pt jump shot from 27 ft,,8,11
1,7:28.0,,Defensive rebound by A. Burks,8,11
1,7:23.0,,C. Sexton misses 2-pt jump shot from 20 ft,8,11
1,7:20.0,Defensive rebound by E. Mudiay,,8,11
1,7:13.0,E. Mudiay misses 2-pt layup from 3 ft,,8,11
1,7:11.0,,Defensive rebound by C. Sexton,8,11
1,7:04.0,,C. Sexton makes 2-pt jump shot from 1 ft,8,13
1,6:59.0,New York full timeout,,8,13
1,6:46.0,K. Knox makes 3-pt jump shot from 26 ft (assist by N. Vonleh),,11,13
1,6:30.0,,R. Hood misses 3-pt jump shot from 25 ft,11,13
1,6:27.0,Defensive rebound by E. Freedom,,11,13
1,6:09.0,E. Freedom misses 2-pt hook shot from 10 ft,,11,13
1,6:06.0,,Defensive rebound by C. Frye,11,13
1,5:48.0,,C. Sexton makes 2-pt layup from 1 ft,11,15
1,5:41.0,K. Knox makes 2-pt dunk from 2 ft (assist by E. Mudiay),,13,15
1,5:21.0,,C. Frye misses 3-pt jump shot from 25 ft,13,15
1,5:18.0,Defensive rebound by N. Vonleh,,13,15
1,5:18.0,Turnover by N. Vonleh (out of bounds lost ball),,13,15
1,5:18.0,F. Ntilikina enters the game for E. Freedom,,13,15
1,5:18.0,M. Robinson enters the game for E. Mudiay,,13,15
1,5:18.0,,J. Clarkson enters the game for A. Burks,13,15
1,5:18.0,,L. Nance enters the game for C. Frye,13,15
1,5:10.0,,R. Hood makes 3-pt jump shot from 24 ft (assist by C. Osman),13,18
1,4:57.0,Shooting foul by J. Clarkson (drawn by T. Hardaway),,13,18
1,4:57.0,T. Hardaway makes free throw 1 of 2,,14,18
1,4:57.0,T. Hardaway makes free throw 2 of 2,,15,18
1,4:46.0,,J. Clarkson misses 3-pt jump shot from 27 ft,15,18
1,4:41.0,,Offensive rebound by L. Nance,15,18
1,4:29.0,,C. Sexton misses 2-pt jump shot from 8 ft,15,18
1,4:26.0,Defensive rebound by T. Hardaway,,15,18
1,4:23.0,T. Hardaway misses 2-pt layup from 3 ft,,15,18
1,4:17.0,,Defensive rebound by R. Hood,15,18
1,4:14.0,,R. Hood makes 2-pt layup from 1 ft,15,20
1,4:14.0,,Shooting foul by T. Hardaway (drawn by R. Hood),15,20
1,4:14.0,,M. Dellavedova enters the game for C. Osman,15,20
1,4:14.0,,D. Nwaba enters the game for C. Sexton,15,20
1,4:14.0,,R. Hood makes free throw 1 of 1,15,21
1,4:05.0,T. Hardaway makes 3-pt jump shot from 29 ft (assist by F. Ntilikina),,18,21
1,3:54.0,,R. Hood misses 3-pt jump shot from 27 ft,18,21
1,3:52.0,Defensive rebound by T. Hardaway,,18,21
1,3:44.0,T. Hardaway misses 2-pt jump shot from 3 ft,,18,21
1,3:41.0,,Defensive rebound by L. Nance,18,21
1,3:41.0,,D. Nwaba misses 2-pt layup from 1 ft (block by F. Ntilikina),18,21
1,3:39.0,,Offensive rebound by L. Nance,18,21
1,3:35.0,,M. Dellavedova makes 3-pt jump shot from 25 ft (assist by L. Nance),18,24
1,3:20.0,F. Ntilikina misses 3-pt jump shot from 23 ft,,18,24
1,3:16.0,,Defensive rebound by J. Clarkson,18,24
1,3:09.0,,J. Clarkson makes 2-pt layup from 1 ft,18,26
1,3:01.0,New York full timeout,,18,26
1,3:01.0,D. Dotson enters the game for T. Hardaway,,18,26
1,3:01.0,L. Kornet enters the game for N. Vonleh,,18,26
1,3:01.0,,J. Jones enters the game for R. Hood,18,26
1,2:53.0,Shooting foul by J. Jones (drawn by K. Knox),,18,26
1,2:53.0,K. Knox makes free throw 1 of 2,,19,26
1,2:53.0,K. Knox makes free throw 2 of 2,,20,26
1,2:39.0,,J. Clarkson makes 2-pt jump shot from 14 ft (assist by M. Dellavedova),20,28
1,2:29.0,F. Ntilikina misses 2-pt jump shot from 8 ft,,20,28
1,2:28.0,Offensive rebound by M. Robinson,,20,28
1,2:27.0,M. Robinson misses 2-pt layup from 4 ft,,20,28
1,2:27.0,,Defensive rebound by M. Dellavedova,20,28
1,2:14.0,,M. Dellavedova makes 3-pt jump shot from 26 ft (assist by J. Clarkson),20,31
1,2:02.0,K. Knox misses 2-pt jump shot from 16 ft,,20,31
1,2:00.0,,Defensive rebound by M. Dellavedova,20,31
1,1:53.0,,J. Clarkson makes 2-pt jump shot from 12 ft,20,33
1,1:37.0,K. Knox makes 3-pt jump shot from 24 ft (assist by F. Ntilikina),,23,33
1,1:23.0,,D. Nwaba misses 2-pt layup from 1 ft,23,33
1,1:20.0,,Offensive rebound by L. Nance,23,33
1,1:12.0,,Def 3 sec tech foul by Team,23,33
1,1:12.0,,J. Clarkson makes technical free throw,23,34
1,0:59.0,,D. Nwaba makes 3-pt jump shot from 24 ft (assist by L. Nance),23,37
1,0:48.0,Turnover by F. Ntilikina (lost ball; steal by D. Nwaba),,23,37
1,0:46.0,,Shooting foul by K. Knox (drawn by D. Nwaba),23,37
1,0:46.0,,D. Nwaba misses free throw 1 of 2,23,37
1,0:46.0,,Offensive rebound by Team,23,37
1,0:46.0,T. Hardaway enters the game for K. Knox,,23,37
1,0:46.0,,D. Nwaba misses free throw 2 of 2,23,37
1,0:44.0,Defensive rebound by L. Kornet,,23,37
1,0:36.0,Turnover by F. Ntilikina (palming),,23,37
1,0:18.0,,J. Jones misses 2-pt jump shot from 6 ft,23,37
1,0:17.0,,Offensive rebound by J. Jones,23,37
1,0:16.0,,J. Jones makes 2-pt layup from 1 ft,23,39
1,0:00.0,T. Hardaway misses 3-pt jump shot from 27 ft,,23,39
1,0:00.0,Offensive rebound by Team,,23,39
2,11:48.0,D. Dotson misses 2-pt jump shot from 17 ft,,23,39
2,11:46.0,Offensive rebound by L. Kornet,,23,39
2,11:40.0,F. Ntilikina misses 3-pt jump shot from 22 ft,,23,39
2,11:40.0,Offensive rebound by Team,,23,39
2,11:40.0,,Loose ball foul by L. Nance (drawn by M. Robinson),23,39
2,11:31.0,T. Hardaway misses 2-pt jump shot from 18 ft,,23,39
2,11:28.0,,Defensive rebound by M. Dellavedova,23,39
2,11:25.0,,J. Jones misses 2-pt jump shot from 8 ft,23,39
2,11:24.0,Defensive rebound by Team,,23,39
2,11:10.0,F. Ntilikina makes 2-pt layup from 1 ft,,25,39
2,10:52.0,,Turnover by A. Burks (bad pass; steal by F. Ntilikina),25,39
2,10:43.0,L. Kornet misses 3-pt jump shot from 26 ft,,25,39
2,10:38.0,,Defensive rebound by J. Jones,25,39
2,10:31.0,,Shooting foul by M. Robinson (drawn by J. Jones),25,39
2,10:31.0,,J. Jones makes free throw 1 of 2,25,40
2,10:31.0,,J. Jones makes free throw 2 of 2,25,41
2,10:21.0,F. Ntilikina makes 2-pt jump shot from 20 ft,,27,41
2,10:00.0,,L. Nance misses 2-pt dunk from 1 ft,27,41
2,9:58.0,Defensive rebound by L. Kornet,,27,41
2,9:54.0,D. Dotson makes 2-pt layup from 1 ft (assist by L. Kornet),,29,41
2,9:50.0,,Cleveland full timeout,29,41
2,9:38.0,,J. Clarkson makes 2-pt jump shot from 13 ft,29,43
2,9:25.0,Personal foul by J. Jones (drawn by L. Kornet),,29,43
2,9:25.0,,C. Osman enters the game for J. Jones,29,43
2,9:17.0,Turnover by D. Dotson (bad pass; steal by M. Dellavedova),,29,43
2,9:10.0,,J. Clarkson misses 2-pt layup from 1 ft,29,43
2,9:08.0,Defensive rebound by F. Ntilikina,,29,43
2,9:02.0,D. Dotson misses 2-pt dunk from 1 ft,,29,43
2,8:59.0,,Defensive rebound by L. Nance,29,43
2,8:56.0,,M. Dellavedova makes 3-pt jump shot from 26 ft (assist by L. Nance),29,46
2,8:39.0,D. Dotson makes 2-pt jump shot from 18 ft (assist by M. Robinson),,31,46
2,8:34.0,,A. Burks misses 3-pt jump shot from 26 ft,31,46
2,8:14.0,Defensive rebound by D. Dotson,,31,46
2,8:05.0,F. Ntilikina misses 2-pt jump shot from 20 ft,,31,46
2,8:00.0,,Defensive rebound by A. Burks,31,46
2,7:53.0,,L. Nance misses 3-pt jump shot from 25 ft,31,46
2,7:49.0,Defensive rebound by F. Ntilikina,,31,46
2,7:42.0,D. Dotson misses 3-pt jump shot from 26 ft,,31,46
2,7:39.0,,Defensive rebound by C. Osman,31,46
2,7:31.0,,J. Clarkson makes 3-pt jump shot from 24 ft (assist by A. Burks),31,49
2,7:23.0,New York full timeout,,31,49
2,7:23.0,E. Freedom enters the game for D. Dotson,,31,49
2,7:23.0,K. Knox enters the game for L. Kornet,,31,49
2,7:23.0,E. Mudiay enters the game for F. Ntilikina,,31,49
2,7:23.0,N. Vonleh enters the game for M. Robinson,,31,49
2,7:23.0,,C. Sexton enters the game for M. Dellavedova,31,49
2,7:11.0,T. Hardaway misses 2-pt hook shot from 9 ft,,31,49
2,7:09.0,,Defensive rebound by A. Burks,31,49
2,6:54.0,,J. Clarkson makes 3-pt jump shot from 26 ft (assist by C. Sexton),31,52
2,6:54.0,,Shooting foul by K. Knox (drawn by J. Clarkson),31,52
2,6:54.0,M. Hezonja enters the game for K. Knox,,31,52
2,6:54.0,,J. Clarkson makes free throw 1 of 1,31,53
2,6:28.0,E. Freedom makes 2-pt hook shot from 15 ft,,33,53
2,6:07.0,,C. Sexton misses 3-pt jump shot from 25 ft,33,53
2,6:05.0,Defensive rebound by E. Freedom,,33,53
2,5:48.0,E. Freedom makes 2-pt layup from 2 ft,,35,53
2,5:31.0,,C. Sexton makes 2-pt layup at rim,35,55
2,5:13.0,T. Hardaway makes 3-pt jump shot from 22 ft (assist by E. Mudiay),,38,55
2,5:13.0,Technical foul by M. Longabardi,,38,55
2,5:13.0,T. Hardaway makes technical free throw,,39,55
2,5:13.0,,C. Frye enters the game for J. Clarkson,39,55
2,5:13.0,,R. Hood enters the game for L. Nance,39,55
2,4:59.0,,Turnover by C. Sexton (offensive foul),39,55
2,4:59.0,,Offensive foul by C. Sexton (drawn by N. Vonleh),39,55
2,4:33.0,Shooting foul by C. Frye (drawn by E. Freedom),,39,55
2,4:33.0,,Technical foul by C. Frye,39,55
2,4:33.0,T. Hardaway makes technical free throw,,40,55
2,4:33.0,E. Freedom makes free throw 1 of 2,,41,55
2,4:33.0,E. Freedom makes free throw 2 of 2,,42,55
2,4:23.0,,C. Sexton makes 2-pt jump shot from 15 ft,42,57
2,4:10.0,M. Hezonja misses 2-pt jump shot from 12 ft,,42,57
2,4:07.0,,Defensive rebound by R. Hood,42,57
2,4:04.0,,Shooting foul by T. Hardaway (drawn by A. Burks),42,57
2,4:04.0,,A. Burks misses free throw 1 of 2,42,57
2,4:04.0,,Offensive rebound by Team,42,57
2,4:04.0,,A. Burks makes free throw 2 of 2,42,58
2,3:51.0,Turnover by N. Vonleh (offensive foul),,42,58
2,3:51.0,Offensive foul by N. Vonleh (drawn by C. Osman),,42,58
2,3:51.0,,J. Clarkson enters the game for A. Burks,42,58
2,3:36.0,,J. Clarkson misses 3-pt jump shot from 24 ft,42,58
2,3:35.0,Defensive rebound by E. Freedom,,42,58
2,3:22.0,E. Mudiay makes 2-pt jump shot from 7 ft (assist by E. Freedom),,44,58
2,3:05.0,,C. Sexton makes 2-pt jump shot from 12 ft,44,60
2,2:47.0,E. Freedom makes 3-pt jump shot from 26 ft (assist by E. Mudiay),,47,60
2,2:35.0,,C. Sexton misses 2-pt jump shot from 15 ft,47,60
2,2:35.0,Defensive rebound by E. Mudiay,,47,60
2,2:27.0,T. Hardaway misses 2-pt jump shot from 7 ft,,47,60
2,2:25.0,,Defensive rebound by C. Frye,47,60
2,2:19.0,,J. Clarkson makes 2-pt jump shot from 9 ft,47,62
2,2:01.0,M. Hezonja makes 2-pt layup from 2 ft (assist by E. Freedom),,49,62
2,1:36.0,,Turnover by C. Sexton (lost ball; steal by E. Mudiay),49,62
2,1:28.0,E. Mudiay misses 2-pt layup from 2 ft,,49,62
2,1:28.0,,Defensive rebound by C. Frye,49,62
2,1:20.0,,C. Sexton makes 3-pt jump shot from 26 ft (assist by C. Frye),49,65
2,1:01.0,E. Freedom misses 2-pt layup from 2 ft,,49,65
2,1:00.0,Offensive rebound by N. Vonleh,,49,65
2,1:00.0,N. Vonleh makes 2-pt dunk from 2 ft,,51,65
2,0:42.0,,C. Osman misses 2-pt jump shot from 17 ft,51,65
2,0:42.0,,Offensive rebound by C. Osman,51,65
2,0:34.0,,J. Clarkson misses 3-pt jump shot from 29 ft,51,65
2,0:30.0,Defensive rebound by N. Vonleh,,51,65
2,0:13.0,N. Vonleh makes 3-pt jump shot from 27 ft (assist by E. Mudiay),,54,65
2,0:00.0,,Turnover by C. Sexton (lost ball; steal by M. Hezonja),54,65
3,11:39.0,E. Mudiay makes 2-pt jump shot from 16 ft (assist by K. Knox),,56,65
3,11:11.0,,A. Burks misses 2-pt jump shot from 8 ft (block by N. Vonleh),56,65
3,11:09.0,Defensive rebound by K. Knox,,56,65
3,10:57.0,T. Hardaway makes 2-pt jump shot from 22 ft (assist by E. Freedom),,58,65
3,10:57.0,,Cleveland full timeout,58,65
3,10:33.0,,R. Hood makes 2-pt jump shot from 7 ft,58,67
3,10:13.0,Personal foul by C. Sexton (drawn by K. Knox),,58,67
3,10:02.0,T. Hardaway makes 3-pt jump shot from 28 ft (assist by E. Mudiay),,61,67
3,9:47.0,,C. Osman misses 3-pt jump shot from 29 ft (block by N. Vonleh),61,67
3,9:42.0,,Offensive rebound by C. Frye,61,67
3,9:36.0,,A. Burks misses 3-pt jump shot from 22 ft,61,67
3,9:33.0,Defensive rebound by K. Knox,,61,67
3,9:28.0,K. Knox misses 2-pt layup from 1 ft,,61,67
3,9:22.0,Offensive rebound by E. Freedom,,61,67
3,9:22.0,E. Freedom makes 2-pt layup from 1 ft,,63,67
3,9:14.0,,Personal foul by E. Mudiay (drawn by C. Sexton),63,67
3,9:14.0,,L. Nance enters the game for C. Frye,63,67
3,9:00.0,,C. Osman misses 3-pt jump shot from 31 ft,63,67
3,9:00.0,,Offensive rebound by Team,63,67
3,9:00.0,,Turnover by Team (shot clock),63,67
3,8:50.0,K. Knox misses 3-pt jump shot from 28 ft,,63,67
3,8:46.0,,Defensive rebound by R. Hood,63,67
3,8:39.0,,R. Hood misses 2-pt layup from 4 ft (block by K. Knox),63,67
3,8:38.0,,Offensive rebound by A. Burks,63,67
3,8:35.0,,A. Burks misses 2-pt layup from 2 ft,63,67
3,8:34.0,Defensive rebound by K. Knox,,63,67
3,8:28.0,K. Knox makes 2-pt layup from 3 ft,,65,67
3,8:20.0,,C. Sexton misses 2-pt layup from 2 ft (block by T. Hardaway),65,67
3,8:20.0,Defensive rebound by Team,,65,67
3,8:12.0,N. Vonleh makes 2-pt hook shot from 9 ft,,67,67
3,8:12.0,Shooting foul by C. Osman (drawn by N. Vonleh),,67,67
3,8:12.0,N. Vonleh misses free throw 1 of 1,,67,67
3,8:11.0,,Defensive rebound by R. Hood,67,67
3,8:11.0,,Cleveland full timeout,67,67
3,7:57.0,,R. Hood makes 2-pt jump shot from 14 ft (assist by L. Nance),67,69
3,7:35.0,N. Vonleh misses 2-pt layup from 2 ft,,67,69
3,7:35.0,,Defensive rebound by R. Hood,67,69
3,7:23.0,,R. Hood misses 2-pt jump shot from 20 ft,67,69
3,7:19.0,Defensive rebound by N. Vonleh,,67,69
3,7:14.0,E. Mudiay makes 2-pt layup from 2 ft,,69,69
3,7:03.0,,C. Sexton misses 3-pt jump shot from 26 ft,69,69
3,7:03.0,Defensive rebound by E. Freedom,,69,69
3,6:46.0,Turnover by T. Hardaway (bad pass; steal by A. Burks),,69,69
3,6:41.0,,C. Sexton misses 3-pt jump shot from 27 ft,69,69
3,6:37.0,Defensive rebound by N. Vonleh,,69,69
3,6:29.0,Turnover by E. Mudiay (bad pass),,69,69
3,6:29.0,Loose ball foul by E. Mudiay (drawn by L. Nance),,69,69
3,6:29.0,,J. Clarkson enters the game for R. Hood,69,69
3,6:16.0,,C. Osman makes 2-pt layup from 2 ft (assist by C. Sexton),69,71
3,6:02.0,N. Vonleh misses 2-pt layup from 2 ft,,69,71
3,6:02.0,Offensive rebound by E. Freedom,,69,71
3,5:55.0,E. Freedom makes 2-pt layup from 1 ft,,71,71
3,5:42.0,,C. Osman misses 2-pt layup from 2 ft,71,71
3,5:34.0,,Offensive rebound by C. Sexton,71,71
3,5:34.0,,C. Sexton makes 2-pt layup at rim,71,73
3,5:26.0,T. Hardaway misses 3-pt jump shot from 27 ft,,71,73
3,5:24.0,,Defensive rebound by L. Nance,71,73
3,5:15.0,,C. Sexton makes 2-pt jump shot from 19 ft (assist by L. Nance),71,75
3,4:57.0,K. Knox makes 2-pt layup from 1 ft (assist by N. Vonleh),,73,75
3,4:42.0,,J. Clarkson makes 2-pt jump shot from 16 ft,73,77
3,4:21.0,E. Freedom misses 2-pt layup from 2 ft,,73,77
3,4:18.0,,Defensive rebound by C. Osman,73,77
3,4:12.0,,L. Nance makes 3-pt jump shot from 24 ft (assist by A. Burks),73,80
3,4:02.0,New York full timeout,,73,80
3,4:02.0,D. Dotson enters the game for E. Mudiay,,73,80
3,4:02.0,F. Ntilikina enters the game for N. Vonleh,,73,80
3,4:02.0,,J. Blossomgame enters the game for A. Burks,73,80
3,3:54.0,K. Knox misses 3-pt jump shot from 26 ft,,73,80
3,3:48.0,,Defensive rebound by J. Blossomgame,73,80
3,3:39.0,,Turnover by L. Nance (traveling),73,80
3,3:23.0,E. Freedom makes 2-pt layup at rim,,75,80
3,3:23.0,Shooting foul by L. Nance (drawn by E. Freedom),,75,80
3,3:23.0,,M. Dellavedova enters the game for C. Osman,75,80
3,3:23.0,,D. Nwaba enters the game for C. Sexton,75,80
3,3:23.0,E. Freedom makes free throw 1 of 1,,76,80
3,3:05.0,,D. Nwaba makes 2-pt layup from 3 ft (assist by M. Dellavedova),76,82
3,2:52.0,F. Ntilikina makes 2-pt jump shot from 17 ft,,78,82
3,2:37.0,,D. Nwaba misses 3-pt jump shot from 28 ft,78,82
3,2:35.0,Defensive rebound by E. Freedom,,78,82
3,2:29.0,T. Hardaway misses 2-pt jump shot from 17 ft,,78,82
3,2:26.0,,Defensive rebound by M. Dellavedova,78,82
3,2:12.0,,D. Nwaba makes 2-pt jump shot from 11 ft,78,84
3,1:58.0,Personal foul by L. Nance (drawn by F. Ntilikina),,78,84
3,1:41.0,Turnover by E. Freedom (lost ball; steal by L. Nance),,78,84
3,1:26.0,,M. Dellavedova misses 3-pt jump shot from 26 ft (block by D. Dotson),78,84
3,1:25.0,,Offensive rebound by J. Clarkson,78,84
3,1:16.0,,J. Clarkson misses 2-pt jump shot from 16 ft,78,84
3,1:11.0,Defensive rebound by T. Hardaway,,78,84
3,1:08.0,T. Hardaway makes 3-pt jump shot from 25 ft,,81,84
3,0:48.0,,J. Clarkson makes 2-pt layup from 1 ft (assist by L. Nance),81,86
3,0:33.0,Shooting foul by M. Dellavedova (drawn by F. Ntilikina),,81,86
3,0:33.0,F. Ntilikina makes free throw 1 of 2,,82,86
3,0:33.0,M. Hezonja enters the game for E. Freedom,,82,86
3,0:33.0,M. Robinson enters the game for K. Knox,,82,86
3,0:33.0,F. Ntilikina makes free throw 2 of 2,,83,86
3,0:26.0,,M. Dellavedova misses 3-pt jump shot from 30 ft,83,86
3,0:23.0,Defensive rebound by T. Hardaway,,83,86
3,0:04.0,F. Ntilikina makes 3-pt jump shot from 27 ft (assist by T. Hardaway),,86,86
3,0:00.0,,M. Dellavedova misses 2-pt jump shot from 14 ft,86,86
3,0:00.0,,Offensive rebound by Team,86,86
4,11:40.0,,L. Nance misses 2-pt hook shot from 11 ft,86,86
4,11:37.0,,Offensive rebound by J. Clarkson,86,86
4,11:33.0,,J. Blossomgame makes 2-pt dunk from 1 ft (assist by J. Clarkson),86,88
4,11:18.0,F. Ntilikina makes 2-pt layup from 1 ft,,88,88
4,10:55.0,,J. Clarkson makes 2-pt layup from 1 ft (assist by L. Nance),88,90
4,10:38.0,M. Robinson makes 2-pt layup from 1 ft (assist by F. Ntilikina),,90,90
4,10:17.0,,J. Clarkson makes 2-pt layup from 1 ft,90,92
4,10:04.0,F. Ntilikina misses 2-pt jump shot from 10 ft,,90,92
4,10:01.0,,Defensive rebound by J. Blossomgame,90,92
4,9:54.0,,Turnover by J. Clarkson (bad pass; steal by D. Dotson),90,92
4,9:37.0,Turnover by F. Ntilikina (lost ball; steal by J. Blossomgame),,90,92
4,9:33.0,,Turnover by D. Nwaba (offensive foul),90,92
4,9:33.0,,Offensive foul by D. Nwaba (drawn by T. Hardaway),90,92
4,9:33.0,K. Knox enters the game for T. Hardaway,,90,92
4,9:33.0,,C. Osman enters the game for D. Nwaba,90,92
4,9:20.0,K. Knox misses 2-pt jump shot from 12 ft (block by L. Nance),,90,92
4,9:17.0,,Defensive rebound by L. Nance,90,92
4,9:14.0,,C. Osman misses 3-pt jump shot from 23 ft,90,92
4,9:12.0,Defensive rebound by K. Knox,,90,92
4,9:00.0,M. Hezonja misses 2-pt jump shot from 15 ft,,90,92
4,8:59.0,Offensive rebound by Team,,90,92
4,8:47.0,F. Ntilikina misses 2-pt jump shot from 14 ft,,90,92
4,8:44.0,,Defensive rebound by L. Nance,90,92
4,8:37.0,,Shooting foul by D. Dotson (drawn by M. Dellavedova),90,92
4,8:37.0,,M. Dellavedova makes free throw 1 of 2,90,93
4,8:37.0,E. Mudiay enters the game for M. Hezonja,,90,93
4,8:37.0,,M. Dellavedova makes free throw 2 of 2,90,94
4,8:22.0,F. Ntilikina makes 3-pt jump shot from 23 ft (assist by D. Dotson),,93,94
4,7:53.0,,J. Clarkson misses 3-pt jump shot from 25 ft,93,94
4,7:49.0,Defensive rebound by F. Ntilikina,,93,94
4,7:44.0,D. Dotson misses 3-pt jump shot from 29 ft,,93,94
4,7:41.0,,Defensive rebound by L. Nance,93,94
4,7:26.0,,J. Blossomgame makes 2-pt layup from 1 ft (assist by M. Dellavedova),93,96
4,7:26.0,,Shooting foul by D. Dotson (drawn by J. Blossomgame),93,96
4,7:26.0,,J. Blossomgame makes free throw 1 of 1,93,97
4,7:15.0,F. Ntilikina misses 2-pt jump shot from 19 ft,,93,97
4,7:13.0,,Defensive rebound by J. Clarkson,93,97
4,7:00.0,,Turnover by M. Dellavedova (bad pass; steal by M. Robinson),93,97
4,6:58.0,Personal foul by M. Dellavedova (drawn by M. Robinson),,93,97
4,6:58.0,,Cleveland full timeout,93,97
4,6:58.0,T. Hardaway enters the game for D. Dotson,,93,97
4,6:58.0,E. Freedom enters the game for M. Robinson,,93,97
4,6:45.0,E. Freedom misses 2-pt jump shot from 15 ft,,93,97
4,6:41.0,,Defensive rebound by J. Blossomgame,93,97
4,6:23.0,,J. Clarkson misses 3-pt jump shot from 24 ft,93,97
4,6:21.0,Defensive rebound by E. Mudiay,,93,97
4,6:14.0,E. Mudiay misses 2-pt jump shot from 15 ft,,93,97
4,6:11.0,,Defensive rebound by J. Clarkson,93,97
4,6:01.0,,M. Dellavedova makes 2-pt jump shot from 15 ft,93,99
4,5:48.0,T. Hardaway misses 3-pt jump shot from 26 ft,,93,99
4,5:45.0,,Defensive rebound by L. Nance,93,99
4,5:31.0,,Turnover by M. Dellavedova (bad pass; steal by T. Hardaway),93,99
4,5:26.0,K. Knox misses 2-pt layup from 3 ft (block by L. Nance),,93,99
4,5:26.0,Offensive rebound by Team,,93,99
4,5:26.0,D. Dotson enters the game for F. Ntilikina,,93,99
4,5:26.0,,R. Hood enters the game for J. Blossomgame,93,99
4,5:26.0,,C. Sexton enters the game for M. Dellavedova,93,99
4,5:19.0,T. Hardaway makes 2-pt jump shot from 19 ft (assist by E. Mudiay),,95,99
4,5:02.0,,R. Hood makes 2-pt jump shot from 8 ft,95,101
4,4:47.0,E. Mudiay misses 2-pt layup from 5 ft (block by L. Nance),,95,101
4,4:45.0,,Defensive rebound by C. Sexton,95,101
4,4:45.0,,Offensive foul by C. Sexton (drawn by T. Hardaway),95,101
4,4:45.0,,Turnover by C. Sexton (offensive foul),95,101
4,4:31.0,T. Hardaway misses 3-pt jump shot from 25 ft,,95,101
4,4:28.0,Offensive rebound by E. Mudiay,,95,101
4,4:27.0,E. Mudiay makes 2-pt layup at rim,,97,101
4,4:05.0,,R. Hood misses 2-pt jump shot from 20 ft,97,101
4,4:03.0,Defensive rebound by E. Freedom,,97,101
4,3:56.0,E. Mudiay makes 2-pt jump shot from 13 ft,,99,101
4,3:55.0,,Cleveland full timeout,99,101
4,3:55.0,F. Ntilikina enters the game for D. Dotson,,99,101
4,3:32.0,,Turnover by J. Clarkson (lost ball; steal by E. Mudiay),99,101
4,3:28.0,Turnover by F. Ntilikina (lost ball; steal by L. Nance),,99,101
4,3:19.0,,Shooting foul by E. Freedom (drawn by R. Hood),99,101
4,3:19.0,,R. Hood makes free throw 1 of 2,99,102
4,3:19.0,D. Dotson enters the game for F. Ntilikina,,99,102
4,3:19.0,,A. Burks enters the game for C. Osman,99,102
4,3:19.0,,R. Hood makes free throw 2 of 2,99,103
4,3:11.0,E. Mudiay misses 2-pt layup from 1 ft,,99,103
4,3:07.0,,Defensive rebound by A. Burks,99,103
4,3:03.0,,Turnover by C. Sexton (traveling),99,103
4,2:47.0,Turnover by K. Knox (traveling),,99,103
