QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,OKLAHOMA CITY_ACTION,PHILADELPHIA_SCORE,OKLAHOMA CITY_SCORE
1,5:22.0,,Offensive rebound by S. Adams,24,13
1,5:22.0,,S. Adams misses 2-pt layup at rim,24,13
1,5:21.0,Defensive rebound by B. Simmons,,24,13
1,5:18.0,T. Harris misses 2-pt layup from 1 ft,,24,13
1,5:16.0,,Defensive rebound by S. Adams,24,13
1,5:10.0,,D. Schröder misses 2-pt jump shot from 7 ft,24,13
1,5:08.0,Defensive rebound by T. Harris,,24,13
1,5:00.0,J. Bolden makes 2-pt layup from 1 ft (assist by J. Redick),,26,13
1,4:50.0,,Personal foul by J. Bolden (drawn by S. Adams),26,13
1,4:50.0,A. Johnson enters the game for J. Bolden,,26,13
1,4:50.0,,N. Noel enters the game for S. Adams,26,13
1,4:35.0,,N. Noel makes 2-pt jump shot from 11 ft (assist by T. Ferguson),26,15
1,4:11.0,Personal foul by D. Schröder (drawn by A. Johnson),,26,15
1,4:09.0,T. Harris makes 2-pt dunk from 1 ft (assist by J. Redick),,28,15
1,3:47.0,,T. Ferguson makes 2-pt layup at rim (assist by N. Noel),28,17
1,3:38.0,M. Scott misses 2-pt jump shot from 21 ft,,28,17
1,3:36.0,,Defensive rebound by N. Noel,28,17
1,3:28.0,,N. Noel misses 2-pt jump shot from 9 ft,28,17
1,3:25.0,Defensive rebound by B. Simmons,,28,17
1,3:22.0,B. Simmons makes 2-pt layup from 1 ft (assist by T. Harris),,30,17
1,3:12.0,,D. Schröder misses 2-pt jump shot from 8 ft,30,17
1,3:10.0,Defensive rebound by A. Johnson,,30,17
1,3:01.0,T. Harris misses 2-pt layup from 1 ft,,30,17
1,2:59.0,,Defensive rebound by R. Westbrook,30,17
1,2:57.0,,D. Schröder makes 2-pt layup from 1 ft (assist by R. Westbrook),30,19
1,2:57.0,,Shooting foul by J. Redick (drawn by D. Schröder),30,19
1,2:57.0,Philadelphia full timeout,,30,19
1,2:57.0,J. Butler enters the game for T. Harris,,30,19
1,2:57.0,J. Ennis enters the game for A. Johnson,,30,19
1,2:57.0,T. McConnell enters the game for J. Redick,,30,19
1,2:57.0,,D. Schröder makes free throw 1 of 1,30,20
1,2:40.0,J. Butler misses 2-pt layup at rim,,30,20
1,2:38.0,Offensive rebound by Team,,30,20
1,2:38.0,,A. Nader enters the game for R. Westbrook,30,20
1,2:26.0,B. Simmons misses 2-pt jump shot from 12 ft,,30,20
1,2:22.0,Offensive rebound by J. Butler,,30,20
1,2:14.0,J. Butler misses 2-pt jump shot from 17 ft,,30,20
1,2:12.0,Offensive rebound by Team,,30,20
1,2:12.0,,Loose ball foul by T. Ferguson (drawn by M. Scott),30,20
1,2:06.0,B. Simmons misses 2-pt layup from 3 ft,,30,20
1,2:02.0,,Defensive rebound by A. Nader,30,20
1,1:56.0,,Personal foul by T. McConnell (drawn by D. Schröder),30,20
1,1:56.0,,D. Schröder makes free throw 1 of 2,30,21
1,1:56.0,,D. Schröder makes free throw 2 of 2,30,22
1,1:43.0,M. Scott misses 3-pt jump shot from 25 ft,,30,22
1,1:41.0,,Defensive rebound by N. Noel,30,22
1,1:35.0,,J. Grant makes 2-pt layup from 2 ft (assist by D. Schröder),30,24
1,1:23.0,J. Butler makes 2-pt layup from 1 ft (assist by T. McConnell),,32,24
1,1:17.0,,D. Schröder misses 3-pt jump shot from 25 ft,32,24
1,1:13.0,Defensive rebound by M. Scott,,32,24
1,1:08.0,M. Scott makes 3-pt jump shot from 25 ft (assist by B. Simmons),,35,24
1,0:47.0,,J. Grant makes 2-pt jump shot from 17 ft (assist by D. Schröder),35,26
1,0:28.0,M. Scott misses 3-pt jump shot from 27 ft,,35,26
1,0:26.0,Offensive rebound by J. Ennis,,35,26
1,0:24.0,J. Ennis misses 2-pt layup from 2 ft,,35,26
1,0:23.0,Offensive rebound by J. Ennis,,35,26
1,0:23.0,J. Ennis makes 2-pt layup from 1 ft,,37,26
1,0:03.0,,D. Schröder misses 2-pt jump shot from 15 ft,37,26
1,0:01.0,Defensive rebound by B. Simmons,,37,26
2,11:41.0,M. Scott misses 3-pt jump shot from 26 ft,,37,26
2,11:38.0,Offensive rebound by Team,,37,26
2,11:24.0,J. Ennis misses 2-pt jump shot from 22 ft,,37,26
2,11:23.0,,Defensive rebound by D. Schröder,37,26
2,11:17.0,,D. Schröder misses 2-pt jump shot from 17 ft,37,26
2,11:15.0,Defensive rebound by Team,,37,26
2,11:15.0,,R. Felton enters the game for T. Ferguson,37,26
2,11:01.0,M. Scott misses 2-pt jump shot from 9 ft,,37,26
2,10:59.0,,Defensive rebound by P. Patterson,37,26
2,10:51.0,,A. Nader makes 3-pt jump shot from 23 ft (assist by R. Felton),37,29
2,10:32.0,T. Harris makes 2-pt dunk from 1 ft (assist by T. McConnell),,39,29
2,10:15.0,,Shooting foul by M. Scott (drawn by S. Adams),39,29
2,10:15.0,,S. Adams makes free throw 1 of 2,39,30
2,10:15.0,A. Johnson enters the game for M. Scott,,39,30
2,10:15.0,,S. Adams misses free throw 2 of 2,39,30
2,10:11.0,Defensive rebound by A. Johnson,,39,30
2,9:50.0,T. McConnell makes 2-pt jump shot from 20 ft (assist by J. Butler),,41,30
2,9:38.0,,Turnover by S. Adams (bad pass; steal by J. Butler),41,30
2,9:31.0,A. Johnson misses 2-pt jump shot from 6 ft,,41,30
2,9:25.0,,Defensive rebound by S. Adams,41,30
2,9:24.0,,Turnover by D. Schröder (bad pass; steal by A. Johnson),41,30
2,9:12.0,Turnover by T. McConnell (lost ball; steal by S. Adams),,41,30
2,9:09.0,,Shooting foul by A. Johnson (drawn by A. Nader),41,30
2,9:09.0,,A. Nader makes free throw 1 of 2,41,31
2,9:09.0,,A. Nader makes free throw 2 of 2,41,32
2,8:52.0,T. Harris makes 3-pt jump shot from 26 ft,,44,32
2,8:39.0,,Turnover by R. Felton (lost ball; steal by T. McConnell),44,32
2,8:34.0,J. Ennis makes 2-pt layup from 2 ft (assist by T. McConnell),,46,32
2,8:23.0,,D. Schröder misses 2-pt jump shot from 17 ft,46,32
2,8:23.0,Defensive rebound by T. McConnell,,46,32
2,8:15.0,A. Johnson makes 2-pt layup from 4 ft (assist by T. McConnell),,48,32
2,8:14.0,,Oklahoma City full timeout,48,32
2,8:14.0,J. Redick enters the game for J. Butler,,48,32
2,8:14.0,B. Simmons enters the game for T. McConnell,,48,32
2,8:14.0,,R. Westbrook enters the game for A. Nader,48,32
2,7:59.0,,S. Adams misses 2-pt hook shot from 6 ft,48,32
2,7:55.0,Defensive rebound by B. Simmons,,48,32
2,7:49.0,J. Ennis misses 3-pt jump shot from 23 ft,,48,32
2,7:46.0,,Defensive rebound by R. Westbrook,48,32
2,7:43.0,,Turnover by R. Westbrook (bad pass; steal by B. Simmons),48,32
2,7:31.0,T. Harris misses 3-pt jump shot from 25 ft,,48,32
2,7:29.0,,Defensive rebound by P. Patterson,48,32
2,7:25.0,,R. Westbrook makes 2-pt layup from 1 ft,48,34
2,7:25.0,,Shooting foul by A. Johnson (drawn by R. Westbrook),48,34
2,7:25.0,,J. Grant enters the game for P. Patterson,48,34
2,7:25.0,,A. Nader enters the game for D. Schröder,48,34
2,7:25.0,,R. Westbrook makes free throw 1 of 1,48,35
2,7:07.0,Turnover by A. Johnson (out of bounds lost ball),,48,35
2,7:01.0,,S. Adams makes 2-pt hook shot from 7 ft (assist by R. Westbrook),48,37
2,7:00.0,Philadelphia full timeout,,48,37
2,6:45.0,Shooting foul by A. Nader (drawn by J. Redick),,48,37
2,6:45.0,J. Redick makes free throw 1 of 3,,49,37
2,6:45.0,J. Redick misses free throw 2 of 3,,49,37
2,6:45.0,Offensive rebound by Team,,49,37
2,6:45.0,J. Bolden enters the game for A. Johnson,,49,37
2,6:45.0,,T. Ferguson enters the game for A. Nader,49,37
2,6:45.0,J. Redick makes free throw 3 of 3,,50,37
2,6:37.0,,R. Westbrook makes 2-pt layup from 1 ft,50,39
2,6:20.0,Turnover by T. Harris (back court),,50,39
2,6:11.0,,R. Felton misses 3-pt jump shot from 25 ft,50,39
2,6:06.0,Defensive rebound by J. Bolden,,50,39
2,6:00.0,B. Simmons misses 2-pt layup from 3 ft (block by R. Westbrook),,50,39
2,6:00.0,Offensive rebound by B. Simmons,,50,39
2,6:00.0,Shooting foul by R. Felton (drawn by B. Simmons),,50,39
2,6:00.0,B. Simmons misses free throw 1 of 2,,50,39
2,6:00.0,Offensive rebound by Team,,50,39
2,6:00.0,B. Simmons makes free throw 2 of 2,,51,39
2,5:46.0,,J. Grant makes 2-pt dunk from 1 ft (assist by R. Felton),51,41
2,5:36.0,Offensive foul by B. Simmons (drawn by T. Ferguson),,51,41
2,5:36.0,Turnover by B. Simmons (offensive foul),,51,41
2,5:36.0,J. Butler enters the game for J. Ennis,,51,41
2,5:21.0,,Turnover by T. Ferguson (bad pass; steal by J. Bolden),51,41
2,5:06.0,B. Simmons misses 2-pt layup from 2 ft (block by J. Grant),,51,41
2,5:04.0,,Defensive rebound by S. Adams,51,41
2,5:00.0,,J. Grant misses 3-pt jump shot from 24 ft,51,41
2,4:56.0,Defensive rebound by T. Harris,,51,41
2,4:47.0,Personal foul by T. Ferguson (drawn by B. Simmons),,51,41
2,4:47.0,,D. Schröder enters the game for R. Felton,51,41
2,4:41.0,Offensive foul by B. Simmons (drawn by T. Ferguson),,51,41
2,4:41.0,Turnover by B. Simmons (offensive foul),,51,41
2,4:34.0,,J. Grant misses 3-pt jump shot from 24 ft,51,41
2,4:32.0,Defensive rebound by Team,,51,41
2,4:09.0,J. Redick misses 2-pt jump shot from 20 ft,,51,41
2,4:07.0,,Defensive rebound by R. Westbrook,51,41
2,4:03.0,,R. Westbrook makes 2-pt layup from 2 ft,51,43
2,3:41.0,J. Bolden makes 3-pt jump shot from 22 ft (assist by J. Butler),,54,43
2,3:29.0,,Shooting foul by T. Harris (drawn by J. Grant),54,43
2,3:29.0,,J. Grant misses free throw 1 of 2,54,43
2,3:29.0,,Offensive rebound by Team,54,43
2,3:29.0,M. Scott enters the game for T. Harris,,54,43
2,3:29.0,,M. Morris enters the game for S. Adams,54,43
2,3:29.0,,J. Grant makes free throw 2 of 2,54,44
2,3:12.0,J. Butler misses 2-pt jump shot from 19 ft,,54,44
2,3:08.0,,Defensive rebound by M. Morris,54,44
2,3:03.0,,Turnover by R. Westbrook (lost ball; steal by J. Butler),54,44
2,2:55.0,J. Butler makes 2-pt layup from 2 ft (assist by B. Simmons),,56,44
2,2:42.0,,R. Westbrook misses 2-pt jump shot from 4 ft,56,44
2,2:40.0,Defensive rebound by M. Scott,,56,44
2,2:28.0,J. Redick misses 3-pt jump shot from 25 ft,,56,44
2,2:27.0,Offensive rebound by B. Simmons,,56,44
2,2:27.0,Turnover by J. Redick (step out of bounds),,56,44
2,2:16.0,,R. Westbrook misses 3-pt jump shot from 24 ft,56,44
2,2:13.0,Defensive rebound by Team,,56,44
2,1:53.0,B. Simmons makes 2-pt dunk from 1 ft (assist by M. Scott),,58,44
2,1:30.0,,M. Morris makes 2-pt jump shot from 7 ft (assist by T. Ferguson),58,46
2,1:23.0,J. Butler misses 3-pt jump shot from 25 ft,,58,46
2,1:20.0,,Defensive rebound by J. Grant,58,46
2,1:15.0,,M. Morris makes 2-pt dunk from 1 ft (assist by R. Westbrook),58,48
2,0:56.0,J. Redick misses 2-pt jump shot from 20 ft,,58,48
2,0:55.0,,Defensive rebound by R. Westbrook,58,48
2,0:43.0,,Shooting foul by J. Bolden (drawn by R. Westbrook),58,48
2,0:43.0,,R. Westbrook makes free throw 1 of 2,58,49
2,0:43.0,T. Harris enters the game for J. Bolden,,58,49
2,0:43.0,T. McConnell enters the game for B. Simmons,,58,49
2,0:43.0,,R. Westbrook misses free throw 2 of 2,58,49
2,0:40.0,Defensive rebound by Team,,58,49
2,0:26.0,J. Butler makes 2-pt dunk from 1 ft (assist by T. McConnell),,60,49
2,0:07.0,,R. Westbrook misses 2-pt layup from 1 ft,60,49
2,0:05.0,Defensive rebound by J. Butler,,60,49
2,0:00.0,J. Redick misses 3-pt jump shot from 22 ft,,60,49
2,0:00.0,Offensive rebound by Team,,60,49
3,11:40.0,J. Butler makes 2-pt jump shot from 14 ft,,62,49
3,11:26.0,,R. Westbrook misses 3-pt jump shot from 26 ft,62,49
3,11:24.0,,Offensive rebound by S. Adams,62,49
3,11:21.0,,D. Schröder makes 3-pt jump shot from 25 ft (assist by T. Ferguson),62,52
3,11:05.0,J. Bolden makes 3-pt jump shot from 26 ft (assist by B. Simmons),,65,52
3,10:56.0,,Personal foul by J. Butler (drawn by D. Schröder),65,52
3,10:48.0,,J. Grant makes 2-pt layup from 1 ft (assist by D. Schröder),65,54
3,10:32.0,J. Bolden makes 2-pt layup at rim (assist by T. Harris),,67,54
3,10:27.0,,Oklahoma City full timeout,67,54
3,10:15.0,,S. Adams makes 2-pt layup from 2 ft (assist by D. Schröder),67,56
3,9:59.0,J. Butler misses 2-pt dunk from 1 ft,,67,56
3,9:57.0,,Defensive rebound by S. Adams,67,56
3,9:45.0,,D. Schröder makes 3-pt jump shot from 26 ft (assist by R. Westbrook),67,59
3,9:27.0,Personal foul by R. Westbrook (drawn by B. Simmons),,67,59
3,9:17.0,J. Butler misses 2-pt jump shot from 16 ft,,67,59
3,9:16.0,,Defensive rebound by Team,67,59
3,8:58.0,,S. Adams misses 2-pt dunk from 1 ft,67,59
3,8:56.0,Defensive rebound by J. Butler,,67,59
3,8:54.0,Shooting foul by D. Schröder (drawn by T. Harris),,67,59
3,8:54.0,T. Harris makes free throw 1 of 2,,68,59
3,8:54.0,T. Harris makes free throw 2 of 2,,69,59
3,8:48.0,,D. Schröder misses 3-pt jump shot from 26 ft,69,59
3,8:46.0,Defensive rebound by J. Redick,,69,59
3,8:36.0,B. Simmons makes 2-pt layup from 1 ft (assist by J. Butler),,71,59
3,8:24.0,,Turnover by R. Westbrook (bad pass),71,59
3,8:06.0,B. Simmons makes 2-pt layup from 1 ft (assist by J. Butler),,73,59
3,7:52.0,,D. Schröder misses 2-pt layup from 1 ft,73,59
3,7:50.0,,Offensive rebound by S. Adams,73,59
3,7:48.0,,S. Adams makes 2-pt dunk from 1 ft,73,61
3,7:32.0,T. Harris misses 2-pt jump shot from 7 ft,,73,61
3,7:32.0,,Defensive rebound by R. Westbrook,73,61
3,7:19.0,,D. Schröder misses 2-pt layup from 1 ft,73,61
3,7:17.0,Defensive rebound by J. Bolden,,73,61
3,7:12.0,J. Redick misses 3-pt jump shot from 23 ft,,73,61
3,7:09.0,,Defensive rebound by J. Grant,73,61
3,7:05.0,,J. Grant makes 2-pt layup from 2 ft (assist by R. Westbrook),73,63
3,7:05.0,Philadelphia full timeout,,73,63
3,7:05.0,A. Johnson enters the game for J. Bolden,,73,63
3,6:54.0,Offensive foul by A. Johnson (drawn by D. Schröder),,73,63
3,6:54.0,Turnover by A. Johnson (offensive foul),,73,63
3,6:37.0,,Offensive foul by S. Adams (drawn by A. Johnson),73,63
3,6:37.0,,Turnover by S. Adams (offensive foul),73,63
3,6:15.0,J. Redick misses 2-pt jump shot from 12 ft,,73,63
3,6:12.0,,Defensive rebound by J. Grant,73,63
3,6:02.0,,J. Grant makes 2-pt layup from 2 ft (assist by T. Ferguson),73,65
3,5:47.0,Personal foul by R. Westbrook (drawn by J. Butler),,73,65
3,5:32.0,T. Harris misses 2-pt jump shot from 13 ft,,73,65
3,5:30.0,,Defensive rebound by R. Westbrook,73,65
3,5:22.0,,J. Grant makes 3-pt jump shot from 26 ft (assist by D. Schröder),73,68
3,4:52.0,J. Redick misses 3-pt jump shot from 25 ft,,73,68
3,4:52.0,Offensive rebound by Team,,73,68
3,4:52.0,Turnover by Team (shot clock),,73,68
3,4:42.0,,R. Westbrook misses 3-pt jump shot from 27 ft,73,68
3,4:38.0,,Offensive rebound by S. Adams,73,68
3,4:37.0,,T. Ferguson makes 3-pt jump shot from 23 ft (assist by S. Adams),73,71
3,4:26.0,A. Johnson makes 2-pt jump shot from 6 ft (assist by B. Simmons),,75,71
3,4:11.0,,R. Westbrook misses 2-pt jump shot from 17 ft,75,71
3,4:09.0,Defensive rebound by B. Simmons,,75,71
3,4:03.0,J. Butler makes 2-pt layup from 1 ft (assist by B. Simmons),,77,71
3,3:52.0,,S. Adams makes 2-pt jump shot from 10 ft (assist by R. Westbrook),77,73
3,3:31.0,J. Butler misses 3-pt jump shot from 25 ft,,77,73
3,3:29.0,,Defensive rebound by R. Westbrook,77,73
3,3:26.0,,T. Ferguson misses 3-pt jump shot from 23 ft,77,73
3,3:22.0,,Offensive rebound by S. Adams,77,73
3,3:18.0,,J. Grant misses 2-pt layup from 4 ft (block by B. Simmons),77,73
3,3:14.0,Defensive rebound by J. Butler,,77,73
3,3:14.0,Personal foul by T. Ferguson (drawn by B. Simmons),,77,73
3,3:14.0,J. Ennis enters the game for J. Butler,,77,73
3,3:14.0,T. McConnell enters the game for A. Johnson,,77,73
3,3:14.0,M. Scott enters the game for J. Redick,,77,73
3,3:14.0,,A. Nader enters the game for S. Adams,77,73
3,3:14.0,,N. Noel enters the game for D. Schröder,77,73
3,2:54.0,T. Harris misses 2-pt jump shot from 17 ft,,77,73
3,2:51.0,,Defensive rebound by R. Westbrook,77,73
3,2:41.0,,R. Westbrook makes 2-pt layup from 2 ft,77,75
3,2:41.0,Violation by Team (def goaltending),,77,75
3,2:22.0,Shooting foul by N. Noel (drawn by T. Harris),,77,75
3,2:22.0,T. Harris makes free throw 1 of 2,,78,75
3,2:22.0,T. Harris makes free throw 2 of 2,,79,75
3,2:05.0,,J. Grant misses 2-pt layup from 5 ft (block by B. Simmons),79,75
3,2:01.0,Defensive rebound by B. Simmons,,79,75
3,1:58.0,T. Harris makes 2-pt dunk from 1 ft (assist by T. McConnell),,81,75
3,1:38.0,,R. Westbrook misses 3-pt jump shot from 26 ft,81,75
3,1:35.0,Defensive rebound by B. Simmons,,81,75
3,1:29.0,T. Harris makes 3-pt jump shot from 26 ft (assist by B. Simmons),,84,75
3,1:22.0,,Shooting foul by B. Simmons (drawn by R. Westbrook),84,75
3,1:22.0,,Offensive rebound by Team,84,75
3,1:22.0,,R. Westbrook misses free throw 1 of 2,84,75
3,1:22.0,J. Butler enters the game for B. Simmons,,84,75
3,1:22.0,,R. Felton enters the game for T. Ferguson,84,75
3,1:22.0,,R. Westbrook misses free throw 2 of 2,84,75
3,1:19.0,Defensive rebound by T. Harris,,84,75
3,1:09.0,J. Butler makes 2-pt layup from 2 ft,,86,75
3,0:56.0,,R. Felton misses 2-pt jump shot from 22 ft,86,75
3,0:56.0,Defensive rebound by J. Butler,,86,75
3,0:45.0,Shooting foul by R. Felton (drawn by J. Butler),,86,75
3,0:45.0,J. Butler misses free throw 1 of 2,,86,75
3,0:45.0,Offensive rebound by Team,,86,75
3,0:45.0,,D. Schröder enters the game for R. Westbrook,86,75
3,0:45.0,J. Butler misses free throw 2 of 2,,86,75
3,0:44.0,,Defensive rebound by A. Nader,86,75
3,0:32.0,,D. Schröder makes 2-pt layup from 1 ft,86,77
3,0:32.0,Violation by Team (def goaltending),,86,77
3,0:23.0,J. Butler misses 2-pt jump shot from 14 ft,,86,77
3,0:20.0,,Defensive rebound by J. Grant,86,77
3,0:04.0,,D. Schröder misses 2-pt layup from 1 ft (block by T. Harris),86,77
3,0:03.0,,Offensive rebound by Team,86,77
3,0:00.0,,Personal foul by J. Butler (drawn by N. Noel),86,77
3,0:00.0,,N. Noel makes free throw 1 of 2,86,78
3,0:00.0,,N. Noel makes free throw 2 of 2,86,79
4,11:46.0,,Personal foul by M. Scott (drawn by D. Schröder),86,79
4,11:34.0,,M. Morris misses 2-pt jump shot from 14 ft,86,79
4,11:30.0,Defensive rebound by J. Ennis,,86,79
4,11:10.0,J. Butler misses 2-pt layup from 2 ft (block by N. Noel),,86,79
4,11:10.0,Offensive rebound by Team,,86,79
4,11:07.0,J. Ennis misses 3-pt jump shot from 25 ft,,86,79
4,11:05.0,,Defensive rebound by A. Nader,86,79
4,10:56.0,,Shooting foul by T. McConnell (drawn by D. Schröder),86,79
4,10:56.0,,D. Schröder misses free throw 1 of 2,86,79
4,10:56.0,,Offensive rebound by Team,86,79
4,10:56.0,B. Simmons enters the game for T. Harris,,86,79
4,10:56.0,,D. Schröder makes free throw 2 of 2,86,80
4,10:42.0,T. McConnell misses 2-pt jump shot from 12 ft,,86,80
4,10:39.0,,Defensive rebound by M. Morris,86,80
4,10:33.0,,Turnover by D. Schröder (lost ball; steal by T. McConnell),86,80
4,10:22.0,Turnover by J. Ennis (bad pass; steal by A. Nader),,86,80
4,10:14.0,,M. Morris makes 2-pt jump shot from 4 ft (assist by D. Schröder),86,82
4,10:14.0,Philadelphia full timeout,,86,82
4,10:14.0,A. Johnson enters the game for M. Scott,,86,82
4,10:14.0,,S. Adams enters the game for N. Noel,86,82
4,9:51.0,T. McConnell misses 2-pt jump shot from 16 ft,,86,82
4,9:49.0,,Defensive rebound by M. Morris,86,82
4,9:28.0,,M. Morris makes 2-pt jump shot from 19 ft (assist by D. Schröder),86,84
4,9:11.0,J. Butler makes 2-pt jump shot from 9 ft,,88,84
4,9:11.0,Shooting foul by M. Morris (drawn by J. Butler),,88,84
4,9:11.0,J. Butler makes free throw 1 of 1,,89,84
4,8:54.0,,M. Morris misses 2-pt hook shot from 7 ft,89,84
4,8:51.0,Defensive rebound by B. Simmons,,89,84
4,8:41.0,Shooting foul by D. Schröder (drawn by J. Butler),,89,84
4,8:41.0,J. Butler makes free throw 1 of 2,,90,84
4,8:41.0,,R. Westbrook enters the game for D. Schröder,90,84
4,8:41.0,J. Butler misses free throw 2 of 2,,90,84
4,8:38.0,,Defensive rebound by R. Westbrook,90,84
4,8:35.0,,Personal foul by A. Johnson (drawn by S. Adams),90,84
4,8:18.0,,Shooting foul by A. Johnson (drawn by M. Morris),90,84
4,8:18.0,,M. Morris makes free throw 1 of 2,90,85
4,8:18.0,T. Harris enters the game for J. Butler,,90,85
4,8:18.0,J. Redick enters the game for J. Ennis,,90,85
4,8:18.0,,T. Ferguson enters the game for R. Felton,90,85
4,8:18.0,,M. Morris makes free throw 2 of 2,90,86
4,8:03.0,A. Johnson misses 2-pt jump shot from 7 ft,,90,86
4,7:59.0,Offensive rebound by T. McConnell,,90,86
4,7:57.0,T. McConnell misses 2-pt jump shot from 16 ft,,90,86
4,7:54.0,,Defensive rebound by S. Adams,90,86
4,7:44.0,,S. Adams misses 2-pt jump shot from 10 ft,90,86
4,7:41.0,Defensive rebound by B. Simmons,,90,86
4,7:21.0,T. Harris misses 2-pt jump shot from 7 ft,,90,86
4,7:19.0,,Defensive rebound by Team,90,86
4,7:06.0,,M. Morris misses 3-pt jump shot from 25 ft,90,86
4,7:03.0,,Offensive rebound by S. Adams,90,86
4,6:56.0,,R. Westbrook misses 3-pt jump shot from 26 ft,90,86
4,6:51.0,Defensive rebound by A. Johnson,,90,86
4,6:33.0,J. Redick misses 3-pt jump shot from 26 ft,,90,86
4,6:29.0,,Defensive rebound by S. Adams,90,86
4,6:25.0,,R. Westbrook makes 2-pt layup from 3 ft,90,88
4,6:08.0,J. Redick makes 3-pt jump shot from 24 ft (assist by B. Simmons),,93,88
4,5:51.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by R. Westbrook),93,91
4,5:37.0,Shooting foul by M. Morris (drawn by B. Simmons),,93,91
4,5:37.0,B. Simmons misses free throw 1 of 2,,93,91
4,5:37.0,Offensive rebound by Team,,93,91
4,5:37.0,,Oklahoma City full timeout,93,91
