QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DALLAS_ACTION,LA LAKERS_SCORE,DALLAS_SCORE
2,10:20.0,,D. Finney-Smith makes 2-pt dunk from 1 ft,29,40
2,10:00.0,L. Stephenson misses 3-pt jump shot from 23 ft,,29,40
2,10:00.0,Offensive rebound by Team,,29,40
2,9:52.0,T. Chandler misses 2-pt jump shot from 6 ft (block by D. Nowitzki),,29,40
2,9:52.0,,Defensive rebound by Team,29,40
2,9:41.0,,Turnover by D. Finney-Smith (step out of bounds),29,40
2,9:34.0,L. Stephenson misses 3-pt jump shot from 26 ft,,29,40
2,9:31.0,,Defensive rebound by D. Finney-Smith,29,40
2,9:20.0,,J. Barea misses 2-pt jump shot from 9 ft,29,40
2,9:17.0,,Offensive rebound by J. Barea,29,40
2,9:15.0,,J. Barea makes 2-pt layup from 4 ft,29,42
2,9:06.0,T. Chandler makes 2-pt jump shot from 5 ft (assist by L. Stephenson),,31,42
2,8:56.0,,J. Barea misses 2-pt jump shot from 12 ft,31,42
2,8:56.0,,Offensive rebound by D. Finney-Smith,31,42
2,8:53.0,,D. Finney-Smith makes 2-pt layup from 2 ft,31,44
2,8:53.0,LA Lakers full timeout,,31,44
2,8:53.0,B. Ingram enters the game for L. Stephenson,,31,44
2,8:42.0,S. Mykhailiuk misses 3-pt jump shot from 25 ft,,31,44
2,8:38.0,,Defensive rebound by D. Nowitzki,31,44
2,8:27.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,31,44
2,8:23.0,,Offensive rebound by D. Finney-Smith,31,44
2,8:21.0,,D. Finney-Smith makes 2-pt layup from 1 ft,31,46
2,8:06.0,M. Beasley makes 2-pt jump shot from 17 ft (assist by B. Ingram),,33,46
2,7:54.0,,D. Harris misses 2-pt layup from 1 ft,33,46
2,7:53.0,,Offensive rebound by D. Powell,33,46
2,7:52.0,,D. Powell makes 2-pt layup from 1 ft,33,48
2,7:42.0,Shooting foul by D. Nowitzki (drawn by B. Ingram),,33,48
2,7:42.0,B. Ingram makes free throw 1 of 2,,34,48
2,7:42.0,J. Hart enters the game for M. Beasley,,34,48
2,7:42.0,K. Kuzma enters the game for S. Mykhailiuk,,34,48
2,7:42.0,B. Ingram misses free throw 2 of 2,,34,48
2,7:39.0,Offensive rebound by T. Chandler,,34,48
2,7:28.0,B. Ingram makes 2-pt jump shot from 14 ft (assist by T. Chandler),,36,48
2,6:58.0,,J. Barea makes 2-pt layup from 3 ft,36,50
2,6:41.0,K. Kuzma makes 2-pt jump shot from 2 ft,,38,50
2,6:30.0,,Shooting foul by J. Hart (drawn by J. Barea),38,50
2,6:30.0,,J. Barea makes free throw 1 of 2,38,51
2,6:30.0,L. Ball enters the game for K. Caldwell-Pope,,38,51
2,6:30.0,,J. Barea misses free throw 2 of 2,38,51
2,6:28.0,Defensive rebound by B. Ingram,,38,51
2,6:20.0,B. Ingram makes 2-pt layup from 2 ft,,40,51
2,6:20.0,Shooting foul by D. Nowitzki (drawn by B. Ingram),,40,51
2,6:20.0,,H. Barnes enters the game for D. Nowitzki,40,51
2,6:20.0,,D. Jordan enters the game for D. Powell,40,51
2,6:20.0,B. Ingram makes free throw 1 of 1,,41,51
2,6:07.0,,J. Barea misses 2-pt jump shot from 7 ft,41,51
2,6:06.0,Defensive rebound by Team,,41,51
2,6:06.0,J. McGee enters the game for T. Chandler,,41,51
2,5:56.0,B. Ingram misses 2-pt jump shot from 12 ft,,41,51
2,5:53.0,,Defensive rebound by D. Finney-Smith,41,51
2,5:44.0,,Def 3 sec tech foul by Team,41,51
2,5:44.0,,L. Dončić enters the game for J. Barea,41,51
2,5:44.0,,W. Matthews enters the game for D. Finney-Smith,41,51
2,5:44.0,,D. Smith enters the game for D. Harris,41,51
2,5:44.0,,H. Barnes makes technical free throw,41,52
2,5:34.0,,Turnover by D. Smith (bad pass; steal by J. Hart),41,52
2,5:32.0,Turnover by J. Hart (bad pass; steal by H. Barnes),,41,52
2,5:26.0,,Shooting foul by K. Kuzma (drawn by L. Dončić),41,52
2,5:26.0,,L. Dončić makes free throw 1 of 2,41,53
2,5:26.0,,L. Dončić makes free throw 2 of 2,41,54
2,5:14.0,K. Kuzma misses 3-pt jump shot from 25 ft,,41,54
2,5:10.0,Offensive rebound by K. Kuzma,,41,54
2,4:59.0,L. Ball makes 3-pt jump shot from 27 ft (assist by J. Hart),,44,54
2,4:42.0,,Turnover by W. Matthews (bad pass),44,54
2,4:26.0,K. Kuzma misses 2-pt jump shot from 8 ft,,44,54
2,4:24.0,,Defensive rebound by D. Jordan,44,54
2,4:14.0,,W. Matthews makes 3-pt jump shot from 23 ft (assist by D. Smith),44,57
2,4:12.0,B. Ingram misses 2-pt jump shot from 14 ft,,44,57
2,3:57.0,Offensive rebound by J. McGee,,44,57
2,3:47.0,K. Kuzma makes 2-pt jump shot from 3 ft,,46,57
2,3:32.0,,D. Smith makes 3-pt jump shot from 26 ft (assist by W. Matthews),46,60
2,3:16.0,Turnover by J. McGee (bad pass; steal by D. Jordan),,46,60
2,3:11.0,,D. Smith misses 2-pt layup from 2 ft,46,60
2,3:10.0,Defensive rebound by J. Hart,,46,60
2,3:06.0,Shooting foul by L. Dončić (drawn by K. Kuzma),,46,60
2,3:06.0,K. Kuzma makes free throw 1 of 2,,47,60
2,3:06.0,K. Kuzma misses free throw 2 of 2,,47,60
2,3:04.0,,Defensive rebound by L. Dončić,47,60
2,2:54.0,,Shooting foul by J. McGee (drawn by D. Jordan),47,60
2,2:54.0,,Dallas full timeout,47,60
2,2:54.0,,M. Kleber enters the game for D. Smith,47,60
2,2:54.0,,D. Jordan makes free throw 1 of 2,47,61
2,2:54.0,,D. Jordan makes free throw 2 of 2,47,62
2,2:43.0,K. Kuzma misses 2-pt hook shot from 7 ft (block by D. Jordan),,47,62
2,2:41.0,Offensive rebound by Team,,47,62
2,2:32.0,K. Kuzma misses 2-pt jump shot from 11 ft (block by M. Kleber),,47,62
2,2:29.0,,Defensive rebound by L. Dončić,47,62
2,2:20.0,,L. Dončić misses 2-pt jump shot from 10 ft,47,62
2,2:17.0,Defensive rebound by J. McGee,,47,62
2,2:11.0,B. Ingram makes 2-pt layup from 3 ft (assist by J. Hart),,49,62
2,1:50.0,,L. Dončić makes 2-pt jump shot from 7 ft,49,64
2,1:46.0,J. Hart makes 2-pt jump shot from 3 ft (assist by B. Ingram),,51,64
2,1:46.0,Shooting foul by M. Kleber (drawn by J. Hart),,51,64
2,1:46.0,K. Caldwell-Pope enters the game for K. Kuzma,,51,64
2,1:46.0,J. Hart makes free throw 1 of 1,,52,64
2,1:31.0,,W. Matthews makes 2-pt jump shot from 14 ft,52,66
2,1:19.0,B. Ingram misses 2-pt jump shot from 8 ft,,52,66
2,1:17.0,Offensive rebound by J. McGee,,52,66
2,1:16.0,J. McGee misses 2-pt layup at rim,,52,66
2,1:14.0,,Defensive rebound by D. Jordan,52,66
2,1:09.0,,Shooting foul by J. McGee (drawn by D. Jordan),52,66
2,1:09.0,,D. Jordan misses free throw 1 of 2,52,66
2,1:09.0,,Offensive rebound by Team,52,66
2,1:09.0,,D. Jordan misses free throw 2 of 2,52,66
2,1:07.0,Defensive rebound by J. Hart,,52,66
2,1:02.0,J. Hart misses 2-pt layup from 2 ft (block by D. Jordan),,52,66
2,0:59.0,,Defensive rebound by W. Matthews,52,66
2,0:57.0,,Turnover by W. Matthews (lost ball; steal by J. Hart),52,66
2,0:53.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,52,66
2,0:50.0,,Defensive rebound by L. Dončić,52,66
2,0:34.0,,Personal foul by J. Hart (drawn by L. Dončić),52,66
2,0:34.0,,L. Dončić misses free throw 1 of 2,52,66
2,0:34.0,,Offensive rebound by Team,52,66
2,0:34.0,K. Kuzma enters the game for J. McGee,,52,66
2,0:34.0,,L. Dončić makes free throw 2 of 2,52,67
2,0:28.0,L. Ball misses 3-pt jump shot from 29 ft,,52,67
2,0:25.0,,Defensive rebound by H. Barnes,52,67
2,0:05.0,,L. Dončić misses 2-pt jump shot from 6 ft,52,67
2,0:02.0,Defensive rebound by L. Ball,,52,67
2,0:00.0,J. Hart makes 2-pt jump shot from 20 ft (assist by K. Kuzma),,54,67
3,11:49.0,J. McGee misses 2-pt hook shot from 8 ft,,54,67
3,11:45.0,,Defensive rebound by D. Jordan,54,67
3,11:32.0,,Turnover by H. Barnes (bad pass; steal by B. Ingram),54,67
3,11:25.0,J. Hart misses 3-pt jump shot from 27 ft,,54,67
3,11:22.0,,Defensive rebound by L. Dončić,54,67
3,11:03.0,,D. Smith misses 2-pt layup from 4 ft,54,67
3,11:01.0,Defensive rebound by L. Ball,,54,67
3,10:58.0,K. Kuzma makes 3-pt jump shot from 24 ft (assist by B. Ingram),,57,67
3,10:31.0,,W. Matthews misses 3-pt jump shot from 23 ft,57,67
3,10:28.0,Defensive rebound by K. Kuzma,,57,67
3,10:11.0,L. Ball makes 2-pt jump shot from 20 ft,,59,67
3,10:10.0,,Dallas full timeout,59,67
3,9:58.0,,L. Dončić makes 2-pt dunk from 1 ft (assist by W. Matthews),59,69
3,9:44.0,K. Kuzma makes 3-pt jump shot from 26 ft (assist by B. Ingram),,62,69
3,9:31.0,,L. Dončić makes 2-pt jump shot from 3 ft,62,71
3,9:20.0,J. Hart misses 3-pt jump shot from 26 ft,,62,71
3,9:17.0,,Defensive rebound by D. Jordan,62,71
3,9:08.0,,Turnover by W. Matthews (bad pass; steal by J. Hart),62,71
3,9:03.0,K. Kuzma misses 3-pt jump shot from 25 ft,,62,71
3,9:02.0,Offensive rebound by B. Ingram,,62,71
3,9:01.0,B. Ingram misses 2-pt jump shot from 9 ft,,62,71
3,8:59.0,,Defensive rebound by D. Jordan,62,71
3,8:45.0,,H. Barnes misses 2-pt jump shot from 14 ft,62,71
3,8:41.0,Defensive rebound by J. McGee,,62,71
3,8:31.0,B. Ingram misses 2-pt layup from 1 ft,,62,71
3,8:29.0,,Defensive rebound by L. Dončić,62,71
3,8:26.0,,H. Barnes misses 3-pt jump shot from 24 ft,62,71
3,8:22.0,Defensive rebound by L. Ball,,62,71
3,8:13.0,J. McGee makes 2-pt jump shot from 3 ft (assist by L. Ball),,64,71
3,7:57.0,,Personal foul by B. Ingram (drawn by L. Dončić),64,71
3,7:46.0,,D. Smith misses 2-pt jump shot from 14 ft,64,71
3,7:40.0,Defensive rebound by J. McGee,,64,71
3,7:28.0,Turnover by J. McGee (lost ball; steal by D. Smith),,64,71
3,7:20.0,,L. Dončić misses 3-pt jump shot from 26 ft,64,71
3,7:16.0,Defensive rebound by J. McGee,,64,71
3,7:02.0,Shooting foul by W. Matthews (drawn by B. Ingram),,64,71
3,7:02.0,B. Ingram makes free throw 1 of 2,,65,71
3,7:02.0,T. Chandler enters the game for J. McGee,,65,71
3,7:02.0,B. Ingram makes free throw 2 of 2,,66,71
3,6:43.0,,L. Dončić makes 3-pt jump shot from 26 ft,66,74
3,6:20.0,Def 3 sec tech foul by Team,,66,74
3,6:20.0,K. Kuzma makes technical free throw,,67,74
3,6:11.0,Turnover by K. Kuzma (traveling),,67,74
3,6:03.0,,L. Dončić misses 2-pt jump shot from 8 ft,67,74
3,5:59.0,Defensive rebound by T. Chandler,,67,74
3,5:53.0,B. Ingram makes 2-pt jump shot from 8 ft,,69,74
3,5:29.0,,Turnover by D. Smith (lost ball; steal by J. Hart),69,74
3,5:26.0,Shooting foul by W. Matthews (drawn by J. Hart),,69,74
3,5:26.0,J. Hart makes free throw 1 of 2,,70,74
3,5:26.0,,J. Barea enters the game for W. Matthews,70,74
3,5:26.0,,M. Kleber enters the game for D. Smith,70,74
3,5:26.0,J. Hart makes free throw 2 of 2,,71,74
3,5:15.0,,H. Barnes misses 3-pt jump shot from 26 ft,71,74
3,5:11.0,Defensive rebound by L. Ball,,71,74
3,5:01.0,Turnover by L. Ball (bad pass; steal by L. Dončić),,71,74
3,4:48.0,,Turnover by L. Dončić (bad pass; steal by B. Ingram),71,74
3,4:45.0,B. Ingram makes 2-pt dunk from 1 ft (assist by T. Chandler),,73,74
3,4:23.0,,J. Barea makes 2-pt jump shot from 16 ft,73,76
3,4:13.0,B. Ingram makes 2-pt layup from 1 ft,,75,76
3,3:56.0,,H. Barnes misses 2-pt jump shot from 8 ft (block by T. Chandler),75,76
3,3:54.0,Defensive rebound by K. Kuzma,,75,76
3,3:50.0,L. Ball misses 2-pt layup from 3 ft (block by L. Dončić),,75,76
3,3:49.0,Offensive rebound by L. Ball,,75,76
3,3:49.0,L. Ball misses 2-pt layup from 1 ft,,75,76
3,3:48.0,Offensive rebound by L. Ball,,75,76
3,3:47.0,Shooting foul by D. Jordan (drawn by L. Ball),,75,76
3,3:47.0,L. Ball misses free throw 1 of 2,,75,76
3,3:47.0,Offensive rebound by Team,,75,76
3,3:47.0,,D. Harris enters the game for L. Dončić,75,76
3,3:47.0,,D. Powell enters the game for D. Jordan,75,76
3,3:47.0,L. Ball makes free throw 2 of 2,,76,76
3,3:32.0,,Personal foul by B. Ingram (drawn by J. Barea),76,76
3,3:32.0,K. Caldwell-Pope enters the game for B. Ingram,,76,76
3,3:32.0,,D. Finney-Smith enters the game for H. Barnes,76,76
3,3:32.0,,D. Nowitzki enters the game for M. Kleber,76,76
3,3:24.0,,J. Barea misses 2-pt jump shot from 14 ft,76,76
3,3:20.0,Defensive rebound by J. Hart,,76,76
3,3:16.0,K. Kuzma misses 3-pt jump shot from 24 ft,,76,76
3,3:13.0,,Defensive rebound by D. Finney-Smith,76,76
3,3:00.0,,D. Harris makes 2-pt jump shot from 18 ft (assist by D. Nowitzki),76,78
3,2:57.0,LA Lakers full timeout,,76,78
3,2:57.0,M. Beasley enters the game for K. Kuzma,,76,78
3,2:42.0,L. Ball makes 2-pt dunk at rim (assist by J. Hart),,78,78
3,2:28.0,,J. Barea makes 2-pt layup from 2 ft,78,80
3,2:13.0,K. Caldwell-Pope misses 2-pt jump shot from 10 ft,,78,80
3,2:11.0,,Defensive rebound by D. Harris,78,80
3,2:04.0,,D. Harris misses 3-pt jump shot from 25 ft,78,80
3,2:00.0,Defensive rebound by J. Hart,,78,80
3,1:54.0,M. Beasley makes 2-pt jump shot from 3 ft (assist by L. Ball),,80,80
3,1:54.0,Shooting foul by D. Powell (drawn by M. Beasley),,80,80
3,1:54.0,M. Beasley misses free throw 1 of 1,,80,80
3,1:52.0,,Defensive rebound by D. Powell,80,80
3,1:40.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,80,80
3,1:38.0,Defensive rebound by Team,,80,80
3,1:29.0,L. Ball misses 3-pt jump shot from 27 ft,,80,80
3,1:25.0,,Defensive rebound by D. Powell,80,80
3,1:18.0,,J. Barea misses 3-pt jump shot from 27 ft,80,80
3,1:14.0,Defensive rebound by J. Hart,,80,80
3,1:12.0,L. Ball makes 2-pt dunk from 1 ft (assist by J. Hart),,82,80
3,1:00.0,,D. Powell misses 3-pt jump shot from 27 ft,82,80
3,0:57.0,,Offensive rebound by D. Powell,82,80
3,0:54.0,,Turnover by J. Barea (bad pass),82,80
3,0:44.0,M. Beasley makes 2-pt jump shot from 6 ft,,84,80
3,0:30.0,,D. Harris misses 3-pt jump shot from 26 ft,84,80
3,0:26.0,Defensive rebound by J. Hart,,84,80
3,0:05.0,Personal foul by J. Barea (drawn by M. Beasley),,84,80
3,0:05.0,M. Beasley makes free throw 1 of 2,,85,80
3,0:05.0,M. Beasley makes free throw 2 of 2,,86,80
3,0:00.0,,D. Harris misses 3-pt jump shot from 28 ft,86,80
3,0:00.0,,Offensive rebound by Team,86,80
4,11:47.0,,Turnover by D. Harris (out of bounds lost ball),86,80
4,11:34.0,M. Beasley misses 2-pt jump shot from 10 ft,,86,80
4,11:31.0,,Defensive rebound by D. Nowitzki,86,80
4,11:23.0,,Turnover by D. Harris (lost ball; steal by K. Caldwell-Pope),86,80
4,11:16.0,K. Caldwell-Pope misses 2-pt layup from 1 ft,,86,80
4,11:15.0,Offensive rebound by J. Hart,,86,80
4,11:14.0,J. Hart makes 2-pt layup from 1 ft,,88,80
4,11:14.0,,Dallas full timeout,88,80
4,11:14.0,,L. Dončić enters the game for D. Finney-Smith,88,80
4,11:14.0,,W. Matthews enters the game for D. Harris,88,80
4,11:06.0,,Personal foul by J. Hart (drawn by L. Dončić),88,80
4,11:00.0,,L. Dončić makes 2-pt jump shot from 10 ft,88,82
4,10:43.0,B. Ingram makes 2-pt jump shot from 2 ft (assist by M. Beasley),,90,82
4,10:20.0,,J. Barea misses 3-pt jump shot from 23 ft (block by M. Beasley),90,82
4,10:18.0,,Offensive rebound by Team,90,82
4,10:18.0,,Turnover by Team (shot clock),90,82
4,10:00.0,Shooting foul by D. Powell (drawn by M. Beasley),,90,82
4,10:00.0,M. Beasley misses free throw 1 of 2,,90,82
4,10:00.0,Offensive rebound by Team,,90,82
4,10:00.0,,H. Barnes enters the game for D. Nowitzki,90,82
4,10:00.0,,D. Jordan enters the game for D. Powell,90,82
4,10:00.0,M. Beasley makes free throw 2 of 2,,91,82
4,9:52.0,,Personal foul by M. Beasley (drawn by H. Barnes),91,82
4,9:52.0,K. Kuzma enters the game for M. Beasley,,91,82
4,9:40.0,,H. Barnes misses 2-pt layup from 2 ft,91,82
4,9:39.0,,Offensive rebound by H. Barnes,91,82
4,9:38.0,,H. Barnes misses 2-pt layup at rim,91,82
4,9:36.0,,Offensive rebound by H. Barnes,91,82
4,9:33.0,,W. Matthews misses 3-pt jump shot from 25 ft,91,82
4,9:31.0,Defensive rebound by J. Hart,,91,82
4,9:24.0,LA Lakers full timeout,,91,82
4,9:15.0,J. Hart makes 3-pt jump shot from 25 ft (assist by K. Caldwell-Pope),,94,82
4,9:06.0,,Personal foul by J. Hart (drawn by L. Dončić),94,82
4,9:06.0,,D. Smith enters the game for J. Barea,94,82
4,8:57.0,,Turnover by D. Jordan (bad pass; steal by T. Chandler),94,82
4,8:52.0,B. Ingram makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),,96,82
4,8:40.0,,Turnover by D. Jordan (bad pass; steal by T. Chandler),96,82
4,8:17.0,J. Hart misses 2-pt jump shot from 6 ft,,96,82
4,8:15.0,,Defensive rebound by D. Jordan,96,82
4,8:06.0,,Loose ball foul by D. Jordan (drawn by K. Caldwell-Pope),96,82
4,8:06.0,,Turnover by D. Jordan (turnover),96,82
4,7:53.0,B. Ingram misses 2-pt jump shot from 20 ft,,96,82
4,7:48.0,,Defensive rebound by H. Barnes,96,82
4,7:44.0,,L. Dončić makes 3-pt jump shot from 26 ft,96,85
4,7:44.0,LA Lakers full timeout,,96,85
4,7:26.0,K. Kuzma misses 3-pt jump shot from 25 ft,,96,85
4,7:23.0,,Defensive rebound by D. Jordan,96,85
4,7:09.0,,D. Smith misses 2-pt layup from 2 ft,96,85
4,7:04.0,Defensive rebound by K. Kuzma,,96,85
4,7:00.0,Personal foul by D. Smith (drawn by T. Chandler),,96,85
4,7:00.0,L. Ball enters the game for K. Caldwell-Pope,,96,85
4,6:51.0,B. Ingram misses 2-pt jump shot from 10 ft,,96,85
4,6:47.0,Offensive rebound by T. Chandler,,96,85
