QUARTER,TIME_REMAINING,WASHINGTON_ACTION,PHILADELPHIA_ACTION,WASHINGTON_SCORE,PHILADELPHIA_SCORE
2,0:43.0,,Personal foul by J. Green (drawn by B. Simmons),43,67
2,0:43.0,,B. Simmons makes free throw 1 of 2,43,68
2,0:43.0,,B. Simmons misses free throw 2 of 2,43,68
2,0:41.0,Defensive rebound by T. Ariza,,43,68
2,0:30.0,T. Satoranský makes 2-pt jump shot from 21 ft,,45,68
2,0:13.0,,Offensive foul by J. Embiid (drawn by I. Mahinmi),45,68
2,0:13.0,,Turnover by J. Embiid (offensive foul),45,68
2,0:02.0,Turnover by T. Satoranský (bad pass; steal by B. Simmons),,45,68
3,11:43.0,B. Beal misses 3-pt jump shot from 25 ft,,45,68
3,11:40.0,,Defensive rebound by J. Embiid,45,68
3,11:26.0,,F. Korkmaz misses 3-pt jump shot from 25 ft,45,68
3,11:21.0,Defensive rebound by T. Ariza,,45,68
3,11:14.0,T. Ariza misses 3-pt jump shot from 26 ft,,45,68
3,11:12.0,,Defensive rebound by J. Embiid,45,68
3,11:02.0,,J. Embiid makes 3-pt jump shot from 27 ft (assist by B. Simmons),45,71
3,10:46.0,Personal foul by W. Chandler (drawn by T. Ariza),,45,71
3,10:39.0,J. Green makes 2-pt jump shot from 14 ft,,47,71
3,10:27.0,,J. Embiid makes 2-pt layup from 3 ft (assist by B. Simmons),47,73
3,10:14.0,B. Beal misses 2-pt jump shot from 17 ft,,47,73
3,10:12.0,,Defensive rebound by J. Embiid,47,73
3,9:48.0,,F. Korkmaz misses 3-pt jump shot from 27 ft,47,73
3,9:45.0,Defensive rebound by T. Ariza,,47,73
3,9:42.0,Shooting foul by F. Korkmaz (drawn by J. Green),,47,73
3,9:42.0,J. Green misses free throw 1 of 2,,47,73
3,9:42.0,Offensive rebound by Team,,47,73
3,9:42.0,J. Green makes free throw 2 of 2,,48,73
3,9:26.0,,J. Butler makes 2-pt layup from 2 ft (assist by B. Simmons),48,75
3,9:26.0,,Shooting foul by T. Ariza (drawn by J. Butler),48,75
3,9:26.0,,J. Butler misses free throw 1 of 1,48,75
3,9:23.0,Defensive rebound by T. Bryant,,48,75
3,9:15.0,Personal foul by J. Butler (drawn by B. Beal),,48,75
3,9:09.0,T. Satoranský misses 3-pt jump shot from 26 ft,,48,75
3,9:04.0,,Defensive rebound by J. Embiid,48,75
3,8:56.0,,Turnover by J. Embiid (bad pass; steal by J. Green),48,75
3,8:42.0,B. Beal makes 3-pt jump shot from 27 ft (assist by T. Ariza),,51,75
3,8:29.0,,F. Korkmaz makes 2-pt layup from 2 ft (assist by B. Simmons),51,77
3,8:19.0,Personal foul by F. Korkmaz (drawn by J. Green),,51,77
3,8:07.0,T. Ariza misses 2-pt layup from 3 ft,,51,77
3,8:03.0,,Defensive rebound by J. Butler,51,77
3,7:48.0,,B. Simmons makes 2-pt layup from 1 ft (assist by W. Chandler),51,79
3,7:32.0,T. Bryant misses 2-pt layup from 2 ft,,51,79
3,7:30.0,,Defensive rebound by J. Embiid,51,79
3,7:19.0,,F. Korkmaz makes 3-pt jump shot from 25 ft (assist by W. Chandler),51,82
3,7:18.0,Washington full timeout,,51,82
3,7:18.0,O. Porter enters the game for T. Bryant,,51,82
3,7:04.0,B. Beal makes 2-pt layup from 1 ft,,53,82
3,6:45.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by W. Chandler),53,84
3,6:27.0,O. Porter makes 2-pt jump shot from 3 ft (assist by J. Green),,55,84
3,6:08.0,,F. Korkmaz misses 3-pt jump shot from 28 ft,55,84
3,6:04.0,Defensive rebound by T. Satoranský,,55,84
3,5:57.0,J. Green misses 3-pt jump shot from 24 ft,,55,84
3,5:54.0,,Defensive rebound by J. Butler,55,84
3,5:49.0,,Personal foul by T. Satoranský (drawn by B. Simmons),55,84
3,5:49.0,,T. McConnell enters the game for W. Chandler,55,84
3,5:49.0,,M. Muscala enters the game for J. Embiid,55,84
3,5:49.0,,L. Shamet enters the game for F. Korkmaz,55,84
3,5:36.0,,M. Muscala misses 2-pt jump shot from 21 ft,55,84
3,5:33.0,Defensive rebound by T. Ariza,,55,84
3,5:22.0,J. Green makes 2-pt hook shot from 4 ft (assist by T. Satoranský),,57,84
3,5:12.0,,Turnover by M. Muscala (bad pass; steal by T. Ariza),57,84
3,5:05.0,J. Green makes 2-pt layup from 2 ft (assist by T. Ariza),,59,84
3,5:05.0,,Philadelphia full timeout,59,84
3,4:56.0,,Turnover by L. Shamet (bad pass; steal by O. Porter),59,84
3,4:54.0,Shooting foul by L. Shamet (drawn by B. Beal),,59,84
3,4:54.0,B. Beal makes free throw 1 of 2,,60,84
3,4:54.0,B. Beal makes free throw 2 of 2,,61,84
3,4:38.0,,Shooting foul by J. Green (drawn by J. Butler),61,84
3,4:38.0,,J. Butler makes free throw 1 of 2,61,85
3,4:38.0,,J. Butler misses free throw 2 of 2,61,85
3,4:35.0,Defensive rebound by B. Beal,,61,85
3,4:33.0,T. Ariza misses 3-pt jump shot from 27 ft,,61,85
3,4:29.0,,Defensive rebound by M. Muscala,61,85
3,4:24.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by B. Simmons),61,88
3,4:14.0,O. Porter makes 3-pt jump shot from 27 ft (assist by B. Beal),,64,88
3,3:53.0,,Turnover by T. McConnell (bad pass; steal by B. Beal),64,88
3,3:48.0,Turnover by B. Beal (out of bounds lost ball),,64,88
3,3:48.0,S. Dekker enters the game for T. Ariza,,64,88
3,3:48.0,C. Randle enters the game for T. Satoranský,,64,88
3,3:30.0,,Turnover by B. Simmons (3 sec),64,88
3,3:22.0,Turnover by C. Randle (bad pass; steal by T. McConnell),,64,88
3,3:18.0,,T. McConnell misses 2-pt layup from 2 ft,64,88
3,3:14.0,,Offensive rebound by B. Simmons,64,88
3,3:14.0,,B. Simmons misses 2-pt layup at rim,64,88
3,3:13.0,Defensive rebound by C. Randle,,64,88
3,3:12.0,S. Dekker misses 2-pt layup from 2 ft,,64,88
3,3:09.0,,Defensive rebound by L. Shamet,64,88
3,3:03.0,,L. Shamet makes 3-pt jump shot from 29 ft (assist by B. Simmons),64,91
3,2:50.0,B. Beal makes 3-pt jump shot from 28 ft,,67,91
3,2:38.0,,J. Butler makes 2-pt layup from 2 ft,67,93
3,2:26.0,Turnover by C. Randle (bad pass),,67,93
3,2:26.0,T. Brown enters the game for B. Beal,,67,93
3,2:26.0,,W. Chandler enters the game for J. Butler,67,93
3,2:26.0,,J. Embiid enters the game for M. Muscala,67,93
3,2:26.0,,S. Milton enters the game for B. Simmons,67,93
3,2:06.0,,J. Embiid makes 2-pt jump shot from 14 ft (assist by T. McConnell),67,95
3,1:56.0,J. Green makes 3-pt jump shot from 27 ft (assist by C. Randle),,70,95
3,1:46.0,,Shooting foul by C. Randle (drawn by L. Shamet),70,95
3,1:46.0,,L. Shamet makes free throw 1 of 3,70,96
3,1:46.0,,L. Shamet makes free throw 2 of 3,70,97
3,1:46.0,I. Mahinmi enters the game for J. Green,,70,97
3,1:46.0,,L. Shamet makes free throw 3 of 3,70,98
3,1:35.0,T. Brown misses 2-pt jump shot from 20 ft,,70,98
3,1:32.0,,Defensive rebound by S. Milton,70,98
3,1:26.0,,J. Embiid misses 3-pt jump shot from 26 ft,70,98
3,1:22.0,,Offensive rebound by S. Milton,70,98
3,1:12.0,,T. McConnell misses 2-pt jump shot from 11 ft,70,98
3,1:10.0,Defensive rebound by O. Porter,,70,98
3,1:01.0,O. Porter makes 3-pt jump shot from 24 ft (assist by T. Brown),,73,98
3,0:45.0,,L. Shamet makes 3-pt jump shot from 27 ft (assist by J. Embiid),73,101
3,0:29.0,O. Porter makes 3-pt jump shot from 25 ft (assist by I. Mahinmi),,76,101
3,0:10.0,,L. Shamet makes 3-pt jump shot from 27 ft (assist by J. Embiid),76,104
3,0:03.0,I. Mahinmi misses 3-pt jump shot from 26 ft (block by J. Embiid),,76,104
3,0:01.0,Offensive rebound by S. Dekker,,76,104
3,0:01.0,Shooting foul by S. Milton (drawn by S. Dekker),,76,104
3,0:01.0,S. Dekker makes free throw 1 of 2,,77,104
3,0:01.0,S. Dekker makes free throw 2 of 2,,78,104
4,11:39.0,,L. Shamet misses 3-pt jump shot from 28 ft,78,104
4,11:35.0,,Offensive rebound by M. Muscala,78,104
4,11:33.0,,S. Milton misses 3-pt jump shot from 28 ft,78,104
4,11:31.0,,Offensive rebound by L. Shamet,78,104
4,11:29.0,,Shooting foul by T. Brown (drawn by L. Shamet),78,104
4,11:29.0,,L. Shamet makes free throw 1 of 2,78,105
4,11:29.0,,L. Shamet makes free throw 2 of 2,78,106
4,11:15.0,I. Mahinmi makes 2-pt layup from 2 ft (assist by S. Dekker),,80,106
4,11:15.0,,Philadelphia full timeout,80,106
4,11:15.0,D. Robinson enters the game for O. Porter,,80,106
4,11:05.0,,Offensive foul by J. Bolden (drawn by T. Brown),80,106
4,11:05.0,,Turnover by J. Bolden (offensive foul),80,106
4,10:52.0,S. Dekker makes 2-pt layup from 2 ft (assist by I. Mahinmi),,82,106
4,10:37.0,,M. Muscala misses 2-pt jump shot from 10 ft,82,106
4,10:34.0,Defensive rebound by T. Brown,,82,106
4,10:28.0,T. Brown misses 2-pt jump shot from 17 ft,,82,106
4,10:25.0,,Defensive rebound by S. Milton,82,106
4,10:12.0,,L. Shamet misses 3-pt jump shot from 26 ft,82,106
4,10:11.0,Defensive rebound by D. Robinson,,82,106
4,10:08.0,D. Robinson makes 2-pt jump shot from 1 ft (assist by S. Dekker),,84,106
4,10:08.0,Shooting foul by S. Milton (drawn by D. Robinson),,84,106
4,10:08.0,D. Robinson makes free throw 1 of 1,,85,106
4,9:58.0,,T. McConnell makes 2-pt jump shot from 20 ft (assist by M. Muscala),85,108
4,9:58.0,,Shooting foul by C. Randle (drawn by T. McConnell),85,108
4,9:58.0,,T. McConnell makes free throw 1 of 1,85,109
4,9:46.0,T. Brown misses 2-pt layup from 1 ft,,85,109
4,9:42.0,Offensive rebound by S. Dekker,,85,109
4,9:42.0,S. Dekker misses 2-pt layup from 1 ft,,85,109
4,9:42.0,,Defensive rebound by M. Muscala,85,109
4,9:35.0,,T. McConnell makes 2-pt jump shot from 6 ft,85,111
4,9:26.0,C. Randle misses 2-pt jump shot from 6 ft,,85,111
4,9:20.0,Offensive rebound by I. Mahinmi,,85,111
4,9:20.0,I. Mahinmi makes 2-pt dunk from 1 ft,,87,111
4,9:13.0,,J. Bolden misses 2-pt jump shot from 23 ft,87,111
4,9:10.0,Defensive rebound by T. Brown,,87,111
4,8:56.0,S. Dekker misses 2-pt layup from 1 ft,,87,111
4,8:53.0,Offensive rebound by I. Mahinmi,,87,111
4,8:53.0,I. Mahinmi misses 2-pt dunk from 1 ft,,87,111
4,8:52.0,,Defensive rebound by L. Shamet,87,111
4,8:41.0,,L. Shamet misses 3-pt jump shot from 26 ft,87,111
4,8:39.0,Defensive rebound by Team,,87,111
4,8:31.0,Shooting foul by M. Muscala (drawn by I. Mahinmi),,87,111
4,8:31.0,I. Mahinmi makes free throw 1 of 2,,88,111
4,8:31.0,I. Mahinmi makes free throw 2 of 2,,89,111
4,8:19.0,,T. McConnell misses 2-pt jump shot from 13 ft,89,111
4,8:16.0,Defensive rebound by I. Mahinmi,,89,111
4,8:07.0,S. Dekker makes 2-pt jump shot from 18 ft (assist by I. Mahinmi),,91,111
4,7:52.0,,T. McConnell makes 2-pt layup from 2 ft (assist by M. Muscala),91,113
4,7:41.0,,Violation by Team (kicked ball),91,113
4,7:38.0,Personal foul by T. McConnell (drawn by C. Randle),,91,113
4,7:29.0,D. Robinson misses 2-pt jump shot from 5 ft,,91,113
4,7:27.0,Offensive rebound by S. Dekker,,91,113
4,7:25.0,S. Dekker makes 2-pt jump shot from 14 ft,,93,113
4,7:09.0,,Turnover by S. Milton (lost ball; steal by D. Robinson),93,113
4,7:05.0,C. Randle misses 3-pt jump shot from 25 ft,,93,113
4,7:01.0,,Defensive rebound by T. McConnell,93,113
4,6:54.0,,S. Milton misses 3-pt jump shot from 24 ft,93,113
4,6:51.0,Defensive rebound by I. Mahinmi,,93,113
4,6:45.0,C. Randle makes 2-pt layup from 1 ft (assist by S. Dekker),,95,113
4,6:45.0,,Philadelphia full timeout,95,113
4,6:45.0,,F. Korkmaz enters the game for L. Shamet,95,113
4,6:30.0,,Shooting foul by I. Mahinmi (drawn by S. Milton),95,113
4,6:30.0,,S. Milton misses free throw 1 of 2,95,113
4,6:30.0,,Offensive rebound by Team,95,113
4,6:30.0,,S. Milton makes free throw 2 of 2,95,114
4,6:11.0,Shooting foul by J. Bolden (drawn by D. Robinson),,95,114
4,6:11.0,D. Robinson misses free throw 1 of 2,,95,114
4,6:11.0,Offensive rebound by Team,,95,114
4,6:11.0,D. Robinson misses free throw 2 of 2,,95,114
4,6:09.0,,Defensive rebound by J. Bolden,95,114
4,5:55.0,,Offensive foul by M. Muscala (drawn by D. Robinson),95,114
4,5:55.0,,Turnover by M. Muscala (offensive foul),95,114
4,5:55.0,,A. Johnson enters the game for M. Muscala,95,114
4,5:44.0,T. Brown misses 2-pt jump shot from 15 ft,,95,114
4,5:42.0,,Defensive rebound by A. Johnson,95,114
4,5:32.0,,S. Milton makes 3-pt jump shot from 24 ft (assist by T. McConnell),95,117
4,5:15.0,S. Dekker makes 3-pt jump shot from 25 ft (assist by I. Mahinmi),,98,117
4,5:14.0,,Philadelphia full timeout,98,117
4,5:14.0,T. Bryant enters the game for I. Mahinmi,,98,117
4,5:14.0,,H. Highsmith enters the game for T. McConnell,98,117
4,4:58.0,,A. Johnson misses 3-pt jump shot from 26 ft,98,117
4,4:55.0,Defensive rebound by T. Bryant,,98,117
4,4:49.0,C. Randle makes 3-pt jump shot from 27 ft,,101,117
4,4:29.0,,Turnover by J. Bolden (bad pass; steal by T. Brown),101,117
4,4:25.0,D. Robinson makes 2-pt dunk from 1 ft (assist by T. Brown),,103,117
