QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,NEW YORK_ACTION,MILWAUKEE_SCORE,NEW YORK_SCORE
1,5:25.0,,T. Hardaway misses 2-pt jump shot from 12 ft,12,14
1,5:22.0,Defensive rebound by S. Brown,,12,14
1,5:14.0,S. Brown misses 2-pt layup from 2 ft,,12,14
1,5:11.0,,Defensive rebound by N. Vonleh,12,14
1,5:04.0,,E. Mudiay makes 2-pt dunk at rim (assist by D. Dotson),12,16
1,4:54.0,Turnover by K. Middleton (offensive foul),,12,16
1,4:54.0,Offensive foul by K. Middleton (drawn by T. Hardaway),,12,16
1,4:45.0,,Turnover by E. Mudiay (bad pass; steal by K. Middleton),12,16
1,4:39.0,B. Lopez misses 3-pt jump shot from 27 ft,,12,16
1,4:37.0,,Defensive rebound by N. Vonleh,12,16
1,4:24.0,,K. Knox misses 3-pt jump shot from 22 ft,12,16
1,4:20.0,,Offensive rebound by N. Vonleh,12,16
1,4:18.0,,N. Vonleh misses 2-pt layup from 2 ft,12,16
1,4:17.0,,Offensive rebound by K. Knox,12,16
1,4:17.0,,K. Knox makes 2-pt layup at rim,12,18
1,4:17.0,,Violation by Team (delay of game),12,18
1,4:03.0,K. Middleton makes 3-pt jump shot from 25 ft,,15,18
1,4:03.0,Shooting foul by N. Vonleh (drawn by K. Middleton),,15,18
1,4:03.0,T. Maker enters the game for B. Lopez,,15,18
1,4:03.0,,L. Kornet enters the game for N. Vonleh,15,18
1,4:03.0,K. Middleton makes free throw 1 of 1,,16,18
1,3:48.0,,L. Kornet misses 3-pt jump shot from 27 ft,16,18
1,3:45.0,Defensive rebound by D. Wilson,,16,18
1,3:30.0,K. Middleton misses 3-pt jump shot from 25 ft,,16,18
1,3:27.0,Offensive rebound by Team,,16,18
1,3:27.0,M. Brogdon enters the game for K. Middleton,,16,18
1,3:27.0,,A. Trier enters the game for T. Hardaway,16,18
1,3:18.0,S. Brown misses 2-pt layup from 1 ft,,16,18
1,3:16.0,,Defensive rebound by L. Kornet,16,18
1,3:11.0,,E. Mudiay misses 2-pt layup from 1 ft,16,18
1,3:09.0,Defensive rebound by T. Maker,,16,18
1,3:04.0,T. Maker misses 2-pt layup from 3 ft,,16,18
1,3:01.0,,Defensive rebound by D. Dotson,16,18
1,2:57.0,,A. Trier makes 2-pt jump shot from 10 ft (assist by D. Dotson),16,20
1,2:47.0,Shooting foul by D. Dotson (drawn by M. Brogdon),,16,20
1,2:47.0,M. Brogdon makes free throw 1 of 2,,17,20
1,2:47.0,M. Brogdon makes free throw 2 of 2,,18,20
1,2:32.0,,Personal foul by D. Wilson (drawn by K. Knox),18,20
1,2:24.0,,K. Knox misses 2-pt jump shot from 22 ft,18,20
1,2:20.0,Defensive rebound by M. Brogdon,,18,20
1,2:15.0,Shooting foul by K. Knox (drawn by T. Maker),,18,20
1,2:15.0,T. Maker misses free throw 1 of 2,,18,20
1,2:15.0,Offensive rebound by Team,,18,20
1,2:15.0,,T. Burke enters the game for K. Knox,18,20
1,2:15.0,,L. Thomas enters the game for E. Mudiay,18,20
1,2:15.0,T. Maker misses free throw 2 of 2,,18,20
1,2:11.0,,Defensive rebound by L. Kornet,18,20
1,2:03.0,,Turnover by D. Dotson (bad pass),18,20
1,1:52.0,T. Maker misses 3-pt jump shot from 27 ft,,18,20
1,1:49.0,,Defensive rebound by A. Trier,18,20
1,1:36.0,,A. Trier misses 2-pt jump shot from 18 ft,18,20
1,1:35.0,,Offensive rebound by Team,18,20
1,1:35.0,G. Antetokounmpo enters the game for S. Brown,,18,20
1,1:35.0,T. Snell enters the game for D. Wilson,,18,20
1,1:29.0,,A. Trier makes 2-pt jump shot from 8 ft,18,22
1,1:06.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,20,22
1,0:58.0,Violation by Team (kicked ball),,20,22
1,0:53.0,,T. Burke makes 2-pt jump shot from 21 ft,20,24
1,0:35.0,M. Brogdon misses 2-pt jump shot from 8 ft,,20,24
1,0:32.0,Offensive rebound by M. Brogdon,,20,24
1,0:29.0,T. Maker misses 3-pt jump shot from 23 ft,,20,24
1,0:25.0,Offensive rebound by M. Brogdon,,20,24
1,0:25.0,T. Maker makes 2-pt layup from 1 ft (assist by M. Brogdon),,22,24
1,0:05.0,,L. Kornet misses 3-pt jump shot from 27 ft,22,24
1,0:00.0,Defensive rebound by G. Hill,,22,24
1,0:00.0,G. Hill misses 3-pt jump shot from 25 ft,,22,24
1,0:00.0,Offensive rebound by Team,,22,24
2,11:40.0,,L. Kornet misses 3-pt jump shot from 23 ft,22,24
2,11:38.0,Defensive rebound by G. Antetokounmpo,,22,24
2,11:31.0,G. Antetokounmpo makes 2-pt jump shot from 17 ft,,24,24
2,11:17.0,,Turnover by A. Trier (bad pass; steal by M. Brogdon),24,24
2,11:15.0,Shooting foul by L. Thomas (drawn by G. Antetokounmpo),,24,24
2,11:15.0,G. Antetokounmpo misses free throw 1 of 2,,24,24
2,11:15.0,Offensive rebound by Team,,24,24
2,11:15.0,,E. Freedom enters the game for L. Kornet,24,24
2,11:15.0,G. Antetokounmpo makes free throw 2 of 2,,25,24
2,11:01.0,,Turnover by E. Freedom (3 sec),25,24
2,10:44.0,Turnover by G. Antetokounmpo (traveling),,25,24
2,10:35.0,,T. Burke misses 2-pt jump shot from 10 ft (block by T. Maker),25,24
2,10:31.0,,Offensive rebound by E. Freedom,25,24
2,10:30.0,,E. Freedom misses 2-pt layup from 1 ft (block by T. Snell),25,24
2,10:27.0,Defensive rebound by G. Hill,,25,24
2,10:23.0,T. Maker makes 2-pt layup from 5 ft (assist by M. Brogdon),,27,24
2,10:23.0,Shooting foul by D. Dotson (drawn by T. Maker),,27,24
2,10:23.0,,T. Hardaway enters the game for D. Dotson,27,24
2,10:23.0,T. Maker makes free throw 1 of 1,,28,24
2,10:03.0,,E. Freedom makes 2-pt layup at rim (assist by T. Burke),28,26
2,9:56.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by G. Hill),,30,26
2,9:56.0,Shooting foul by L. Thomas (drawn by G. Antetokounmpo),,30,26
2,9:56.0,E. Bledsoe enters the game for M. Brogdon,,30,26
2,9:56.0,G. Antetokounmpo misses free throw 1 of 1,,30,26
2,9:53.0,,Defensive rebound by T. Hardaway,30,26
2,9:47.0,,T. Hardaway misses 2-pt jump shot from 20 ft,30,26
2,9:43.0,,Offensive rebound by E. Freedom,30,26
2,9:43.0,,E. Freedom makes 2-pt layup from 3 ft,30,28
2,9:43.0,,Shooting foul by T. Maker (drawn by E. Freedom),30,28
2,9:43.0,,E. Freedom makes free throw 1 of 1,30,29
2,9:27.0,T. Maker makes 2-pt jump shot from 15 ft (assist by G. Hill),,32,29
2,9:17.0,,T. Burke misses 2-pt jump shot from 13 ft,32,29
2,9:14.0,,Offensive rebound by T. Burke,32,29
2,9:13.0,,T. Burke misses 2-pt layup from 1 ft (block by T. Maker),32,29
2,9:11.0,,Offensive rebound by T. Burke,32,29
2,9:07.0,,Turnover by L. Thomas (bad pass; steal by G. Antetokounmpo),32,29
2,9:04.0,G. Antetokounmpo makes 2-pt dunk from 2 ft,,34,29
2,8:48.0,,Personal foul by G. Hill (drawn by A. Trier),34,29
2,8:48.0,B. Lopez enters the game for T. Maker,,34,29
2,8:48.0,,E. Mudiay enters the game for T. Burke,34,29
2,8:42.0,,E. Mudiay misses 3-pt jump shot from 25 ft,34,29
2,8:40.0,Defensive rebound by G. Antetokounmpo,,34,29
2,8:27.0,Turnover by B. Lopez (lost ball; steal by L. Thomas),,34,29
2,8:27.0,,Personal foul by G. Antetokounmpo (drawn by T. Hardaway),34,29
2,8:13.0,,L. Thomas misses 2-pt jump shot from 20 ft,34,29
2,8:11.0,Defensive rebound by E. Bledsoe,,34,29
2,8:02.0,G. Antetokounmpo misses 2-pt jump shot from 11 ft,,34,29
2,7:59.0,,Defensive rebound by T. Hardaway,34,29
2,7:54.0,,T. Hardaway misses 2-pt jump shot from 16 ft,34,29
2,7:51.0,Defensive rebound by B. Lopez,,34,29
2,7:44.0,T. Snell misses 2-pt layup from 3 ft,,34,29
2,7:40.0,,Defensive rebound by A. Trier,34,29
2,7:35.0,,A. Trier misses 2-pt layup from 1 ft,34,29
2,7:33.0,Defensive rebound by B. Lopez,,34,29
2,7:18.0,Shooting foul by A. Trier (drawn by E. Bledsoe),,34,29
2,7:18.0,K. Middleton enters the game for G. Antetokounmpo,,34,29
2,7:18.0,D. Wilson enters the game for G. Hill,,34,29
2,7:18.0,,K. Knox enters the game for L. Thomas,34,29
2,7:18.0,,N. Vonleh enters the game for A. Trier,34,29
2,7:18.0,E. Bledsoe misses free throw 1 of 2,,34,29
2,7:18.0,Offensive rebound by Team,,34,29
2,7:18.0,E. Bledsoe makes free throw 2 of 2,,35,29
2,7:00.0,,T. Hardaway makes 2-pt jump shot from 20 ft,35,31
2,6:47.0,Personal foul by T. Hardaway (drawn by D. Wilson),,35,31
2,6:47.0,,New York full timeout,35,31
2,6:47.0,D. Wilson misses free throw 1 of 2,,35,31
2,6:47.0,Offensive rebound by Team,,35,31
2,6:47.0,D. Wilson makes free throw 2 of 2,,36,31
2,6:35.0,,K. Knox misses 2-pt hook shot from 10 ft,36,31
2,6:33.0,,Offensive rebound by K. Knox,36,31
2,6:31.0,,Shooting foul by D. Wilson (drawn by E. Freedom),36,31
2,6:31.0,,E. Freedom makes free throw 1 of 2,36,32
2,6:31.0,,E. Freedom makes free throw 2 of 2,36,33
2,6:17.0,B. Lopez makes 2-pt jump shot from 16 ft (assist by K. Middleton),,38,33
2,6:01.0,,T. Hardaway misses 3-pt jump shot from 23 ft,38,33
2,5:59.0,Defensive rebound by K. Middleton,,38,33
2,5:49.0,Shooting foul by T. Hardaway (drawn by B. Lopez),,38,33
2,5:49.0,B. Lopez makes free throw 1 of 2,,39,33
2,5:49.0,G. Hill enters the game for T. Snell,,39,33
2,5:49.0,B. Lopez makes free throw 2 of 2,,40,33
2,5:29.0,,E. Freedom makes 3-pt jump shot from 26 ft (assist by E. Mudiay),40,36
2,5:15.0,K. Middleton misses 3-pt jump shot from 26 ft,,40,36
2,5:13.0,,Defensive rebound by N. Vonleh,40,36
2,5:08.0,,Shooting foul by G. Hill (drawn by T. Hardaway),40,36
2,5:08.0,,T. Hardaway misses free throw 1 of 2,40,36
2,5:08.0,,Offensive rebound by Team,40,36
2,5:08.0,G. Antetokounmpo enters the game for D. Wilson,,40,36
2,5:08.0,,T. Hardaway makes free throw 2 of 2,40,37
2,4:49.0,B. Lopez misses 3-pt jump shot from 25 ft,,40,37
2,4:44.0,,Defensive rebound by T. Hardaway,40,37
2,4:32.0,,E. Mudiay misses 2-pt jump shot from 15 ft,40,37
2,4:30.0,Defensive rebound by G. Antetokounmpo,,40,37
2,4:22.0,G. Hill misses 3-pt jump shot from 24 ft,,40,37
2,4:19.0,,Defensive rebound by T. Hardaway,40,37
2,4:15.0,,K. Knox makes 2-pt layup from 1 ft (assist by T. Hardaway),40,39
2,4:01.0,E. Bledsoe misses 2-pt layup from 1 ft,,40,39
2,3:59.0,Offensive rebound by Team,,40,39
2,3:49.0,K. Middleton misses 3-pt jump shot from 26 ft,,40,39
2,3:46.0,,Defensive rebound by N. Vonleh,40,39
2,3:38.0,,T. Hardaway misses 3-pt jump shot from 25 ft,40,39
2,3:35.0,Defensive rebound by G. Antetokounmpo,,40,39
2,3:27.0,G. Antetokounmpo makes 2-pt layup at rim,,42,39
2,3:15.0,,E. Freedom misses 3-pt jump shot from 26 ft,42,39
2,3:14.0,Defensive rebound by Team,,42,39
2,3:14.0,Milwaukee full timeout,,42,39
2,2:58.0,K. Middleton misses 3-pt jump shot from 24 ft,,42,39
2,2:56.0,,Defensive rebound by T. Hardaway,42,39
2,2:53.0,,Turnover by T. Hardaway (bad pass),42,39
2,2:53.0,M. Brogdon enters the game for E. Bledsoe,,42,39
2,2:32.0,Shooting foul by E. Freedom (drawn by B. Lopez),,42,39
2,2:32.0,B. Lopez makes free throw 1 of 2,,43,39
2,2:32.0,B. Lopez makes free throw 2 of 2,,44,39
2,2:13.0,,Shooting foul by G. Hill (drawn by T. Hardaway),44,39
2,2:13.0,,T. Hardaway makes free throw 1 of 2,44,40
2,2:13.0,,T. Hardaway makes free throw 2 of 2,44,41
2,1:59.0,G. Antetokounmpo misses 2-pt jump shot from 20 ft,,44,41
2,1:55.0,,Defensive rebound by Team,44,41
2,1:39.0,,E. Mudiay misses 2-pt jump shot from 14 ft,44,41
2,1:37.0,Defensive rebound by M. Brogdon,,44,41
2,1:30.0,M. Brogdon makes 2-pt jump shot from 17 ft,,46,41
2,1:19.0,,T. Hardaway misses 2-pt jump shot from 9 ft,46,41
2,1:18.0,,Offensive rebound by T. Hardaway,46,41
2,1:16.0,,T. Hardaway makes 2-pt layup from 1 ft,46,43
2,1:07.0,M. Brogdon misses 3-pt jump shot from 25 ft,,46,43
2,1:06.0,Offensive rebound by G. Hill,,46,43
2,1:06.0,T. Snell enters the game for G. Hill,,46,43
2,0:59.0,K. Middleton makes 2-pt jump shot from 15 ft (assist by T. Snell),,48,43
2,0:48.0,,N. Vonleh makes 3-pt jump shot from 26 ft (assist by E. Mudiay),48,46
2,0:36.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by N. Vonleh),,48,46
2,0:33.0,,Defensive rebound by E. Freedom,48,46
2,0:25.0,,N. Vonleh misses 2-pt layup from 1 ft,48,46
2,0:24.0,Defensive rebound by K. Middleton,,48,46
2,0:19.0,T. Snell misses 3-pt jump shot from 23 ft,,48,46
2,0:16.0,,Defensive rebound by E. Mudiay,48,46
2,0:03.0,,E. Mudiay misses 3-pt jump shot from 27 ft (block by M. Brogdon),48,46
2,0:02.0,Defensive rebound by M. Brogdon,,48,46
2,0:01.0,M. Brogdon misses 3-pt jump shot from 25 ft,,48,46
2,0:00.0,Offensive rebound by Team,,48,46
3,11:47.0,,E. Mudiay makes 2-pt layup from 1 ft (assist by T. Hardaway),48,48
3,11:31.0,M. Brogdon makes 2-pt layup from 1 ft (assist by K. Middleton),,50,48
3,11:12.0,,T. Hardaway misses 2-pt jump shot from 12 ft,50,48
3,11:08.0,Defensive rebound by K. Middleton,,50,48
3,11:07.0,Personal foul by T. Hardaway (drawn by G. Antetokounmpo),,50,48
3,10:58.0,B. Lopez makes 2-pt hook shot from 11 ft,,52,48
3,10:50.0,,Personal foul by M. Brogdon (drawn by T. Hardaway),52,48
3,10:41.0,,E. Freedom misses 2-pt hook shot from 7 ft,52,48
3,10:38.0,Defensive rebound by E. Bledsoe,,52,48
3,10:32.0,E. Bledsoe misses 2-pt layup from 2 ft,,52,48
3,10:31.0,,Defensive rebound by N. Vonleh,52,48
3,10:21.0,,Turnover by E. Mudiay (traveling),52,48
3,10:07.0,G. Antetokounmpo makes 2-pt jump shot from 17 ft,,54,48
3,9:51.0,,K. Knox makes 2-pt jump shot from 13 ft (assist by E. Freedom),54,50
3,9:36.0,M. Brogdon makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),,56,50
3,9:20.0,,T. Hardaway misses 2-pt jump shot from 22 ft,56,50
3,9:19.0,Defensive rebound by K. Middleton,,56,50
3,9:12.0,Shooting foul by E. Freedom (drawn by B. Lopez),,56,50
3,9:12.0,B. Lopez makes free throw 1 of 2,,57,50
3,9:12.0,B. Lopez makes free throw 2 of 2,,58,50
3,9:02.0,,E. Freedom makes 2-pt layup from 2 ft (assist by K. Knox),58,52
3,8:50.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,60,52
3,8:37.0,,K. Knox makes 2-pt jump shot from 14 ft,60,54
3,8:24.0,M. Brogdon misses 3-pt jump shot from 27 ft,,60,54
3,8:22.0,,Defensive rebound by N. Vonleh,60,54
3,8:16.0,,K. Knox misses 3-pt jump shot from 26 ft,60,54
3,8:11.0,,Offensive rebound by T. Hardaway,60,54
3,8:00.0,,Turnover by K. Knox (lost ball; steal by G. Antetokounmpo),60,54
3,7:54.0,K. Middleton misses 3-pt jump shot from 26 ft,,60,54
3,7:52.0,,Defensive rebound by E. Freedom,60,54
3,7:46.0,,Turnover by E. Mudiay (bad pass; steal by M. Brogdon),60,54
3,7:41.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),,62,54
3,7:40.0,,New York full timeout,62,54
3,7:40.0,G. Hill enters the game for M. Brogdon,,62,54
3,7:29.0,,K. Knox misses 2-pt layup from 1 ft (block by B. Lopez),62,54
3,7:29.0,,Offensive rebound by Team,62,54
3,7:23.0,,K. Knox makes 2-pt jump shot from 14 ft,62,56
3,7:11.0,B. Lopez misses 3-pt jump shot from 26 ft,,62,56
3,7:07.0,,Defensive rebound by E. Freedom,62,56
3,7:04.0,,T. Hardaway misses 2-pt layup from 1 ft,62,56
3,7:01.0,Defensive rebound by B. Lopez,,62,56
3,6:55.0,B. Lopez misses 3-pt jump shot from 25 ft,,62,56
3,6:53.0,,Defensive rebound by K. Knox,62,56
3,6:45.0,,Turnover by T. Hardaway (lost ball; steal by E. Bledsoe),62,56
3,6:44.0,Personal foul by E. Mudiay (drawn by G. Antetokounmpo),,62,56
3,6:33.0,E. Bledsoe makes 2-pt layup at rim (assist by G. Hill),,64,56
3,6:33.0,Shooting foul by E. Mudiay (drawn by E. Bledsoe),,64,56
3,6:33.0,E. Bledsoe makes free throw 1 of 1,,65,56
3,6:15.0,,K. Knox misses 2-pt jump shot from 11 ft,65,56
3,6:13.0,,Offensive rebound by N. Vonleh,65,56
3,6:12.0,,N. Vonleh makes 2-pt layup from 1 ft,65,58
3,5:51.0,G. Antetokounmpo makes 2-pt jump shot from 5 ft,,67,58
3,5:27.0,,K. Knox misses 3-pt jump shot from 23 ft,67,58
3,5:25.0,Defensive rebound by G. Antetokounmpo,,67,58
3,5:20.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,69,58
3,5:20.0,Violation by Team (delay of game),,69,58
3,5:02.0,,K. Knox misses 2-pt jump shot from 10 ft,69,58
3,4:58.0,,Offensive rebound by E. Mudiay,69,58
3,4:55.0,,E. Mudiay misses 2-pt layup from 2 ft,69,58
3,4:53.0,Defensive rebound by E. Bledsoe,,69,58
3,4:48.0,E. Bledsoe makes 2-pt layup from 1 ft,,71,58
3,4:43.0,,New York full timeout,71,58
3,4:43.0,S. Brown enters the game for K. Middleton,,71,58
3,4:43.0,,T. Burke enters the game for T. Hardaway,71,58
3,4:43.0,,L. Kornet enters the game for E. Freedom,71,58
3,4:43.0,,A. Trier enters the game for E. Mudiay,71,58
3,4:34.0,,L. Kornet makes 3-pt jump shot from 27 ft (assist by K. Knox),71,61
3,4:18.0,S. Brown misses 2-pt jump shot from 12 ft,,71,61
3,4:16.0,Offensive rebound by G. Antetokounmpo,,71,61
3,4:15.0,Personal foul by K. Knox (drawn by G. Antetokounmpo),,71,61
3,4:15.0,T. Maker enters the game for B. Lopez,,71,61
3,4:15.0,G. Antetokounmpo makes free throw 1 of 2,,72,61
3,4:15.0,G. Antetokounmpo misses free throw 2 of 2,,72,61
3,4:12.0,,Defensive rebound by T. Burke,72,61
3,3:54.0,,A. Trier misses 2-pt layup at rim (block by G. Antetokounmpo),72,61
3,3:51.0,Defensive rebound by G. Antetokounmpo,,72,61
3,3:46.0,G. Hill makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),,74,61
3,3:32.0,,Turnover by K. Knox (traveling),74,61
3,3:08.0,E. Bledsoe misses 3-pt jump shot from 29 ft,,74,61
3,3:05.0,,Defensive rebound by T. Burke,74,61
3,2:44.0,,N. Vonleh misses 3-pt jump shot from 25 ft,74,61
3,2:41.0,Defensive rebound by T. Maker,,74,61
3,2:30.0,S. Brown makes 3-pt jump shot from 22 ft (assist by E. Bledsoe),,77,61
3,2:16.0,,A. Trier makes 2-pt layup from 1 ft,77,63
3,1:57.0,G. Antetokounmpo misses 3-pt jump shot from 24 ft,,77,63
3,1:54.0,,Defensive rebound by T. Burke,77,63
3,1:47.0,,N. Vonleh makes 2-pt layup from 4 ft,77,65
3,1:45.0,Milwaukee full timeout,,77,65
3,1:45.0,M. Brogdon enters the game for G. Antetokounmpo,,77,65
3,1:45.0,D. Wilson enters the game for E. Bledsoe,,77,65
3,1:45.0,,L. Thomas enters the game for N. Vonleh,77,65
3,1:34.0,T. Maker makes 2-pt dunk at rim (assist by S. Brown),,79,65
3,1:13.0,,Turnover by L. Thomas (bad pass; steal by D. Wilson),79,65
3,1:02.0,G. Hill makes 3-pt jump shot from 23 ft (assist by M. Brogdon),,82,65
3,0:44.0,,T. Burke misses 2-pt jump shot from 19 ft,82,65
3,0:43.0,Defensive rebound by T. Maker,,82,65
3,0:29.0,T. Maker makes 2-pt jump shot from 11 ft (assist by M. Brogdon),,84,65
3,0:14.0,,L. Kornet makes 3-pt jump shot from 25 ft (assist by K. Knox),84,68
4,11:43.0,Shooting foul by D. Dotson (drawn by D. Wilson),,84,68
4,11:43.0,D. Wilson misses free throw 1 of 2,,84,68
4,11:43.0,Offensive rebound by Team,,84,68
4,11:43.0,D. Wilson makes free throw 2 of 2,,85,68
4,11:30.0,,Shooting foul by D. Wilson (drawn by A. Trier),85,68
4,11:30.0,,A. Trier misses free throw 1 of 2,85,68
4,11:30.0,,Offensive rebound by Team,85,68
4,11:30.0,,A. Trier misses free throw 2 of 2,85,68
4,11:26.0,,Offensive rebound by L. Thomas,85,68
4,11:25.0,,A. Trier misses 3-pt jump shot from 26 ft,85,68
4,11:22.0,Defensive rebound by D. Wilson,,85,68
4,11:01.0,M. Brogdon makes 2-pt layup from 1 ft,,87,68
4,10:45.0,,L. Thomas makes 2-pt jump shot from 22 ft (assist by D. Dotson),87,70
4,10:31.0,D. Wilson misses 3-pt jump shot from 24 ft,,87,70
4,10:29.0,,Defensive rebound by Team,87,70
4,10:29.0,Loose ball foul by S. Brown (drawn by L. Kornet),,87,70
4,10:08.0,,L. Thomas misses 3-pt jump shot from 23 ft,87,70
4,10:05.0,Defensive rebound by S. Brown,,87,70
4,10:02.0,M. Brogdon makes 2-pt layup from 1 ft (assist by S. Brown),,89,70
4,9:51.0,,L. Kornet makes 3-pt jump shot from 27 ft (assist by T. Burke),89,73
4,9:36.0,Shooting foul by L. Thomas (drawn by T. Maker),,89,73
4,9:36.0,T. Maker makes free throw 1 of 2,,90,73
4,9:36.0,K. Middleton enters the game for S. Brown,,90,73
4,9:36.0,T. Snell enters the game for G. Hill,,90,73
4,9:36.0,T. Maker misses free throw 2 of 2,,90,73
4,9:32.0,,Defensive rebound by L. Thomas,90,73
4,9:17.0,,A. Trier misses 2-pt layup from 2 ft,90,73
4,9:14.0,,Offensive rebound by L. Thomas,90,73
4,9:10.0,,T. Burke misses 3-pt jump shot from 31 ft,90,73
4,9:07.0,Defensive rebound by T. Snell,,90,73
4,8:56.0,K. Middleton misses 2-pt layup from 6 ft,,90,73
4,8:52.0,,Defensive rebound by L. Thomas,90,73
4,8:41.0,,A. Trier makes 2-pt jump shot from 20 ft,90,75
4,8:25.0,Shooting foul by A. Trier (drawn by D. Wilson),,90,75
4,8:25.0,D. Wilson misses free throw 1 of 2,,90,75
4,8:25.0,Offensive rebound by Team,,90,75
4,8:25.0,G. Antetokounmpo enters the game for T. Maker,,90,75
4,8:25.0,,K. Knox enters the game for L. Thomas,90,75
4,8:25.0,D. Wilson misses free throw 2 of 2,,90,75
