QUARTER,TIME_REMAINING,CHICAGO_ACTION,CLEVELAND_ACTION,CHICAGO_SCORE,CLEVELAND_SCORE
1,2:14.0,,J. Clarkson makes 2-pt jump shot from 9 ft,23,24
1,1:57.0,R. Lopez makes 2-pt hook shot from 12 ft (assist by J. Holiday),,25,24
1,1:40.0,,M. Dellavedova makes 3-pt jump shot from 31 ft,25,27
1,1:24.0,Personal foul by A. Žižić (drawn by R. Lopez),,25,27
1,1:13.0,R. Lopez misses 3-pt jump shot from 27 ft,,25,27
1,1:09.0,Offensive rebound by C. Hutchison,,25,27
1,1:00.0,R. Arcidiacono misses 2-pt jump shot from 10 ft,,25,27
1,0:58.0,,Defensive rebound by D. Nwaba,25,27
1,0:54.0,,D. Nwaba makes 2-pt layup from 3 ft,25,29
1,0:48.0,Personal foul by D. Nwaba (drawn by S. Harrison),,25,29
1,0:48.0,S. Harrison misses free throw 1 of 2,,25,29
1,0:48.0,Offensive rebound by Team,,25,29
1,0:48.0,S. Harrison makes free throw 2 of 2,,26,29
1,0:35.0,,A. Žižić misses 2-pt hook shot from 8 ft,26,29
1,0:33.0,Defensive rebound by C. Hutchison,,26,29
1,0:13.0,Turnover by J. Holiday (bad pass; steal by J. Blossomgame),,26,29
1,0:12.0,,Turnover by J. Blossomgame (bad pass; steal by J. Holiday),26,29
1,0:02.0,R. Arcidiacono makes 2-pt layup from 1 ft,,28,29
2,11:36.0,A. Blakeney makes 2-pt jump shot from 12 ft (assist by C. Hutchison),,30,29
2,11:16.0,,J. Clarkson makes 2-pt jump shot from 15 ft,30,31
2,11:06.0,Turnover by R. Lopez (traveling),,30,31
2,10:51.0,,J. Clarkson makes 2-pt jump shot from 12 ft (assist by A. Žižić),30,33
2,10:42.0,Turnover by K. Dunn (out of bounds lost ball),,30,33
2,10:30.0,,D. Nwaba misses 2-pt layup from 2 ft,30,33
2,10:29.0,,Offensive rebound by Team,30,33
2,10:26.0,,J. Clarkson misses 2-pt jump shot from 16 ft,30,33
2,10:23.0,Defensive rebound by C. Hutchison,,30,33
2,10:16.0,A. Blakeney misses 2-pt jump shot from 10 ft,,30,33
2,10:12.0,,Defensive rebound by J. Blossomgame,30,33
2,10:01.0,,A. Žižić misses 2-pt jump shot from 11 ft,30,33
2,9:59.0,Defensive rebound by K. Dunn,,30,33
2,9:53.0,K. Dunn makes 2-pt jump shot from 8 ft,,32,33
2,9:37.0,,M. Dellavedova misses 2-pt jump shot from 22 ft,32,33
2,9:37.0,Defensive rebound by K. Dunn,,32,33
2,9:31.0,Personal foul by M. Dellavedova (drawn by K. Dunn),,32,33
2,9:31.0,,A. Burks enters the game for D. Nwaba,32,33
2,9:27.0,K. Dunn makes 2-pt layup from 1 ft,,34,33
2,9:27.0,Shooting foul by M. Dellavedova (drawn by K. Dunn),,34,33
2,9:27.0,K. Dunn makes free throw 1 of 1,,35,33
2,9:22.0,,Personal foul by K. Dunn (drawn by M. Dellavedova),35,33
2,9:22.0,,C. Osman enters the game for J. Blossomgame,35,33
2,9:17.0,,M. Dellavedova makes 2-pt jump shot from 10 ft,35,35
2,9:17.0,,Shooting foul by K. Dunn (drawn by M. Dellavedova),35,35
2,9:17.0,R. Arcidiacono enters the game for K. Dunn,,35,35
2,9:17.0,,M. Dellavedova makes free throw 1 of 1,35,36
2,9:02.0,A. Blakeney misses 2-pt jump shot from 17 ft,,35,36
2,8:59.0,,Defensive rebound by A. Žižić,35,36
2,8:49.0,,A. Burks misses 3-pt jump shot from 25 ft,35,36
2,8:46.0,Defensive rebound by A. Blakeney,,35,36
2,8:39.0,Personal foul by C. Osman (drawn by A. Blakeney),,35,36
2,8:39.0,L. Markkanen enters the game for A. Blakeney,,35,36
2,8:39.0,,L. Nance enters the game for A. Žižić,35,36
2,8:34.0,L. Markkanen misses 3-pt jump shot from 28 ft,,35,36
2,8:30.0,,Defensive rebound by A. Burks,35,36
2,8:22.0,,L. Nance makes 2-pt dunk from 1 ft,35,38
2,8:11.0,R. Arcidiacono makes 2-pt layup at rim,,37,38
2,7:44.0,,L. Nance makes 2-pt hook shot from 10 ft,37,40
2,7:31.0,R. Lopez misses 2-pt layup from 1 ft,,37,40
2,7:31.0,,Defensive rebound by M. Dellavedova,37,40
2,7:15.0,,C. Osman makes 3-pt jump shot from 26 ft,37,43
2,7:13.0,Chicago full timeout,,37,43
2,7:13.0,,C. Sexton enters the game for M. Dellavedova,37,43
2,6:51.0,S. Harrison misses 3-pt jump shot from 26 ft,,37,43
2,6:48.0,Offensive rebound by R. Lopez,,37,43
2,6:46.0,R. Lopez makes 2-pt hook shot from 8 ft,,39,43
2,6:30.0,,L. Nance makes 2-pt dunk from 1 ft,39,45
2,6:07.0,L. Markkanen makes 2-pt jump shot from 17 ft (assist by R. Arcidiacono),,41,45
2,5:42.0,,L. Nance misses 3-pt jump shot from 27 ft,41,45
2,5:40.0,Defensive rebound by R. Arcidiacono,,41,45
2,5:33.0,R. Arcidiacono makes 3-pt jump shot from 26 ft,,44,45
2,5:14.0,,L. Nance makes 2-pt layup from 6 ft (assist by C. Osman),44,47
2,5:03.0,R. Arcidiacono misses 2-pt jump shot from 11 ft,,44,47
2,5:03.0,,Defensive rebound by C. Sexton,44,47
2,4:48.0,,C. Sexton makes 2-pt jump shot from 20 ft,44,49
2,4:32.0,Turnover by R. Lopez (lost ball; steal by C. Sexton),,44,49
2,4:30.0,,Personal foul by R. Arcidiacono (drawn by C. Osman),44,49
2,4:30.0,K. Dunn enters the game for C. Hutchison,,44,49
2,4:30.0,J. Holiday enters the game for R. Lopez,,44,49
2,4:30.0,,D. Nwaba enters the game for J. Clarkson,44,49
2,4:21.0,,Turnover by L. Nance (offensive foul),44,49
2,4:21.0,,Offensive foul by L. Nance (drawn by R. Arcidiacono),44,49
2,3:59.0,L. Markkanen makes 2-pt jump shot from 14 ft,,46,49
2,3:59.0,Shooting foul by C. Osman (drawn by L. Markkanen),,46,49
2,3:59.0,,J. Clarkson enters the game for C. Osman,46,49
2,3:59.0,L. Markkanen makes free throw 1 of 1,,47,49
2,3:35.0,,A. Burks misses 3-pt jump shot from 25 ft,47,49
2,3:33.0,Defensive rebound by R. Arcidiacono,,47,49
2,3:28.0,J. Holiday misses 3-pt jump shot from 24 ft,,47,49
2,3:24.0,,Defensive rebound by D. Nwaba,47,49
2,3:18.0,,Turnover by A. Burks (bad pass; steal by J. Holiday),47,49
2,3:15.0,J. Holiday makes 2-pt dunk from 1 ft,,49,49
2,3:15.0,,Cleveland full timeout,49,49
2,3:15.0,W. Carter enters the game for K. Dunn,,49,49
2,3:15.0,C. Hutchison enters the game for S. Harrison,,49,49
2,2:58.0,,C. Sexton misses 2-pt jump shot from 18 ft,49,49
2,2:54.0,Defensive rebound by C. Hutchison,,49,49
2,2:42.0,L. Markkanen misses 3-pt jump shot from 26 ft,,49,49
2,2:38.0,,Defensive rebound by A. Burks,49,49
2,2:28.0,,A. Burks misses 3-pt jump shot from 23 ft,49,49
2,2:27.0,Defensive rebound by R. Arcidiacono,,49,49
2,2:26.0,Personal foul by L. Nance (drawn by W. Carter),,49,49
2,2:26.0,W. Carter misses free throw 1 of 2,,49,49
2,2:26.0,Offensive rebound by Team,,49,49
2,2:26.0,,C. Frye enters the game for L. Nance,49,49
2,2:26.0,W. Carter makes free throw 2 of 2,,50,49
2,2:12.0,,Personal foul by W. Carter (drawn by J. Clarkson),50,49
2,1:57.0,,J. Clarkson makes 2-pt jump shot from 18 ft,50,51
2,1:35.0,L. Markkanen misses 2-pt jump shot from 15 ft,,50,51
2,1:35.0,,Defensive rebound by A. Burks,50,51
2,1:27.0,,C. Frye makes 3-pt jump shot from 26 ft (assist by A. Burks),50,54
2,1:10.0,Personal foul by C. Frye (drawn by L. Markkanen),,50,54
2,1:10.0,L. Markkanen makes free throw 1 of 2,,51,54
2,1:10.0,S. Harrison enters the game for W. Carter,,51,54
2,1:10.0,L. Markkanen makes free throw 2 of 2,,52,54
2,0:52.0,,A. Burks makes 2-pt layup from 3 ft (assist by C. Sexton),52,56
2,0:38.0,L. Markkanen misses 3-pt jump shot from 26 ft,,52,56
2,0:35.0,,Defensive rebound by C. Sexton,52,56
2,0:31.0,,C. Sexton misses 2-pt layup from 2 ft,52,56
2,0:30.0,,Offensive rebound by Team,52,56
2,0:28.0,,D. Nwaba makes 2-pt layup from 2 ft (assist by A. Burks),52,58
2,0:28.0,,Shooting foul by J. Holiday (drawn by D. Nwaba),52,58
2,0:28.0,,D. Nwaba makes free throw 1 of 1,52,59
2,0:09.0,J. Holiday makes 2-pt jump shot from 15 ft (assist by R. Arcidiacono),,54,59
2,0:00.0,,C. Frye misses 3-pt jump shot from 30 ft,54,59
2,0:00.0,,Offensive rebound by Team,54,59
3,11:39.0,L. Markkanen makes 2-pt jump shot from 17 ft,,56,59
3,11:13.0,,C. Osman makes 3-pt jump shot from 25 ft,56,62
3,10:57.0,J. Holiday misses 2-pt jump shot from 7 ft,,56,62
3,10:57.0,,Defensive rebound by Team,56,62
3,10:39.0,,J. Blossomgame misses 2-pt jump shot from 21 ft,56,62
3,10:36.0,Defensive rebound by R. Arcidiacono,,56,62
3,10:20.0,Turnover by J. Holiday (out of bounds lost ball),,56,62
3,10:07.0,,C. Sexton misses 3-pt jump shot from 25 ft,56,62
3,10:04.0,Defensive rebound by W. Carter,,56,62
3,9:51.0,,Violation by Team (kicked ball),56,62
3,9:50.0,Turnover by W. Carter (offensive foul),,56,62
3,9:50.0,Offensive foul by W. Carter (drawn by A. Burks),,56,62
3,9:29.0,,C. Osman misses 3-pt jump shot from 25 ft,56,62
3,9:26.0,Defensive rebound by W. Carter,,56,62
3,9:16.0,L. Markkanen makes 3-pt jump shot from 26 ft (assist by R. Arcidiacono),,59,62
3,8:54.0,,Personal foul by K. Dunn (drawn by A. Burks),59,62
3,8:44.0,,Shooting foul by W. Carter (drawn by L. Nance),59,62
3,8:44.0,,L. Nance makes free throw 1 of 2,59,63
3,8:44.0,,L. Nance misses free throw 2 of 2,59,63
3,8:41.0,Defensive rebound by L. Markkanen,,59,63
3,8:28.0,L. Markkanen makes 3-pt jump shot from 24 ft (assist by K. Dunn),,62,63
3,8:12.0,,A. Burks misses 2-pt jump shot from 8 ft,62,63
3,8:10.0,Defensive rebound by W. Carter,,62,63
3,7:52.0,K. Dunn makes 2-pt layup from 2 ft (assist by L. Markkanen),,64,63
3,7:52.0,,Cleveland full timeout,64,63
3,7:40.0,,Personal foul by K. Dunn (drawn by C. Osman),64,63
3,7:26.0,,C. Sexton misses 2-pt jump shot from 19 ft,64,63
3,7:25.0,,Offensive rebound by Team,64,63
3,7:25.0,,Turnover by Team (shot clock),64,63
3,7:18.0,Personal foul by J. Blossomgame (drawn by J. Holiday),,64,63
3,7:18.0,,J. Clarkson enters the game for J. Blossomgame,64,63
3,7:15.0,Personal foul by A. Burks (drawn by J. Holiday),,64,63
3,7:00.0,L. Markkanen makes 2-pt jump shot from 15 ft (assist by K. Dunn),,66,63
3,6:35.0,,J. Clarkson makes 2-pt jump shot from 10 ft,66,65
3,6:22.0,Turnover by J. Holiday (out of bounds lost ball),,66,65
3,5:59.0,,L. Nance misses 2-pt jump shot from 7 ft,66,65
3,5:53.0,,Offensive rebound by L. Nance,66,65
3,5:53.0,,L. Nance makes 2-pt dunk from 1 ft,66,67
3,5:48.0,W. Carter makes 2-pt dunk from 2 ft (assist by K. Dunn),,68,67
3,5:37.0,,A. Burks misses 3-pt jump shot from 27 ft,68,67
3,5:35.0,Defensive rebound by J. Holiday,,68,67
3,5:20.0,W. Carter makes 2-pt layup at rim (assist by K. Dunn),,70,67
3,5:18.0,,Turnover by A. Burks (bad pass; steal by R. Arcidiacono),70,67
3,5:12.0,R. Arcidiacono misses 3-pt jump shot from 27 ft,,70,67
3,5:11.0,,Defensive rebound by L. Nance,70,67
3,5:02.0,,Offensive foul by J. Clarkson (drawn by J. Holiday),70,67
3,5:02.0,,Turnover by J. Clarkson (offensive foul),70,67
3,5:02.0,,M. Dellavedova enters the game for C. Osman,70,67
3,5:02.0,Chicago full timeout,,70,67
3,5:02.0,S. Harrison enters the game for W. Carter,,70,67
3,5:02.0,C. Hutchison enters the game for K. Dunn,,70,67
3,5:02.0,,D. Nwaba enters the game for A. Burks,70,67
3,4:43.0,C. Hutchison makes 2-pt layup from 1 ft (assist by R. Arcidiacono),,72,67
3,4:22.0,,C. Sexton makes 2-pt jump shot from 16 ft,72,69
3,4:09.0,R. Arcidiacono makes 2-pt layup from 1 ft,,74,69
3,4:09.0,Shooting foul by C. Sexton (drawn by R. Arcidiacono),,74,69
3,4:09.0,R. Arcidiacono makes free throw 1 of 1,,75,69
3,3:58.0,,M. Dellavedova makes 2-pt layup from 1 ft,75,71
3,3:37.0,S. Harrison misses 2-pt layup from 1 ft,,75,71
3,3:36.0,Offensive rebound by S. Harrison,,75,71
3,3:30.0,L. Markkanen misses 3-pt jump shot from 27 ft,,75,71
3,3:29.0,,Defensive rebound by Team,75,71
3,3:29.0,,C. Osman enters the game for C. Sexton,75,71
3,3:15.0,,J. Clarkson misses 2-pt layup from 1 ft,75,71
3,3:14.0,,Offensive rebound by J. Clarkson,75,71
3,3:14.0,,J. Clarkson misses 2-pt layup from 1 ft,75,71
3,3:12.0,Defensive rebound by L. Markkanen,,75,71
3,2:57.0,C. Hutchison makes 2-pt jump shot from 10 ft (assist by R. Arcidiacono),,77,71
3,2:43.0,,Turnover by M. Dellavedova (bad pass; steal by R. Arcidiacono),77,71
3,2:41.0,Personal foul by D. Nwaba (drawn by R. Arcidiacono),,77,71
3,2:36.0,Turnover by S. Harrison (bad pass; steal by L. Nance),,77,71
3,2:35.0,,Shooting foul by L. Markkanen (drawn by D. Nwaba),77,71
3,2:35.0,,D. Nwaba makes free throw 1 of 2,77,72
3,2:35.0,,D. Nwaba misses free throw 2 of 2,77,72
3,2:33.0,Defensive rebound by J. Holiday,,77,72
3,2:22.0,L. Markkanen makes 3-pt jump shot from 26 ft (assist by R. Arcidiacono),,80,72
3,2:22.0,Shooting foul by D. Nwaba (drawn by L. Markkanen),,80,72
3,2:22.0,L. Markkanen makes free throw 1 of 1,,81,72
3,2:02.0,,Turnover by D. Nwaba (offensive foul),81,72
3,2:02.0,,Offensive foul by D. Nwaba (drawn by C. Hutchison),81,72
3,1:48.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by S. Harrison),,84,72
3,1:34.0,,M. Dellavedova misses 2-pt jump shot from 10 ft,84,72
3,1:31.0,Defensive rebound by S. Harrison,,84,72
3,1:10.0,L. Markkanen misses 3-pt jump shot from 23 ft,,84,72
3,1:09.0,Offensive rebound by Team,,84,72
3,1:09.0,Turnover by Team (shot clock),,84,72
3,0:52.0,,Turnover by J. Clarkson (out of bounds lost ball),84,72
3,0:32.0,S. Harrison misses 2-pt jump shot from 10 ft,,84,72
3,0:30.0,,Defensive rebound by C. Osman,84,72
3,0:25.0,,J. Clarkson makes 2-pt jump shot from 6 ft,84,74
3,0:01.0,Turnover by Team (shot clock),,84,74
3,0:00.0,,M. Dellavedova misses 3-pt jump shot from 81 ft,84,74
3,0:00.0,,Offensive rebound by Team,84,74
4,11:42.0,,J. Clarkson makes 3-pt jump shot from 26 ft (assist by L. Nance),84,77
4,11:26.0,K. Dunn makes 2-pt jump shot from 22 ft (assist by A. Blakeney),,86,77
4,11:11.0,,L. Nance misses 2-pt layup from 1 ft (block by A. Blakeney),86,77
4,11:07.0,Defensive rebound by W. Carter,,86,77
4,11:07.0,R. Lopez enters the game for W. Carter,,86,77
4,11:07.0,,A. Žižić enters the game for L. Nance,86,77
4,10:58.0,Shooting foul by A. Žižić (drawn by A. Blakeney),,86,77
4,10:58.0,A. Blakeney makes free throw 1 of 2,,87,77
4,10:58.0,A. Blakeney makes free throw 2 of 2,,88,77
4,10:38.0,,C. Osman makes 2-pt layup from 1 ft (assist by M. Dellavedova),88,79
4,10:22.0,A. Blakeney misses 2-pt jump shot from 16 ft,,88,79
4,10:20.0,,Defensive rebound by C. Osman,88,79
4,10:15.0,,Personal foul by A. Blakeney (drawn by A. Žižić),88,79
4,10:00.0,,D. Nwaba misses 2-pt layup from 3 ft (block by R. Lopez),88,79
4,9:55.0,,Offensive rebound by A. Žižić,88,79
4,9:54.0,,A. Žižić misses 2-pt jump shot from 7 ft,88,79
4,9:52.0,Defensive rebound by R. Lopez,,88,79
4,9:40.0,R. Lopez makes 2-pt layup from 1 ft,,90,79
4,9:27.0,,J. Clarkson misses 3-pt jump shot from 26 ft,90,79
4,9:24.0,Defensive rebound by K. Dunn,,90,79
4,9:18.0,K. Dunn makes 2-pt jump shot from 14 ft,,92,79
4,9:17.0,,Cleveland full timeout,92,79
4,8:55.0,,M. Dellavedova misses 3-pt jump shot from 28 ft,92,79
4,8:51.0,Defensive rebound by K. Dunn,,92,79
4,8:28.0,R. Lopez misses 2-pt hook shot from 6 ft,,92,79
4,8:25.0,,Defensive rebound by D. Nwaba,92,79
4,8:12.0,,M. Dellavedova misses 2-pt jump shot from 7 ft,92,79
4,8:09.0,Defensive rebound by J. Holiday,,92,79
4,7:56.0,Shooting foul by D. Nwaba (drawn by A. Blakeney),,92,79
4,7:56.0,,Cleveland full timeout,92,79
4,7:56.0,S. Harrison enters the game for J. Holiday,,92,79
4,7:56.0,,L. Nance enters the game for D. Nwaba,92,79
4,7:56.0,,C. Sexton enters the game for A. Žižić,92,79
4,7:56.0,A. Blakeney makes free throw 1 of 2,,93,79
4,7:56.0,A. Blakeney makes free throw 2 of 2,,94,79
4,7:40.0,,M. Dellavedova makes 2-pt jump shot from 9 ft,94,81
4,7:22.0,S. Harrison makes 2-pt layup from 1 ft (assist by A. Blakeney),,96,81
4,7:13.0,Violation by Team (kicked ball),,96,81
4,7:04.0,,L. Nance misses 2-pt jump shot from 6 ft,96,81
4,7:04.0,Defensive rebound by R. Lopez,,96,81
4,6:49.0,K. Dunn makes 2-pt jump shot from 19 ft,,98,81
4,6:36.0,,C. Sexton misses 2-pt jump shot from 20 ft,98,81
4,6:33.0,Defensive rebound by A. Blakeney,,98,81
4,6:22.0,Turnover by A. Blakeney (bad pass; steal by L. Nance),,98,81
4,6:14.0,,L. Nance makes 2-pt layup from 1 ft (assist by J. Clarkson),98,83
4,5:57.0,R. Lopez makes 2-pt hook shot from 4 ft,,100,83
4,5:57.0,Shooting foul by L. Nance (drawn by R. Lopez),,100,83
4,5:57.0,L. Markkanen enters the game for S. Harrison,,100,83
4,5:57.0,,J. Blossomgame enters the game for J. Clarkson,100,83
4,5:57.0,,A. Burks enters the game for M. Dellavedova,100,83
4,5:57.0,R. Lopez makes free throw 1 of 1,,101,83
4,5:38.0,,A. Burks makes 2-pt layup from 1 ft,101,85
4,5:16.0,C. Hutchison misses 2-pt jump shot from 10 ft,,101,85
4,5:13.0,,Defensive rebound by L. Nance,101,85
4,5:08.0,,C. Sexton misses 2-pt jump shot from 20 ft,101,85
4,5:05.0,Defensive rebound by A. Blakeney,,101,85
4,4:57.0,R. Lopez makes 2-pt jump shot from 7 ft (assist by K. Dunn),,103,85
4,4:34.0,,Shooting foul by K. Dunn (drawn by L. Nance),103,85
4,4:34.0,Chicago full timeout,,103,85
4,4:34.0,,L. Nance misses free throw 1 of 2,103,85
4,4:34.0,,Offensive rebound by Team,103,85
4,4:34.0,,L. Nance makes free throw 2 of 2,103,86
4,4:16.0,A. Blakeney makes 2-pt layup at rim (assist by L. Markkanen),,105,86
4,4:01.0,Violation by Team (kicked ball),,105,86
4,3:58.0,,L. Nance misses 3-pt jump shot from 26 ft,105,86
4,3:55.0,Defensive rebound by K. Dunn,,105,86
4,3:43.0,Turnover by R. Lopez (traveling),,105,86
4,3:23.0,,A. Burks makes 2-pt layup from 1 ft,105,88
4,3:23.0,,Shooting foul by R. Lopez (drawn by A. Burks),105,88
4,3:23.0,J. Holiday enters the game for A. Blakeney,,105,88
4,3:23.0,,A. Burks misses free throw 1 of 1,105,88
4,3:21.0,Defensive rebound by K. Dunn,,105,88
4,3:04.0,R. Lopez misses 2-pt layup from 1 ft,,105,88
4,3:02.0,,Defensive rebound by A. Burks,105,88
4,2:59.0,,L. Nance makes 2-pt dunk at rim (assist by A. Burks),105,90
4,2:44.0,L. Markkanen makes 2-pt layup from 1 ft (assist by K. Dunn),,107,90
4,2:26.0,,Personal foul by L. Markkanen (drawn by C. Sexton),107,90
4,2:17.0,,C. Osman misses 2-pt jump shot from 10 ft,107,90
4,2:15.0,Defensive rebound by K. Dunn,,107,90
4,2:01.0,K. Dunn makes 2-pt jump shot from 11 ft,,109,90
4,1:43.0,,C. Sexton misses 2-pt jump shot from 6 ft,109,90
4,1:40.0,,Offensive rebound by C. Sexton,109,90
4,1:40.0,,C. Sexton misses 2-pt hook shot from 5 ft,109,90
4,1:40.0,Defensive rebound by L. Markkanen,,109,90
4,1:35.0,Chicago full timeout,,109,90
4,1:35.0,R. Alkins enters the game for K. Dunn,,109,90
4,1:35.0,A. Blakeney enters the game for J. Holiday,,109,90
4,1:35.0,C. Felício enters the game for R. Lopez,,109,90
4,1:35.0,S. Harrison enters the game for L. Markkanen,,109,90
4,1:35.0,,J. Jones enters the game for A. Burks,109,90
4,1:35.0,,A. Žižić enters the game for L. Nance,109,90
4,1:29.0,R. Alkins misses 2-pt layup from 4 ft (block by A. Žižić),,109,90
4,1:28.0,Offensive rebound by R. Alkins,,109,90
4,1:25.0,R. Alkins misses 2-pt layup from 2 ft,,109,90
4,1:24.0,,Defensive rebound by C. Osman,109,90
4,1:16.0,,Shooting foul by C. Felício (drawn by C. Osman),109,90
4,1:16.0,,C. Osman makes free throw 1 of 2,109,91
4,1:16.0,,C. Osman makes free throw 2 of 2,109,92
4,1:04.0,A. Blakeney misses 3-pt jump shot from 23 ft,,109,92
4,1:02.0,Offensive rebound by R. Alkins,,109,92
4,0:59.0,R. Alkins makes 3-pt jump shot from 24 ft (assist by S. Harrison),,112,92
4,0:36.0,,C. Sexton misses 2-pt jump shot from 17 ft,112,92
4,0:33.0,Defensive rebound by C. Hutchison,,112,92
4,0:11.0,Turnover by Team (shot clock),,112,92
