QUARTER,TIME_REMAINING,INDIANA_ACTION,MINNESOTA_ACTION,INDIANA_SCORE,MINNESOTA_SCORE
1,2:59.0,,G. Dieng enters the game for K. Towns,22,20
1,2:51.0,V. Oladipo misses 3-pt jump shot from 25 ft,,22,20
1,2:47.0,,Defensive rebound by A. Tolliver,22,20
1,2:42.0,,J. Teague misses 2-pt jump shot from 4 ft (block by D. Sabonis),22,20
1,2:37.0,Defensive rebound by V. Oladipo,,22,20
1,2:32.0,K. O'Quinn misses 3-pt jump shot from 25 ft,,22,20
1,2:30.0,,Defensive rebound by J. Okogie,22,20
1,2:21.0,,Shooting foul by T. Evans (drawn by G. Dieng),22,20
1,2:21.0,,G. Dieng misses free throw 1 of 2,22,20
1,2:21.0,,Offensive rebound by Team,22,20
1,2:21.0,D. McDermott enters the game for V. Oladipo,,22,20
1,2:21.0,,T. Jones enters the game for J. Teague,22,20
1,2:21.0,,G. Dieng makes free throw 2 of 2,22,21
1,2:08.0,C. Joseph makes 2-pt jump shot from 21 ft,,24,21
1,1:58.0,,A. Tolliver misses 3-pt jump shot from 26 ft,24,21
1,1:56.0,Defensive rebound by K. O'Quinn,,24,21
1,1:53.0,Personal foul by A. Tolliver (drawn by D. Sabonis),,24,21
1,1:42.0,K. O'Quinn makes 2-pt hook shot from 11 ft,,26,21
1,1:27.0,,Turnover by G. Dieng (lost ball; steal by C. Joseph),26,21
1,1:21.0,T. Evans misses 2-pt layup from 5 ft (block by T. Jones),,26,21
1,1:17.0,,Defensive rebound by G. Dieng,26,21
1,1:14.0,,J. Okogie misses 2-pt layup from 3 ft (block by K. O'Quinn),26,21
1,1:14.0,,Offensive rebound by Team,26,21
1,1:12.0,,G. Dieng makes 2-pt jump shot from 16 ft (assist by T. Jones),26,23
1,0:58.0,D. Sabonis misses 2-pt hook shot from 8 ft,,26,23
1,0:58.0,,Defensive rebound by Team,26,23
1,0:58.0,Loose ball foul by D. Sabonis (drawn by G. Dieng),,26,23
1,0:58.0,,G. Dieng makes free throw 1 of 2,26,24
1,0:58.0,B. Bogdanović enters the game for D. Sabonis,,26,24
1,0:58.0,,G. Dieng makes free throw 2 of 2,26,25
1,0:41.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by C. Joseph),,28,25
1,0:26.0,,D. Rose misses 2-pt jump shot from 6 ft,28,25
1,0:24.0,Defensive rebound by K. O'Quinn,,28,25
1,0:02.0,T. Evans misses 2-pt layup from 2 ft,,28,25
1,0:00.0,,Defensive rebound by D. Rose,28,25
1,0:00.0,,D. Rose misses 3-pt jump shot from 75 ft,28,25
1,0:00.0,,Offensive rebound by Team,28,25
2,11:47.0,Personal foul by J. Butler (drawn by K. O'Quinn),,28,25
2,11:45.0,,Violation by Team (kicked ball),28,25
2,11:34.0,Turnover by B. Bogdanović (lost ball; steal by T. Jones),,28,25
2,11:28.0,,J. Butler makes 2-pt layup from 1 ft (assist by T. Jones),28,27
2,11:19.0,K. O'Quinn misses 2-pt jump shot from 15 ft,,28,27
2,11:16.0,,Defensive rebound by G. Dieng,28,27
2,11:08.0,,T. Jones misses 2-pt layup from 8 ft,28,27
2,11:05.0,Defensive rebound by C. Joseph,,28,27
2,10:57.0,Turnover by T. Evans (out of bounds lost ball),,28,27
2,10:36.0,,J. Butler misses 2-pt jump shot from 15 ft,28,27
2,10:32.0,Defensive rebound by K. O'Quinn,,28,27
2,10:20.0,C. Joseph makes 3-pt jump shot from 25 ft (assist by K. O'Quinn),,31,27
2,10:02.0,,T. Jones misses 3-pt jump shot from 23 ft,31,27
2,10:00.0,Defensive rebound by T. Evans,,31,27
2,9:58.0,Offensive foul by T. Evans (drawn by A. Tolliver),,31,27
2,9:58.0,Turnover by T. Evans (offensive foul),,31,27
2,9:58.0,M. Turner enters the game for K. O'Quinn,,31,27
2,9:44.0,,Shooting foul by C. Joseph (drawn by D. Rose),31,27
2,9:44.0,,D. Rose makes free throw 1 of 3,31,28
2,9:44.0,,D. Rose makes free throw 2 of 3,31,29
2,9:44.0,,D. Rose makes free throw 3 of 3,31,30
2,9:32.0,Personal foul by A. Tolliver (drawn by M. Turner),,31,30
2,9:32.0,,T. Gibson enters the game for A. Tolliver,31,30
2,9:23.0,Shooting foul by G. Dieng (drawn by M. Turner),,31,30
2,9:23.0,M. Turner makes free throw 1 of 2,,32,30
2,9:23.0,M. Turner makes free throw 2 of 2,,33,30
2,9:12.0,,Personal foul by D. McDermott (drawn by J. Butler),33,30
2,9:00.0,,J. Butler makes 2-pt layup from 1 ft,33,32
2,8:47.0,Turnover by C. Joseph (bad pass; steal by T. Jones),,33,32
2,8:43.0,,J. Butler makes 2-pt dunk at rim,33,34
2,8:36.0,Indiana full timeout,,33,34
2,8:36.0,T. Young enters the game for B. Bogdanović,,33,34
2,8:18.0,T. Young misses 3-pt jump shot from 26 ft,,33,34
2,8:15.0,,Defensive rebound by T. Jones,33,34
2,8:04.0,,T. Gibson makes 2-pt jump shot from 13 ft (assist by J. Butler),33,36
2,7:39.0,M. Turner makes 3-pt jump shot from 25 ft (assist by C. Joseph),,36,36
2,7:14.0,,G. Dieng misses 3-pt jump shot from 23 ft,36,36
2,7:12.0,Defensive rebound by D. McDermott,,36,36
2,7:04.0,Shooting foul by T. Gibson (drawn by T. Young),,36,36
2,7:04.0,T. Young misses free throw 1 of 2,,36,36
2,7:04.0,Offensive rebound by Team,,36,36
2,7:04.0,V. Oladipo enters the game for T. Evans,,36,36
2,7:04.0,,K. Towns enters the game for G. Dieng,36,36
2,7:04.0,T. Young makes free throw 2 of 2,,37,36
2,6:45.0,,T. Jones misses 3-pt jump shot from 24 ft,37,36
2,6:43.0,Defensive rebound by V. Oladipo,,37,36
2,6:39.0,V. Oladipo misses 3-pt jump shot from 25 ft,,37,36
2,6:33.0,Offensive rebound by T. Young,,37,36
2,6:33.0,T. Young makes 2-pt layup from 2 ft,,39,36
2,6:18.0,,D. Rose misses 3-pt jump shot from 25 ft,39,36
2,6:16.0,Defensive rebound by T. Young,,39,36
2,6:06.0,V. Oladipo misses 2-pt jump shot from 21 ft,,39,36
2,6:02.0,Offensive rebound by T. Young,,39,36
2,5:59.0,D. McDermott misses 3-pt jump shot from 25 ft,,39,36
2,5:57.0,Offensive rebound by V. Oladipo,,39,36
2,5:51.0,V. Oladipo misses 2-pt jump shot from 7 ft,,39,36
2,5:48.0,,Defensive rebound by T. Jones,39,36
2,5:44.0,,T. Jones misses 2-pt layup from 1 ft,39,36
2,5:43.0,Defensive rebound by D. McDermott,,39,36
2,5:38.0,C. Joseph misses 3-pt jump shot from 24 ft,,39,36
2,5:34.0,,Defensive rebound by K. Towns,39,36
2,5:27.0,,Personal foul by T. Young (drawn by D. Rose),39,36
2,5:27.0,D. Collison enters the game for C. Joseph,,39,36
2,5:27.0,,J. Teague enters the game for T. Jones,39,36
2,5:14.0,,J. Teague misses 2-pt jump shot from 20 ft,39,36
2,5:11.0,Defensive rebound by V. Oladipo,,39,36
2,5:02.0,D. Collison misses 2-pt layup from 3 ft (block by K. Towns),,39,36
2,4:59.0,,Defensive rebound by T. Gibson,39,36
2,4:56.0,,J. Butler makes 2-pt layup from 1 ft (assist by J. Teague),39,38
2,4:36.0,M. Turner misses 2-pt hook shot from 7 ft,,39,38
2,4:33.0,,Defensive rebound by K. Towns,39,38
2,4:29.0,,T. Gibson makes 2-pt layup from 1 ft (assist by D. Rose),39,40
2,4:23.0,Indiana full timeout,,39,40
2,4:23.0,B. Bogdanović enters the game for D. McDermott,,39,40
2,4:23.0,,J. Okogie enters the game for D. Rose,39,40
2,4:13.0,M. Turner makes 2-pt jump shot from 5 ft (assist by V. Oladipo),,41,40
2,4:13.0,Shooting foul by K. Towns (drawn by M. Turner),,41,40
2,4:13.0,M. Turner makes free throw 1 of 1,,42,40
2,3:58.0,,Personal foul by D. Collison (drawn by J. Teague),42,40
2,3:49.0,,Turnover by T. Gibson (traveling),42,40
2,3:39.0,V. Oladipo misses 2-pt jump shot from 9 ft,,42,40
2,3:35.0,Offensive rebound by M. Turner,,42,40
2,3:33.0,M. Turner makes 2-pt jump shot from 7 ft,,44,40
2,3:24.0,,J. Okogie misses 3-pt jump shot from 24 ft,44,40
2,3:22.0,Defensive rebound by D. Collison,,44,40
2,3:08.0,Turnover by D. Collison (bad pass; steal by T. Gibson),,44,40
2,3:06.0,,J. Okogie makes 2-pt layup from 1 ft,44,42
2,3:06.0,Violation by Team (def goaltending),,44,42
2,2:54.0,Offensive foul by B. Bogdanović (drawn by J. Okogie),,44,42
2,2:54.0,Turnover by B. Bogdanović (offensive foul),,44,42
2,2:54.0,,D. Rose enters the game for J. Butler,44,42
2,2:42.0,,Turnover by J. Okogie (out of bounds lost ball),44,42
2,2:24.0,V. Oladipo makes 3-pt jump shot from 25 ft,,47,42
2,2:06.0,,K. Towns makes 2-pt jump shot from 6 ft (assist by J. Teague),47,44
2,1:54.0,V. Oladipo makes 2-pt layup from 4 ft (assist by D. Collison),,49,44
2,1:32.0,,Personal foul by T. Young (drawn by K. Towns),49,44
2,1:32.0,,K. Towns makes free throw 1 of 2,49,45
2,1:32.0,K. O'Quinn enters the game for M. Turner,,49,45
2,1:32.0,,K. Towns makes free throw 2 of 2,49,46
2,1:22.0,V. Oladipo misses 2-pt jump shot from 16 ft,,49,46
2,1:20.0,,Defensive rebound by K. Towns,49,46
2,1:13.0,,D. Rose makes 2-pt layup at rim,49,48
2,0:58.0,Turnover by V. Oladipo (bad pass; steal by J. Okogie),,49,48
2,0:55.0,,J. Okogie makes 2-pt dunk from 1 ft (assist by D. Rose),49,50
2,0:37.0,Turnover by K. O'Quinn (3 sec),,49,50
2,0:27.0,,D. Rose misses 3-pt jump shot from 26 ft,49,50
2,0:23.0,Defensive rebound by D. Collison,,49,50
2,0:00.0,D. Collison misses 3-pt jump shot from 25 ft,,49,50
2,0:00.0,Offensive rebound by Team,,49,50
3,11:41.0,M. Turner makes 2-pt jump shot from 21 ft (assist by D. Collison),,51,50
3,11:20.0,,T. Gibson misses 2-pt layup from 5 ft (block by M. Turner),51,50
3,11:20.0,,Offensive rebound by Team,51,50
3,11:17.0,,J. Okogie misses 3-pt jump shot from 23 ft,51,50
3,11:15.0,,Offensive rebound by T. Gibson,51,50
3,11:14.0,,T. Gibson makes 2-pt hook shot from 6 ft,51,52
3,11:03.0,Turnover by B. Bogdanović (traveling),,51,52
3,10:53.0,,Personal foul by T. Young (drawn by K. Towns),51,52
3,10:47.0,,Turnover by J. Okogie (traveling),51,52
3,10:35.0,V. Oladipo makes 2-pt jump shot from 17 ft,,53,52
3,10:18.0,,J. Butler misses 2-pt layup from 1 ft,53,52
3,10:16.0,,Offensive rebound by J. Butler,53,52
3,10:05.0,,J. Okogie misses 3-pt jump shot from 24 ft,53,52
3,10:00.0,,Offensive rebound by K. Towns,53,52
3,9:59.0,,J. Okogie misses 2-pt jump shot from 15 ft,53,52
3,9:57.0,Defensive rebound by D. Collison,,53,52
3,9:53.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Collison),,56,52
3,9:38.0,,K. Towns misses 3-pt jump shot from 26 ft,56,52
3,9:34.0,,Offensive rebound by J. Okogie,56,52
3,9:32.0,,Shooting foul by B. Bogdanović (drawn by J. Butler),56,52
3,9:32.0,,J. Butler makes free throw 1 of 2,56,53
3,9:32.0,,J. Butler makes free throw 2 of 2,56,54
3,9:21.0,Turnover by D. Collison (bad pass; steal by J. Okogie),,56,54
3,9:17.0,,Turnover by J. Butler (lost ball; steal by D. Collison),56,54
3,9:00.0,V. Oladipo misses 2-pt layup from 2 ft (block by T. Gibson),,56,54
3,9:00.0,,Defensive rebound by K. Towns,56,54
3,8:50.0,,K. Towns makes 2-pt dunk from 1 ft (assist by J. Teague),56,56
3,8:35.0,Shooting foul by J. Teague (drawn by D. Collison),,56,56
3,8:35.0,D. Collison makes free throw 1 of 2,,57,56
3,8:35.0,D. Collison makes free throw 2 of 2,,58,56
3,8:22.0,,J. Okogie misses 3-pt jump shot from 24 ft,58,56
3,8:20.0,,Offensive rebound by Team,58,56
3,8:20.0,Loose ball foul by M. Turner (drawn by T. Gibson),,58,56
3,8:11.0,,J. Okogie misses 3-pt jump shot from 23 ft,58,56
3,8:08.0,Defensive rebound by D. Collison,,58,56
3,8:01.0,M. Turner misses 3-pt jump shot from 24 ft,,58,56
3,7:59.0,Offensive rebound by Team,,58,56
3,7:49.0,Offensive foul by M. Turner (drawn by J. Teague),,58,56
3,7:49.0,Turnover by M. Turner (offensive foul),,58,56
3,7:49.0,D. Sabonis enters the game for M. Turner,,58,56
3,7:34.0,,K. Towns makes 2-pt layup from 1 ft (assist by T. Gibson),58,58
3,7:26.0,V. Oladipo misses 2-pt layup from 1 ft (block by J. Butler),,58,58
3,7:23.0,,Defensive rebound by K. Towns,58,58
3,7:20.0,,J. Teague makes 3-pt jump shot from 25 ft,58,61
3,7:20.0,Indiana full timeout,,58,61
3,7:08.0,B. Bogdanović makes 2-pt jump shot from 13 ft (assist by D. Collison),,60,61
3,6:50.0,,Shooting foul by V. Oladipo (drawn by J. Butler),60,61
3,6:50.0,,J. Butler makes free throw 1 of 2,60,62
3,6:50.0,,J. Butler makes free throw 2 of 2,60,63
3,6:40.0,T. Young misses 2-pt jump shot from 7 ft (block by T. Gibson),,60,63
3,6:37.0,,Defensive rebound by J. Teague,60,63
3,6:26.0,,J. Okogie makes 2-pt layup from 1 ft (assist by J. Teague),60,65
3,6:10.0,V. Oladipo misses 3-pt jump shot from 25 ft,,60,65
3,6:08.0,,Defensive rebound by J. Okogie,60,65
3,5:57.0,,Offensive foul by J. Butler (drawn by T. Young),60,65
3,5:57.0,,Turnover by J. Butler (offensive foul),60,65
3,5:45.0,D. Collison misses 3-pt jump shot from 24 ft,,60,65
3,5:41.0,Offensive rebound by B. Bogdanović,,60,65
3,5:29.0,V. Oladipo misses 2-pt jump shot from 23 ft,,60,65
3,5:26.0,,Defensive rebound by T. Gibson,60,65
3,5:20.0,,J. Okogie misses 2-pt jump shot from 8 ft,60,65
3,5:17.0,Defensive rebound by V. Oladipo,,60,65
3,5:13.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by D. Collison),,63,65
3,4:53.0,,J. Teague misses 3-pt jump shot from 24 ft,63,65
3,4:50.0,,Offensive rebound by K. Towns,63,65
3,4:50.0,,Turnover by K. Towns (out of bounds lost ball),63,65
3,4:50.0,,D. Rose enters the game for J. Okogie,63,65
3,4:37.0,V. Oladipo misses 2-pt jump shot from 9 ft,,63,65
3,4:34.0,,Defensive rebound by K. Towns,63,65
3,4:31.0,,J. Teague makes 2-pt layup from 1 ft (assist by D. Rose),63,67
3,4:13.0,B. Bogdanović misses 2-pt layup from 6 ft,,63,67
3,4:10.0,,Defensive rebound by K. Towns,63,67
3,4:01.0,,Turnover by T. Gibson (3 sec),63,67
3,4:01.0,C. Joseph enters the game for B. Bogdanović,,63,67
3,3:49.0,D. Sabonis misses 2-pt layup from 5 ft (block by J. Teague),,63,67
3,3:46.0,,Defensive rebound by J. Teague,63,67
3,3:39.0,,K. Towns misses 3-pt jump shot from 26 ft,63,67
3,3:35.0,,Offensive rebound by J. Butler,63,67
3,3:30.0,,J. Butler makes 2-pt layup from 1 ft (assist by J. Teague),63,69
3,3:15.0,V. Oladipo misses 2-pt layup from 2 ft,,63,69
3,3:14.0,Offensive rebound by D. Sabonis,,63,69
3,3:14.0,Shooting foul by K. Towns (drawn by D. Sabonis),,63,69
3,3:14.0,D. Sabonis makes free throw 1 of 2,,64,69
3,3:14.0,T. Evans enters the game for V. Oladipo,,64,69
3,3:14.0,K. O'Quinn enters the game for T. Young,,64,69
3,3:14.0,,G. Dieng enters the game for K. Towns,64,69
3,3:14.0,D. Sabonis makes free throw 2 of 2,,65,69
3,2:58.0,,J. Teague misses 2-pt jump shot from 8 ft (block by K. O'Quinn),65,69
3,2:56.0,Defensive rebound by C. Joseph,,65,69
3,2:49.0,C. Joseph makes 2-pt jump shot from 12 ft,,67,69
3,2:31.0,,Personal foul by K. O'Quinn (drawn by J. Teague),67,69
3,2:31.0,,Minnesota full timeout,67,69
3,2:31.0,,A. Tolliver enters the game for T. Gibson,67,69
3,2:31.0,,J. Teague misses free throw 1 of 2,67,69
3,2:31.0,,Offensive rebound by Team,67,69
3,2:31.0,,J. Teague makes free throw 2 of 2,67,70
3,2:12.0,T. Evans misses 2-pt layup from 6 ft (block by G. Dieng),,67,70
3,2:10.0,,Defensive rebound by G. Dieng,67,70
3,2:06.0,,J. Butler misses 3-pt jump shot from 25 ft,67,70
3,2:03.0,Defensive rebound by D. Sabonis,,67,70
3,1:53.0,D. Collison makes 2-pt jump shot from 13 ft (assist by D. Sabonis),,69,70
3,1:41.0,,J. Butler misses 3-pt jump shot from 26 ft,69,70
3,1:38.0,Defensive rebound by D. Sabonis,,69,70
3,1:27.0,D. Sabonis makes 2-pt hook shot from 6 ft,,71,70
3,1:16.0,,A. Tolliver misses 3-pt jump shot from 25 ft,71,70
3,1:12.0,,Offensive rebound by G. Dieng,71,70
3,1:04.0,,D. Rose misses 3-pt jump shot from 25 ft,71,70
3,1:03.0,,Offensive rebound by Team,71,70
3,1:03.0,Loose ball foul by K. O'Quinn (drawn by G. Dieng),,71,70
3,1:03.0,D. McDermott enters the game for D. Collison,,71,70
3,1:03.0,,T. Jones enters the game for J. Butler,71,70
3,1:03.0,,J. Okogie enters the game for J. Teague,71,70
3,1:03.0,,G. Dieng makes free throw 1 of 2,71,71
3,1:03.0,,G. Dieng makes free throw 2 of 2,71,72
3,0:44.0,D. Sabonis misses 2-pt layup from 4 ft,,71,72
3,0:42.0,Offensive rebound by D. Sabonis,,71,72
3,0:41.0,D. Sabonis makes 2-pt layup from 1 ft,,73,72
3,0:41.0,Shooting foul by G. Dieng (drawn by D. Sabonis),,73,72
3,0:41.0,D. Sabonis misses free throw 1 of 1,,73,72
3,0:41.0,,Defensive rebound by G. Dieng,73,72
3,0:28.0,,Turnover by D. Rose (lost ball; steal by C. Joseph),73,72
3,0:22.0,Turnover by C. Joseph (bad pass; steal by J. Okogie),,73,72
3,0:00.0,,D. Rose misses 2-pt jump shot from 19 ft,73,72
3,0:00.0,,Offensive rebound by Team,73,72
4,11:39.0,,D. Rose makes 2-pt layup from 1 ft,73,74
4,11:23.0,D. McDermott misses 3-pt jump shot from 25 ft,,73,74
4,11:19.0,,Defensive rebound by G. Dieng,73,74
4,11:10.0,,T. Jones makes 3-pt jump shot from 23 ft (assist by D. Rose),73,77
4,10:49.0,T. Evans misses 3-pt jump shot from 25 ft,,73,77
4,10:46.0,,Defensive rebound by D. Rose,73,77
4,10:41.0,,D. Rose makes 2-pt layup from 2 ft,73,79
4,10:24.0,D. Sabonis misses 2-pt jump shot from 16 ft,,73,79
4,10:22.0,,Defensive rebound by J. Okogie,73,79
4,10:17.0,,D. Rose misses 2-pt jump shot from 17 ft,73,79
4,10:15.0,Defensive rebound by T. Evans,,73,79
4,9:57.0,C. Joseph misses 2-pt jump shot from 18 ft,,73,79
4,9:57.0,,Defensive rebound by Team,73,79
4,9:57.0,Loose ball foul by D. McDermott (drawn by A. Tolliver),,73,79
4,9:57.0,,J. Butler enters the game for D. Rose,73,79
4,9:48.0,,G. Dieng makes 2-pt layup at rim (assist by T. Jones),73,81
4,9:48.0,Indiana full timeout,,73,81
4,9:27.0,D. Sabonis misses 2-pt jump shot from 19 ft,,73,81
4,9:23.0,,Defensive rebound by G. Dieng,73,81
4,9:12.0,,A. Tolliver makes 3-pt jump shot from 25 ft (assist by T. Jones),73,84
4,8:57.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by T. Evans),,75,84
4,8:41.0,,T. Jones misses 2-pt jump shot from 15 ft,75,84
4,8:37.0,Defensive rebound by D. McDermott,,75,84
4,8:25.0,T. Evans makes 2-pt layup from 1 ft (assist by C. Joseph),,77,84
4,8:07.0,,J. Okogie makes 2-pt jump shot from 18 ft (assist by J. Butler),77,86
4,8:07.0,,Shooting foul by D. McDermott (drawn by J. Okogie),77,86
4,8:07.0,V. Oladipo enters the game for B. Bogdanović,,77,86
4,8:07.0,M. Turner enters the game for T. Evans,,77,86
4,8:07.0,T. Young enters the game for D. Sabonis,,77,86
4,8:07.0,,K. Towns enters the game for G. Dieng,77,86
4,8:07.0,,J. Okogie makes free throw 1 of 1,77,87
4,7:51.0,M. Turner makes 2-pt jump shot from 15 ft (assist by C. Joseph),,79,87
4,7:31.0,,T. Jones makes 2-pt jump shot from 20 ft,79,89
4,7:10.0,C. Joseph misses 3-pt jump shot from 25 ft,,79,89
4,7:08.0,,Defensive rebound by T. Jones,79,89
4,7:00.0,,Personal foul by D. McDermott (drawn by J. Butler),79,89
4,7:00.0,B. Bogdanović enters the game for D. McDermott,,79,89
4,6:52.0,,T. Jones misses 3-pt jump shot from 26 ft,79,89
4,6:48.0,Defensive rebound by V. Oladipo,,79,89
4,6:39.0,V. Oladipo misses 2-pt layup from 3 ft (block by A. Tolliver),,79,89
4,6:35.0,,Defensive rebound by J. Butler,79,89
4,6:33.0,,T. Jones makes 3-pt jump shot from 23 ft (assist by J. Butler),79,92
4,6:31.0,Indiana full timeout,,79,92
4,6:12.0,T. Young misses 2-pt layup from 5 ft (block by A. Tolliver),,79,92
4,6:09.0,,Defensive rebound by K. Towns,79,92
4,5:56.0,,Turnover by J. Butler (bad pass; steal by M. Turner),79,92
4,5:53.0,Personal foul by T. Jones (drawn by T. Young),,79,92
4,5:47.0,Turnover by V. Oladipo (bad pass; steal by T. Jones),,79,92
4,5:44.0,,Offensive foul by K. Towns (drawn by V. Oladipo),79,92
4,5:44.0,,Turnover by K. Towns (offensive foul),79,92
