QUARTER,TIME_REMAINING,INDIANA_ACTION,LA LAKERS_ACTION,INDIANA_SCORE,LA LAKERS_SCORE
1,6:47.0,,T. Chandler enters the game for J. McGee,2,13
1,6:39.0,,L. James makes 2-pt jump shot from 4 ft (assist by L. Ball),2,15
1,6:24.0,B. Bogdanović makes 2-pt hook shot from 2 ft (assist by M. Turner),,4,15
1,6:24.0,Shooting foul by T. Chandler (drawn by B. Bogdanović),,4,15
1,6:24.0,B. Bogdanović makes free throw 1 of 1,,5,15
1,6:15.0,,B. Ingram makes 2-pt dunk at rim (assist by L. James),5,17
1,5:58.0,D. Collison misses 3-pt jump shot from 26 ft,,5,17
1,5:55.0,,Defensive rebound by L. James,5,17
1,5:49.0,,Turnover by L. James (lost ball; steal by D. Collison),5,17
1,5:45.0,D. Collison misses 2-pt layup from 2 ft (block by L. Ball),,5,17
1,5:43.0,Offensive rebound by T. Evans,,5,17
1,5:42.0,T. Evans misses 2-pt layup from 3 ft (block by B. Ingram),,5,17
1,5:42.0,Offensive rebound by Team,,5,17
1,5:31.0,T. Evans misses 2-pt layup from 3 ft (block by T. Chandler),,5,17
1,5:31.0,Offensive rebound by Team,,5,17
1,5:26.0,M. Turner misses 2-pt jump shot from 10 ft,,5,17
1,5:24.0,,Defensive rebound by T. Chandler,5,17
1,5:16.0,,L. James makes 2-pt layup from 3 ft (assist by L. Ball),5,19
1,5:16.0,Violation by Team (def goaltending),,5,19
1,5:09.0,Personal foul by K. Kuzma (drawn by B. Bogdanović),,5,19
1,5:09.0,,J. Hart enters the game for K. Kuzma,5,19
1,5:03.0,Turnover by T. Evans (bad pass; steal by J. Hart),,5,19
1,4:58.0,,J. Hart makes 2-pt layup from 1 ft (assist by B. Ingram),5,21
1,4:50.0,Turnover by T. Evans (dbl dribble),,5,21
1,4:50.0,C. Joseph enters the game for T. Evans,,5,21
1,4:50.0,D. Sabonis enters the game for T. Young,,5,21
1,4:43.0,,B. Ingram misses 2-pt layup from 3 ft,5,21
1,4:40.0,,Offensive rebound by L. Ball,5,21
1,4:37.0,,L. Ball makes 2-pt layup from 2 ft,5,23
1,4:34.0,Indiana full timeout,,5,23
1,4:34.0,D. McDermott enters the game for D. Collison,,5,23
1,4:34.0,,L. Stephenson enters the game for B. Ingram,5,23
1,4:28.0,Personal foul by J. Hart (drawn by D. Sabonis),,5,23
1,4:19.0,Shooting foul by L. Ball (drawn by C. Joseph),,5,23
1,4:19.0,C. Joseph misses free throw 1 of 2,,5,23
1,4:19.0,Offensive rebound by Team,,5,23
1,4:19.0,C. Joseph makes free throw 2 of 2,,6,23
1,4:01.0,,L. James makes 2-pt jump shot from 19 ft,6,25
1,3:50.0,D. McDermott makes 2-pt jump shot from 11 ft (assist by D. Sabonis),,8,25
1,3:33.0,,L. Ball misses 2-pt hook shot from 4 ft,8,25
1,3:31.0,Defensive rebound by D. Sabonis,,8,25
1,3:25.0,Offensive foul by M. Turner (drawn by J. Hart),,8,25
1,3:25.0,Turnover by M. Turner (offensive foul),,8,25
1,3:25.0,A. Holiday enters the game for M. Turner,,8,25
1,3:25.0,,K. Caldwell-Pope enters the game for L. Ball,8,25
1,3:17.0,,Shooting foul by D. Sabonis (drawn by T. Chandler),8,25
1,3:17.0,,T. Chandler makes free throw 1 of 2,8,26
1,3:17.0,,T. Chandler misses free throw 2 of 2,8,26
1,3:15.0,Defensive rebound by B. Bogdanović,,8,26
1,3:06.0,A. Holiday misses 2-pt jump shot from 14 ft,,8,26
1,3:02.0,,Defensive rebound by T. Chandler,8,26
1,2:57.0,,Turnover by L. James (bad pass),8,26
1,2:40.0,C. Joseph makes 2-pt jump shot from 13 ft,,10,26
1,2:27.0,,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by J. Hart),10,29
1,2:12.0,Personal foul by L. James (drawn by B. Bogdanović),,10,29
1,2:12.0,B. Bogdanović misses free throw 1 of 2,,10,29
1,2:12.0,Offensive rebound by Team,,10,29
1,2:12.0,B. Bogdanović makes free throw 2 of 2,,11,29
1,2:00.0,,L. James makes 2-pt jump shot from 12 ft,11,31
1,1:48.0,Turnover by A. Holiday (lost ball; steal by L. Stephenson),,11,31
1,1:46.0,,Personal foul by D. McDermott (drawn by J. Hart),11,31
1,1:38.0,,L. Stephenson misses 2-pt layup from 3 ft (block by D. McDermott),11,31
1,1:38.0,,Offensive rebound by Team,11,31
1,1:30.0,,L. James misses 2-pt jump shot from 17 ft,11,31
1,1:28.0,Defensive rebound by C. Joseph,,11,31
1,1:19.0,Turnover by D. Sabonis (lost ball; steal by J. Hart),,11,31
1,1:16.0,,K. Caldwell-Pope makes 2-pt dunk from 1 ft (assist by J. Hart),11,33
1,1:02.0,C. Joseph makes 2-pt jump shot from 9 ft (assist by D. Sabonis),,13,33
1,0:41.0,,L. Stephenson misses 2-pt jump shot from 21 ft,13,33
1,0:38.0,Defensive rebound by D. Sabonis,,13,33
1,0:32.0,D. Sabonis misses 2-pt jump shot from 18 ft,,13,33
1,0:29.0,,Defensive rebound by L. Stephenson,13,33
1,0:10.0,,K. Caldwell-Pope makes 3-pt jump shot from 24 ft (assist by L. James),13,36
1,0:04.0,Personal foul by J. Hart (drawn by D. Sabonis),,13,36
1,0:04.0,D. Sabonis makes free throw 1 of 2,,14,36
1,0:04.0,D. Sabonis makes free throw 2 of 2,,15,36
1,0:00.0,,Shooting foul by D. McDermott (drawn by L. James),15,36
1,0:00.0,,L. James makes free throw 1 of 2,15,37
1,0:00.0,,L. James makes free throw 2 of 2,15,38
2,11:43.0,,M. Beasley misses 2-pt jump shot from 10 ft,15,38
2,11:40.0,,Offensive rebound by J. McGee,15,38
2,11:36.0,,B. Ingram misses 2-pt jump shot from 16 ft,15,38
2,11:32.0,Defensive rebound by C. Joseph,,15,38
2,11:27.0,A. Holiday makes 3-pt jump shot from 27 ft (assist by C. Joseph),,18,38
2,11:08.0,,J. Hart misses 3-pt jump shot from 23 ft,18,38
2,11:06.0,Defensive rebound by D. McDermott,,18,38
2,11:02.0,A. Holiday misses 3-pt jump shot from 28 ft,,18,38
2,10:59.0,,Defensive rebound by M. Beasley,18,38
2,10:52.0,,B. Ingram misses 2-pt jump shot from 11 ft,18,38
2,10:50.0,,Offensive rebound by J. McGee,18,38
2,10:47.0,,M. Beasley makes 2-pt layup from 2 ft (assist by J. McGee),18,40
2,10:34.0,Turnover by C. Joseph (bad pass; steal by J. Hart),,18,40
2,10:29.0,,J. Hart makes 2-pt dunk from 3 ft,18,42
2,10:19.0,D. McDermott makes 3-pt jump shot from 24 ft (assist by C. Joseph),,21,42
2,9:53.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,21,42
2,9:50.0,Defensive rebound by C. Joseph,,21,42
2,9:44.0,Shooting foul by M. Beasley (drawn by A. Holiday),,21,42
2,9:44.0,A. Holiday makes free throw 1 of 2,,22,42
2,9:44.0,A. Holiday makes free throw 2 of 2,,23,42
2,9:25.0,,Turnover by M. Beasley (bad pass; steal by T. Young),23,42
2,9:23.0,Shooting foul by M. Beasley (drawn by T. Young),,23,42
2,9:23.0,T. Young misses free throw 1 of 2,,23,42
2,9:23.0,Offensive rebound by Team,,23,42
2,9:23.0,T. Young makes free throw 2 of 2,,24,42
2,9:08.0,,M. Beasley makes 2-pt layup from 2 ft (assist by K. Caldwell-Pope),24,44
2,8:53.0,D. Sabonis misses 2-pt hook shot from 3 ft,,24,44
2,8:53.0,Offensive rebound by D. Sabonis,,24,44
2,8:53.0,D. Sabonis makes 2-pt hook shot from 3 ft,,26,44
2,8:53.0,,Violation by Team (def goaltending),26,44
2,8:36.0,,B. Ingram makes 2-pt layup from 3 ft,26,46
2,8:26.0,C. Joseph misses 2-pt jump shot from 13 ft,,26,46
2,8:24.0,Offensive rebound by D. Sabonis,,26,46
2,8:24.0,Shooting foul by M. Beasley (drawn by D. Sabonis),,26,46
2,8:24.0,D. Sabonis makes free throw 1 of 2,,27,46
2,8:24.0,D. Sabonis misses free throw 2 of 2,,27,46
2,8:21.0,,Defensive rebound by J. McGee,27,46
2,8:03.0,,Turnover by M. Beasley (bad pass; steal by A. Holiday),27,46
2,7:53.0,Turnover by C. Joseph (bad pass; steal by M. Beasley),,27,46
2,7:48.0,,J. Hart makes 2-pt layup from 2 ft (assist by M. Beasley),27,48
2,7:41.0,C. Joseph makes 3-pt jump shot from 29 ft (assist by A. Holiday),,30,48
2,7:40.0,,LA Lakers full timeout,30,48
2,7:40.0,,L. Ball enters the game for M. Beasley,30,48
2,7:40.0,,K. Kuzma enters the game for J. Hart,30,48
2,7:26.0,,Turnover by L. Ball (bad pass; steal by C. Joseph),30,48
2,7:17.0,A. Holiday misses 3-pt jump shot from 26 ft,,30,48
2,7:14.0,,Defensive rebound by K. Kuzma,30,48
2,6:53.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,30,48
2,6:48.0,Defensive rebound by T. Young,,30,48
2,6:41.0,Shooting foul by J. McGee (drawn by D. Sabonis),,30,48
2,6:41.0,B. Bogdanović enters the game for D. McDermott,,30,48
2,6:41.0,,T. Chandler enters the game for K. Caldwell-Pope,30,48
2,6:41.0,,L. James enters the game for J. McGee,30,48
2,6:41.0,D. Sabonis makes free throw 1 of 2,,31,48
2,6:41.0,T. Evans enters the game for A. Holiday,,31,48
2,6:41.0,D. Sabonis makes free throw 2 of 2,,32,48
2,6:38.0,,L. James makes 2-pt layup from 1 ft (assist by L. Ball),32,50
2,6:38.0,,Shooting foul by B. Bogdanović (drawn by L. James),32,50
2,6:38.0,,L. James makes free throw 1 of 1,32,51
2,6:18.0,D. Sabonis makes 2-pt hook shot from 5 ft (assist by T. Evans),,34,51
2,6:02.0,,Shooting foul by T. Young (drawn by B. Ingram),34,51
2,6:02.0,,B. Ingram misses free throw 1 of 2,34,51
2,6:02.0,,Offensive rebound by Team,34,51
2,6:02.0,,B. Ingram makes free throw 2 of 2,34,52
2,5:57.0,Personal foul by B. Ingram (drawn by T. Evans),,34,52
2,5:57.0,T. Evans misses free throw 1 of 2,,34,52
2,5:57.0,Offensive rebound by Team,,34,52
2,5:57.0,M. Turner enters the game for T. Young,,34,52
2,5:57.0,T. Evans makes free throw 2 of 2,,35,52
2,5:41.0,,B. Ingram misses 2-pt layup from 3 ft,35,52
2,5:37.0,Defensive rebound by T. Evans,,35,52
2,5:33.0,T. Evans misses 2-pt layup from 3 ft,,35,52
2,5:28.0,Offensive rebound by D. Sabonis,,35,52
2,5:28.0,D. Sabonis makes 2-pt layup at rim,,37,52
2,5:13.0,,T. Chandler misses 2-pt layup from 2 ft,37,52
2,5:11.0,Defensive rebound by D. Sabonis,,37,52
2,5:02.0,D. Sabonis makes 3-pt jump shot from 25 ft (assist by C. Joseph),,40,52
2,5:00.0,,LA Lakers full timeout,40,52
2,5:00.0,D. Collison enters the game for C. Joseph,,40,52
2,4:43.0,,K. Kuzma makes 2-pt layup from 1 ft,40,54
2,4:20.0,M. Turner misses 2-pt hook shot from 11 ft,,40,54
2,4:17.0,,Defensive rebound by T. Chandler,40,54
2,4:10.0,,K. Kuzma misses 3-pt jump shot from 25 ft,40,54
2,4:07.0,Defensive rebound by M. Turner,,40,54
2,3:57.0,D. Sabonis misses 2-pt jump shot from 18 ft,,40,54
2,3:53.0,,Defensive rebound by K. Kuzma,40,54
2,3:49.0,,L. Ball misses 2-pt layup from 3 ft,40,54
2,3:49.0,,Offensive rebound by Team,40,54
2,3:49.0,,Offensive foul by T. Chandler (drawn by B. Bogdanović),40,54
2,3:49.0,,Turnover by T. Chandler (offensive foul),40,54
2,3:33.0,Turnover by T. Evans (bad pass; steal by L. James),,40,54
2,3:29.0,,K. Kuzma makes 2-pt dunk from 1 ft (assist by L. James),40,56
2,3:01.0,T. Evans misses 3-pt jump shot from 29 ft,,40,56
2,2:58.0,,Defensive rebound by L. Ball,40,56
2,2:42.0,,L. James misses 2-pt jump shot from 9 ft,40,56
2,2:38.0,,Offensive rebound by L. Ball,40,56
2,2:37.0,,Turnover by L. Ball (bad pass; steal by T. Evans),40,56
2,2:33.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by T. Evans),,43,56
2,2:12.0,,K. Kuzma misses 3-pt jump shot from 23 ft,43,56
2,2:09.0,Defensive rebound by D. Sabonis,,43,56
2,1:59.0,D. Collison misses 2-pt jump shot from 16 ft,,43,56
2,1:55.0,,Defensive rebound by L. James,43,56
2,1:54.0,,Personal foul by D. Collison (drawn by L. James),43,56
2,1:54.0,,J. McGee enters the game for T. Chandler,43,56
2,1:46.0,,B. Ingram misses 2-pt layup from 2 ft,43,56
2,1:45.0,Defensive rebound by D. Collison,,43,56
2,1:39.0,D. Sabonis makes 2-pt layup from 1 ft (assist by T. Evans),,45,56
2,1:26.0,,Turnover by L. Ball (lost ball; steal by D. Collison),45,56
2,1:20.0,D. Collison makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),,48,56
2,1:18.0,,LA Lakers full timeout,48,56
2,1:02.0,,K. Kuzma misses 2-pt jump shot from 6 ft,48,56
2,1:00.0,Defensive rebound by D. Sabonis,,48,56
2,0:58.0,Shooting foul by L. Ball (drawn by T. Evans),,48,56
2,0:58.0,T. Evans makes free throw 1 of 2,,49,56
2,0:58.0,,J. Hart enters the game for K. Kuzma,49,56
2,0:58.0,T. Evans makes free throw 2 of 2,,50,56
2,0:43.0,,J. McGee misses 2-pt layup from 2 ft,50,56
2,0:40.0,Defensive rebound by D. Sabonis,,50,56
2,0:30.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,50,56
2,0:26.0,Offensive rebound by B. Bogdanović,,50,56
2,0:26.0,Turnover by B. Bogdanović (out of bounds lost ball),,50,56
2,0:03.0,,L. James misses 3-pt jump shot from 26 ft,50,56
2,0:01.0,Defensive rebound by D. Sabonis,,50,56
2,0:00.0,D. Collison misses 2-pt jump shot from 17 ft,,50,56
2,0:00.0,Offensive rebound by Team,,50,56
3,11:39.0,,B. Ingram makes 2-pt jump shot from 9 ft,50,58
3,11:23.0,Shooting foul by K. Kuzma (drawn by B. Bogdanović),,50,58
3,11:23.0,B. Bogdanović makes free throw 1 of 2,,51,58
3,11:23.0,B. Bogdanović makes free throw 2 of 2,,52,58
3,11:05.0,,B. Ingram misses 3-pt jump shot from 26 ft,52,58
3,11:00.0,,Offensive rebound by J. McGee,52,58
3,10:58.0,,J. McGee misses 2-pt layup from 3 ft,52,58
3,10:56.0,Defensive rebound by M. Turner,,52,58
3,10:54.0,M. Turner makes 2-pt layup from 2 ft (assist by D. Collison),,54,58
3,10:48.0,,Turnover by J. McGee (bad pass; steal by T. Young),54,58
3,10:33.0,T. Young misses 2-pt layup from 4 ft,,54,58
3,10:30.0,,Defensive rebound by L. James,54,58
3,10:24.0,,J. McGee makes 2-pt layup from 2 ft (assist by L. James),54,60
3,10:10.0,Turnover by T. Evans (bad pass),,54,60
3,9:52.0,,B. Ingram makes 2-pt jump shot from 15 ft (assist by J. McGee),54,62
3,9:52.0,,Shooting foul by T. Evans (drawn by B. Ingram),54,62
3,9:52.0,,B. Ingram makes free throw 1 of 1,54,63
3,9:41.0,M. Turner makes 2-pt jump shot from 13 ft (assist by D. Collison),,56,63
3,9:16.0,,B. Ingram misses 3-pt jump shot from 28 ft,56,63
3,9:12.0,Defensive rebound by M. Turner,,56,63
3,9:06.0,D. Collison makes 2-pt jump shot from 20 ft,,58,63
3,8:53.0,,L. James misses 3-pt jump shot from 24 ft,58,63
3,8:48.0,,Offensive rebound by L. Ball,58,63
3,8:45.0,,Shooting foul by M. Turner (drawn by K. Kuzma),58,63
3,8:45.0,,K. Kuzma makes free throw 1 of 2,58,64
3,8:45.0,,Turnover by J. McGee (lane violation),58,64
3,8:30.0,T. Evans makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),,61,64
3,8:13.0,,J. McGee makes 2-pt jump shot from 5 ft (assist by L. Ball),61,66
3,8:07.0,Turnover by T. Evans (traveling),,61,66
3,7:50.0,,Personal foul by T. Evans (drawn by B. Ingram),61,66
3,7:44.0,,L. James misses 2-pt jump shot from 7 ft,61,66
3,7:40.0,,Offensive rebound by L. Ball,61,66
3,7:39.0,,Turnover by L. Ball (lost ball; steal by D. Collison),61,66
3,7:39.0,Turnover by T. Evans (traveling),,61,66
3,7:39.0,Violation by Team (delay of game),,61,66
3,7:25.0,,Turnover by J. McGee (bad pass; steal by T. Evans),61,66
3,7:21.0,T. Evans misses 2-pt layup from 3 ft (block by J. McGee),,61,66
3,7:16.0,Offensive rebound by M. Turner,,61,66
3,7:04.0,Turnover by M. Turner (lost ball; steal by L. James),,61,66
3,7:02.0,,Turnover by L. James (lost ball; steal by D. Collison),61,66
3,7:02.0,Personal take foul by B. Ingram (drawn by D. Collison),,61,66
3,6:51.0,Personal foul by L. Ball (drawn by M. Turner),,61,66
3,6:51.0,,LA Lakers full timeout,61,66
3,6:51.0,,T. Chandler enters the game for J. McGee,61,66
3,6:40.0,T. Young makes 2-pt layup from 2 ft (assist by D. Collison),,63,66
3,6:24.0,,B. Ingram misses 2-pt jump shot from 17 ft,63,66
3,6:21.0,Defensive rebound by T. Young,,63,66
3,6:11.0,D. Collison misses 3-pt jump shot from 26 ft,,63,66
3,6:08.0,,Defensive rebound by T. Chandler,63,66
3,5:51.0,,T. Chandler misses 2-pt layup from 2 ft,63,66
3,5:51.0,,Offensive rebound by T. Chandler,63,66
3,5:51.0,,T. Chandler misses 2-pt layup from 2 ft,63,66
3,5:51.0,,Offensive rebound by Team,63,66
3,5:43.0,,L. Ball misses 3-pt jump shot from 22 ft,63,66
3,5:40.0,Defensive rebound by T. Evans,,63,66
3,5:34.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by T. Evans),,66,66
3,5:05.0,,L. James misses 2-pt jump shot from 11 ft,66,66
3,5:01.0,Defensive rebound by T. Evans,,66,66
3,4:45.0,T. Evans makes 3-pt jump shot from 28 ft,,69,66
3,4:44.0,,LA Lakers full timeout,69,66
3,4:44.0,,J. Hart enters the game for B. Ingram,69,66
3,4:28.0,,L. James makes 2-pt jump shot from 4 ft,69,68
3,4:11.0,M. Turner misses 2-pt jump shot from 19 ft,,69,68
3,4:08.0,,Defensive rebound by K. Kuzma,69,68
3,4:02.0,,L. James makes 3-pt jump shot from 25 ft,69,71
3,3:41.0,B. Bogdanović misses 2-pt layup from 5 ft,,69,71
3,3:39.0,,Defensive rebound by L. James,69,71
3,3:39.0,,Shooting foul by T. Evans (drawn by K. Kuzma),69,71
3,3:39.0,,K. Kuzma misses free throw 1 of 2,69,71
3,3:39.0,,Offensive rebound by Team,69,71
3,3:39.0,C. Joseph enters the game for T. Evans,,69,71
3,3:39.0,D. Sabonis enters the game for T. Young,,69,71
3,3:39.0,,K. Kuzma makes free throw 2 of 2,69,72
3,3:24.0,Personal foul by T. Chandler (drawn by B. Bogdanović),,69,72
3,3:08.0,M. Turner makes 2-pt layup from 4 ft (assist by D. Sabonis),,71,72
3,3:01.0,,Personal foul by B. Bogdanović (drawn by T. Chandler),71,72
3,3:01.0,,T. Chandler makes free throw 1 of 2,71,73
3,3:01.0,,T. Chandler makes free throw 2 of 2,71,74
3,2:46.0,D. Collison misses 3-pt jump shot from 25 ft,,71,74
3,2:42.0,,Defensive rebound by T. Chandler,71,74
3,2:31.0,,J. Hart makes 3-pt jump shot from 25 ft (assist by K. Kuzma),71,77
3,2:17.0,B. Bogdanović makes 2-pt layup from 2 ft,,73,77
3,2:03.0,,J. Hart makes 2-pt layup from 1 ft (assist by K. Kuzma),73,79
3,2:03.0,,Shooting foul by D. Sabonis (drawn by J. Hart),73,79
3,2:03.0,,K. Caldwell-Pope enters the game for L. Ball,73,79
3,2:03.0,,J. Hart misses free throw 1 of 1,73,79
3,2:03.0,Defensive rebound by D. Sabonis,,73,79
3,1:50.0,D. Sabonis misses 2-pt jump shot from 21 ft,,73,79
3,1:46.0,,Defensive rebound by T. Chandler,73,79
3,1:40.0,,L. James misses 3-pt jump shot from 26 ft,73,79
3,1:36.0,Defensive rebound by D. Collison,,73,79
3,1:21.0,C. Joseph misses 2-pt jump shot from 8 ft,,73,79
3,1:18.0,,Defensive rebound by T. Chandler,73,79
3,1:09.0,,L. James makes 2-pt layup from 2 ft (assist by T. Chandler),73,81
3,1:09.0,Indiana full timeout,,73,81
3,1:09.0,D. McDermott enters the game for D. Collison,,73,81
3,1:09.0,T. Young enters the game for M. Turner,,73,81
3,0:58.0,Flagrant foul type 1 by T. Chandler (drawn by D. Sabonis),,73,81
3,0:58.0,D. Sabonis makes flagrant free throw 1 of 2,,74,81
3,0:58.0,D. Sabonis makes flagrant free throw 2 of 2,,75,81
3,0:48.0,B. Bogdanović misses 2-pt jump shot from 15 ft,,75,81
3,0:44.0,,Defensive rebound by K. Kuzma,75,81
3,0:35.0,,L. James makes 2-pt layup from 1 ft,75,83
3,0:25.0,D. Sabonis misses 2-pt layup from 2 ft,,75,83
3,0:22.0,,Defensive rebound by K. Kuzma,75,83
3,0:03.0,,K. Kuzma misses 3-pt jump shot from 26 ft,75,83
3,0:00.0,,Offensive rebound by L. James,75,83
4,11:44.0,T. Young misses 2-pt layup from 4 ft (block by J. McGee),,75,83
4,11:42.0,,Defensive rebound by M. Beasley,75,83
4,11:28.0,,Turnover by J. Hart (bad pass; steal by T. Young),75,83
4,11:23.0,Turnover by T. Young (bad pass; steal by B. Ingram),,75,83
4,11:13.0,,Turnover by B. Ingram (bad pass; steal by T. Young),75,83
4,11:12.0,Personal take foul by M. Beasley (drawn by T. Young),,75,83
4,10:53.0,T. Young misses 3-pt jump shot from 23 ft,,75,83
4,10:50.0,,Defensive rebound by J. McGee,75,83
4,10:48.0,,Personal take foul by D. McDermott (drawn by J. Hart),75,83
4,10:37.0,,M. Beasley makes 2-pt jump shot from 5 ft (assist by B. Ingram),75,85
4,10:19.0,D. Sabonis misses 2-pt hook shot from 3 ft (block by B. Ingram),,75,85
4,10:18.0,Offensive rebound by Team,,75,85
4,10:08.0,Shooting foul by J. McGee (drawn by D. McDermott),,75,85
4,10:08.0,D. McDermott makes free throw 1 of 2,,76,85
4,10:08.0,D. McDermott makes free throw 2 of 2,,77,85
4,9:50.0,,K. Caldwell-Pope misses 2-pt jump shot from 20 ft,77,85
4,9:48.0,,Offensive rebound by J. McGee,77,85
4,9:38.0,,Shooting foul by C. Joseph (drawn by B. Ingram),77,85
4,9:38.0,,B. Ingram misses free throw 1 of 2,77,85
4,9:38.0,,Offensive rebound by Team,77,85
4,9:38.0,,B. Ingram misses free throw 2 of 2,77,85
4,9:35.0,Defensive rebound by D. McDermott,,77,85
4,9:17.0,T. Young makes 2-pt layup from 3 ft (assist by C. Joseph),,79,85
4,9:00.0,,B. Ingram makes 2-pt layup from 2 ft,79,87
4,8:42.0,D. Sabonis misses 2-pt layup from 2 ft,,79,87
4,8:32.0,Offensive rebound by T. Young,,79,87
4,8:32.0,T. Young makes 2-pt layup from 1 ft,,81,87
4,8:20.0,,J. McGee misses 2-pt hook shot from 5 ft,81,87
4,8:18.0,Defensive rebound by C. Joseph,,81,87
4,8:14.0,D. McDermott misses 3-pt jump shot from 27 ft,,81,87
4,8:10.0,,Defensive rebound by K. Caldwell-Pope,81,87
4,7:48.0,,B. Ingram misses 2-pt jump shot from 22 ft,81,87
4,7:46.0,Defensive rebound by D. Sabonis,,81,87
4,7:30.0,A. Holiday makes 2-pt layup from 1 ft (assist by C. Joseph),,83,87
4,7:28.0,,LA Lakers full timeout,83,87
4,7:28.0,B. Bogdanović enters the game for A. Holiday,,83,87
4,7:28.0,,L. Ball enters the game for M. Beasley,83,87
4,7:28.0,,T. Chandler enters the game for K. Caldwell-Pope,83,87
4,7:28.0,,L. James enters the game for B. Ingram,83,87
4,7:28.0,,K. Kuzma enters the game for J. McGee,83,87
4,7:12.0,,L. James misses 2-pt jump shot from 12 ft (block by C. Joseph),83,87
4,7:09.0,,Offensive rebound by J. Hart,83,87
4,7:06.0,,J. Hart makes 2-pt layup from 3 ft,83,89
4,6:48.0,D. McDermott misses 2-pt layup from 4 ft (block by T. Chandler),,83,89
4,6:46.0,,Defensive rebound by L. James,83,89
4,6:44.0,,Offensive foul by L. James (drawn by T. Young),83,89
4,6:44.0,,Turnover by L. James (offensive foul),83,89
4,6:31.0,B. Bogdanović misses 3-pt jump shot from 27 ft,,83,89
4,6:29.0,,Defensive rebound by L. James,83,89
4,6:13.0,,L. James misses 3-pt jump shot from 27 ft,83,89
4,6:10.0,Defensive rebound by D. Sabonis,,83,89
