QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PORTLAND_ACTION,NEW ORLEANS_SCORE,PORTLAND_SCORE
2,4:58.0,,D. Lillard enters the game for E. Turner,44,54
2,4:47.0,D. Miller misses 3-pt jump shot from 26 ft,,44,54
2,4:42.0,,Defensive rebound by A. Aminu,44,54
2,4:35.0,,J. Layman makes 2-pt dunk at rim (assist by J. Nurkić),44,56
2,4:19.0,J. Holiday makes 2-pt jump shot from 14 ft,,46,56
2,4:02.0,,J. Layman makes 3-pt jump shot from 25 ft (assist by D. Lillard),46,59
2,3:49.0,Turnover by J. Holiday (bad pass; steal by C. McCollum),,46,59
2,3:47.0,,C. McCollum makes 2-pt dunk from 1 ft,46,61
2,3:32.0,J. Randle makes 2-pt dunk from 1 ft,,48,61
2,3:17.0,,J. Nurkić makes 2-pt jump shot from 21 ft,48,63
2,3:05.0,J. Randle makes 2-pt layup from 3 ft,,50,63
2,2:54.0,,J. Layman makes 3-pt jump shot from 25 ft (assist by D. Lillard),50,66
2,2:39.0,A. Davis makes 2-pt jump shot from 3 ft (assist by J. Holiday),,52,66
2,2:24.0,,J. Layman makes 3-pt jump shot from 28 ft,52,69
2,2:07.0,A. Davis makes 2-pt jump shot from 6 ft (assist by J. Randle),,54,69
2,1:53.0,,J. Layman misses 3-pt jump shot from 26 ft,54,69
2,1:50.0,Defensive rebound by J. Randle,,54,69
2,1:41.0,Shooting foul by A. Aminu (drawn by A. Davis),,54,69
2,1:41.0,A. Davis makes free throw 1 of 2,,55,69
2,1:41.0,E. Moore enters the game for D. Miller,,55,69
2,1:41.0,A. Davis makes free throw 2 of 2,,56,69
2,1:29.0,,D. Lillard makes 2-pt jump shot from 21 ft,56,71
2,1:22.0,Offensive foul by A. Davis (drawn by A. Aminu),,56,71
2,1:22.0,Turnover by A. Davis (offensive foul),,56,71
2,1:10.0,,Shooting foul by A. Davis (drawn by J. Nurkić),56,71
2,1:10.0,,J. Nurkić makes free throw 1 of 2,56,72
2,1:10.0,,J. Nurkić misses free throw 2 of 2,56,72
2,1:08.0,Defensive rebound by J. Randle,,56,72
2,0:59.0,A. Davis makes 2-pt hook shot from 5 ft (assist by F. Jackson),,58,72
2,0:47.0,,J. Nurkić misses 2-pt jump shot from 20 ft,58,72
2,0:44.0,Defensive rebound by J. Randle,,58,72
2,0:40.0,A. Davis misses 2-pt layup from 2 ft (block by J. Nurkić),,58,72
2,0:39.0,,Defensive rebound by A. Aminu,58,72
2,0:39.0,,Personal foul by A. Davis (drawn by A. Aminu),58,72
2,0:39.0,,A. Aminu makes free throw 1 of 2,58,73
2,0:39.0,N. Mirotić enters the game for A. Davis,,58,73
2,0:39.0,,A. Aminu makes free throw 2 of 2,58,74
2,0:26.0,J. Randle misses 2-pt hook shot from 5 ft,,58,74
2,0:24.0,,Defensive rebound by C. McCollum,58,74
2,0:09.0,,A. Aminu misses 2-pt jump shot from 10 ft,58,74
