QUARTER,TIME_REMAINING,LA LAKERS_ACTION,TORONTO_ACTION,LA LAKERS_SCORE,TORONTO_SCORE
1,2:51.0,,P. McCaw misses 2-pt layup from 2 ft,16,24
1,2:49.0,Defensive rebound by K. Caldwell-Pope,,16,24
1,2:29.0,R. Rondo makes 2-pt layup from 3 ft,,18,24
1,2:06.0,,N. Powell misses 2-pt jump shot from 20 ft,18,24
1,2:03.0,Defensive rebound by R. Rondo,,18,24
1,1:56.0,Personal foul by C. Boucher (drawn by J. Williams),,18,24
1,1:56.0,M. Muscala enters the game for J. Williams,,18,24
1,1:50.0,J. Hart makes 3-pt jump shot from 24 ft (assist by R. Rondo),,21,24
1,1:34.0,,Turnover by P. Siakam (lost ball; steal by J. Hart),21,24
1,1:30.0,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by R. Rondo),,23,24
1,1:13.0,,N. Powell makes 3-pt jump shot from 25 ft (assist by P. McCaw),23,27
1,1:04.0,Turnover by K. Caldwell-Pope (bad pass; steal by P. McCaw),,23,27
1,1:03.0,,Shooting foul by K. Caldwell-Pope (drawn by P. McCaw),23,27
1,1:03.0,,P. McCaw misses free throw 1 of 2,23,27
1,1:03.0,,Offensive rebound by Team,23,27
1,1:03.0,,P. McCaw makes free throw 2 of 2,23,28
1,0:41.0,Shooting foul by N. Powell (drawn by A. Caruso),,23,28
1,0:41.0,A. Caruso makes free throw 1 of 2,,24,28
1,0:41.0,A. Caruso makes free throw 2 of 2,,25,28
1,0:34.0,,P. Siakam misses 2-pt layup from 4 ft,25,28
1,0:30.0,,Offensive rebound by C. Boucher,25,28
1,0:30.0,,C. Boucher makes 2-pt dunk from 1 ft,25,30
1,0:21.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,25,30
1,0:19.0,,Defensive rebound by N. Powell,25,30
1,0:02.0,,N. Powell makes 3-pt jump shot from 27 ft (assist by P. McCaw),25,33
1,0:00.0,K. Caldwell-Pope misses 3-pt jump shot from 46 ft,,25,33
1,0:00.0,Offensive rebound by Team,,25,33
2,11:47.0,Turnover by L. James (bad pass; steal by C. Boucher),,25,33
2,11:35.0,,Shooting foul by A. Caruso (drawn by P. Siakam),25,33
2,11:35.0,,P. Siakam makes free throw 1 of 2,25,34
2,11:35.0,,P. Siakam makes free throw 2 of 2,25,35
2,11:22.0,L. James misses 2-pt layup from 2 ft,,25,35
2,11:19.0,,Defensive rebound by N. Powell,25,35
2,11:17.0,,P. Siakam misses 3-pt jump shot from 23 ft,25,35
2,11:13.0,Defensive rebound by K. Kuzma,,25,35
2,11:02.0,A. Caruso makes 2-pt layup from 1 ft (assist by K. Kuzma),,27,35
2,10:39.0,,P. Siakam makes 2-pt layup from 3 ft,27,37
2,10:24.0,K. Kuzma misses 2-pt hook shot from 5 ft,,27,37
2,10:22.0,,Defensive rebound by C. Boucher,27,37
2,10:12.0,,Turnover by P. Siakam (out of bounds lost ball),27,37
2,9:58.0,Personal foul by O. Anunoby (drawn by L. James),,27,37
2,9:58.0,Personal foul by O. Anunoby (drawn by L. James),,27,37
2,9:44.0,Turnover by Team (shot clock),,27,37
2,9:31.0,,C. Boucher misses 3-pt jump shot from 25 ft,27,37
2,9:29.0,Defensive rebound by L. James,,27,37
2,9:24.0,K. Kuzma misses 2-pt layup from 3 ft (block by C. Boucher),,27,37
2,9:24.0,Offensive rebound by Team,,27,37
2,9:24.0,M. Wagner enters the game for J. Hart,,27,37
2,9:22.0,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by A. Caruso),,29,37
2,9:01.0,,N. Powell misses 3-pt jump shot from 25 ft,29,37
2,8:59.0,Defensive rebound by K. Caldwell-Pope,,29,37
2,8:57.0,L. James makes 2-pt dunk from 1 ft (assist by K. Caldwell-Pope),,31,37
2,8:37.0,,O. Anunoby misses 3-pt jump shot from 26 ft,31,37
2,8:34.0,Defensive rebound by A. Caruso,,31,37
2,8:31.0,L. James makes 2-pt layup from 2 ft (assist by K. Kuzma),,33,37
2,8:14.0,,C. Boucher misses 2-pt hook shot from 3 ft,33,37
2,8:13.0,Defensive rebound by K. Caldwell-Pope,,33,37
2,8:07.0,K. Kuzma makes 2-pt layup from 1 ft (assist by L. James),,35,37
2,8:07.0,,Toronto full timeout,35,37
2,8:07.0,,M. Gasol enters the game for C. Boucher,35,37
2,8:07.0,,K. Leonard enters the game for N. Powell,35,37
2,7:52.0,,P. Siakam misses 2-pt jump shot from 13 ft,35,37
2,7:49.0,,Offensive rebound by O. Anunoby,35,37
2,7:48.0,,O. Anunoby makes 2-pt layup from 2 ft,35,39
2,7:35.0,A. Caruso makes 2-pt layup from 2 ft (assist by L. James),,37,39
2,7:13.0,,K. Leonard misses 3-pt jump shot from 25 ft,37,39
2,7:10.0,Defensive rebound by K. Caldwell-Pope,,37,39
2,7:03.0,K. Caldwell-Pope misses 3-pt jump shot from 22 ft,,37,39
2,7:01.0,,Defensive rebound by K. Leonard,37,39
2,6:55.0,,P. Siakam misses 3-pt jump shot from 24 ft,37,39
2,6:51.0,Defensive rebound by K. Kuzma,,37,39
2,6:42.0,A. Caruso makes 2-pt layup from 2 ft (assist by L. James),,39,39
2,6:29.0,,P. McCaw makes 3-pt jump shot from 23 ft (assist by K. Leonard),39,42
2,6:29.0,R. Bullock enters the game for K. Caldwell-Pope,,39,42
2,6:29.0,,D. Green enters the game for P. McCaw,39,42
2,6:29.0,,J. Lin enters the game for P. Siakam,39,42
2,6:06.0,Turnover by K. Kuzma (bad pass; steal by M. Gasol),,39,42
2,5:59.0,,J. Lin makes 2-pt jump shot from 23 ft (assist by K. Leonard),39,44
2,5:50.0,L. James makes 3-pt jump shot from 23 ft (assist by A. Caruso),,42,44
2,5:38.0,,K. Leonard makes 2-pt layup from 2 ft,42,46
2,5:27.0,L. James misses 3-pt jump shot from 24 ft,,42,46
2,5:25.0,,Defensive rebound by M. Gasol,42,46
2,5:12.0,,Shooting foul by M. Wagner (drawn by K. Leonard),42,46
2,5:12.0,,K. Leonard misses free throw 1 of 2,42,46
2,5:12.0,,Offensive rebound by Team,42,46
2,5:12.0,,M. Miller enters the game for O. Anunoby,42,46
2,5:12.0,,K. Leonard misses free throw 2 of 2,42,46
2,5:10.0,Defensive rebound by K. Kuzma,,42,46
2,5:00.0,A. Caruso makes 2-pt layup from 2 ft,,44,46
2,5:00.0,Shooting foul by J. Lin (drawn by A. Caruso),,44,46
2,5:00.0,A. Caruso makes free throw 1 of 1,,45,46
2,5:00.0,R. Rondo enters the game for L. James,,45,46
2,4:43.0,,Turnover by D. Green (bad pass; steal by M. Wagner),45,46
2,4:34.0,A. Caruso makes 3-pt jump shot from 25 ft (assist by R. Rondo),,48,46
2,4:18.0,,M. Gasol makes 2-pt hook shot from 6 ft,48,48
2,4:18.0,,Shooting foul by M. Wagner (drawn by M. Gasol),48,48
2,4:18.0,J. McGee enters the game for M. Wagner,,48,48
2,4:18.0,,M. Gasol makes free throw 1 of 1,48,49
2,3:55.0,Shooting foul by J. Lin (drawn by K. Kuzma),,48,49
2,3:55.0,K. Kuzma makes free throw 1 of 2,,49,49
2,3:55.0,K. Kuzma misses free throw 2 of 2,,49,49
2,3:55.0,,Defensive rebound by K. Leonard,49,49
2,3:41.0,,M. Gasol misses 3-pt jump shot from 25 ft,49,49
2,3:38.0,Defensive rebound by R. Rondo,,49,49
2,3:37.0,Shooting foul by M. Gasol (drawn by J. McGee),,49,49
2,3:37.0,J. McGee makes free throw 1 of 2,,50,49
2,3:37.0,,N. Powell enters the game for J. Lin,50,49
2,3:37.0,,P. Siakam enters the game for M. Miller,50,49
2,3:37.0,J. McGee misses free throw 2 of 2,,50,49
2,3:35.0,,Defensive rebound by M. Gasol,50,49
2,3:23.0,,K. Leonard makes 2-pt layup from 2 ft (assist by P. Siakam),50,51
2,3:15.0,R. Rondo misses 2-pt layup from 1 ft,,50,51
2,3:13.0,Offensive rebound by J. McGee,,50,51
2,3:10.0,J. McGee makes 2-pt dunk at rim,,52,51
2,3:05.0,,Shooting foul by A. Caruso (drawn by P. Siakam),52,51
2,3:05.0,,P. Siakam makes free throw 1 of 2,52,52
2,3:05.0,,P. Siakam makes free throw 2 of 2,52,53
2,2:55.0,Turnover by R. Rondo (bad pass; steal by D. Green),,52,53
2,2:42.0,,M. Gasol misses 3-pt jump shot from 26 ft,52,53
2,2:37.0,,Offensive rebound by D. Green,52,53
2,2:34.0,,K. Leonard makes 3-pt jump shot from 26 ft (assist by N. Powell),52,56
2,2:16.0,R. Rondo misses 2-pt layup from 1 ft,,52,56
2,2:12.0,,Defensive rebound by K. Leonard,52,56
2,2:07.0,,D. Green makes 3-pt jump shot from 23 ft (assist by K. Leonard),52,59
2,2:06.0,LA Lakers full timeout,,52,59
2,2:06.0,J. Hart enters the game for A. Caruso,,52,59
2,1:53.0,R. Bullock misses 3-pt jump shot from 24 ft,,52,59
2,1:51.0,Offensive rebound by Team,,52,59
2,1:43.0,J. Hart misses 3-pt jump shot from 24 ft,,52,59
2,1:41.0,,Defensive rebound by K. Leonard,52,59
2,1:36.0,,K. Leonard misses 2-pt jump shot from 5 ft,52,59
2,1:34.0,,Offensive rebound by D. Green,52,59
2,1:31.0,,D. Green misses 3-pt jump shot from 26 ft,52,59
2,1:29.0,Defensive rebound by J. McGee,,52,59
2,1:24.0,J. Hart misses 3-pt jump shot from 23 ft,,52,59
2,1:21.0,,Defensive rebound by Team,52,59
2,1:21.0,M. Wagner enters the game for J. McGee,,52,59
2,1:05.0,,Turnover by P. Siakam (lost ball; steal by R. Rondo),52,59
2,0:57.0,Turnover by M. Wagner (bad pass; steal by P. Siakam),,52,59
2,0:55.0,,Personal foul by R. Rondo (drawn by P. Siakam),52,59
2,0:55.0,,P. Siakam makes free throw 1 of 2,52,60
2,0:55.0,,P. McCaw enters the game for D. Green,52,60
2,0:55.0,,P. Siakam misses free throw 2 of 2,52,60
2,0:53.0,Defensive rebound by M. Wagner,,52,60
2,0:48.0,R. Rondo makes 2-pt layup from 2 ft,,54,60
2,0:33.0,,P. Siakam misses 2-pt layup from 8 ft,54,60
2,0:31.0,,Offensive rebound by M. Gasol,54,60
2,0:29.0,,M. Gasol misses 2-pt layup from 1 ft,54,60
2,0:28.0,,Offensive rebound by P. Siakam,54,60
2,0:26.0,,P. Siakam misses 2-pt hook shot from 4 ft,54,60
2,0:26.0,,Offensive rebound by Team,54,60
2,0:26.0,Loose ball foul by K. Kuzma (drawn by M. Gasol),,54,60
2,0:26.0,,M. Gasol makes free throw 1 of 2,54,61
2,0:26.0,K. Caldwell-Pope enters the game for K. Kuzma,,54,61
2,0:26.0,,M. Gasol makes free throw 2 of 2,54,62
2,0:02.0,Turnover by R. Rondo (bad pass; steal by K. Leonard),,54,62
2,0:00.0,,K. Leonard makes 3-pt jump shot from 25 ft,54,65
3,11:49.0,R. Bullock makes 3-pt jump shot from 26 ft (assist by L. James),,57,65
3,11:49.0,Shooting foul by D. Green (drawn by R. Bullock),,57,65
3,11:49.0,R. Bullock makes free throw 1 of 1,,58,65
3,11:28.0,,K. Leonard misses 2-pt hook shot from 3 ft,58,65
3,11:26.0,Defensive rebound by J. McGee,,58,65
3,11:19.0,L. James misses 2-pt jump shot from 11 ft,,58,65
3,11:17.0,,Defensive rebound by M. Gasol,58,65
3,11:13.0,,J. Lin makes 2-pt layup from 2 ft,58,67
3,10:56.0,L. James makes 2-pt jump shot from 12 ft,,60,67
3,10:38.0,,P. Siakam misses 2-pt hook shot from 9 ft,60,67
3,10:36.0,Defensive rebound by J. McGee,,60,67
3,10:24.0,J. McGee makes 2-pt jump shot from 6 ft (assist by L. James),,62,67
3,10:07.0,,K. Leonard makes 2-pt jump shot from 21 ft,62,69
3,9:56.0,R. Rondo misses 2-pt jump shot from 21 ft,,62,69
3,9:54.0,,Defensive rebound by J. Lin,62,69
3,9:46.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by D. Green),62,72
3,9:22.0,L. James misses 2-pt jump shot from 7 ft,,62,72
3,9:20.0,,Defensive rebound by D. Green,62,72
3,9:06.0,,P. Siakam makes 2-pt jump shot from 7 ft,62,74
3,8:47.0,K. Kuzma misses 3-pt jump shot from 25 ft,,62,74
3,8:44.0,,Defensive rebound by M. Gasol,62,74
3,8:40.0,,J. Lin misses 3-pt jump shot from 25 ft,62,74
3,8:37.0,Defensive rebound by K. Kuzma,,62,74
3,8:26.0,L. James makes 2-pt jump shot from 10 ft,,64,74
3,8:02.0,,P. Siakam misses 2-pt layup from 3 ft,64,74
3,8:00.0,Defensive rebound by J. McGee,,64,74
3,7:57.0,L. James misses 3-pt jump shot from 26 ft,,64,74
3,7:54.0,,Defensive rebound by M. Gasol,64,74
3,7:46.0,,K. Leonard misses 2-pt jump shot from 13 ft,64,74
3,7:44.0,Defensive rebound by J. McGee,,64,74
3,7:41.0,L. James makes 2-pt layup from 2 ft (assist by R. Rondo),,66,74
3,7:41.0,Shooting foul by M. Gasol (drawn by L. James),,66,74
3,7:41.0,L. James makes free throw 1 of 1,,67,74
3,7:31.0,,J. Lin misses 3-pt jump shot from 24 ft,67,74
3,7:29.0,Defensive rebound by R. Bullock,,67,74
3,7:12.0,L. James misses 3-pt jump shot from 23 ft,,67,74
3,7:09.0,Offensive rebound by J. McGee,,67,74
3,7:06.0,Turnover by J. McGee (lost ball; steal by D. Green),,67,74
3,7:01.0,,D. Green misses 3-pt jump shot from 24 ft,67,74
3,6:58.0,Defensive rebound by J. McGee,,67,74
3,6:47.0,J. McGee makes 2-pt dunk from 2 ft (assist by K. Kuzma),,69,74
3,6:30.0,,J. Lin makes 3-pt jump shot from 24 ft (assist by M. Gasol),69,77
3,6:13.0,R. Rondo makes 2-pt layup from 3 ft,,71,77
3,5:57.0,,P. Siakam misses 2-pt layup from 2 ft,71,77
3,5:53.0,,Offensive rebound by P. Siakam,71,77
3,5:53.0,,P. Siakam makes 2-pt layup from 2 ft,71,79
3,5:53.0,Violation by Team (def goaltending),,71,79
3,5:53.0,LA Lakers full timeout,,71,79
3,5:53.0,A. Caruso enters the game for R. Rondo,,71,79
3,5:44.0,Shooting foul by M. Gasol (drawn by K. Kuzma),,71,79
3,5:44.0,K. Kuzma misses free throw 1 of 2,,71,79
3,5:44.0,Offensive rebound by Team,,71,79
3,5:44.0,K. Kuzma misses free throw 2 of 2,,71,79
3,5:41.0,,Defensive rebound by P. Siakam,71,79
3,5:28.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by M. Gasol),71,82
3,5:08.0,K. Kuzma misses 2-pt layup from 4 ft (block by P. Siakam),,71,82
3,5:05.0,,Defensive rebound by D. Green,71,82
3,5:05.0,,Personal take foul by L. James (drawn by K. Leonard),71,82
3,4:56.0,,Turnover by D. Green (bad pass; steal by R. Bullock),71,82
3,4:52.0,L. James makes 2-pt dunk from 1 ft (assist by A. Caruso),,73,82
3,4:40.0,,Personal foul by L. James (drawn by K. Leonard),73,82
3,4:31.0,,Turnover by K. Leonard (bad pass; steal by R. Bullock),73,82
3,4:22.0,Personal foul by K. Leonard (drawn by L. James),,73,82
3,4:11.0,K. Kuzma makes 2-pt hook shot from 9 ft,,75,82
3,4:09.0,,Personal foul by J. McGee (drawn by J. Lin),75,82
3,4:09.0,R. Rondo enters the game for L. James,,75,82
3,4:09.0,M. Wagner enters the game for J. McGee,,75,82
3,3:57.0,,Turnover by D. Green (traveling),75,82
3,3:46.0,K. Kuzma misses 3-pt jump shot from 25 ft,,75,82
3,3:43.0,,Defensive rebound by P. Siakam,75,82
3,3:27.0,,Shooting foul by K. Kuzma (drawn by K. Leonard),75,82
3,3:27.0,,K. Leonard makes free throw 1 of 2,75,83
3,3:27.0,J. Hart enters the game for K. Kuzma,,75,83
3,3:27.0,,O. Anunoby enters the game for D. Green,75,83
3,3:27.0,,N. Powell enters the game for P. Siakam,75,83
3,3:27.0,,K. Leonard makes free throw 2 of 2,75,84
3,3:20.0,R. Rondo makes 2-pt hook shot from 2 ft,,77,84
3,3:06.0,,N. Powell makes 2-pt layup from 2 ft (assist by M. Gasol),77,86
3,2:55.0,R. Bullock misses 3-pt jump shot from 23 ft,,77,86
3,2:53.0,,Defensive rebound by K. Leonard,77,86
3,2:42.0,,O. Anunoby makes 2-pt layup from 2 ft (assist by J. Lin),77,88
3,2:41.0,LA Lakers full timeout,,77,88
3,2:41.0,K. Caldwell-Pope enters the game for R. Bullock,,77,88
3,2:41.0,,P. McCaw enters the game for M. Gasol,77,88
3,2:41.0,,M. Miller enters the game for K. Leonard,77,88
3,2:41.0,,P. Siakam enters the game for J. Lin,77,88
3,2:21.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,77,88
3,2:18.0,,Defensive rebound by O. Anunoby,77,88
3,2:09.0,,Shooting foul by A. Caruso (drawn by P. McCaw),77,88
3,2:09.0,,P. McCaw makes free throw 1 of 2,77,89
3,2:09.0,J. Williams enters the game for M. Wagner,,77,89
3,2:09.0,,P. McCaw makes free throw 2 of 2,77,90
3,1:52.0,Shooting foul by P. McCaw (drawn by A. Caruso),,77,90
3,1:52.0,A. Caruso makes free throw 1 of 2,,78,90
3,1:52.0,A. Caruso makes free throw 2 of 2,,79,90
3,1:33.0,,O. Anunoby misses 3-pt jump shot from 25 ft,79,90
3,1:29.0,Defensive rebound by K. Caldwell-Pope,,79,90
3,1:22.0,Turnover by J. Williams (traveling),,79,90
3,1:10.0,,P. Siakam misses 2-pt hook shot from 3 ft,79,90
3,1:06.0,Defensive rebound by J. Williams,,79,90
3,1:01.0,Turnover by J. Williams (lost ball; steal by O. Anunoby),,79,90
3,0:54.0,,N. Powell misses 3-pt jump shot from 23 ft,79,90
3,0:52.0,Defensive rebound by J. Williams,,79,90
3,0:44.0,Personal foul by M. Miller (drawn by R. Rondo),,79,90
3,0:44.0,R. Rondo makes free throw 1 of 2,,80,90
3,0:44.0,R. Rondo makes free throw 2 of 2,,81,90
3,0:30.0,,N. Powell misses 2-pt jump shot from 4 ft,81,90
3,0:28.0,Defensive rebound by R. Rondo,,81,90
3,0:05.0,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by R. Rondo),,84,90
3,0:00.0,,P. Siakam misses 3-pt jump shot from 27 ft,84,90
3,0:00.0,,Offensive rebound by Team,84,90
4,11:42.0,,M. Miller makes 3-pt jump shot from 23 ft (assist by N. Powell),84,93
4,11:25.0,Personal foul by P. McCaw (drawn by J. Hart),,84,93
4,11:19.0,A. Caruso misses 2-pt jump shot from 14 ft,,84,93
4,11:16.0,Offensive rebound by A. Caruso,,84,93
4,11:14.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,84,93
4,11:14.0,Offensive rebound by Team,,84,93
4,11:14.0,,Loose ball foul by N. Powell (drawn by J. Williams),84,93
4,11:02.0,Turnover by L. James (lost ball; steal by O. Anunoby),,84,93
4,10:57.0,,P. McCaw misses 2-pt layup from 2 ft,84,93
4,10:50.0,,Offensive rebound by N. Powell,84,93
4,10:50.0,,N. Powell makes 2-pt layup at rim,84,95
4,10:40.0,Turnover by K. Caldwell-Pope (lost ball; steal by M. Miller),,84,95
4,10:25.0,,N. Powell misses 2-pt hook shot from 5 ft,84,95
4,10:23.0,Defensive rebound by J. Williams,,84,95
4,10:15.0,Shooting foul by M. Miller (drawn by L. James),,84,95
4,10:15.0,L. James misses free throw 1 of 2,,84,95
4,10:15.0,Offensive rebound by Team,,84,95
4,10:15.0,L. James misses free throw 2 of 2,,84,95
4,10:13.0,,Defensive rebound by O. Anunoby,84,95
4,9:49.0,,N. Powell misses 2-pt jump shot from 20 ft,84,95
4,9:47.0,,Offensive rebound by P. Siakam,84,95
4,9:42.0,,M. Miller misses 3-pt jump shot from 25 ft,84,95
4,9:39.0,Defensive rebound by Team,,84,95
4,9:39.0,A. Ingram enters the game for J. Williams,,84,95
4,9:18.0,L. James misses 2-pt jump shot from 13 ft,,84,95
4,9:14.0,,Defensive rebound by N. Powell,84,95
4,9:07.0,,Turnover by O. Anunoby (lost ball; steal by A. Ingram),84,95
4,9:01.0,L. James makes 2-pt dunk from 1 ft (assist by K. Caldwell-Pope),,86,95
4,8:40.0,,O. Anunoby makes 3-pt jump shot from 24 ft (assist by P. Siakam),86,98
4,8:26.0,A. Caruso misses 2-pt layup from 3 ft (block by P. Siakam),,86,98
4,8:24.0,,Defensive rebound by N. Powell,86,98
4,8:20.0,,M. Miller misses 3-pt jump shot from 25 ft,86,98
4,8:17.0,,Offensive rebound by O. Anunoby,86,98
4,8:17.0,,O. Anunoby misses 2-pt layup from 4 ft,86,98
4,8:14.0,Defensive rebound by A. Caruso,,86,98
4,8:12.0,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by A. Caruso),,88,98
4,7:59.0,,N. Powell misses 3-pt jump shot from 24 ft,88,98
4,7:59.0,Defensive rebound by J. Hart,,88,98
4,7:44.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,88,98
4,7:42.0,,Defensive rebound by N. Powell,88,98
4,7:35.0,,M. Miller makes 3-pt jump shot from 23 ft (assist by P. Siakam),88,101
