QUARTER,TIME_REMAINING,ATLANTA_ACTION,PORTLAND_ACTION,ATLANTA_SCORE,PORTLAND_SCORE
1,4:42.0,A. Len makes 2-pt dunk from 1 ft (assist by J. Lin),,15,24
1,4:24.0,,J. Layman makes 2-pt layup from 1 ft (assist by C. McCollum),15,26
1,4:03.0,T. Prince makes 2-pt jump shot from 10 ft (assist by A. Len),,17,26
1,3:49.0,,C. McCollum misses 3-pt jump shot from 25 ft,17,26
1,3:47.0,,Offensive rebound by J. Layman,17,26
1,3:45.0,,J. Layman misses 2-pt layup from 2 ft,17,26
1,3:45.0,,Offensive rebound by Team,17,26
1,3:38.0,,C. McCollum makes 2-pt jump shot from 10 ft,17,28
1,3:38.0,,Shooting foul by T. Dorsey (drawn by C. McCollum),17,28
1,3:38.0,,M. Leonard enters the game for S. Curry,17,28
1,3:38.0,,E. Turner enters the game for J. Nurkić,17,28
1,3:38.0,,C. McCollum misses free throw 1 of 1,17,28
1,3:35.0,Defensive rebound by J. Lin,,17,28
1,3:27.0,A. Len makes 2-pt jump shot from 1 ft (assist by J. Lin),,19,28
1,3:15.0,,Z. Collins makes 2-pt dunk from 1 ft (assist by C. McCollum),19,30
1,3:09.0,Atlanta full timeout,,19,30
1,3:00.0,J. Lin misses 2-pt jump shot from 7 ft,,19,30
1,2:56.0,,Defensive rebound by C. McCollum,19,30
1,2:51.0,,M. Leonard makes 2-pt dunk from 1 ft (assist by C. McCollum),19,32
1,2:33.0,T. Prince makes 2-pt jump shot from 21 ft,,21,32
1,2:20.0,,Personal foul by T. Dorsey (drawn by J. Layman),21,32
1,2:20.0,,J. Layman makes free throw 1 of 2,21,33
1,2:20.0,,J. Layman makes free throw 2 of 2,21,34
1,2:11.0,J. Lin misses 2-pt jump shot from 14 ft,,21,34
1,2:08.0,,Defensive rebound by C. McCollum,21,34
1,2:00.0,,J. Layman misses 2-pt hook shot from 1 ft,21,34
1,1:59.0,Defensive rebound by A. Len,,21,34
1,1:55.0,T. Prince makes 2-pt jump shot from 11 ft (assist by J. Lin),,23,34
1,1:38.0,,Turnover by Z. Collins (traveling),23,34
1,1:38.0,V. Carter enters the game for O. Spellman,,23,34
1,1:20.0,Shooting foul by Z. Collins (drawn by J. Lin),,23,34
1,1:20.0,J. Lin makes free throw 1 of 2,,24,34
1,1:20.0,J. Lin makes free throw 2 of 2,,25,34
1,1:11.0,,C. McCollum misses 3-pt jump shot from 25 ft,25,34
1,1:08.0,Defensive rebound by A. Len,,25,34
1,0:59.0,J. Lin misses 2-pt layup from 3 ft,,25,34
1,0:58.0,,Defensive rebound by C. McCollum,25,34
1,0:47.0,,Z. Collins makes 3-pt jump shot from 25 ft (assist by E. Turner),25,37
1,0:38.0,T. Dorsey makes 3-pt jump shot from 25 ft (assist by A. Len),,28,37
1,0:34.0,,Offensive foul by Z. Collins (drawn by J. Lin),28,37
1,0:34.0,,Turnover by Z. Collins (offensive foul),28,37
1,0:34.0,T. Young enters the game for A. Len,,28,37
1,0:34.0,,N. Stauskas enters the game for M. Leonard,28,37
1,0:26.0,V. Carter misses 3-pt jump shot from 23 ft,,28,37
1,0:24.0,,Defensive rebound by C. McCollum,28,37
1,0:05.0,,C. McCollum makes 2-pt layup from 2 ft,28,39
1,0:05.0,,Shooting foul by T. Prince (drawn by C. McCollum),28,39
1,0:05.0,,C. McCollum makes free throw 1 of 1,28,40
1,0:00.0,T. Young makes 2-pt layup from 2 ft (assist by J. Lin),,30,40
2,11:50.0,V. Carter makes 3-pt jump shot from 25 ft (assist by K. Huerter),,33,40
2,11:27.0,,Turnover by E. Turner (bad pass; steal by T. Prince),33,40
2,11:21.0,T. Prince misses 3-pt jump shot from 26 ft,,33,40
2,11:21.0,Offensive rebound by Team,,33,40
2,11:21.0,,Loose ball foul by Z. Collins (drawn by J. Collins),33,40
2,11:12.0,J. Collins makes 3-pt jump shot from 23 ft (assist by T. Young),,36,40
2,11:11.0,,Portland full timeout,36,40
2,10:47.0,,Z. Collins misses 2-pt layup from 2 ft (block by V. Carter),36,40
2,10:46.0,,Offensive rebound by S. Curry,36,40
2,10:43.0,,S. Curry makes 2-pt jump shot from 15 ft,36,42
2,10:31.0,J. Collins makes 2-pt layup from 2 ft (assist by T. Prince),,38,42
2,10:31.0,Shooting foul by J. Layman (drawn by J. Collins),,38,42
2,10:31.0,J. Collins makes free throw 1 of 1,,39,42
2,10:20.0,,S. Curry makes 2-pt jump shot from 19 ft (assist by Z. Collins),39,44
2,10:05.0,T. Young makes 2-pt jump shot from 12 ft (assist by J. Collins),,41,44
2,9:43.0,,Turnover by N. Stauskas (bad pass; steal by K. Huerter),41,44
2,9:28.0,T. Young makes 2-pt jump shot from 4 ft,,43,44
2,9:14.0,,S. Curry makes 2-pt jump shot from 15 ft,43,46
2,8:57.0,K. Huerter misses 3-pt jump shot from 27 ft,,43,46
2,8:55.0,,Defensive rebound by J. Layman,43,46
2,8:49.0,,S. Curry misses 3-pt jump shot from 25 ft,43,46
2,8:47.0,,Offensive rebound by Z. Collins,43,46
2,8:44.0,,Z. Collins misses 2-pt layup from 1 ft,43,46
2,8:41.0,,Offensive rebound by Z. Collins,43,46
2,8:40.0,,N. Stauskas misses 2-pt layup from 1 ft,43,46
2,8:38.0,Defensive rebound by J. Collins,,43,46
2,8:32.0,T. Young makes 2-pt layup from 2 ft,,45,46
2,8:11.0,,S. Curry misses 2-pt jump shot from 14 ft,45,46
2,8:08.0,Defensive rebound by J. Collins,,45,46
2,7:55.0,Personal foul by S. Curry (drawn by K. Huerter),,45,46
2,7:55.0,D. Bembry enters the game for V. Carter,,45,46
2,7:55.0,D. Dedmon enters the game for T. Prince,,45,46
2,7:55.0,,A. Aminu enters the game for Z. Collins,45,46
2,7:55.0,,J. Nurkić enters the game for N. Stauskas,45,46
2,7:48.0,Personal foul by A. Aminu (drawn by T. Young),,45,46
2,7:39.0,D. Dedmon makes 2-pt dunk from 1 ft (assist by T. Young),,47,46
2,7:19.0,,Personal foul by K. Huerter (drawn by J. Layman),47,46
2,7:08.0,,J. Nurkić misses 2-pt layup from 2 ft (block by D. Dedmon),47,46
2,7:02.0,,Offensive rebound by S. Curry,47,46
2,7:02.0,,J. Nurkić makes 2-pt hook shot from 1 ft,47,48
2,6:54.0,Shooting foul by J. Nurkić (drawn by K. Huerter),,47,48
2,6:54.0,K. Huerter makes free throw 1 of 2,,48,48
2,6:54.0,J. Lin enters the game for J. Collins,,48,48
2,6:54.0,O. Spellman enters the game for T. Young,,48,48
2,6:54.0,K. Huerter misses free throw 2 of 2,,48,48
2,6:52.0,,Defensive rebound by J. Layman,48,48
2,6:40.0,,Turnover by J. Nurkić (lost ball; steal by D. Dedmon),48,48
2,6:34.0,J. Lin makes 2-pt layup from 5 ft,,50,48
2,6:12.0,,Turnover by J. Layman (bad pass),50,48
2,6:12.0,,M. Harkless enters the game for S. Curry,50,48
2,6:12.0,,C. McCollum enters the game for J. Layman,50,48
2,5:58.0,K. Huerter misses 3-pt jump shot from 26 ft,,50,48
2,5:55.0,,Defensive rebound by M. Harkless,50,48
2,5:41.0,,M. Harkless misses 3-pt jump shot from 25 ft,50,48
2,5:36.0,Defensive rebound by J. Lin,,50,48
2,5:29.0,K. Huerter misses 2-pt hook shot from 4 ft,,50,48
2,5:27.0,Offensive rebound by O. Spellman,,50,48
2,5:26.0,O. Spellman makes 2-pt dunk from 2 ft,,52,48
2,5:15.0,,Personal foul by J. Lin (drawn by E. Turner),52,48
2,5:15.0,T. Prince enters the game for K. Huerter,,52,48
2,5:15.0,,Personal foul by T. Prince (drawn by J. Nurkić),52,48
2,5:10.0,,Personal foul by D. Bembry (drawn by C. McCollum),52,48
2,5:03.0,,A. Aminu makes 3-pt jump shot from 25 ft (assist by C. McCollum),52,51
2,4:50.0,D. Dedmon makes 2-pt jump shot from 21 ft (assist by J. Lin),,54,51
2,4:32.0,,Turnover by M. Harkless (lost ball; steal by T. Prince),54,51
2,4:23.0,J. Lin makes 2-pt layup at rim,,56,51
2,4:04.0,,C. McCollum misses 2-pt jump shot from 7 ft,56,51
2,4:03.0,Defensive rebound by T. Prince,,56,51
2,3:56.0,D. Dedmon misses 3-pt jump shot from 25 ft,,56,51
2,3:53.0,,Defensive rebound by A. Aminu,56,51
2,3:48.0,,J. Nurkić misses 2-pt layup from 1 ft (block by D. Dedmon),56,51
2,3:47.0,Defensive rebound by D. Bembry,,56,51
2,3:43.0,J. Lin misses 3-pt jump shot from 25 ft,,56,51
2,3:41.0,,Defensive rebound by A. Aminu,56,51
2,3:33.0,,Shooting foul by D. Dedmon (drawn by J. Nurkić),56,51
2,3:33.0,,J. Nurkić makes free throw 1 of 2,56,52
2,3:33.0,A. Len enters the game for D. Dedmon,,56,52
2,3:33.0,,S. Curry enters the game for E. Turner,56,52
2,3:33.0,,J. Nurkić makes free throw 2 of 2,56,53
2,3:23.0,T. Prince makes 3-pt jump shot from 25 ft,,59,53
2,3:03.0,,Turnover by J. Nurkić (bad pass),59,53
2,2:51.0,Turnover by O. Spellman (lost ball; steal by A. Aminu),,59,53
2,2:44.0,,A. Aminu makes 3-pt jump shot from 23 ft (assist by S. Curry),59,56
2,2:29.0,J. Lin misses 2-pt layup from 2 ft (block by J. Nurkić),,59,56
2,2:28.0,,Defensive rebound by A. Aminu,59,56
2,2:28.0,,Personal take foul by D. Bembry (drawn by A. Aminu),59,56
2,2:28.0,Atlanta full timeout,,59,56
2,2:28.0,J. Collins enters the game for J. Lin,,59,56
2,2:28.0,T. Young enters the game for O. Spellman,,59,56
2,2:28.0,,A. Aminu makes free throw 1 of 2,59,57
2,2:28.0,,A. Aminu makes free throw 2 of 2,59,58
2,2:11.0,T. Prince misses 2-pt jump shot from 19 ft,,59,58
2,2:09.0,,Defensive rebound by C. McCollum,59,58
2,1:57.0,,C. McCollum misses 2-pt layup from 2 ft,59,58
2,1:55.0,,Offensive rebound by J. Nurkić,59,58
2,1:53.0,,C. McCollum makes 2-pt jump shot from 15 ft (assist by J. Nurkić),59,60
2,1:42.0,Shooting foul by J. Nurkić (drawn by A. Len),,59,60
2,1:42.0,A. Len makes free throw 1 of 2,,60,60
2,1:42.0,A. Len makes free throw 2 of 2,,61,60
2,1:25.0,,Turnover by C. McCollum (bad pass; steal by T. Young),61,60
2,1:25.0,Personal foul by S. Curry (drawn by T. Young),,61,60
2,1:25.0,T. Young misses free throw 1 of 2,,61,60
2,1:25.0,Offensive rebound by Team,,61,60
2,1:25.0,,J. Layman enters the game for S. Curry,61,60
2,1:25.0,T. Young makes free throw 2 of 2,,62,60
2,1:15.0,,C. McCollum misses 3-pt jump shot from 26 ft,62,60
2,1:14.0,Defensive rebound by J. Collins,,62,60
2,1:08.0,Personal foul by C. McCollum (drawn by T. Young),,62,60
2,1:08.0,T. Young makes free throw 1 of 2,,63,60
2,1:08.0,V. Carter enters the game for J. Collins,,63,60
2,1:08.0,T. Young makes free throw 2 of 2,,64,60
2,0:58.0,,Shooting foul by T. Prince (drawn by J. Nurkić),64,60
2,0:58.0,,J. Nurkić makes free throw 1 of 2,64,61
2,0:58.0,,J. Nurkić misses free throw 2 of 2,64,61
2,0:56.0,Defensive rebound by V. Carter,,64,61
2,0:48.0,Turnover by T. Young (lost ball; steal by A. Aminu),,64,61
2,0:47.0,Clear path foul by A. Aminu,,64,61
2,0:47.0,,A. Aminu makes clear path free throw 1 of 2,64,62
2,0:47.0,,A. Aminu makes clear path free throw 2 of 2,64,63
2,0:47.0,K. Huerter enters the game for D. Bembry,,64,63
2,0:47.0,J. Lin enters the game for T. Prince,,64,63
2,0:34.0,,C. McCollum misses 2-pt jump shot from 4 ft,64,63
2,0:32.0,,Offensive rebound by J. Layman,64,63
2,0:31.0,,J. Layman misses 2-pt hook shot from 3 ft (block by A. Len),64,63
2,0:28.0,Defensive rebound by V. Carter,,64,63
2,0:06.0,A. Len misses 2-pt hook shot from 3 ft,,64,63
2,0:05.0,,Defensive rebound by C. McCollum,64,63
3,11:48.0,D. Bembry makes 2-pt layup at rim (assist by T. Young),,66,63
3,11:31.0,,J. Nurkić makes 2-pt hook shot from 4 ft,66,65
3,11:13.0,D. Bembry misses 2-pt layup from 1 ft,,66,65
3,11:11.0,,Defensive rebound by A. Aminu,66,65
3,11:09.0,,Offensive foul by M. Harkless (drawn by T. Young),66,65
3,11:09.0,,Turnover by M. Harkless (offensive foul),66,65
3,10:56.0,Turnover by D. Bembry (bad pass; steal by J. Nurkić),,66,65
3,10:53.0,,A. Aminu makes 2-pt layup at rim (assist by S. Curry),66,67
3,10:53.0,,Shooting foul by K. Huerter (drawn by A. Aminu),66,67
3,10:53.0,,A. Aminu makes free throw 1 of 1,66,68
3,10:38.0,T. Young makes 2-pt jump shot from 6 ft,,68,68
3,10:19.0,,C. McCollum misses 2-pt jump shot from 22 ft,68,68
3,10:18.0,Defensive rebound by Team,,68,68
3,10:04.0,Turnover by T. Young (bad pass; steal by M. Harkless),,68,68
3,9:59.0,,M. Harkless makes 2-pt layup from 1 ft,68,70
3,9:58.0,Atlanta full timeout,,68,70
3,9:38.0,D. Bembry misses 2-pt layup from 2 ft,,68,70
3,9:36.0,,Defensive rebound by A. Aminu,68,70
3,9:24.0,,Personal foul by T. Young (drawn by A. Aminu),68,70
3,9:19.0,,Shooting foul by D. Bembry (drawn by J. Nurkić),68,70
3,9:19.0,,J. Nurkić makes free throw 1 of 2,68,71
3,9:19.0,,J. Nurkić makes free throw 2 of 2,68,72
3,9:08.0,Personal foul by S. Curry (drawn by T. Young),,68,72
3,8:57.0,K. Huerter makes 2-pt jump shot from 8 ft (assist by D. Bembry),,70,72
3,8:38.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by A. Aminu),70,75
3,8:29.0,Personal foul by A. Aminu (drawn by T. Young),,70,75
3,8:29.0,,J. Layman enters the game for S. Curry,70,75
3,8:23.0,D. Bembry misses 3-pt jump shot from 25 ft,,70,75
3,8:19.0,,Defensive rebound by J. Nurkić,70,75
3,8:10.0,,M. Harkless misses 3-pt jump shot from 24 ft,70,75
3,8:06.0,Defensive rebound by D. Dedmon,,70,75
3,8:02.0,Shooting foul by M. Harkless (drawn by J. Collins),,70,75
3,8:02.0,J. Collins misses free throw 1 of 2,,70,75
3,8:02.0,Offensive rebound by Team,,70,75
3,8:02.0,T. Prince enters the game for K. Huerter,,70,75
3,8:02.0,J. Collins makes free throw 2 of 2,,71,75
3,7:49.0,,J. Layman misses 3-pt jump shot from 26 ft,71,75
3,7:47.0,Defensive rebound by D. Bembry,,71,75
3,7:39.0,T. Prince misses 3-pt jump shot from 24 ft,,71,75
3,7:38.0,,Defensive rebound by A. Aminu,71,75
3,7:31.0,,M. Harkless makes 2-pt layup from 1 ft (assist by C. McCollum),71,77
3,7:09.0,J. Collins makes 2-pt hook shot from 1 ft (assist by T. Prince),,73,77
3,7:00.0,,Turnover by C. McCollum (bad pass; steal by D. Dedmon),73,77
3,6:52.0,D. Dedmon misses 3-pt jump shot from 22 ft,,73,77
3,6:46.0,,Defensive rebound by M. Harkless,73,77
3,6:43.0,,C. McCollum misses 3-pt jump shot from 25 ft (block by D. Dedmon),73,77
3,6:41.0,Defensive rebound by T. Prince,,73,77
3,6:34.0,T. Young makes 2-pt layup from 2 ft,,75,77
3,6:18.0,,M. Harkless makes 2-pt layup from 1 ft (assist by C. McCollum),75,79
3,5:58.0,T. Prince misses 2-pt jump shot from 12 ft,,75,79
3,5:57.0,,Defensive rebound by J. Nurkić,75,79
3,5:45.0,,C. McCollum makes 2-pt jump shot from 12 ft,75,81
3,5:44.0,Atlanta full timeout,,75,81
3,5:44.0,T. Dorsey enters the game for D. Bembry,,75,81
3,5:44.0,A. Len enters the game for J. Collins,,75,81
3,5:44.0,J. Lin enters the game for D. Dedmon,,75,81
3,5:44.0,O. Spellman enters the game for T. Young,,75,81
3,5:20.0,T. Dorsey misses 2-pt layup from 1 ft,,75,81
3,5:20.0,Offensive rebound by Team,,75,81
3,5:20.0,Turnover by Team (shot clock),,75,81
3,5:03.0,,J. Nurkić misses 2-pt hook shot from 3 ft (block by A. Len),75,81
3,5:03.0,,Offensive rebound by Team,75,81
3,4:59.0,,M. Harkless makes 2-pt hook shot from 5 ft (assist by J. Layman),75,83
3,4:39.0,T. Prince misses 2-pt jump shot from 16 ft,,75,83
3,4:37.0,,Defensive rebound by J. Layman,75,83
3,4:21.0,,J. Nurkić makes 2-pt hook shot from 4 ft,75,85
3,4:07.0,J. Lin makes 2-pt jump shot from 7 ft,,77,85
3,3:48.0,,J. Layman misses 2-pt hook shot from 3 ft,77,85
3,3:46.0,Defensive rebound by A. Len,,77,85
3,3:35.0,A. Len makes 3-pt jump shot from 23 ft (assist by J. Lin),,80,85
3,3:19.0,,C. McCollum makes 2-pt layup from 2 ft (assist by J. Nurkić),80,87
3,3:19.0,,Shooting foul by J. Lin (drawn by C. McCollum),80,87
3,3:19.0,,W. Baldwin enters the game for A. Aminu,80,87
3,3:19.0,,Z. Collins enters the game for M. Harkless,80,87
3,3:19.0,,C. McCollum makes free throw 1 of 1,80,88
3,3:00.0,O. Spellman makes 3-pt jump shot from 27 ft (assist by T. Dorsey),,83,88
3,2:46.0,,C. McCollum misses 2-pt jump shot from 8 ft,83,88
3,2:44.0,Defensive rebound by T. Prince,,83,88
3,2:39.0,T. Prince makes 2-pt jump shot from 8 ft,,85,88
3,2:18.0,,Z. Collins misses 2-pt jump shot from 15 ft,85,88
3,2:16.0,Defensive rebound by A. Len,,85,88
3,2:03.0,A. Len misses 2-pt layup from 2 ft (block by J. Nurkić),,85,88
3,2:01.0,Offensive rebound by A. Len,,85,88
3,2:00.0,A. Len misses 2-pt hook shot from 6 ft,,85,88
3,1:58.0,,Defensive rebound by Z. Collins,85,88
3,1:49.0,,J. Layman misses 3-pt jump shot from 24 ft,85,88
3,1:46.0,Defensive rebound by O. Spellman,,85,88
3,1:36.0,Offensive foul by A. Len (drawn by Z. Collins),,85,88
3,1:36.0,Turnover by A. Len (offensive foul),,85,88
3,1:36.0,,Portland full timeout,85,88
3,1:36.0,J. Collins enters the game for T. Dorsey,,85,88
3,1:36.0,T. Young enters the game for A. Len,,85,88
3,1:36.0,,M. Leonard enters the game for J. Nurkić,85,88
3,1:16.0,,C. McCollum makes 2-pt jump shot from 20 ft,85,90
3,0:57.0,J. Lin makes 2-pt jump shot from 8 ft,,87,90
3,0:39.0,,M. Leonard makes 3-pt jump shot from 25 ft (assist by C. McCollum),87,93
3,0:30.0,T. Young makes 3-pt jump shot from 26 ft,,90,93
3,0:06.0,,C. McCollum misses 3-pt jump shot from 25 ft,90,93
3,0:04.0,Defensive rebound by O. Spellman,,90,93
3,0:01.0,T. Prince misses 3-pt jump shot from 32 ft,,90,93
3,0:01.0,Offensive rebound by J. Collins,,90,93
3,0:01.0,J. Collins misses 2-pt layup from 4 ft,,90,93
3,0:01.0,Offensive rebound by Team,,90,93
4,11:48.0,,Shooting foul by V. Carter (drawn by M. Leonard),90,93
4,11:48.0,,M. Leonard makes free throw 1 of 2,90,94
4,11:48.0,,M. Leonard makes free throw 2 of 2,90,95
4,11:41.0,Personal foul by W. Baldwin (drawn by T. Young),,90,95
4,11:34.0,T. Young makes 2-pt jump shot from 8 ft,,92,95
4,11:10.0,,Z. Collins makes 2-pt layup from 2 ft (assist by W. Baldwin),92,97
4,10:58.0,J. Collins misses 2-pt layup from 2 ft,,92,97
4,10:58.0,,Defensive rebound by W. Baldwin,92,97
4,10:58.0,,Personal foul by T. Young (drawn by W. Baldwin),92,97
4,10:43.0,,Turnover by W. Baldwin (out of bounds lost ball),92,97
4,10:30.0,Turnover by K. Huerter (bad pass; steal by W. Baldwin),,92,97
4,10:24.0,,M. Leonard makes 2-pt layup from 3 ft (assist by Z. Collins),92,99
4,10:24.0,Atlanta full timeout,,92,99
4,10:10.0,V. Carter misses 3-pt jump shot from 25 ft,,92,99
4,10:09.0,Offensive rebound by V. Carter,,92,99
4,10:08.0,Shooting foul by W. Baldwin (drawn by V. Carter),,92,99
4,10:08.0,V. Carter misses free throw 1 of 2,,92,99
4,10:08.0,Offensive rebound by Team,,92,99
4,10:08.0,V. Carter misses free throw 2 of 2,,92,99
4,10:06.0,,Defensive rebound by W. Baldwin,92,99
4,9:43.0,,W. Baldwin misses 3-pt jump shot from 25 ft (block by T. Young),92,99
4,9:43.0,,Offensive rebound by Team,92,99
4,9:43.0,,Turnover by Team (shot clock),92,99
4,9:37.0,T. Young makes 3-pt jump shot from 25 ft,,95,99
4,9:18.0,,Personal foul by T. Young (drawn by W. Baldwin),95,99
4,9:18.0,,M. Harkless enters the game for Z. Collins,95,99
4,9:11.0,,J. Layman makes 2-pt jump shot from 18 ft (assist by W. Baldwin),95,101
4,8:58.0,Personal foul by W. Baldwin (drawn by T. Young),,95,101
4,8:50.0,T. Young misses 3-pt jump shot from 25 ft,,95,101
4,8:48.0,,Defensive rebound by W. Baldwin,95,101
4,8:46.0,,Turnover by W. Baldwin (bad pass),95,101
4,8:37.0,K. Huerter misses 3-pt jump shot from 27 ft,,95,101
4,8:34.0,,Defensive rebound by M. Leonard,95,101
4,8:21.0,,M. Harkless misses 3-pt jump shot from 24 ft,95,101
4,8:18.0,Defensive rebound by T. Young,,95,101
4,8:13.0,Turnover by T. Young (bad pass),,95,101
4,8:00.0,,S. Curry misses 3-pt jump shot from 25 ft,95,101
4,7:56.0,Defensive rebound by V. Carter,,95,101
4,7:48.0,J. Collins makes 2-pt layup from 1 ft (assist by V. Carter),,97,101
4,7:30.0,,W. Baldwin misses 3-pt jump shot from 25 ft,97,101
4,7:28.0,Defensive rebound by J. Collins,,97,101
4,7:18.0,V. Carter makes 3-pt jump shot from 27 ft (assist by T. Young),,100,101
4,7:17.0,,Portland full timeout,100,101
4,7:17.0,D. Bembry enters the game for J. Collins,,100,101
4,7:17.0,D. Dedmon enters the game for K. Huerter,,100,101
4,7:17.0,J. Lin enters the game for T. Young,,100,101
4,7:17.0,,A. Aminu enters the game for W. Baldwin,100,101
4,7:17.0,,C. McCollum enters the game for J. Layman,100,101
4,7:17.0,,J. Nurkić enters the game for M. Leonard,100,101
4,7:08.0,,Personal foul by D. Dedmon (drawn by J. Nurkić),100,101
4,7:00.0,,J. Nurkić misses 2-pt hook shot from 4 ft,100,101
4,6:58.0,Defensive rebound by D. Dedmon,,100,101
4,6:44.0,V. Carter misses 2-pt jump shot from 19 ft (block by S. Curry),,100,101
4,6:44.0,,Defensive rebound by Team,100,101
4,6:24.0,,C. McCollum misses 3-pt jump shot from 27 ft,100,101
4,6:23.0,Defensive rebound by T. Prince,,100,101
4,6:08.0,D. Dedmon misses 2-pt hook shot from 8 ft,,100,101
4,6:06.0,,Defensive rebound by M. Harkless,100,101
4,5:59.0,,Turnover by M. Harkless (lost ball; steal by D. Bembry),100,101
4,5:56.0,J. Lin misses 2-pt layup from 10 ft (block by S. Curry),,100,101
4,5:54.0,Offensive rebound by D. Bembry,,100,101
4,5:51.0,Turnover by D. Bembry (lost ball; steal by C. McCollum),,100,101
4,5:42.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by J. Nurkić),100,104
4,5:26.0,J. Lin misses 3-pt jump shot from 25 ft (block by M. Harkless),,100,104
4,5:24.0,,Defensive rebound by M. Harkless,100,104
