QUARTER,TIME_REMAINING,MIAMI_ACTION,NEW ORLEANS_ACTION,MIAMI_SCORE,NEW ORLEANS_SCORE
1,7:59.0,,Turnover by T. Frazier (bad pass; steal by J. Richardson),6,6
1,7:55.0,J. Richardson makes 2-pt layup from 1 ft,,8,6
1,7:44.0,,Turnover by J. Holiday (lost ball; steal by J. Richardson),8,6
1,7:29.0,H. Whiteside makes 2-pt jump shot from 12 ft (assist by J. Richardson),,10,6
1,7:12.0,,Shooting foul by J. Johnson (drawn by J. Randle),10,6
1,7:12.0,,J. Randle misses free throw 1 of 2,10,6
1,7:12.0,,Offensive rebound by Team,10,6
1,7:12.0,D. Wade enters the game for J. Richardson,,10,6
1,7:12.0,,J. Randle makes free throw 2 of 2,10,7
1,6:57.0,J. Johnson misses 3-pt jump shot from 25 ft,,10,7
1,6:54.0,Offensive rebound by R. McGruder,,10,7
1,6:46.0,Turnover by H. Whiteside (lost ball; steal by S. Hill),,10,7
1,6:37.0,,J. Randle misses 2-pt layup from 4 ft,10,7
1,6:33.0,Defensive rebound by H. Whiteside,,10,7
1,6:32.0,H. Whiteside makes 2-pt layup from 2 ft,,12,7
1,6:32.0,Shooting foul by T. Frazier (drawn by H. Whiteside),,12,7
1,6:32.0,,New Orleans full timeout,12,7
1,6:32.0,,D. Miller enters the game for T. Frazier,12,7
1,6:32.0,,E. Moore enters the game for J. Randle,12,7
1,6:32.0,H. Whiteside makes free throw 1 of 1,,13,7
1,6:22.0,,J. Holiday misses 2-pt layup from 2 ft (block by H. Whiteside),13,7
1,6:22.0,Defensive rebound by Team,,13,7
1,6:09.0,H. Whiteside misses 2-pt layup from 2 ft,,13,7
1,6:07.0,Offensive rebound by Team,,13,7
1,5:47.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by D. Wade),,15,7
1,5:40.0,,A. Davis misses 2-pt layup from 1 ft,15,7
1,5:38.0,,Offensive rebound by J. Holiday,15,7
1,5:34.0,,Shooting foul by J. Johnson (drawn by S. Hill),15,7
1,5:34.0,,S. Hill misses free throw 1 of 2,15,7
1,5:34.0,,Offensive rebound by Team,15,7
1,5:34.0,,S. Hill makes free throw 2 of 2,15,8
1,5:26.0,J. Johnson makes 2-pt jump shot from 9 ft,,17,8
1,5:26.0,Shooting foul by S. Hill (drawn by J. Johnson),,17,8
1,5:26.0,J. Johnson misses free throw 1 of 1,,17,8
1,5:24.0,,Defensive rebound by S. Hill,17,8
1,5:15.0,,E. Moore makes 2-pt layup from 2 ft (assist by A. Davis),17,10
1,5:07.0,D. Wade misses 2-pt jump shot from 13 ft (block by J. Holiday),,17,10
1,5:06.0,Turnover by D. Wade (bad pass; steal by A. Davis),,17,10
1,5:06.0,Offensive rebound by D. Wade,,17,10
1,4:54.0,,E. Moore misses 3-pt jump shot from 26 ft,17,10
1,4:49.0,,Offensive rebound by A. Davis,17,10
1,4:48.0,,A. Davis makes 2-pt dunk at rim,17,12
1,4:25.0,J. Johnson misses 3-pt jump shot from 22 ft,,17,12
1,4:20.0,Offensive rebound by J. Winslow,,17,12
1,4:13.0,Shooting foul by E. Moore (drawn by J. Johnson),,17,12
1,4:13.0,J. Johnson misses free throw 1 of 2,,17,12
1,4:13.0,Offensive rebound by Team,,17,12
1,4:13.0,B. Adebayo enters the game for R. McGruder,,17,12
1,4:13.0,T. Johnson enters the game for H. Whiteside,,17,12
1,4:13.0,J. Johnson makes free throw 2 of 2,,18,12
1,4:03.0,,Shooting foul by B. Adebayo (drawn by A. Davis),18,12
1,4:03.0,,A. Davis makes free throw 1 of 2,18,13
1,4:03.0,K. Olynyk enters the game for J. Johnson,,18,13
1,4:03.0,,A. Harrison enters the game for J. Holiday,18,13
1,4:03.0,,A. Davis makes free throw 2 of 2,18,14
1,3:59.0,K. Olynyk makes 2-pt layup from 2 ft (assist by J. Winslow),,20,14
1,3:59.0,Shooting foul by D. Miller (drawn by K. Olynyk),,20,14
1,3:59.0,K. Olynyk makes free throw 1 of 1,,21,14
1,3:50.0,,D. Miller makes 3-pt jump shot from 25 ft (assist by A. Harrison),21,17
1,3:33.0,Turnover by T. Johnson (bad pass; steal by A. Davis),,21,17
1,3:29.0,,A. Harrison makes 3-pt jump shot from 26 ft (assist by E. Moore),21,20
1,3:28.0,Miami full timeout,,21,20
1,3:28.0,J. Richardson enters the game for J. Winslow,,21,20
1,3:28.0,,C. Diallo enters the game for S. Hill,21,20
1,3:12.0,D. Wade makes 2-pt layup from 2 ft (assist by B. Adebayo),,23,20
1,2:55.0,,A. Davis makes 2-pt dunk from 1 ft (assist by A. Harrison),23,22
1,2:41.0,Personal foul by A. Harrison (drawn by B. Adebayo),,23,22
1,2:41.0,B. Adebayo makes free throw 1 of 2,,24,22
1,2:41.0,B. Adebayo makes free throw 2 of 2,,25,22
1,2:33.0,,A. Harrison misses 3-pt jump shot from 26 ft,25,22
1,2:30.0,Defensive rebound by K. Olynyk,,25,22
1,2:20.0,J. Richardson misses 3-pt jump shot from 27 ft,,25,22
1,2:16.0,,Defensive rebound by A. Davis,25,22
1,2:08.0,,Shooting foul by K. Olynyk (drawn by A. Davis),25,22
1,2:08.0,,A. Davis makes free throw 1 of 2,25,23
1,2:08.0,,A. Davis makes free throw 2 of 2,25,24
1,1:47.0,J. Richardson misses 2-pt jump shot from 12 ft,,25,24
1,1:41.0,Offensive rebound by D. Wade,,25,24
1,1:41.0,D. Wade misses 2-pt layup at rim,,25,24
1,1:40.0,,Defensive rebound by A. Davis,25,24
1,1:40.0,,Turnover by C. Diallo (step out of bounds),25,24
1,1:29.0,D. Wade makes 3-pt jump shot from 24 ft,,28,24
1,1:05.0,,A. Davis makes 2-pt jump shot from 17 ft,28,26
1,0:44.0,J. Richardson makes 2-pt jump shot from 14 ft,,30,26
1,0:34.0,,A. Davis misses 2-pt jump shot from 9 ft,30,26
1,0:31.0,Defensive rebound by B. Adebayo,,30,26
1,0:27.0,Turnover by D. Wade (bad pass; steal by C. Diallo),,30,26
1,0:05.0,,A. Harrison makes 2-pt jump shot from 13 ft,30,28
1,0:00.0,B. Adebayo makes 3-pt jump shot from 29 ft,,33,28
2,11:47.0,Turnover by K. Olynyk (bad pass; steal by C. Diallo),,33,28
2,11:27.0,,J. Randle makes 2-pt layup from 2 ft,33,30
2,11:12.0,T. Johnson makes 2-pt layup from 1 ft,,35,30
2,10:52.0,,Turnover by C. Diallo (out of bounds lost ball),35,30
2,10:32.0,K. Olynyk misses 2-pt layup from 2 ft,,35,30
2,10:30.0,Offensive rebound by K. Olynyk,,35,30
2,10:26.0,T. Johnson misses 3-pt jump shot from 26 ft,,35,30
2,10:24.0,Offensive rebound by D. Wade,,35,30
2,10:24.0,Personal foul by D. Miller (drawn by D. Wade),,35,30
2,10:24.0,,J. Holiday enters the game for A. Harrison,35,30
2,10:14.0,D. Wade makes 3-pt jump shot from 23 ft (assist by B. Adebayo),,38,30
2,10:02.0,,Turnover by C. Diallo (lost ball; steal by T. Johnson),38,30
2,9:57.0,J. Richardson makes 2-pt layup from 2 ft (assist by T. Johnson),,40,30
2,9:48.0,,D. Miller misses 3-pt jump shot from 27 ft,40,30
2,9:46.0,Defensive rebound by K. Olynyk,,40,30
2,9:38.0,J. Richardson misses 2-pt jump shot from 18 ft,,40,30
2,9:34.0,,Defensive rebound by J. Randle,40,30
2,9:27.0,,J. Randle makes 3-pt jump shot from 26 ft (assist by D. Miller),40,33
2,9:04.0,J. Richardson misses 3-pt jump shot from 25 ft,,40,33
2,9:02.0,,Defensive rebound by J. Randle,40,33
2,9:02.0,D. Jones enters the game for D. Wade,,40,33
2,9:02.0,,F. Jackson enters the game for E. Moore,40,33
2,8:50.0,,Turnover by J. Randle (lost ball; steal by J. Richardson),40,33
2,8:34.0,T. Johnson makes 2-pt jump shot from 20 ft (assist by J. Richardson),,42,33
2,8:27.0,,New Orleans full timeout,42,33
2,8:27.0,,S. Hill enters the game for C. Diallo,42,33
2,8:16.0,,J. Holiday misses 2-pt jump shot from 6 ft,42,33
2,8:12.0,,Offensive rebound by S. Hill,42,33
2,8:06.0,,S. Hill misses 2-pt layup from 6 ft,42,33
2,8:04.0,Defensive rebound by D. Jones,,42,33
2,8:00.0,K. Olynyk misses 3-pt jump shot from 25 ft,,42,33
2,7:58.0,Offensive rebound by Team,,42,33
2,7:51.0,T. Johnson misses 3-pt jump shot from 24 ft,,42,33
2,7:48.0,,Defensive rebound by D. Miller,42,33
2,7:44.0,,F. Jackson misses 3-pt jump shot from 23 ft,42,33
2,7:40.0,Defensive rebound by T. Johnson,,42,33
2,7:24.0,T. Johnson misses 3-pt jump shot from 26 ft,,42,33
2,7:20.0,Offensive rebound by D. Jones,,42,33
2,7:18.0,J. Richardson makes 2-pt jump shot from 17 ft (assist by B. Adebayo),,44,33
2,7:03.0,,S. Hill makes 3-pt jump shot from 27 ft (assist by J. Holiday),44,36
2,6:42.0,B. Adebayo misses 2-pt layup from 6 ft,,44,36
2,6:38.0,,Defensive rebound by J. Randle,44,36
2,6:31.0,,J. Randle makes 2-pt dunk from 1 ft (assist by S. Hill),44,38
2,6:13.0,Personal foul by F. Jackson (drawn by K. Olynyk),,44,38
2,6:13.0,H. Whiteside enters the game for B. Adebayo,,44,38
2,6:13.0,J. Winslow enters the game for J. Richardson,,44,38
2,6:05.0,T. Johnson misses 3-pt jump shot from 25 ft,,44,38
2,6:02.0,Offensive rebound by D. Jones,,44,38
2,6:00.0,D. Jones makes 2-pt layup from 10 ft,,46,38
2,5:54.0,,New Orleans full timeout,46,38
2,5:54.0,R. McGruder enters the game for T. Johnson,,46,38
2,5:54.0,,A. Davis enters the game for J. Randle,46,38
2,5:46.0,,A. Davis makes 2-pt layup from 11 ft (assist by D. Miller),46,40
2,5:27.0,Turnover by J. Winslow (bad pass; steal by A. Davis),,46,40
2,5:21.0,,S. Hill makes 2-pt dunk from 1 ft (assist by A. Davis),46,42
2,5:07.0,K. Olynyk misses 2-pt jump shot from 8 ft,,46,42
2,5:05.0,,Defensive rebound by S. Hill,46,42
2,4:52.0,,Personal foul by R. McGruder (drawn by J. Holiday),46,42
2,4:52.0,,E. Moore enters the game for D. Miller,46,42
2,4:43.0,,A. Davis misses 2-pt layup from 2 ft,46,42
2,4:41.0,Defensive rebound by K. Olynyk,,46,42
2,4:39.0,D. Jones makes 2-pt layup from 1 ft (assist by J. Winslow),,48,42
2,4:39.0,Shooting foul by J. Holiday (drawn by D. Jones),,48,42
2,4:39.0,D. Jones misses free throw 1 of 1,,48,42
2,4:37.0,Offensive rebound by R. McGruder,,48,42
2,4:33.0,K. Olynyk misses 3-pt jump shot from 24 ft,,48,42
2,4:29.0,,Defensive rebound by S. Hill,48,42
2,4:16.0,,A. Davis misses 2-pt layup from 3 ft,48,42
2,4:16.0,Defensive rebound by H. Whiteside,,48,42
2,4:16.0,,Technical foul by A. Davis,48,42
2,4:16.0,K. Olynyk makes technical free throw,,49,42
2,4:16.0,,J. Randle enters the game for F. Jackson,49,42
2,4:00.0,J. Winslow misses 3-pt jump shot from 24 ft,,49,42
2,3:56.0,Offensive rebound by D. Jones,,49,42
2,3:49.0,R. McGruder misses 2-pt jump shot from 9 ft (block by A. Davis),,49,42
2,3:46.0,,Defensive rebound by S. Hill,49,42
2,3:45.0,,Shooting foul by J. Winslow (drawn by J. Holiday),49,42
2,3:45.0,,J. Holiday makes free throw 1 of 2,49,43
2,3:45.0,,J. Holiday makes free throw 2 of 2,49,44
2,3:32.0,R. McGruder misses 3-pt jump shot from 25 ft,,49,44
2,3:24.0,H. Whiteside makes 2-pt layup at rim,,51,44
2,3:24.0,Offensive rebound by H. Whiteside,,51,44
2,3:10.0,,Personal foul by H. Whiteside (drawn by J. Randle),51,44
2,3:02.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by A. Davis),51,47
2,2:35.0,R. McGruder misses 2-pt layup from 3 ft,,51,47
2,2:33.0,,Defensive rebound by A. Davis,51,47
2,2:29.0,,J. Holiday misses 2-pt jump shot from 5 ft,51,47
2,2:27.0,Defensive rebound by H. Whiteside,,51,47
2,2:20.0,Miami full timeout,,51,47
2,2:06.0,H. Whiteside misses 2-pt jump shot from 12 ft,,51,47
2,2:04.0,Offensive rebound by Team,,51,47
2,2:04.0,Turnover by Team (shot clock),,51,47
2,1:52.0,,A. Davis makes 2-pt dunk from 1 ft (assist by E. Moore),51,49
2,1:34.0,D. Jones makes 3-pt jump shot from 24 ft (assist by J. Winslow),,54,49
2,1:22.0,,S. Hill misses 3-pt jump shot from 26 ft,54,49
2,1:19.0,Defensive rebound by J. Winslow,,54,49
2,1:05.0,Personal foul by J. Holiday (drawn by K. Olynyk),,54,49
2,1:05.0,J. Johnson enters the game for D. Jones,,54,49
2,1:05.0,J. Richardson enters the game for K. Olynyk,,54,49
2,0:53.0,Personal foul by J. Randle (drawn by H. Whiteside),,54,49
2,0:53.0,H. Whiteside misses free throw 1 of 2,,54,49
2,0:53.0,Offensive rebound by Team,,54,49
2,0:53.0,D. Wade enters the game for R. McGruder,,54,49
2,0:53.0,H. Whiteside misses free throw 2 of 2,,54,49
2,0:51.0,,Defensive rebound by S. Hill,54,49
2,0:44.0,,E. Moore misses 2-pt jump shot from 5 ft,54,49
2,0:44.0,,Offensive rebound by A. Davis,54,49
2,0:44.0,,A. Davis makes 2-pt layup from 1 ft,54,51
2,0:31.0,Turnover by J. Richardson (bad pass),,54,51
2,0:31.0,B. Adebayo enters the game for H. Whiteside,,54,51
2,0:16.0,,J. Holiday misses 3-pt jump shot from 25 ft,54,51
2,0:12.0,Defensive rebound by J. Johnson,,54,51
2,0:02.0,D. Wade makes 3-pt jump shot from 25 ft,,57,51
2,0:00.0,,J. Holiday misses 3-pt jump shot from 24 ft,57,51
2,0:00.0,,Offensive rebound by Team,57,51
3,11:40.0,T. Johnson makes 3-pt jump shot from 25 ft (assist by J. Richardson),,60,51
3,11:15.0,,J. Randle misses 2-pt jump shot from 6 ft,60,51
3,11:13.0,Defensive rebound by H. Whiteside,,60,51
3,10:59.0,H. Whiteside makes 2-pt dunk from 1 ft,,62,51
3,10:43.0,,Personal foul by H. Whiteside (drawn by A. Davis),62,51
3,10:37.0,,J. Holiday misses 2-pt jump shot from 18 ft,62,51
3,10:33.0,Defensive rebound by H. Whiteside,,62,51
3,10:26.0,J. Richardson misses 2-pt jump shot from 6 ft,,62,51
3,10:23.0,,Defensive rebound by A. Davis,62,51
3,10:16.0,,Personal foul by J. Johnson (drawn by J. Randle),62,51
3,10:06.0,,J. Holiday misses 2-pt layup from 2 ft,62,51
3,10:04.0,Defensive rebound by J. Johnson,,62,51
3,9:57.0,J. Richardson makes 3-pt jump shot from 28 ft,,65,51
3,9:55.0,,New Orleans full timeout,65,51
3,9:30.0,,J. Randle misses 2-pt jump shot from 20 ft (block by H. Whiteside),65,51
3,9:30.0,,Offensive rebound by Team,65,51
3,9:30.0,,Turnover by Team (shot clock),65,51
3,9:19.0,J. Richardson misses 3-pt jump shot from 26 ft,,65,51
3,9:16.0,,Defensive rebound by J. Randle,65,51
3,9:07.0,,Turnover by J. Holiday (traveling),65,51
3,8:54.0,T. Johnson makes 3-pt jump shot from 26 ft (assist by J. Johnson),,68,51
3,8:37.0,,S. Hill makes 2-pt layup from 1 ft (assist by T. Frazier),68,53
3,8:37.0,,E. Moore enters the game for S. Hill,68,53
3,8:20.0,Turnover by R. McGruder (lost ball; steal by J. Holiday),,68,53
3,8:05.0,,J. Randle misses 2-pt layup from 2 ft,68,53
3,8:03.0,Defensive rebound by J. Johnson,,68,53
3,8:01.0,J. Richardson makes 2-pt jump shot from 12 ft (assist by J. Johnson),,70,53
3,7:41.0,,J. Randle makes 2-pt layup from 2 ft (assist by A. Davis),70,55
3,7:26.0,T. Johnson misses 3-pt jump shot from 25 ft,,70,55
3,7:20.0,Offensive rebound by R. McGruder,,70,55
3,7:20.0,R. McGruder misses 2-pt layup from 1 ft,,70,55
3,7:19.0,,Defensive rebound by J. Randle,70,55
3,7:15.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by J. Randle),70,58
3,6:56.0,Personal foul by J. Holiday (drawn by H. Whiteside),,70,58
3,6:48.0,Personal foul by E. Moore (drawn by T. Johnson),,70,58
3,6:36.0,J. Richardson misses 3-pt jump shot from 28 ft,,70,58
3,6:32.0,,Defensive rebound by E. Moore,70,58
3,6:21.0,,J. Randle makes 2-pt layup from 1 ft (assist by T. Frazier),70,60
3,6:21.0,,Shooting foul by J. Johnson (drawn by J. Randle),70,60
3,6:21.0,D. Wade enters the game for J. Richardson,,70,60
3,6:21.0,,J. Randle makes free throw 1 of 1,70,61
3,6:05.0,J. Johnson misses 2-pt layup from 2 ft,,70,61
3,5:57.0,H. Whiteside makes 2-pt dunk from 1 ft,,72,61
3,5:57.0,Offensive rebound by H. Whiteside,,72,61
3,5:49.0,,E. Moore makes 3-pt jump shot from 26 ft (assist by J. Holiday),72,64
3,5:31.0,Turnover by D. Wade (bad pass; steal by J. Randle),,72,64
3,5:18.0,,T. Frazier misses 2-pt layup from 2 ft,72,64
3,5:18.0,,Offensive rebound by J. Randle,72,64
3,5:18.0,,J. Randle makes 2-pt dunk at rim,72,66
3,5:18.0,Miami full timeout,,72,66
3,5:18.0,K. Olynyk enters the game for J. Johnson,,72,66
3,5:18.0,,D. Miller enters the game for T. Frazier,72,66
3,5:03.0,D. Wade makes 2-pt layup from 1 ft (assist by T. Johnson),,74,66
3,4:43.0,,J. Randle misses 2-pt layup from 3 ft,74,66
3,4:41.0,Defensive rebound by R. McGruder,,74,66
3,4:33.0,R. McGruder misses 2-pt jump shot from 22 ft,,74,66
3,4:31.0,,Defensive rebound by J. Holiday,74,66
3,4:17.0,,D. Miller misses 3-pt jump shot from 25 ft,74,66
3,4:12.0,,Offensive rebound by D. Miller,74,66
3,4:07.0,,E. Moore misses 3-pt jump shot from 23 ft,74,66
3,4:03.0,,Offensive rebound by A. Davis,74,66
3,3:59.0,,E. Moore makes 3-pt jump shot from 24 ft (assist by A. Davis),74,69
3,3:40.0,K. Olynyk misses 3-pt jump shot from 26 ft,,74,69
3,3:37.0,Offensive rebound by H. Whiteside,,74,69
3,3:36.0,R. McGruder misses 2-pt jump shot from 6 ft,,74,69
3,3:32.0,Offensive rebound by H. Whiteside,,74,69
3,3:32.0,H. Whiteside misses 2-pt layup from 1 ft,,74,69
3,3:32.0,Offensive rebound by H. Whiteside,,74,69
3,3:32.0,H. Whiteside misses 2-pt layup from 1 ft,,74,69
3,3:32.0,Offensive rebound by R. McGruder,,74,69
3,3:28.0,T. Johnson makes 3-pt jump shot from 25 ft (assist by R. McGruder),,77,69
3,3:09.0,,D. Miller misses 3-pt jump shot from 26 ft,77,69
3,3:05.0,Defensive rebound by H. Whiteside,,77,69
3,2:49.0,Miami full timeout,,77,69
3,2:49.0,B. Adebayo enters the game for T. Johnson,,77,69
3,2:49.0,J. Richardson enters the game for H. Whiteside,,77,69
3,2:49.0,,S. Hill enters the game for J. Randle,77,69
3,2:42.0,D. Wade misses 3-pt jump shot from 25 ft,,77,69
3,2:39.0,,Defensive rebound by E. Moore,77,69
3,2:19.0,,E. Moore misses 2-pt jump shot from 14 ft,77,69
3,2:15.0,Defensive rebound by D. Wade,,77,69
3,2:01.0,D. Wade misses 2-pt jump shot from 15 ft,,77,69
3,1:58.0,,Defensive rebound by A. Davis,77,69
3,1:53.0,,J. Holiday makes 2-pt layup from 2 ft (assist by A. Davis),77,71
3,1:34.0,Shooting foul by J. Holiday (drawn by D. Wade),,77,71
3,1:34.0,D. Wade makes free throw 1 of 2,,78,71
3,1:34.0,D. Jones enters the game for R. McGruder,,78,71
3,1:34.0,,A. Harrison enters the game for J. Holiday,78,71
3,1:34.0,D. Wade makes free throw 2 of 2,,79,71
3,1:16.0,,Turnover by A. Davis (bad pass; steal by D. Jones),79,71
3,1:13.0,D. Jones misses 2-pt layup from 3 ft (block by A. Davis),,79,71
3,1:13.0,Offensive rebound by Team,,79,71
3,1:06.0,Shooting foul by A. Harrison (drawn by D. Wade),,79,71
3,1:06.0,D. Wade makes free throw 1 of 2,,80,71
3,1:06.0,D. Wade makes free throw 2 of 2,,81,71
3,0:43.0,,S. Hill makes 2-pt dunk from 1 ft (assist by A. Harrison),81,73
3,0:36.0,D. Wade misses 3-pt jump shot from 25 ft,,81,73
3,0:34.0,Offensive rebound by Team,,81,73
3,0:34.0,,Loose ball foul by A. Harrison (drawn by K. Olynyk),81,73
3,0:34.0,K. Olynyk makes free throw 1 of 2,,82,73
3,0:34.0,K. Olynyk makes free throw 2 of 2,,83,73
3,0:21.0,,E. Moore misses 2-pt layup from 12 ft (block by B. Adebayo),83,73
3,0:18.0,Defensive rebound by K. Olynyk,,83,73
3,0:05.0,J. Richardson makes 2-pt jump shot from 21 ft,,85,73
3,0:00.0,,A. Harrison misses 3-pt jump shot from 37 ft,85,73
3,0:00.0,,Offensive rebound by Team,85,73
4,11:41.0,Violation by Team (kicked ball),,85,73
4,11:38.0,,D. Miller misses 3-pt jump shot from 28 ft,85,73
4,11:34.0,Defensive rebound by B. Adebayo,,85,73
4,11:15.0,Turnover by D. Wade (lost ball; steal by D. Miller),,85,73
4,11:10.0,,Turnover by D. Miller (bad pass; steal by D. Jones),85,73
4,10:53.0,D. Wade misses 3-pt jump shot from 24 ft,,85,73
4,10:50.0,Offensive rebound by Team,,85,73
4,10:43.0,Turnover by B. Adebayo (traveling),,85,73
4,10:29.0,,J. Holiday makes 3-pt jump shot from 27 ft (assist by D. Miller),85,76
4,10:15.0,Personal foul by S. Hill (drawn by J. Richardson),,85,76
4,10:07.0,J. Richardson misses 3-pt jump shot from 25 ft,,85,76
4,9:59.0,Offensive rebound by D. Jones,,85,76
4,9:59.0,D. Jones makes 2-pt dunk from 1 ft,,87,76
4,9:50.0,,E. Moore misses 3-pt jump shot from 24 ft,87,76
4,9:48.0,Defensive rebound by D. Wade,,87,76
4,9:44.0,Offensive foul by J. Richardson (drawn by D. Miller),,87,76
4,9:44.0,Turnover by J. Richardson (offensive foul),,87,76
4,9:35.0,,D. Miller misses 3-pt jump shot from 26 ft,87,76
4,9:30.0,Defensive rebound by B. Adebayo,,87,76
4,9:11.0,K. Olynyk makes 2-pt layup from 1 ft (assist by D. Wade),,89,76
4,9:00.0,,Personal foul by K. Olynyk (drawn by E. Moore),89,76
4,9:00.0,,A. Davis enters the game for S. Hill,89,76
4,8:47.0,,J. Holiday misses 3-pt jump shot from 26 ft,89,76
4,8:44.0,,Offensive rebound by J. Randle,89,76
4,8:44.0,,Shooting foul by K. Olynyk (drawn by J. Randle),89,76
4,8:44.0,,J. Randle makes free throw 1 of 2,89,77
4,8:44.0,,J. Randle makes free throw 2 of 2,89,78
4,8:39.0,K. Olynyk misses 3-pt jump shot from 26 ft,,89,78
4,8:38.0,,Defensive rebound by Team,89,78
4,8:38.0,Loose ball foul by D. Jones (drawn by E. Moore),,89,78
4,8:20.0,Violation by Team (kicked ball),,89,78
4,8:08.0,,J. Randle misses 2-pt layup from 3 ft,89,78
4,8:06.0,Defensive rebound by D. Wade,,89,78
4,7:55.0,D. Jones misses 3-pt jump shot from 23 ft,,89,78
4,7:52.0,,Defensive rebound by A. Davis,89,78
4,7:46.0,,Personal foul by J. Richardson (drawn by A. Davis),89,78
4,7:46.0,T. Johnson enters the game for D. Wade,,89,78
4,7:32.0,,J. Randle misses 2-pt layup from 2 ft,89,78
4,7:28.0,Defensive rebound by B. Adebayo,,89,78
4,7:17.0,Personal foul by J. Randle (drawn by B. Adebayo),,89,78
4,7:07.0,J. Richardson misses 2-pt layup from 2 ft,,89,78
4,7:07.0,Offensive rebound by Team,,89,78
4,7:07.0,,Loose ball foul by J. Randle (drawn by B. Adebayo),89,78
4,7:04.0,Offensive foul by B. Adebayo (drawn by E. Moore),,89,78
4,7:04.0,Turnover by B. Adebayo (offensive foul),,89,78
4,6:51.0,,D. Miller misses 3-pt jump shot from 23 ft,89,78
4,6:49.0,Defensive rebound by Team,,89,78
4,6:49.0,,Loose ball foul by J. Randle (drawn by D. Jones),89,78
4,6:49.0,,New Orleans full timeout,89,78
4,6:49.0,,A. Harrison enters the game for J. Randle,89,78
4,6:40.0,T. Johnson misses 2-pt jump shot from 8 ft,,89,78
4,6:37.0,,Defensive rebound by A. Harrison,89,78
4,6:24.0,,D. Miller misses 2-pt layup from 2 ft,89,78
4,6:23.0,Defensive rebound by B. Adebayo,,89,78
4,6:03.0,Turnover by J. Richardson (bad pass; steal by E. Moore),,89,78
4,5:43.0,,A. Davis makes 3-pt jump shot from 25 ft (assist by J. Holiday),89,81
4,5:27.0,J. Richardson makes 3-pt jump shot from 27 ft (assist by K. Olynyk),,92,81
4,5:10.0,,D. Miller misses 3-pt jump shot from 25 ft,92,81
4,5:07.0,Defensive rebound by D. Jones,,92,81
4,4:51.0,Offensive foul by B. Adebayo (drawn by D. Miller),,92,81
4,4:51.0,Turnover by B. Adebayo (offensive foul),,92,81
4,4:33.0,,A. Davis makes 2-pt layup from 2 ft (assist by J. Holiday),92,83
4,4:33.0,,Shooting foul by J. Richardson (drawn by A. Davis),92,83
4,4:33.0,,A. Davis makes free throw 1 of 1,92,84
4,4:19.0,T. Johnson misses 2-pt jump shot from 5 ft,,92,84
4,4:16.0,Offensive rebound by D. Jones,,92,84
4,4:03.0,J. Richardson misses 2-pt jump shot from 6 ft,,92,84
