QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DENVER_ACTION,CHARLOTTE_SCORE,DENVER_SCORE
1,3:10.0,,M. Beasley enters the game for T. Craig,20,19
1,3:02.0,,N. Jokić misses 2-pt jump shot from 20 ft,20,19
1,3:00.0,,Offensive rebound by Team,20,19
1,2:57.0,,G. Harris makes 2-pt layup from 2 ft (assist by P. Millsap),20,21
1,2:46.0,Turnover by T. Parker (bad pass; steal by G. Harris),,20,21
1,2:43.0,,G. Harris makes 3-pt jump shot from 24 ft,20,24
1,2:25.0,Shooting foul by P. Millsap (drawn by W. Hernangómez),,20,24
1,2:25.0,W. Hernangómez makes free throw 1 of 2,,21,24
1,2:25.0,W. Hernangómez makes free throw 2 of 2,,22,24
1,2:08.0,,P. Millsap makes 2-pt layup from 2 ft,22,26
1,1:48.0,M. Kidd-Gilchrist makes 2-pt hook shot from 4 ft (assist by W. Hernangómez),,24,26
1,1:30.0,,P. Millsap misses 2-pt jump shot from 5 ft,24,26
1,1:28.0,Defensive rebound by N. Batum,,24,26
1,1:22.0,Charlotte full timeout,,24,26
1,1:22.0,,T. Lyles enters the game for N. Jokić,24,26
1,1:18.0,Shooting foul by T. Lyles (drawn by M. Kidd-Gilchrist),,24,26
1,1:18.0,M. Kidd-Gilchrist makes free throw 1 of 2,,25,26
1,1:18.0,M. Kidd-Gilchrist makes free throw 2 of 2,,26,26
1,1:06.0,,M. Morris misses 2-pt jump shot from 5 ft,26,26
1,1:05.0,,Offensive rebound by P. Millsap,26,26
1,1:05.0,,P. Millsap makes 2-pt layup from 1 ft,26,28
1,1:05.0,,Shooting foul by W. Hernangómez (drawn by P. Millsap),26,28
1,1:05.0,,P. Millsap makes free throw 1 of 1,26,29
1,0:55.0,M. Kidd-Gilchrist misses 2-pt jump shot from 20 ft,,26,29
1,0:53.0,,Defensive rebound by Team,26,29
1,0:45.0,,T. Lyles misses 3-pt jump shot from 25 ft,26,29
1,0:42.0,Defensive rebound by M. Kidd-Gilchrist,,26,29
1,0:35.0,T. Parker misses 2-pt jump shot from 20 ft,,26,29
1,0:31.0,,Defensive rebound by P. Millsap,26,29
1,0:25.0,,P. Millsap makes 2-pt jump shot from 6 ft,26,31
1,0:09.0,Turnover by T. Parker (bad pass; steal by P. Millsap),,26,31
1,0:01.0,,G. Harris misses 3-pt jump shot from 23 ft,26,31
1,0:01.0,,Offensive rebound by Team,26,31
2,11:47.0,W. Hernangómez makes 2-pt jump shot from 3 ft (assist by T. Parker),,28,31
2,11:30.0,,M. Morris misses 2-pt jump shot from 20 ft,28,31
2,11:26.0,Defensive rebound by M. Bridges,,28,31
2,11:12.0,M. Williams makes 2-pt layup from 2 ft,,30,31
2,10:53.0,,M. Beasley makes 2-pt layup from 2 ft (assist by P. Millsap),30,33
2,10:44.0,M. Monk misses 3-pt jump shot from 24 ft,,30,33
2,10:42.0,,Defensive rebound by G. Harris,30,33
2,10:40.0,,Personal foul by M. Monk (drawn by T. Lyles),30,33
2,10:24.0,,T. Lyles misses 2-pt jump shot from 7 ft,30,33
2,10:22.0,Defensive rebound by W. Hernangómez,,30,33
2,10:07.0,T. Parker makes 2-pt jump shot from 8 ft (assist by M. Monk),,32,33
2,9:48.0,,G. Harris misses 3-pt jump shot from 26 ft,32,33
2,9:45.0,,Offensive rebound by P. Millsap,32,33
2,9:40.0,,M. Beasley misses 3-pt jump shot from 25 ft,32,33
2,9:37.0,Defensive rebound by Team,,32,33
2,9:24.0,M. Monk makes 2-pt dunk from 1 ft (assist by T. Parker),,34,33
2,9:23.0,,Denver full timeout,34,33
2,9:23.0,,M. Plumlee enters the game for P. Millsap,34,33
2,9:14.0,,M. Morris misses 2-pt jump shot from 18 ft,34,33
2,9:10.0,Defensive rebound by M. Williams,,34,33
2,9:06.0,Turnover by T. Parker (traveling),,34,33
2,8:56.0,,M. Plumlee makes 2-pt dunk from 2 ft (assist by G. Harris),34,35
2,8:44.0,Shooting foul by M. Beasley (drawn by M. Monk),,34,35
2,8:44.0,M. Monk makes free throw 1 of 2,,35,35
2,8:44.0,,J. Murray enters the game for M. Morris,35,35
2,8:44.0,M. Monk makes free throw 2 of 2,,36,35
2,8:27.0,,G. Harris misses 3-pt jump shot from 22 ft (block by M. Williams),36,35
2,8:24.0,,Offensive rebound by T. Lyles,36,35
2,8:20.0,,T. Lyles makes 2-pt layup from 2 ft (assist by M. Plumlee),36,37
2,8:18.0,,Violation by Team (delay of game),36,37
2,8:09.0,W. Hernangómez misses 2-pt jump shot from 8 ft,,36,37
2,8:07.0,,Defensive rebound by T. Lyles,36,37
2,7:58.0,,T. Lyles misses 3-pt jump shot from 24 ft,36,37
2,7:55.0,Defensive rebound by W. Hernangómez,,36,37
2,7:47.0,W. Hernangómez misses 2-pt hook shot from 3 ft,,36,37
2,7:46.0,Offensive rebound by W. Hernangómez,,36,37
2,7:46.0,Personal foul by M. Plumlee (drawn by W. Hernangómez),,36,37
2,7:46.0,K. Walker enters the game for M. Monk,,36,37
2,7:46.0,,T. Craig enters the game for M. Beasley,36,37
2,7:38.0,Turnover by K. Walker (bad pass; steal by T. Lyles),,36,37
2,7:34.0,,G. Harris makes 2-pt dunk from 1 ft (assist by T. Lyles),36,39
2,7:22.0,K. Walker misses 3-pt jump shot from 25 ft (block by T. Craig),,36,39
2,7:19.0,,Defensive rebound by G. Harris,36,39
2,7:19.0,,Flagrant foul type 1 by M. Williams (drawn by T. Craig),36,39
2,7:19.0,,T. Craig makes flagrant free throw 1 of 2,36,40
2,7:19.0,,Offensive rebound by Team,36,40
2,7:19.0,,T. Craig misses flagrant free throw 2 of 2,36,40
2,7:19.0,B. Biyombo enters the game for W. Hernangómez,,36,40
2,7:19.0,D. Graham enters the game for T. Parker,,36,40
2,7:19.0,,N. Jokić enters the game for M. Plumlee,36,40
2,7:06.0,,N. Jokić makes 2-pt jump shot from 8 ft (assist by G. Harris),36,42
2,6:51.0,K. Walker misses 3-pt jump shot from 25 ft,,36,42
2,6:49.0,,Defensive rebound by T. Lyles,36,42
2,6:29.0,,N. Jokić misses 2-pt jump shot from 7 ft,36,42
2,6:27.0,Defensive rebound by M. Williams,,36,42
2,6:22.0,Shooting foul by G. Harris (drawn by D. Graham),,36,42
2,6:22.0,D. Graham makes free throw 1 of 2,,37,42
2,6:22.0,D. Graham makes free throw 2 of 2,,38,42
2,6:13.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by N. Jokić),38,45
2,5:54.0,M. Williams misses 2-pt jump shot from 12 ft,,38,45
2,5:51.0,Offensive rebound by M. Williams,,38,45
2,5:51.0,Personal foul by T. Craig (drawn by K. Walker),,38,45
2,5:48.0,Personal foul by T. Craig (drawn by K. Walker),,38,45
2,5:48.0,K. Walker makes free throw 1 of 2,,39,45
2,5:48.0,,M. Beasley enters the game for T. Craig,39,45
2,5:48.0,K. Walker misses free throw 2 of 2,,39,45
2,5:46.0,,Defensive rebound by N. Jokić,39,45
2,5:37.0,,Turnover by N. Jokić (bad pass; steal by M. Williams),39,45
2,5:34.0,M. Bridges makes 2-pt dunk from 1 ft (assist by D. Graham),,41,45
2,5:15.0,,G. Harris makes 2-pt layup from 1 ft (assist by T. Lyles),41,47
2,5:15.0,,Shooting foul by M. Williams (drawn by G. Harris),41,47
2,5:15.0,,G. Harris misses free throw 1 of 1,41,47
2,5:15.0,Defensive rebound by B. Biyombo,,41,47
2,5:00.0,K. Walker misses 2-pt jump shot from 7 ft,,41,47
2,4:59.0,Offensive rebound by B. Biyombo,,41,47
2,4:59.0,B. Biyombo makes 2-pt layup from 4 ft,,43,47
2,4:59.0,,Violation by Team (def goaltending),43,47
2,4:55.0,,Shooting foul by B. Biyombo (drawn by T. Lyles),43,47
2,4:55.0,,T. Lyles makes free throw 1 of 2,43,48
2,4:55.0,N. Batum enters the game for M. Bridges,,43,48
2,4:55.0,,J. Hernangómez enters the game for G. Harris,43,48
2,4:55.0,,T. Lyles makes free throw 2 of 2,43,49
2,4:40.0,Personal foul by J. Murray (drawn by M. Williams),,43,49
2,4:40.0,M. Williams misses free throw 1 of 2,,43,49
2,4:40.0,Offensive rebound by Team,,43,49
2,4:40.0,M. Williams makes free throw 2 of 2,,44,49
2,4:24.0,,N. Jokić misses 2-pt jump shot from 5 ft,44,49
2,4:22.0,Defensive rebound by K. Walker,,44,49
2,4:18.0,K. Walker makes 2-pt jump shot from 5 ft,,46,49
2,4:04.0,,N. Jokić makes 2-pt layup from 2 ft (assist by J. Murray),46,51
2,4:03.0,Charlotte full timeout,,46,51
2,4:03.0,,M. Plumlee enters the game for T. Lyles,46,51
2,3:48.0,K. Walker misses 2-pt layup from 1 ft,,46,51
2,3:47.0,Offensive rebound by B. Biyombo,,46,51
2,3:46.0,B. Biyombo makes 2-pt dunk from 1 ft,,48,51
2,3:46.0,Shooting foul by M. Beasley (drawn by B. Biyombo),,48,51
2,3:46.0,B. Biyombo makes free throw 1 of 1,,49,51
2,3:32.0,,J. Murray misses 2-pt jump shot from 19 ft,49,51
2,3:29.0,,Offensive rebound by N. Jokić,49,51
2,3:28.0,,N. Jokić misses 2-pt layup from 2 ft (block by N. Batum),49,51
2,3:28.0,Defensive rebound by N. Batum,,49,51
2,3:19.0,K. Walker misses 2-pt hook shot from 5 ft,,49,51
2,3:16.0,Offensive rebound by M. Williams,,49,51
2,3:16.0,M. Williams misses 2-pt layup from 2 ft (block by M. Plumlee),,49,51
2,3:16.0,,Defensive rebound by M. Plumlee,49,51
2,3:07.0,,Shooting foul by B. Biyombo (drawn by N. Jokić),49,51
2,3:07.0,,N. Jokić misses free throw 1 of 2,49,51
2,3:07.0,,Offensive rebound by Team,49,51
2,3:07.0,,N. Jokić makes free throw 2 of 2,49,52
2,2:50.0,B. Biyombo makes 2-pt jump shot from 10 ft (assist by D. Graham),,51,52
2,2:34.0,,Turnover by J. Hernangómez (bad pass; steal by N. Batum),51,52
2,2:28.0,Personal foul by J. Murray (drawn by K. Walker),,51,52
2,2:28.0,Offensive rebound by Team,,51,52
2,2:28.0,K. Walker misses free throw 1 of 2,,51,52
2,2:28.0,,G. Harris enters the game for M. Beasley,51,52
2,2:28.0,K. Walker makes free throw 2 of 2,,52,52
2,2:16.0,,N. Jokić misses 3-pt jump shot from 25 ft,52,52
2,2:11.0,Defensive rebound by N. Batum,,52,52
2,2:05.0,M. Williams misses 2-pt layup from 3 ft,,52,52
2,2:03.0,Offensive rebound by M. Williams,,52,52
2,2:02.0,M. Williams misses 2-pt layup from 3 ft,,52,52
2,1:59.0,,Defensive rebound by G. Harris,52,52
2,1:54.0,,Shooting foul by D. Graham (drawn by N. Jokić),52,52
2,1:54.0,,N. Jokić makes free throw 1 of 2,52,53
2,1:54.0,,N. Jokić makes free throw 2 of 2,52,54
2,1:37.0,Shooting foul by M. Plumlee (drawn by B. Biyombo),,52,54
2,1:37.0,B. Biyombo misses free throw 1 of 2,,52,54
2,1:37.0,Offensive rebound by Team,,52,54
2,1:37.0,M. Kidd-Gilchrist enters the game for M. Williams,,52,54
2,1:37.0,,P. Millsap enters the game for M. Plumlee,52,54
2,1:37.0,B. Biyombo makes free throw 2 of 2,,53,54
2,1:24.0,,P. Millsap makes 2-pt dunk from 1 ft (assist by N. Jokić),53,56
2,1:06.0,D. Graham makes 2-pt layup from 1 ft (assist by N. Batum),,55,56
2,0:50.0,,Shooting foul by M. Kidd-Gilchrist (drawn by P. Millsap),55,56
2,0:50.0,,P. Millsap makes free throw 1 of 2,55,57
2,0:50.0,,M. Beasley enters the game for J. Murray,55,57
2,0:50.0,,P. Millsap makes free throw 2 of 2,55,58
2,0:33.0,K. Walker misses 2-pt jump shot from 16 ft,,55,58
2,0:33.0,Offensive rebound by Team,,55,58
2,0:32.0,,Loose ball foul by J. Hernangómez (drawn by M. Kidd-Gilchrist),55,58
2,0:32.0,M. Kidd-Gilchrist misses free throw 1 of 2,,55,58
2,0:32.0,Offensive rebound by Team,,55,58
2,0:32.0,,J. Murray enters the game for M. Beasley,55,58
2,0:32.0,M. Kidd-Gilchrist makes free throw 2 of 2,,56,58
2,0:17.0,,J. Murray misses 2-pt layup from 2 ft,56,58
2,0:16.0,Defensive rebound by B. Biyombo,,56,58
2,0:02.0,D. Graham misses 3-pt jump shot from 25 ft,,56,58
2,0:02.0,,Defensive rebound by J. Hernangómez,56,58
3,11:46.0,M. Williams makes 3-pt jump shot from 24 ft (assist by D. Graham),,59,58
3,11:28.0,,J. Murray misses 2-pt layup from 4 ft (block by B. Biyombo),59,58
3,11:23.0,Defensive rebound by N. Batum,,59,58
3,11:23.0,Turnover by M. Williams (out of bounds lost ball),,59,58
3,11:10.0,,J. Murray makes 3-pt jump shot from 24 ft (assist by N. Jokić),59,61
3,10:52.0,Turnover by K. Walker (bad pass; steal by N. Jokić),,59,61
3,10:49.0,,N. Jokić makes 2-pt dunk from 2 ft,59,63
3,10:26.0,Turnover by B. Biyombo (bad pass; steal by N. Jokić),,59,63
3,10:21.0,,J. Hernangómez misses 3-pt jump shot from 25 ft,59,63
3,10:18.0,Defensive rebound by B. Biyombo,,59,63
3,10:10.0,D. Graham misses 3-pt jump shot from 26 ft,,59,63
3,10:06.0,,Defensive rebound by M. Plumlee,59,63
3,9:59.0,,J. Murray makes 2-pt dunk from 2 ft (assist by M. Plumlee),59,65
3,9:59.0,Charlotte full timeout,,59,65
3,9:45.0,N. Batum makes 3-pt jump shot from 25 ft (assist by K. Walker),,62,65
3,9:27.0,,J. Murray misses 3-pt jump shot from 25 ft,62,65
3,9:24.0,Defensive rebound by K. Walker,,62,65
3,9:14.0,B. Biyombo misses 2-pt dunk from 2 ft (block by M. Plumlee),,62,65
3,9:13.0,Offensive rebound by Team,,62,65
3,9:07.0,M. Williams misses 3-pt jump shot from 28 ft,,62,65
3,9:04.0,,Defensive rebound by J. Murray,62,65
3,8:55.0,,J. Hernangómez misses 3-pt jump shot from 24 ft,62,65
3,8:51.0,Defensive rebound by B. Biyombo,,62,65
3,8:38.0,K. Walker makes 2-pt jump shot from 11 ft,,64,65
3,8:22.0,,N. Jokić makes 2-pt jump shot from 7 ft (assist by J. Murray),64,67
3,7:57.0,K. Walker misses 2-pt layup from 5 ft (block by N. Jokić),,64,67
3,7:53.0,Offensive rebound by B. Biyombo,,64,67
3,7:51.0,M. Williams makes 3-pt jump shot from 25 ft (assist by D. Graham),,67,67
3,7:35.0,,Personal foul by N. Batum (drawn by J. Murray),67,67
3,7:28.0,,N. Jokić misses 3-pt jump shot from 25 ft,67,67
3,7:25.0,Defensive rebound by D. Graham,,67,67
3,7:17.0,D. Graham misses 2-pt layup from 2 ft,,67,67
3,7:16.0,,Defensive rebound by T. Craig,67,67
3,7:09.0,,T. Craig misses 2-pt jump shot from 3 ft,67,67
3,7:08.0,,Offensive rebound by N. Jokić,67,67
3,7:08.0,,N. Jokić makes 2-pt layup from 1 ft,67,69
3,6:59.0,Offensive foul by B. Biyombo (drawn by N. Jokić),,67,69
3,6:59.0,Turnover by B. Biyombo (offensive foul),,67,69
3,6:45.0,,M. Plumlee makes 2-pt dunk at rim (assist by N. Jokić),67,71
3,6:30.0,B. Biyombo makes 2-pt dunk from 1 ft (assist by N. Batum),,69,71
3,6:18.0,,Turnover by J. Murray (bad pass; steal by N. Batum),69,71
3,6:07.0,K. Walker misses 3-pt jump shot from 26 ft,,69,71
3,6:02.0,,Defensive rebound by J. Murray,69,71
3,5:56.0,,J. Murray misses 2-pt jump shot from 8 ft,69,71
3,5:53.0,Defensive rebound by K. Walker,,69,71
3,5:47.0,M. Williams misses 3-pt jump shot from 24 ft,,69,71
3,5:44.0,,Defensive rebound by N. Jokić,69,71
3,5:29.0,,N. Jokić misses 3-pt jump shot from 25 ft,69,71
3,5:25.0,Defensive rebound by K. Walker,,69,71
3,5:05.0,D. Graham makes 3-pt jump shot from 25 ft (assist by K. Walker),,72,71
3,5:04.0,,Denver full timeout,72,71
3,5:04.0,M. Kidd-Gilchrist enters the game for D. Graham,,72,71
3,5:04.0,M. Monk enters the game for M. Williams,,72,71
3,5:04.0,,G. Harris enters the game for J. Hernangómez,72,71
3,5:04.0,,P. Millsap enters the game for M. Plumlee,72,71
3,4:50.0,,Shooting foul by K. Walker (drawn by T. Craig),72,71
3,4:50.0,,T. Craig makes free throw 1 of 2,72,72
3,4:50.0,,T. Craig misses free throw 2 of 2,72,72
3,4:47.0,Defensive rebound by B. Biyombo,,72,72
3,4:36.0,K. Walker misses 3-pt jump shot from 25 ft,,72,72
3,4:33.0,,Defensive rebound by J. Murray,72,72
3,4:24.0,,N. Jokić makes 2-pt jump shot from 13 ft,72,74
3,4:07.0,Turnover by N. Batum (bad pass; steal by P. Millsap),,72,74
3,4:00.0,,G. Harris makes 3-pt jump shot from 23 ft (assist by J. Murray),72,77
3,3:40.0,K. Walker makes 2-pt jump shot from 11 ft,,74,77
3,3:14.0,,P. Millsap misses 2-pt layup from 2 ft,74,77
3,3:13.0,,Offensive rebound by P. Millsap,74,77
3,3:12.0,,G. Harris misses 3-pt jump shot from 24 ft,74,77
3,3:09.0,Defensive rebound by M. Monk,,74,77
3,2:56.0,M. Kidd-Gilchrist misses 2-pt layup from 2 ft,,74,77
3,2:55.0,,Defensive rebound by N. Jokić,74,77
3,2:51.0,,J. Murray misses 2-pt layup from 2 ft,74,77
3,2:48.0,,Offensive rebound by G. Harris,74,77
3,2:48.0,,G. Harris makes 2-pt layup at rim,74,79
3,2:30.0,N. Batum makes 3-pt jump shot from 22 ft (assist by M. Monk),,77,79
3,2:16.0,,N. Jokić makes 3-pt jump shot from 26 ft,77,82
3,1:46.0,Turnover by M. Monk (out of bounds lost ball),,77,82
3,1:46.0,W. Hernangómez enters the game for B. Biyombo,,77,82
3,1:46.0,T. Parker enters the game for K. Walker,,77,82
3,1:31.0,,P. Millsap makes 2-pt layup from 2 ft (assist by N. Jokić),77,84
3,1:31.0,,Shooting foul by M. Kidd-Gilchrist (drawn by P. Millsap),77,84
3,1:31.0,,M. Morris enters the game for J. Murray,77,84
3,1:31.0,,P. Millsap misses free throw 1 of 1,77,84
3,1:29.0,Defensive rebound by M. Kidd-Gilchrist,,77,84
3,1:19.0,M. Monk makes 2-pt layup from 3 ft,,79,84
3,1:05.0,,P. Millsap makes 2-pt jump shot from 11 ft,79,86
3,0:45.0,N. Batum misses 3-pt jump shot from 25 ft,,79,86
3,0:42.0,Offensive rebound by T. Parker,,79,86
3,0:35.0,W. Hernangómez misses 2-pt hook shot from 4 ft,,79,86
3,0:34.0,Offensive rebound by M. Kidd-Gilchrist,,79,86
3,0:34.0,,M. Plumlee enters the game for N. Jokić,79,86
3,0:27.0,W. Hernangómez makes 2-pt jump shot from 6 ft (assist by T. Parker),,81,86
3,0:08.0,,T. Craig makes 3-pt jump shot from 23 ft (assist by M. Plumlee),81,89
3,0:01.0,Personal take foul by M. Plumlee (drawn by M. Monk),,81,89
3,0:01.0,M. Williams enters the game for M. Kidd-Gilchrist,,81,89
3,0:01.0,,M. Beasley enters the game for M. Morris,81,89
3,0:00.0,M. Monk makes 3-pt jump shot from 25 ft (assist by N. Batum),,84,89
4,11:45.0,,M. Morris makes 3-pt jump shot from 22 ft (assist by G. Harris),84,92
4,11:30.0,W. Hernangómez misses 2-pt layup from 3 ft,,84,92
4,11:29.0,,Defensive rebound by P. Millsap,84,92
4,11:16.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by G. Harris),84,94
4,11:05.0,M. Monk makes 3-pt jump shot from 24 ft,,87,94
4,10:44.0,,M. Plumlee misses 2-pt hook shot from 5 ft,87,94
4,10:42.0,,Offensive rebound by G. Harris,87,94
4,10:39.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by M. Plumlee),87,97
4,10:22.0,M. Monk makes 2-pt jump shot from 7 ft,,89,97
4,10:06.0,,G. Harris misses 2-pt jump shot from 5 ft,89,97
4,10:04.0,,Offensive rebound by M. Morris,89,97
4,9:56.0,,Shooting foul by T. Parker (drawn by M. Morris),89,97
4,9:56.0,,M. Morris makes free throw 1 of 2,89,98
4,9:56.0,,M. Morris makes free throw 2 of 2,89,99
4,9:47.0,M. Monk misses 3-pt jump shot from 25 ft,,89,99
4,9:44.0,Offensive rebound by W. Hernangómez,,89,99
4,9:44.0,Personal foul by M. Plumlee (drawn by M. Monk),,89,99
4,9:38.0,Shooting foul by M. Beasley (drawn by W. Hernangómez),,89,99
4,9:38.0,W. Hernangómez makes free throw 1 of 2,,90,99
4,9:38.0,,T. Lyles enters the game for M. Plumlee,90,99
4,9:38.0,W. Hernangómez makes free throw 2 of 2,,91,99
4,9:21.0,,G. Harris misses 2-pt jump shot from 8 ft,91,99
4,9:19.0,,Offensive rebound by P. Millsap,91,99
4,9:18.0,,P. Millsap misses 2-pt jump shot from 5 ft,91,99
4,9:18.0,,Offensive rebound by Team,91,99
4,9:08.0,,G. Harris misses 3-pt jump shot from 30 ft,91,99
4,9:05.0,Defensive rebound by M. Monk,,91,99
4,8:51.0,M. Monk makes 2-pt jump shot from 14 ft,,93,99
4,8:38.0,,T. Lyles makes 3-pt jump shot from 25 ft (assist by M. Morris),93,102
4,8:19.0,M. Monk misses 3-pt jump shot from 25 ft,,93,102
4,8:16.0,,Defensive rebound by G. Harris,93,102
4,8:08.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by G. Harris),93,105
4,8:08.0,Charlotte full timeout,,93,105
4,8:08.0,M. Kidd-Gilchrist enters the game for M. Bridges,,93,105
4,8:08.0,K. Walker enters the game for W. Hernangómez,,93,105
4,7:43.0,M. Williams makes 2-pt jump shot from 16 ft,,95,105
4,7:26.0,,Shooting foul by T. Parker (drawn by T. Lyles),95,105
4,7:26.0,,T. Lyles makes free throw 1 of 2,95,106
4,7:26.0,,T. Lyles makes free throw 2 of 2,95,107
4,7:04.0,Turnover by K. Walker (lost ball; steal by P. Millsap),,95,107
4,6:54.0,,Turnover by P. Millsap (bad pass; steal by M. Williams),95,107
4,6:42.0,K. Walker misses 3-pt jump shot from 25 ft,,95,107
4,6:39.0,,Defensive rebound by T. Lyles,95,107
4,6:23.0,,M. Morris misses 3-pt jump shot from 25 ft,95,107
4,6:20.0,Defensive rebound by M. Monk,,95,107
4,6:14.0,M. Monk misses 2-pt jump shot from 8 ft,,95,107
4,6:11.0,,Defensive rebound by T. Lyles,95,107
