QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,LA CLIPPERS_ACTION,MILWAUKEE_SCORE,LA CLIPPERS_SCORE
1,0:58.0,,M. Scott makes 3-pt jump shot from 26 ft (assist by L. Williams),20,31
1,0:52.0,Personal foul by M. Scott (drawn by M. Brogdon),,20,31
1,0:52.0,M. Brogdon makes free throw 1 of 2,,21,31
1,0:52.0,M. Brogdon makes free throw 2 of 2,,22,31
1,0:42.0,,L. Williams makes 2-pt layup from 6 ft,22,33
1,0:30.0,D. DiVincenzo makes 2-pt layup from 2 ft (assist by J. Henson),,24,33
1,0:05.0,,L. Williams misses 2-pt jump shot from 21 ft,24,33
1,0:03.0,Defensive rebound by T. Snell,,24,33
1,0:00.0,T. Snell misses 2-pt layup from 3 ft,,24,33
1,0:00.0,Offensive rebound by Team,,24,33
2,11:47.0,,Shooting foul by D. DiVincenzo (drawn by M. Harrell),24,33
2,11:47.0,,M. Harrell makes free throw 1 of 2,24,34
2,11:47.0,,M. Harrell makes free throw 2 of 2,24,35
2,11:34.0,T. Snell misses 3-pt jump shot from 26 ft,,24,35
2,11:29.0,,Defensive rebound by L. Williams,24,35
2,11:28.0,,M. Harrell makes 2-pt layup from 1 ft (assist by T. Wallace),24,37
2,11:28.0,,Shooting foul by T. Snell (drawn by M. Harrell),24,37
2,11:28.0,,M. Harrell makes free throw 1 of 1,24,38
2,11:17.0,J. Henson makes 3-pt jump shot from 23 ft (assist by M. Brogdon),,27,38
2,11:01.0,,S. Thornwell misses 3-pt jump shot from 25 ft,27,38
2,10:59.0,Defensive rebound by G. Antetokounmpo,,27,38
2,10:52.0,D. DiVincenzo misses 3-pt jump shot from 27 ft,,27,38
2,10:49.0,,Defensive rebound by S. Thornwell,27,38
2,10:41.0,,M. Harrell makes 2-pt layup from 3 ft (assist by L. Williams),27,40
2,10:29.0,Turnover by D. DiVincenzo (bad pass),,27,40
2,10:29.0,P. Connaughton enters the game for D. DiVincenzo,,27,40
2,10:29.0,B. Lopez enters the game for J. Henson,,27,40
2,10:19.0,,T. Wallace makes 2-pt layup from 5 ft (assist by L. Williams),27,42
2,10:19.0,Milwaukee full timeout,,27,42
2,10:10.0,Personal foul by S. Thornwell (drawn by G. Antetokounmpo),,27,42
2,10:05.0,G. Antetokounmpo makes 2-pt jump shot from 5 ft (assist by P. Connaughton),,29,42
2,9:52.0,,Turnover by S. Thornwell (bad pass),29,42
2,9:44.0,Def 3 sec tech foul by Team,,29,42
2,9:44.0,M. Brogdon makes technical free throw,,30,42
2,9:36.0,G. Antetokounmpo makes 2-pt dunk from 3 ft (assist by P. Connaughton),,32,42
2,9:21.0,,M. Scott misses 3-pt jump shot from 27 ft,32,42
2,9:19.0,,Offensive rebound by Team,32,42
2,9:19.0,,D. Gallinari enters the game for S. Thornwell,32,42
2,9:03.0,,D. Gallinari misses 2-pt jump shot from 21 ft,32,42
2,9:01.0,Defensive rebound by G. Antetokounmpo,,32,42
2,8:54.0,B. Lopez makes 3-pt jump shot from 25 ft (assist by T. Snell),,35,42
2,8:54.0,,LA Clippers full timeout,35,42
2,8:54.0,E. Bledsoe enters the game for M. Brogdon,,35,42
2,8:54.0,,P. Beverley enters the game for T. Wallace,35,42
2,8:40.0,,P. Beverley makes 3-pt jump shot from 26 ft (assist by L. Williams),35,45
2,8:18.0,G. Antetokounmpo makes 2-pt dunk from 2 ft,,37,45
2,8:02.0,,Turnover by M. Harrell (bad pass; steal by E. Bledsoe),37,45
2,7:54.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,40,45
2,7:42.0,,M. Scott makes 3-pt jump shot from 24 ft (assist by L. Williams),40,48
2,7:29.0,B. Lopez makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),,43,48
2,7:13.0,,M. Scott makes 3-pt jump shot from 28 ft (assist by M. Harrell),43,51
2,6:55.0,P. Connaughton misses 3-pt jump shot from 23 ft,,43,51
2,6:52.0,,Defensive rebound by M. Scott,43,51
2,6:41.0,,M. Scott misses 3-pt jump shot from 27 ft,43,51
2,6:37.0,Defensive rebound by G. Antetokounmpo,,43,51
2,6:28.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,46,51
2,6:07.0,,D. Gallinari misses 3-pt jump shot from 28 ft,46,51
2,6:04.0,Defensive rebound by P. Connaughton,,46,51
2,5:59.0,Offensive foul by G. Antetokounmpo (drawn by D. Gallinari),,46,51
2,5:59.0,Turnover by G. Antetokounmpo (offensive foul),,46,51
2,5:59.0,E. İlyasova enters the game for G. Antetokounmpo,,46,51
2,5:59.0,K. Middleton enters the game for T. Snell,,46,51
2,5:59.0,,S. Gilgeous-Alexander enters the game for M. Harrell,46,51
2,5:59.0,,M. Gortat enters the game for M. Scott,46,51
2,5:59.0,,T. Harris enters the game for L. Williams,46,51
2,5:49.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 13 ft,46,51
2,5:46.0,Defensive rebound by E. Bledsoe,,46,51
2,5:43.0,Shooting foul by M. Gortat (drawn by E. Bledsoe),,46,51
2,5:43.0,E. Bledsoe misses free throw 1 of 2,,46,51
2,5:43.0,Offensive rebound by Team,,46,51
2,5:43.0,E. Bledsoe makes free throw 2 of 2,,47,51
2,5:25.0,,D. Gallinari misses 2-pt dunk from 2 ft (block by B. Lopez),47,51
2,5:23.0,Defensive rebound by E. Bledsoe,,47,51
2,5:20.0,P. Connaughton makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),,50,51
2,5:07.0,,Offensive foul by M. Gortat (drawn by E. İlyasova),50,51
2,5:07.0,,Turnover by M. Gortat (offensive foul),50,51
2,4:54.0,E. Bledsoe makes 2-pt layup from 3 ft (assist by B. Lopez),,52,51
2,4:38.0,,P. Beverley misses 3-pt jump shot from 27 ft,52,51
2,4:37.0,Defensive rebound by Team,,52,51
2,4:19.0,E. İlyasova makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),,55,51
2,4:02.0,,Turnover by T. Harris (bad pass; steal by E. Bledsoe),55,51
2,3:59.0,K. Middleton misses 2-pt layup from 2 ft,,55,51
2,3:56.0,,Defensive rebound by T. Harris,55,51
2,3:51.0,,T. Harris misses 2-pt jump shot from 10 ft,55,51
2,3:46.0,Defensive rebound by E. İlyasova,,55,51
2,3:42.0,E. Bledsoe misses 3-pt jump shot from 27 ft,,55,51
2,3:39.0,,Defensive rebound by P. Beverley,55,51
2,3:21.0,,Turnover by D. Gallinari (bad pass; steal by B. Lopez),55,51
2,3:15.0,K. Middleton misses 2-pt layup from 4 ft (block by S. Gilgeous-Alexander),,55,51
2,3:12.0,,Defensive rebound by P. Beverley,55,51
2,3:07.0,,Personal foul by E. İlyasova (drawn by D. Gallinari),55,51
2,3:07.0,G. Antetokounmpo enters the game for E. Bledsoe,,55,51
2,3:07.0,M. Brogdon enters the game for B. Lopez,,55,51
2,2:59.0,,P. Beverley misses 3-pt jump shot from 25 ft,55,51
2,2:57.0,Defensive rebound by Team,,55,51
2,2:40.0,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by P. Connaughton),,57,51
2,2:27.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 13 ft,57,53
2,2:16.0,K. Middleton makes 3-pt jump shot from 25 ft,,60,53
2,2:07.0,,Personal foul by P. Connaughton (drawn by S. Gilgeous-Alexander),60,53
2,2:01.0,,T. Harris makes 2-pt jump shot from 12 ft,60,55
2,1:44.0,M. Brogdon makes 2-pt layup from 2 ft (assist by K. Middleton),,62,55
2,1:24.0,,Personal foul by K. Middleton (drawn by P. Beverley),62,55
2,1:24.0,,P. Beverley makes free throw 1 of 2,62,56
2,1:24.0,D. DiVincenzo enters the game for P. Connaughton,,62,56
2,1:24.0,,L. Williams enters the game for M. Gortat,62,56
2,1:24.0,,P. Beverley makes free throw 2 of 2,62,57
2,1:17.0,Personal foul by S. Gilgeous-Alexander (drawn by G. Antetokounmpo),,62,57
2,1:04.0,M. Brogdon misses 2-pt layup from 2 ft (block by T. Harris),,62,57
2,1:01.0,,Defensive rebound by D. Gallinari,62,57
2,0:57.0,,D. Gallinari makes 2-pt layup from 1 ft,62,59
2,0:57.0,,Shooting foul by E. İlyasova (drawn by D. Gallinari),62,59
2,0:57.0,,D. Gallinari makes free throw 1 of 1,62,60
2,0:43.0,Turnover by K. Middleton (bad pass; steal by S. Gilgeous-Alexander),,62,60
2,0:39.0,,P. Beverley makes 2-pt layup from 2 ft,62,62
2,0:28.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by M. Brogdon),,64,62
2,0:05.0,,T. Harris misses 3-pt jump shot from 26 ft,64,62
2,0:02.0,Defensive rebound by K. Middleton,,64,62
2,0:00.0,Turnover by K. Middleton (bad pass; steal by T. Harris),,64,62
3,12:00.0,,Violation by Team (delay of game),64,62
3,11:50.0,,Shooting foul by B. Lopez (drawn by T. Harris),64,62
3,11:50.0,,T. Harris makes free throw 1 of 2,64,63
3,11:50.0,,T. Harris makes free throw 2 of 2,64,64
3,11:34.0,B. Lopez makes 3-pt jump shot from 25 ft (assist by K. Middleton),,67,64
3,11:19.0,,Offensive foul by M. Gortat (drawn by K. Middleton),67,64
3,11:19.0,,Turnover by M. Gortat (offensive foul),67,64
3,11:04.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,67,64
3,11:01.0,Offensive rebound by G. Antetokounmpo,,67,64
3,10:59.0,B. Lopez misses 3-pt jump shot from 30 ft,,67,64
3,10:59.0,,Defensive rebound by S. Gilgeous-Alexander,67,64
3,10:57.0,,P. Beverley makes 3-pt jump shot from 23 ft (assist by S. Gilgeous-Alexander),67,67
3,10:33.0,G. Antetokounmpo misses 2-pt jump shot from 12 ft,,67,67
3,10:29.0,,Defensive rebound by P. Beverley,67,67
3,10:22.0,,Turnover by T. Harris (bad pass; steal by G. Antetokounmpo),67,67
3,10:20.0,Shooting foul by P. Beverley (drawn by G. Antetokounmpo),,67,67
3,10:20.0,G. Antetokounmpo misses free throw 1 of 2,,67,67
3,10:20.0,Offensive rebound by Team,,67,67
3,10:20.0,G. Antetokounmpo makes free throw 2 of 2,,68,67
3,10:11.0,,Def 3 sec tech foul by Team,68,67
3,10:11.0,,D. Gallinari misses technical free throw,68,67
3,10:11.0,,Offensive rebound by Team,68,67
3,10:04.0,,D. Gallinari misses 3-pt jump shot from 26 ft,68,67
3,10:02.0,Defensive rebound by B. Lopez,,68,67
3,9:45.0,G. Antetokounmpo misses 2-pt hook shot from 3 ft,,68,67
3,9:42.0,,Defensive rebound by D. Gallinari,68,67
3,9:41.0,,Personal foul by K. Middleton (drawn by D. Gallinari),68,67
3,9:34.0,,D. Gallinari makes 2-pt layup from 2 ft (assist by P. Beverley),68,69
3,9:20.0,K. Middleton makes 2-pt layup from 3 ft (assist by G. Antetokounmpo),,70,69
3,9:07.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 13 ft,70,69
3,9:05.0,Defensive rebound by K. Middleton,,70,69
3,8:53.0,G. Antetokounmpo makes 2-pt jump shot from 13 ft (assist by K. Middleton),,72,69
3,8:37.0,,M. Gortat misses 2-pt hook shot from 11 ft,72,69
3,8:32.0,Defensive rebound by E. Bledsoe,,72,69
3,8:29.0,Offensive foul by K. Middleton (drawn by T. Harris),,72,69
3,8:29.0,Turnover by K. Middleton (offensive foul),,72,69
3,8:18.0,,D. Gallinari misses 3-pt jump shot from 26 ft,72,69
3,8:16.0,Defensive rebound by Team,,72,69
3,8:06.0,M. Brogdon makes 2-pt layup from 4 ft,,74,69
3,8:06.0,,LA Clippers full timeout,74,69
3,8:06.0,E. İlyasova enters the game for K. Middleton,,74,69
3,7:52.0,,T. Harris misses 2-pt layup from 3 ft (block by B. Lopez),74,69
3,7:49.0,Defensive rebound by G. Antetokounmpo,,74,69
3,7:46.0,B. Lopez misses 3-pt jump shot from 27 ft,,74,69
3,7:42.0,,Defensive rebound by T. Harris,74,69
3,7:35.0,,T. Harris misses 2-pt layup from 2 ft,74,69
3,7:32.0,Defensive rebound by G. Antetokounmpo,,74,69
3,7:28.0,E. İlyasova misses 3-pt jump shot from 23 ft,,74,69
3,7:26.0,,Defensive rebound by D. Gallinari,74,69
3,7:18.0,,P. Beverley makes 3-pt jump shot from 23 ft (assist by D. Gallinari),74,72
3,7:00.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,74,72
3,6:58.0,,Defensive rebound by T. Harris,74,72
3,6:51.0,,T. Harris misses 2-pt layup from 2 ft,74,72
3,6:48.0,Defensive rebound by E. İlyasova,,74,72
3,6:42.0,B. Lopez misses 3-pt jump shot from 28 ft,,74,72
3,6:38.0,,Defensive rebound by S. Gilgeous-Alexander,74,72
3,6:32.0,,Turnover by P. Beverley (traveling),74,72
3,6:32.0,D. DiVincenzo enters the game for M. Brogdon,,74,72
3,6:16.0,Turnover by G. Antetokounmpo (3 sec),,74,72
3,5:59.0,,M. Gortat makes 2-pt layup from 2 ft (assist by S. Gilgeous-Alexander),74,74
3,5:48.0,D. DiVincenzo misses 3-pt jump shot from 26 ft,,74,74
3,5:45.0,,Defensive rebound by D. Gallinari,74,74
3,5:38.0,,P. Beverley misses 3-pt jump shot from 26 ft,74,74
3,5:37.0,Defensive rebound by Team,,74,74
3,5:22.0,G. Antetokounmpo misses 2-pt jump shot from 18 ft,,74,74
3,5:18.0,,Defensive rebound by D. Gallinari,74,74
3,5:11.0,,M. Gortat misses 2-pt layup from 4 ft (block by G. Antetokounmpo),74,74
3,5:11.0,,Offensive rebound by Team,74,74
3,5:11.0,J. Henson enters the game for B. Lopez,,74,74
3,5:11.0,,M. Harrell enters the game for P. Beverley,74,74
3,5:11.0,,L. Williams enters the game for M. Gortat,74,74
3,5:01.0,,L. Williams misses 2-pt layup from 3 ft,74,74
3,4:59.0,,Offensive rebound by M. Harrell,74,74
3,4:58.0,,M. Harrell misses 2-pt layup from 4 ft (block by E. Bledsoe),74,74
3,4:58.0,Defensive rebound by E. İlyasova,,74,74
3,4:53.0,D. DiVincenzo misses 2-pt layup from 3 ft,,74,74
3,4:49.0,,Defensive rebound by S. Gilgeous-Alexander,74,74
3,4:45.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,74,76
3,4:24.0,E. Bledsoe misses 2-pt jump shot from 3 ft,,74,76
3,4:23.0,Offensive rebound by E. İlyasova,,74,76
3,4:21.0,E. İlyasova makes 2-pt layup from 2 ft,,76,76
3,4:05.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),76,78
3,3:50.0,Personal foul by M. Harrell (drawn by G. Antetokounmpo),,76,78
3,3:50.0,M. Brogdon enters the game for G. Antetokounmpo,,76,78
3,3:50.0,K. Middleton enters the game for E. Bledsoe,,76,78
3,3:50.0,,M. Scott enters the game for D. Gallinari,76,78
3,3:43.0,D. DiVincenzo makes 2-pt layup from 2 ft (assist by J. Henson),,78,78
3,3:27.0,,T. Harris makes 3-pt jump shot from 27 ft (assist by L. Williams),78,81
3,3:09.0,M. Brogdon misses 3-pt jump shot from 28 ft,,78,81
3,3:06.0,,Defensive rebound by T. Harris,78,81
3,2:57.0,,Turnover by M. Scott (out of bounds lost ball),78,81
3,2:57.0,Milwaukee full timeout,,78,81
3,2:57.0,,T. Wallace enters the game for T. Harris,78,81
3,2:43.0,M. Brogdon misses 3-pt jump shot from 23 ft,,78,81
3,2:42.0,Offensive rebound by M. Brogdon,,78,81
3,2:42.0,Turnover by M. Brogdon (step out of bounds),,78,81
3,2:32.0,,Turnover by M. Harrell (lost ball; steal by J. Henson),78,81
3,2:24.0,K. Middleton misses 3-pt jump shot from 26 ft,,78,81
3,2:23.0,,Defensive rebound by M. Scott,78,81
3,2:22.0,,M. Harrell makes 2-pt layup at rim (assist by M. Scott),78,83
3,2:22.0,,Shooting foul by J. Henson (drawn by M. Harrell),78,83
3,2:22.0,,M. Harrell makes free throw 1 of 1,78,84
3,2:08.0,K. Middleton makes 2-pt jump shot from 16 ft,,80,84
3,1:56.0,,L. Williams misses 2-pt jump shot from 4 ft,80,84
3,1:54.0,Defensive rebound by J. Henson,,80,84
3,1:41.0,E. İlyasova misses 2-pt jump shot from 9 ft (block by M. Scott),,80,84
3,1:39.0,,Defensive rebound by M. Scott,80,84
3,1:31.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 16 ft,80,86
3,1:17.0,J. Henson makes 2-pt layup from 2 ft (assist by K. Middleton),,82,86
3,1:03.0,,L. Williams misses 2-pt layup from 4 ft (block by J. Henson),82,86
3,1:01.0,,Offensive rebound by M. Harrell,82,86
3,1:00.0,,M. Harrell misses 2-pt hook shot from 4 ft,82,86
3,1:00.0,,Offensive rebound by M. Harrell,82,86
3,1:00.0,,Shooting foul by J. Henson (drawn by M. Harrell),82,86
3,1:00.0,,M. Harrell misses free throw 1 of 2,82,86
3,1:00.0,,Offensive rebound by Team,82,86
3,1:00.0,,P. Beverley enters the game for S. Gilgeous-Alexander,82,86
3,1:00.0,,M. Harrell makes free throw 2 of 2,82,87
3,0:52.0,Turnover by K. Middleton (bad pass; steal by M. Scott),,82,87
3,0:50.0,Violation by Team (kicked ball),,82,87
3,0:42.0,,M. Scott misses 3-pt jump shot from 27 ft,82,87
3,0:40.0,Defensive rebound by D. DiVincenzo,,82,87
3,0:35.0,M. Brogdon makes 2-pt layup from 3 ft (assist by J. Henson),,84,87
3,0:30.0,,T. Wallace misses 2-pt layup from 2 ft,84,87
3,0:30.0,,Offensive rebound by M. Harrell,84,87
3,0:29.0,,M. Harrell makes 2-pt layup from 1 ft,84,89
3,0:29.0,,S. Gilgeous-Alexander enters the game for L. Williams,84,89
3,0:05.0,J. Henson misses 3-pt jump shot from 35 ft,,84,89
3,0:02.0,,Defensive rebound by T. Wallace,84,89
4,11:49.0,Shooting foul by M. Harrell (drawn by G. Antetokounmpo),,84,89
4,11:49.0,G. Antetokounmpo misses free throw 1 of 2,,84,89
4,11:49.0,Offensive rebound by Team,,84,89
4,11:49.0,G. Antetokounmpo makes free throw 2 of 2,,85,89
4,11:40.0,,L. Williams makes 2-pt jump shot from 18 ft,85,91
4,11:25.0,Shooting foul by P. Beverley (drawn by M. Brogdon),,85,91
4,11:25.0,M. Brogdon makes free throw 1 of 2,,86,91
4,11:25.0,M. Brogdon makes free throw 2 of 2,,87,91
4,11:08.0,,T. Wallace makes 2-pt jump shot from 4 ft (assist by L. Williams),87,93
4,11:00.0,M. Brogdon misses 2-pt layup from 2 ft,,87,93
4,10:58.0,Offensive rebound by P. Connaughton,,87,93
4,10:56.0,B. Lopez misses 3-pt jump shot from 26 ft,,87,93
4,10:53.0,Offensive rebound by M. Brogdon,,87,93
4,10:52.0,P. Connaughton makes 2-pt dunk from 2 ft (assist by M. Brogdon),,89,93
4,10:42.0,,L. Williams misses 2-pt jump shot from 5 ft,89,93
4,10:40.0,Defensive rebound by B. Lopez,,89,93
4,10:35.0,P. Connaughton misses 3-pt jump shot from 27 ft,,89,93
4,10:31.0,,Defensive rebound by M. Scott,89,93
4,10:24.0,,T. Wallace misses 2-pt layup from 2 ft,89,93
4,10:22.0,,Offensive rebound by M. Harrell,89,93
4,10:20.0,,M. Harrell makes 2-pt dunk from 1 ft,89,95
4,10:10.0,Personal foul by M. Scott (drawn by B. Lopez),,89,95
4,10:10.0,T. Snell enters the game for K. Middleton,,89,95
4,10:10.0,,Violation by Team (delay of game),89,95
4,10:10.0,,Violation by Team (delay of game),89,95
4,10:10.0,M. Brogdon makes technical free throw,,90,95
4,9:57.0,Shooting foul by P. Beverley (drawn by P. Connaughton),,90,95
4,9:57.0,P. Connaughton makes free throw 1 of 2,,91,95
4,9:57.0,P. Connaughton makes free throw 2 of 2,,92,95
4,9:46.0,,P. Beverley makes 3-pt jump shot from 25 ft (assist by L. Williams),92,98
4,9:28.0,Turnover by G. Antetokounmpo (bad pass; steal by L. Williams),,92,98
4,9:24.0,,Turnover by M. Harrell (bad pass; steal by G. Antetokounmpo),92,98
4,9:17.0,M. Brogdon makes 2-pt layup from 3 ft,,94,98
4,9:10.0,,Personal foul by M. Brogdon (drawn by P. Beverley),94,98
