QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DETROIT_ACTION,SAN ANTONIO_SCORE,DETROIT_SCORE
2,0:12.0,Offensive rebound by Team,,59,51
2,0:12.0,J. Poeltl misses free throw 2 of 2,,59,51
2,0:10.0,,Defensive rebound by A. Drummond,59,51
2,0:01.0,,B. Griffin misses 3-pt jump shot from 25 ft,59,51
2,0:00.0,,Offensive rebound by Team,59,51
3,11:40.0,Turnover by J. Poeltl (bad pass; steal by A. Drummond),,59,51
3,11:36.0,,A. Drummond makes 2-pt layup from 1 ft,59,53
3,11:23.0,Personal foul by A. Drummond (drawn by L. Aldridge),,59,53
3,11:16.0,D. DeRozan makes 2-pt jump shot from 17 ft,,61,53
3,10:59.0,,R. Bullock makes 2-pt layup from 3 ft (assist by B. Griffin),61,55
3,10:37.0,L. Aldridge makes 2-pt jump shot from 14 ft,,63,55
3,10:12.0,,R. Bullock misses 3-pt jump shot from 33 ft,63,55
3,10:09.0,Defensive rebound by D. White,,63,55
3,10:07.0,Turnover by D. White (bad pass),,63,55
3,9:51.0,,B. Griffin makes 2-pt layup from 1 ft,63,57
3,9:29.0,D. DeRozan misses 2-pt jump shot from 18 ft,,63,57
3,9:23.0,Offensive rebound by L. Aldridge,,63,57
3,9:23.0,L. Aldridge makes 2-pt layup at rim,,65,57
3,9:12.0,,B. Griffin makes 2-pt layup from 1 ft (assist by R. Jackson),65,59
3,9:00.0,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. White),,68,59
3,8:38.0,,Turnover by B. Brown (bad pass; steal by B. Forbes),68,59
3,8:34.0,L. Aldridge makes 2-pt dunk at rim (assist by D. DeRozan),,70,59
3,8:19.0,,Personal foul by D. DeRozan (drawn by B. Griffin),70,59
3,8:04.0,,R. Jackson misses 2-pt layup from 5 ft,70,59
3,8:04.0,,Offensive rebound by Team,70,59
3,8:04.0,,Turnover by Team (shot clock),70,59
3,7:42.0,D. DeRozan misses 2-pt jump shot from 21 ft,,70,59
3,7:39.0,,Defensive rebound by A. Drummond,70,59
3,7:16.0,,Turnover by Team (shot clock),70,59
3,7:04.0,Turnover by D. DeRozan (lost ball; steal by R. Jackson),,70,59
3,6:48.0,,Turnover by B. Griffin (bad pass),70,59
3,6:48.0,,Detroit full timeout,70,59
3,6:34.0,Offensive foul by L. Aldridge (drawn by A. Drummond),,70,59
3,6:34.0,Turnover by L. Aldridge (offensive foul),,70,59
3,6:34.0,D. Bertāns enters the game for L. Aldridge,,70,59
3,6:24.0,,R. Bullock misses 2-pt jump shot from 16 ft,70,59
3,6:21.0,Defensive rebound by B. Forbes,,70,59
3,6:10.0,B. Forbes misses 2-pt jump shot from 20 ft,,70,59
3,6:07.0,,Defensive rebound by B. Brown,70,59
3,5:54.0,,R. Bullock misses 3-pt jump shot from 23 ft,70,59
3,5:51.0,Defensive rebound by B. Forbes,,70,59
3,5:49.0,Shooting foul by R. Jackson (drawn by D. White),,70,59
3,5:49.0,D. White makes free throw 1 of 2,,71,59
3,5:49.0,P. Gasol enters the game for B. Forbes,,71,59
3,5:49.0,P. Mills enters the game for J. Poeltl,,71,59
3,5:49.0,,J. Calderón enters the game for R. Jackson,71,59
3,5:49.0,D. White makes free throw 2 of 2,,72,59
3,5:32.0,,R. Bullock misses 3-pt jump shot from 24 ft,72,59
3,5:28.0,Defensive rebound by D. Bertāns,,72,59
3,5:21.0,D. DeRozan makes 2-pt layup from 1 ft,,74,59
3,5:21.0,Shooting foul by B. Brown (drawn by D. DeRozan),,74,59
3,5:21.0,D. DeRozan makes free throw 1 of 1,,75,59
3,5:04.0,,A. Drummond makes 2-pt layup from 5 ft (assist by B. Griffin),75,61
3,4:52.0,D. DeRozan makes 2-pt jump shot from 9 ft,,77,61
3,4:38.0,,B. Griffin makes 2-pt layup from 1 ft,77,63
3,4:14.0,P. Mills misses 2-pt jump shot from 5 ft,,77,63
3,4:13.0,,Defensive rebound by A. Drummond,77,63
3,4:00.0,,B. Griffin makes 2-pt layup from 2 ft,77,65
3,3:59.0,San Antonio full timeout,,77,65
3,3:59.0,M. Belinelli enters the game for D. White,,77,65
3,3:59.0,,J. Leuer enters the game for A. Drummond,77,65
3,3:48.0,D. Bertāns misses 3-pt jump shot from 26 ft,,77,65
3,3:45.0,,Defensive rebound by J. Calderón,77,65
3,3:31.0,,J. Leuer makes 2-pt jump shot from 15 ft (assist by J. Calderón),77,67
3,3:15.0,D. DeRozan makes 2-pt layup from 3 ft,,79,67
3,2:51.0,,B. Griffin makes 2-pt hook shot from 7 ft,79,69
3,2:43.0,Personal foul by J. Calderón (drawn by D. DeRozan),,79,69
3,2:43.0,J. Poeltl enters the game for P. Gasol,,79,69
3,2:37.0,D. DeRozan makes 2-pt jump shot from 17 ft (assist by M. Belinelli),,81,69
3,2:18.0,,R. Bullock misses 3-pt jump shot from 26 ft,81,69
3,2:18.0,Defensive rebound by Team,,81,69
3,2:04.0,Shooting foul by J. Leuer (drawn by J. Poeltl),,81,69
3,2:04.0,J. Poeltl misses free throw 1 of 2,,81,69
3,2:04.0,Offensive rebound by Team,,81,69
3,2:04.0,B. Forbes enters the game for D. DeRozan,,81,69
3,2:04.0,,G. Robinson enters the game for R. Bullock,81,69
3,2:04.0,J. Poeltl makes free throw 2 of 2,,82,69
3,1:50.0,,B. Griffin misses 3-pt jump shot from 23 ft,82,69
3,1:47.0,,Offensive rebound by G. Robinson,82,69
3,1:35.0,,G. Robinson misses 3-pt jump shot from 24 ft,82,69
3,1:33.0,Defensive rebound by B. Forbes,,82,69
3,1:26.0,B. Forbes misses 2-pt jump shot from 18 ft,,82,69
3,1:22.0,,Defensive rebound by J. Calderón,82,69
3,1:15.0,,Shooting foul by J. Poeltl (drawn by J. Leuer),82,69
3,1:15.0,,J. Leuer makes free throw 1 of 2,82,70
3,1:15.0,,S. Johnson enters the game for B. Griffin,82,70
3,1:15.0,,J. Leuer makes free throw 2 of 2,82,71
3,1:06.0,P. Mills makes 2-pt jump shot from 16 ft,,84,71
3,0:42.0,,J. Leuer makes 2-pt layup at rim (assist by S. Johnson),84,73
3,0:30.0,P. Mills misses 3-pt jump shot from 25 ft,,84,73
3,0:24.0,,Defensive rebound by Team,84,73
3,0:24.0,D. White enters the game for D. Bertāns,,84,73
3,0:03.0,,S. Johnson misses 3-pt jump shot from 23 ft,84,73
3,0:02.0,,Offensive rebound by J. Leuer,84,73
3,0:01.0,,J. Leuer misses 2-pt layup from 5 ft,84,73
3,0:00.0,,Offensive rebound by Team,84,73
4,11:46.0,,L. Kennard makes 3-pt jump shot from 27 ft (assist by S. Johnson),84,76
4,11:17.0,J. Poeltl makes 2-pt jump shot from 6 ft (assist by D. DeRozan),,86,76
4,11:05.0,,Def 3 sec tech foul by Team,86,76
4,11:05.0,,L. Kennard makes technical free throw,86,77
4,10:56.0,,L. Kennard misses 3-pt jump shot from 25 ft,86,77
4,10:52.0,Defensive rebound by D. White,,86,77
4,10:44.0,Personal foul by J. Calderón (drawn by B. Forbes),,86,77
4,10:29.0,D. White misses 2-pt jump shot from 15 ft,,86,77
4,10:26.0,,Defensive rebound by L. Kennard,86,77
4,10:23.0,,Shooting foul by B. Forbes (drawn by J. Leuer),86,77
4,10:23.0,,J. Leuer makes free throw 1 of 2,86,78
4,10:23.0,L. Aldridge enters the game for J. Poeltl,,86,78
4,10:23.0,,J. Leuer makes free throw 2 of 2,86,79
4,10:05.0,M. Belinelli makes 2-pt jump shot from 9 ft (assist by D. DeRozan),,88,79
4,9:46.0,,J. Leuer makes 2-pt jump shot from 10 ft (assist by J. Calderón),88,81
4,9:33.0,Shooting foul by L. Kennard (drawn by L. Aldridge),,88,81
4,9:33.0,L. Aldridge makes free throw 1 of 2,,89,81
4,9:33.0,L. Aldridge makes free throw 2 of 2,,90,81
4,9:14.0,,L. Kennard misses 2-pt layup from 3 ft,90,81
4,9:13.0,Defensive rebound by D. DeRozan,,90,81
4,9:03.0,M. Belinelli misses 3-pt jump shot from 28 ft,,90,81
4,9:01.0,,Defensive rebound by L. Kennard,90,81
4,8:45.0,,J. Leuer misses 2-pt jump shot from 16 ft,90,81
4,8:42.0,Defensive rebound by D. DeRozan,,90,81
4,8:37.0,Turnover by D. DeRozan (bad pass; steal by J. Leuer),,90,81
4,8:34.0,,Shooting foul by D. DeRozan (drawn by L. Kennard),90,81
4,8:34.0,,L. Kennard misses free throw 1 of 2,90,81
4,8:34.0,,Offensive rebound by Team,90,81
4,8:34.0,D. Bertāns enters the game for M. Belinelli,,90,81
4,8:34.0,P. Mills enters the game for D. DeRozan,,90,81
4,8:34.0,,L. Kennard makes free throw 2 of 2,90,82
4,8:18.0,B. Forbes misses 3-pt jump shot from 25 ft,,90,82
4,8:15.0,Offensive rebound by L. Aldridge,,90,82
4,8:07.0,L. Aldridge makes 2-pt hook shot from 7 ft,,92,82
4,8:07.0,Shooting foul by S. Johnson (drawn by L. Aldridge),,92,82
4,8:07.0,,A. Drummond enters the game for S. Johnson,92,82
4,8:07.0,,B. Griffin enters the game for J. Leuer,92,82
4,8:07.0,L. Aldridge makes free throw 1 of 1,,93,82
4,7:47.0,,B. Griffin misses 2-pt hook shot from 4 ft,93,82
4,7:47.0,,Offensive rebound by Team,93,82
4,7:47.0,,Turnover by Team (shot clock),93,82
4,7:36.0,L. Aldridge makes 2-pt jump shot from 12 ft,,95,82
4,7:36.0,Shooting foul by A. Drummond (drawn by L. Aldridge),,95,82
4,7:36.0,L. Aldridge makes free throw 1 of 1,,96,82
4,7:22.0,,A. Drummond makes 2-pt hook shot from 8 ft (assist by L. Kennard),96,84
4,7:07.0,L. Aldridge misses 2-pt jump shot from 13 ft,,96,84
4,7:05.0,Offensive rebound by D. White,,96,84
4,7:02.0,Shooting foul by G. Robinson (drawn by D. White),,96,84
4,7:02.0,D. White makes free throw 1 of 2,,97,84
4,7:02.0,,R. Bullock enters the game for G. Robinson,97,84
4,7:02.0,D. White makes free throw 2 of 2,,98,84
4,6:49.0,,Shooting foul by L. Aldridge (drawn by B. Griffin),98,84
4,6:49.0,,Detroit full timeout,98,84
4,6:49.0,D. DeRozan enters the game for L. Aldridge,,98,84
4,6:49.0,J. Poeltl enters the game for D. White,,98,84
4,6:49.0,,B. Griffin makes free throw 1 of 2,98,85
4,6:49.0,,B. Griffin makes free throw 2 of 2,98,86
4,6:38.0,B. Forbes misses 3-pt jump shot from 26 ft,,98,86
4,6:35.0,,Defensive rebound by L. Kennard,98,86
4,6:32.0,,Shooting foul by D. DeRozan (drawn by A. Drummond),98,86
4,6:32.0,,A. Drummond makes free throw 1 of 2,98,87
4,6:32.0,,A. Drummond misses free throw 2 of 2,98,87
4,6:30.0,Defensive rebound by D. DeRozan,,98,87
4,6:21.0,D. DeRozan makes 2-pt jump shot from 9 ft,,100,87
4,5:53.0,,Turnover by A. Drummond (lost ball; steal by P. Mills),100,87
4,5:49.0,B. Forbes misses 3-pt jump shot from 26 ft,,100,87
4,5:47.0,Offensive rebound by J. Poeltl,,100,87
4,5:47.0,J. Poeltl makes 2-pt layup at rim,,102,87
4,5:47.0,,Detroit full timeout,102,87
4,5:47.0,,B. Brown enters the game for J. Calderón,102,87
4,5:37.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by B. Griffin),102,89
4,5:18.0,D. DeRozan makes 2-pt layup from 2 ft (assist by J. Poeltl),,104,89
4,4:57.0,,A. Drummond makes 2-pt hook shot from 5 ft (assist by B. Griffin),104,91
4,4:39.0,B. Forbes makes 2-pt jump shot from 10 ft (assist by D. DeRozan),,106,91
4,4:23.0,,B. Griffin misses 2-pt hook shot from 7 ft,106,91
4,4:22.0,Defensive rebound by J. Poeltl,,106,91
4,4:22.0,Personal foul by A. Drummond (drawn by J. Poeltl),,106,91
4,4:22.0,,R. Jackson enters the game for L. Kennard,106,91
4,4:22.0,J. Poeltl misses free throw 1 of 2,,106,91
4,4:22.0,Offensive rebound by Team,,106,91
4,4:22.0,L. Aldridge enters the game for D. Bertāns,,106,91
4,4:22.0,J. Poeltl misses free throw 2 of 2,,106,91
4,4:21.0,,Defensive rebound by B. Griffin,106,91
4,4:09.0,,R. Bullock misses 2-pt jump shot from 17 ft,106,91
4,4:06.0,,Offensive rebound by A. Drummond,106,91
4,4:06.0,,A. Drummond makes 2-pt layup from 1 ft,106,93
4,4:06.0,,Shooting foul by J. Poeltl (drawn by A. Drummond),106,93
4,4:06.0,,A. Drummond misses free throw 1 of 1,106,93
4,4:03.0,Defensive rebound by D. DeRozan,,106,93
4,3:46.0,D. DeRozan misses 2-pt jump shot from 15 ft,,106,93
4,3:44.0,Offensive rebound by D. DeRozan,,106,93
4,3:41.0,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,109,93
4,3:18.0,,R. Bullock misses 3-pt jump shot from 26 ft,109,93
4,3:16.0,Defensive rebound by L. Aldridge,,109,93
4,3:09.0,Turnover by L. Aldridge (bad pass; steal by A. Drummond),,109,93
4,3:06.0,,A. Drummond makes 2-pt jump shot from 2 ft,109,95
4,2:52.0,L. Aldridge makes 2-pt hook shot from 5 ft,,111,95
4,2:42.0,,Turnover by R. Bullock (traveling),111,95
4,2:25.0,P. Mills makes 2-pt layup from 1 ft (assist by L. Aldridge),,113,95
4,2:12.0,,R. Bullock makes 3-pt jump shot from 25 ft (assist by B. Griffin),113,98
4,1:56.0,D. DeRozan misses 2-pt jump shot from 15 ft,,113,98
4,1:52.0,,Defensive rebound by R. Bullock,113,98
4,1:49.0,,R. Jackson makes 2-pt layup from 1 ft,113,100
4,1:49.0,,Shooting foul by J. Poeltl (drawn by R. Jackson),113,100
4,1:49.0,,R. Jackson makes free throw 1 of 1,113,101
4,1:28.0,J. Poeltl misses 2-pt layup from 5 ft (block by A. Drummond),,113,101
4,1:28.0,,Defensive rebound by Team,113,101
4,1:28.0,D. White enters the game for P. Mills,,113,101
4,1:09.0,,R. Jackson misses 3-pt jump shot from 26 ft,113,101
4,1:05.0,,Offensive rebound by B. Brown,113,101
4,0:58.0,,R. Jackson makes 2-pt dunk from 1 ft (assist by A. Drummond),113,103
4,0:56.0,Personal foul by B. Brown (drawn by D. White),,113,103
4,0:56.0,D. White makes free throw 1 of 2,,114,103
