QUARTER,TIME_REMAINING,DETROIT_ACTION,MINNESOTA_ACTION,DETROIT_SCORE,MINNESOTA_SCORE
4,6:00.0,,T. Gibson enters the game for D. Šarić,98,100
4,5:45.0,,D. Rose misses 2-pt layup from 6 ft (block by B. Griffin),98,100
4,5:41.0,,Offensive rebound by T. Gibson,98,100
4,5:35.0,,D. Rose makes 3-pt jump shot from 24 ft (assist by R. Covington),98,103
4,5:15.0,R. Bullock makes 3-pt jump shot from 26 ft (assist by B. Griffin),,101,103
4,5:00.0,,K. Towns misses 3-pt jump shot from 28 ft,101,103
4,4:56.0,Defensive rebound by R. Jackson,,101,103
4,4:53.0,R. Bullock makes 2-pt layup from 2 ft (assist by R. Jackson),,103,103
4,4:30.0,,R. Covington makes 3-pt jump shot from 27 ft (assist by D. Rose),103,106
4,4:11.0,Detroit full timeout,,103,106
4,4:11.0,,A. Wiggins enters the game for J. Okogie,103,106
4,4:04.0,B. Griffin misses 2-pt jump shot from 7 ft (block by K. Towns),,103,106
4,4:02.0,,Defensive rebound by R. Covington,103,106
4,3:58.0,,R. Covington makes 2-pt jump shot from 7 ft,103,108
4,3:31.0,B. Griffin makes 3-pt jump shot from 25 ft,,106,108
4,3:12.0,,D. Rose makes 2-pt jump shot from 20 ft (assist by A. Wiggins),106,110
4,2:52.0,B. Griffin misses 2-pt layup at rim,,106,110
4,2:50.0,,Defensive rebound by T. Gibson,106,110
4,2:33.0,,K. Towns misses 3-pt jump shot from 26 ft,106,110
4,2:29.0,Defensive rebound by A. Drummond,,106,110
4,2:15.0,Shooting foul by T. Gibson (drawn by R. Jackson),,106,110
4,2:15.0,R. Jackson misses free throw 1 of 2,,106,110
4,2:15.0,Offensive rebound by Team,,106,110
4,2:15.0,R. Jackson makes free throw 2 of 2,,107,110
4,1:59.0,,Turnover by K. Towns (step out of bounds),107,110
4,1:44.0,B. Griffin makes 3-pt jump shot from 24 ft (assist by R. Jackson),,110,110
4,1:29.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by D. Rose),110,113
4,1:06.0,R. Bullock makes 3-pt jump shot from 23 ft,,113,113
4,1:00.0,,Minnesota full timeout,113,113
4,0:52.0,,D. Rose makes 2-pt jump shot from 16 ft,113,115
4,0:31.0,R. Jackson makes 3-pt jump shot from 24 ft (assist by B. Griffin),,116,115
4,0:30.0,,Minnesota full timeout,116,115
4,0:30.0,B. Brown enters the game for L. Galloway,,116,115
4,0:30.0,,D. Šarić enters the game for T. Gibson,116,115
4,0:13.0,,D. Rose misses 2-pt jump shot from 5 ft,116,115
4,0:10.0,Defensive rebound by B. Griffin,,116,115
4,0:09.0,Turnover by B. Griffin (bad pass; steal by D. Rose),,116,115
4,0:07.0,,R. Covington makes 3-pt jump shot from 23 ft (assist by D. Šarić),116,118
4,0:07.0,Detroit full timeout,,116,118
4,0:07.0,L. Galloway enters the game for B. Brown,,116,118
4,0:07.0,,T. Gibson enters the game for D. Šarić,116,118
4,0:01.0,R. Jackson misses 2-pt layup from 6 ft,,116,118
4,0:01.0,Offensive rebound by A. Drummond,,116,118
4,0:00.0,A. Drummond makes 2-pt layup at rim,,118,118
1OT,4:42.0,,Turnover by D. Rose (bad pass; steal by A. Drummond),118,118
1OT,4:32.0,L. Galloway misses 3-pt jump shot from 23 ft,,118,118
1OT,4:29.0,Offensive rebound by L. Galloway,,118,118
1OT,4:19.0,R. Jackson misses 2-pt layup from 4 ft,,118,118
1OT,4:19.0,,Defensive rebound by K. Towns,118,118
1OT,4:13.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by D. Rose),118,120
1OT,3:53.0,L. Galloway makes 2-pt layup from 2 ft (assist by R. Jackson),,120,120
1OT,3:46.0,,R. Covington misses 3-pt jump shot from 24 ft,120,120
1OT,3:45.0,Defensive rebound by Team,,120,120
1OT,3:31.0,L. Galloway misses 3-pt jump shot from 27 ft,,120,120
1OT,3:29.0,,Defensive rebound by Team,120,120
1OT,3:08.0,,D. Rose makes 2-pt layup from 1 ft,120,122
1OT,2:44.0,A. Drummond makes 3-pt jump shot from 24 ft,,123,122
1OT,2:21.0,,Shooting foul by A. Drummond (drawn by K. Towns),123,122
1OT,2:21.0,,K. Towns makes free throw 1 of 2,123,123
1OT,2:21.0,B. Brown enters the game for L. Galloway,,123,123
1OT,2:21.0,,K. Towns misses free throw 2 of 2,123,123
1OT,2:18.0,Defensive rebound by A. Drummond,,123,123
1OT,2:06.0,Shooting foul by K. Towns (drawn by A. Drummond),,123,123
1OT,2:06.0,A. Drummond makes free throw 1 of 2,,124,123
1OT,2:06.0,A. Drummond misses free throw 2 of 2,,124,123
1OT,2:04.0,,Defensive rebound by R. Covington,124,123
1OT,1:54.0,,Personal foul by B. Griffin (drawn by D. Šarić),124,123
1OT,1:48.0,,D. Rose misses 2-pt jump shot from 21 ft,124,123
1OT,1:44.0,,Offensive rebound by Team,124,123
1OT,1:36.0,,D. Rose misses 2-pt layup from 3 ft,124,123
1OT,1:33.0,Defensive rebound by B. Griffin,,124,123
1OT,1:28.0,R. Jackson makes 2-pt layup from 1 ft,,126,123
1OT,1:28.0,,Minnesota full timeout,126,123
1OT,1:24.0,,Offensive foul by K. Towns (drawn by B. Griffin),126,123
1OT,1:24.0,,Turnover by K. Towns (offensive foul),126,123
1OT,1:24.0,,T. Gibson enters the game for K. Towns,126,123
1OT,1:05.0,B. Griffin misses 2-pt jump shot from 13 ft,,126,123
1OT,1:03.0,,Defensive rebound by R. Covington,126,123
1OT,0:57.0,,R. Covington misses 3-pt jump shot from 27 ft,126,123
1OT,0:55.0,Defensive rebound by B. Griffin,,126,123
1OT,0:34.0,R. Jackson misses 2-pt jump shot from 17 ft,,126,123
1OT,0:28.0,,Defensive rebound by D. Šarić,126,123
1OT,0:19.0,,D. Rose misses 3-pt jump shot from 25 ft,126,123
1OT,0:16.0,Defensive rebound by B. Brown,,126,123
1OT,0:14.0,Personal take foul by T. Gibson (drawn by R. Jackson),,126,123
1OT,0:14.0,,J. Okogie enters the game for T. Gibson,126,123
1OT,0:12.0,Personal take foul by D. Šarić (drawn by R. Jackson),,126,123
1OT,0:12.0,R. Jackson misses free throw 1 of 2,,126,123
1OT,0:12.0,Offensive rebound by Team,,126,123
1OT,0:12.0,R. Jackson makes free throw 2 of 2,,127,123
1OT,0:12.0,,Minnesota full timeout,127,123
1OT,0:12.0,,A. Tolliver enters the game for J. Okogie,127,123
1OT,0:07.0,,A. Tolliver misses 3-pt jump shot from 27 ft,127,123
1OT,0:07.0,Defensive rebound by Team,,127,123
1OT,0:07.0,Detroit full timeout,,127,123
1OT,0:07.0,J. Calderón enters the game for B. Brown,,127,123
1OT,0:07.0,L. Galloway enters the game for A. Drummond,,127,123
1OT,0:07.0,,J. Okogie enters the game for A. Tolliver,127,123
1OT,0:05.0,Personal take foul by D. Rose (drawn by R. Bullock),,127,123
1OT,0:05.0,R. Bullock makes free throw 1 of 2,,128,123
1OT,0:05.0,B. Brown enters the game for J. Calderón,,128,123
1OT,0:05.0,A. Drummond enters the game for L. Galloway,,128,123
1OT,0:05.0,R. Bullock makes free throw 2 of 2,,129,123
1OT,0:02.0,,J. Okogie misses 3-pt jump shot from 31 ft,129,123
1OT,0:00.0,,Offensive rebound by Team,129,123
