QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,CLEVELAND_ACTION,NEW ORLEANS_SCORE,CLEVELAND_SCORE
1,5:36.0,A. Davis misses free throw 1 of 2,,11,15
1,5:36.0,Offensive rebound by Team,,11,15
1,5:36.0,A. Davis makes free throw 2 of 2,,12,15
1,5:22.0,,J. Clarkson misses 2-pt jump shot from 15 ft,12,15
1,5:21.0,Defensive rebound by Team,,12,15
1,5:21.0,T. Frazier enters the game for E. Payton,,12,15
1,5:10.0,E. Moore misses 2-pt jump shot from 12 ft,,12,15
1,5:07.0,,Defensive rebound by T. Thompson,12,15
1,4:46.0,,C. Sexton misses 2-pt jump shot from 20 ft (block by A. Davis),12,15
1,4:46.0,,Offensive rebound by Team,12,15
1,4:46.0,,Turnover by Team (shot clock),12,15
1,4:36.0,Shooting foul by T. Thompson (drawn by A. Davis),,12,15
1,4:36.0,A. Davis makes free throw 1 of 2,,13,15
1,4:36.0,,C. Frye enters the game for A. Burks,13,15
1,4:36.0,,P. McCaw enters the game for T. Thompson,13,15
1,4:36.0,A. Davis makes free throw 2 of 2,,14,15
1,4:22.0,,P. McCaw misses 3-pt jump shot from 26 ft,14,15
1,4:19.0,Defensive rebound by E. Moore,,14,15
1,4:17.0,A. Davis makes 2-pt dunk from 1 ft (assist by E. Moore),,16,15
1,4:03.0,,C. Osman makes 2-pt jump shot from 11 ft,16,17
1,4:03.0,,Shooting foul by D. Miller (drawn by C. Osman),16,17
1,4:03.0,S. Hill enters the game for E. Moore,,16,17
1,4:03.0,,C. Osman makes free throw 1 of 1,16,18
1,3:56.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by T. Frazier),,19,18
1,3:33.0,,J. Clarkson misses 2-pt layup from 2 ft,19,18
1,3:31.0,Defensive rebound by A. Davis,,19,18
1,3:29.0,D. Miller makes 3-pt jump shot from 26 ft (assist by A. Davis),,22,18
1,3:27.0,,Cleveland full timeout,22,18
1,3:05.0,,Turnover by C. Frye (traveling),22,18
1,2:48.0,Shooting foul by C. Frye (drawn by A. Davis),,22,18
1,2:48.0,A. Davis makes free throw 1 of 2,,23,18
1,2:48.0,F. Jackson enters the game for J. Holiday,,23,18
1,2:48.0,,A. Burks enters the game for C. Osman,23,18
1,2:48.0,,J. Jones enters the game for C. Sexton,23,18
1,2:48.0,A. Davis makes free throw 2 of 2,,24,18
1,2:48.0,,C. Frye misses 3-pt jump shot from 25 ft,24,18
1,2:32.0,Defensive rebound by A. Davis,,24,18
1,2:26.0,A. Davis misses 2-pt jump shot from 17 ft,,24,18
1,2:23.0,,Defensive rebound by J. Jones,24,18
1,2:16.0,,J. Clarkson misses 2-pt jump shot from 15 ft,24,18
1,2:16.0,,Offensive rebound by Team,24,18
1,2:16.0,Loose ball foul by F. Jackson (drawn by C. Frye),,24,18
1,2:05.0,,A. Burks misses 2-pt jump shot from 20 ft,24,18
1,2:00.0,Defensive rebound by F. Jackson,,24,18
1,1:50.0,F. Jackson misses 3-pt jump shot from 24 ft,,24,18
1,1:47.0,,Defensive rebound by J. Clarkson,24,18
1,1:41.0,,J. Clarkson makes 2-pt layup from 1 ft,24,20
1,1:31.0,Shooting foul by J. Jones (drawn by D. Miller),,24,20
1,1:31.0,D. Miller misses free throw 1 of 3,,24,20
1,1:31.0,Offensive rebound by Team,,24,20
1,1:31.0,D. Miller makes free throw 2 of 3,,25,20
1,1:31.0,D. Miller makes free throw 3 of 3,,26,20
1,1:15.0,,J. Clarkson makes 2-pt layup at rim (assist by A. Burks),26,22
1,1:01.0,F. Jackson makes 2-pt jump shot from 8 ft,,28,22
1,0:49.0,,J. Jones misses 3-pt jump shot from 23 ft,28,22
1,0:45.0,,Offensive rebound by A. Burks,28,22
1,0:34.0,,J. Clarkson makes 3-pt jump shot from 25 ft (assist by A. Burks),28,25
1,0:18.0,T. Frazier misses 3-pt jump shot from 26 ft,,28,25
1,0:14.0,,Defensive rebound by J. Jones,28,25
1,0:02.0,,Shooting foul by S. Hill (drawn by J. Clarkson),28,25
1,0:02.0,,J. Clarkson misses free throw 1 of 2,28,25
1,0:02.0,,Offensive rebound by Team,28,25
1,0:02.0,,J. Clarkson makes free throw 2 of 2,28,26
1,0:00.0,Turnover by S. Hill (bad pass; steal by A. Burks),,28,26
1,0:00.0,,A. Burks misses 3-pt jump shot from 40 ft,28,26
1,0:00.0,,Offensive rebound by Team,28,26
2,11:36.0,,Shooting foul by J. Randle (drawn by A. Burks),28,26
2,11:36.0,,A. Burks makes free throw 1 of 2,28,27
2,11:36.0,,A. Burks makes free throw 2 of 2,28,28
2,11:22.0,D. Miller makes 3-pt jump shot from 25 ft (assist by T. Frazier),,31,28
2,11:02.0,,C. Frye misses 2-pt jump shot from 11 ft,31,28
2,11:00.0,Defensive rebound by T. Frazier,,31,28
2,10:54.0,J. Okafor makes 2-pt dunk from 2 ft (assist by J. Randle),,33,28
2,10:40.0,,Personal foul by D. Miller (drawn by C. Frye),33,28
2,10:40.0,,L. Nance enters the game for C. Frye,33,28
2,10:27.0,,A. Burks misses 2-pt jump shot from 10 ft,33,28
2,10:27.0,Defensive rebound by J. Okafor,,33,28
2,10:14.0,J. Randle makes 2-pt layup at rim (assist by D. Miller),,35,28
2,10:00.0,,J. Clarkson makes 2-pt jump shot from 8 ft,35,30
2,9:48.0,F. Jackson makes 2-pt layup from 8 ft,,37,30
2,9:32.0,,J. Clarkson makes 2-pt layup from 1 ft (assist by L. Nance),37,32
2,9:22.0,Personal foul by P. McCaw (drawn by D. Miller),,37,32
2,9:22.0,,C. Osman enters the game for P. McCaw,37,32
2,9:08.0,J. Okafor misses 2-pt layup from 2 ft,,37,32
2,9:03.0,Offensive rebound by J. Okafor,,37,32
2,9:03.0,J. Okafor makes 2-pt layup from 1 ft,,39,32
2,8:52.0,,J. Jones misses 2-pt jump shot from 15 ft,39,32
2,8:52.0,,Offensive rebound by L. Nance,39,32
2,8:46.0,,L. Nance misses 2-pt layup from 1 ft,39,32
2,8:45.0,Defensive rebound by J. Randle,,39,32
2,8:42.0,Turnover by T. Frazier (bad pass; steal by J. Jones),,39,32
2,8:39.0,,C. Osman misses 2-pt layup from 2 ft (block by T. Frazier),39,32
2,8:39.0,,Offensive rebound by Team,39,32
2,8:39.0,,T. Thompson enters the game for J. Jones,39,32
2,8:36.0,,J. Clarkson makes 2-pt hook shot from 10 ft (assist by A. Burks),39,34
2,8:36.0,,Shooting foul by T. Frazier (drawn by J. Clarkson),39,34
2,8:36.0,,J. Clarkson makes free throw 1 of 1,39,35
2,8:18.0,D. Miller misses 2-pt jump shot from 17 ft,,39,35
2,8:12.0,,Defensive rebound by A. Burks,39,35
2,8:05.0,,Personal foul by F. Jackson (drawn by L. Nance),39,35
2,8:05.0,E. Moore enters the game for T. Frazier,,39,35
2,8:05.0,E. Payton enters the game for D. Miller,,39,35
2,7:52.0,,C. Osman misses 2-pt layup from 3 ft,39,35
2,7:50.0,Defensive rebound by J. Randle,,39,35
2,7:40.0,F. Jackson misses 2-pt layup from 1 ft,,39,35
2,7:38.0,,Defensive rebound by T. Thompson,39,35
2,7:29.0,,J. Clarkson misses 2-pt jump shot from 5 ft,39,35
2,7:27.0,Defensive rebound by J. Randle,,39,35
2,7:09.0,J. Randle makes 2-pt jump shot from 2 ft,,41,35
2,7:09.0,Shooting foul by A. Burks (drawn by J. Randle),,41,35
2,7:09.0,J. Holiday enters the game for F. Jackson,,41,35
2,7:09.0,,C. Sexton enters the game for J. Clarkson,41,35
2,7:09.0,J. Randle makes free throw 1 of 1,,42,35
2,6:45.0,,L. Nance misses 2-pt jump shot from 18 ft,42,35
2,6:45.0,,Offensive rebound by Team,42,35
2,6:45.0,,Turnover by Team (shot clock),42,35
2,6:45.0,,Cleveland full timeout,42,35
2,6:30.0,J. Holiday makes 2-pt jump shot from 10 ft,,44,35
2,6:10.0,,T. Thompson misses 2-pt hook shot from 6 ft,44,35
2,6:08.0,Defensive rebound by J. Randle,,44,35
2,6:04.0,J. Randle misses 3-pt jump shot from 26 ft,,44,35
2,6:01.0,,Defensive rebound by C. Osman,44,35
2,5:56.0,,C. Osman makes 2-pt layup from 1 ft,44,37
2,5:45.0,J. Holiday makes 2-pt layup from 1 ft,,46,37
2,5:32.0,,C. Sexton makes 2-pt jump shot from 20 ft,46,39
2,5:11.0,J. Randle makes 2-pt dunk from 1 ft (assist by J. Holiday),,48,39
2,4:51.0,,T. Thompson makes 2-pt hook shot from 8 ft,48,41
2,4:35.0,Shooting foul by C. Osman (drawn by E. Moore),,48,41
2,4:35.0,E. Moore makes free throw 1 of 2,,49,41
2,4:35.0,A. Davis enters the game for J. Okafor,,49,41
2,4:35.0,E. Moore makes free throw 2 of 2,,50,41
2,4:16.0,,C. Osman makes 3-pt jump shot from 24 ft (assist by L. Nance),50,44
2,4:00.0,J. Holiday misses 3-pt jump shot from 24 ft,,50,44
2,3:58.0,,Defensive rebound by T. Thompson,50,44
2,3:58.0,,Personal foul by J. Holiday (drawn by C. Sexton),50,44
2,3:58.0,,C. Sexton makes free throw 1 of 2,50,45
2,3:58.0,,C. Sexton makes free throw 2 of 2,50,46
2,3:48.0,Turnover by A. Davis (traveling),,50,46
2,3:36.0,,Personal foul by A. Davis (drawn by T. Thompson),50,46
2,3:36.0,,T. Thompson makes free throw 1 of 2,50,47
2,3:36.0,,T. Thompson makes free throw 2 of 2,50,48
2,3:28.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by E. Payton),,53,48
2,3:03.0,,T. Thompson makes 2-pt hook shot from 8 ft,53,50
2,2:43.0,E. Payton misses 2-pt layup from 2 ft,,53,50
2,2:39.0,Offensive rebound by A. Davis,,53,50
2,2:39.0,A. Davis makes 2-pt dunk at rim,,55,50
2,2:32.0,,Turnover by C. Sexton (lost ball; steal by A. Davis),55,50
2,2:28.0,E. Moore misses 3-pt jump shot from 24 ft,,55,50
2,2:22.0,Offensive rebound by J. Holiday,,55,50
2,2:14.0,J. Holiday makes 2-pt layup from 1 ft (assist by J. Randle),,57,50
2,1:51.0,,T. Thompson misses 2-pt jump shot from 6 ft,57,50
2,1:49.0,Defensive rebound by J. Randle,,57,50
2,1:42.0,A. Davis makes 2-pt dunk from 2 ft (assist by J. Randle),,59,50
2,1:25.0,,C. Sexton misses 2-pt jump shot from 16 ft,59,50
2,1:23.0,Defensive rebound by J. Randle,,59,50
2,1:22.0,Personal foul by C. Sexton (drawn by J. Randle),,59,50
2,1:22.0,New Orleans full timeout,,59,50
2,1:22.0,,J. Clarkson enters the game for L. Nance,59,50
2,1:22.0,,C. Frye enters the game for C. Osman,59,50
2,1:22.0,,J. Jones enters the game for C. Sexton,59,50
2,1:22.0,,P. McCaw enters the game for T. Thompson,59,50
2,1:01.0,E. Payton makes 2-pt layup from 2 ft (assist by J. Randle),,61,50
2,0:42.0,,J. Jones makes 2-pt jump shot from 5 ft (assist by C. Frye),61,52
2,0:23.0,J. Holiday misses 3-pt jump shot from 26 ft,,61,52
2,0:20.0,,Defensive rebound by J. Jones,61,52
2,0:00.0,,J. Clarkson misses 2-pt jump shot from 16 ft (block by J. Holiday),61,52
2,0:00.0,,Offensive rebound by J. Clarkson,61,52
2,0:00.0,,C. Frye misses 2-pt jump shot from 20 ft,61,52
2,0:00.0,,Offensive rebound by Team,61,52
3,11:37.0,,C. Sexton misses 3-pt jump shot from 25 ft,61,52
3,11:34.0,,Offensive rebound by L. Nance,61,52
3,11:31.0,,A. Burks misses 3-pt jump shot from 25 ft,61,52
3,11:28.0,Defensive rebound by J. Holiday,,61,52
3,11:13.0,E. Moore makes 2-pt jump shot from 18 ft (assist by A. Davis),,63,52
3,10:56.0,,L. Nance misses 3-pt jump shot from 26 ft,63,52
3,10:53.0,,Offensive rebound by T. Thompson,63,52
3,10:50.0,,T. Thompson misses 2-pt hook shot from 10 ft,63,52
3,10:48.0,Defensive rebound by A. Davis,,63,52
3,10:46.0,,Violation by Team (kicked ball),63,52
3,10:32.0,A. Davis misses 2-pt layup from 2 ft,,63,52
3,10:30.0,,Defensive rebound by T. Thompson,63,52
3,10:12.0,,C. Osman misses 3-pt jump shot from 27 ft,63,52
3,10:10.0,Defensive rebound by J. Holiday,,63,52
3,10:06.0,J. Holiday makes 3-pt jump shot from 27 ft,,66,52
3,10:05.0,,Cleveland full timeout,66,52
3,9:49.0,,Turnover by C. Sexton (step out of bounds),66,52
3,9:37.0,J. Holiday makes 3-pt jump shot from 26 ft,,69,52
3,9:22.0,,Turnover by C. Osman (lost ball; steal by E. Moore),69,52
3,9:20.0,E. Moore makes 2-pt layup from 1 ft,,71,52
3,9:20.0,Shooting foul by C. Osman (drawn by E. Moore),,71,52
3,9:20.0,E. Moore makes free throw 1 of 1,,72,52
3,9:04.0,,Turnover by A. Burks (out of bounds lost ball),72,52
3,8:52.0,E. Moore misses 3-pt jump shot from 26 ft,,72,52
3,8:48.0,,Defensive rebound by L. Nance,72,52
3,8:36.0,,C. Sexton misses 3-pt jump shot from 25 ft,72,52
3,8:34.0,Defensive rebound by A. Davis,,72,52
3,8:18.0,A. Davis misses 2-pt jump shot from 13 ft,,72,52
3,8:18.0,Offensive rebound by A. Davis,,72,52
3,8:18.0,Shooting foul by T. Thompson (drawn by A. Davis),,72,52
3,8:18.0,A. Davis makes free throw 1 of 2,,73,52
3,8:18.0,,J. Clarkson enters the game for A. Burks,73,52
3,8:18.0,,C. Frye enters the game for C. Osman,73,52
3,8:18.0,,J. Jones enters the game for C. Sexton,73,52
3,8:18.0,,P. McCaw enters the game for T. Thompson,73,52
3,8:18.0,A. Davis makes free throw 2 of 2,,74,52
3,8:10.0,,Turnover by J. Clarkson (bad pass; steal by J. Randle),74,52
3,8:07.0,J. Randle makes 2-pt dunk from 2 ft,,76,52
3,7:44.0,,J. Jones makes 2-pt jump shot from 9 ft,76,54
3,7:30.0,J. Randle misses 3-pt jump shot from 24 ft,,76,54
3,7:27.0,,Defensive rebound by J. Clarkson,76,54
3,7:18.0,,C. Frye misses 3-pt jump shot from 25 ft,76,54
3,7:16.0,,Offensive rebound by J. Jones,76,54
3,7:13.0,,J. Jones makes 2-pt jump shot from 3 ft,76,56
3,7:01.0,E. Payton makes 2-pt jump shot from 5 ft,,78,56
3,6:49.0,,L. Nance misses 2-pt hook shot from 12 ft,78,56
3,6:46.0,Defensive rebound by J. Randle,,78,56
3,6:36.0,A. Davis makes 2-pt jump shot from 19 ft,,80,56
3,6:13.0,,J. Jones makes 3-pt jump shot from 25 ft (assist by J. Clarkson),80,59
3,6:13.0,F. Jackson enters the game for J. Holiday,,80,59
3,5:52.0,Turnover by E. Payton (bad pass; steal by P. McCaw),,80,59
3,5:52.0,,Turnover by J. Jones (lost ball; steal by E. Payton),80,59
3,5:45.0,E. Payton makes 2-pt layup from 1 ft (assist by F. Jackson),,82,59
3,5:31.0,,J. Clarkson misses 3-pt jump shot from 26 ft,82,59
3,5:31.0,Defensive rebound by J. Randle,,82,59
3,5:22.0,E. Payton makes 3-pt jump shot from 25 ft (assist by J. Randle),,85,59
3,5:22.0,,Cleveland full timeout,85,59
3,5:22.0,D. Miller enters the game for E. Moore,,85,59
3,5:05.0,,P. McCaw misses 3-pt jump shot from 26 ft,85,59
3,5:02.0,Defensive rebound by J. Randle,,85,59
3,4:52.0,J. Randle misses 2-pt jump shot from 9 ft (block by C. Frye),,85,59
3,4:52.0,Offensive rebound by J. Randle,,85,59
3,4:52.0,Shooting foul by C. Frye (drawn by J. Randle),,85,59
3,4:52.0,J. Randle makes free throw 1 of 2,,86,59
3,4:52.0,J. Randle makes free throw 2 of 2,,87,59
3,4:37.0,,Personal foul by E. Payton (drawn by J. Jones),87,59
3,4:29.0,,J. Clarkson misses 2-pt jump shot from 10 ft,87,59
3,4:27.0,Defensive rebound by J. Randle,,87,59
3,4:21.0,J. Randle makes 2-pt layup from 1 ft,,89,59
3,4:00.0,,J. Clarkson misses 3-pt jump shot from 26 ft,89,59
3,3:53.0,,Offensive rebound by J. Jones,89,59
3,3:53.0,,J. Jones makes 2-pt layup at rim,89,61
3,3:51.0,Turnover by E. Payton (lost ball; steal by L. Nance),,89,61
3,3:49.0,,L. Nance makes 2-pt layup from 1 ft,89,63
3,3:49.0,,Shooting foul by A. Davis (drawn by L. Nance),89,63
3,3:49.0,C. Diallo enters the game for J. Randle,,89,63
3,3:49.0,,L. Nance makes free throw 1 of 1,89,64
3,3:36.0,C. Diallo makes 2-pt layup from 1 ft (assist by E. Payton),,91,64
3,3:25.0,,Turnover by J. Clarkson (bad pass; steal by A. Davis),91,64
3,3:21.0,Shooting foul by C. Frye (drawn by E. Payton),,91,64
3,3:21.0,E. Payton makes free throw 1 of 2,,92,64
3,3:21.0,E. Payton makes free throw 2 of 2,,93,64
3,3:09.0,,C. Frye misses 3-pt jump shot from 24 ft,93,64
3,3:07.0,Defensive rebound by F. Jackson,,93,64
3,3:07.0,T. Frazier enters the game for E. Payton,,93,64
3,3:02.0,A. Davis misses 3-pt jump shot from 26 ft,,93,64
3,2:58.0,,Defensive rebound by J. Clarkson,93,64
3,2:49.0,,L. Nance makes 2-pt layup from 1 ft (assist by J. Clarkson),93,66
3,2:49.0,,Shooting foul by A. Davis (drawn by L. Nance),93,66
3,2:49.0,,L. Nance makes free throw 1 of 1,93,67
3,2:34.0,F. Jackson misses 2-pt layup from 5 ft (block by J. Clarkson),,93,67
3,2:31.0,,Defensive rebound by L. Nance,93,67
3,2:28.0,,Shooting foul by F. Jackson (drawn by J. Clarkson),93,67
3,2:28.0,,J. Clarkson makes free throw 1 of 2,93,68
3,2:28.0,,J. Clarkson makes free throw 2 of 2,93,69
3,2:12.0,F. Jackson misses 3-pt jump shot from 23 ft,,93,69
3,2:09.0,Offensive rebound by A. Davis,,93,69
3,2:03.0,,Violation by Team (kicked ball),93,69
3,1:54.0,A. Davis misses 2-pt jump shot from 17 ft,,93,69
3,1:49.0,Offensive rebound by F. Jackson,,93,69
3,1:46.0,A. Davis makes 2-pt dunk at rim (assist by F. Jackson),,95,69
3,1:33.0,,Turnover by J. Jones (lost ball; steal by D. Miller),95,69
3,1:29.0,F. Jackson makes 2-pt layup from 1 ft (assist by T. Frazier),,97,69
3,1:08.0,,Turnover by J. Jones (bad pass; steal by A. Davis),97,69
3,1:06.0,Personal foul by L. Nance (drawn by A. Davis),,97,69
3,1:06.0,A. Davis misses free throw 1 of 2,,97,69
3,1:06.0,Offensive rebound by Team,,97,69
3,1:06.0,A. Davis makes free throw 2 of 2,,98,69
3,0:49.0,,J. Clarkson makes 3-pt jump shot from 25 ft (assist by C. Frye),98,72
3,0:28.0,A. Davis misses 3-pt jump shot from 30 ft,,98,72
3,0:24.0,,Defensive rebound by P. McCaw,98,72
3,0:01.0,,J. Jones misses 3-pt jump shot from 25 ft,98,72
3,0:01.0,Defensive rebound by C. Diallo,,98,72
4,11:43.0,J. Holiday misses 2-pt jump shot from 14 ft,,98,72
4,11:41.0,,Defensive rebound by T. Thompson,98,72
4,11:32.0,,T. Thompson makes 2-pt layup from 1 ft (assist by C. Sexton),98,74
4,11:18.0,Turnover by D. Miller (bad pass; steal by C. Osman),,98,74
4,11:08.0,,J. Clarkson makes 3-pt jump shot from 24 ft (assist by C. Osman),98,77
4,11:08.0,New Orleans full timeout,,98,77
4,10:56.0,Shooting foul by T. Thompson (drawn by J. Randle),,98,77
4,10:56.0,J. Randle makes free throw 1 of 2,,99,77
4,10:56.0,J. Randle makes free throw 2 of 2,,100,77
4,10:45.0,,J. Clarkson misses 3-pt jump shot from 25 ft,100,77
4,10:42.0,Defensive rebound by D. Miller,,100,77
4,10:36.0,D. Miller misses 3-pt jump shot from 26 ft,,100,77
4,10:32.0,Offensive rebound by J. Holiday,,100,77
4,10:29.0,J. Randle makes 2-pt layup from 1 ft (assist by J. Holiday),,102,77
4,10:09.0,,J. Jones misses 2-pt layup from 1 ft,102,77
4,10:03.0,,Offensive rebound by T. Thompson,102,77
4,10:03.0,,T. Thompson makes 2-pt layup at rim,102,79
4,9:55.0,E. Moore makes 3-pt jump shot from 29 ft (assist by J. Randle),,105,79
4,9:55.0,,A. Burks enters the game for J. Clarkson,105,79
4,9:39.0,,Turnover by C. Osman (lost ball; steal by E. Moore),105,79
4,9:32.0,D. Miller makes 3-pt jump shot from 25 ft (assist by E. Moore),,108,79
4,9:10.0,,A. Burks misses 2-pt jump shot from 8 ft,108,79
4,9:08.0,Defensive rebound by J. Okafor,,108,79
4,8:57.0,J. Randle misses 2-pt jump shot from 12 ft,,108,79
4,8:55.0,,Defensive rebound by T. Thompson,108,79
4,8:52.0,,Turnover by T. Thompson (lost ball; steal by J. Holiday),108,79
4,8:51.0,Shooting foul by A. Burks (drawn by J. Okafor),,108,79
4,8:51.0,J. Okafor makes free throw 1 of 2,,109,79
4,8:51.0,J. Okafor makes free throw 2 of 2,,110,79
4,8:35.0,,Turnover by C. Osman (bad pass; steal by J. Holiday),110,79
4,8:31.0,J. Okafor makes 2-pt layup from 1 ft (assist by E. Moore),,112,79
4,8:31.0,,Cleveland full timeout,112,79
4,8:20.0,,Shooting foul by J. Okafor (drawn by C. Sexton),112,79
4,8:20.0,,C. Sexton misses free throw 1 of 2,112,79
4,8:20.0,,Offensive rebound by Team,112,79
4,8:20.0,,C. Sexton makes free throw 2 of 2,112,80
4,7:58.0,J. Okafor misses 2-pt hook shot from 3 ft,,112,80
4,7:55.0,,Defensive rebound by T. Thompson,112,80
4,7:48.0,,T. Thompson misses 2-pt jump shot from 8 ft (block by J. Okafor),112,80
4,7:44.0,Defensive rebound by J. Holiday,,112,80
4,7:35.0,Turnover by E. Moore (bad pass; steal by C. Osman),,112,80
4,7:31.0,,C. Sexton makes 2-pt layup from 2 ft (assist by C. Osman),112,82
4,7:24.0,New Orleans full timeout,,112,82
4,7:24.0,I. Clark enters the game for J. Holiday,,112,82
4,7:24.0,T. Frazier enters the game for E. Moore,,112,82
4,7:09.0,I. Clark misses 2-pt layup from 3 ft,,112,82
4,7:07.0,,Defensive rebound by T. Thompson,112,82
4,6:54.0,,J. Jones misses 2-pt layup from 1 ft (block by I. Clark),112,82
4,6:52.0,Defensive rebound by I. Clark,,112,82
4,6:50.0,Turnover by I. Clark (lost ball; steal by T. Thompson),,112,82
4,6:45.0,,J. Jones makes 2-pt dunk from 2 ft,112,84
4,6:27.0,D. Miller makes 3-pt jump shot from 25 ft (assist by J. Randle),,115,84
4,6:05.0,,C. Osman makes 2-pt jump shot from 7 ft,115,86
4,5:50.0,J. Randle makes 2-pt jump shot from 10 ft,,117,86
4,5:26.0,,C. Sexton makes 2-pt jump shot from 11 ft (assist by T. Thompson),117,88
4,5:14.0,T. Frazier makes 3-pt jump shot from 25 ft (assist by J. Randle),,120,88
4,4:53.0,,Personal foul by J. Okafor (drawn by T. Thompson),120,88
4,4:53.0,C. Diallo enters the game for D. Miller,,120,88
4,4:53.0,F. Jackson enters the game for J. Randle,,120,88
4,4:40.0,,C. Osman misses 2-pt jump shot from 12 ft (block by J. Okafor),120,88
4,4:40.0,Defensive rebound by F. Jackson,,120,88
4,4:40.0,Personal take foul by C. Osman (drawn by F. Jackson),,120,88
4,4:27.0,F. Jackson misses 2-pt jump shot from 17 ft,,120,88
4,4:23.0,,Defensive rebound by T. Thompson,120,88
4,4:13.0,,Personal foul by C. Diallo (drawn by T. Thompson),120,88
4,4:13.0,,C. Frye enters the game for T. Thompson,120,88
4,3:58.0,,A. Burks misses 3-pt jump shot from 27 ft,120,88
4,3:56.0,Defensive rebound by J. Okafor,,120,88
4,3:46.0,I. Clark makes 3-pt jump shot from 23 ft (assist by J. Okafor),,123,88
4,3:31.0,,C. Frye makes 2-pt layup from 1 ft (assist by C. Sexton),123,90
4,3:10.0,C. Diallo makes 2-pt jump shot from 14 ft (assist by I. Clark),,125,90
4,2:54.0,,J. Jones misses 3-pt jump shot from 26 ft,125,90
4,2:53.0,Defensive rebound by Team,,125,90
4,2:53.0,,Loose ball foul by C. Osman (drawn by F. Jackson),125,90
4,2:46.0,Turnover by T. Frazier (bad pass; steal by C. Osman),,125,90
4,2:44.0,,Shooting foul by J. Okafor (drawn by J. Jones),125,90
4,2:44.0,,Technical foul by J. Jones,125,90
4,2:44.0,Technical foul by J. Okafor,,125,90
4,2:44.0,,J. Jones misses free throw 1 of 2,125,90
