QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MILWAUKEE_ACTION,PHILADELPHIA_SCORE,MILWAUKEE_SCORE
1,8:53.0,Shooting foul by N. Mirotić (drawn by J. Butler),,5,3
1,8:53.0,J. Butler misses free throw 1 of 2,,5,3
1,8:53.0,Offensive rebound by Team,,5,3
1,8:53.0,J. Butler makes free throw 2 of 2,,6,3
1,8:38.0,,E. Bledsoe misses 2-pt layup from 2 ft,6,3
1,8:35.0,Defensive rebound by J. Butler,,6,3
1,8:32.0,Turnover by J. Butler (bad pass; steal by N. Mirotić),,6,3
1,8:25.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by E. Bledsoe),6,5
1,8:14.0,J. Embiid misses 2-pt jump shot from 13 ft,,6,5
1,8:14.0,Offensive rebound by B. Simmons,,6,5
1,8:14.0,B. Simmons makes 2-pt dunk from 1 ft,,8,5
1,8:14.0,Shooting foul by K. Middleton (drawn by B. Simmons),,8,5
1,8:14.0,B. Simmons misses free throw 1 of 1,,8,5
1,8:11.0,,Defensive rebound by N. Mirotić,8,5
1,8:04.0,,K. Middleton makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),8,8
1,7:54.0,B. Simmons makes 2-pt dunk from 1 ft,,10,8
1,7:42.0,,G. Antetokounmpo misses 2-pt layup from 2 ft (block by J. Embiid),10,8
1,7:38.0,Defensive rebound by T. Harris,,10,8
1,7:36.0,J. Redick makes 3-pt jump shot from 27 ft (assist by B. Simmons),,13,8
1,7:19.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,13,8
1,7:16.0,Defensive rebound by B. Simmons,,13,8
1,7:10.0,J. Redick makes 2-pt jump shot from 12 ft (assist by B. Simmons),,15,8
1,7:10.0,,Milwaukee full timeout,15,8
1,7:10.0,,E. İlyasova enters the game for N. Mirotić,15,8
1,6:57.0,,K. Middleton misses 3-pt jump shot from 26 ft,15,8
1,6:54.0,Defensive rebound by B. Simmons,,15,8
1,6:47.0,J. Embiid makes 2-pt jump shot from 5 ft,,17,8
1,6:34.0,,G. Antetokounmpo makes 2-pt dunk from 3 ft (assist by K. Middleton),17,10
1,6:20.0,J. Redick misses 2-pt jump shot from 18 ft,,17,10
1,6:17.0,,Defensive rebound by G. Antetokounmpo,17,10
1,6:11.0,,E. İlyasova makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),17,13
1,5:56.0,J. Embiid makes 2-pt jump shot from 17 ft (assist by B. Simmons),,19,13
1,5:48.0,,K. Middleton makes 2-pt dunk from 1 ft,19,15
1,5:48.0,Philadelphia full timeout,,19,15
1,5:48.0,B. Marjanović enters the game for J. Embiid,,19,15
1,5:48.0,T. McConnell enters the game for J. Redick,,19,15
1,5:48.0,M. Scott enters the game for B. Simmons,,19,15
1,5:48.0,,P. Connaughton enters the game for G. Antetokounmpo,19,15
1,5:48.0,,G. Hill enters the game for E. Bledsoe,19,15
1,5:32.0,J. Butler misses 2-pt jump shot from 14 ft,,19,15
1,5:30.0,,Defensive rebound by P. Connaughton,19,15
1,5:25.0,,K. Middleton misses 3-pt jump shot from 27 ft,19,15
1,5:21.0,Defensive rebound by B. Marjanović,,19,15
1,5:13.0,M. Scott misses 2-pt jump shot from 15 ft,,19,15
1,5:10.0,,Defensive rebound by K. Middleton,19,15
1,4:49.0,,B. Lopez misses 3-pt jump shot from 29 ft,19,15
1,4:48.0,,Offensive rebound by Team,19,15
1,4:41.0,,K. Middleton misses 2-pt jump shot from 3 ft,19,15
1,4:39.0,,Offensive rebound by G. Hill,19,15
1,4:34.0,,P. Connaughton makes 3-pt jump shot from 25 ft (assist by G. Hill),19,18
1,4:17.0,B. Marjanović misses 2-pt jump shot from 13 ft (block by B. Lopez),,19,18
1,4:17.0,Offensive rebound by M. Scott,,19,18
1,4:12.0,M. Scott misses 2-pt layup from 4 ft (block by P. Connaughton),,19,18
1,4:08.0,,Defensive rebound by B. Lopez,19,18
1,4:07.0,,E. İlyasova misses 3-pt jump shot from 27 ft,19,18
1,4:04.0,Defensive rebound by T. McConnell,,19,18
1,4:00.0,T. McConnell misses 2-pt jump shot from 14 ft,,19,18
1,3:57.0,,Defensive rebound by K. Middleton,19,18
1,3:46.0,,K. Middleton misses 2-pt jump shot from 20 ft,19,18
1,3:44.0,Defensive rebound by T. McConnell,,19,18
1,3:40.0,Shooting foul by P. Connaughton (drawn by J. Butler),,19,18
1,3:40.0,J. Butler makes free throw 1 of 2,,20,18
1,3:40.0,,D. Wilson enters the game for B. Lopez,20,18
1,3:40.0,J. Butler makes free throw 2 of 2,,21,18
1,3:20.0,,K. Middleton misses 3-pt jump shot from 27 ft,21,18
1,3:16.0,Defensive rebound by T. Harris,,21,18
1,3:07.0,M. Scott misses 3-pt jump shot from 23 ft,,21,18
1,3:03.0,Offensive rebound by J. Butler,,21,18
1,3:03.0,J. Butler misses 2-pt layup from 1 ft,,21,18
1,3:02.0,Offensive rebound by T. McConnell,,21,18
1,3:00.0,M. Scott makes 3-pt jump shot from 23 ft (assist by T. Harris),,24,18
1,2:50.0,,D. Wilson misses 3-pt jump shot from 23 ft,24,18
1,2:47.0,,Offensive rebound by K. Middleton,24,18
1,2:46.0,,G. Hill misses 3-pt jump shot from 27 ft,24,18
1,2:44.0,,Offensive rebound by E. İlyasova,24,18
1,2:42.0,,E. İlyasova makes 2-pt layup from 1 ft,24,20
1,2:24.0,B. Marjanović misses 2-pt jump shot from 19 ft,,24,20
1,2:19.0,Offensive rebound by M. Scott,,24,20
1,2:17.0,T. McConnell makes 2-pt jump shot from 18 ft (assist by M. Scott),,26,20
1,2:05.0,,Personal foul by J. Butler (drawn by D. Wilson),26,20
1,2:05.0,J. Embiid enters the game for J. Butler,,26,20
1,2:05.0,J. Ennis enters the game for T. Harris,,26,20
1,2:05.0,J. Redick enters the game for B. Marjanović,,26,20
1,2:05.0,B. Simmons enters the game for M. Scott,,26,20
1,2:05.0,,G. Antetokounmpo enters the game for G. Hill,26,20
1,2:05.0,,T. Snell enters the game for K. Middleton,26,20
1,1:52.0,,D. Wilson makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),26,23
1,1:45.0,Personal foul by D. Wilson (drawn by B. Simmons),,26,23
1,1:45.0,,N. Mirotić enters the game for E. İlyasova,26,23
1,1:37.0,Turnover by T. McConnell (bad pass; steal by G. Antetokounmpo),,26,23
1,1:26.0,,G. Antetokounmpo misses 2-pt layup from 4 ft,26,23
1,1:22.0,,Offensive rebound by G. Antetokounmpo,26,23
1,1:22.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,26,25
1,1:00.0,T. McConnell makes 2-pt jump shot from 13 ft (assist by J. Embiid),,28,25
1,0:53.0,,G. Antetokounmpo misses 2-pt layup from 3 ft,28,25
1,0:50.0,Defensive rebound by J. Embiid,,28,25
1,0:32.0,J. Ennis makes 3-pt jump shot from 26 ft (assist by T. McConnell),,31,25
1,0:16.0,,P. Connaughton misses 3-pt jump shot from 27 ft,31,25
1,0:13.0,Defensive rebound by J. Ennis,,31,25
1,0:06.0,J. Embiid misses 2-pt jump shot from 21 ft,,31,25
1,0:01.0,,Defensive rebound by G. Antetokounmpo,31,25
1,0:00.0,,Shooting foul by T. McConnell (drawn by G. Antetokounmpo),31,25
1,0:00.0,,G. Antetokounmpo makes free throw 1 of 3,31,26
1,0:00.0,,G. Antetokounmpo makes free throw 2 of 3,31,27
1,0:00.0,,G. Antetokounmpo makes free throw 3 of 3,31,28
2,11:45.0,Turnover by B. Simmons (bad pass; steal by E. Bledsoe),,31,28
2,11:40.0,,D. Wilson makes 2-pt dunk from 1 ft (assist by N. Mirotić),31,30
2,11:31.0,M. Scott misses 3-pt jump shot from 26 ft,,31,30
2,11:30.0,,Defensive rebound by E. Bledsoe,31,30
2,11:12.0,,Shooting foul by J. Ennis (drawn by E. Bledsoe),31,30
2,11:12.0,,E. Bledsoe misses free throw 1 of 2,31,30
2,11:12.0,,Offensive rebound by Team,31,30
2,11:12.0,,E. Bledsoe misses free throw 2 of 2,31,30
2,11:09.0,,Offensive rebound by D. Wilson,31,30
2,10:55.0,,E. Bledsoe makes 2-pt layup from 1 ft,31,32
2,10:43.0,B. Simmons misses 2-pt jump shot from 14 ft,,31,32
2,10:40.0,,Defensive rebound by G. Antetokounmpo,31,32
2,10:32.0,,N. Mirotić misses 3-pt jump shot from 26 ft,31,32
2,10:28.0,Defensive rebound by J. Embiid,,31,32
2,10:19.0,J. Ennis makes 3-pt jump shot from 24 ft (assist by J. Embiid),,34,32
2,10:10.0,,D. Wilson makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),34,35
2,9:56.0,J. Embiid makes 3-pt jump shot from 26 ft (assist by B. Simmons),,37,35
2,9:43.0,,T. Snell misses 3-pt jump shot from 23 ft,37,35
2,9:41.0,Defensive rebound by J. Embiid,,37,35
2,9:37.0,J. Ennis misses 3-pt jump shot from 23 ft,,37,35
2,9:36.0,,Defensive rebound by D. Wilson,37,35
2,9:36.0,,Personal foul by B. Simmons (drawn by D. Wilson),37,35
2,9:22.0,,Turnover by E. Bledsoe (bad pass; steal by J. Embiid),37,35
2,9:17.0,Turnover by J. Redick (lost ball; steal by E. Bledsoe),,37,35
2,9:09.0,,Personal foul by J. Ennis (drawn by G. Antetokounmpo),37,35
2,9:04.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,37,35
2,9:01.0,Defensive rebound by M. Scott,,37,35
2,8:50.0,J. Embiid makes 2-pt jump shot from 5 ft,,39,35
2,8:40.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,39,35
2,8:38.0,Defensive rebound by B. Simmons,,39,35
2,8:36.0,B. Simmons misses 2-pt layup from 1 ft,,39,35
2,8:36.0,Offensive rebound by Team,,39,35
2,8:36.0,,Loose ball foul by D. Wilson (drawn by J. Embiid),39,35
2,8:36.0,,P. Connaughton enters the game for G. Antetokounmpo,39,35
2,8:29.0,J. Embiid makes 2-pt dunk from 1 ft (assist by B. Simmons),,41,35
2,8:09.0,,D. Wilson makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),41,38
2,7:58.0,J. Redick makes 2-pt jump shot from 21 ft,,43,38
2,7:28.0,,E. Bledsoe misses 2-pt jump shot from 3 ft,43,38
2,7:25.0,Defensive rebound by J. Embiid,,43,38
2,7:13.0,B. Simmons misses 2-pt layup from 3 ft,,43,38
2,7:09.0,Offensive rebound by B. Simmons,,43,38
2,7:06.0,J. Ennis misses 2-pt layup from 3 ft,,43,38
2,7:06.0,Offensive rebound by Team,,43,38
2,7:06.0,Personal foul by E. Bledsoe (drawn by M. Scott),,43,38
2,7:06.0,J. Butler enters the game for J. Embiid,,43,38
2,7:06.0,T. Harris enters the game for J. Ennis,,43,38
2,7:06.0,B. Marjanović enters the game for J. Redick,,43,38
2,7:06.0,T. McConnell enters the game for B. Simmons,,43,38
2,7:06.0,,E. İlyasova enters the game for T. Snell,43,38
2,7:06.0,,B. Lopez enters the game for D. Wilson,43,38
2,7:02.0,Turnover by M. Scott (bad pass; steal by N. Mirotić),,43,38
2,6:57.0,,Turnover by N. Mirotić (bad pass),43,38
2,6:57.0,,Milwaukee full timeout,43,38
2,6:57.0,,K. Middleton enters the game for N. Mirotić,43,38
2,6:42.0,J. Butler makes 2-pt jump shot from 17 ft,,45,38
2,6:28.0,,Turnover by B. Lopez (bad pass; steal by J. Butler),45,38
2,6:24.0,T. McConnell makes 2-pt layup from 1 ft (assist by J. Butler),,47,38
2,6:03.0,,K. Middleton misses 2-pt jump shot from 17 ft,47,38
2,6:00.0,Defensive rebound by T. McConnell,,47,38
2,5:55.0,Turnover by T. McConnell (bad pass; steal by P. Connaughton),,47,38
2,5:49.0,,E. Bledsoe makes 2-pt layup from 1 ft (assist by P. Connaughton),47,40
2,5:49.0,Philadelphia full timeout,,47,40
2,5:38.0,T. Harris makes 3-pt jump shot from 27 ft (assist by T. McConnell),,50,40
2,5:26.0,,B. Lopez misses 3-pt jump shot from 27 ft,50,40
2,5:25.0,Defensive rebound by Team,,50,40
2,5:17.0,T. McConnell misses 2-pt layup from 2 ft (block by B. Lopez),,50,40
2,5:17.0,Offensive rebound by Team,,50,40
2,5:05.0,T. Harris makes 2-pt jump shot from 18 ft (assist by T. McConnell),,52,40
2,4:51.0,,Turnover by K. Middleton (lost ball; steal by T. Harris),52,40
2,4:38.0,B. Marjanović makes 2-pt hook shot from 6 ft (assist by J. Butler),,54,40
2,4:14.0,,Turnover by B. Lopez (lost ball; steal by J. Butler),54,40
2,4:07.0,Turnover by T. McConnell (lost ball; steal by E. İlyasova),,54,40
2,3:57.0,,K. Middleton misses 3-pt jump shot from 26 ft,54,40
2,3:54.0,Defensive rebound by J. Butler,,54,40
2,3:46.0,J. Butler misses 2-pt jump shot from 14 ft,,54,40
2,3:46.0,,Defensive rebound by Team,54,40
2,3:46.0,J. Embiid enters the game for B. Marjanović,,54,40
2,3:46.0,J. Redick enters the game for T. McConnell,,54,40
2,3:46.0,B. Simmons enters the game for M. Scott,,54,40
2,3:46.0,,G. Antetokounmpo enters the game for E. Bledsoe,54,40
2,3:46.0,,G. Hill enters the game for P. Connaughton,54,40
2,3:34.0,,B. Lopez makes 2-pt hook shot from 8 ft,54,42
2,3:19.0,T. Harris makes 2-pt jump shot from 11 ft,,56,42
2,3:01.0,,G. Antetokounmpo makes 3-pt jump shot from 27 ft,56,45
2,2:45.0,Turnover by B. Simmons (bad pass; steal by G. Antetokounmpo),,56,45
2,2:39.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,56,45
2,2:39.0,Defensive rebound by Team,,56,45
2,2:39.0,,Loose ball foul by G. Antetokounmpo (drawn by J. Embiid),56,45
2,2:20.0,Shooting foul by K. Middleton (drawn by J. Butler),,56,45
2,2:20.0,J. Butler misses free throw 1 of 3,,56,45
2,2:20.0,Offensive rebound by Team,,56,45
2,2:20.0,J. Butler misses free throw 2 of 3,,56,45
2,2:20.0,Offensive rebound by Team,,56,45
2,2:20.0,J. Butler makes free throw 3 of 3,,57,45
2,2:01.0,,K. Middleton misses 2-pt jump shot from 3 ft,57,45
2,1:58.0,Defensive rebound by J. Embiid,,57,45
2,1:55.0,J. Embiid misses 3-pt jump shot from 26 ft,,57,45
2,1:52.0,,Defensive rebound by G. Antetokounmpo,57,45
2,1:46.0,,B. Lopez makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),57,48
2,1:46.0,,N. Mirotić enters the game for E. İlyasova,57,48
2,1:28.0,J. Embiid makes 2-pt jump shot from 17 ft,,59,48
2,1:19.0,,G. Antetokounmpo makes 3-pt jump shot from 25 ft,59,51
2,0:56.0,J. Embiid makes 3-pt jump shot from 26 ft (assist by J. Butler),,62,51
2,0:51.0,,Shooting foul by J. Embiid (drawn by G. Antetokounmpo),62,51
2,0:51.0,,G. Antetokounmpo makes free throw 1 of 2,62,52
2,0:51.0,,P. Connaughton enters the game for G. Hill,62,52
2,0:51.0,,G. Antetokounmpo makes free throw 2 of 2,62,53
2,0:28.0,J. Embiid misses 2-pt jump shot from 10 ft,,62,53
2,0:26.0,,Defensive rebound by G. Antetokounmpo,62,53
2,0:04.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,62,53
2,0:02.0,Defensive rebound by J. Embiid,,62,53
2,0:00.0,J. Embiid misses 3-pt jump shot from 38 ft,,62,53
2,0:00.0,Offensive rebound by Team,,62,53
3,11:43.0,T. Harris misses 3-pt jump shot from 26 ft,,62,53
3,11:39.0,,Defensive rebound by G. Antetokounmpo,62,53
3,11:25.0,,G. Antetokounmpo makes 3-pt jump shot from 26 ft (assist by K. Middleton),62,56
3,11:11.0,Shooting foul by E. Bledsoe (drawn by J. Redick),,62,56
3,11:11.0,J. Redick makes free throw 1 of 2,,63,56
3,11:11.0,J. Redick misses free throw 2 of 2,,63,56
3,11:08.0,,Defensive rebound by G. Antetokounmpo,63,56
3,11:01.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,63,56
3,11:01.0,Defensive rebound by Team,,63,56
3,10:48.0,J. Redick makes 2-pt jump shot from 17 ft (assist by J. Embiid),,65,56
3,10:42.0,,E. Bledsoe makes 2-pt jump shot from 12 ft,65,58
3,10:42.0,,Shooting foul by J. Redick (drawn by E. Bledsoe),65,58
3,10:42.0,,E. Bledsoe makes free throw 1 of 1,65,59
3,10:23.0,J. Embiid makes 2-pt jump shot from 10 ft (assist by B. Simmons),,67,59
3,10:05.0,,E. Bledsoe misses 2-pt jump shot from 10 ft,67,59
3,10:02.0,Defensive rebound by T. Harris,,67,59
3,9:57.0,J. Redick makes 3-pt jump shot from 23 ft (assist by T. Harris),,70,59
3,9:40.0,,N. Mirotić misses 3-pt jump shot from 23 ft,70,59
3,9:37.0,Defensive rebound by J. Embiid,,70,59
3,9:31.0,J. Embiid misses 3-pt jump shot from 26 ft,,70,59
3,9:30.0,Offensive rebound by J. Butler,,70,59
3,9:28.0,J. Butler makes 2-pt layup from 4 ft,,72,59
3,9:19.0,,Personal foul by J. Butler (drawn by K. Middleton),72,59
3,9:11.0,,K. Middleton makes 2-pt jump shot from 14 ft (assist by G. Antetokounmpo),72,61
3,9:00.0,Personal foul by K. Middleton (drawn by J. Butler),,72,61
3,8:54.0,J. Embiid makes 3-pt jump shot from 28 ft (assist by B. Simmons),,75,61
3,8:44.0,,Shooting foul by J. Embiid (drawn by G. Antetokounmpo),75,61
3,8:44.0,,G. Antetokounmpo makes free throw 1 of 2,75,62
3,8:44.0,,G. Antetokounmpo makes free throw 2 of 2,75,63
3,8:32.0,J. Redick misses 2-pt layup from 1 ft (block by B. Lopez),,75,63
3,8:28.0,,Defensive rebound by G. Antetokounmpo,75,63
3,8:21.0,,G. Antetokounmpo makes 2-pt hook shot from 3 ft,75,65
3,8:10.0,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Embiid),,78,65
3,7:58.0,,G. Antetokounmpo makes 2-pt jump shot from 10 ft,78,67
3,7:49.0,J. Embiid misses 3-pt jump shot from 27 ft,,78,67
3,7:46.0,,Defensive rebound by G. Antetokounmpo,78,67
3,7:42.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,78,67
3,7:38.0,Defensive rebound by J. Embiid,,78,67
3,7:32.0,J. Embiid misses 3-pt jump shot from 27 ft,,78,67
3,7:29.0,Offensive rebound by B. Simmons,,78,67
3,7:27.0,Turnover by B. Simmons (bad pass; steal by B. Lopez),,78,67
3,7:21.0,,N. Mirotić misses 3-pt jump shot from 23 ft,78,67
3,7:21.0,Defensive rebound by Team,,78,67
3,7:21.0,,E. İlyasova enters the game for N. Mirotić,78,67
3,7:10.0,J. Embiid misses 2-pt jump shot from 16 ft,,78,67
3,7:06.0,,Defensive rebound by G. Antetokounmpo,78,67
3,6:56.0,,B. Lopez makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),78,70
3,6:56.0,Philadelphia full timeout,,78,70
3,6:56.0,B. Marjanović enters the game for J. Embiid,,78,70
3,6:56.0,T. McConnell enters the game for J. Redick,,78,70
3,6:56.0,M. Scott enters the game for B. Simmons,,78,70
3,6:42.0,T. Harris misses 2-pt jump shot from 14 ft,,78,70
3,6:39.0,Offensive rebound by T. Harris,,78,70
3,6:37.0,Shooting foul by B. Lopez (drawn by T. Harris),,78,70
3,6:37.0,T. Harris misses free throw 1 of 2,,78,70
3,6:37.0,Offensive rebound by Team,,78,70
3,6:37.0,T. Harris makes free throw 2 of 2,,79,70
3,6:21.0,,K. Middleton makes 2-pt jump shot from 9 ft,79,72
3,6:01.0,B. Marjanović misses 2-pt jump shot from 8 ft (block by B. Lopez),,79,72
3,5:57.0,,Defensive rebound by G. Antetokounmpo,79,72
3,5:54.0,,B. Lopez misses 3-pt jump shot from 29 ft,79,72
3,5:51.0,,Offensive rebound by E. Bledsoe,79,72
3,5:50.0,,E. Bledsoe misses 2-pt layup from 2 ft,79,72
3,5:47.0,Defensive rebound by B. Marjanović,,79,72
3,5:33.0,B. Marjanović misses 2-pt jump shot from 18 ft,,79,72
3,5:30.0,Offensive rebound by M. Scott,,79,72
3,5:23.0,T. Harris makes 2-pt layup from 1 ft,,81,72
3,5:15.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,81,74
3,5:02.0,Personal foul by E. İlyasova (drawn by M. Scott),,81,74
3,5:02.0,,G. Hill enters the game for E. Bledsoe,81,74
3,5:02.0,,D. Wilson enters the game for B. Lopez,81,74
3,4:51.0,T. McConnell misses 2-pt jump shot from 14 ft,,81,74
3,4:48.0,,Defensive rebound by G. Hill,81,74
3,4:41.0,,K. Middleton misses 3-pt jump shot from 27 ft,81,74
3,4:39.0,Defensive rebound by M. Scott,,81,74
3,4:20.0,M. Scott misses 3-pt jump shot from 28 ft,,81,74
3,4:17.0,Offensive rebound by B. Marjanović,,81,74
3,4:17.0,Shooting foul by D. Wilson (drawn by B. Marjanović),,81,74
3,4:17.0,B. Marjanović makes free throw 1 of 2,,82,74
3,4:17.0,,P. Connaughton enters the game for K. Middleton,82,74
3,4:17.0,B. Marjanović makes free throw 2 of 2,,83,74
3,4:01.0,,G. Antetokounmpo makes 2-pt jump shot from 4 ft,83,76
3,4:01.0,,Shooting foul by B. Marjanović (drawn by G. Antetokounmpo),83,76
3,4:01.0,,G. Antetokounmpo makes free throw 1 of 1,83,77
3,3:51.0,Turnover by M. Scott (bad pass),,83,77
3,3:32.0,,P. Connaughton misses 3-pt jump shot from 27 ft,83,77
3,3:29.0,Defensive rebound by B. Marjanović,,83,77
3,3:21.0,J. Butler makes 3-pt jump shot from 27 ft (assist by T. Harris),,86,77
3,3:12.0,,D. Wilson misses 3-pt jump shot from 26 ft,86,77
3,3:09.0,Defensive rebound by T. Harris,,86,77
3,3:05.0,Offensive foul by J. Butler (drawn by E. İlyasova),,86,77
3,3:05.0,Turnover by J. Butler (offensive foul),,86,77
3,3:05.0,J. Embiid enters the game for J. Butler,,86,77
3,3:05.0,J. Ennis enters the game for T. Harris,,86,77
3,3:05.0,J. Redick enters the game for B. Marjanović,,86,77
3,3:05.0,B. Simmons enters the game for M. Scott,,86,77
3,2:46.0,,G. Hill makes 2-pt layup from 1 ft (assist by D. Wilson),86,79
3,2:34.0,T. McConnell misses 3-pt jump shot from 26 ft,,86,79
3,2:28.0,,Defensive rebound by E. İlyasova,86,79
3,2:22.0,,Turnover by E. İlyasova (bad pass),86,79
3,2:22.0,,Milwaukee full timeout,86,79
3,1:59.0,T. McConnell makes 2-pt jump shot from 15 ft (assist by J. Embiid),,88,79
3,1:40.0,,Shooting foul by J. Ennis (drawn by G. Antetokounmpo),88,79
3,1:40.0,,G. Antetokounmpo misses free throw 1 of 2,88,79
3,1:40.0,,Offensive rebound by Team,88,79
3,1:40.0,,G. Antetokounmpo makes free throw 2 of 2,88,80
3,1:22.0,T. McConnell misses 2-pt layup from 3 ft (block by G. Antetokounmpo),,88,80
3,1:18.0,,Defensive rebound by P. Connaughton,88,80
3,1:16.0,,Shooting foul by J. Redick (drawn by G. Antetokounmpo),88,80
3,1:16.0,,G. Antetokounmpo makes free throw 1 of 2,88,81
3,1:16.0,,T. Snell enters the game for E. İlyasova,88,81
3,1:16.0,,G. Antetokounmpo makes free throw 2 of 2,88,82
3,0:51.0,T. McConnell misses 2-pt jump shot from 18 ft,,88,82
3,0:49.0,Offensive rebound by Team,,88,82
3,0:49.0,,Loose ball foul by D. Wilson (drawn by J. Embiid),88,82
3,0:49.0,J. Embiid misses free throw 1 of 2,,88,82
3,0:49.0,Offensive rebound by Team,,88,82
3,0:49.0,M. Scott enters the game for T. McConnell,,88,82
3,0:49.0,,E. Bledsoe enters the game for G. Antetokounmpo,88,82
3,0:49.0,,E. İlyasova enters the game for G. Hill,88,82
3,0:49.0,J. Embiid makes free throw 2 of 2,,89,82
3,0:26.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,89,82
3,0:22.0,Defensive rebound by J. Embiid,,89,82
3,0:01.0,M. Scott misses 3-pt jump shot from 27 ft,,89,82
3,0:01.0,,Defensive rebound by E. Bledsoe,89,82
4,11:39.0,,E. Bledsoe misses 2-pt jump shot from 11 ft,89,82
4,11:37.0,Defensive rebound by M. Scott,,89,82
4,11:34.0,B. Simmons makes 2-pt layup from 2 ft,,91,82
4,11:34.0,Shooting foul by B. Lopez (drawn by B. Simmons),,91,82
4,11:34.0,B. Simmons misses free throw 1 of 1,,91,82
4,11:31.0,,Defensive rebound by K. Middleton,91,82
4,11:17.0,,D. Wilson makes 2-pt jump shot from 12 ft (assist by K. Middleton),91,84
4,10:58.0,J. Embiid makes 2-pt jump shot from 12 ft,,93,84
4,10:33.0,,Turnover by E. Bledsoe (lost ball; steal by J. Redick),93,84
4,10:27.0,Offensive foul by J. Ennis (drawn by K. Middleton),,93,84
4,10:27.0,Turnover by J. Ennis (offensive foul),,93,84
4,10:17.0,,Personal foul by B. Simmons (drawn by B. Lopez),93,84
4,10:11.0,,Shooting foul by J. Embiid (drawn by B. Lopez),93,84
4,10:11.0,,B. Lopez makes free throw 1 of 2,93,85
4,10:11.0,,B. Lopez makes free throw 2 of 2,93,86
4,9:53.0,J. Embiid makes 2-pt layup from 2 ft,,95,86
4,9:40.0,,D. Wilson misses 3-pt jump shot from 26 ft,95,86
4,9:36.0,Defensive rebound by B. Simmons,,95,86
4,9:34.0,M. Scott makes 3-pt jump shot from 26 ft (assist by B. Simmons),,98,86
4,9:34.0,,Milwaukee full timeout,98,86
4,9:34.0,,G. Antetokounmpo enters the game for P. Connaughton,98,86
4,9:34.0,,N. Mirotić enters the game for D. Wilson,98,86
