QUARTER,TIME_REMAINING,BOSTON_ACTION,DETROIT_ACTION,BOSTON_SCORE,DETROIT_SCORE
3,6:19.0,,B. Griffin makes 2-pt hook shot from 8 ft,66,74
3,6:17.0,Boston full timeout,,66,74
3,6:17.0,G. Hayward enters the game for A. Baynes,,66,74
3,6:17.0,D. Theis enters the game for M. Morris,,66,74
3,6:00.0,Turnover by K. Irving (lost ball; steal by A. Drummond),,66,74
3,5:42.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by L. Kennard),66,76
3,5:25.0,K. Irving misses 2-pt jump shot from 9 ft,,66,76
3,5:21.0,Offensive rebound by D. Theis,,66,76
3,5:20.0,D. Theis makes 2-pt layup from 1 ft,,68,76
3,5:07.0,,A. Drummond makes 2-pt dunk from 2 ft (assist by B. Griffin),68,78
3,4:45.0,D. Theis misses 2-pt layup from 6 ft (block by A. Drummond),,68,78
3,4:43.0,,Defensive rebound by A. Drummond,68,78
3,4:27.0,,Personal foul by J. Tatum (drawn by B. Griffin),68,78
3,4:14.0,,Turnover by B. Griffin (bad pass; steal by M. Smart),68,78
3,4:12.0,Personal foul by L. Kennard (drawn by K. Irving),,68,78
3,4:07.0,J. Tatum misses 3-pt jump shot from 26 ft,,68,78
3,4:01.0,Offensive rebound by M. Smart,,68,78
3,3:55.0,G. Hayward makes 2-pt hook shot from 8 ft,,70,78
3,3:47.0,,Detroit full timeout,70,78
3,3:47.0,J. Brown enters the game for K. Irving,,70,78
3,3:47.0,T. Rozier enters the game for J. Tatum,,70,78
3,3:47.0,,J. Calderón enters the game for R. Jackson,70,78
3,3:36.0,,B. Griffin makes 2-pt layup from 4 ft,70,80
3,3:36.0,,Shooting foul by J. Brown (drawn by B. Griffin),70,80
3,3:36.0,,B. Griffin misses free throw 1 of 1,70,80
3,3:36.0,Defensive rebound by J. Brown,,70,80
3,3:24.0,Personal foul by A. Drummond (drawn by J. Brown),,70,80
3,3:17.0,G. Hayward misses 2-pt jump shot from 8 ft,,70,80
3,3:15.0,,Defensive rebound by A. Drummond,70,80
3,3:06.0,,A. Drummond misses 2-pt layup from 3 ft,70,80
3,3:02.0,Defensive rebound by J. Brown,,70,80
3,3:01.0,G. Hayward misses 3-pt jump shot from 26 ft,,70,80
3,2:58.0,,Defensive rebound by R. Bullock,70,80
3,2:49.0,,Turnover by B. Griffin (bad pass),70,80
3,2:33.0,M. Smart misses 2-pt layup from 5 ft,,70,80
3,2:32.0,Offensive rebound by M. Smart,,70,80
3,2:32.0,Shooting foul by L. Kennard (drawn by M. Smart),,70,80
3,2:32.0,M. Smart misses free throw 1 of 2,,70,80
3,2:32.0,Offensive rebound by Team,,70,80
3,2:32.0,,L. Galloway enters the game for L. Kennard,70,80
3,2:32.0,M. Smart makes free throw 2 of 2,,71,80
3,2:09.0,,A. Drummond misses 2-pt layup from 3 ft,71,80
3,2:08.0,Defensive rebound by M. Smart,,71,80
3,2:03.0,G. Hayward misses 2-pt jump shot from 11 ft,,71,80
3,1:59.0,,Defensive rebound by A. Drummond,71,80
3,1:49.0,,Personal foul by J. Brown (drawn by B. Griffin),71,80
3,1:49.0,,B. Griffin makes free throw 1 of 2,71,81
3,1:49.0,,B. Griffin makes free throw 2 of 2,71,82
3,1:36.0,Turnover by D. Theis (bad pass; steal by J. Calderón),,71,82
3,1:30.0,,R. Bullock makes 3-pt jump shot from 23 ft (assist by J. Calderón),71,85
3,1:04.0,J. Brown misses 2-pt layup from 5 ft,,71,85
3,1:02.0,,Defensive rebound by A. Drummond,71,85
3,0:45.0,,R. Bullock misses 3-pt jump shot from 23 ft,71,85
3,0:42.0,Defensive rebound by T. Rozier,,71,85
3,0:38.0,M. Smart makes 3-pt jump shot from 23 ft (assist by T. Rozier),,74,85
3,0:31.0,,J. Calderón misses 3-pt jump shot from 27 ft,74,85
3,0:28.0,Defensive rebound by D. Theis,,74,85
3,0:21.0,M. Smart makes 3-pt jump shot from 24 ft (assist by D. Theis),,77,85
3,0:06.0,,Offensive foul by B. Griffin (drawn by D. Theis),77,85
3,0:06.0,,Turnover by B. Griffin (offensive foul),77,85
3,0:06.0,K. Irving enters the game for D. Theis,,77,85
3,0:06.0,,B. Brown enters the game for B. Griffin,77,85
3,0:06.0,,Technical foul by B. Griffin,77,85
3,0:06.0,K. Irving makes technical free throw,,78,85
3,0:01.0,K. Irving misses 2-pt layup from 2 ft,,78,85
3,0:01.0,Offensive rebound by G. Hayward,,78,85
3,0:00.0,G. Hayward misses 2-pt layup from 2 ft,,78,85
3,0:00.0,Offensive rebound by Team,,78,85
4,12:00.0,,L. Galloway misses 3-pt jump shot from 27 ft,78,85
4,11:42.0,,Offensive rebound by A. Drummond,78,85
4,11:42.0,,A. Drummond makes 2-pt layup from 1 ft,78,87
4,11:42.0,,Shooting foul by D. Theis (drawn by A. Drummond),78,87
4,11:42.0,,A. Drummond makes free throw 1 of 1,78,88
4,11:29.0,M. Smart misses 2-pt jump shot from 7 ft,,78,88
4,11:28.0,,Defensive rebound by Team,78,88
4,11:28.0,A. Baynes enters the game for D. Theis,,78,88
4,11:13.0,,L. Galloway misses 3-pt jump shot from 24 ft,78,88
4,11:10.0,,Offensive rebound by L. Galloway,78,88
4,11:09.0,,L. Galloway makes 2-pt layup from 1 ft,78,90
4,10:54.0,Shooting foul by B. Brown (drawn by T. Rozier),,78,90
4,10:54.0,T. Rozier misses free throw 1 of 2,,78,90
4,10:54.0,Offensive rebound by Team,,78,90
4,10:54.0,M. Morris enters the game for M. Smart,,78,90
4,10:54.0,T. Rozier makes free throw 2 of 2,,79,90
4,10:41.0,,Offensive foul by J. Calderón (drawn by T. Rozier),79,90
4,10:41.0,,Turnover by J. Calderón (offensive foul),79,90
4,10:32.0,T. Rozier misses 3-pt jump shot from 27 ft,,79,90
4,10:28.0,,Defensive rebound by A. Drummond,79,90
4,10:21.0,,J. Calderón makes 2-pt jump shot from 14 ft,79,92
4,10:05.0,T. Rozier misses 2-pt layup from 5 ft (block by B. Brown),,79,92
4,10:03.0,,Defensive rebound by A. Drummond,79,92
4,9:43.0,,B. Brown misses 3-pt jump shot from 23 ft,79,92
4,9:42.0,,Offensive rebound by A. Drummond,79,92
4,9:42.0,,Turnover by Team (shot clock),79,92
4,9:42.0,K. Irving enters the game for G. Hayward,,79,92
4,9:27.0,Turnover by A. Baynes (bad pass; steal by S. Johnson),,79,92
4,9:20.0,,S. Johnson makes 2-pt layup from 5 ft,79,94
4,9:20.0,Boston full timeout,,79,94
4,9:20.0,,J. Leuer enters the game for A. Drummond,79,94
4,9:05.0,K. Irving misses 2-pt layup from 2 ft,,79,94
4,9:04.0,,Defensive rebound by J. Leuer,79,94
4,8:51.0,,Personal foul by A. Baynes (drawn by J. Calderón),79,94
4,8:51.0,R. Williams enters the game for A. Baynes,,79,94
4,8:37.0,,Shooting foul by M. Morris (drawn by J. Calderón),79,94
4,8:37.0,,J. Calderón misses free throw 1 of 2,79,94
4,8:37.0,,Offensive rebound by Team,79,94
4,8:37.0,,J. Calderón makes free throw 2 of 2,79,95
4,8:24.0,Turnover by J. Brown (bad pass),,79,95
4,8:10.0,,S. Johnson misses 3-pt jump shot from 26 ft,79,95
4,8:08.0,Defensive rebound by T. Rozier,,79,95
4,8:03.0,Turnover by T. Rozier (bad pass; steal by J. Calderón),,79,95
4,7:59.0,,J. Leuer misses 2-pt layup from 1 ft,79,95
4,7:54.0,Defensive rebound by M. Morris,,79,95
4,7:47.0,M. Morris misses 3-pt jump shot from 26 ft,,79,95
4,7:45.0,,Defensive rebound by J. Calderón,79,95
4,7:28.0,,Turnover by J. Leuer (3 sec),79,95
4,7:28.0,J. Tatum enters the game for J. Brown,,79,95
4,7:18.0,Personal foul by J. Calderón (drawn by J. Tatum),,79,95
4,7:18.0,,B. Griffin enters the game for S. Johnson,79,95
4,7:10.0,K. Irving misses 3-pt jump shot from 28 ft,,79,95
4,7:07.0,,Defensive rebound by J. Calderón,79,95
4,7:01.0,,Turnover by J. Calderón (bad pass; steal by K. Irving),79,95
4,6:58.0,Shooting foul by J. Calderón (drawn by K. Irving),,79,95
4,6:58.0,K. Irving makes free throw 1 of 2,,80,95
4,6:58.0,K. Irving misses free throw 2 of 2,,80,95
4,6:56.0,,Defensive rebound by B. Brown,80,95
4,6:50.0,,Detroit full timeout,80,95
4,6:50.0,,A. Drummond enters the game for J. Leuer,80,95
4,6:35.0,,L. Galloway misses 3-pt jump shot from 23 ft,80,95
4,6:33.0,,Offensive rebound by A. Drummond,80,95
4,6:32.0,,A. Drummond misses 2-pt layup from 1 ft,80,95
4,6:29.0,Defensive rebound by M. Morris,,80,95
4,6:24.0,Shooting foul by B. Brown (drawn by J. Tatum),,80,95
4,6:24.0,Technical foul by J. Tatum,,80,95
4,6:24.0,,L. Galloway misses technical free throw,80,95
4,6:24.0,Defensive rebound by Team,,80,95
4,6:24.0,J. Tatum makes free throw 1 of 2,,81,95
4,6:24.0,J. Tatum misses free throw 2 of 2,,81,95
4,6:17.0,,Defensive rebound by A. Drummond,81,95
4,6:02.0,,L. Galloway misses 3-pt jump shot from 25 ft,81,95
4,5:56.0,Defensive rebound by R. Williams,,81,95
4,5:45.0,T. Rozier misses 3-pt jump shot from 27 ft,,81,95
4,5:43.0,,Defensive rebound by A. Drummond,81,95
4,5:22.0,,L. Galloway makes 2-pt layup from 3 ft (assist by J. Calderón),81,97
4,5:16.0,Personal foul by J. Calderón (drawn by J. Tatum),,81,97
4,5:16.0,J. Tatum makes free throw 1 of 2,,82,97
4,5:16.0,G. Hayward enters the game for M. Morris,,82,97
4,5:16.0,M. Smart enters the game for T. Rozier,,82,97
4,5:16.0,,R. Bullock enters the game for L. Galloway,82,97
4,5:16.0,J. Tatum makes free throw 2 of 2,,83,97
4,5:01.0,,Turnover by R. Bullock (bad pass; steal by M. Smart),83,97
4,4:57.0,Shooting foul by R. Bullock (drawn by M. Smart),,83,97
4,4:57.0,M. Smart makes free throw 1 of 2,,84,97
4,4:57.0,M. Smart makes free throw 2 of 2,,85,97
4,4:36.0,,B. Brown misses 2-pt layup from 6 ft (block by J. Tatum),85,97
