QUARTER,TIME_REMAINING,UTAH_ACTION,CLEVELAND_ACTION,UTAH_SCORE,CLEVELAND_SCORE
2,11:09.0,,J. Clarkson makes 2-pt layup from 1 ft (assist by C. Frye),23,25
2,10:56.0,Turnover by D. Exum (lost ball; steal by J. Clarkson),,23,25
2,10:55.0,,Personal take foul by J. Ingles (drawn by J. Clarkson),23,25
2,10:50.0,,Shooting foul by D. Exum (drawn by A. Burks),23,25
2,10:50.0,,A. Burks misses free throw 1 of 2,23,25
2,10:50.0,,Offensive rebound by Team,23,25
2,10:50.0,,A. Burks makes free throw 2 of 2,23,26
2,10:43.0,Personal foul by J. Jones (drawn by K. Korver),,23,26
2,10:31.0,J. Crowder makes 2-pt jump shot from 21 ft (assist by D. Exum),,25,26
2,10:15.0,,A. Burks makes 3-pt jump shot from 26 ft,25,29
2,10:02.0,Personal foul by J. Jones (drawn by J. Crowder),,25,29
2,10:02.0,T. Sefolosha enters the game for J. Crowder,,25,29
2,10:02.0,,R. Hood enters the game for J. Jones,25,29
2,9:56.0,J. Ingles misses 3-pt jump shot from 25 ft,,25,29
2,9:55.0,Offensive rebound by D. Favors,,25,29
2,9:55.0,D. Favors misses 2-pt layup from 2 ft,,25,29
2,9:51.0,,Defensive rebound by C. Frye,25,29
2,9:44.0,,Shooting foul by D. Exum (drawn by R. Hood),25,29
2,9:44.0,,R. Hood makes free throw 1 of 2,25,30
2,9:44.0,,R. Hood makes free throw 2 of 2,25,31
2,9:33.0,Turnover by D. Exum (bad pass; steal by R. Hood),,25,31
2,9:10.0,,R. Hood makes 3-pt jump shot from 26 ft,25,34
2,8:58.0,Offensive foul by K. Korver (drawn by P. McCaw),,25,34
2,8:58.0,Turnover by K. Korver (offensive foul),,25,34
2,8:58.0,R. O'Neale enters the game for D. Exum,,25,34
2,8:58.0,R. Rubio enters the game for K. Korver,,25,34
2,8:35.0,,J. Clarkson misses 3-pt jump shot from 26 ft,25,34
2,8:33.0,Defensive rebound by T. Sefolosha,,25,34
2,8:19.0,R. Rubio misses 3-pt jump shot from 24 ft,,25,34
2,8:16.0,,Defensive rebound by C. Frye,25,34
2,8:12.0,,Turnover by P. McCaw (step out of bounds),25,34
2,8:12.0,,C. Sexton enters the game for P. McCaw,25,34
2,7:48.0,J. Ingles misses 3-pt jump shot from 27 ft,,25,34
2,7:46.0,,Defensive rebound by R. Hood,25,34
2,7:31.0,,C. Sexton misses 2-pt jump shot from 21 ft,25,34
2,7:29.0,Defensive rebound by J. Ingles,,25,34
2,7:28.0,Utah full timeout,,25,34
2,7:28.0,R. Gobert enters the game for D. Favors,,25,34
2,7:28.0,D. Mitchell enters the game for J. Ingles,,25,34
2,7:28.0,,L. Nance enters the game for J. Clarkson,25,34
2,7:28.0,,T. Thompson enters the game for C. Frye,25,34
2,7:17.0,R. O'Neale misses 3-pt jump shot from 28 ft,,25,34
2,7:13.0,,Defensive rebound by T. Thompson,25,34
2,6:59.0,,Personal foul by R. O'Neale (drawn by A. Burks),25,34
2,6:48.0,,A. Burks misses 2-pt jump shot from 16 ft,25,34
2,6:45.0,Defensive rebound by R. Gobert,,25,34
2,6:23.0,R. O'Neale makes 2-pt layup at rim (assist by R. Rubio),,27,34
2,6:03.0,,C. Sexton misses 2-pt jump shot from 10 ft,27,34
2,6:01.0,Defensive rebound by T. Sefolosha,,27,34
2,5:55.0,R. Gobert makes 2-pt layup from 1 ft (assist by R. Rubio),,29,34
2,5:44.0,,T. Thompson misses 2-pt hook shot from 8 ft (block by R. Gobert),29,34
2,5:39.0,Defensive rebound by T. Sefolosha,,29,34
2,5:36.0,T. Sefolosha misses 2-pt layup from 1 ft,,29,34
2,5:36.0,,Defensive rebound by L. Nance,29,34
2,5:30.0,,Personal foul by R. Gobert (drawn by T. Thompson),29,34
2,5:30.0,,T. Thompson makes free throw 1 of 2,29,35
2,5:30.0,,C. Osman enters the game for A. Burks,29,35
2,5:30.0,,T. Thompson makes free throw 2 of 2,29,36
2,5:14.0,R. Rubio makes 3-pt jump shot from 26 ft (assist by D. Mitchell),,32,36
2,5:03.0,,Personal foul by R. O'Neale (drawn by C. Sexton),32,36
2,5:03.0,,C. Sexton makes free throw 1 of 2,32,37
2,5:03.0,J. Crowder enters the game for T. Sefolosha,,32,37
2,5:03.0,,C. Sexton makes free throw 2 of 2,32,38
2,4:52.0,R. Rubio makes 2-pt layup from 1 ft (assist by J. Crowder),,34,38
2,4:39.0,,Turnover by R. Hood (step out of bounds),34,38
2,4:27.0,Turnover by R. Rubio (bad pass),,34,38
2,4:27.0,J. Ingles enters the game for R. O'Neale,,34,38
2,4:16.0,,L. Nance makes 2-pt layup at rim (assist by C. Osman),34,40
2,4:07.0,Personal foul by R. Hood (drawn by R. Rubio),,34,40
2,3:59.0,D. Mitchell makes 2-pt layup from 1 ft,,36,40
2,3:37.0,,Personal foul by R. Rubio (drawn by C. Sexton),36,40
2,3:37.0,,C. Sexton makes free throw 1 of 2,36,41
2,3:37.0,,C. Sexton makes free throw 2 of 2,36,42
2,3:17.0,J. Crowder misses 3-pt jump shot from 27 ft,,36,42
2,3:14.0,,Defensive rebound by T. Thompson,36,42
2,3:08.0,,R. Hood makes 2-pt jump shot from 7 ft (assist by T. Thompson),36,44
2,3:08.0,,Shooting foul by D. Mitchell (drawn by R. Hood),36,44
2,3:08.0,,R. Hood makes free throw 1 of 1,36,45
2,2:54.0,R. Rubio makes 3-pt jump shot from 27 ft (assist by J. Ingles),,39,45
2,2:36.0,,C. Sexton misses 2-pt jump shot from 20 ft,39,45
2,2:31.0,Defensive rebound by J. Ingles,,39,45
2,2:24.0,D. Mitchell makes 2-pt jump shot from 16 ft,,41,45
2,2:09.0,,Offensive foul by T. Thompson (drawn by R. Gobert),41,45
2,2:09.0,,Turnover by T. Thompson (offensive foul),41,45
2,2:09.0,,Cleveland full timeout,41,45
2,2:09.0,,J. Clarkson enters the game for C. Sexton,41,45
2,2:09.0,,C. Frye enters the game for T. Thompson,41,45
2,1:54.0,Shooting foul by L. Nance (drawn by R. Gobert),,41,45
2,1:54.0,R. Gobert makes free throw 1 of 2,,42,45
2,1:54.0,R. Gobert makes free throw 2 of 2,,43,45
2,1:29.0,,L. Nance misses 2-pt jump shot from 12 ft,43,45
2,1:27.0,Defensive rebound by R. Gobert,,43,45
2,1:22.0,Turnover by D. Mitchell (lost ball; steal by L. Nance),,43,45
2,1:16.0,,J. Clarkson makes 2-pt layup from 2 ft (assist by L. Nance),43,47
2,1:02.0,Turnover by R. Rubio (bad pass; steal by L. Nance),,43,47
2,0:55.0,,J. Clarkson misses 2-pt layup from 5 ft (block by R. Gobert),43,47
2,0:51.0,Defensive rebound by J. Ingles,,43,47
2,0:50.0,D. Mitchell makes 3-pt jump shot from 29 ft (assist by J. Ingles),,46,47
2,0:32.0,,J. Clarkson makes 2-pt jump shot from 14 ft,46,49
2,0:12.0,D. Mitchell makes 2-pt jump shot from 11 ft,,48,49
3,11:44.0,,T. Thompson misses 2-pt layup from 1 ft,48,49
3,11:40.0,Defensive rebound by R. Gobert,,48,49
3,11:36.0,R. Rubio misses 2-pt jump shot from 18 ft,,48,49
3,11:33.0,,Defensive rebound by L. Nance,48,49
3,11:23.0,,L. Nance makes 2-pt layup from 2 ft (assist by C. Sexton),48,51
3,11:04.0,D. Favors misses 2-pt jump shot from 20 ft,,48,51
3,11:03.0,,Defensive rebound by T. Thompson,48,51
3,10:57.0,,Turnover by C. Sexton (bad pass; steal by J. Ingles),48,51
3,10:53.0,Personal foul by C. Osman (drawn by J. Ingles),,48,51
3,10:44.0,D. Favors misses 2-pt jump shot from 17 ft,,48,51
3,10:44.0,Offensive rebound by Team,,48,51
3,10:44.0,,Loose ball foul by T. Thompson (drawn by R. Gobert),48,51
3,10:40.0,J. Ingles makes 3-pt jump shot from 24 ft (assist by D. Mitchell),,51,51
3,10:26.0,,Shooting foul by J. Ingles (drawn by C. Osman),51,51
3,10:26.0,,C. Osman makes free throw 1 of 2,51,52
3,10:26.0,,C. Osman makes free throw 2 of 2,51,53
3,10:03.0,D. Favors misses 2-pt jump shot from 7 ft,,51,53
3,10:01.0,,Defensive rebound by T. Thompson,51,53
3,9:49.0,,C. Osman misses 3-pt jump shot from 29 ft,51,53
3,9:46.0,Defensive rebound by R. Gobert,,51,53
3,9:34.0,R. Gobert makes 2-pt layup from 1 ft (assist by D. Mitchell),,53,53
3,9:13.0,,C. Osman makes 2-pt layup from 1 ft,53,55
3,9:01.0,D. Mitchell misses 2-pt layup from 1 ft,,53,55
3,8:59.0,,Defensive rebound by T. Thompson,53,55
3,8:44.0,,C. Osman makes 2-pt jump shot from 1 ft,53,57
3,8:44.0,Violation by Team (def goaltending),,53,57
3,8:28.0,R. Rubio misses 3-pt jump shot from 25 ft,,53,57
3,8:26.0,,Defensive rebound by R. Hood,53,57
3,8:14.0,,R. Hood misses 2-pt jump shot from 13 ft,53,57
3,8:12.0,Defensive rebound by R. Gobert,,53,57
3,8:08.0,R. Rubio makes 2-pt layup from 2 ft (assist by D. Mitchell),,55,57
3,8:01.0,,Cleveland full timeout,55,57
3,7:49.0,,C. Osman makes 2-pt layup from 1 ft,55,59
3,7:31.0,D. Favors misses 3-pt jump shot from 23 ft,,55,59
3,7:28.0,Offensive rebound by R. Rubio,,55,59
3,7:25.0,R. Rubio makes 3-pt jump shot from 25 ft,,58,59
3,7:07.0,,Turnover by C. Osman (bad pass; steal by R. Gobert),58,59
3,6:58.0,R. Rubio makes 2-pt jump shot from 17 ft,,60,59
3,6:33.0,,L. Nance misses 3-pt jump shot from 26 ft,60,59
3,6:28.0,Defensive rebound by D. Mitchell,,60,59
3,6:24.0,Shooting foul by L. Nance (drawn by D. Mitchell),,60,59
3,6:24.0,D. Mitchell misses free throw 1 of 2,,60,59
3,6:24.0,Offensive rebound by Team,,60,59
3,6:24.0,,A. Burks enters the game for R. Hood,60,59
3,6:24.0,D. Mitchell makes free throw 2 of 2,,61,59
3,6:00.0,,C. Sexton misses 2-pt jump shot from 19 ft,61,59
3,6:00.0,,Offensive rebound by T. Thompson,61,59
3,6:00.0,,Personal foul by J. Ingles (drawn by T. Thompson),61,59
3,6:00.0,J. Crowder enters the game for D. Favors,,61,59
3,6:00.0,K. Korver enters the game for J. Ingles,,61,59
3,5:47.0,,A. Burks makes 2-pt jump shot from 9 ft,61,61
3,5:29.0,R. Rubio misses 2-pt layup from 1 ft,,61,61
3,5:26.0,Offensive rebound by D. Mitchell,,61,61
3,5:26.0,D. Mitchell misses 2-pt dunk at rim,,61,61
3,5:26.0,,Defensive rebound by L. Nance,61,61
3,5:16.0,,C. Sexton makes 3-pt jump shot from 26 ft (assist by A. Burks),61,64
3,5:00.0,D. Mitchell makes 3-pt jump shot from 27 ft,,64,64
3,4:49.0,,C. Sexton misses 2-pt jump shot from 15 ft,64,64
3,4:49.0,Defensive rebound by R. Rubio,,64,64
3,4:39.0,D. Mitchell misses 3-pt jump shot from 23 ft,,64,64
3,4:36.0,,Defensive rebound by C. Osman,64,64
3,4:27.0,,C. Osman misses 2-pt jump shot from 9 ft,64,64
3,4:25.0,Defensive rebound by K. Korver,,64,64
3,4:19.0,Personal foul by A. Burks (drawn by R. Gobert),,64,64
3,4:19.0,D. Exum enters the game for R. Rubio,,64,64
3,4:19.0,,J. Clarkson enters the game for L. Nance,64,64
3,4:19.0,,P. McCaw enters the game for C. Sexton,64,64
3,4:06.0,K. Korver misses 3-pt jump shot from 25 ft,,64,64
3,4:03.0,,Defensive rebound by C. Osman,64,64
3,3:56.0,,A. Burks misses 2-pt jump shot from 17 ft,64,64
3,3:55.0,Defensive rebound by Team,,64,64
3,3:55.0,,Loose ball foul by T. Thompson (drawn by R. Gobert),64,64
3,3:55.0,R. Gobert makes free throw 1 of 2,,65,64
3,3:55.0,,C. Frye enters the game for T. Thompson,65,64
3,3:55.0,R. Gobert makes free throw 2 of 2,,66,64
3,3:35.0,,J. Clarkson misses 2-pt jump shot from 21 ft,66,64
3,3:33.0,Defensive rebound by D. Exum,,66,64
3,3:25.0,Personal foul by C. Frye (drawn by D. Exum),,66,64
3,3:25.0,D. Exum makes free throw 1 of 2,,67,64
3,3:25.0,D. Exum makes free throw 2 of 2,,68,64
3,3:13.0,,Turnover by P. McCaw (bad pass),68,64
3,3:13.0,,J. Jones enters the game for C. Osman,68,64
3,3:02.0,D. Exum makes 2-pt layup from 1 ft,,70,64
3,2:44.0,,A. Burks makes 2-pt layup at rim,70,66
3,2:22.0,D. Mitchell makes 2-pt jump shot from 11 ft,,72,66
3,2:01.0,,J. Clarkson makes 2-pt jump shot from 5 ft,72,68
3,1:51.0,J. Crowder makes 3-pt jump shot from 27 ft (assist by D. Exum),,75,68
3,1:30.0,Utah full timeout,,75,68
3,1:30.0,D. Favors enters the game for R. Gobert,,75,68
3,1:28.0,,C. Frye misses 3-pt jump shot from 25 ft,75,68
3,1:24.0,Defensive rebound by J. Crowder,,75,68
3,1:11.0,Shooting foul by J. Jones (drawn by K. Korver),,75,68
3,1:11.0,K. Korver makes free throw 1 of 3,,76,68
3,1:11.0,K. Korver makes free throw 2 of 3,,77,68
3,1:11.0,K. Korver makes free throw 3 of 3,,78,68
3,0:51.0,,P. McCaw makes 3-pt jump shot from 23 ft (assist by A. Burks),78,71
3,0:37.0,D. Exum misses 2-pt layup at rim,,78,71
3,0:35.0,,Defensive rebound by P. McCaw,78,71
3,0:32.0,,Turnover by P. McCaw (step out of bounds),78,71
3,0:15.0,D. Mitchell makes 3-pt jump shot from 25 ft,,81,71
3,0:00.0,,A. Burks misses 2-pt jump shot from 14 ft,81,71
3,0:00.0,,Offensive rebound by Team,81,71
4,11:44.0,J. Crowder makes 2-pt layup from 1 ft (assist by D. Exum),,83,71
4,11:23.0,,J. Clarkson misses 2-pt jump shot from 9 ft,83,71
4,11:20.0,,Offensive rebound by C. Frye,83,71
4,11:18.0,,J. Jones misses 2-pt layup from 1 ft (block by D. Favors),83,71
4,11:13.0,Defensive rebound by D. Favors,,83,71
4,11:11.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by D. Exum),,86,71
4,11:11.0,,Cleveland full timeout,86,71
4,11:11.0,,L. Nance enters the game for C. Frye,86,71
4,11:11.0,,C. Osman enters the game for J. Jones,86,71
4,11:11.0,,C. Sexton enters the game for P. McCaw,86,71
4,10:47.0,,C. Osman misses 2-pt jump shot from 4 ft,86,71
4,10:44.0,Defensive rebound by J. Ingles,,86,71
4,10:42.0,Offensive foul by J. Ingles (drawn by C. Osman),,86,71
4,10:42.0,Turnover by J. Ingles (offensive foul),,86,71
4,10:26.0,,A. Burks misses 2-pt jump shot from 15 ft,86,71
4,10:23.0,Defensive rebound by J. Ingles,,86,71
4,10:17.0,D. Favors makes 2-pt dunk from 1 ft (assist by J. Ingles),,88,71
4,10:03.0,,C. Sexton misses 2-pt jump shot from 17 ft,88,71
4,10:00.0,,Offensive rebound by L. Nance,88,71
4,9:59.0,,L. Nance makes 2-pt layup at rim,88,73
4,9:39.0,D. Exum misses 2-pt jump shot from 2 ft,,88,73
4,9:39.0,Offensive rebound by D. Favors,,88,73
4,9:39.0,D. Favors makes 2-pt layup at rim,,90,73
4,9:39.0,Shooting foul by L. Nance (drawn by D. Favors),,90,73
4,9:39.0,,R. Hood enters the game for J. Clarkson,90,73
4,9:39.0,D. Favors makes free throw 1 of 1,,91,73
4,9:21.0,,Turnover by R. Hood (bad pass; steal by D. Favors),91,73
4,9:07.0,J. Crowder misses 3-pt jump shot from 25 ft,,91,73
4,9:05.0,,Defensive rebound by R. Hood,91,73
4,9:00.0,,C. Osman misses 3-pt jump shot from 23 ft,91,73
4,8:57.0,Defensive rebound by J. Ingles,,91,73
4,8:56.0,Shooting foul by R. Hood (drawn by J. Crowder),,91,73
4,8:56.0,J. Crowder makes free throw 1 of 2,,92,73
4,8:56.0,,T. Thompson enters the game for A. Burks,92,73
4,8:56.0,J. Crowder makes free throw 2 of 2,,93,73
4,8:46.0,,C. Sexton misses 2-pt jump shot from 15 ft,93,73
4,8:44.0,Defensive rebound by J. Ingles,,93,73
4,8:37.0,J. Crowder makes 3-pt jump shot from 26 ft (assist by J. Ingles),,96,73
4,8:24.0,,Personal foul by J. Crowder (drawn by L. Nance),96,73
4,8:24.0,,A. Burks enters the game for C. Sexton,96,73
4,8:12.0,,T. Thompson makes 2-pt hook shot from 6 ft (assist by C. Osman),96,75
4,7:57.0,J. Ingles makes 2-pt layup from 2 ft,,98,75
4,7:43.0,,Personal foul by K. Korver (drawn by T. Thompson),98,75
4,7:43.0,R. Gobert enters the game for J. Crowder,,98,75
4,7:43.0,R. Rubio enters the game for D. Exum,,98,75
4,7:29.0,,L. Nance misses 2-pt jump shot from 6 ft,98,75
4,7:25.0,,Offensive rebound by T. Thompson,98,75
4,7:25.0,,T. Thompson makes 2-pt layup from 1 ft,98,77
4,7:15.0,J. Ingles makes 2-pt layup from 1 ft (assist by R. Rubio),,100,77
4,6:54.0,,A. Burks misses 2-pt layup from 2 ft,100,77
4,6:54.0,,Offensive rebound by T. Thompson,100,77
4,6:54.0,,T. Thompson misses 2-pt layup from 1 ft,100,77
4,6:54.0,Defensive rebound by Team,,100,77
4,6:54.0,D. Mitchell enters the game for J. Ingles,,100,77
4,6:40.0,K. Korver misses 3-pt jump shot from 26 ft,,100,77
4,6:37.0,,Defensive rebound by L. Nance,100,77
4,6:31.0,,L. Nance misses 2-pt layup from 2 ft (block by D. Favors),100,77
4,6:27.0,Defensive rebound by R. Rubio,,100,77
4,6:21.0,K. Korver makes 2-pt jump shot from 21 ft (assist by R. Rubio),,102,77
4,6:21.0,,Cleveland full timeout,102,77
4,6:21.0,D. Exum enters the game for D. Favors,,102,77
4,6:21.0,R. O'Neale enters the game for K. Korver,,102,77
4,6:21.0,T. Sefolosha enters the game for R. Rubio,,102,77
4,6:21.0,,C. Sexton enters the game for R. Hood,102,77
4,6:04.0,,A. Burks makes 2-pt layup at rim,102,79
4,5:42.0,R. Gobert makes 2-pt layup from 1 ft (assist by D. Mitchell),,104,79
4,5:18.0,,A. Burks misses 2-pt layup from 2 ft (block by R. Gobert),104,79
4,5:14.0,Defensive rebound by T. Sefolosha,,104,79
4,5:11.0,R. O'Neale misses 3-pt jump shot from 26 ft,,104,79
4,5:09.0,Offensive rebound by D. Exum,,104,79
4,5:07.0,R. O'Neale makes 3-pt jump shot from 27 ft (assist by D. Exum),,107,79
4,4:44.0,,T. Thompson misses 2-pt hook shot from 8 ft,107,79
4,4:43.0,Defensive rebound by R. O'Neale,,107,79
4,4:33.0,Turnover by D. Exum (traveling),,107,79
4,4:33.0,R. Neto enters the game for R. Gobert,,107,79
4,4:33.0,E. Udoh enters the game for D. Mitchell,,107,79
4,4:33.0,,J. Jones enters the game for C. Osman,107,79
4,4:33.0,,P. McCaw enters the game for T. Thompson,107,79
4,4:19.0,,P. McCaw misses 2-pt layup from 1 ft (block by E. Udoh),107,79
4,4:16.0,Defensive rebound by T. Sefolosha,,107,79
4,4:01.0,R. Neto makes 3-pt jump shot from 24 ft (assist by D. Exum),,110,79
4,3:47.0,,C. Sexton makes 3-pt jump shot from 26 ft,110,82
4,3:32.0,Turnover by D. Exum (bad pass; steal by C. Sexton),,110,82
4,3:24.0,,Turnover by C. Sexton (lost ball; steal by R. O'Neale),110,82
4,3:22.0,D. Exum makes 2-pt layup from 1 ft (assist by R. O'Neale),,112,82
4,3:16.0,,Personal take foul by T. Sefolosha (drawn by C. Sexton),112,82
4,3:16.0,G. Niang enters the game for D. Exum,,112,82
4,3:16.0,,C. Frye enters the game for L. Nance,112,82
4,2:53.0,,P. McCaw misses 2-pt hook shot from 8 ft,112,82
4,2:52.0,Defensive rebound by T. Sefolosha,,112,82
4,2:37.0,R. Neto makes 2-pt layup at rim,,114,82
4,2:22.0,,Turnover by C. Sexton (lost ball; steal by T. Sefolosha),114,82
4,2:22.0,Personal foul by C. Frye (drawn by T. Sefolosha),,114,82
4,2:10.0,E. Udoh misses 2-pt jump shot from 16 ft,,114,82
4,1:59.0,Offensive rebound by E. Udoh,,114,82
4,1:59.0,E. Udoh makes 2-pt dunk at rim,,116,82
4,1:47.0,,C. Sexton misses 2-pt jump shot from 15 ft,116,82
4,1:40.0,Defensive rebound by G. Niang,,116,82
4,1:37.0,R. O'Neale misses 3-pt jump shot from 24 ft,,116,82
4,1:33.0,,Defensive rebound by A. Burks,116,82
