QUARTER,TIME_REMAINING,CLEVELAND_ACTION,ORLANDO_ACTION,CLEVELAND_SCORE,ORLANDO_SCORE
3,10:06.0,Defensive rebound by K. Love,,43,65
3,10:05.0,Shooting foul by E. Fournier (drawn by C. Sexton),,43,65
3,10:05.0,C. Sexton makes free throw 1 of 2,,44,65
3,10:05.0,C. Sexton makes free throw 2 of 2,,45,65
3,9:38.0,,N. Vučević misses 2-pt jump shot from 18 ft,45,65
3,9:35.0,Defensive rebound by K. Love,,45,65
3,9:30.0,K. Love misses 2-pt layup from 4 ft,,45,65
3,9:27.0,,Defensive rebound by N. Vučević,45,65
3,9:19.0,,A. Gordon misses 3-pt jump shot from 25 ft,45,65
3,9:18.0,Defensive rebound by K. Love,,45,65
3,8:58.0,C. Sexton misses 3-pt jump shot from 25 ft,,45,65
3,8:56.0,,Defensive rebound by A. Gordon,45,65
3,8:56.0,,Offensive foul by A. Gordon (drawn by C. Osman),45,65
3,8:56.0,,Turnover by A. Gordon (offensive foul),45,65
3,8:37.0,A. Žižić misses 2-pt layup from 4 ft,,45,65
3,8:34.0,Offensive rebound by C. Sexton,,45,65
3,8:33.0,C. Sexton makes 2-pt layup from 2 ft,,47,65
3,8:22.0,,D. Augustin misses 2-pt layup from 6 ft,47,65
3,8:22.0,,Offensive rebound by D. Augustin,47,65
3,8:22.0,,Shooting foul by K. Love (drawn by D. Augustin),47,65
3,8:22.0,,D. Augustin makes free throw 1 of 2,47,66
3,8:22.0,,D. Augustin makes free throw 2 of 2,47,67
3,8:08.0,K. Love misses 2-pt hook shot from 8 ft,,47,67
3,8:06.0,,Defensive rebound by N. Vučević,47,67
3,7:58.0,,D. Augustin makes 2-pt layup from 2 ft (assist by N. Vučević),47,69
3,7:43.0,C. Sexton misses 3-pt jump shot from 28 ft,,47,69
3,7:43.0,,Defensive rebound by A. Gordon,47,69
3,7:43.0,,Personal take foul by C. Osman (drawn by A. Gordon),47,69
3,7:35.0,,E. Fournier misses 2-pt jump shot from 3 ft,47,69
3,7:35.0,,Offensive rebound by E. Fournier,47,69
3,7:35.0,,E. Fournier makes 2-pt layup at rim,47,71
3,7:35.0,Cleveland full timeout,,47,71
3,7:20.0,Turnover by K. Love (bad pass; steal by N. Vučević),,47,71
3,7:17.0,,A. Gordon makes 2-pt layup from 3 ft (assist by E. Fournier),47,73
3,7:17.0,,Shooting foul by K. Love (drawn by A. Gordon),47,73
3,7:17.0,,A. Gordon makes free throw 1 of 1,47,74
3,6:53.0,Turnover by C. Osman (bad pass; steal by A. Gordon),,47,74
3,6:46.0,,Shooting foul by K. Love (drawn by J. Isaac),47,74
3,6:46.0,,J. Isaac makes free throw 1 of 2,47,75
3,6:46.0,,J. Isaac misses free throw 2 of 2,47,75
3,6:45.0,,Offensive rebound by Team,47,75
3,6:45.0,Loose ball foul by K. Love (drawn by A. Gordon),,47,75
3,6:45.0,,A. Gordon makes free throw 1 of 2,47,76
3,6:45.0,J. Clarkson enters the game for K. Love,,47,76
3,6:45.0,,A. Gordon makes free throw 2 of 2,47,77
3,6:25.0,B. Knight misses 3-pt jump shot from 26 ft,,47,77
3,6:23.0,,Defensive rebound by J. Isaac,47,77
3,6:05.0,,N. Vučević misses 2-pt jump shot from 10 ft,47,77
3,6:03.0,Defensive rebound by C. Sexton,,47,77
3,5:58.0,Turnover by C. Sexton (lost ball; steal by D. Augustin),,47,77
3,5:48.0,,A. Gordon makes 2-pt layup from 3 ft (assist by D. Augustin),47,79
3,5:30.0,C. Osman misses 2-pt jump shot from 17 ft,,47,79
3,5:28.0,,Defensive rebound by N. Vučević,47,79
3,5:25.0,,D. Augustin misses 3-pt jump shot from 26 ft,47,79
3,5:25.0,,Offensive rebound by E. Fournier,47,79
3,5:25.0,,Offensive foul by E. Fournier (drawn by B. Knight),47,79
3,5:25.0,,Turnover by E. Fournier (offensive foul),47,79
3,5:25.0,N. Stauskas enters the game for B. Knight,,47,79
3,5:25.0,,W. Iwundu enters the game for A. Gordon,47,79
3,5:05.0,J. Clarkson makes 2-pt jump shot from 8 ft,,49,79
3,4:47.0,,N. Vučević makes 2-pt jump shot from 9 ft,49,81
3,4:33.0,A. Žižić makes 2-pt layup from 4 ft (assist by J. Clarkson),,51,81
3,4:22.0,,Turnover by N. Vučević (bad pass),51,81
3,4:22.0,M. Chriss enters the game for A. Žižić,,51,81
3,4:00.0,J. Clarkson misses 2-pt hook shot from 4 ft,,51,81
3,3:56.0,Offensive rebound by J. Clarkson,,51,81
3,3:51.0,N. Stauskas misses 2-pt jump shot from 8 ft,,51,81
3,3:46.0,Offensive rebound by M. Chriss,,51,81
3,3:46.0,M. Chriss makes 2-pt layup from 1 ft,,53,81
3,3:32.0,,N. Vučević misses 2-pt hook shot from 8 ft,53,81
3,3:29.0,Defensive rebound by C. Osman,,53,81
3,3:21.0,C. Sexton misses 3-pt jump shot from 23 ft,,53,81
3,3:18.0,,Defensive rebound by N. Vučević,53,81
3,3:11.0,,D. Augustin makes 2-pt jump shot from 17 ft,53,83
3,2:47.0,Shooting foul by E. Fournier (drawn by C. Sexton),,53,83
3,2:47.0,,Orlando full timeout,53,83
3,2:47.0,D. Nwaba enters the game for C. Osman,,53,83
3,2:47.0,,K. Birch enters the game for D. Augustin,53,83
3,2:47.0,,J. Grant enters the game for E. Fournier,53,83
3,2:47.0,,T. Ross enters the game for N. Vučević,53,83
3,2:47.0,C. Sexton makes free throw 1 of 2,,54,83
3,2:47.0,C. Sexton makes free throw 2 of 2,,55,83
3,2:27.0,,K. Birch makes 2-pt layup from 3 ft (assist by J. Isaac),55,85
3,2:02.0,N. Stauskas makes 2-pt jump shot from 20 ft,,57,85
3,1:49.0,,Shooting foul by D. Nwaba (drawn by J. Isaac),57,85
3,1:49.0,,J. Isaac misses free throw 1 of 2,57,85
3,1:49.0,,Offensive rebound by Team,57,85
3,1:49.0,,J. Isaac makes free throw 2 of 2,57,86
3,1:30.0,C. Sexton misses 3-pt jump shot from 25 ft,,57,86
3,1:28.0,,Defensive rebound by K. Birch,57,86
3,1:19.0,,T. Ross makes 2-pt jump shot from 17 ft (assist by J. Grant),57,88
3,1:07.0,Personal foul by W. Iwundu (drawn by J. Clarkson),,57,88
3,0:57.0,J. Clarkson makes 3-pt jump shot from 26 ft,,60,88
3,0:41.0,,T. Ross misses 3-pt jump shot from 26 ft,60,88
3,0:38.0,Defensive rebound by J. Clarkson,,60,88
3,0:32.0,Turnover by M. Chriss (lost ball; steal by T. Ross),,60,88
3,0:21.0,,J. Isaac misses 2-pt jump shot from 10 ft,60,88
3,0:19.0,Defensive rebound by M. Chriss,,60,88
3,0:04.0,Shooting foul by J. Grant (drawn by C. Sexton),,60,88
3,0:04.0,C. Sexton makes free throw 1 of 2,,61,88
3,0:04.0,C. Sexton misses free throw 2 of 2,,61,88
3,0:02.0,,Defensive rebound by K. Birch,61,88
3,0:02.0,,Turnover by K. Birch (bad pass),61,88
3,0:00.0,J. Clarkson makes 2-pt layup from 2 ft (assist by N. Stauskas),,63,88
4,11:41.0,B. Knight makes 2-pt layup from 2 ft,,65,88
4,11:41.0,Shooting foul by J. Grant (drawn by B. Knight),,65,88
4,11:41.0,B. Knight makes free throw 1 of 1,,66,88
4,11:17.0,,A. Gordon misses 3-pt jump shot from 25 ft,66,88
4,11:14.0,Defensive rebound by M. Chriss,,66,88
4,11:07.0,N. Stauskas makes 3-pt jump shot from 24 ft (assist by B. Knight),,69,88
4,10:45.0,,E. Fournier misses 3-pt jump shot from 26 ft,69,88
4,10:42.0,Defensive rebound by M. Chriss,,69,88
4,10:29.0,J. Clarkson misses 3-pt jump shot from 25 ft,,69,88
4,10:27.0,,Defensive rebound by T. Ross,69,88
4,10:17.0,,A. Gordon misses 2-pt layup from 2 ft,69,88
4,10:17.0,,Offensive rebound by K. Birch,69,88
4,10:17.0,,Shooting foul by M. Chriss (drawn by K. Birch),69,88
4,10:17.0,,K. Birch misses free throw 1 of 2,69,88
4,10:17.0,,Offensive rebound by Team,69,88
4,10:17.0,,K. Birch makes free throw 2 of 2,69,89
4,10:02.0,Turnover by J. Clarkson (bad pass; steal by T. Ross),,69,89
4,10:01.0,,Shooting foul by B. Knight (drawn by T. Ross),69,89
4,10:01.0,,T. Ross misses free throw 1 of 2,69,89
4,10:01.0,,Offensive rebound by Team,69,89
4,10:01.0,,T. Ross makes free throw 2 of 2,69,90
4,9:46.0,J. Clarkson makes 2-pt jump shot from 13 ft,,71,90
4,9:30.0,,E. Fournier misses 3-pt jump shot from 27 ft,71,90
4,9:30.0,,Offensive rebound by K. Birch,71,90
4,9:28.0,,K. Birch misses 2-pt layup from 2 ft,71,90
4,9:28.0,Defensive rebound by M. Chriss,,71,90
4,9:17.0,Turnover by N. Stauskas (bad pass; steal by E. Fournier),,71,90
4,9:08.0,,A. Gordon makes 3-pt jump shot from 23 ft (assist by J. Grant),71,93
4,8:46.0,J. Clarkson misses 3-pt jump shot from 25 ft,,71,93
4,8:46.0,,Defensive rebound by K. Birch,71,93
4,8:37.0,,Turnover by T. Ross (lost ball; steal by D. Nwaba),71,93
4,8:33.0,Turnover by N. Stauskas (bad pass),,71,93
4,8:27.0,Violation by Team (delay of game),,71,93
4,8:15.0,,A. Gordon misses 2-pt jump shot from 15 ft,71,93
4,8:13.0,Defensive rebound by N. Stauskas,,71,93
4,8:10.0,N. Stauskas misses 2-pt layup from 5 ft (block by T. Ross),,71,93
4,8:10.0,Offensive rebound by Team,,71,93
4,7:55.0,M. Chriss misses 3-pt jump shot from 27 ft,,71,93
4,7:53.0,,Defensive rebound by T. Ross,71,93
4,7:44.0,,A. Gordon makes 2-pt layup from 2 ft,71,95
4,7:44.0,,Shooting foul by D. Nwaba (drawn by A. Gordon),71,95
4,7:44.0,A. Žižić enters the game for M. Chriss,,71,95
4,7:44.0,,A. Gordon makes free throw 1 of 1,71,96
4,7:33.0,B. Knight makes 2-pt jump shot from 17 ft,,73,96
4,7:15.0,,K. Birch makes 2-pt dunk from 6 ft (assist by A. Gordon),73,98
4,7:02.0,B. Knight misses 3-pt jump shot from 29 ft,,73,98
4,6:59.0,,Defensive rebound by K. Birch,73,98
4,6:51.0,,Personal foul by B. Knight (drawn by A. Gordon),73,98
4,6:51.0,,Orlando full timeout,73,98
4,6:51.0,C. Sexton enters the game for B. Knight,,73,98
4,6:51.0,,W. Iwundu enters the game for E. Fournier,73,98
4,6:39.0,,T. Ross misses 2-pt jump shot from 18 ft,73,98
4,6:37.0,Defensive rebound by D. Nwaba,,73,98
4,6:16.0,J. Clarkson misses 2-pt layup from 4 ft,,73,98
4,6:14.0,,Defensive rebound by T. Ross,73,98
4,6:06.0,,T. Ross makes 3-pt jump shot from 27 ft (assist by A. Gordon),73,101
4,5:48.0,A. Žižić makes 2-pt hook shot from 5 ft (assist by J. Clarkson),,75,101
4,5:33.0,,T. Ross misses 3-pt jump shot from 26 ft,75,101
4,5:31.0,Defensive rebound by C. Sexton,,75,101
4,5:25.0,A. Žižić makes 2-pt hook shot from 5 ft (assist by C. Sexton),,77,101
4,5:25.0,Shooting foul by K. Birch (drawn by A. Žižić),,77,101
4,5:25.0,K. Love enters the game for J. Clarkson,,77,101
4,5:25.0,C. Osman enters the game for D. Nwaba,,77,101
4,5:25.0,,J. Isaac enters the game for A. Gordon,77,101
4,5:25.0,A. Žižić makes free throw 1 of 1,,78,101
4,5:06.0,,T. Ross misses 2-pt jump shot from 18 ft,78,101
4,5:04.0,,Offensive rebound by K. Birch,78,101
4,4:58.0,,T. Ross makes 2-pt jump shot from 12 ft (assist by J. Grant),78,103
4,4:45.0,N. Stauskas makes 3-pt jump shot from 25 ft (assist by C. Sexton),,81,103
4,4:30.0,,J. Grant makes 3-pt jump shot from 26 ft (assist by W. Iwundu),81,106
4,4:20.0,Turnover by C. Sexton (bad pass; steal by K. Birch),,81,106
4,4:14.0,,K. Birch makes 2-pt layup from 2 ft (assist by W. Iwundu),81,108
4,4:07.0,Cleveland full timeout,,81,108
4,4:07.0,D. Adel enters the game for N. Stauskas,,81,108
4,4:07.0,,J. Martin enters the game for J. Isaac,81,108
4,3:54.0,Shooting foul by J. Martin (drawn by K. Love),,81,108
4,3:54.0,K. Love makes free throw 1 of 3,,82,108
4,3:54.0,K. Love makes free throw 2 of 3,,83,108
4,3:54.0,K. Love makes free throw 3 of 3,,84,108
4,3:39.0,,K. Birch makes 2-pt hook shot from 7 ft (assist by T. Ross),84,110
4,3:24.0,C. Osman misses 3-pt jump shot from 29 ft,,84,110
4,3:21.0,,Defensive rebound by K. Birch,84,110
4,3:12.0,,J. Martin makes 3-pt jump shot from 23 ft (assist by K. Birch),84,113
4,2:55.0,A. Žižić misses 2-pt hook shot from 5 ft,,84,113
4,2:53.0,,Defensive rebound by J. Grant,84,113
4,2:53.0,,Orlando full timeout,84,113
4,2:53.0,N. Stauskas enters the game for K. Love,,84,113
4,2:53.0,,T. Caupain enters the game for K. Birch,84,113
4,2:53.0,,M. Frazier enters the game for W. Iwundu,84,113
4,2:53.0,,A. Jefferson enters the game for T. Ross,84,113
4,2:39.0,,J. Martin misses 3-pt jump shot from 27 ft,84,113
4,2:36.0,Defensive rebound by A. Žižić,,84,113
4,2:27.0,D. Adel misses 3-pt jump shot from 26 ft,,84,113
4,2:24.0,,Defensive rebound by J. Martin,84,113
4,2:14.0,,J. Martin makes 3-pt jump shot from 25 ft (assist by J. Grant),84,116
4,1:55.0,C. Sexton makes 3-pt jump shot from 26 ft (assist by A. Žižić),,87,116
4,1:40.0,,T. Caupain misses 2-pt jump shot from 14 ft,87,116
4,1:36.0,,Offensive rebound by J. Grant,87,116
