QUARTER,TIME_REMAINING,INDIANA_ACTION,SACRAMENTO_ACTION,INDIANA_SCORE,SACRAMENTO_SCORE
1,0:15.0,,Defensive rebound by J. Jackson,30,26
1,0:00.0,,B. Bogdanović misses 2-pt jump shot from 7 ft (block by D. Sabonis),30,26
1,0:00.0,,Offensive rebound by Team,30,26
2,11:35.0,D. Sabonis misses 2-pt hook shot from 4 ft,,30,26
2,11:32.0,,Defensive rebound by K. Koufos,30,26
2,11:20.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),30,29
2,11:01.0,C. Joseph misses 2-pt jump shot from 21 ft,,30,29
2,10:59.0,,Defensive rebound by B. Hield,30,29
2,10:48.0,,B. Hield misses 3-pt jump shot from 25 ft,30,29
2,10:45.0,Defensive rebound by C. Joseph,,30,29
2,10:39.0,A. Holiday makes 2-pt jump shot from 18 ft (assist by T. Young),,32,29
2,10:21.0,,T. Williams misses 2-pt layup from 3 ft (block by D. Sabonis),32,29
2,10:21.0,Defensive rebound by A. Holiday,,32,29
2,10:14.0,T. Young makes 2-pt layup from 2 ft (assist by A. Holiday),,34,29
2,10:04.0,,J. Jackson makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),34,32
2,9:53.0,D. Sabonis misses 2-pt jump shot from 18 ft,,34,32
2,9:53.0,,Defensive rebound by J. Jackson,34,32
2,9:43.0,,B. Hield makes 2-pt jump shot from 18 ft,34,34
2,9:35.0,Shooting foul by T. Williams (drawn by T. Young),,34,34
2,9:35.0,T. Young makes free throw 1 of 2,,35,34
2,9:35.0,T. Young makes free throw 2 of 2,,36,34
2,9:25.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by B. Hield),36,37
2,9:08.0,A. Holiday makes 3-pt jump shot from 25 ft (assist by D. Sabonis),,39,37
2,8:54.0,,J. Jackson makes 3-pt jump shot from 23 ft (assist by K. Koufos),39,40
2,8:42.0,A. Holiday misses 3-pt jump shot from 25 ft,,39,40
2,8:39.0,Offensive rebound by C. Joseph,,39,40
2,8:38.0,C. Joseph misses 2-pt jump shot from 17 ft,,39,40
2,8:38.0,,Defensive rebound by Team,39,40
2,8:38.0,,W. Cauley-Stein enters the game for B. Bogdanović,39,40
2,8:38.0,,D. Fox enters the game for K. Koufos,39,40
2,8:31.0,,Personal foul by T. Young (drawn by W. Cauley-Stein),39,40
2,8:31.0,B. Bogdanović enters the game for T. Young,,39,40
2,8:26.0,,D. Fox misses 2-pt jump shot from 14 ft,39,40
2,8:21.0,,Offensive rebound by T. Williams,39,40
2,8:20.0,,T. Williams makes 2-pt layup from 2 ft,39,42
2,8:17.0,Indiana full timeout,,39,42
2,8:00.0,Shooting foul by T. Williams (drawn by D. McDermott),,39,42
2,8:00.0,D. McDermott makes free throw 1 of 3,,40,42
2,8:00.0,D. McDermott misses free throw 2 of 3,,40,42
2,8:00.0,Offensive rebound by Team,,40,42
2,8:00.0,D. McDermott makes free throw 3 of 3,,41,42
2,7:40.0,,J. Jackson misses 2-pt jump shot from 18 ft,41,42
2,7:34.0,Defensive rebound by A. Holiday,,41,42
2,7:22.0,D. McDermott makes 2-pt jump shot from 18 ft (assist by D. Sabonis),,43,42
2,7:16.0,,D. Fox makes 2-pt layup from 2 ft,43,44
2,7:16.0,,Shooting foul by D. Sabonis (drawn by D. Fox),43,44
2,7:16.0,,I. Shumpert enters the game for T. Williams,43,44
2,7:16.0,,D. Fox makes free throw 1 of 1,43,45
2,7:07.0,D. McDermott misses 3-pt jump shot from 26 ft,,43,45
2,7:03.0,,Defensive rebound by D. Fox,43,45
2,6:56.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by D. Fox),43,47
2,6:35.0,Offensive foul by D. Sabonis (drawn by D. Fox),,43,47
2,6:35.0,Turnover by D. Sabonis (offensive foul),,43,47
2,6:35.0,T. Evans enters the game for A. Holiday,,43,47
2,6:35.0,M. Turner enters the game for D. Sabonis,,43,47
2,6:22.0,,B. Hield misses 2-pt jump shot from 14 ft,43,47
2,6:18.0,Defensive rebound by C. Joseph,,43,47
2,6:12.0,Personal foul by B. Hield (drawn by T. Evans),,43,47
2,6:03.0,Turnover by T. Evans (out of bounds lost ball),,43,47
2,6:03.0,D. Collison enters the game for D. McDermott,,43,47
2,5:47.0,,Personal foul by T. Evans (drawn by I. Shumpert),43,47
2,5:45.0,,W. Cauley-Stein makes 2-pt dunk from 9 ft (assist by D. Fox),43,49
2,5:28.0,Offensive foul by M. Turner (drawn by I. Shumpert),,43,49
2,5:28.0,Turnover by M. Turner (offensive foul),,43,49
2,5:19.0,,D. Fox misses 2-pt jump shot from 12 ft,43,49
2,5:19.0,Defensive rebound by C. Joseph,,43,49
2,5:04.0,M. Turner makes 2-pt jump shot from 20 ft (assist by D. Collison),,45,49
2,4:51.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by J. Jackson),45,51
2,4:36.0,D. Collison makes 2-pt layup from 2 ft (assist by M. Turner),,47,51
2,4:30.0,,Shooting foul by C. Joseph (drawn by B. Hield),47,51
2,4:30.0,,B. Hield makes free throw 1 of 3,47,52
2,4:30.0,,B. Hield makes free throw 2 of 3,47,53
2,4:30.0,,B. Hield makes free throw 3 of 3,47,54
2,4:13.0,M. Turner makes 2-pt dunk from 2 ft (assist by D. Collison),,49,54
2,4:03.0,,Turnover by W. Cauley-Stein (out of bounds lost ball),49,54
2,4:03.0,T. Young enters the game for C. Joseph,,49,54
2,4:03.0,,N. Bjelica enters the game for J. Jackson,49,54
2,3:45.0,M. Turner makes 2-pt layup from 2 ft,,51,54
2,3:37.0,,D. Fox misses 2-pt layup from 3 ft,51,54
2,3:36.0,,Offensive rebound by W. Cauley-Stein,51,54
2,3:36.0,,Shooting foul by D. Collison (drawn by W. Cauley-Stein),51,54
2,3:36.0,,W. Cauley-Stein misses free throw 1 of 2,51,54
2,3:36.0,,Offensive rebound by Team,51,54
2,3:36.0,,B. Bogdanović enters the game for B. Hield,51,54
2,3:36.0,,W. Cauley-Stein misses free throw 2 of 2,51,54
2,3:30.0,Defensive rebound by M. Turner,,51,54
2,3:12.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,51,54
2,3:10.0,Offensive rebound by T. Young,,51,54
2,3:09.0,T. Young makes 2-pt layup from 1 ft,,53,54
2,2:59.0,,W. Cauley-Stein misses 2-pt jump shot from 15 ft,53,54
2,2:57.0,,Offensive rebound by N. Bjelica,53,54
2,2:55.0,,N. Bjelica makes 2-pt layup from 1 ft,53,56
2,2:40.0,M. Turner misses 3-pt jump shot from 26 ft,,53,56
2,2:38.0,,Defensive rebound by D. Fox,53,56
2,2:35.0,,Turnover by D. Fox (lost ball; steal by D. Collison),53,56
2,2:31.0,B. Bogdanović makes 2-pt dunk from 1 ft (assist by D. Collison),,55,56
2,2:31.0,,Sacramento full timeout,55,56
2,2:12.0,,N. Bjelica misses 2-pt jump shot from 8 ft,55,56
2,2:07.0,,Offensive rebound by N. Bjelica,55,56
2,2:06.0,,Turnover by N. Bjelica (lost ball; steal by D. Collison),55,56
2,1:57.0,T. Young makes 2-pt layup from 3 ft (assist by D. Collison),,57,56
2,1:57.0,Shooting foul by W. Cauley-Stein (drawn by T. Young),,57,56
2,1:57.0,T. Young misses free throw 1 of 1,,57,56
2,1:54.0,,Defensive rebound by W. Cauley-Stein,57,56
2,1:47.0,,D. Fox misses 2-pt layup from 3 ft (block by M. Turner),57,56
2,1:47.0,,Offensive rebound by W. Cauley-Stein,57,56
2,1:42.0,,W. Cauley-Stein makes 2-pt layup from 1 ft,57,58
2,1:29.0,T. Evans makes 3-pt jump shot from 24 ft (assist by D. Collison),,60,58
2,1:13.0,,Turnover by D. Fox (bad pass; steal by D. Collison),60,58
2,0:55.0,Turnover by T. Evans (bad pass; steal by B. Bogdanović),,60,58
2,0:51.0,,B. Bogdanović misses 2-pt layup from 3 ft,60,58
2,0:49.0,,Offensive rebound by W. Cauley-Stein,60,58
2,0:48.0,,Turnover by W. Cauley-Stein (lost ball; steal by T. Young),60,58
2,0:37.0,B. Bogdanović misses 2-pt layup from 3 ft (block by N. Bjelica),,60,58
2,0:34.0,,Defensive rebound by W. Cauley-Stein,60,58
2,0:31.0,,Offensive foul by N. Bjelica (drawn by T. Young),60,58
2,0:31.0,,Turnover by N. Bjelica (offensive foul),60,58
2,0:11.0,B. Bogdanović misses 2-pt layup from 4 ft (block by D. Fox),,60,58
2,0:08.0,,Defensive rebound by I. Shumpert,60,58
2,0:00.0,,N. Bjelica misses 2-pt jump shot from 15 ft,60,58
2,0:00.0,,Offensive rebound by Team,60,58
3,11:46.0,Turnover by M. Turner (traveling),,60,58
3,11:34.0,,D. Fox misses 2-pt jump shot from 8 ft,60,58
3,11:31.0,Defensive rebound by B. Bogdanović,,60,58
3,11:15.0,Turnover by T. Young (traveling),,60,58
3,11:08.0,,N. Bjelica makes 3-pt jump shot from 27 ft (assist by D. Fox),60,61
3,10:48.0,D. Collison makes 3-pt jump shot from 23 ft (assist by T. Evans),,63,61
3,10:48.0,,Turnover by B. Hield (turnover),63,61
3,10:48.0,Away from play foul by B. Hield (drawn by M. Turner),,63,61
3,10:48.0,M. Turner misses free throw 1 of 1,,63,61
3,10:48.0,,Defensive rebound by N. Bjelica,63,61
3,10:36.0,,Turnover by D. Fox (out of bounds lost ball),63,61
3,10:22.0,T. Evans misses 3-pt jump shot from 26 ft,,63,61
3,10:18.0,,Defensive rebound by W. Cauley-Stein,63,61
3,10:15.0,,B. Hield misses 3-pt jump shot from 26 ft,63,61
3,10:11.0,Defensive rebound by M. Turner,,63,61
3,10:09.0,Turnover by D. Collison (bad pass; steal by D. Fox),,63,61
3,10:04.0,,Shooting foul by D. Collison (drawn by W. Cauley-Stein),63,61
3,10:04.0,,W. Cauley-Stein misses free throw 1 of 2,63,61
3,10:04.0,,Offensive rebound by Team,63,61
3,10:04.0,,W. Cauley-Stein makes free throw 2 of 2,63,62
3,9:54.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,63,62
3,9:51.0,Offensive rebound by M. Turner,,63,62
3,9:50.0,M. Turner makes 2-pt layup from 2 ft,,65,62
3,9:43.0,,D. Fox misses 2-pt jump shot from 6 ft,65,62
3,9:41.0,,Offensive rebound by W. Cauley-Stein,65,62
3,9:36.0,,N. Bjelica makes 2-pt jump shot from 10 ft,65,64
3,9:24.0,,Technical foul by I. Shumpert,65,64
3,9:24.0,B. Bogdanović makes technical free throw,,66,64
3,9:20.0,T. Young misses 2-pt dunk from 2 ft,,66,64
3,9:18.0,,Defensive rebound by B. Hield,66,64
3,9:13.0,,N. Bjelica misses 2-pt layup from 1 ft,66,64
3,9:13.0,Defensive rebound by M. Turner,,66,64
3,9:07.0,T. Young misses 2-pt layup from 2 ft,,66,64
3,9:05.0,,Defensive rebound by W. Cauley-Stein,66,64
3,9:00.0,,B. Hield makes 2-pt layup from 2 ft (assist by N. Bjelica),66,66
3,8:36.0,T. Young makes 2-pt layup from 2 ft (assist by D. Collison),,68,66
3,8:23.0,,Turnover by B. Hield (lost ball; steal by B. Bogdanović),68,66
3,8:20.0,D. Collison misses 2-pt layup from 3 ft,,68,66
3,8:20.0,Offensive rebound by T. Young,,68,66
3,8:20.0,T. Young makes 2-pt layup at rim,,70,66
3,8:20.0,,Sacramento full timeout,70,66
3,8:01.0,,Turnover by W. Cauley-Stein (dbl dribble),70,66
3,7:38.0,Turnover by T. Evans (bad pass; steal by I. Shumpert),,70,66
3,7:27.0,,I. Shumpert makes 3-pt jump shot from 25 ft (assist by B. Hield),70,69
3,7:20.0,T. Young makes 2-pt layup from 1 ft (assist by D. Collison),,72,69
3,7:12.0,,N. Bjelica misses 3-pt jump shot from 27 ft,72,69
3,7:08.0,Defensive rebound by M. Turner,,72,69
3,7:04.0,Personal foul by I. Shumpert (drawn by M. Turner),,72,69
3,7:04.0,,B. Bogdanović enters the game for B. Hield,72,69
3,6:53.0,Turnover by D. Collison (bad pass; steal by I. Shumpert),,72,69
3,6:50.0,,Personal foul by T. Evans (drawn by I. Shumpert),72,69
3,6:38.0,,Turnover by I. Shumpert (lost ball; steal by D. Collison),72,69
3,6:34.0,B. Bogdanović makes 2-pt jump shot from 15 ft,,74,69
3,6:23.0,,Shooting foul by D. Collison (drawn by D. Fox),74,69
3,6:23.0,,D. Fox makes free throw 1 of 2,74,70
3,6:23.0,C. Joseph enters the game for D. Collison,,74,70
3,6:23.0,,D. Fox makes free throw 2 of 2,74,71
3,5:58.0,T. Evans misses 2-pt jump shot from 22 ft,,74,71
3,5:55.0,,Defensive rebound by N. Bjelica,74,71
3,5:48.0,,I. Shumpert makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),74,74
3,5:34.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by M. Turner),,76,74
3,5:24.0,,W. Cauley-Stein makes 2-pt hook shot from 4 ft (assist by I. Shumpert),76,76
3,5:12.0,T. Evans makes 2-pt layup from 1 ft,,78,76
3,5:02.0,,N. Bjelica misses 3-pt jump shot from 26 ft,78,76
3,4:59.0,Defensive rebound by T. Young,,78,76
3,4:44.0,Personal foul by N. Bjelica (drawn by T. Young),,78,76
3,4:44.0,D. Sabonis enters the game for T. Young,,78,76
3,4:44.0,,K. Koufos enters the game for W. Cauley-Stein,78,76
3,4:39.0,Shooting foul by I. Shumpert (drawn by B. Bogdanović),,78,76
3,4:39.0,B. Bogdanović makes free throw 1 of 2,,79,76
3,4:39.0,B. Bogdanović makes free throw 2 of 2,,80,76
3,4:27.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,80,76
3,4:25.0,Defensive rebound by C. Joseph,,80,76
3,4:23.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by C. Joseph),,82,76
3,4:23.0,Shooting foul by N. Bjelica (drawn by B. Bogdanović),,82,76
3,4:23.0,,J. Jackson enters the game for I. Shumpert,82,76
3,4:23.0,B. Bogdanović misses free throw 1 of 1,,82,76
3,4:20.0,,Defensive rebound by K. Koufos,82,76
3,4:11.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by D. Fox),82,78
3,4:11.0,,Shooting foul by C. Joseph (drawn by B. Bogdanović),82,78
3,4:11.0,D. McDermott enters the game for B. Bogdanović,,82,78
3,4:11.0,,B. Bogdanović makes free throw 1 of 1,82,79
3,3:53.0,T. Evans misses 2-pt layup from 4 ft,,82,79
3,3:52.0,,Defensive rebound by K. Koufos,82,79
3,3:52.0,,Turnover by K. Koufos (out of bounds lost ball),82,79
3,3:38.0,T. Evans misses 3-pt jump shot from 25 ft,,82,79
3,3:33.0,,Defensive rebound by B. Bogdanović,82,79
3,3:30.0,,B. Bogdanović makes 3-pt jump shot from 25 ft,82,82
3,3:22.0,Personal foul by N. Bjelica (drawn by M. Turner),,82,82
3,3:22.0,M. Turner makes free throw 1 of 2,,83,82
3,3:22.0,,T. Williams enters the game for N. Bjelica,83,82
3,3:22.0,M. Turner makes free throw 2 of 2,,84,82
3,3:07.0,,T. Williams makes 3-pt jump shot from 25 ft (assist by D. Fox),84,85
3,2:47.0,D. McDermott makes 3-pt jump shot from 26 ft (assist by C. Joseph),,87,85
3,2:42.0,,Personal foul by D. McDermott (drawn by T. Williams),87,85
3,2:42.0,Indiana full timeout,,87,85
3,2:42.0,,T. Williams misses free throw 1 of 2,87,85
3,2:42.0,,Offensive rebound by Team,87,85
3,2:42.0,,T. Williams misses free throw 2 of 2,87,85
3,2:38.0,Defensive rebound by T. Evans,,87,85
3,2:22.0,Offensive foul by D. Sabonis (drawn by D. Fox),,87,85
3,2:22.0,Turnover by D. Sabonis (offensive foul),,87,85
3,2:05.0,,J. Jackson misses 2-pt jump shot from 14 ft,87,85
3,2:03.0,Defensive rebound by D. Sabonis,,87,85
3,2:01.0,Turnover by D. Sabonis (bad pass; steal by D. Fox),,87,85
3,1:56.0,,D. Fox misses 3-pt jump shot from 25 ft,87,85
3,1:53.0,Defensive rebound by C. Joseph,,87,85
3,1:51.0,T. Evans misses 2-pt jump shot from 2 ft,,87,85
3,1:48.0,Offensive rebound by D. Sabonis,,87,85
3,1:46.0,D. Sabonis misses 2-pt layup from 1 ft,,87,85
3,1:46.0,,Defensive rebound by K. Koufos,87,85
3,1:39.0,,Shooting foul by D. McDermott (drawn by D. Fox),87,85
3,1:39.0,,D. Fox makes free throw 1 of 2,87,86
3,1:39.0,,D. Fox makes free throw 2 of 2,87,87
3,1:24.0,C. Joseph makes 2-pt layup from 2 ft (assist by D. McDermott),,89,87
3,0:57.0,,B. Bogdanović makes 2-pt layup from 2 ft,89,89
3,0:44.0,T. Evans misses 2-pt layup from 2 ft (block by K. Koufos),,89,89
3,0:41.0,,Defensive rebound by T. Williams,89,89
3,0:39.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,89,89
3,0:39.0,Defensive rebound by M. Turner,,89,89
3,0:26.0,D. Sabonis makes 2-pt hook shot from 8 ft (assist by M. Turner),,91,89
3,0:03.0,,D. Fox misses 2-pt jump shot from 23 ft,91,89
3,0:01.0,Defensive rebound by D. McDermott,,91,89
3,0:00.0,D. McDermott misses 3-pt jump shot from 39 ft,,91,89
3,0:00.0,Offensive rebound by Team,,91,89
4,11:46.0,,B. Hield misses 3-pt jump shot from 23 ft,91,89
4,11:42.0,,Offensive rebound by K. Koufos,91,89
4,11:41.0,,Shooting foul by D. Sabonis (drawn by T. Williams),91,89
4,11:41.0,,T. Williams misses free throw 1 of 2,91,89
4,11:41.0,,Offensive rebound by Team,91,89
4,11:41.0,,T. Williams makes free throw 2 of 2,91,90
4,11:20.0,D. Sabonis makes 2-pt layup from 2 ft (assist by D. Collison),,93,90
4,11:01.0,,B. Hield makes 2-pt jump shot from 10 ft (assist by B. Bogdanović),93,92
4,10:45.0,C. Joseph makes 2-pt jump shot from 12 ft,,95,92
4,10:38.0,,Personal foul by D. McDermott (drawn by B. Bogdanović),95,92
4,10:38.0,,W. Cauley-Stein enters the game for K. Koufos,95,92
4,10:25.0,,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by W. Cauley-Stein),95,95
4,10:09.0,Turnover by D. Sabonis (out of bounds lost ball),,95,95
4,9:50.0,,W. Cauley-Stein misses 2-pt hook shot from 4 ft,95,95
4,9:47.0,Defensive rebound by C. Joseph,,95,95
4,9:40.0,Turnover by C. Joseph (bad pass; steal by W. Cauley-Stein),,95,95
4,9:37.0,,Shooting foul by D. McDermott (drawn by J. Jackson),95,95
4,9:37.0,,J. Jackson misses free throw 1 of 2,95,95
4,9:37.0,,Offensive rebound by Team,95,95
4,9:37.0,,J. Jackson misses free throw 2 of 2,95,95
4,9:35.0,Defensive rebound by D. Sabonis,,95,95
4,9:17.0,D. Collison misses 2-pt jump shot from 18 ft,,95,95
4,9:14.0,,Defensive rebound by T. Williams,95,95
4,9:07.0,,T. Williams makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),95,98
4,8:57.0,Indiana full timeout,,95,98
4,8:43.0,D. McDermott makes 3-pt jump shot from 25 ft (assist by D. Sabonis),,98,98
4,8:23.0,,Turnover by B. Bogdanović (bad pass; steal by B. Bogdanović),98,98
4,8:16.0,D. Sabonis misses 2-pt layup from 3 ft,,98,98
4,8:14.0,,Defensive rebound by W. Cauley-Stein,98,98
4,8:09.0,,B. Hield misses 3-pt jump shot from 26 ft,98,98
4,8:09.0,Defensive rebound by D. Collison,,98,98
4,7:57.0,D. McDermott makes 2-pt layup from 2 ft (assist by D. Sabonis),,100,98
4,7:39.0,,B. Hield misses 2-pt layup from 4 ft,100,98
4,7:35.0,Defensive rebound by D. Sabonis,,100,98
4,7:18.0,D. Collison misses 3-pt jump shot from 25 ft,,100,98
4,7:16.0,,Defensive rebound by B. Hield,100,98
4,7:14.0,,Personal foul by C. Joseph (drawn by W. Cauley-Stein),100,98
4,7:14.0,,D. Fox enters the game for B. Bogdanović,100,98
4,7:05.0,,B. Hield makes 2-pt layup from 5 ft (assist by J. Jackson),100,100
4,7:05.0,,Shooting foul by C. Joseph (drawn by B. Hield),100,100
4,7:05.0,,B. Hield makes free throw 1 of 1,100,101
4,6:52.0,B. Bogdanović makes 2-pt jump shot from 8 ft,,102,101
4,6:38.0,,T. Williams misses 2-pt layup from 4 ft,102,101
4,6:35.0,Defensive rebound by D. Sabonis,,102,101
4,6:29.0,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by D. Collison),,105,101
4,6:28.0,,Sacramento full timeout,105,101
4,6:28.0,,B. Bogdanović enters the game for T. Williams,105,101
4,6:17.0,,Turnover by D. Fox (bad pass; steal by C. Joseph),105,101
4,6:01.0,Turnover by B. Bogdanović (bad pass; steal by B. Bogdanović),,105,101
4,5:56.0,,D. Fox makes 2-pt dunk from 1 ft,105,103
4,5:40.0,Personal foul by B. Bogdanović (drawn by B. Bogdanović),,105,103
4,5:30.0,B. Bogdanović misses 3-pt jump shot from 22 ft,,105,103
4,5:26.0,,Defensive rebound by D. Fox,105,103
4,5:21.0,,D. Fox misses 2-pt layup from 2 ft,105,103
