QUARTER,TIME_REMAINING,BOSTON_ACTION,HOUSTON_ACTION,BOSTON_SCORE,HOUSTON_SCORE
2,10:41.0,,Shooting foul by D. Theis (drawn by E. Gordon),27,43
2,10:41.0,,C. Capela enters the game for N. Hilário,27,43
2,10:41.0,,E. Gordon makes free throw 1 of 1,27,44
2,10:32.0,Personal foul by G. Green (drawn by G. Hayward),,27,44
2,10:32.0,A. Horford enters the game for D. Theis,,27,44
2,10:23.0,M. Morris misses 2-pt jump shot from 12 ft,,27,44
2,10:21.0,Offensive rebound by Team,,27,44
2,10:08.0,J. Brown makes 2-pt dunk from 1 ft (assist by G. Hayward),,29,44
2,9:48.0,,E. Gordon misses 3-pt jump shot from 27 ft,29,44
2,9:46.0,Defensive rebound by J. Brown,,29,44
2,9:34.0,M. Morris misses 3-pt jump shot from 25 ft,,29,44
2,9:31.0,Offensive rebound by T. Rozier,,29,44
2,9:29.0,J. Brown misses 3-pt jump shot from 27 ft,,29,44
2,9:27.0,,Defensive rebound by C. Capela,29,44
2,9:18.0,,E. Gordon makes 2-pt layup from 2 ft,29,46
2,9:06.0,A. Horford makes 3-pt jump shot from 27 ft (assist by T. Rozier),,32,46
2,8:45.0,,A. Rivers makes 2-pt jump shot from 2 ft,32,48
2,8:35.0,Shooting foul by E. Gordon (drawn by J. Brown),,32,48
2,8:35.0,J. Brown makes free throw 1 of 2,,33,48
2,8:35.0,K. Irving enters the game for G. Hayward,,33,48
2,8:35.0,J. Brown misses free throw 2 of 2,,33,48
2,8:35.0,,Defensive rebound by G. Green,33,48
2,8:23.0,,D. House misses 3-pt jump shot from 23 ft,33,48
2,8:19.0,,Offensive rebound by C. Capela,33,48
2,8:15.0,,G. Green misses 2-pt layup from 3 ft,33,48
2,8:15.0,,Offensive rebound by D. House,33,48
2,8:14.0,,D. House makes 2-pt layup at rim,33,50
2,8:13.0,Boston full timeout,,33,50
2,8:04.0,Shooting foul by C. Capela (drawn by K. Irving),,33,50
2,8:04.0,K. Irving makes free throw 1 of 2,,34,50
2,8:04.0,K. Irving makes free throw 2 of 2,,35,50
2,7:55.0,,Shooting foul by J. Brown (drawn by E. Gordon),35,50
2,7:55.0,,E. Gordon makes free throw 1 of 2,35,51
2,7:55.0,,J. Harden enters the game for G. Green,35,51
2,7:55.0,,P. Tucker enters the game for D. House,35,51
2,7:55.0,,E. Gordon misses free throw 2 of 2,35,51
2,7:55.0,Defensive rebound by J. Brown,,35,51
2,7:43.0,A. Horford makes 2-pt dunk from 1 ft (assist by M. Morris),,37,51
2,7:23.0,,A. Rivers misses 3-pt jump shot from 24 ft,37,51
2,7:21.0,Defensive rebound by M. Morris,,37,51
2,7:13.0,A. Horford makes 2-pt hook shot from 10 ft (assist by M. Morris),,39,51
2,6:53.0,,E. Gordon misses 2-pt layup from 3 ft,39,51
2,6:51.0,Defensive rebound by M. Morris,,39,51
2,6:47.0,T. Rozier misses 3-pt jump shot from 23 ft,,39,51
2,6:44.0,,Defensive rebound by A. Rivers,39,51
2,6:26.0,,J. Harden misses 3-pt jump shot from 28 ft,39,51
2,6:21.0,Defensive rebound by M. Morris,,39,51
2,6:09.0,K. Irving makes 2-pt jump shot from 10 ft,,41,51
2,5:43.0,,Personal foul by J. Brown (drawn by A. Rivers),41,51
2,5:43.0,,D. House enters the game for E. Gordon,41,51
2,5:33.0,,C. Capela makes 2-pt hook shot from 7 ft (assist by J. Harden),41,53
2,5:15.0,Turnover by A. Horford (bad pass),,41,53
2,4:53.0,,Turnover by J. Harden (offensive foul),41,53
2,4:53.0,,Offensive foul by J. Harden (drawn by K. Irving),41,53
2,4:53.0,M. Smart enters the game for J. Brown,,41,53
2,4:53.0,J. Tatum enters the game for T. Rozier,,41,53
2,4:33.0,M. Morris makes 3-pt jump shot from 26 ft (assist by A. Horford),,44,53
2,4:07.0,,J. Harden misses 3-pt jump shot from 30 ft,44,53
2,4:05.0,Defensive rebound by J. Tatum,,44,53
2,3:57.0,M. Morris makes 3-pt jump shot from 28 ft (assist by K. Irving),,47,53
2,3:56.0,,Houston full timeout,47,53
2,3:56.0,G. Yabusele enters the game for A. Horford,,47,53
2,3:34.0,,J. Harden misses 2-pt layup from 5 ft (block by M. Morris),47,53
2,3:31.0,Defensive rebound by M. Smart,,47,53
2,3:30.0,J. Tatum misses 2-pt layup from 2 ft (block by D. House),,47,53
2,3:30.0,Offensive rebound by Team,,47,53
2,3:29.0,Technical foul by C. Paul,,47,53
2,3:29.0,K. Irving makes technical free throw,,48,53
2,3:29.0,,E. Gordon enters the game for A. Rivers,48,53
2,3:24.0,G. Yabusele misses 2-pt jump shot from 4 ft,,48,53
2,3:23.0,,Defensive rebound by E. Gordon,48,53
2,3:06.0,,E. Gordon misses 2-pt jump shot from 6 ft,48,53
2,3:05.0,,Offensive rebound by C. Capela,48,53
2,3:03.0,,P. Tucker misses 3-pt jump shot from 23 ft,48,53
2,2:59.0,Defensive rebound by G. Yabusele,,48,53
2,2:44.0,M. Smart misses 3-pt jump shot from 28 ft,,48,53
2,2:42.0,,Defensive rebound by C. Capela,48,53
2,2:42.0,G. Hayward enters the game for M. Morris,,48,53
2,2:30.0,Technical foul by M. D'Antoni,,48,53
2,2:30.0,K. Irving makes technical free throw,,49,53
2,2:28.0,,C. Capela makes 2-pt dunk from 3 ft (assist by D. House),49,55
2,2:28.0,,Technical foul by C. Capela,49,55
2,2:28.0,K. Irving makes technical free throw,,50,55
2,2:12.0,K. Irving misses 2-pt jump shot from 11 ft,,50,55
2,2:10.0,,Defensive rebound by D. House,50,55
2,2:01.0,,Turnover by J. Harden (lost ball; steal by G. Yabusele),50,55
2,1:52.0,K. Irving misses 3-pt jump shot from 25 ft,,50,55
2,1:50.0,,Defensive rebound by D. House,50,55
2,1:40.0,,J. Harden misses 2-pt layup from 7 ft (block by K. Irving),50,55
2,1:40.0,Defensive rebound by Team,,50,55
2,1:23.0,M. Smart makes 2-pt layup from 4 ft (assist by G. Hayward),,52,55
2,1:05.0,,J. Harden misses 2-pt layup from 3 ft,52,55
2,1:04.0,,Offensive rebound by C. Capela,52,55
2,1:03.0,,C. Capela makes 2-pt layup from 2 ft,52,57
2,0:49.0,M. Smart makes 3-pt jump shot from 25 ft (assist by G. Hayward),,55,57
2,0:34.0,,P. Tucker misses 2-pt layup from 4 ft,55,57
2,0:30.0,Defensive rebound by G. Hayward,,55,57
2,0:16.0,Offensive foul by M. Smart (drawn by C. Capela),,55,57
2,0:16.0,Turnover by M. Smart (offensive foul),,55,57
2,0:16.0,J. Brown enters the game for K. Irving,,55,57
2,0:02.0,,J. Harden misses 2-pt layup from 6 ft,55,57
2,0:02.0,,Offensive rebound by E. Gordon,55,57
3,11:43.0,,Shooting foul by M. Morris (drawn by C. Capela),55,57
3,11:43.0,,C. Capela misses free throw 1 of 2,55,57
3,11:43.0,,Offensive rebound by Team,55,57
3,11:43.0,,C. Capela makes free throw 2 of 2,55,58
3,11:33.0,Turnover by M. Morris (bad pass; steal by D. House),,55,58
3,11:30.0,,D. House makes 2-pt dunk from 2 ft,55,60
3,11:23.0,M. Smart misses 3-pt jump shot from 24 ft,,55,60
3,11:20.0,,Defensive rebound by C. Capela,55,60
3,11:06.0,,Turnover by J. Harden (bad pass; steal by M. Smart),55,60
3,11:05.0,Turnover by M. Smart (step out of bounds),,55,60
3,10:59.0,,J. Harden misses 3-pt jump shot from 23 ft,55,60
3,10:57.0,Defensive rebound by K. Irving,,55,60
3,10:50.0,A. Horford misses 2-pt layup from 3 ft,,55,60
3,10:50.0,Offensive rebound by A. Horford,,55,60
3,10:49.0,A. Horford misses 2-pt layup at rim (block by C. Capela),,55,60
3,10:47.0,Offensive rebound by A. Horford,,55,60
3,10:45.0,A. Horford misses 2-pt layup from 3 ft,,55,60
3,10:44.0,,Defensive rebound by C. Capela,55,60
3,10:30.0,,C. Capela misses 2-pt layup from 6 ft,55,60
3,10:30.0,Defensive rebound by Team,,55,60
3,10:20.0,M. Morris makes 2-pt layup from 4 ft (assist by K. Irving),,57,60
3,10:06.0,,Turnover by D. House (bad pass; steal by M. Morris),57,60
3,9:59.0,M. Smart makes 2-pt layup from 2 ft (assist by A. Horford),,59,60
3,9:48.0,,Shooting foul by K. Irving (drawn by J. Harden),59,60
3,9:48.0,,J. Harden makes free throw 1 of 2,59,61
3,9:48.0,,J. Harden makes free throw 2 of 2,59,62
3,9:37.0,Shooting foul by P. Tucker (drawn by M. Smart),,59,62
3,9:37.0,M. Smart makes free throw 1 of 2,,60,62
3,9:37.0,M. Smart misses free throw 2 of 2,,60,62
3,9:37.0,,Defensive rebound by C. Capela,60,62
3,9:28.0,,J. Harden misses 3-pt jump shot from 26 ft,60,62
3,9:24.0,Defensive rebound by J. Tatum,,60,62
3,9:16.0,A. Horford makes 2-pt dunk from 3 ft (assist by J. Tatum),,62,62
3,9:03.0,,C. Capela misses 2-pt layup from 3 ft,62,62
3,9:02.0,,Offensive rebound by C. Capela,62,62
3,9:02.0,,Shooting foul by M. Morris (drawn by C. Capela),62,62
3,9:02.0,Technical foul by M. Morris,,62,62
3,9:02.0,,J. Harden misses technical free throw,62,62
3,9:02.0,,Offensive rebound by Team,62,62
3,9:02.0,,C. Capela makes free throw 1 of 2,62,63
3,9:02.0,,C. Capela makes free throw 2 of 2,62,64
3,8:55.0,Personal foul by E. Gordon (drawn by M. Morris),,62,64
3,8:38.0,A. Horford makes 2-pt layup from 3 ft,,64,64
3,8:22.0,,P. Tucker misses 3-pt jump shot from 23 ft,64,64
3,8:19.0,,Offensive rebound by D. House,64,64
3,8:16.0,,E. Gordon makes 3-pt jump shot from 30 ft (assist by P. Tucker),64,67
3,8:01.0,J. Tatum misses 3-pt jump shot from 27 ft,,64,67
3,7:59.0,,Defensive rebound by P. Tucker,64,67
3,7:39.0,,J. Harden misses 3-pt jump shot from 27 ft,64,67
3,7:35.0,,Offensive rebound by P. Tucker,64,67
3,7:22.0,,J. Harden misses 2-pt layup from 4 ft,64,67
3,7:20.0,Defensive rebound by A. Horford,,64,67
3,7:17.0,J. Tatum makes 2-pt dunk from 2 ft (assist by K. Irving),,66,67
3,7:01.0,,D. House misses 3-pt jump shot from 23 ft,66,67
3,6:59.0,,Offensive rebound by C. Capela,66,67
3,6:58.0,,C. Capela makes 2-pt dunk from 2 ft,66,69
3,6:58.0,Boston full timeout,,66,69
3,6:58.0,,G. Green enters the game for E. Gordon,66,69
3,6:58.0,,A. Rivers enters the game for D. House,66,69
3,6:42.0,A. Horford misses 2-pt hook shot from 8 ft (block by J. Harden),,66,69
3,6:39.0,,Defensive rebound by C. Capela,66,69
3,6:29.0,Violation by Team (kicked ball),,66,69
3,6:29.0,D. Theis enters the game for A. Horford,,66,69
3,6:19.0,,Turnover by J. Harden (bad pass),66,69
3,6:14.0,D. Theis misses 2-pt hook shot from 4 ft,,66,69
3,6:10.0,,Defensive rebound by G. Green,66,69
3,6:05.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by A. Rivers),66,72
3,5:47.0,M. Morris makes 2-pt layup from 3 ft (assist by J. Tatum),,68,72
3,5:47.0,Shooting foul by C. Capela (drawn by M. Morris),,68,72
3,5:47.0,G. Hayward enters the game for J. Tatum,,68,72
3,5:47.0,M. Morris makes free throw 1 of 1,,69,72
3,5:28.0,,Shooting foul by K. Irving (drawn by J. Harden),69,72
3,5:28.0,,J. Harden makes free throw 1 of 2,69,73
3,5:28.0,,J. Harden misses free throw 2 of 2,69,73
3,5:28.0,Defensive rebound by G. Hayward,,69,73
3,5:21.0,K. Irving makes 3-pt jump shot from 28 ft (assist by M. Smart),,72,73
3,4:57.0,,J. Harden makes 3-pt jump shot from 28 ft,72,76
3,4:48.0,G. Hayward makes 3-pt jump shot from 27 ft (assist by K. Irving),,75,76
3,4:29.0,,Turnover by A. Rivers (bad pass; steal by D. Theis),75,76
3,4:22.0,K. Irving makes 2-pt layup from 4 ft,,77,76
3,4:03.0,,J. Harden makes 3-pt jump shot from 28 ft,77,79
3,3:47.0,M. Morris makes 2-pt jump shot from 7 ft (assist by K. Irving),,79,79
3,3:40.0,,Personal foul by M. Smart (drawn by P. Tucker),79,79
3,3:40.0,J. Brown enters the game for M. Smart,,79,79
3,3:40.0,,N. Hilário enters the game for C. Capela,79,79
3,3:40.0,,P. Tucker misses free throw 1 of 2,79,79
3,3:40.0,,Offensive rebound by Team,79,79
3,3:40.0,,P. Tucker makes free throw 2 of 2,79,80
3,3:22.0,D. Theis misses 2-pt jump shot from 10 ft,,79,80
3,3:19.0,,Defensive rebound by J. Harden,79,80
3,3:09.0,,J. Harden makes 3-pt jump shot from 25 ft,79,83
3,2:50.0,K. Irving makes 2-pt jump shot from 21 ft,,81,83
3,2:28.0,,N. Hilário makes 2-pt hook shot from 4 ft (assist by J. Harden),81,85
3,1:58.0,M. Morris misses 2-pt jump shot from 20 ft,,81,85
3,1:56.0,Offensive rebound by D. Theis,,81,85
3,1:48.0,Personal foul by A. Rivers (drawn by M. Morris),,81,85
3,1:48.0,,Houston full timeout,81,85
3,1:48.0,T. Rozier enters the game for K. Irving,,81,85
3,1:48.0,J. Tatum enters the game for M. Morris,,81,85
3,1:48.0,,E. Gordon enters the game for J. Harden,81,85
3,1:48.0,,D. House enters the game for P. Tucker,81,85
3,1:35.0,Personal foul by E. Gordon (drawn by J. Brown),,81,85
3,1:35.0,J. Brown makes free throw 1 of 2,,82,85
3,1:35.0,J. Brown misses free throw 2 of 2,,82,85
3,1:35.0,,Defensive rebound by G. Green,82,85
3,1:23.0,,G. Green makes 3-pt jump shot from 26 ft (assist by A. Rivers),82,88
3,1:08.0,G. Hayward misses 2-pt jump shot from 19 ft,,82,88
3,1:07.0,,Defensive rebound by A. Rivers,82,88
3,0:55.0,,E. Gordon misses 2-pt layup from 5 ft (block by D. Theis),82,88
3,0:52.0,,Offensive rebound by N. Hilário,82,88
3,0:51.0,,G. Green misses 3-pt jump shot from 23 ft,82,88
3,0:50.0,Defensive rebound by Team,,82,88
3,0:36.0,Shooting foul by N. Hilário (drawn by D. Theis),,82,88
3,0:36.0,D. Theis misses free throw 1 of 2,,82,88
3,0:36.0,Offensive rebound by Team,,82,88
3,0:36.0,D. Theis makes free throw 2 of 2,,83,88
3,0:29.0,,A. Rivers misses 3-pt jump shot from 31 ft,83,88
3,0:25.0,,Offensive rebound by G. Green,83,88
3,0:22.0,,Personal foul by J. Tatum (drawn by G. Green),83,88
3,0:22.0,,G. Green makes free throw 1 of 2,83,89
3,0:22.0,,G. Green misses free throw 2 of 2,83,89
3,0:22.0,Defensive rebound by D. Theis,,83,89
3,0:02.0,T. Rozier makes 3-pt jump shot from 28 ft,,86,89
3,0:00.0,,A. Rivers makes 3-pt jump shot from 27 ft (assist by E. Gordon),86,92
4,11:42.0,T. Rozier misses 2-pt jump shot from 11 ft,,86,92
4,11:40.0,,Defensive rebound by D. House,86,92
4,11:34.0,,N. Hilário makes 2-pt layup from 2 ft (assist by A. Rivers),86,94
4,11:34.0,,Shooting foul by D. Theis (drawn by N. Hilário),86,94
4,11:34.0,M. Smart enters the game for J. Tatum,,86,94
4,11:34.0,,N. Hilário makes free throw 1 of 1,86,95
4,11:24.0,T. Rozier misses 3-pt jump shot from 26 ft,,86,95
4,11:21.0,,Defensive rebound by D. House,86,95
4,11:05.0,,A. Rivers misses 3-pt jump shot from 27 ft,86,95
4,11:02.0,Defensive rebound by T. Rozier,,86,95
4,10:55.0,J. Brown makes 2-pt jump shot from 9 ft (assist by M. Smart),,88,95
4,10:40.0,,Shooting foul by D. Theis (drawn by E. Gordon),88,95
4,10:40.0,,E. Gordon makes free throw 1 of 2,88,96
4,10:40.0,,E. Gordon makes free throw 2 of 2,88,97
4,10:19.0,J. Brown misses 2-pt jump shot from 19 ft,,88,97
4,10:16.0,,Defensive rebound by N. Hilário,88,97
4,10:03.0,,G. Green makes 3-pt jump shot from 23 ft (assist by D. House),88,100
4,9:52.0,M. Smart misses 2-pt layup from 4 ft (block by N. Hilário),,88,100
4,9:49.0,,Defensive rebound by N. Hilário,88,100
4,9:45.0,,G. Green misses 3-pt jump shot from 25 ft,88,100
4,9:42.0,Defensive rebound by G. Hayward,,88,100
4,9:39.0,Personal foul by G. Green (drawn by T. Rozier),,88,100
4,9:39.0,,C. Capela enters the game for N. Hilário,88,100
4,9:34.0,Shooting foul by D. House (drawn by D. Theis),,88,100
4,9:34.0,D. Theis makes free throw 1 of 2,,89,100
4,9:34.0,D. Theis makes free throw 2 of 2,,90,100
4,9:19.0,,G. Green makes 3-pt jump shot from 23 ft (assist by E. Gordon),90,103
4,8:54.0,M. Smart misses 2-pt jump shot from 9 ft,,90,103
4,8:53.0,Offensive rebound by D. Theis,,90,103
4,8:53.0,Shooting foul by E. Gordon (drawn by D. Theis),,90,103
4,8:53.0,D. Theis makes free throw 1 of 2,,91,103
4,8:53.0,K. Irving enters the game for G. Hayward,,91,103
4,8:53.0,J. Tatum enters the game for T. Rozier,,91,103
4,8:53.0,D. Theis makes free throw 2 of 2,,92,103
4,8:42.0,,E. Gordon makes 2-pt layup from 2 ft,92,105
4,8:31.0,J. Brown misses 3-pt jump shot from 26 ft,,92,105
4,8:28.0,Offensive rebound by D. Theis,,92,105
4,8:24.0,J. Brown makes 2-pt hook shot from 5 ft,,94,105
4,8:24.0,Shooting foul by D. House (drawn by J. Brown),,94,105
4,8:24.0,,J. Harden enters the game for D. House,94,105
4,8:24.0,J. Brown makes free throw 1 of 1,,95,105
4,8:06.0,,E. Gordon misses 2-pt layup from 6 ft,95,105
4,8:04.0,,Offensive rebound by C. Capela,95,105
4,8:04.0,,C. Capela makes 2-pt dunk from 1 ft,95,107
4,7:54.0,J. Brown misses 3-pt jump shot from 26 ft,,95,107
4,7:52.0,,Defensive rebound by E. Gordon,95,107
4,7:45.0,,J. Harden makes 3-pt jump shot from 27 ft,95,110
4,7:44.0,Boston full timeout,,95,110
4,7:44.0,A. Horford enters the game for M. Smart,,95,110
4,7:44.0,M. Morris enters the game for D. Theis,,95,110
4,7:44.0,,P. Tucker enters the game for E. Gordon,95,110
4,7:35.0,Shooting foul by A. Rivers (drawn by K. Irving),,95,110
4,7:35.0,K. Irving makes free throw 1 of 2,,96,110
4,7:35.0,K. Irving makes free throw 2 of 2,,97,110
4,7:24.0,,G. Green misses 3-pt jump shot from 25 ft,97,110
4,7:20.0,Defensive rebound by J. Brown,,97,110
4,7:11.0,J. Brown makes 2-pt layup from 3 ft (assist by K. Irving),,99,110
4,6:44.0,,J. Harden misses 2-pt layup from 5 ft,99,110
4,6:41.0,Defensive rebound by J. Brown,,99,110
4,6:36.0,J. Tatum misses 2-pt jump shot from 9 ft,,99,110
4,6:34.0,,Defensive rebound by G. Green,99,110
4,6:25.0,,Turnover by J. Harden (bad pass),99,110
4,6:16.0,K. Irving misses 3-pt jump shot from 26 ft,,99,110
4,6:13.0,,Defensive rebound by P. Tucker,99,110
4,5:55.0,,Shooting foul by A. Horford (drawn by J. Harden),99,110
4,5:55.0,,J. Harden makes free throw 1 of 3,99,111
4,5:55.0,,J. Harden makes free throw 2 of 3,99,112
4,5:55.0,,E. Gordon enters the game for G. Green,99,112
4,5:55.0,,J. Harden misses free throw 3 of 3,99,112
4,5:55.0,Defensive rebound by M. Morris,,99,112
4,5:34.0,M. Morris misses 3-pt jump shot from 26 ft,,99,112
4,5:30.0,,Defensive rebound by P. Tucker,99,112
4,5:19.0,,J. Harden makes 2-pt layup from 2 ft,99,114
4,5:19.0,,Shooting foul by K. Irving (drawn by J. Harden),99,114
4,5:19.0,M. Smart enters the game for J. Tatum,,99,114
4,5:19.0,,J. Harden makes free throw 1 of 1,99,115
4,5:03.0,A. Horford makes 2-pt layup from 3 ft (assist by K. Irving),,101,115
4,4:43.0,,E. Gordon misses 3-pt jump shot from 25 ft,101,115
4,4:41.0,Defensive rebound by M. Morris,,101,115
4,4:38.0,Offensive foul by M. Morris (drawn by P. Tucker),,101,115
4,4:38.0,Turnover by M. Morris (offensive foul),,101,115
4,4:38.0,Technical foul by M. Morris,,101,115
4,4:38.0,M. Morris ejected from game,,101,115
4,4:38.0,S. Ojeleye enters the game for M. Morris,,101,115
4,4:38.0,,J. Harden makes technical free throw,101,116
4,4:27.0,,A. Rivers misses 3-pt jump shot from 24 ft,101,116
4,4:24.0,Defensive rebound by K. Irving,,101,116
4,4:12.0,A. Horford makes 2-pt layup from 2 ft (assist by K. Irving),,103,116
4,3:48.0,,J. Harden misses 3-pt jump shot from 27 ft,103,116
4,3:43.0,,Offensive rebound by A. Rivers,103,116
4,3:32.0,,Turnover by E. Gordon (offensive foul),103,116
4,3:32.0,,Offensive foul by E. Gordon (drawn by K. Irving),103,116
4,3:32.0,G. Hayward enters the game for J. Brown,,103,116
4,3:19.0,S. Ojeleye makes 3-pt jump shot from 23 ft (assist by A. Horford),,106,116
