QUARTER,TIME_REMAINING,CHICAGO_ACTION,PHILADELPHIA_ACTION,CHICAGO_SCORE,PHILADELPHIA_SCORE
1,0:39.0,W. Selden makes 3-pt jump shot from 25 ft (assist by W. Lemon),,19,30
1,0:33.0,,T. McConnell makes 2-pt layup from 3 ft,19,32
1,0:23.0,W. Lemon misses 2-pt hook shot from 2 ft,,19,32
1,0:21.0,,Defensive rebound by T. McConnell,19,32
1,0:05.0,,Turnover by T. McConnell (bad pass; steal by C. Felício),19,32
1,0:01.0,Shooting foul by S. Milton (drawn by A. Blakeney),,19,32
1,0:01.0,A. Blakeney makes free throw 1 of 2,,20,32
1,0:01.0,A. Blakeney misses free throw 2 of 2,,20,32
1,0:01.0,,Defensive rebound by G. Monroe,20,32
2,11:44.0,,Shooting foul by B. Sampson (drawn by F. Korkmaz),20,32
2,11:44.0,,F. Korkmaz misses free throw 1 of 2,20,32
2,11:44.0,,Offensive rebound by Team,20,32
2,11:44.0,,F. Korkmaz makes free throw 2 of 2,20,33
2,11:34.0,B. Sampson misses 2-pt jump shot from 17 ft,,20,33
2,11:30.0,,Defensive rebound by M. Scott,20,33
2,11:10.0,,B. Marjanović misses 2-pt layup from 3 ft,20,33
2,11:07.0,Defensive rebound by W. Selden,,20,33
2,11:00.0,W. Selden makes 3-pt jump shot from 26 ft (assist by A. Blakeney),,23,33
2,10:45.0,,Z. Smith misses 3-pt jump shot from 25 ft,23,33
2,10:44.0,Defensive rebound by Team,,23,33
2,10:32.0,W. Selden misses 3-pt jump shot from 26 ft,,23,33
2,10:29.0,,Defensive rebound by F. Korkmaz,23,33
2,10:24.0,,F. Korkmaz misses 3-pt jump shot from 25 ft,23,33
2,10:20.0,Defensive rebound by W. Selden,,23,33
2,10:18.0,W. Lemon makes 2-pt layup from 1 ft (assist by W. Selden),,25,33
2,10:05.0,,T. McConnell makes 2-pt jump shot from 16 ft (assist by M. Scott),25,35
2,9:40.0,C. Felício misses 2-pt jump shot from 18 ft,,25,35
2,9:37.0,,Defensive rebound by M. Scott,25,35
2,9:33.0,,Personal foul by C. Felício (drawn by B. Marjanović),25,35
2,9:33.0,R. Alkins enters the game for B. Sampson,,25,35
2,9:27.0,,M. Scott makes 3-pt jump shot from 30 ft (assist by Z. Smith),25,38
2,9:13.0,W. Lemon makes 3-pt jump shot from 26 ft (assist by W. Selden),,28,38
2,9:00.0,,F. Korkmaz misses 3-pt jump shot from 28 ft,28,38
2,8:57.0,Defensive rebound by A. Blakeney,,28,38
2,8:51.0,W. Lemon makes 3-pt jump shot from 25 ft (assist by A. Blakeney),,31,38
2,8:35.0,,B. Marjanović makes 2-pt jump shot from 15 ft,31,40
2,8:22.0,W. Lemon makes 2-pt jump shot from 19 ft,,33,40
2,8:03.0,,B. Marjanović misses 2-pt hook shot from 4 ft,33,40
2,8:02.0,Defensive rebound by W. Lemon,,33,40
2,7:57.0,W. Lemon misses 2-pt layup from 5 ft (block by T. McConnell),,33,40
2,7:54.0,Offensive rebound by W. Lemon,,33,40
2,7:52.0,W. Selden misses 2-pt jump shot from 11 ft,,33,40
2,7:52.0,Offensive rebound by Team,,33,40
2,7:51.0,,Loose ball foul by M. Scott (drawn by C. Felício),33,40
2,7:51.0,,S. Milton enters the game for F. Korkmaz,33,40
2,7:51.0,,J. Simmons enters the game for T. McConnell,33,40
2,7:41.0,Turnover by R. Alkins (out of bounds lost ball),,33,40
2,7:24.0,,B. Marjanović makes 2-pt layup from 1 ft (assist by Z. Smith),33,42
2,7:09.0,W. Lemon misses 2-pt layup from 2 ft,,33,42
2,7:07.0,,Defensive rebound by B. Marjanović,33,42
2,6:56.0,,J. Simmons makes 3-pt jump shot from 26 ft (assist by B. Marjanović),33,45
2,6:40.0,W. Selden misses 3-pt jump shot from 25 ft,,33,45
2,6:37.0,Offensive rebound by C. Felício,,33,45
2,6:34.0,A. Blakeney misses 3-pt jump shot from 26 ft,,33,45
2,6:31.0,,Defensive rebound by J. Simmons,33,45
2,6:26.0,,Z. Smith makes 2-pt dunk from 1 ft (assist by J. Simmons),33,47
2,6:26.0,Chicago full timeout,,33,47
2,6:26.0,R. Arcidiacono enters the game for A. Blakeney,,33,47
2,6:26.0,R. Lopez enters the game for C. Felício,,33,47
2,6:26.0,,G. Monroe enters the game for B. Marjanović,33,47
2,6:18.0,R. Arcidiacono makes 3-pt jump shot from 26 ft (assist by W. Lemon),,36,47
2,5:57.0,,Z. Smith makes 2-pt jump shot from 6 ft (assist by G. Monroe),36,49
2,5:40.0,W. Lemon misses 2-pt layup from 3 ft,,36,49
2,5:37.0,,Defensive rebound by M. Scott,36,49
2,5:22.0,,Z. Smith misses 3-pt jump shot from 25 ft,36,49
2,5:19.0,Defensive rebound by W. Lemon,,36,49
2,5:07.0,Turnover by R. Arcidiacono (bad pass; steal by S. Milton),,36,49
2,5:03.0,,S. Milton makes 2-pt layup from 2 ft,36,51
2,4:36.0,W. Selden makes 2-pt jump shot from 14 ft,,38,51
2,4:11.0,,G. Monroe makes 2-pt layup from 2 ft (assist by S. Milton),38,53
2,3:48.0,R. Lopez makes 2-pt hook shot from 3 ft,,40,53
2,3:38.0,,G. Monroe misses 2-pt jump shot from 14 ft,40,53
2,3:34.0,Defensive rebound by W. Selden,,40,53
2,3:29.0,W. Selden makes 2-pt jump shot from 4 ft,,42,53
2,3:28.0,,Philadelphia full timeout,42,53
2,3:28.0,S. Harrison enters the game for R. Alkins,,42,53
2,3:28.0,T. Luwawu-Cabarrot enters the game for W. Selden,,42,53
2,3:28.0,,A. Johnson enters the game for S. Milton,42,53
2,3:28.0,,F. Korkmaz enters the game for M. Scott,42,53
2,3:28.0,,T. McConnell enters the game for Z. Smith,42,53
2,3:07.0,,T. McConnell makes 2-pt layup from 2 ft,42,55
2,2:50.0,T. Luwawu-Cabarrot misses 2-pt layup from 2 ft (block by A. Johnson),,42,55
2,2:47.0,,Defensive rebound by J. Simmons,42,55
2,2:41.0,,J. Simmons makes 3-pt jump shot from 26 ft,42,58
2,2:25.0,R. Arcidiacono misses 2-pt jump shot from 7 ft (block by J. Simmons),,42,58
2,2:22.0,Offensive rebound by R. Arcidiacono,,42,58
2,2:16.0,S. Harrison misses 3-pt jump shot from 26 ft,,42,58
2,2:13.0,,Defensive rebound by A. Johnson,42,58
2,2:01.0,,Personal foul by W. Lemon (drawn by J. Simmons),42,58
2,1:54.0,,F. Korkmaz misses 2-pt jump shot from 13 ft,42,58
2,1:50.0,Defensive rebound by T. Luwawu-Cabarrot,,42,58
2,1:38.0,T. Luwawu-Cabarrot misses 2-pt layup from 3 ft,,42,58
2,1:36.0,,Defensive rebound by A. Johnson,42,58
2,1:27.0,,G. Monroe makes 2-pt layup from 1 ft (assist by T. McConnell),42,60
2,1:03.0,W. Lemon misses 2-pt jump shot from 7 ft,,42,60
2,1:02.0,Offensive rebound by Team,,42,60
2,1:02.0,Turnover by Team (shot clock),,42,60
2,0:50.0,,G. Monroe makes 2-pt layup from 1 ft (assist by F. Korkmaz),42,62
2,0:39.0,W. Lemon misses 2-pt jump shot from 16 ft,,42,62
2,0:32.0,,Defensive rebound by J. Simmons,42,62
2,0:25.0,,J. Simmons misses 3-pt jump shot from 26 ft,42,62
2,0:21.0,Defensive rebound by S. Harrison,,42,62
2,0:07.0,Personal take foul by T. McConnell (drawn by W. Lemon),,42,62
2,0:01.0,W. Lemon misses 2-pt jump shot from 14 ft,,42,62
2,0:00.0,Offensive rebound by Team,,42,62
3,11:44.0,,F. Korkmaz makes 2-pt layup from 3 ft (assist by B. Marjanović),42,64
3,11:20.0,R. Lopez makes 2-pt hook shot from 4 ft,,44,64
3,11:08.0,,B. Marjanović makes 2-pt jump shot from 13 ft (assist by T. McConnell),44,66
3,10:50.0,S. Harrison misses 2-pt layup from 5 ft,,44,66
3,10:46.0,Offensive rebound by R. Lopez,,44,66
3,10:43.0,W. Selden misses 2-pt jump shot from 9 ft (block by M. Scott),,44,66
3,10:39.0,,Defensive rebound by B. Marjanović,44,66
3,10:30.0,,B. Marjanović misses 3-pt jump shot from 24 ft,44,66
3,10:26.0,Defensive rebound by T. Luwawu-Cabarrot,,44,66
3,10:15.0,T. Luwawu-Cabarrot misses 2-pt layup from 4 ft,,44,66
3,10:12.0,,Defensive rebound by Z. Smith,44,66
3,9:59.0,,M. Scott misses 2-pt layup from 1 ft,44,66
3,9:56.0,Defensive rebound by S. Harrison,,44,66
3,9:52.0,S. Harrison makes 2-pt layup from 1 ft,,46,66
3,9:39.0,,Shooting foul by T. Luwawu-Cabarrot (drawn by Z. Smith),46,66
3,9:39.0,,Z. Smith makes free throw 1 of 2,46,67
3,9:39.0,,Z. Smith misses free throw 2 of 2,46,67
3,9:36.0,Defensive rebound by R. Arcidiacono,,46,67
3,9:31.0,Shooting foul by F. Korkmaz (drawn by S. Harrison),,46,67
3,9:31.0,S. Harrison makes free throw 1 of 2,,47,67
3,9:31.0,S. Harrison makes free throw 2 of 2,,48,67
3,9:20.0,,F. Korkmaz makes 3-pt jump shot from 27 ft,48,70
3,8:54.0,R. Lopez misses 2-pt hook shot from 3 ft,,48,70
3,8:51.0,,Defensive rebound by T. McConnell,48,70
3,8:44.0,,M. Scott misses 2-pt layup from 3 ft (block by S. Harrison),48,70
3,8:44.0,,Offensive rebound by Team,48,70
3,8:41.0,,B. Marjanović makes 3-pt jump shot from 24 ft (assist by T. McConnell),48,73
3,8:13.0,S. Harrison misses 3-pt jump shot from 23 ft,,48,73
3,8:10.0,,Defensive rebound by B. Marjanović,48,73
3,8:05.0,,T. McConnell makes 2-pt jump shot from 9 ft,48,75
3,8:04.0,Chicago full timeout,,48,75
3,8:04.0,,J. Simmons enters the game for F. Korkmaz,48,75
3,7:42.0,R. Lopez misses 2-pt hook shot from 5 ft,,48,75
3,7:39.0,,Defensive rebound by Z. Smith,48,75
3,7:22.0,,T. McConnell makes 2-pt jump shot from 9 ft (assist by J. Simmons),48,77
3,7:01.0,R. Arcidiacono misses 3-pt jump shot from 25 ft,,48,77
3,6:57.0,Offensive rebound by R. Lopez,,48,77
3,6:57.0,R. Lopez makes 2-pt layup at rim,,50,77
3,6:49.0,,J. Simmons makes 2-pt jump shot from 4 ft,50,79
3,6:31.0,W. Selden makes 2-pt layup at rim (assist by R. Lopez),,52,79
3,6:06.0,,J. Simmons makes 2-pt jump shot from 19 ft (assist by B. Marjanović),52,81
3,6:06.0,,Shooting foul by R. Arcidiacono (drawn by J. Simmons),52,81
3,6:06.0,R. Alkins enters the game for R. Arcidiacono,,52,81
3,6:06.0,W. Lemon enters the game for T. Luwawu-Cabarrot,,52,81
3,6:06.0,,A. Johnson enters the game for B. Marjanović,52,81
3,6:06.0,,S. Milton enters the game for T. McConnell,52,81
3,6:06.0,,G. Monroe enters the game for M. Scott,52,81
3,6:06.0,,J. Simmons makes free throw 1 of 1,52,82
3,5:43.0,R. Lopez makes 2-pt hook shot from 3 ft,,54,82
3,5:25.0,,G. Monroe misses 2-pt jump shot from 4 ft,54,82
3,5:23.0,Defensive rebound by W. Selden,,54,82
3,5:21.0,Offensive foul by W. Selden (drawn by J. Simmons),,54,82
3,5:21.0,Turnover by W. Selden (offensive foul),,54,82
3,5:08.0,,Z. Smith makes 3-pt jump shot from 25 ft,54,85
3,4:56.0,W. Selden misses 3-pt jump shot from 26 ft,,54,85
3,4:54.0,,Defensive rebound by G. Monroe,54,85
3,4:47.0,,J. Simmons misses 3-pt jump shot from 26 ft,54,85
3,4:43.0,Defensive rebound by W. Selden,,54,85
3,4:33.0,W. Lemon misses 2-pt jump shot from 17 ft,,54,85
3,4:28.0,,Defensive rebound by G. Monroe,54,85
3,4:12.0,,S. Milton misses 3-pt jump shot from 26 ft,54,85
3,4:09.0,Defensive rebound by R. Lopez,,54,85
3,4:05.0,S. Harrison makes 2-pt layup from 1 ft,,56,85
3,3:46.0,,A. Johnson makes 3-pt jump shot from 24 ft (assist by J. Simmons),56,88
3,3:32.0,W. Lemon misses 2-pt layup from 1 ft (block by S. Milton),,56,88
3,3:32.0,Offensive rebound by Team,,56,88
3,3:32.0,,H. Highsmith enters the game for Z. Smith,56,88
3,3:21.0,S. Harrison misses 2-pt jump shot from 17 ft,,56,88
3,3:17.0,,Defensive rebound by H. Highsmith,56,88
3,3:09.0,,G. Monroe makes 3-pt jump shot from 28 ft (assist by J. Simmons),56,91
3,2:58.0,Shooting foul by G. Monroe (drawn by R. Alkins),,56,91
3,2:58.0,,Philadelphia full timeout,56,91
3,2:58.0,B. Sampson enters the game for S. Harrison,,56,91
3,2:58.0,R. Alkins misses free throw 1 of 2,,56,91
3,2:58.0,Offensive rebound by Team,,56,91
3,2:58.0,R. Alkins makes free throw 2 of 2,,57,91
3,2:40.0,,J. Simmons misses 2-pt layup from 2 ft (block by B. Sampson),57,91
3,2:37.0,,Offensive rebound by Team,57,91
3,2:33.0,,G. Monroe misses 2-pt jump shot from 18 ft,57,91
3,2:30.0,,Offensive rebound by A. Johnson,57,91
3,2:25.0,,Shooting foul by W. Lemon (drawn by G. Monroe),57,91
3,2:25.0,,G. Monroe makes free throw 1 of 2,57,92
3,2:25.0,,G. Monroe makes free throw 2 of 2,57,93
3,2:10.0,B. Sampson makes 2-pt jump shot from 9 ft,,59,93
3,1:56.0,,J. Simmons makes 2-pt jump shot from 11 ft,59,95
3,1:38.0,B. Sampson misses 3-pt jump shot from 26 ft,,59,95
3,1:32.0,Offensive rebound by W. Selden,,59,95
3,1:25.0,B. Sampson makes 3-pt jump shot from 24 ft (assist by R. Alkins),,62,95
3,1:05.0,,S. Milton misses 2-pt layup from 7 ft,62,95
3,1:00.0,,Offensive rebound by A. Johnson,62,95
3,1:00.0,,A. Johnson misses 2-pt layup from 1 ft,62,95
3,0:58.0,,Offensive rebound by A. Johnson,62,95
3,0:58.0,,A. Johnson misses 2-pt layup from 1 ft,62,95
3,0:58.0,,Offensive rebound by J. Simmons,62,95
3,0:56.0,,J. Simmons misses 3-pt jump shot from 25 ft,62,95
3,0:54.0,Defensive rebound by B. Sampson,,62,95
3,0:48.0,R. Alkins misses 3-pt jump shot from 26 ft,,62,95
3,0:45.0,,Defensive rebound by J. Simmons,62,95
3,0:28.0,,J. Simmons makes 2-pt jump shot from 19 ft,62,97
3,0:05.0,W. Lemon misses 2-pt layup from 3 ft (block by S. Milton),,62,97
3,0:04.0,Offensive rebound by W. Lemon,,62,97
3,0:04.0,W. Lemon makes 2-pt layup from 2 ft,,64,97
4,11:52.0,W. Lemon makes 2-pt layup from 1 ft,,66,97
4,11:36.0,,Turnover by B. Marjanović (bad pass),66,97
4,11:22.0,R. Alkins makes 2-pt jump shot from 8 ft (assist by T. Luwawu-Cabarrot),,68,97
4,11:22.0,Shooting foul by S. Milton (drawn by R. Alkins),,68,97
4,11:22.0,R. Alkins misses free throw 1 of 1,,68,97
4,11:18.0,,Defensive rebound by A. Johnson,68,97
4,11:05.0,,Z. Smith misses 2-pt jump shot from 16 ft,68,97
4,11:03.0,Defensive rebound by W. Lemon,,68,97
4,10:56.0,B. Sampson makes 3-pt jump shot from 25 ft (assist by W. Lemon),,71,97
4,10:55.0,,Philadelphia full timeout,71,97
4,10:42.0,,H. Highsmith makes 2-pt jump shot from 13 ft (assist by S. Milton),71,99
4,10:29.0,B. Sampson misses 3-pt jump shot from 27 ft,,71,99
4,10:25.0,,Defensive rebound by B. Marjanović,71,99
4,10:10.0,,B. Marjanović makes 2-pt layup from 2 ft,71,101
4,9:56.0,R. Alkins misses 2-pt layup from 3 ft,,71,101
4,9:54.0,Offensive rebound by Team,,71,101
4,9:48.0,T. Luwawu-Cabarrot makes 2-pt layup from 2 ft,,73,101
4,9:48.0,,Violation by Team (def goaltending),73,101
4,9:33.0,,Z. Smith misses 2-pt jump shot from 15 ft,73,101
4,9:31.0,Defensive rebound by C. Felício,,73,101
4,9:26.0,W. Lemon makes 2-pt layup from 3 ft,,75,101
4,9:12.0,,B. Marjanović misses 2-pt jump shot from 5 ft,75,101
4,9:09.0,Defensive rebound by T. Luwawu-Cabarrot,,75,101
4,9:04.0,Turnover by W. Lemon (bad pass; steal by S. Milton),,75,101
4,9:00.0,,S. Milton makes 2-pt layup from 2 ft,75,103
4,8:39.0,Turnover by B. Sampson (bad pass; steal by H. Highsmith),,75,103
4,8:27.0,,S. Milton misses 3-pt jump shot from 25 ft,75,103
4,8:25.0,,Offensive rebound by A. Johnson,75,103
4,8:25.0,,A. Johnson makes 2-pt hook shot from 3 ft,75,105
4,8:25.0,,Shooting foul by T. Luwawu-Cabarrot (drawn by A. Johnson),75,105
4,8:25.0,,A. Johnson makes free throw 1 of 1,75,106
4,8:16.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 26 ft (assist by W. Lemon),,78,106
4,7:59.0,,Personal foul by T. Luwawu-Cabarrot (drawn by A. Johnson),78,106
4,7:59.0,R. Arcidiacono enters the game for R. Alkins,,78,106
4,7:59.0,,J. Simmons enters the game for A. Johnson,78,106
4,7:54.0,,Turnover by J. Simmons (bad pass),78,106
4,7:46.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 27 ft,,78,106
4,7:42.0,Offensive rebound by C. Felício,,78,106
4,7:38.0,Shooting foul by S. Milton (drawn by R. Arcidiacono),,78,106
4,7:38.0,R. Arcidiacono makes free throw 1 of 2,,79,106
4,7:38.0,R. Arcidiacono makes free throw 2 of 2,,80,106
4,7:26.0,,B. Marjanović makes 2-pt jump shot from 3 ft (assist by Z. Smith),80,108
4,7:13.0,T. Luwawu-Cabarrot makes 2-pt layup from 1 ft (assist by R. Arcidiacono),,82,108
4,6:50.0,,Z. Smith misses 2-pt layup from 2 ft,82,108
4,6:44.0,,Offensive rebound by Z. Smith,82,108
4,6:44.0,,Z. Smith makes 2-pt layup from 1 ft,82,110
4,6:38.0,W. Lemon makes 2-pt layup from 1 ft,,84,110
4,6:26.0,,Z. Smith makes 3-pt jump shot from 27 ft (assist by B. Marjanović),84,113
4,6:19.0,Chicago full timeout,,84,113
4,6:19.0,A. Blakeney enters the game for W. Lemon,,84,113
4,6:19.0,,A. Johnson enters the game for H. Highsmith,84,113
4,6:19.0,,G. Monroe enters the game for B. Marjanović,84,113
4,6:06.0,A. Blakeney makes 2-pt jump shot from 20 ft (assist by B. Sampson),,86,113
4,5:49.0,,A. Johnson makes 2-pt layup from 3 ft (assist by Z. Smith),86,115
4,5:39.0,Shooting foul by A. Johnson (drawn by T. Luwawu-Cabarrot),,86,115
4,5:39.0,T. Luwawu-Cabarrot makes free throw 1 of 2,,87,115
4,5:39.0,,H. Highsmith enters the game for Z. Smith,87,115
4,5:39.0,T. Luwawu-Cabarrot makes free throw 2 of 2,,88,115
4,5:26.0,,S. Milton makes 3-pt jump shot from 25 ft (assist by J. Simmons),88,118
4,5:07.0,R. Arcidiacono makes 2-pt jump shot from 18 ft (assist by C. Felício),,90,118
4,5:07.0,Shooting foul by S. Milton (drawn by R. Arcidiacono),,90,118
4,5:07.0,R. Arcidiacono makes free throw 1 of 1,,91,118
4,4:52.0,,J. Simmons makes 2-pt layup from 2 ft (assist by G. Monroe),91,120
4,4:52.0,,Shooting foul by A. Blakeney (drawn by J. Simmons),91,120
4,4:52.0,,J. Simmons misses free throw 1 of 1,91,120
4,4:50.0,Defensive rebound by Team,,91,120
4,4:50.0,Chicago full timeout,,91,120
4,4:37.0,T. Luwawu-Cabarrot makes 2-pt layup from 2 ft,,93,120
4,4:21.0,,A. Johnson misses 3-pt jump shot from 26 ft,93,120
4,4:17.0,Defensive rebound by R. Arcidiacono,,93,120
4,4:07.0,R. Arcidiacono makes 2-pt jump shot from 9 ft,,95,120
4,3:55.0,,Shooting foul by B. Sampson (drawn by A. Johnson),95,120
4,3:55.0,,A. Johnson makes free throw 1 of 2,95,121
4,3:55.0,,A. Johnson makes free throw 2 of 2,95,122
4,3:36.0,T. Luwawu-Cabarrot misses 2-pt jump shot from 21 ft,,95,122
4,3:32.0,,Defensive rebound by J. Simmons,95,122
4,3:19.0,,Turnover by J. Simmons (bad pass; steal by A. Blakeney),95,122
4,3:14.0,A. Blakeney makes 2-pt dunk from 1 ft (assist by R. Arcidiacono),,97,122
4,3:01.0,,Shooting foul by B. Sampson (drawn by H. Highsmith),97,122
4,3:01.0,,H. Highsmith misses free throw 1 of 2,97,122
4,3:01.0,,Offensive rebound by Team,97,122
4,3:01.0,R. Alkins enters the game for T. Luwawu-Cabarrot,,97,122
4,3:01.0,,H. Highsmith misses free throw 2 of 2,97,122
4,2:56.0,Defensive rebound by C. Felício,,97,122
4,2:45.0,R. Arcidiacono makes 2-pt jump shot from 9 ft,,99,122
4,2:31.0,,A. Johnson misses 2-pt layup from 4 ft,99,122
4,2:31.0,Defensive rebound by R. Arcidiacono,,99,122
4,2:22.0,B. Sampson makes 2-pt jump shot from 9 ft (assist by R. Arcidiacono),,101,122
4,2:09.0,,G. Monroe misses 2-pt jump shot from 17 ft,101,122
4,2:06.0,Defensive rebound by C. Felício,,101,122
4,1:56.0,A. Blakeney makes 2-pt jump shot from 8 ft,,103,122
4,1:44.0,,J. Simmons makes 3-pt jump shot from 26 ft,103,125
