QUARTER,TIME_REMAINING,CHICAGO_ACTION,DALLAS_ACTION,CHICAGO_SCORE,DALLAS_SCORE
1,1:35.0,J. Parker makes 2-pt jump shot from 19 ft (assist by R. Lopez),,26,29
1,1:19.0,,J. Barea misses 2-pt jump shot from 17 ft,26,29
1,1:19.0,,Offensive rebound by Team,26,29
1,1:19.0,Loose ball foul by R. Lopez (drawn by D. Powell),,26,29
1,1:19.0,A. Blakeney enters the game for J. Holiday,,26,29
1,1:19.0,,J. Brunson enters the game for L. Dončić,26,29
1,1:11.0,,W. Matthews misses 3-pt jump shot from 26 ft,26,29
1,1:08.0,Defensive rebound by C. Payne,,26,29
1,0:56.0,J. Parker makes 2-pt jump shot from 16 ft (assist by C. Payne),,28,29
1,0:41.0,,Personal foul by R. Lopez (drawn by D. Powell),28,29
1,0:41.0,Technical foul by R. Lopez,,28,29
1,0:41.0,,J. Barea misses technical free throw,28,29
1,0:41.0,,Offensive rebound by Team,28,29
1,0:41.0,,D. Powell makes free throw 2 of 2,28,30
1,0:41.0,,D. Powell makes free throw 1 of 2,28,31
1,0:41.0,W. Carter enters the game for R. Lopez,,28,31
1,0:41.0,,D. Finney-Smith enters the game for W. Matthews,28,31
1,0:29.0,J. Parker misses 2-pt layup from 1 ft (block by M. Kleber),,28,31
1,0:29.0,Offensive rebound by Team,,28,31
1,0:27.0,A. Blakeney misses 2-pt jump shot from 19 ft,,28,31
1,0:24.0,,Defensive rebound by D. Powell,28,31
1,0:01.0,,J. Barea misses 2-pt jump shot from 13 ft,28,31
1,0:00.0,Defensive rebound by W. Carter,,28,31
2,11:44.0,,J. Brunson misses 3-pt jump shot from 26 ft,28,31
2,11:39.0,Defensive rebound by C. Hutchison,,28,31
2,11:25.0,C. Payne makes 2-pt layup from 1 ft (assist by W. Carter),,30,31
2,11:13.0,,J. Barea misses 3-pt jump shot from 26 ft,30,31
2,11:11.0,Defensive rebound by Team,,30,31
2,10:57.0,W. Carter misses 2-pt jump shot from 20 ft,,30,31
2,10:54.0,,Defensive rebound by M. Kleber,30,31
2,10:41.0,,J. Brunson makes 3-pt jump shot from 26 ft (assist by M. Kleber),30,34
2,10:29.0,J. Parker makes 3-pt jump shot from 25 ft,,33,34
2,10:15.0,,J. Barea makes 2-pt jump shot from 5 ft,33,36
2,10:15.0,,Shooting foul by C. Payne (drawn by J. Barea),33,36
2,10:15.0,Z. LaVine enters the game for A. Blakeney,,33,36
2,10:15.0,,R. Broekhoff enters the game for D. Finney-Smith,33,36
2,10:15.0,,J. Barea makes free throw 1 of 1,33,37
2,10:05.0,J. Parker makes 2-pt jump shot from 5 ft,,35,37
2,10:05.0,Shooting foul by M. Kleber (drawn by J. Parker),,35,37
2,10:05.0,,D. Finney-Smith enters the game for M. Kleber,35,37
2,10:05.0,J. Parker makes free throw 1 of 1,,36,37
2,9:49.0,,R. Broekhoff misses 3-pt jump shot from 26 ft,36,37
2,9:46.0,,Offensive rebound by J. Barea,36,37
2,9:39.0,,Turnover by J. Barea (bad pass; steal by C. Hutchison),36,37
2,9:28.0,Def 3 sec tech foul by Team,,36,37
2,9:28.0,Z. LaVine makes technical free throw,,37,37
2,9:16.0,J. Parker misses 3-pt jump shot from 25 ft,,37,37
2,9:14.0,,Defensive rebound by D. Finney-Smith,37,37
2,9:05.0,,Personal foul by C. Hutchison (drawn by D. Powell),37,37
2,8:58.0,,J. Brunson misses 2-pt layup from 4 ft,37,37
2,8:58.0,Defensive rebound by Team,,37,37
2,8:42.0,Z. LaVine makes 2-pt jump shot from 14 ft,,39,37
2,8:31.0,,J. Barea misses 3-pt jump shot from 25 ft,39,37
2,8:28.0,,Offensive rebound by D. Finney-Smith,39,37
2,8:23.0,,D. Finney-Smith misses 3-pt jump shot from 25 ft,39,37
2,8:21.0,Defensive rebound by W. Carter,,39,37
2,8:16.0,Offensive foul by J. Parker (drawn by J. Brunson),,39,37
2,8:16.0,Turnover by J. Parker (offensive foul),,39,37
2,8:16.0,,Dallas full timeout,39,37
2,8:16.0,,D. Smith enters the game for J. Barea,39,37
2,8:02.0,,J. Brunson misses 2-pt jump shot from 13 ft,39,37
2,7:58.0,Defensive rebound by C. Payne,,39,37
2,7:54.0,C. Payne misses 2-pt jump shot from 23 ft,,39,37
2,7:52.0,Offensive rebound by Z. LaVine,,39,37
2,7:43.0,W. Carter misses 2-pt hook shot from 7 ft,,39,37
2,7:42.0,,Defensive rebound by J. Brunson,39,37
2,7:42.0,,Personal foul by W. Carter (drawn by J. Brunson),39,37
2,7:42.0,K. Dunn enters the game for C. Payne,,39,37
2,7:42.0,,L. Dončić enters the game for R. Broekhoff,39,37
2,7:42.0,,D. Jordan enters the game for D. Powell,39,37
2,7:26.0,,J. Brunson makes 3-pt jump shot from 25 ft (assist by D. Smith),39,40
2,7:09.0,K. Dunn makes 3-pt jump shot from 24 ft (assist by J. Parker),,42,40
2,6:58.0,,L. Dončić makes 3-pt jump shot from 25 ft,42,43
2,6:49.0,K. Dunn makes 2-pt layup from 5 ft,,44,43
2,6:38.0,,L. Dončić misses 2-pt jump shot from 5 ft,44,43
2,6:35.0,Defensive rebound by Z. LaVine,,44,43
2,6:31.0,Turnover by W. Carter (lost ball; steal by J. Brunson),,44,43
2,6:14.0,,D. Finney-Smith misses 3-pt jump shot from 23 ft,44,43
2,6:12.0,,Offensive rebound by D. Jordan,44,43
2,6:02.0,,L. Dončić makes 2-pt jump shot from 10 ft,44,45
2,5:41.0,Z. LaVine makes 3-pt jump shot from 25 ft,,47,45
2,5:26.0,,Personal foul by C. Hutchison (drawn by L. Dončić),47,45
2,5:26.0,J. Holiday enters the game for C. Hutchison,,47,45
2,5:26.0,,W. Matthews enters the game for J. Brunson,47,45
2,5:18.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),47,47
2,5:02.0,Shooting foul by L. Dončić (drawn by J. Holiday),,47,47
2,5:02.0,J. Holiday makes free throw 1 of 2,,48,47
2,5:02.0,J. Holiday makes free throw 2 of 2,,49,47
2,4:44.0,,Turnover by D. Smith (bad pass; steal by Z. LaVine),49,47
2,4:39.0,K. Dunn misses 2-pt layup from 1 ft,,49,47
2,4:37.0,Offensive rebound by J. Parker,,49,47
2,4:35.0,J. Parker makes 2-pt dunk at rim,,51,47
2,4:19.0,,L. Dončić makes 3-pt jump shot from 25 ft,51,50
2,3:59.0,Shooting foul by D. Finney-Smith (drawn by Z. LaVine),,51,50
2,3:59.0,Z. LaVine makes free throw 1 of 2,,52,50
2,3:59.0,B. Portis enters the game for J. Parker,,52,50
2,3:59.0,Z. LaVine makes free throw 2 of 2,,53,50
2,3:41.0,,D. Smith makes 3-pt jump shot from 26 ft (assist by W. Matthews),53,53
2,3:20.0,Z. LaVine makes 2-pt jump shot from 16 ft,,55,53
2,3:00.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by W. Matthews),55,55
2,2:51.0,J. Holiday makes 2-pt jump shot from 15 ft,,57,55
2,2:26.0,,L. Dončić misses 2-pt layup from 3 ft,57,55
2,2:24.0,Defensive rebound by W. Carter,,57,55
2,2:21.0,B. Portis makes 2-pt layup from 2 ft (assist by K. Dunn),,59,55
2,2:21.0,Shooting foul by D. Smith (drawn by B. Portis),,59,55
2,2:21.0,Chicago full timeout,,59,55
2,2:21.0,B. Portis misses free throw 1 of 1,,59,55
2,2:21.0,,Defensive rebound by D. Jordan,59,55
2,2:07.0,,Turnover by D. Finney-Smith (bad pass; steal by J. Holiday),59,55
2,1:56.0,Def 3 sec tech foul by Team,,59,55
2,1:56.0,Z. LaVine misses technical free throw,,59,55
2,1:56.0,Offensive rebound by Team,,59,55
2,1:56.0,C. Payne enters the game for K. Dunn,,59,55
2,1:53.0,Turnover by Z. LaVine (step out of bounds),,59,55
2,1:38.0,,D. Finney-Smith makes 2-pt jump shot from 13 ft (assist by W. Matthews),59,57
2,1:21.0,B. Portis misses 2-pt jump shot from 16 ft,,59,57
2,1:18.0,,Defensive rebound by D. Jordan,59,57
2,1:08.0,,Turnover by L. Dončić (bad pass),59,57
2,1:08.0,C. Hutchison enters the game for Z. LaVine,,59,57
2,0:53.0,J. Holiday misses 2-pt jump shot from 17 ft,,59,57
2,0:51.0,,Defensive rebound by D. Finney-Smith,59,57
2,0:46.0,,Personal foul by C. Payne (drawn by D. Smith),59,57
2,0:46.0,,D. Smith makes free throw 1 of 2,59,58
2,0:46.0,,D. Smith makes free throw 2 of 2,59,59
2,0:37.0,C. Payne makes 2-pt jump shot from 13 ft,,61,59
2,0:21.0,,D. Smith misses 3-pt jump shot from 26 ft,61,59
2,0:18.0,Defensive rebound by B. Portis,,61,59
2,0:03.0,C. Payne misses 2-pt layup from 7 ft,,61,59
2,0:01.0,,Defensive rebound by W. Matthews,61,59
3,11:38.0,,Turnover by D. Finney-Smith (traveling),61,59
3,11:19.0,W. Carter misses 2-pt jump shot from 18 ft,,61,59
3,11:17.0,,Defensive rebound by D. Smith,61,59
3,11:03.0,,D. Jordan makes 2-pt hook shot from 5 ft (assist by L. Dončić),61,61
3,10:45.0,B. Portis misses 2-pt jump shot from 17 ft,,61,61
3,10:43.0,,Defensive rebound by L. Dončić,61,61
3,10:35.0,,W. Matthews misses 2-pt jump shot from 13 ft,61,61
3,10:30.0,Defensive rebound by W. Carter,,61,61
3,10:26.0,Turnover by K. Dunn (bad pass; steal by D. Finney-Smith),,61,61
3,10:20.0,,D. Smith misses 2-pt jump shot from 21 ft,61,61
3,10:16.0,Defensive rebound by W. Carter,,61,61
3,10:10.0,Personal foul by D. Smith (drawn by B. Portis),,61,61
3,9:59.0,Z. LaVine makes 3-pt jump shot from 25 ft,,64,61
3,9:35.0,,W. Matthews misses 3-pt jump shot from 25 ft,64,61
3,9:32.0,Defensive rebound by Z. LaVine,,64,61
3,9:26.0,Z. LaVine misses 3-pt jump shot from 26 ft,,64,61
3,9:23.0,,Defensive rebound by D. Jordan,64,61
3,9:14.0,,D. Smith misses 2-pt jump shot from 18 ft,64,61
3,9:10.0,Defensive rebound by B. Portis,,64,61
3,9:06.0,Offensive foul by W. Carter (drawn by W. Matthews),,64,61
3,9:06.0,Turnover by W. Carter (offensive foul),,64,61
3,8:50.0,,D. Jordan misses 2-pt dunk from 4 ft,64,61
3,8:48.0,Defensive rebound by K. Dunn,,64,61
3,8:47.0,B. Portis makes 2-pt dunk at rim (assist by K. Dunn),,66,61
3,8:46.0,,Dallas full timeout,66,61
3,8:35.0,,Personal foul by K. Dunn (drawn by L. Dončić),66,61
3,8:30.0,,D. Jordan makes 2-pt hook shot from 2 ft (assist by L. Dončić),66,63
3,8:13.0,B. Portis makes 2-pt hook shot from 6 ft,,68,63
3,8:01.0,,D. Finney-Smith makes 3-pt jump shot from 24 ft (assist by D. Smith),68,66
3,7:38.0,K. Dunn misses 3-pt jump shot from 27 ft,,68,66
3,7:35.0,,Defensive rebound by D. Jordan,68,66
3,7:27.0,,Turnover by D. Smith (bad pass; steal by Z. LaVine),68,66
3,7:24.0,Z. LaVine makes 2-pt dunk from 1 ft,,70,66
3,7:03.0,,Shooting foul by B. Portis (drawn by W. Matthews),70,66
3,7:03.0,,W. Matthews makes free throw 1 of 2,70,67
3,7:03.0,,W. Matthews makes free throw 2 of 2,70,68
3,6:47.0,Personal foul by D. Finney-Smith (drawn by B. Portis),,70,68
3,6:33.0,J. Holiday misses 3-pt jump shot from 24 ft,,70,68
3,6:30.0,,Defensive rebound by D. Finney-Smith,70,68
3,6:23.0,,Turnover by W. Matthews (bad pass),70,68
3,5:59.0,W. Carter makes 2-pt dunk from 1 ft (assist by Z. LaVine),,72,68
3,5:32.0,,D. Finney-Smith misses 2-pt layup from 1 ft,72,68
3,5:27.0,,Offensive rebound by D. Finney-Smith,72,68
3,5:27.0,,D. Finney-Smith makes 2-pt layup at rim,72,70
3,5:18.0,K. Dunn misses 2-pt jump shot from 14 ft,,72,70
3,5:15.0,Offensive rebound by W. Carter,,72,70
3,5:15.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by W. Carter),,75,70
3,5:15.0,J. Parker enters the game for B. Portis,,75,70
3,5:03.0,,Turnover by D. Jordan (bad pass),75,70
3,4:57.0,W. Carter misses 3-pt jump shot from 23 ft,,75,70
3,4:54.0,,Defensive rebound by L. Dončić,75,70
3,4:50.0,,Personal foul by W. Carter (drawn by L. Dončić),75,70
3,4:39.0,,W. Matthews misses 2-pt jump shot from 15 ft,75,70
3,4:35.0,,Offensive rebound by D. Jordan,75,70
3,4:35.0,,D. Jordan misses 2-pt layup at rim,75,70
3,4:34.0,,Offensive rebound by D. Jordan,75,70
3,4:33.0,,D. Jordan makes 2-pt hook shot from 3 ft,75,72
3,4:24.0,Turnover by K. Dunn (dbl dribble),,75,72
3,4:15.0,,D. Smith misses 2-pt jump shot from 14 ft,75,72
3,4:15.0,,Offensive rebound by Team,75,72
3,4:15.0,C. Payne enters the game for K. Dunn,,75,72
3,4:15.0,,J. Barea enters the game for D. Smith,75,72
3,4:11.0,,Personal foul by J. Holiday (drawn by L. Dončić),75,72
3,4:11.0,R. Lopez enters the game for W. Carter,,75,72
3,4:09.0,,Personal foul by Z. LaVine (drawn by W. Matthews),75,72
3,4:09.0,,W. Matthews makes free throw 1 of 2,75,73
3,4:09.0,,W. Matthews makes free throw 2 of 2,75,74
3,3:56.0,R. Lopez misses 2-pt hook shot from 9 ft,,75,74
3,3:53.0,,Defensive rebound by D. Jordan,75,74
3,3:47.0,,L. Dončić misses 3-pt jump shot from 24 ft,75,74
3,3:47.0,,Offensive rebound by Team,75,74
3,3:47.0,Loose ball foul by R. Lopez (drawn by D. Jordan),,75,74
3,3:47.0,,D. Jordan makes free throw 1 of 2,75,75
3,3:47.0,,D. Jordan makes free throw 2 of 2,75,76
3,3:31.0,Z. LaVine misses 2-pt jump shot from 13 ft,,75,76
3,3:29.0,,Defensive rebound by Team,75,76
3,3:24.0,,Turnover by L. Dončić (traveling),75,76
3,3:13.0,Shooting foul by D. Jordan (drawn by Z. LaVine),,75,76
3,3:13.0,Z. LaVine makes free throw 1 of 2,,76,76
3,3:13.0,C. Hutchison enters the game for J. Holiday,,76,76
3,3:13.0,Z. LaVine makes free throw 2 of 2,,77,76
3,3:02.0,,Turnover by D. Jordan (bad pass; steal by J. Parker),77,76
3,3:01.0,Personal take foul by D. Jordan (drawn by J. Parker),,77,76
3,2:51.0,Z. LaVine misses 2-pt jump shot from 19 ft,,77,76
3,2:48.0,,Defensive rebound by D. Jordan,77,76
3,2:41.0,,W. Matthews makes 2-pt layup from 1 ft,77,78
3,2:29.0,Turnover by C. Payne (lost ball; steal by D. Finney-Smith),,77,78
3,2:25.0,,W. Matthews misses 3-pt jump shot from 24 ft,77,78
3,2:23.0,Defensive rebound by R. Lopez,,77,78
3,2:17.0,Chicago full timeout,,77,78
3,2:17.0,,M. Kleber enters the game for D. Finney-Smith,77,78
3,2:17.0,,D. Powell enters the game for D. Jordan,77,78
3,2:12.0,J. Parker misses 2-pt jump shot from 19 ft,,77,78
3,2:10.0,,Defensive rebound by L. Dončić,77,78
3,2:06.0,,Personal foul by R. Lopez (drawn by D. Powell),77,78
3,2:06.0,,D. Powell makes free throw 1 of 2,77,79
3,2:06.0,,D. Powell makes free throw 2 of 2,77,80
3,1:50.0,C. Hutchison makes 2-pt layup from 4 ft (assist by Z. LaVine),,79,80
3,1:34.0,,J. Barea misses 3-pt jump shot from 25 ft,79,80
3,1:32.0,Defensive rebound by Team,,79,80
3,1:22.0,Shooting foul by D. Powell (drawn by Z. LaVine),,79,80
3,1:22.0,Z. LaVine makes free throw 1 of 2,,80,80
3,1:22.0,,D. Finney-Smith enters the game for W. Matthews,80,80
3,1:22.0,Z. LaVine makes free throw 2 of 2,,81,80
3,1:13.0,,D. Powell misses 3-pt jump shot from 24 ft,81,80
3,1:12.0,Defensive rebound by Team,,81,80
3,1:12.0,,Loose ball foul by L. Dončić (drawn by C. Hutchison),81,80
3,1:12.0,C. Hutchison makes free throw 1 of 2,,82,80
3,1:12.0,C. Hutchison misses free throw 2 of 2,,82,80
3,1:10.0,,Defensive rebound by Team,82,80
3,1:01.0,,D. Powell misses 3-pt jump shot from 24 ft,82,80
3,0:58.0,,Offensive rebound by M. Kleber,82,80
3,0:58.0,,M. Kleber misses 2-pt layup from 3 ft (block by Z. LaVine),82,80
3,0:58.0,,Offensive rebound by Team,82,80
3,0:55.0,,D. Powell makes 2-pt layup from 2 ft (assist by J. Barea),82,82
3,0:44.0,Z. LaVine makes 2-pt dunk from 1 ft,,84,82
3,0:34.0,,M. Kleber misses 3-pt jump shot from 23 ft,84,82
3,0:32.0,,Offensive rebound by D. Powell,84,82
3,0:23.0,,L. Dončić misses 3-pt jump shot from 26 ft,84,82
3,0:18.0,,Offensive rebound by M. Kleber,84,82
3,0:10.0,,D. Powell makes 2-pt layup from 4 ft (assist by J. Barea),84,84
3,0:10.0,,Shooting foul by J. Parker (drawn by D. Powell),84,84
3,0:10.0,,D. Powell makes free throw 1 of 1,84,85
3,0:05.0,Offensive foul by R. Lopez (drawn by D. Powell),,84,85
3,0:05.0,Turnover by R. Lopez (offensive foul),,84,85
3,0:05.0,W. Carter enters the game for Z. LaVine,,84,85
3,0:05.0,J. Holiday enters the game for R. Lopez,,84,85
3,0:05.0,,J. Brunson enters the game for D. Finney-Smith,84,85
3,0:05.0,,W. Matthews enters the game for M. Kleber,84,85
3,0:01.0,,J. Barea makes 3-pt jump shot from 29 ft (assist by D. Powell),84,88
3,0:00.0,C. Hutchison misses 3-pt jump shot from 68 ft,,84,88
3,0:00.0,Offensive rebound by Team,,84,88
4,11:52.0,Turnover by C. Payne (bad pass),,84,88
4,11:42.0,,D. Powell misses 2-pt layup from 3 ft (block by B. Portis),84,88
4,11:42.0,,Offensive rebound by Team,84,88
4,11:37.0,,M. Kleber misses 2-pt jump shot from 9 ft,84,88
4,11:35.0,Defensive rebound by C. Hutchison,,84,88
4,11:18.0,C. Payne misses 2-pt jump shot from 4 ft,,84,88
4,11:14.0,,Defensive rebound by D. Powell,84,88
4,11:04.0,,M. Kleber makes 3-pt jump shot from 25 ft (assist by D. Finney-Smith),84,91
4,10:50.0,Personal foul by J. Barea (drawn by J. Parker),,84,91
4,10:43.0,B. Portis makes 2-pt layup from 1 ft (assist by C. Payne),,86,91
4,10:24.0,,J. Barea misses 3-pt jump shot from 25 ft,86,91
4,10:24.0,Defensive rebound by Team,,86,91
4,10:14.0,C. Payne misses 2-pt jump shot from 14 ft,,86,91
4,10:12.0,,Defensive rebound by J. Barea,86,91
4,10:12.0,,Personal foul by C. Payne (drawn by J. Barea),86,91
4,9:53.0,,M. Kleber makes 2-pt jump shot from 9 ft (assist by D. Powell),86,93
4,9:52.0,Chicago full timeout,,86,93
4,9:52.0,Technical foul by B. Portis,,86,93
4,9:52.0,K. Dunn enters the game for C. Hutchison,,86,93
4,9:52.0,Z. LaVine enters the game for C. Payne,,86,93
4,9:52.0,,J. Barea makes technical free throw,86,94
4,9:35.0,K. Dunn misses 2-pt jump shot from 14 ft,,86,94
4,9:33.0,,Defensive rebound by D. Powell,86,94
4,9:16.0,,J. Brunson misses 3-pt jump shot from 27 ft,86,94
4,9:12.0,Defensive rebound by B. Portis,,86,94
4,9:05.0,Turnover by Z. LaVine (lost ball; steal by D. Powell),,86,94
4,8:53.0,,M. Kleber makes 2-pt dunk at rim (assist by D. Powell),86,96
4,8:39.0,J. Parker makes 3-pt jump shot from 27 ft (assist by K. Dunn),,89,96
4,8:20.0,,D. Powell makes 2-pt hook shot from 7 ft (assist by J. Brunson),89,98
4,8:20.0,,Shooting foul by K. Dunn (drawn by D. Powell),89,98
4,8:20.0,,W. Matthews enters the game for D. Finney-Smith,89,98
4,8:20.0,,D. Powell makes free throw 1 of 1,89,99
4,8:01.0,J. Parker misses 2-pt jump shot from 19 ft,,89,99
4,7:58.0,,Defensive rebound by J. Barea,89,99
4,7:40.0,,W. Matthews misses 3-pt jump shot from 26 ft,89,99
4,7:37.0,,Offensive rebound by M. Kleber,89,99
4,7:36.0,,W. Matthews misses 3-pt jump shot from 25 ft,89,99
4,7:32.0,Defensive rebound by K. Dunn,,89,99
4,7:26.0,K. Dunn misses 3-pt jump shot from 27 ft,,89,99
4,7:24.0,,Defensive rebound by J. Barea,89,99
4,7:13.0,,J. Barea misses 3-pt jump shot from 25 ft,89,99
4,7:10.0,Defensive rebound by B. Portis,,89,99
4,7:01.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by K. Dunn),,92,99
4,6:59.0,,Dallas full timeout,92,99
4,6:59.0,,D. Smith enters the game for J. Barea,92,99
4,6:44.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by J. Brunson),92,102
4,6:29.0,Offensive foul by B. Portis (drawn by J. Brunson),,92,102
4,6:29.0,Turnover by B. Portis (offensive foul),,92,102
4,6:09.0,,J. Brunson misses 2-pt layup from 2 ft,92,102
4,6:08.0,Defensive rebound by J. Parker,,92,102
4,6:04.0,Shooting foul by D. Powell (drawn by J. Parker),,92,102
4,6:04.0,J. Parker misses free throw 1 of 2,,92,102
4,6:04.0,Offensive rebound by Team,,92,102
4,6:04.0,,D. Jordan enters the game for D. Powell,92,102
4,6:04.0,J. Parker makes free throw 2 of 2,,93,102
4,5:48.0,,M. Kleber makes 3-pt jump shot from 24 ft (assist by D. Smith),93,105
4,5:33.0,Z. LaVine makes 2-pt layup from 1 ft,,95,105
4,5:25.0,,Personal foul by B. Portis (drawn by W. Matthews),95,105
4,5:25.0,W. Carter enters the game for J. Parker,,95,105
4,5:25.0,,L. Dončić enters the game for J. Brunson,95,105
4,5:12.0,,W. Matthews makes 2-pt jump shot from 13 ft,95,107
4,5:04.0,Turnover by K. Dunn (bad pass; steal by W. Matthews),,95,107
4,4:57.0,,L. Dončić makes 2-pt jump shot from 6 ft,95,109
4,4:57.0,Chicago full timeout,,95,109
4,4:57.0,,D. Finney-Smith enters the game for W. Matthews,95,109
4,4:46.0,Turnover by Z. LaVine (out of bounds lost ball),,95,109
4,4:28.0,,Personal foul by K. Dunn (drawn by D. Jordan),95,109
4,4:16.0,,Turnover by L. Dončić (traveling),95,109
4,4:01.0,Turnover by Z. LaVine (bad pass),,95,109
