QUARTER,TIME_REMAINING,MINNESOTA_ACTION,OKLAHOMA CITY_ACTION,MINNESOTA_SCORE,OKLAHOMA CITY_SCORE
2,6:35.0,,S. Adams makes free throw 2 of 2,50,42
2,6:21.0,Turnover by J. Teague (lost ball; steal by S. Adams),,50,42
2,6:16.0,,Personal foul by G. Dieng (drawn by S. Adams),50,42
2,6:16.0,A. Wiggins enters the game for T. Jones,,50,42
2,6:16.0,,J. Grant enters the game for P. Patterson,50,42
2,6:08.0,,R. Westbrook misses 2-pt jump shot from 10 ft,50,42
2,6:02.0,Defensive rebound by G. Dieng,,50,42
2,5:50.0,J. Okogie makes 2-pt layup from 2 ft (assist by G. Dieng),,52,42
2,5:31.0,,R. Westbrook misses 3-pt jump shot from 24 ft,52,42
2,5:29.0,,Offensive rebound by Team,52,42
2,5:24.0,,P. George makes 3-pt jump shot from 23 ft,52,45
2,5:03.0,Personal foul by S. Adams (drawn by A. Wiggins),,52,45
2,5:03.0,A. Wiggins makes free throw 1 of 2,,53,45
2,5:03.0,A. Wiggins makes free throw 2 of 2,,54,45
2,4:46.0,,S. Adams makes 2-pt layup at rim,54,47
2,4:25.0,J. Okogie misses 3-pt jump shot from 26 ft,,54,47
2,4:22.0,,Defensive rebound by J. Grant,54,47
2,4:15.0,,R. Westbrook makes 2-pt layup at rim (assist by S. Adams),54,49
2,4:08.0,Minnesota full timeout,,54,49
2,3:58.0,T. Gibson misses 3-pt jump shot from 23 ft,,54,49
2,3:52.0,,Defensive rebound by P. George,54,49
2,3:37.0,,Shooting foul by G. Dieng (drawn by S. Adams),54,49
2,3:37.0,,S. Adams makes free throw 1 of 2,54,50
2,3:37.0,,S. Adams misses free throw 2 of 2,54,50
2,3:35.0,Defensive rebound by Team,,54,50
2,3:16.0,G. Dieng misses 2-pt jump shot from 22 ft,,54,50
2,3:14.0,,Defensive rebound by P. George,54,50
2,3:03.0,,P. George makes 2-pt jump shot from 6 ft,54,52
2,2:47.0,J. Teague misses 2-pt jump shot from 14 ft,,54,52
2,2:44.0,,Defensive rebound by T. Ferguson,54,52
2,2:41.0,,P. George misses 3-pt jump shot from 25 ft,54,52
2,2:38.0,,Offensive rebound by S. Adams,54,52
2,2:38.0,,Turnover by S. Adams (out of bounds lost ball),54,52
2,2:20.0,A. Wiggins misses 2-pt layup from 1 ft,,54,52
2,2:19.0,Offensive rebound by A. Wiggins,,54,52
2,2:18.0,A. Wiggins misses 2-pt layup from 2 ft,,54,52
2,2:18.0,Offensive rebound by A. Wiggins,,54,52
2,2:14.0,A. Wiggins misses 2-pt layup from 1 ft,,54,52
2,2:14.0,Offensive rebound by Team,,54,52
2,2:07.0,A. Wiggins makes 2-pt jump shot from 14 ft,,56,52
2,1:58.0,,T. Ferguson makes 3-pt jump shot from 23 ft (assist by R. Westbrook),56,55
2,1:37.0,A. Wiggins makes 3-pt jump shot from 25 ft (assist by G. Dieng),,59,55
2,1:27.0,,Shooting foul by G. Dieng (drawn by P. George),59,55
2,1:27.0,,P. George makes free throw 1 of 2,59,56
2,1:27.0,D. Šarić enters the game for G. Dieng,,59,56
2,1:27.0,,P. George misses free throw 2 of 2,59,56
2,1:25.0,Defensive rebound by D. Šarić,,59,56
2,1:11.0,D. Šarić misses 2-pt jump shot from 13 ft,,59,56
2,1:08.0,,Defensive rebound by S. Adams,59,56
2,1:03.0,,T. Ferguson makes 3-pt jump shot from 23 ft (assist by R. Westbrook),59,59
2,0:55.0,T. Gibson misses 2-pt layup at rim,,59,59
2,0:54.0,,Defensive rebound by S. Adams,59,59
2,0:51.0,,T. Ferguson makes 2-pt layup from 1 ft (assist by R. Westbrook),59,61
2,0:37.0,A. Wiggins makes 2-pt layup from 2 ft,,61,61
2,0:30.0,,P. George makes 3-pt jump shot from 25 ft (assist by R. Westbrook),61,64
2,0:05.0,A. Wiggins makes 3-pt jump shot from 28 ft,,64,64
2,0:01.0,,R. Westbrook misses 3-pt jump shot from 27 ft,64,64
2,0:01.0,,Offensive rebound by Team,64,64
3,11:48.0,,S. Adams makes 2-pt layup from 2 ft,64,66
3,11:31.0,Turnover by J. Teague (bad pass; steal by R. Westbrook),,64,66
3,11:25.0,,R. Westbrook makes 2-pt layup from 1 ft,64,68
3,11:10.0,Shooting foul by J. Grant (drawn by J. Teague),,64,68
3,11:10.0,J. Teague misses free throw 1 of 2,,64,68
3,11:10.0,Offensive rebound by Team,,64,68
3,11:10.0,J. Teague makes free throw 2 of 2,,65,68
3,10:58.0,,R. Westbrook misses 2-pt layup from 2 ft,65,68
3,10:56.0,Defensive rebound by T. Gibson,,65,68
3,10:40.0,Turnover by T. Gibson (bad pass; steal by S. Adams),,65,68
3,10:35.0,,Turnover by S. Adams (bad pass; steal by J. Teague),65,68
3,10:33.0,J. Teague misses 2-pt jump shot from 10 ft,,65,68
3,10:32.0,,Defensive rebound by S. Adams,65,68
3,10:25.0,,P. George misses 2-pt jump shot from 18 ft,65,68
3,10:23.0,Defensive rebound by J. Okogie,,65,68
3,10:17.0,Personal foul by P. George (drawn by J. Okogie),,65,68
3,10:11.0,A. Wiggins misses 2-pt jump shot from 14 ft,,65,68
3,10:10.0,,Defensive rebound by P. George,65,68
3,10:03.0,,J. Grant misses 3-pt jump shot from 22 ft,65,68
3,10:00.0,Defensive rebound by J. Teague,,65,68
3,9:50.0,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Teague),,68,68
3,9:34.0,,J. Grant makes 2-pt dunk from 1 ft,68,70
3,9:24.0,Shooting foul by R. Westbrook (drawn by K. Towns),,68,70
3,9:24.0,K. Towns makes free throw 1 of 2,,69,70
3,9:24.0,K. Towns makes free throw 2 of 2,,70,70
3,9:04.0,,J. Grant misses 2-pt layup from 2 ft (block by T. Gibson),70,70
3,9:00.0,Defensive rebound by A. Wiggins,,70,70
3,8:38.0,T. Gibson misses 2-pt layup from 9 ft (block by R. Westbrook),,70,70
3,8:37.0,Offensive rebound by Team,,70,70
3,8:37.0,,Loose ball foul by S. Adams (drawn by T. Gibson),70,70
3,8:32.0,Offensive foul by K. Towns (drawn by S. Adams),,70,70
3,8:32.0,Turnover by K. Towns (offensive foul),,70,70
3,8:32.0,Violation by Team (delay of game),,70,70
3,8:32.0,G. Dieng enters the game for K. Towns,,70,70
3,8:23.0,,R. Westbrook misses 2-pt jump shot from 15 ft,70,70
3,8:21.0,Defensive rebound by A. Wiggins,,70,70
3,8:09.0,A. Wiggins makes 2-pt jump shot from 22 ft (assist by T. Gibson),,72,70
3,8:00.0,,Shooting foul by A. Wiggins (drawn by P. George),72,70
3,8:00.0,,P. George makes free throw 1 of 2,72,71
3,8:00.0,,P. George misses free throw 2 of 2,72,71
3,7:58.0,Defensive rebound by T. Gibson,,72,71
3,7:46.0,J. Okogie misses 3-pt jump shot from 25 ft,,72,71
3,7:46.0,,Defensive rebound by Team,72,71
3,7:46.0,Loose ball foul by T. Gibson (drawn by J. Grant),,72,71
3,7:46.0,,Oklahoma City full timeout,72,71
3,7:36.0,,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),72,73
3,7:22.0,A. Wiggins makes 2-pt layup from 2 ft (assist by G. Dieng),,74,73
3,7:16.0,,Offensive foul by S. Adams (drawn by J. Teague),74,73
3,7:16.0,,Turnover by S. Adams (offensive foul),74,73
3,7:00.0,J. Okogie misses 2-pt jump shot from 18 ft,,74,73
3,6:58.0,,Defensive rebound by R. Westbrook,74,73
3,6:55.0,,T. Ferguson misses 2-pt jump shot from 23 ft,74,73
3,6:52.0,,Offensive rebound by T. Ferguson,74,73
3,6:51.0,,P. George makes 3-pt jump shot from 26 ft (assist by R. Westbrook),74,76
3,6:28.0,Shooting foul by T. Ferguson (drawn by T. Gibson),,74,76
3,6:28.0,T. Gibson makes free throw 1 of 2,,75,76
3,6:28.0,,N. Noel enters the game for S. Adams,75,76
3,6:28.0,T. Gibson misses free throw 2 of 2,,75,76
3,6:27.0,,Defensive rebound by R. Westbrook,75,76
3,6:21.0,,T. Ferguson makes 3-pt jump shot from 25 ft (assist by R. Westbrook),75,79
3,5:59.0,A. Wiggins misses 3-pt jump shot from 25 ft,,75,79
3,5:56.0,Offensive rebound by G. Dieng,,75,79
3,5:56.0,Shooting foul by J. Grant (drawn by G. Dieng),,75,79
3,5:56.0,G. Dieng makes free throw 1 of 2,,76,79
3,5:56.0,D. Šarić enters the game for T. Gibson,,76,79
3,5:56.0,G. Dieng makes free throw 2 of 2,,77,79
3,5:47.0,,Personal foul by J. Okogie (drawn by R. Westbrook),77,79
3,5:40.0,,N. Noel makes 2-pt dunk from 1 ft (assist by R. Westbrook),77,81
3,5:16.0,Shooting foul by N. Noel (drawn by A. Wiggins),,77,81
3,5:16.0,,D. Schröder enters the game for N. Noel,77,81
3,5:16.0,A. Wiggins makes free throw 1 of 2,,78,81
3,5:16.0,A. Wiggins makes free throw 2 of 2,,79,81
3,5:04.0,,Turnover by R. Westbrook (bad pass; steal by J. Teague),79,81
3,4:58.0,J. Teague misses 2-pt layup from 1 ft,,79,81
3,4:55.0,,Defensive rebound by P. George,79,81
3,4:52.0,,Turnover by P. George (dbl dribble),79,81
3,4:41.0,Offensive foul by A. Wiggins (drawn by J. Grant),,79,81
3,4:41.0,Turnover by A. Wiggins (offensive foul),,79,81
3,4:41.0,A. Tolliver enters the game for J. Okogie,,79,81
3,4:36.0,,R. Westbrook makes 2-pt layup from 1 ft,79,83
3,4:23.0,Turnover by D. Šarić (traveling),,79,83
3,4:17.0,,R. Westbrook makes 2-pt layup at rim,79,85
3,4:15.0,Minnesota full timeout,,79,85
3,4:15.0,Technical foul by J. Teague,,79,85
3,4:15.0,,Technical foul by D. Schröder,79,85
3,4:15.0,Technical foul by J. Teague,,79,85
3,4:15.0,J. Teague ejected from game,,79,85
3,4:15.0,T. Jones enters the game for J. Teague,,79,85
3,4:15.0,,P. George misses technical free throw,79,85
3,4:15.0,Defensive rebound by Team,,79,85
3,4:04.0,A. Wiggins misses 2-pt jump shot from 19 ft,,79,85
3,4:01.0,Offensive rebound by D. Šarić,,79,85
3,3:59.0,D. Šarić misses 2-pt layup from 1 ft (block by R. Westbrook),,79,85
3,3:58.0,Offensive rebound by Team,,79,85
3,3:53.0,T. Jones makes 2-pt jump shot from 21 ft,,81,85
3,3:53.0,Shooting foul by D. Schröder (drawn by T. Jones),,81,85
3,3:53.0,T. Jones makes free throw 1 of 1,,82,85
3,3:42.0,,J. Grant misses 3-pt jump shot from 23 ft,82,85
3,3:38.0,Defensive rebound by A. Tolliver,,82,85
3,3:26.0,D. Šarić makes 3-pt jump shot from 24 ft (assist by T. Jones),,85,85
3,3:12.0,,R. Westbrook makes 2-pt layup from 1 ft,85,87
3,2:51.0,Shooting foul by J. Grant (drawn by A. Wiggins),,85,87
3,2:51.0,A. Wiggins misses free throw 1 of 2,,85,87
3,2:51.0,Offensive rebound by Team,,85,87
3,2:51.0,A. Wiggins makes free throw 2 of 2,,86,87
3,2:39.0,,P. George misses 3-pt jump shot from 26 ft,86,87
3,2:36.0,,Offensive rebound by P. George,86,87
3,2:32.0,,P. George misses 3-pt jump shot from 23 ft,86,87
3,2:26.0,,Offensive rebound by T. Ferguson,86,87
3,2:26.0,,T. Ferguson misses 2-pt layup from 1 ft,86,87
3,2:25.0,Defensive rebound by A. Wiggins,,86,87
3,2:21.0,A. Tolliver makes 3-pt jump shot from 25 ft (assist by A. Wiggins),,89,87
3,2:08.0,,P. George misses 2-pt jump shot from 6 ft,89,87
3,2:08.0,Defensive rebound by Team,,89,87
3,2:08.0,,Loose ball foul by P. George (drawn by A. Wiggins),89,87
3,2:08.0,A. Wiggins makes free throw 1 of 2,,90,87
3,2:08.0,A. Wiggins makes free throw 2 of 2,,91,87
3,1:57.0,,Shooting foul by A. Wiggins (drawn by J. Grant),91,87
3,1:57.0,,J. Grant makes free throw 1 of 2,91,88
3,1:57.0,J. Okogie enters the game for A. Wiggins,,91,88
3,1:57.0,,A. Nader enters the game for R. Westbrook,91,88
3,1:57.0,,J. Grant makes free throw 2 of 2,91,89
3,1:37.0,G. Dieng misses 2-pt jump shot from 13 ft,,91,89
3,1:36.0,Offensive rebound by Team,,91,89
3,1:36.0,,Loose ball foul by A. Nader (drawn by D. Šarić),91,89
3,1:36.0,D. Šarić makes free throw 1 of 2,,92,89
3,1:36.0,,P. Patterson enters the game for J. Grant,92,89
3,1:36.0,D. Šarić makes free throw 2 of 2,,93,89
3,1:24.0,,P. George makes 2-pt layup from 2 ft,93,91
3,1:02.0,T. Jones makes 3-pt jump shot from 24 ft (assist by G. Dieng),,96,91
3,0:52.0,,P. Patterson misses 3-pt jump shot from 26 ft,96,91
3,0:50.0,Defensive rebound by G. Dieng,,96,91
3,0:33.0,D. Šarić misses 3-pt jump shot from 26 ft,,96,91
3,0:30.0,,Defensive rebound by D. Schröder,96,91
3,0:13.0,,D. Schröder makes 2-pt layup from 1 ft,96,93
3,0:13.0,Violation by Team (def goaltending),,96,93
3,0:02.0,T. Jones misses 2-pt layup from 1 ft,,96,93
3,0:01.0,,Defensive rebound by A. Nader,96,93
3,0:00.0,,P. George misses 3-pt jump shot from 53 ft (block by J. Okogie),96,93
3,0:00.0,,Offensive rebound by Team,96,93
4,11:44.0,K. Towns misses 2-pt jump shot from 17 ft,,96,93
4,11:40.0,,Defensive rebound by Team,96,93
4,11:24.0,,Turnover by A. Nader (traveling),96,93
4,11:05.0,Shooting foul by A. Nader (drawn by A. Tolliver),,96,93
4,11:05.0,A. Tolliver makes free throw 1 of 2,,97,93
4,11:05.0,A. Tolliver makes free throw 2 of 2,,98,93
4,10:58.0,,Turnover by S. Adams (bad pass),98,93
4,10:39.0,K. Towns misses 2-pt layup from 6 ft,,98,93
4,10:38.0,,Defensive rebound by P. Patterson,98,93
4,10:25.0,,D. Schröder misses 2-pt layup from 1 ft,98,93
4,10:23.0,Defensive rebound by K. Towns,,98,93
4,10:09.0,D. Šarić makes 2-pt layup from 1 ft (assist by T. Jones),,100,93
4,9:52.0,,D. Schröder misses 2-pt jump shot from 18 ft,100,93
4,9:49.0,Defensive rebound by D. Šarić,,100,93
4,9:44.0,K. Towns misses 3-pt jump shot from 24 ft,,100,93
4,9:40.0,,Defensive rebound by H. Diallo,100,93
4,9:38.0,,Personal foul by T. Jones (drawn by H. Diallo),100,93
4,9:38.0,,R. Westbrook enters the game for A. Nader,100,93
4,9:31.0,,R. Westbrook makes 2-pt jump shot from 12 ft,100,95
4,9:08.0,K. Towns makes 2-pt hook shot from 6 ft (assist by D. Šarić),,102,95
4,8:45.0,,Shooting foul by J. Okogie (drawn by P. Patterson),102,95
4,8:45.0,,P. Patterson misses free throw 1 of 3,102,95
4,8:45.0,,Offensive rebound by Team,102,95
4,8:45.0,,P. Patterson makes free throw 2 of 3,102,96
4,8:45.0,,P. Patterson makes free throw 3 of 3,102,97
4,8:37.0,,Violation by Team (kicked ball),102,97
4,8:26.0,A. Tolliver misses 3-pt jump shot from 23 ft,,102,97
4,8:24.0,,Defensive rebound by P. Patterson,102,97
4,8:17.0,,Turnover by R. Westbrook (bad pass; steal by D. Šarić),102,97
4,8:00.0,J. Okogie misses 3-pt jump shot from 25 ft,,102,97
4,7:58.0,Offensive rebound by K. Towns,,102,97
4,7:56.0,T. Jones misses 3-pt jump shot from 25 ft,,102,97
4,7:53.0,Offensive rebound by D. Šarić,,102,97
4,7:53.0,Shooting foul by H. Diallo (drawn by D. Šarić),,102,97
4,7:53.0,D. Šarić makes free throw 1 of 2,,103,97
4,7:53.0,D. Šarić misses free throw 2 of 2,,103,97
4,7:50.0,Offensive rebound by A. Tolliver,,103,97
4,7:40.0,A. Tolliver makes 3-pt jump shot from 24 ft (assist by K. Towns),,106,97
4,7:20.0,,R. Westbrook makes 2-pt layup from 2 ft (assist by D. Schröder),106,99
4,7:07.0,K. Towns misses 3-pt jump shot from 24 ft,,106,99
4,7:06.0,,Defensive rebound by Team,106,99
4,7:06.0,Loose ball foul by D. Šarić (drawn by H. Diallo),,106,99
4,7:06.0,T. Gibson enters the game for J. Okogie,,106,99
4,7:06.0,A. Wiggins enters the game for D. Šarić,,106,99
4,7:06.0,,P. George enters the game for H. Diallo,106,99
4,7:06.0,,J. Grant enters the game for P. Patterson,106,99
