QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,CHICAGO_ACTION,GOLDEN STATE_SCORE,CHICAGO_SCORE
1,4:58.0,D. Green makes free throw 2 of 2,,25,13
1,4:39.0,,Z. LaVine misses 2-pt jump shot from 9 ft,25,13
1,4:37.0,Defensive rebound by K. Looney,,25,13
1,4:30.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by D. Green),,28,13
1,4:20.0,,W. Carter makes 2-pt layup from 1 ft (assist by J. Parker),28,15
1,4:09.0,D. Green misses 2-pt layup from 1 ft (block by C. Hutchison),,28,15
1,4:07.0,,Defensive rebound by C. Hutchison,28,15
1,4:07.0,,Personal foul by K. Durant (drawn by C. Payne),28,15
1,4:07.0,,C. Payne makes free throw 1 of 2,28,16
1,4:07.0,J. Jerebko enters the game for K. Durant,,28,16
1,4:07.0,A. McKinnie enters the game for D. Green,,28,16
1,4:07.0,,C. Felício enters the game for W. Carter,28,16
1,4:07.0,,C. Payne makes free throw 2 of 2,28,17
1,4:00.0,Personal foul by C. Hutchison (drawn by K. Looney),,28,17
1,3:52.0,K. Thompson makes 2-pt jump shot from 22 ft (assist by S. Curry),,30,17
1,3:30.0,,C. Payne makes 2-pt layup from 2 ft,30,19
1,3:16.0,A. McKinnie misses 2-pt jump shot from 8 ft,,30,19
1,3:15.0,Offensive rebound by A. McKinnie,,30,19
1,3:14.0,A. McKinnie misses 2-pt layup from 2 ft,,30,19
1,3:12.0,,Defensive rebound by C. Felício,30,19
1,3:07.0,,C. Payne misses 3-pt jump shot from 25 ft,30,19
1,2:59.0,,Offensive rebound by C. Felício,30,19
1,2:59.0,,C. Felício misses 2-pt layup at rim,30,19
1,2:58.0,Defensive rebound by K. Thompson,,30,19
1,2:57.0,K. Thompson makes 3-pt jump shot from 25 ft,,33,19
1,2:45.0,,J. Parker makes 2-pt jump shot from 18 ft,33,21
1,2:25.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),,36,21
1,2:11.0,,C. Payne makes 2-pt layup from 1 ft,36,23
1,2:02.0,Turnover by S. Curry (bad pass; steal by Z. LaVine),,36,23
1,1:57.0,,Shooting foul by K. Thompson (drawn by C. Hutchison),36,23
1,1:57.0,Golden State full timeout,,36,23
1,1:57.0,A. Iguodala enters the game for K. Thompson,,36,23
1,1:57.0,,R. Arcidiacono enters the game for C. Payne,36,23
1,1:57.0,,C. Hutchison makes free throw 1 of 2,36,24
1,1:57.0,,C. Hutchison makes free throw 2 of 2,36,25
1,1:43.0,J. Jerebko makes 2-pt layup from 2 ft (assist by A. Iguodala),,38,25
1,1:28.0,,J. Parker makes 2-pt jump shot from 22 ft,38,27
1,1:16.0,S. Curry misses 3-pt jump shot from 25 ft,,38,27
1,1:14.0,,Defensive rebound by Z. LaVine,38,27
1,1:08.0,,Shooting foul by S. Curry (drawn by Z. LaVine),38,27
1,1:08.0,,Z. LaVine makes free throw 1 of 2,38,28
1,1:08.0,K. Durant enters the game for S. Curry,,38,28
1,1:08.0,,Z. LaVine misses free throw 2 of 2,38,28
1,1:04.0,Defensive rebound by J. Jerebko,,38,28
1,0:49.0,A. McKinnie makes 3-pt jump shot from 24 ft (assist by J. Jerebko),,41,28
1,0:40.0,,J. Parker misses 2-pt jump shot from 16 ft,41,28
1,0:36.0,Defensive rebound by K. Looney,,41,28
1,0:32.0,K. Durant misses 3-pt jump shot from 25 ft,,41,28
1,0:28.0,Offensive rebound by A. McKinnie,,41,28
1,0:23.0,K. Durant makes 2-pt layup from 2 ft,,43,28
1,0:23.0,Shooting foul by C. Felício (drawn by K. Durant),,43,28
1,0:23.0,K. Durant makes free throw 1 of 1,,44,28
1,0:00.0,,J. Parker misses 3-pt jump shot from 25 ft (block by K. Durant),44,28
1,0:00.0,,Offensive rebound by C. Hutchison,44,28
2,11:44.0,,A. Blakeney misses 2-pt jump shot from 21 ft,44,28
2,11:39.0,Defensive rebound by A. Iguodala,,44,28
2,11:23.0,K. Durant makes 2-pt jump shot from 15 ft (assist by A. Iguodala),,46,28
2,11:09.0,,J. Holiday misses 2-pt jump shot from 22 ft,46,28
2,11:06.0,Defensive rebound by A. McKinnie,,46,28
2,10:58.0,A. McKinnie makes 3-pt jump shot from 25 ft (assist by K. Durant),,49,28
2,10:57.0,,Chicago full timeout,49,28
2,10:45.0,,J. Parker misses 2-pt layup from 2 ft (block by A. McKinnie),49,28
2,10:41.0,,Offensive rebound by J. Parker,49,28
2,10:40.0,,Shooting foul by A. Iguodala (drawn by J. Parker),49,28
2,10:40.0,,J. Parker misses free throw 1 of 2,49,28
2,10:40.0,,Offensive rebound by Team,49,28
2,10:40.0,,J. Parker makes free throw 2 of 2,49,29
2,10:13.0,J. Jerebko makes 3-pt jump shot from 29 ft (assist by K. Durant),,52,29
2,10:05.0,,C. Felício makes 2-pt layup from 2 ft (assist by R. Arcidiacono),52,31
2,9:50.0,A. McKinnie makes 3-pt jump shot from 25 ft (assist by A. Iguodala),,55,31
2,9:32.0,,J. Holiday makes 3-pt jump shot from 26 ft,55,34
2,9:22.0,A. McKinnie makes 3-pt jump shot from 24 ft (assist by A. Iguodala),,58,34
2,9:02.0,,R. Arcidiacono misses 3-pt jump shot from 26 ft,58,34
2,8:59.0,,Offensive rebound by J. Parker,58,34
2,8:54.0,,Personal foul by K. Durant (drawn by A. Blakeney),58,34
2,8:47.0,,J. Holiday misses 3-pt jump shot from 26 ft,58,34
2,8:45.0,Defensive rebound by J. Jerebko,,58,34
2,8:42.0,A. McKinnie misses 2-pt jump shot from 9 ft,,58,34
2,8:42.0,Offensive rebound by D. Green,,58,34
2,8:35.0,D. Green misses 2-pt layup from 1 ft,,58,34
2,8:35.0,,Defensive rebound by C. Felício,58,34
2,8:35.0,,Personal foul by J. Jerebko (drawn by R. Arcidiacono),58,34
2,8:35.0,J. Bell enters the game for J. Jerebko,,58,34
2,8:35.0,K. Thompson enters the game for A. McKinnie,,58,34
2,8:29.0,,J. Parker misses 3-pt jump shot from 25 ft,58,34
2,8:25.0,Defensive rebound by K. Durant,,58,34
2,8:17.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by D. Green),,61,34
2,8:03.0,,J. Parker makes 2-pt layup from 1 ft (assist by R. Arcidiacono),61,36
2,7:57.0,K. Durant misses 3-pt jump shot from 26 ft,,61,36
2,7:54.0,,Defensive rebound by J. Parker,61,36
2,7:47.0,,J. Holiday misses 2-pt layup from 3 ft,61,36
2,7:47.0,,Offensive rebound by J. Holiday,61,36
2,7:47.0,,Personal foul by A. Iguodala (drawn by J. Holiday),61,36
2,7:47.0,,Z. LaVine enters the game for A. Blakeney,61,36
2,7:34.0,,J. Holiday makes 3-pt jump shot from 24 ft (assist by J. Parker),61,39
2,7:23.0,Shooting foul by C. Felício (drawn by K. Durant),,61,39
2,7:23.0,K. Durant makes free throw 1 of 2,,62,39
2,7:23.0,,W. Carter enters the game for C. Felício,62,39
2,7:23.0,K. Durant makes free throw 2 of 2,,63,39
2,7:15.0,,R. Arcidiacono misses 3-pt jump shot from 26 ft,63,39
2,7:12.0,Defensive rebound by K. Thompson,,63,39
2,7:08.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),,66,39
2,7:08.0,S. Curry enters the game for A. Iguodala,,66,39
2,6:44.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by R. Arcidiacono),66,41
2,6:35.0,D. Green makes 2-pt layup from 2 ft (assist by K. Durant),,68,41
2,6:18.0,,W. Carter makes 2-pt layup from 1 ft (assist by J. Parker),68,43
2,6:11.0,K. Thompson misses 3-pt jump shot from 28 ft,,68,43
2,6:09.0,,Defensive rebound by Team,68,43
2,5:50.0,,Turnover by J. Parker (bad pass; steal by S. Curry),68,43
2,5:40.0,S. Curry misses 3-pt jump shot from 23 ft,,68,43
2,5:39.0,,Defensive rebound by Team,68,43
2,5:23.0,,W. Carter makes 2-pt jump shot from 14 ft (assist by Z. LaVine),68,45
2,5:11.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by D. Green),,71,45
2,5:00.0,,Turnover by Z. LaVine (bad pass; steal by K. Thompson),71,45
2,4:54.0,K. Durant misses 2-pt layup at rim,,71,45
2,4:50.0,,Defensive rebound by J. Parker,71,45
2,4:48.0,,Shooting foul by J. Bell (drawn by W. Carter),71,45
2,4:48.0,,W. Carter makes free throw 1 of 2,71,46
2,4:48.0,A. McKinnie enters the game for D. Green,,71,46
2,4:48.0,,S. Harrison enters the game for J. Parker,71,46
2,4:48.0,,W. Carter misses free throw 2 of 2,71,46
2,4:48.0,Defensive rebound by A. McKinnie,,71,46
2,4:35.0,K. Thompson misses 3-pt jump shot from 26 ft,,71,46
2,4:35.0,,Defensive rebound by J. Holiday,71,46
2,4:32.0,,S. Harrison makes 2-pt layup at rim (assist by J. Holiday),71,48
2,4:22.0,S. Curry makes 2-pt jump shot from 20 ft,,73,48
2,4:01.0,,W. Carter misses 2-pt hook shot from 13 ft,73,48
2,3:59.0,Defensive rebound by K. Thompson,,73,48
2,3:57.0,S. Curry makes 2-pt layup from 2 ft,,75,48
2,3:57.0,Shooting foul by R. Arcidiacono (drawn by S. Curry),,75,48
2,3:57.0,S. Curry makes free throw 1 of 1,,76,48
2,3:40.0,,Z. LaVine misses 2-pt jump shot from 6 ft (block by J. Bell),76,48
2,3:35.0,Defensive rebound by J. Bell,,76,48
2,3:33.0,Shooting foul by Z. LaVine (drawn by S. Curry),,76,48
2,3:33.0,S. Curry makes free throw 1 of 2,,77,48
2,3:33.0,S. Curry makes free throw 2 of 2,,78,48
2,2:56.0,,Z. LaVine misses 3-pt jump shot from 25 ft,78,48
2,2:55.0,Defensive rebound by K. Durant,,78,48
2,2:55.0,Golden State full timeout,,78,48
2,2:55.0,D. Green enters the game for J. Bell,,78,48
2,2:55.0,,C. Payne enters the game for R. Arcidiacono,78,48
2,2:50.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by S. Curry),,81,48
2,2:33.0,,S. Harrison misses 2-pt layup from 2 ft,81,48
2,2:33.0,Defensive rebound by D. Green,,81,48
2,2:28.0,S. Curry makes 2-pt layup from 2 ft (assist by D. Green),,83,48
2,2:15.0,,W. Carter misses 2-pt layup from 2 ft,83,48
2,2:15.0,Defensive rebound by D. Green,,83,48
2,2:05.0,Shooting foul by S. Harrison (drawn by K. Thompson),,83,48
2,2:05.0,K. Thompson makes free throw 1 of 2,,84,48
2,2:05.0,K. Thompson makes free throw 2 of 2,,85,48
2,1:42.0,,Shooting foul by S. Curry (drawn by S. Harrison),85,48
2,1:42.0,,S. Harrison misses free throw 1 of 2,85,48
2,1:42.0,,Offensive rebound by Team,85,48
2,1:42.0,,S. Harrison misses free throw 2 of 2,85,48
2,1:39.0,Defensive rebound by A. McKinnie,,85,48
2,1:22.0,K. Thompson misses 3-pt jump shot from 24 ft,,85,48
2,1:20.0,,Defensive rebound by Z. LaVine,85,48
2,1:17.0,,S. Harrison misses 3-pt jump shot from 24 ft,85,48
2,1:16.0,,Offensive rebound by Z. LaVine,85,48
2,1:14.0,,Turnover by Z. LaVine (bad pass; steal by K. Thompson),85,48
2,1:08.0,A. McKinnie makes 2-pt layup from 1 ft (assist by D. Green),,87,48
2,1:08.0,Shooting foul by W. Carter (drawn by A. McKinnie),,87,48
2,1:08.0,,J. Parker enters the game for S. Harrison,87,48
2,1:08.0,A. McKinnie misses free throw 1 of 1,,87,48
2,1:05.0,,Defensive rebound by J. Parker,87,48
2,0:49.0,,C. Payne makes 2-pt layup from 2 ft,87,50
2,0:38.0,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),,90,50
2,0:30.0,,J. Parker misses 3-pt jump shot from 26 ft,90,50
2,0:26.0,Defensive rebound by S. Curry,,90,50
2,0:26.0,Personal foul by Z. LaVine (drawn by S. Curry),,90,50
2,0:26.0,S. Curry makes free throw 1 of 2,,91,50
2,0:26.0,S. Curry makes free throw 2 of 2,,92,50
2,0:03.0,,Turnover by Z. LaVine (lost ball; steal by K. Durant),92,50
2,0:01.0,Turnover by K. Thompson (dbl dribble),,92,50
2,0:00.0,,Z. LaVine misses 3-pt jump shot from 26 ft,92,50
2,0:00.0,,Offensive rebound by Team,92,50
3,11:37.0,,J. Holiday misses 3-pt jump shot from 26 ft,92,50
3,11:34.0,Defensive rebound by D. Jones,,92,50
3,11:10.0,K. Thompson makes 2-pt jump shot from 17 ft,,94,50
3,10:59.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by W. Carter),94,52
3,10:59.0,,Shooting foul by D. Jones (drawn by Z. LaVine),94,52
3,10:59.0,,Z. LaVine makes free throw 1 of 1,94,53
3,10:46.0,D. Jones makes 2-pt dunk from 1 ft (assist by K. Durant),,96,53
3,10:34.0,,W. Carter makes 2-pt jump shot from 12 ft (assist by J. Holiday),96,55
3,10:09.0,K. Durant makes 3-pt jump shot from 26 ft,,99,55
3,9:51.0,,Z. LaVine makes 3-pt jump shot from 25 ft (assist by W. Carter),99,58
3,9:41.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Green),,102,58
3,9:18.0,,C. Hutchison misses 3-pt jump shot from 24 ft,102,58
3,9:14.0,Defensive rebound by S. Curry,,102,58
3,9:05.0,K. Thompson misses 2-pt jump shot from 16 ft,,102,58
3,8:58.0,,Defensive rebound by Z. LaVine,102,58
3,8:54.0,,J. Holiday misses 3-pt jump shot from 26 ft,102,58
3,8:49.0,Defensive rebound by K. Thompson,,102,58
3,8:40.0,K. Thompson misses 3-pt jump shot from 25 ft,,102,58
3,8:37.0,,Defensive rebound by W. Carter,102,58
3,8:30.0,,Z. LaVine misses 3-pt jump shot from 29 ft,102,58
3,8:27.0,,Offensive rebound by W. Carter,102,58
3,8:18.0,,C. Payne makes 3-pt jump shot from 25 ft,102,61
3,8:03.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by D. Green),,105,61
3,8:02.0,,Chicago full timeout,105,61
3,7:50.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by W. Carter),105,63
3,7:31.0,K. Thompson misses 3-pt jump shot from 26 ft,,105,63
3,7:27.0,,Defensive rebound by Z. LaVine,105,63
3,7:20.0,,Z. LaVine misses 2-pt jump shot from 4 ft (block by D. Green),105,63
3,7:16.0,Defensive rebound by S. Curry,,105,63
3,7:12.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),,108,63
3,7:04.0,,Shooting foul by D. Jones (drawn by C. Payne),108,63
3,7:04.0,,C. Payne makes free throw 1 of 2,108,64
3,7:04.0,,C. Payne makes free throw 2 of 2,108,65
3,6:50.0,K. Thompson misses 3-pt jump shot from 25 ft,,108,65
3,6:50.0,,Defensive rebound by W. Carter,108,65
3,6:39.0,,Turnover by J. Holiday (lost ball; steal by D. Jones),108,65
3,6:35.0,K. Thompson misses 3-pt jump shot from 26 ft,,108,65
3,6:31.0,,Defensive rebound by Z. LaVine,108,65
3,6:24.0,,C. Payne misses 2-pt layup from 2 ft,108,65
3,6:22.0,Defensive rebound by S. Curry,,108,65
3,6:17.0,K. Thompson misses 3-pt jump shot from 26 ft,,108,65
3,6:15.0,,Defensive rebound by W. Carter,108,65
3,6:06.0,,W. Carter makes 2-pt jump shot from 16 ft (assist by C. Payne),108,67
3,5:40.0,K. Thompson makes 2-pt jump shot from 5 ft,,110,67
3,5:22.0,,Z. LaVine makes 2-pt layup from 2 ft,110,69
3,5:10.0,K. Thompson misses 3-pt jump shot from 26 ft,,110,69
3,5:06.0,,Defensive rebound by Z. LaVine,110,69
3,5:01.0,,Turnover by Z. LaVine (lost ball; steal by D. Green),110,69
3,4:53.0,K. Thompson makes 3-pt jump shot from 27 ft (assist by K. Durant),,113,69
3,4:53.0,,Chicago full timeout,113,69
3,4:53.0,J. Bell enters the game for S. Curry,,113,69
3,4:53.0,Q. Cook enters the game for K. Durant,,113,69
3,4:53.0,J. Jerebko enters the game for D. Green,,113,69
3,4:53.0,A. McKinnie enters the game for D. Jones,,113,69
3,4:53.0,,R. Arcidiacono enters the game for C. Hutchison,113,69
3,4:53.0,,A. Blakeney enters the game for Z. LaVine,113,69
3,4:53.0,,J. Parker enters the game for C. Payne,113,69
3,4:36.0,,W. Carter makes 2-pt dunk from 1 ft (assist by J. Holiday),113,71
3,4:36.0,,Shooting foul by J. Bell (drawn by W. Carter),113,71
3,4:36.0,,W. Carter makes free throw 1 of 1,113,72
3,4:12.0,A. McKinnie misses 2-pt jump shot from 19 ft,,113,72
3,4:09.0,,Defensive rebound by J. Parker,113,72
3,4:05.0,,Personal foul by J. Jerebko (drawn by J. Holiday),113,72
3,4:05.0,J. Evans enters the game for K. Thompson,,113,72
3,3:56.0,,A. Blakeney makes 2-pt layup from 2 ft,113,74
3,3:36.0,Q. Cook misses 2-pt jump shot from 5 ft,,113,74
3,3:30.0,Offensive rebound by A. McKinnie,,113,74
3,3:30.0,A. McKinnie makes 2-pt layup at rim,,115,74
3,3:23.0,,A. Blakeney makes 3-pt jump shot from 23 ft (assist by J. Holiday),115,77
3,3:10.0,J. Evans misses 2-pt layup from 2 ft,,115,77
3,3:10.0,,Defensive rebound by Team,115,77
3,3:01.0,,Turnover by J. Holiday (bad pass; steal by J. Bell),115,77
3,2:46.0,Q. Cook misses 3-pt jump shot from 26 ft,,115,77
3,2:40.0,,Defensive rebound by W. Carter,115,77
3,2:31.0,,A. Blakeney misses 2-pt jump shot from 21 ft,115,77
3,2:30.0,,Offensive rebound by Team,115,77
3,2:30.0,Loose ball foul by A. McKinnie (drawn by W. Carter),,115,77
3,2:30.0,,W. Carter makes free throw 1 of 2,115,78
3,2:30.0,,S. Harrison enters the game for J. Holiday,115,78
3,2:30.0,,W. Carter makes free throw 2 of 2,115,79
3,2:16.0,Turnover by J. Jerebko (lost ball; steal by W. Carter),,115,79
3,2:10.0,,S. Harrison makes 2-pt layup from 1 ft (assist by J. Parker),115,81
3,1:53.0,J. Bell misses 2-pt jump shot from 20 ft,,115,81
3,1:51.0,,Defensive rebound by S. Harrison,115,81
3,1:45.0,,S. Harrison makes 2-pt jump shot from 7 ft,115,83
3,1:29.0,Q. Cook makes 3-pt jump shot from 26 ft (assist by J. Jerebko),,118,83
3,1:04.0,,A. Blakeney misses 2-pt layup from 2 ft (block by J. Bell),118,83
3,0:57.0,,Offensive rebound by A. Blakeney,118,83
3,0:57.0,,A. Blakeney makes 2-pt layup from 1 ft,118,85
3,0:50.0,Q. Cook makes 2-pt jump shot from 13 ft,,120,85
3,0:43.0,,W. Carter makes 2-pt layup at rim (assist by S. Harrison),120,87
3,0:30.0,Shooting foul by W. Carter (drawn by J. Bell),,120,87
3,0:30.0,J. Bell misses free throw 1 of 2,,120,87
3,0:30.0,Offensive rebound by Team,,120,87
3,0:30.0,,C. Felício enters the game for W. Carter,120,87
3,0:30.0,J. Bell misses free throw 2 of 2,,120,87
3,0:28.0,Offensive rebound by A. McKinnie,,120,87
3,0:28.0,A. McKinnie makes 2-pt jump shot from 2 ft,,122,87
3,0:28.0,Shooting foul by R. Arcidiacono (drawn by A. McKinnie),,122,87
3,0:28.0,A. McKinnie misses free throw 1 of 1,,122,87
3,0:28.0,,Defensive rebound by J. Parker,122,87
3,0:06.0,,J. Parker makes 2-pt jump shot from 7 ft,122,89
3,0:00.0,J. Jerebko makes 3-pt jump shot from 25 ft (assist by J. Evans),,125,89
4,11:44.0,A. McKinnie misses 2-pt hook shot from 7 ft,,125,89
4,11:41.0,,Defensive rebound by A. Blakeney,125,89
4,11:29.0,,J. Parker misses 2-pt layup from 2 ft,125,89
4,11:27.0,Defensive rebound by K. Looney,,125,89
4,11:14.0,Q. Cook makes 2-pt jump shot from 20 ft,,127,89
4,11:03.0,,Personal foul by J. Jerebko (drawn by A. Blakeney),127,89
4,10:48.0,,J. Parker misses 2-pt jump shot from 21 ft,127,89
4,10:45.0,Defensive rebound by J. Jerebko,,127,89
4,10:37.0,A. McKinnie misses 3-pt jump shot from 23 ft,,127,89
4,10:34.0,Offensive rebound by J. Evans,,127,89
4,10:33.0,Q. Cook misses 3-pt jump shot from 26 ft,,127,89
4,10:33.0,,Defensive rebound by Team,127,89
4,10:32.0,Loose ball foul by A. McKinnie (drawn by J. Parker),,127,89
4,10:22.0,,Personal foul by J. Jerebko (drawn by C. Felício),127,89
4,10:15.0,,Turnover by S. Harrison (lost ball; steal by J. Jerebko),127,89
4,10:09.0,Shooting foul by S. Harrison (drawn by K. Looney),,127,89
4,10:09.0,K. Looney makes free throw 1 of 2,,128,89
4,10:09.0,J. Bell enters the game for J. Jerebko,,128,89
4,10:09.0,K. Looney misses free throw 2 of 2,,128,89
4,10:06.0,,Defensive rebound by J. Parker,128,89
4,10:02.0,,A. Blakeney makes 3-pt jump shot from 23 ft (assist by J. Parker),128,92
4,10:02.0,,Shooting foul by J. Evans (drawn by A. Blakeney),128,92
4,10:02.0,,A. Blakeney misses free throw 1 of 1,128,92
4,9:55.0,,Offensive rebound by S. Harrison,128,92
4,9:54.0,,J. Parker makes 2-pt layup from 1 ft (assist by S. Harrison),128,94
4,9:41.0,Shooting foul by A. Blakeney (drawn by A. McKinnie),,128,94
4,9:41.0,A. McKinnie misses free throw 1 of 2,,128,94
4,9:41.0,Offensive rebound by Team,,128,94
4,9:41.0,A. McKinnie makes free throw 2 of 2,,129,94
4,9:25.0,,A. Blakeney makes 3-pt jump shot from 26 ft (assist by S. Harrison),129,97
4,9:14.0,Q. Cook misses 3-pt jump shot from 26 ft,,129,97
4,9:10.0,,Defensive rebound by J. Parker,129,97
4,9:07.0,,C. Felício misses 2-pt layup from 2 ft (block by J. Bell),129,97
4,9:06.0,,Offensive rebound by C. Felício,129,97
4,9:06.0,,C. Felício makes 2-pt layup from 1 ft,129,99
4,9:06.0,Golden State full timeout,,129,99
4,8:47.0,Turnover by Q. Cook (bad pass; steal by J. Parker),,129,99
4,8:45.0,,J. Parker makes 2-pt layup from 2 ft,129,101
4,8:45.0,,Shooting foul by A. McKinnie (drawn by J. Parker),129,101
4,8:45.0,Defensive rebound by J. Bell,,129,101
4,8:45.0,,J. Parker misses free throw 1 of 1,129,101
4,8:23.0,Personal foul by S. Harrison (drawn by Q. Cook),,129,101
4,8:23.0,J. Jerebko enters the game for A. McKinnie,,129,101
4,8:12.0,K. Looney makes 2-pt jump shot from 18 ft (assist by J. Evans),,131,101
4,8:03.0,,Personal foul by J. Bell (drawn by J. Parker),131,101
4,8:03.0,,J. Parker misses free throw 1 of 2,131,101
4,8:03.0,,Offensive rebound by Team,131,101
4,8:03.0,,J. Parker misses free throw 2 of 2,131,101
4,7:59.0,,Offensive rebound by C. Felício,131,101
4,7:55.0,,A. Blakeney misses 3-pt jump shot from 25 ft,131,101
4,7:52.0,Defensive rebound by J. Jerebko,,131,101
4,7:36.0,J. Jerebko makes 2-pt hook shot from 2 ft (assist by Q. Cook),,133,101
4,7:21.0,,Shooting foul by J. Bell (drawn by A. Blakeney),133,101
4,7:21.0,,A. Blakeney makes free throw 1 of 3,133,102
4,7:21.0,,A. Blakeney makes free throw 2 of 3,133,103
4,7:21.0,,A. Blakeney makes free throw 3 of 3,133,104
4,7:06.0,K. Looney makes 2-pt dunk from 1 ft,,135,104
4,6:56.0,,J. Parker makes 2-pt layup from 1 ft,135,106
4,6:38.0,K. Looney misses 2-pt layup from 2 ft (block by J. Parker),,135,106
