QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,OKLAHOMA CITY_ACTION,MILWAUKEE_SCORE,OKLAHOMA CITY_SCORE
1,8:09.0,,T. Ferguson makes 2-pt layup from 1 ft (assist by R. Westbrook),10,7
1,7:49.0,B. Lopez makes 3-pt jump shot from 26 ft,,13,7
1,7:30.0,,S. Adams misses 2-pt layup from 2 ft,13,7
1,7:29.0,,Offensive rebound by P. George,13,7
1,7:23.0,,Turnover by P. George (back court),13,7
1,7:23.0,S. Brown enters the game for M. Brogdon,,13,7
1,7:13.0,,Violation by Team (kicked ball),13,7
1,7:07.0,Turnover by E. Bledsoe (out of bounds lost ball),,13,7
1,6:55.0,,J. Grant makes 2-pt layup from 2 ft (assist by R. Westbrook),13,9
1,6:43.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,13,9
1,6:41.0,,Defensive rebound by S. Adams,13,9
1,6:32.0,,P. George makes 3-pt jump shot from 23 ft,13,12
1,6:10.0,G. Antetokounmpo misses 2-pt layup from 7 ft (block by T. Ferguson),,13,12
1,6:09.0,Offensive rebound by G. Antetokounmpo,,13,12
1,6:08.0,G. Antetokounmpo misses 2-pt layup from 1 ft,,13,12
1,6:07.0,Offensive rebound by S. Brown,,13,12
1,6:07.0,S. Brown misses 2-pt layup from 2 ft,,13,12
1,6:04.0,,Defensive rebound by P. George,13,12
1,5:58.0,,Personal foul by K. Middleton (drawn by P. George),13,12
1,5:58.0,,Oklahoma City full timeout,13,12
1,5:58.0,D. Wilson enters the game for G. Antetokounmpo,,13,12
1,5:46.0,,T. Ferguson makes 3-pt jump shot from 23 ft (assist by J. Grant),13,15
1,5:30.0,E. Bledsoe makes 2-pt layup from 1 ft,,15,15
1,5:19.0,,R. Westbrook misses 2-pt jump shot from 16 ft,15,15
1,5:14.0,Defensive rebound by E. Bledsoe,,15,15
1,5:07.0,B. Lopez makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),,18,15
1,4:50.0,,T. Ferguson makes 3-pt jump shot from 23 ft (assist by R. Westbrook),18,18
1,4:32.0,D. Wilson misses 3-pt jump shot from 25 ft,,18,18
1,4:29.0,,Defensive rebound by T. Ferguson,18,18
1,4:22.0,,J. Grant makes 2-pt dunk from 1 ft (assist by T. Ferguson),18,20
1,4:21.0,Milwaukee full timeout,,18,20
1,4:21.0,G. Hill enters the game for K. Middleton,,18,20
1,4:21.0,,A. Nader enters the game for T. Ferguson,18,20
1,4:21.0,,P. Patterson enters the game for P. George,18,20
1,4:21.0,,D. Schröder enters the game for J. Grant,18,20
1,4:08.0,B. Lopez makes 3-pt jump shot from 25 ft (assist by G. Hill),,21,20
1,3:55.0,,R. Westbrook misses 2-pt jump shot from 20 ft,21,20
1,3:53.0,Defensive rebound by D. Wilson,,21,20
1,3:43.0,E. Bledsoe misses 2-pt jump shot from 2 ft,,21,20
1,3:42.0,Offensive rebound by E. Bledsoe,,21,20
1,3:41.0,E. Bledsoe misses 2-pt layup from 2 ft,,21,20
1,3:39.0,,Defensive rebound by S. Adams,21,20
1,3:28.0,,R. Westbrook misses 2-pt jump shot from 16 ft,21,20
1,3:24.0,,Offensive rebound by P. Patterson,21,20
1,3:17.0,,R. Westbrook makes 2-pt jump shot from 19 ft,21,22
1,3:04.0,E. Bledsoe misses 3-pt jump shot from 24 ft,,21,22
1,2:59.0,,Defensive rebound by P. Patterson,21,22
1,2:53.0,,D. Schröder makes 2-pt jump shot from 14 ft,21,24
1,2:38.0,Turnover by D. Wilson (out of bounds lost ball),,21,24
1,2:38.0,M. Brogdon enters the game for E. Bledsoe,,21,24
1,2:38.0,E. İlyasova enters the game for B. Lopez,,21,24
1,2:38.0,,P. George enters the game for R. Westbrook,21,24
1,2:21.0,,A. Nader makes 2-pt jump shot from 9 ft (assist by S. Adams),21,26
1,2:02.0,E. İlyasova misses 3-pt jump shot from 25 ft,,21,26
1,2:00.0,,Defensive rebound by P. George,21,26
1,1:50.0,,P. George makes 2-pt jump shot from 10 ft,21,28
1,1:25.0,M. Brogdon misses 2-pt layup from 1 ft (block by S. Adams),,21,28
1,1:23.0,Offensive rebound by M. Brogdon,,21,28
1,1:21.0,E. İlyasova misses 3-pt jump shot from 25 ft,,21,28
1,1:19.0,,Defensive rebound by D. Schröder,21,28
1,1:14.0,,P. George makes 3-pt jump shot from 26 ft (assist by D. Schröder),21,31
1,0:57.0,M. Brogdon makes 2-pt layup from 1 ft (assist by G. Hill),,23,31
1,0:43.0,,Offensive foul by P. George (drawn by E. İlyasova),23,31
1,0:43.0,,Turnover by P. George (offensive foul),23,31
1,0:43.0,G. Antetokounmpo enters the game for D. Wilson,,23,31
1,0:43.0,,N. Noel enters the game for S. Adams,23,31
1,0:32.0,M. Brogdon makes 2-pt layup from 2 ft,,25,31
1,0:23.0,,D. Schröder misses 2-pt jump shot from 9 ft (block by G. Hill),25,31
1,0:22.0,,Offensive rebound by Team,25,31
1,0:12.0,,Turnover by P. George (bad pass),25,31
1,0:07.0,Personal foul by P. George (drawn by M. Brogdon),,25,31
1,0:05.0,G. Antetokounmpo misses 2-pt jump shot from 3 ft,,25,31
1,0:03.0,,Defensive rebound by N. Noel,25,31
1,0:00.0,,P. George misses 3-pt jump shot from 27 ft,25,31
1,0:00.0,,Offensive rebound by Team,25,31
2,11:46.0,,D. Schröder misses 3-pt jump shot from 27 ft,25,31
2,11:42.0,Defensive rebound by G. Antetokounmpo,,25,31
2,11:40.0,Shooting foul by N. Noel (drawn by G. Antetokounmpo),,25,31
2,11:40.0,G. Antetokounmpo misses free throw 1 of 2,,25,31
2,11:40.0,Offensive rebound by Team,,25,31
2,11:40.0,G. Antetokounmpo misses free throw 2 of 2,,25,31
2,11:37.0,,Defensive rebound by A. Nader,25,31
2,11:18.0,,P. Patterson misses 3-pt jump shot from 25 ft,25,31
2,11:16.0,,Offensive rebound by N. Noel,25,31
2,11:15.0,,N. Noel misses 2-pt hook shot from 1 ft,25,31
2,11:15.0,Defensive rebound by M. Brogdon,,25,31
2,10:58.0,M. Brogdon misses 2-pt layup from 1 ft,,25,31
2,10:56.0,Offensive rebound by T. Snell,,25,31
2,10:55.0,T. Snell misses 2-pt layup from 1 ft,,25,31
2,10:54.0,,Defensive rebound by P. George,25,31
2,10:47.0,,N. Noel makes 2-pt layup from 1 ft (assist by P. George),25,33
2,10:31.0,G. Antetokounmpo misses 2-pt layup from 1 ft (block by N. Noel),,25,33
2,10:28.0,,Defensive rebound by P. George,25,33
2,10:18.0,,N. Noel makes 2-pt layup from 2 ft (assist by P. Patterson),25,35
2,9:59.0,T. Snell makes 2-pt jump shot from 12 ft,,27,35
2,9:50.0,,N. Noel makes 2-pt dunk from 1 ft (assist by D. Schröder),27,37
2,9:49.0,Milwaukee full timeout,,27,37
2,9:49.0,D. Wilson enters the game for E. İlyasova,,27,37
2,9:35.0,Turnover by T. Snell (bad pass),,27,37
2,9:20.0,,Shooting foul by M. Brogdon (drawn by P. George),27,37
2,9:20.0,,P. George makes free throw 1 of 2,27,38
2,9:20.0,,P. George makes free throw 2 of 2,27,39
2,9:07.0,Turnover by G. Antetokounmpo (lost ball; steal by P. George),,27,39
2,9:01.0,,P. George makes 3-pt jump shot from 24 ft (assist by D. Schröder),27,42
2,8:46.0,M. Brogdon makes 3-pt jump shot from 22 ft (assist by G. Antetokounmpo),,30,42
2,8:33.0,,D. Schröder misses 2-pt jump shot from 16 ft,30,42
2,8:31.0,Defensive rebound by G. Antetokounmpo,,30,42
2,8:24.0,M. Brogdon misses 3-pt jump shot from 23 ft,,30,42
2,8:19.0,,Defensive rebound by P. George,30,42
2,8:13.0,,P. George makes 3-pt jump shot from 28 ft (assist by D. Schröder),30,45
2,7:51.0,G. Hill makes 2-pt layup from 2 ft (assist by D. Wilson),,32,45
2,7:41.0,,P. George misses 3-pt jump shot from 26 ft,32,45
2,7:39.0,Defensive rebound by D. Wilson,,32,45
2,7:39.0,K. Middleton enters the game for G. Hill,,32,45
2,7:39.0,,T. Ferguson enters the game for P. George,32,45
2,7:39.0,,J. Grant enters the game for P. Patterson,32,45
2,7:39.0,,R. Westbrook enters the game for D. Schröder,32,45
2,7:24.0,T. Snell misses 3-pt jump shot from 25 ft,,32,45
2,7:22.0,,Defensive rebound by Team,32,45
2,7:10.0,,Shooting foul by M. Brogdon (drawn by J. Grant),32,45
2,7:10.0,,J. Grant misses free throw 1 of 2,32,45
2,7:10.0,,Offensive rebound by Team,32,45
2,7:10.0,E. Bledsoe enters the game for M. Brogdon,,32,45
2,7:10.0,,J. Grant misses free throw 2 of 2,32,45
2,7:08.0,Defensive rebound by G. Antetokounmpo,,32,45
2,6:54.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by N. Noel),,32,45
2,6:52.0,,Defensive rebound by A. Nader,32,45
2,6:47.0,,A. Nader makes 2-pt layup from 2 ft,32,47
2,6:47.0,Milwaukee full timeout,,32,47
2,6:24.0,Shooting foul by R. Westbrook (drawn by K. Middleton),,32,47
2,6:24.0,K. Middleton misses free throw 1 of 2,,32,47
2,6:24.0,Offensive rebound by Team,,32,47
2,6:24.0,B. Lopez enters the game for G. Antetokounmpo,,32,47
2,6:24.0,K. Middleton makes free throw 2 of 2,,33,47
2,6:14.0,,Turnover by R. Westbrook (bad pass; steal by E. Bledsoe),33,47
2,6:10.0,Personal foul by T. Ferguson (drawn by E. Bledsoe),,33,47
2,6:05.0,K. Middleton misses 2-pt jump shot from 13 ft,,33,47
2,6:02.0,,Defensive rebound by R. Westbrook,33,47
2,5:59.0,,A. Nader misses 3-pt jump shot from 26 ft,33,47
2,5:57.0,Defensive rebound by T. Snell,,33,47
2,5:51.0,D. Wilson misses 2-pt layup from 1 ft (block by J. Grant),,33,47
2,5:48.0,,Defensive rebound by R. Westbrook,33,47
2,5:40.0,,Personal foul by T. Snell (drawn by J. Grant),33,47
2,5:40.0,,P. George enters the game for A. Nader,33,47
2,5:38.0,,N. Noel misses 2-pt jump shot from 15 ft,33,47
2,5:35.0,Defensive rebound by D. Wilson,,33,47
2,5:28.0,Turnover by B. Lopez (out of bounds lost ball),,33,47
2,5:28.0,,Oklahoma City full timeout,33,47
2,5:28.0,G. Hill enters the game for T. Snell,,33,47
2,5:19.0,,T. Ferguson misses 2-pt layup at rim,33,47
2,5:17.0,,Offensive rebound by T. Ferguson,33,47
2,5:09.0,,T. Ferguson makes 2-pt jump shot from 22 ft (assist by R. Westbrook),33,49
2,4:55.0,E. Bledsoe makes 2-pt jump shot from 2 ft,,35,49
2,4:38.0,,P. George misses 3-pt jump shot from 25 ft,35,49
2,4:36.0,Defensive rebound by E. Bledsoe,,35,49
2,4:24.0,Turnover by K. Middleton (lost ball; steal by R. Westbrook),,35,49
2,4:21.0,,J. Grant misses 2-pt layup from 2 ft,35,49
2,4:18.0,,Offensive rebound by N. Noel,35,49
2,4:18.0,,Personal foul by B. Lopez (drawn by N. Noel),35,49
2,4:07.0,,P. George makes 2-pt jump shot from 15 ft (assist by R. Westbrook),35,51
2,3:51.0,B. Lopez misses 3-pt jump shot from 27 ft,,35,51
2,3:48.0,,Defensive rebound by T. Ferguson,35,51
2,3:39.0,,T. Ferguson misses 2-pt layup from 4 ft (block by D. Wilson),35,51
2,3:37.0,Defensive rebound by E. Bledsoe,,35,51
2,3:32.0,G. Hill misses 3-pt jump shot from 23 ft,,35,51
2,3:29.0,,Defensive rebound by N. Noel,35,51
2,3:24.0,,P. George misses 2-pt layup from 1 ft,35,51
2,3:23.0,Defensive rebound by G. Hill,,35,51
2,3:08.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,35,51
2,3:05.0,,Defensive rebound by R. Westbrook,35,51
2,3:02.0,,R. Westbrook misses 2-pt jump shot from 20 ft,35,51
2,2:59.0,Defensive rebound by B. Lopez,,35,51
2,2:54.0,Personal foul by T. Ferguson (drawn by E. Bledsoe),,35,51
2,2:54.0,G. Antetokounmpo enters the game for E. Bledsoe,,35,51
2,2:54.0,M. Brogdon enters the game for D. Wilson,,35,51
2,2:54.0,,S. Adams enters the game for T. Ferguson,35,51
2,2:54.0,,D. Schröder enters the game for N. Noel,35,51
2,2:41.0,Shooting foul by J. Grant (drawn by G. Antetokounmpo),,35,51
2,2:41.0,G. Antetokounmpo makes free throw 1 of 2,,36,51
2,2:41.0,G. Antetokounmpo misses free throw 2 of 2,,36,51
2,2:40.0,,Defensive rebound by R. Westbrook,36,51
2,2:25.0,,J. Grant misses 2-pt layup from 2 ft,36,51
2,2:23.0,Defensive rebound by G. Antetokounmpo,,36,51
2,2:19.0,K. Middleton makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),,38,51
2,2:04.0,,D. Schröder misses 2-pt jump shot from 9 ft,38,51
2,2:02.0,Defensive rebound by B. Lopez,,38,51
2,1:55.0,K. Middleton misses 3-pt jump shot from 27 ft,,38,51
2,1:52.0,,Defensive rebound by P. George,38,51
2,1:43.0,,J. Grant makes 2-pt layup from 5 ft (assist by R. Westbrook),38,53
2,1:32.0,K. Middleton makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),,40,53
2,1:12.0,,R. Westbrook makes 3-pt jump shot from 26 ft (assist by D. Schröder),40,56
2,1:00.0,Offensive foul by G. Antetokounmpo (drawn by J. Grant),,40,56
2,1:00.0,Turnover by G. Antetokounmpo (offensive foul),,40,56
2,1:00.0,E. Bledsoe enters the game for K. Middleton,,40,56
2,0:51.0,,Shooting foul by E. Bledsoe (drawn by P. George),40,56
2,0:51.0,,P. George misses free throw 1 of 2,40,56
2,0:51.0,,Offensive rebound by Team,40,56
2,0:51.0,,P. George misses free throw 2 of 2,40,56
2,0:50.0,Defensive rebound by G. Antetokounmpo,,40,56
2,0:36.0,Personal foul by S. Adams (drawn by M. Brogdon),,40,56
2,0:36.0,M. Brogdon makes free throw 1 of 2,,41,56
2,0:36.0,M. Brogdon makes free throw 2 of 2,,42,56
2,0:32.0,,R. Westbrook misses 3-pt jump shot from 26 ft,42,56
2,0:30.0,,Offensive rebound by P. George,42,56
2,0:28.0,,Turnover by P. George (bad pass; steal by G. Hill),42,56
2,0:06.0,E. Bledsoe misses 2-pt layup from 2 ft,,42,56
2,0:02.0,,Defensive rebound by J. Grant,42,56
2,0:02.0,,Turnover by R. Westbrook (lost ball; steal by G. Antetokounmpo),42,56
3,11:47.0,,S. Adams misses 2-pt layup from 3 ft (block by B. Lopez),42,56
3,11:43.0,,Offensive rebound by S. Adams,42,56
3,11:43.0,,S. Adams makes 2-pt layup from 2 ft,42,58
3,11:27.0,Shooting foul by T. Ferguson (drawn by G. Antetokounmpo),,42,58
3,11:27.0,G. Antetokounmpo makes free throw 1 of 2,,43,58
3,11:27.0,G. Antetokounmpo makes free throw 2 of 2,,44,58
3,11:17.0,,R. Westbrook misses 2-pt jump shot from 21 ft,44,58
3,11:14.0,Defensive rebound by G. Antetokounmpo,,44,58
3,11:05.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by J. Grant),,44,58
3,11:03.0,,Defensive rebound by R. Westbrook,44,58
3,10:52.0,,S. Adams makes 2-pt layup from 2 ft (assist by R. Westbrook),44,60
3,10:38.0,G. Antetokounmpo makes 3-pt jump shot from 26 ft (assist by B. Lopez),,47,60
3,10:22.0,,Turnover by R. Westbrook (bad pass),47,60
3,10:06.0,B. Lopez makes 2-pt jump shot from 3 ft (assist by E. Bledsoe),,49,60
3,10:06.0,Shooting foul by T. Ferguson (drawn by B. Lopez),,49,60
3,10:06.0,B. Lopez makes free throw 1 of 1,,50,60
3,9:51.0,,R. Westbrook misses 2-pt layup from 1 ft,50,60
3,9:50.0,,Offensive rebound by S. Adams,50,60
3,9:50.0,,S. Adams makes 2-pt layup at rim,50,62
3,9:50.0,,Violation by Team (delay of game),50,62
3,9:41.0,M. Brogdon makes 2-pt layup from 1 ft,,52,62
3,9:28.0,,Turnover by R. Westbrook (bad pass; steal by B. Lopez),52,62
3,9:21.0,Turnover by E. Bledsoe (bad pass; steal by S. Adams),,52,62
3,9:18.0,,S. Adams makes 2-pt layup from 2 ft,52,64
3,9:06.0,Shooting foul by R. Westbrook (drawn by M. Brogdon),,52,64
3,9:06.0,M. Brogdon makes free throw 1 of 2,,53,64
3,9:06.0,,D. Schröder enters the game for T. Ferguson,53,64
3,9:06.0,M. Brogdon misses free throw 2 of 2,,53,64
3,9:04.0,,Defensive rebound by R. Westbrook,53,64
3,8:54.0,,D. Schröder makes 3-pt jump shot from 24 ft (assist by R. Westbrook),53,67
3,8:34.0,M. Brogdon misses 3-pt jump shot from 24 ft,,53,67
3,8:30.0,,Defensive rebound by J. Grant,53,67
3,8:19.0,,R. Westbrook misses 2-pt jump shot from 17 ft,53,67
3,8:16.0,Defensive rebound by G. Antetokounmpo,,53,67
3,8:05.0,M. Brogdon makes 2-pt layup at rim (assist by G. Antetokounmpo),,55,67
3,7:41.0,,S. Adams makes 2-pt layup from 2 ft (assist by J. Grant),55,69
3,7:24.0,G. Antetokounmpo makes 3-pt jump shot from 26 ft (assist by B. Lopez),,58,69
3,7:05.0,,Personal foul by G. Antetokounmpo (drawn by P. George),58,69
3,6:54.0,,R. Westbrook makes 3-pt jump shot from 24 ft (assist by D. Schröder),58,72
3,6:34.0,G. Antetokounmpo misses 2-pt hook shot from 2 ft,,58,72
3,6:32.0,,Defensive rebound by P. George,58,72
3,6:28.0,,D. Schröder misses 3-pt jump shot from 24 ft,58,72
3,6:25.0,Defensive rebound by B. Lopez,,58,72
3,6:21.0,K. Middleton misses 3-pt jump shot from 26 ft,,58,72
3,6:18.0,Offensive rebound by M. Brogdon,,58,72
3,6:17.0,M. Brogdon makes 2-pt layup from 1 ft,,60,72
3,6:08.0,,Personal foul by G. Antetokounmpo (drawn by J. Grant),60,72
3,6:08.0,,Oklahoma City full timeout,60,72
3,6:08.0,S. Brown enters the game for K. Middleton,,60,72
3,5:59.0,,P. George misses 2-pt jump shot from 14 ft,60,72
3,5:56.0,Defensive rebound by G. Antetokounmpo,,60,72
3,5:50.0,E. Bledsoe misses 2-pt layup from 2 ft,,60,72
3,5:50.0,Offensive rebound by Team,,60,72
3,5:46.0,Turnover by E. Bledsoe (traveling),,60,72
3,5:41.0,,R. Westbrook makes 2-pt layup from 1 ft,60,74
3,5:19.0,Turnover by G. Antetokounmpo (lost ball; steal by P. George),,60,74
3,5:14.0,,Turnover by P. George (lost ball; steal by S. Brown),60,74
3,5:02.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by J. Grant),,60,74
3,5:01.0,,Defensive rebound by R. Westbrook,60,74
3,4:53.0,,J. Grant makes 3-pt jump shot from 23 ft (assist by S. Adams),60,77
3,4:42.0,Turnover by S. Brown (back court),,60,77
3,4:42.0,T. Snell enters the game for G. Antetokounmpo,,60,77
3,4:42.0,D. Wilson enters the game for E. Bledsoe,,60,77
3,4:42.0,,A. Nader enters the game for P. George,60,77
3,4:33.0,,J. Grant makes 2-pt jump shot from 16 ft (assist by R. Westbrook),60,79
3,4:07.0,T. Snell makes 3-pt jump shot from 22 ft (assist by M. Brogdon),,63,79
3,3:41.0,,S. Adams misses 2-pt layup from 1 ft,63,79
3,3:38.0,Defensive rebound by B. Lopez,,63,79
3,3:29.0,S. Brown misses 2-pt layup from 1 ft,,63,79
3,3:28.0,,Defensive rebound by R. Westbrook,63,79
3,3:21.0,,J. Grant misses 3-pt jump shot from 25 ft,63,79
3,3:19.0,Defensive rebound by S. Brown,,63,79
3,3:11.0,M. Brogdon misses 2-pt layup from 3 ft (block by J. Grant),,63,79
3,3:11.0,Offensive rebound by Team,,63,79
3,3:11.0,G. Hill enters the game for M. Brogdon,,63,79
3,3:11.0,,P. Patterson enters the game for J. Grant,63,79
3,3:05.0,Shooting foul by A. Nader (drawn by T. Snell),,63,79
3,3:05.0,T. Snell makes free throw 1 of 3,,64,79
3,3:05.0,T. Snell makes free throw 2 of 3,,65,79
3,3:05.0,T. Snell makes free throw 3 of 3,,66,79
3,2:51.0,,D. Schröder makes 2-pt jump shot from 17 ft (assist by R. Westbrook),66,81
3,2:51.0,,Shooting foul by D. Wilson (drawn by D. Schröder),66,81
3,2:51.0,Milwaukee full timeout,,66,81
3,2:51.0,K. Middleton enters the game for B. Lopez,,66,81
3,2:51.0,,N. Noel enters the game for S. Adams,66,81
3,2:51.0,,D. Schröder makes free throw 1 of 1,66,82
3,2:39.0,T. Snell misses 3-pt jump shot from 23 ft,,66,82
3,2:36.0,,Defensive rebound by D. Schröder,66,82
3,2:26.0,,A. Nader misses 3-pt jump shot from 25 ft,66,82
3,2:25.0,Defensive rebound by K. Middleton,,66,82
3,2:17.0,K. Middleton makes 3-pt jump shot from 25 ft,,69,82
3,1:57.0,,R. Westbrook misses 3-pt jump shot from 24 ft,69,82
3,1:54.0,Defensive rebound by K. Middleton,,69,82
3,1:51.0,S. Brown makes 3-pt jump shot from 23 ft (assist by K. Middleton),,72,82
3,1:32.0,,N. Noel misses 2-pt jump shot from 9 ft,72,82
3,1:29.0,Defensive rebound by T. Snell,,72,82
3,1:24.0,K. Middleton makes 3-pt jump shot from 26 ft,,75,82
3,1:23.0,,Oklahoma City full timeout,75,82
3,1:23.0,G. Antetokounmpo enters the game for D. Wilson,,75,82
3,1:23.0,,P. George enters the game for R. Westbrook,75,82
3,1:10.0,,D. Schröder misses 2-pt layup from 2 ft (block by T. Snell),75,82
3,1:10.0,,Offensive rebound by Team,75,82
3,1:10.0,Violation by Team (kicked ball),,75,82
3,1:05.0,,Shooting foul by G. Antetokounmpo (drawn by D. Schröder),75,82
3,1:05.0,,D. Schröder misses free throw 1 of 2,75,82
3,1:05.0,,Offensive rebound by Team,75,82
3,1:05.0,,D. Schröder makes free throw 2 of 2,75,83
3,0:53.0,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by K. Middleton),,77,83
3,0:37.0,,P. George makes 3-pt jump shot from 25 ft (assist by D. Schröder),77,86
3,0:33.0,Shooting foul by A. Nader (drawn by K. Middleton),,77,86
3,0:33.0,K. Middleton makes free throw 1 of 2,,78,86
3,0:33.0,D. Wilson enters the game for G. Antetokounmpo,,78,86
3,0:33.0,K. Middleton makes free throw 2 of 2,,79,86
3,0:28.0,,D. Schröder misses 2-pt layup from 1 ft,79,86
3,0:28.0,Defensive rebound by Team,,79,86
3,0:28.0,,Loose ball foul by N. Noel (drawn by D. Wilson),79,86
3,0:28.0,D. Wilson misses free throw 1 of 2,,79,86
3,0:28.0,Offensive rebound by Team,,79,86
3,0:28.0,D. Wilson misses free throw 2 of 2,,79,86
3,0:27.0,,Defensive rebound by P. Patterson,79,86
3,0:06.0,,D. Schröder makes 3-pt jump shot from 26 ft (assist by P. George),79,89
3,0:00.0,K. Middleton misses 2-pt layup from 6 ft,,79,89
3,0:00.0,Offensive rebound by Team,,79,89
4,11:42.0,K. Middleton misses 3-pt jump shot from 26 ft,,79,89
4,11:39.0,,Defensive rebound by N. Noel,79,89
4,11:16.0,,Turnover by Team (shot clock),79,89
4,11:01.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by K. Middleton),,81,89
4,11:01.0,Shooting foul by N. Noel (drawn by G. Antetokounmpo),,81,89
4,11:01.0,G. Antetokounmpo makes free throw 1 of 1,,82,89
4,10:50.0,,Personal foul by T. Snell (drawn by P. George),82,89
4,10:37.0,,Shooting foul by G. Hill (drawn by D. Schröder),82,89
4,10:37.0,,D. Schröder makes free throw 1 of 2,82,90
4,10:37.0,,D. Schröder makes free throw 2 of 2,82,91
4,10:29.0,S. Brown misses 3-pt jump shot from 26 ft,,82,91
4,10:25.0,,Defensive rebound by P. George,82,91
4,10:11.0,,P. George makes 3-pt jump shot from 25 ft,82,94
4,9:58.0,Personal foul by D. Schröder (drawn by G. Hill),,82,94
4,9:49.0,S. Brown misses 2-pt layup from 4 ft,,82,94
4,9:45.0,,Defensive rebound by N. Noel,82,94
4,9:28.0,,P. George misses 2-pt jump shot from 12 ft,82,94
4,9:26.0,Defensive rebound by G. Hill,,82,94
4,9:26.0,Personal foul by P. George (drawn by G. Hill),,82,94
4,9:26.0,E. Bledsoe enters the game for S. Brown,,82,94
4,9:26.0,,J. Grant enters the game for P. Patterson,82,94
4,9:16.0,K. Middleton misses 2-pt layup from 3 ft,,82,94
4,9:14.0,,Defensive rebound by P. George,82,94
4,9:07.0,,P. George makes 2-pt jump shot from 7 ft,82,96
4,8:57.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,82,96
4,8:57.0,,Defensive rebound by Team,82,96
4,8:57.0,Loose ball foul by T. Snell (drawn by J. Grant),,82,96
4,8:57.0,M. Brogdon enters the game for T. Snell,,82,96
4,8:44.0,,P. George misses 2-pt jump shot from 17 ft,82,96
4,8:41.0,Defensive rebound by M. Brogdon,,82,96
4,8:36.0,G. Hill misses 3-pt jump shot from 26 ft,,82,96
4,8:33.0,,Defensive rebound by Team,82,96
4,8:33.0,,R. Westbrook enters the game for D. Schröder,82,96
4,8:18.0,,T. Ferguson misses 3-pt jump shot from 25 ft,82,96
4,8:14.0,Defensive rebound by K. Middleton,,82,96
4,8:14.0,B. Lopez enters the game for G. Hill,,82,96
4,8:07.0,K. Middleton makes 2-pt layup from 1 ft,,84,96
4,7:44.0,,N. Noel misses 2-pt jump shot from 14 ft,84,96
4,7:41.0,Defensive rebound by G. Antetokounmpo,,84,96
4,7:37.0,G. Antetokounmpo misses 2-pt layup from 5 ft (block by J. Grant),,84,96
