QUARTER,TIME_REMAINING,CLEVELAND_ACTION,DETROIT_ACTION,CLEVELAND_SCORE,DETROIT_SCORE
2,2:38.0,Shooting foul by I. Smith (drawn by C. Osman),,43,61
2,2:38.0,C. Osman makes free throw 1 of 2,,44,61
2,2:38.0,C. Osman misses free throw 2 of 2,,44,61
2,2:36.0,,Defensive rebound by L. Galloway,44,61
2,2:13.0,,Turnover by Team (shot clock),44,61
2,2:07.0,K. Korver misses 3-pt jump shot from 24 ft,,44,61
2,2:02.0,,Defensive rebound by B. Griffin,44,61
2,1:45.0,,L. Galloway misses 3-pt jump shot from 25 ft,44,61
2,1:42.0,Defensive rebound by C. Osman,,44,61
2,1:36.0,C. Osman makes 2-pt layup from 2 ft,,46,61
2,1:14.0,,I. Smith misses 3-pt jump shot from 26 ft,46,61
2,1:10.0,,Offensive rebound by R. Bullock,46,61
2,1:05.0,,Personal foul by R. Hood (drawn by B. Griffin),46,61
2,1:05.0,,B. Griffin makes free throw 1 of 2,46,62
2,1:05.0,,J. Calderón enters the game for I. Smith,46,62
2,1:05.0,,B. Griffin makes free throw 2 of 2,46,63
2,0:54.0,C. Osman misses 3-pt jump shot from 25 ft,,46,63
2,0:52.0,,Defensive rebound by A. Drummond,46,63
2,0:30.0,,Turnover by B. Griffin (bad pass; steal by C. Sexton),46,63
2,0:29.0,,Violation by Team (kicked ball),46,63
2,0:21.0,C. Sexton misses 2-pt jump shot from 20 ft,,46,63
2,0:17.0,,Defensive rebound by B. Griffin,46,63
2,0:01.0,,R. Bullock makes 3-pt jump shot from 24 ft (assist by J. Calderón),46,66
3,11:46.0,,G. Robinson makes 3-pt jump shot from 26 ft (assist by R. Jackson),46,69
3,11:17.0,Turnover by C. Osman (bad pass; steal by B. Griffin),,46,69
3,11:09.0,,B. Griffin misses 2-pt jump shot from 12 ft,46,69
3,11:07.0,Defensive rebound by L. Nance,,46,69
3,11:03.0,Turnover by R. Hood (traveling),,46,69
3,10:50.0,,Personal foul by C. Sexton (drawn by R. Jackson),46,69
3,10:39.0,,R. Jackson makes 3-pt jump shot from 28 ft (assist by A. Drummond),46,72
3,10:20.0,T. Thompson misses 2-pt layup from 2 ft (block by A. Drummond),,46,72
3,10:18.0,,Defensive rebound by B. Griffin,46,72
3,10:15.0,,R. Bullock misses 3-pt jump shot from 24 ft,46,72
3,10:09.0,Defensive rebound by C. Sexton,,46,72
3,10:07.0,Shooting foul by R. Jackson (drawn by T. Thompson),,46,72
3,10:07.0,T. Thompson makes free throw 1 of 2,,47,72
3,10:07.0,T. Thompson makes free throw 2 of 2,,48,72
3,10:02.0,,Offensive foul by B. Griffin (drawn by L. Nance),48,72
3,10:02.0,,Turnover by B. Griffin (offensive foul),48,72
3,9:48.0,R. Hood misses 2-pt jump shot from 9 ft,,48,72
3,9:43.0,Offensive rebound by T. Thompson,,48,72
3,9:43.0,T. Thompson makes 2-pt layup from 1 ft,,50,72
3,9:35.0,,Shooting foul by R. Hood (drawn by R. Bullock),50,72
3,9:35.0,,R. Bullock makes free throw 1 of 2,50,73
3,9:35.0,,R. Bullock makes free throw 2 of 2,50,74
3,9:20.0,C. Sexton makes 3-pt jump shot from 26 ft (assist by L. Nance),,53,74
3,8:58.0,,A. Drummond misses 2-pt hook shot from 8 ft,53,74
3,8:56.0,Defensive rebound by T. Thompson,,53,74
3,8:44.0,C. Osman makes 3-pt jump shot from 26 ft,,56,74
3,8:33.0,,Personal foul by C. Sexton (drawn by R. Jackson),56,74
3,8:28.0,,Turnover by R. Jackson (bad pass; steal by R. Hood),56,74
3,8:22.0,C. Sexton misses 3-pt jump shot from 26 ft,,56,74
3,8:19.0,,Defensive rebound by B. Griffin,56,74
3,8:00.0,,R. Bullock makes 2-pt jump shot from 20 ft (assist by B. Griffin),56,76
3,7:42.0,L. Nance misses 3-pt jump shot from 25 ft,,56,76
3,7:38.0,,Defensive rebound by R. Jackson,56,76
3,7:36.0,,B. Griffin makes 2-pt layup from 1 ft (assist by R. Jackson),56,78
3,7:26.0,T. Thompson makes 2-pt hook shot from 8 ft (assist by C. Sexton),,58,78
3,7:26.0,,Detroit full timeout,58,78
3,7:26.0,,I. Smith enters the game for R. Jackson,58,78
3,7:15.0,,R. Bullock makes 3-pt jump shot from 25 ft (assist by B. Griffin),58,81
3,7:15.0,,Shooting foul by R. Hood (drawn by R. Bullock),58,81
3,7:15.0,,R. Bullock makes free throw 1 of 1,58,82
3,6:57.0,T. Thompson makes 2-pt hook shot from 4 ft (assist by R. Hood),,60,82
3,6:30.0,,A. Drummond misses 2-pt hook shot from 8 ft,60,82
3,6:27.0,Defensive rebound by T. Thompson,,60,82
3,6:18.0,Shooting foul by I. Smith (drawn by C. Sexton),,60,82
3,6:18.0,C. Sexton misses free throw 1 of 2,,60,82
3,6:18.0,Offensive rebound by Team,,60,82
3,6:18.0,C. Sexton makes free throw 2 of 2,,61,82
3,6:05.0,,I. Smith misses 2-pt layup from 3 ft,61,82
3,6:02.0,,Offensive rebound by A. Drummond,61,82
3,6:01.0,,A. Drummond makes 2-pt layup from 1 ft,61,84
3,5:50.0,R. Hood misses 3-pt jump shot from 26 ft,,61,84
3,5:50.0,,Defensive rebound by G. Robinson,61,84
3,5:44.0,,R. Bullock makes 3-pt jump shot from 25 ft (assist by G. Robinson),61,87
3,5:43.0,Cleveland full timeout,,61,87
3,5:43.0,,L. Galloway enters the game for G. Robinson,61,87
3,5:19.0,Turnover by Team (shot clock),,61,87
3,5:19.0,J. Clarkson enters the game for R. Hood,,61,87
3,4:57.0,,A. Drummond makes 2-pt hook shot from 6 ft,61,89
3,4:38.0,C. Sexton makes 2-pt jump shot from 18 ft,,63,89
3,4:21.0,,I. Smith makes 2-pt hook shot from 2 ft,63,91
3,4:11.0,Personal foul by I. Smith (drawn by L. Nance),,63,91
3,4:11.0,K. Korver enters the game for L. Nance,,63,91
3,4:11.0,D. Nwaba enters the game for C. Osman,,63,91
3,4:11.0,,J. Calderón enters the game for R. Bullock,63,91
3,4:11.0,,S. Johnson enters the game for I. Smith,63,91
3,4:06.0,T. Thompson misses 2-pt layup from 2 ft (block by A. Drummond),,63,91
3,4:06.0,Offensive rebound by Team,,63,91
3,4:02.0,J. Clarkson misses 2-pt jump shot from 11 ft,,63,91
3,3:58.0,,Defensive rebound by A. Drummond,63,91
3,3:52.0,,Personal foul by T. Thompson (drawn by B. Griffin),63,91
3,3:52.0,,B. Griffin makes free throw 1 of 2,63,92
3,3:52.0,A. Harrison enters the game for C. Sexton,,63,92
3,3:52.0,,B. Griffin makes free throw 2 of 2,63,93
3,3:36.0,J. Clarkson makes 2-pt jump shot from 16 ft (assist by T. Thompson),,65,93
3,3:14.0,,Offensive foul by B. Griffin (drawn by D. Nwaba),65,93
3,3:14.0,,Turnover by B. Griffin (offensive foul),65,93
3,2:54.0,Turnover by K. Korver (bad pass; steal by S. Johnson),,65,93
3,2:49.0,,Turnover by S. Johnson (lost ball; steal by A. Harrison),65,93
3,2:26.0,J. Clarkson misses 3-pt jump shot from 25 ft,,65,93
3,2:23.0,,Defensive rebound by A. Drummond,65,93
3,2:17.0,,Turnover by B. Griffin (bad pass; steal by D. Nwaba),65,93
3,2:16.0,Personal take foul by S. Johnson (drawn by D. Nwaba),,65,93
3,2:16.0,,K. Thomas enters the game for B. Griffin,65,93
3,2:07.0,A. Harrison misses 2-pt jump shot from 12 ft,,65,93
3,2:03.0,,Defensive rebound by J. Calderón,65,93
3,1:52.0,,A. Drummond misses 2-pt layup from 3 ft,65,93
3,1:49.0,,Offensive rebound by A. Drummond,65,93
3,1:40.0,,S. Johnson misses 3-pt jump shot from 24 ft,65,93
3,1:36.0,Defensive rebound by T. Thompson,,65,93
3,1:34.0,Personal foul by J. Calderón (drawn by A. Harrison),,65,93
3,1:34.0,A. Harrison makes free throw 1 of 2,,66,93
3,1:34.0,A. Harrison makes free throw 2 of 2,,67,93
3,1:10.0,,J. Calderón misses 3-pt jump shot from 25 ft,67,93
3,1:07.0,Defensive rebound by A. Harrison,,67,93
3,0:52.0,A. Harrison misses 2-pt layup from 6 ft,,67,93
3,0:49.0,,Defensive rebound by K. Thomas,67,93
3,0:44.0,,S. Johnson misses 2-pt layup from 5 ft,67,93
3,0:42.0,Defensive rebound by D. Nwaba,,67,93
3,0:40.0,D. Nwaba makes 2-pt layup from 1 ft,,69,93
3,0:40.0,Shooting foul by K. Thomas (drawn by D. Nwaba),,69,93
3,0:40.0,D. Nwaba misses free throw 1 of 1,,69,93
3,0:40.0,,Defensive rebound by L. Galloway,69,93
3,0:31.0,,J. Calderón misses 3-pt jump shot from 25 ft,69,93
3,0:28.0,Defensive rebound by Team,,69,93
3,0:07.0,T. Thompson misses 2-pt jump shot from 22 ft,,69,93
3,0:05.0,,Defensive rebound by L. Galloway,69,93
3,0:02.0,,K. Thomas misses 3-pt jump shot from 25 ft,69,93
3,0:02.0,,Offensive rebound by A. Drummond,69,93
3,0:00.0,,A. Drummond misses 2-pt jump shot from 20 ft,69,93
3,0:00.0,,Offensive rebound by Team,69,93
4,11:41.0,Turnover by A. Žižić (lost ball; steal by Z. Pachulia),,69,93
4,11:23.0,,S. Johnson misses 3-pt jump shot from 23 ft,69,93
4,11:20.0,Defensive rebound by J. Clarkson,,69,93
4,11:14.0,Shooting foul by S. Johnson (drawn by D. Nwaba),,69,93
4,11:14.0,D. Nwaba makes free throw 1 of 2,,70,93
4,11:14.0,D. Nwaba makes free throw 2 of 2,,71,93
4,10:49.0,,S. Johnson misses 2-pt layup from 3 ft (block by K. Korver),71,93
4,10:46.0,,Offensive rebound by S. Johnson,71,93
4,10:46.0,,Z. Pachulia misses 2-pt layup from 5 ft,71,93
4,10:46.0,,Offensive rebound by Z. Pachulia,71,93
4,10:46.0,,S. Johnson misses 2-pt layup from 4 ft,71,93
4,10:45.0,,Offensive rebound by S. Johnson,71,93
4,10:45.0,,S. Johnson misses 2-pt layup at rim,71,93
4,10:45.0,,Offensive rebound by S. Johnson,71,93
4,10:45.0,,S. Johnson makes 2-pt layup at rim,71,95
4,10:45.0,,Technical foul by S. Johnson,71,95
4,10:45.0,K. Korver misses technical free throw,,71,95
4,10:45.0,Offensive rebound by Team,,71,95
4,10:45.0,,G. Robinson enters the game for S. Johnson,71,95
4,10:23.0,D. Nwaba misses 3-pt jump shot from 25 ft,,71,95
4,10:21.0,Offensive rebound by A. Harrison,,71,95
4,10:15.0,Shooting foul by Z. Pachulia (drawn by A. Harrison),,71,95
4,10:15.0,A. Harrison makes free throw 1 of 2,,72,95
4,10:15.0,A. Harrison makes free throw 2 of 2,,73,95
4,9:59.0,,G. Robinson misses 3-pt jump shot from 23 ft,73,95
4,9:52.0,Defensive rebound by D. Nwaba,,73,95
4,9:46.0,Personal foul by Z. Pachulia (drawn by A. Žižić),,73,95
4,9:41.0,Shooting foul by J. Calderón (drawn by J. Clarkson),,73,95
4,9:41.0,J. Clarkson makes free throw 1 of 2,,74,95
4,9:41.0,J. Clarkson makes free throw 2 of 2,,75,95
4,9:29.0,,Personal foul by A. Žižić (drawn by Z. Pachulia),75,95
4,9:29.0,,B. Griffin enters the game for K. Thomas,75,95
4,9:22.0,,L. Galloway misses 3-pt jump shot from 23 ft (block by K. Korver),75,95
4,9:21.0,,Offensive rebound by Team,75,95
4,9:15.0,,J. Calderón misses 2-pt layup from 2 ft (block by A. Harrison),75,95
4,9:14.0,Defensive rebound by Team,,75,95
4,9:14.0,,Technical foul by J. Calderón,75,95
4,9:14.0,K. Korver makes technical free throw,,76,95
4,9:04.0,Shooting foul by B. Griffin (drawn by D. Nwaba),,76,95
4,9:04.0,D. Nwaba makes free throw 1 of 2,,77,95
4,9:04.0,D. Nwaba misses free throw 2 of 2,,77,95
4,9:02.0,,Defensive rebound by G. Robinson,77,95
4,9:02.0,,Technical foul by R. Jackson,77,95
4,9:02.0,K. Korver misses technical free throw,,77,95
4,9:02.0,,Defensive rebound by Team,77,95
4,8:46.0,,B. Griffin misses 3-pt jump shot from 24 ft,77,95
4,8:43.0,Defensive rebound by D. Nwaba,,77,95
4,8:38.0,A. Harrison misses 3-pt jump shot from 26 ft,,77,95
4,8:34.0,,Defensive rebound by Z. Pachulia,77,95
4,8:30.0,,Personal foul by A. Harrison (drawn by B. Griffin),77,95
4,8:17.0,,G. Robinson misses 2-pt jump shot from 11 ft,77,95
4,8:13.0,Defensive rebound by J. Clarkson,,77,95
4,8:09.0,J. Clarkson makes 3-pt jump shot from 26 ft,,80,95
4,8:09.0,Shooting foul by L. Galloway (drawn by J. Clarkson),,80,95
4,8:09.0,J. Clarkson makes free throw 1 of 1,,81,95
4,8:09.0,,Detroit full timeout,81,95
4,8:09.0,,R. Bullock enters the game for J. Calderón,81,95
4,8:09.0,,A. Drummond enters the game for Z. Pachulia,81,95
4,8:09.0,,R. Jackson enters the game for G. Robinson,81,95
4,7:51.0,,L. Galloway makes 3-pt jump shot from 24 ft (assist by R. Bullock),81,98
4,7:32.0,K. Korver misses 2-pt jump shot from 20 ft,,81,98
4,7:30.0,,Defensive rebound by B. Griffin,81,98
4,7:24.0,,A. Drummond makes 2-pt layup from 2 ft (assist by L. Galloway),81,100
4,7:24.0,Cleveland full timeout,,81,100
4,7:09.0,J. Clarkson misses 2-pt jump shot from 20 ft,,81,100
4,7:08.0,,Defensive rebound by R. Jackson,81,100
4,7:02.0,,Personal foul by D. Nwaba (drawn by A. Drummond),81,100
4,6:56.0,,L. Galloway misses 3-pt jump shot from 24 ft,81,100
4,6:54.0,,Offensive rebound by Team,81,100
4,6:40.0,,Turnover by Team (shot clock),81,100
4,6:26.0,D. Nwaba misses 2-pt layup from 1 ft (block by A. Drummond),,81,100
4,6:23.0,,Defensive rebound by B. Griffin,81,100
4,6:23.0,R. Hood enters the game for J. Clarkson,,81,100
4,6:23.0,C. Osman enters the game for K. Korver,,81,100
4,6:18.0,,Turnover by R. Jackson (bad pass; steal by R. Hood),81,100
4,6:06.0,A. Harrison makes 3-pt jump shot from 25 ft,,84,100
4,5:44.0,,B. Griffin makes 3-pt jump shot from 22 ft (assist by L. Galloway),84,103
4,5:43.0,Cleveland full timeout,,84,103
4,5:23.0,A. Žižić misses 2-pt layup from 4 ft,,84,103
4,5:21.0,,Defensive rebound by A. Drummond,84,103
4,4:59.0,,B. Griffin misses 2-pt jump shot from 14 ft,84,103
4,4:59.0,Defensive rebound by Team,,84,103
4,4:59.0,,Loose ball foul by A. Drummond (drawn by A. Žižić),84,103
4,4:59.0,,Technical foul by A. Drummond,84,103
4,4:59.0,R. Hood misses technical free throw,,84,103
