QUARTER,TIME_REMAINING,UTAH_ACTION,LA LAKERS_ACTION,UTAH_SCORE,LA LAKERS_SCORE
1,0:08.0,Personal foul by K. Caldwell-Pope (drawn by D. Mitchell),,16,22
1,0:00.0,J. Crowder misses 2-pt jump shot from 18 ft,,16,22
1,0:00.0,Offensive rebound by Team,,16,22
2,11:48.0,J. Crowder misses 2-pt jump shot from 22 ft,,16,22
2,11:45.0,,Defensive rebound by B. Ingram,16,22
2,11:36.0,,J. McGee makes 2-pt jump shot from 8 ft,16,24
2,11:24.0,Turnover by D. Mitchell (out of bounds lost ball),,16,24
2,11:08.0,,Offensive foul by L. Stephenson (drawn by D. Exum),16,24
2,11:08.0,,Turnover by L. Stephenson (offensive foul),16,24
2,10:44.0,D. Mitchell makes 2-pt jump shot from 20 ft (assist by D. Exum),,18,24
2,10:33.0,,Turnover by L. Stephenson (bad pass; steal by D. Mitchell),18,24
2,10:27.0,R. O'Neale makes 2-pt dunk from 1 ft (assist by D. Exum),,20,24
2,10:05.0,,Turnover by B. Ingram (lost ball; steal by J. Crowder),20,24
2,9:58.0,Personal foul by B. Ingram (drawn by D. Mitchell),,20,24
2,9:49.0,Turnover by D. Mitchell (bad pass; steal by L. Stephenson),,20,24
2,9:37.0,,Turnover by B. Ingram (bad pass),20,24
2,9:15.0,J. Crowder misses 3-pt jump shot from 25 ft,,20,24
2,9:10.0,,Defensive rebound by J. Hart,20,24
2,9:05.0,,K. Caldwell-Pope makes 2-pt jump shot from 19 ft,20,26
2,9:05.0,Utah full timeout,,20,26
2,9:05.0,A. Burks enters the game for J. Crowder,,20,26
2,9:05.0,J. Ingles enters the game for D. Mitchell,,20,26
2,9:05.0,T. Sefolosha enters the game for R. O'Neale,,20,26
2,9:05.0,,L. Ball enters the game for B. Ingram,20,26
2,8:55.0,J. Ingles makes 2-pt layup from 4 ft (assist by D. Favors),,22,26
2,8:55.0,,Violation by Team (def goaltending),22,26
2,8:39.0,,J. McGee makes 2-pt dunk from 1 ft,22,28
2,8:37.0,,Violation by Team (delay of game),22,28
2,8:28.0,D. Exum misses 2-pt layup from 2 ft,,22,28
2,8:25.0,,Defensive rebound by L. Ball,22,28
2,8:22.0,,L. Ball makes 2-pt layup from 2 ft,22,30
2,8:10.0,A. Burks misses 2-pt jump shot from 13 ft,,22,30
2,8:09.0,Offensive rebound by A. Burks,,22,30
2,7:58.0,T. Sefolosha makes 3-pt jump shot from 23 ft (assist by D. Favors),,25,30
2,7:38.0,,L. Ball misses 2-pt jump shot from 17 ft,25,30
2,7:36.0,,Offensive rebound by L. Stephenson,25,30
2,7:34.0,,L. Stephenson misses 2-pt layup from 2 ft,25,30
2,7:34.0,Defensive rebound by J. Ingles,,25,30
2,7:16.0,T. Sefolosha makes 2-pt jump shot from 13 ft (assist by J. Ingles),,27,30
2,7:16.0,,LA Lakers full timeout,27,30
2,7:16.0,G. Allen enters the game for A. Burks,,27,30
2,7:16.0,R. Gobert enters the game for D. Exum,,27,30
2,7:16.0,R. Rubio enters the game for D. Favors,,27,30
2,7:16.0,,L. James enters the game for J. Hart,27,30
2,7:16.0,,K. Kuzma enters the game for L. Stephenson,27,30
2,6:57.0,,Turnover by J. McGee (lost ball; steal by G. Allen),27,30
2,6:39.0,Turnover by R. Rubio (bad pass; steal by J. McGee),,27,30
2,6:38.0,,Personal take foul by J. Ingles (drawn by L. James),27,30
2,6:27.0,,L. James misses 2-pt jump shot from 7 ft,27,30
2,6:25.0,Defensive rebound by T. Sefolosha,,27,30
2,6:14.0,R. Rubio misses 2-pt jump shot from 15 ft,,27,30
2,6:10.0,,Defensive rebound by L. James,27,30
2,6:06.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,27,30
2,6:04.0,Defensive rebound by T. Sefolosha,,27,30
2,6:01.0,G. Allen misses 2-pt layup from 3 ft (block by K. Caldwell-Pope),,27,30
2,6:01.0,Offensive rebound by Team,,27,30
2,6:01.0,,T. Chandler enters the game for J. McGee,27,30
2,5:55.0,Turnover by G. Allen (out of bounds lost ball),,27,30
2,5:42.0,,Turnover by L. James (out of bounds lost ball),27,30
2,5:28.0,J. Ingles misses 2-pt jump shot from 11 ft,,27,30
2,5:25.0,,Defensive rebound by L. Ball,27,30
2,5:23.0,,L. Ball misses 2-pt layup from 1 ft (block by R. Rubio),27,30
2,5:22.0,,Offensive rebound by Team,27,30
2,5:22.0,,B. Ingram enters the game for K. Caldwell-Pope,27,30
2,5:16.0,,B. Ingram makes 2-pt jump shot from 9 ft,27,32
2,5:16.0,,Shooting foul by G. Allen (drawn by B. Ingram),27,32
2,5:16.0,,B. Ingram misses free throw 1 of 1,27,32
2,5:13.0,Defensive rebound by T. Sefolosha,,27,32
2,5:00.0,R. Rubio misses 2-pt jump shot from 18 ft,,27,32
2,4:57.0,,Defensive rebound by K. Kuzma,27,32
2,4:52.0,,L. James misses 3-pt jump shot from 27 ft,27,32
2,4:48.0,Defensive rebound by J. Ingles,,27,32
2,4:42.0,R. Gobert misses 2-pt dunk from 1 ft,,27,32
2,4:40.0,,Defensive rebound by L. Ball,27,32
2,4:37.0,,Personal foul by R. Rubio (drawn by B. Ingram),27,32
2,4:37.0,J. Crowder enters the game for G. Allen,,27,32
2,4:37.0,R. O'Neale enters the game for T. Sefolosha,,27,32
2,4:25.0,,K. Kuzma misses 3-pt jump shot from 25 ft,27,32
2,4:21.0,Defensive rebound by J. Ingles,,27,32
2,4:15.0,J. Crowder misses 2-pt layup from 1 ft,,27,32
2,4:13.0,,Defensive rebound by T. Chandler,27,32
2,4:08.0,,K. Kuzma makes 2-pt layup from 3 ft,27,34
2,3:46.0,J. Crowder misses 3-pt jump shot from 25 ft,,27,34
2,3:41.0,,Defensive rebound by L. Ball,27,34
2,3:31.0,,K. Kuzma makes 2-pt jump shot from 14 ft,27,36
2,3:17.0,R. Rubio makes 2-pt layup from 2 ft (assist by J. Ingles),,29,36
2,3:04.0,,K. Kuzma misses 2-pt jump shot from 11 ft,29,36
2,3:02.0,Defensive rebound by Team,,29,36
2,3:02.0,,Loose ball foul by K. Kuzma (drawn by R. Gobert),29,36
2,2:51.0,Turnover by R. Rubio (bad pass; steal by B. Ingram),,29,36
2,2:36.0,,Turnover by L. Ball (bad pass; steal by R. Rubio),29,36
2,2:31.0,Personal foul by T. Chandler (drawn by R. Gobert),,29,36
2,2:21.0,J. Ingles makes 3-pt jump shot from 26 ft,,32,36
2,2:04.0,,K. Kuzma makes 2-pt layup from 2 ft (assist by L. James),32,38
2,1:42.0,R. Rubio makes 2-pt jump shot from 6 ft,,34,38
2,1:24.0,,Turnover by L. James (bad pass),34,38
2,1:02.0,J. Crowder makes 2-pt dunk from 1 ft (assist by R. O'Neale),,36,38
2,0:46.0,,Turnover by L. Ball (traveling),36,38
2,0:32.0,R. Gobert makes 2-pt dunk from 1 ft (assist by R. O'Neale),,38,38
2,0:12.0,,B. Ingram misses 3-pt jump shot from 24 ft,38,38
2,0:09.0,Defensive rebound by R. Gobert,,38,38
2,0:04.0,J. Crowder misses 3-pt jump shot from 25 ft,,38,38
2,0:01.0,,Defensive rebound by Team,38,38
2,0:01.0,,K. Caldwell-Pope enters the game for T. Chandler,38,38
2,0:00.0,,K. Kuzma misses 3-pt jump shot from 44 ft,38,38
2,0:00.0,,Offensive rebound by Team,38,38
3,11:40.0,R. O'Neale misses 2-pt dunk from 3 ft (block by J. McGee),,38,38
3,11:37.0,Offensive rebound by D. Favors,,38,38
3,11:35.0,R. Rubio misses 3-pt jump shot from 26 ft,,38,38
3,11:35.0,,Defensive rebound by B. Ingram,38,38
3,11:30.0,,Shooting foul by J. Ingles (drawn by L. James),38,38
3,11:30.0,,L. James misses free throw 1 of 2,38,38
3,11:30.0,,Offensive rebound by Team,38,38
3,11:30.0,,L. James makes free throw 2 of 2,38,39
3,11:19.0,Shooting foul by J. McGee (drawn by R. Gobert),,38,39
3,11:19.0,R. Gobert makes free throw 1 of 2,,39,39
3,11:19.0,R. Gobert misses free throw 2 of 2,,39,39
3,11:15.0,,Defensive rebound by L. Ball,39,39
3,11:06.0,,K. Kuzma makes 3-pt jump shot from 23 ft (assist by L. James),39,42
3,10:45.0,Turnover by J. Ingles (bad pass; steal by L. James),,39,42
3,10:42.0,,L. James makes 2-pt dunk from 1 ft,39,44
3,10:30.0,Personal foul by L. Ball (drawn by R. Gobert),,39,44
3,10:23.0,R. Gobert makes 2-pt layup from 2 ft (assist by R. Rubio),,41,44
3,10:23.0,Shooting foul by L. Ball (drawn by R. Gobert),,41,44
3,10:23.0,R. Gobert makes free throw 1 of 1,,42,44
3,10:12.0,,J. McGee makes 2-pt dunk from 1 ft (assist by L. James),42,46
3,9:51.0,R. Gobert misses 2-pt layup from 2 ft,,42,46
3,9:49.0,,Defensive rebound by K. Kuzma,42,46
3,9:45.0,,K. Kuzma misses 3-pt jump shot from 25 ft,42,46
3,9:42.0,Defensive rebound by R. Gobert,,42,46
3,9:36.0,Turnover by R. Rubio (bad pass; steal by J. McGee),,42,46
3,9:32.0,,Turnover by J. McGee (bad pass; steal by R. O'Neale),42,46
3,9:23.0,Turnover by R. Gobert (bad pass; steal by K. Kuzma),,42,46
3,9:22.0,,Personal foul by R. O'Neale (drawn by L. Ball),42,46
3,9:05.0,,B. Ingram makes 2-pt jump shot from 16 ft,42,48
3,8:47.0,R. Rubio misses 2-pt jump shot from 13 ft,,42,48
3,8:44.0,,Defensive rebound by L. James,42,48
3,8:38.0,,Offensive foul by L. Ball (drawn by R. Rubio),42,48
3,8:38.0,,Turnover by L. Ball (offensive foul),42,48
3,8:38.0,,K. Caldwell-Pope enters the game for L. Ball,42,48
3,8:19.0,D. Favors makes 2-pt jump shot from 18 ft (assist by R. Rubio),,44,48
3,8:13.0,,Shooting foul by D. Favors (drawn by L. James),44,48
3,8:13.0,,L. James misses free throw 1 of 2,44,48
3,8:13.0,,Offensive rebound by Team,44,48
3,8:13.0,A. Burks enters the game for D. Favors,,44,48
3,8:13.0,J. Crowder enters the game for R. O'Neale,,44,48
3,8:13.0,,L. James makes free throw 2 of 2,44,49
3,8:00.0,R. Rubio misses 2-pt layup from 3 ft,,44,49
3,7:57.0,,Defensive rebound by K. Caldwell-Pope,44,49
3,7:50.0,,Turnover by L. James (lost ball; steal by R. Gobert),44,49
3,7:43.0,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Crowder),,46,49
3,7:23.0,,K. Kuzma misses 2-pt jump shot from 5 ft,46,49
3,7:22.0,Defensive rebound by R. Gobert,,46,49
3,7:14.0,A. Burks misses 2-pt layup from 4 ft (block by J. McGee),,46,49
3,7:10.0,,Defensive rebound by L. James,46,49
3,7:03.0,,L. James misses 2-pt layup from 2 ft,46,49
3,7:01.0,Defensive rebound by J. Crowder,,46,49
3,6:47.0,A. Burks makes 2-pt layup from 3 ft (assist by R. Rubio),,48,49
3,6:47.0,Shooting foul by J. McGee (drawn by A. Burks),,48,49
3,6:47.0,,LA Lakers full timeout,48,49
3,6:47.0,D. Exum enters the game for R. Rubio,,48,49
3,6:47.0,,T. Chandler enters the game for K. Kuzma,48,49
3,6:47.0,,J. Hart enters the game for J. McGee,48,49
3,6:47.0,A. Burks makes free throw 1 of 1,,49,49
3,6:36.0,,Offensive foul by B. Ingram (drawn by J. Crowder),49,49
3,6:36.0,,Turnover by B. Ingram (offensive foul),49,49
3,6:15.0,A. Burks makes 2-pt layup from 4 ft,,51,49
3,6:05.0,,Def 3 sec tech foul by Team,51,49
3,6:05.0,,K. Caldwell-Pope makes technical free throw,51,50
3,6:03.0,,Turnover by J. Hart (bad pass),51,50
3,5:49.0,J. Crowder misses 2-pt layup from 2 ft,,51,50
3,5:44.0,Offensive rebound by R. Gobert,,51,50
3,5:44.0,R. Gobert makes 2-pt dunk at rim,,53,50
3,5:35.0,,Personal foul by J. Crowder (drawn by T. Chandler),53,50
3,5:24.0,,L. James makes 3-pt jump shot from 25 ft,53,53
3,5:05.0,A. Burks misses 2-pt jump shot from 5 ft,,53,53
3,5:03.0,,Defensive rebound by L. James,53,53
3,5:00.0,,Personal foul by D. Exum (drawn by B. Ingram),53,53
3,5:00.0,,B. Ingram misses free throw 1 of 2,53,53
3,5:00.0,,Offensive rebound by Team,53,53
3,5:00.0,,B. Ingram makes free throw 2 of 2,53,54
3,4:43.0,Turnover by D. Exum (out of bounds lost ball),,53,54
3,4:41.0,,Turnover by L. James (bad pass; steal by A. Burks),53,54
3,4:27.0,A. Burks misses 2-pt jump shot from 12 ft,,53,54
3,4:23.0,,Defensive rebound by B. Ingram,53,54
3,4:15.0,,B. Ingram misses 2-pt layup from 1 ft (block by R. Gobert),53,54
3,4:12.0,Defensive rebound by J. Crowder,,53,54
3,4:09.0,J. Crowder misses 3-pt jump shot from 27 ft,,53,54
3,4:05.0,,Defensive rebound by B. Ingram,53,54
3,4:00.0,,Turnover by B. Ingram (bad pass; steal by J. Crowder),53,54
3,3:59.0,Offensive foul by J. Crowder (drawn by K. Caldwell-Pope),,53,54
3,3:59.0,Turnover by J. Crowder (offensive foul),,53,54
3,3:41.0,,L. James misses 2-pt jump shot from 7 ft (block by J. Crowder),53,54
3,3:38.0,Defensive rebound by J. Ingles,,53,54
3,3:35.0,Shooting foul by T. Chandler (drawn by R. Gobert),,53,54
3,3:35.0,R. Gobert makes free throw 1 of 2,,54,54
3,3:35.0,,L. Stephenson enters the game for L. James,54,54
3,3:35.0,R. Gobert misses free throw 2 of 2,,54,54
3,3:33.0,,Defensive rebound by T. Chandler,54,54
3,3:21.0,,B. Ingram makes 2-pt layup from 2 ft (assist by K. Caldwell-Pope),54,56
3,3:04.0,D. Exum misses 2-pt jump shot from 5 ft,,54,56
3,2:59.0,Offensive rebound by R. Gobert,,54,56
3,2:59.0,R. Gobert makes 2-pt layup at rim,,56,56
3,2:40.0,,B. Ingram makes 3-pt jump shot from 25 ft,56,59
3,2:38.0,Utah full timeout,,56,59
3,2:38.0,D. Favors enters the game for R. Gobert,,56,59
3,2:24.0,J. Ingles makes 2-pt layup from 4 ft (assist by D. Favors),,58,59
3,2:09.0,,Turnover by B. Ingram (lost ball; steal by D. Exum),58,59
3,2:06.0,Shooting foul by K. Caldwell-Pope (drawn by J. Crowder),,58,59
3,2:06.0,J. Crowder misses free throw 1 of 2,,58,59
3,2:06.0,Offensive rebound by Team,,58,59
3,2:06.0,R. O'Neale enters the game for J. Ingles,,58,59
3,2:06.0,J. Crowder makes free throw 2 of 2,,59,59
3,1:55.0,,L. Stephenson misses 2-pt jump shot from 18 ft,59,59
3,1:51.0,Defensive rebound by R. O'Neale,,59,59
3,1:47.0,A. Burks makes 2-pt dunk from 1 ft (assist by D. Favors),,61,59
3,1:31.0,,J. Hart misses 3-pt jump shot from 26 ft,61,59
3,1:27.0,Defensive rebound by A. Burks,,61,59
3,1:20.0,D. Exum misses 2-pt layup from 5 ft,,61,59
3,1:17.0,,Defensive rebound by B. Ingram,61,59
3,1:02.0,,B. Ingram misses 2-pt jump shot from 15 ft,61,59
3,0:58.0,,Offensive rebound by L. Stephenson,61,59
3,0:58.0,,L. Stephenson makes 2-pt layup from 1 ft,61,61
3,0:49.0,A. Burks misses 2-pt layup from 2 ft,,61,61
3,0:49.0,,Defensive rebound by T. Chandler,61,61
3,0:43.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,61,61
3,0:43.0,Defensive rebound by J. Crowder,,61,61
3,0:34.0,J. Crowder makes 2-pt layup from 1 ft (assist by R. O'Neale),,63,61
3,0:13.0,,Shooting foul by R. O'Neale (drawn by B. Ingram),63,61
