QUARTER,TIME_REMAINING,INDIANA_ACTION,DENVER_ACTION,INDIANA_SCORE,DENVER_SCORE
1,7:44.0,,N. Jokić makes 2-pt jump shot from 6 ft (assist by G. Harris),17,9
1,7:25.0,M. Turner misses 3-pt jump shot from 24 ft,,17,9
1,7:23.0,,Defensive rebound by J. Murray,17,9
1,7:10.0,,N. Jokić makes 2-pt layup from 2 ft,17,11
1,6:56.0,Turnover by B. Bogdanović (out of bounds lost ball),,17,11
1,6:44.0,,W. Barton makes 2-pt jump shot from 20 ft (assist by N. Jokić),17,13
1,6:44.0,,M. Morris enters the game for P. Millsap,17,13
1,6:44.0,,M. Plumlee enters the game for J. Murray,17,13
1,6:22.0,B. Bogdanović makes 2-pt jump shot from 17 ft (assist by W. Matthews),,19,13
1,6:00.0,,M. Plumlee misses 2-pt hook shot from 5 ft,19,13
1,5:57.0,Defensive rebound by B. Bogdanović,,19,13
1,5:54.0,B. Bogdanović makes 2-pt layup from 3 ft,,21,13
1,5:43.0,,N. Jokić makes 2-pt layup from 3 ft (assist by M. Plumlee),21,15
1,5:27.0,Turnover by W. Matthews (bad pass; steal by W. Barton),,21,15
1,5:19.0,,N. Jokić misses 3-pt jump shot from 25 ft,21,15
1,5:15.0,Defensive rebound by T. Young,,21,15
1,4:54.0,D. Collison makes 2-pt jump shot from 20 ft,,23,15
1,4:44.0,,Personal foul by M. Turner (drawn by N. Jokić),23,15
1,4:44.0,D. Sabonis enters the game for T. Young,,23,15
1,4:42.0,,G. Harris misses 3-pt jump shot from 25 ft,23,15
1,4:39.0,,Offensive rebound by M. Morris,23,15
1,4:38.0,,W. Barton misses 3-pt jump shot from 25 ft,23,15
1,4:35.0,,Offensive rebound by Team,23,15
1,4:29.0,,Shooting foul by D. Sabonis (drawn by N. Jokić),23,15
1,4:29.0,,N. Jokić makes free throw 1 of 2,23,16
1,4:29.0,C. Joseph enters the game for B. Bogdanović,,23,16
1,4:29.0,,N. Jokić makes free throw 2 of 2,23,17
1,4:11.0,M. Turner misses 3-pt jump shot from 25 ft,,23,17
1,4:08.0,,Defensive rebound by W. Barton,23,17
1,3:53.0,,N. Jokić makes 2-pt jump shot from 7 ft,23,19
1,3:46.0,Indiana full timeout,,23,19
1,3:46.0,,M. Beasley enters the game for G. Harris,23,19
1,3:33.0,D. Collison makes 2-pt jump shot from 18 ft,,25,19
1,3:18.0,,N. Jokić misses 2-pt jump shot from 3 ft,25,19
1,3:16.0,,Offensive rebound by N. Jokić,25,19
1,3:15.0,,N. Jokić makes 2-pt layup from 1 ft,25,21
1,3:01.0,Turnover by D. Collison (lost ball; steal by M. Morris),,25,21
1,2:51.0,,N. Jokić misses 3-pt jump shot from 26 ft,25,21
1,2:47.0,Defensive rebound by W. Matthews,,25,21
1,2:29.0,W. Matthews makes 3-pt jump shot from 25 ft,,28,21
1,2:12.0,,N. Jokić makes 2-pt jump shot from 3 ft,28,23
1,1:58.0,Shooting foul by N. Jokić (drawn by M. Turner),,28,23
1,1:58.0,M. Turner makes free throw 1 of 2,,29,23
1,1:58.0,T. Evans enters the game for D. Collison,,29,23
1,1:58.0,D. McDermott enters the game for W. Matthews,,29,23
1,1:58.0,,P. Millsap enters the game for W. Barton,29,23
1,1:58.0,,J. Murray enters the game for N. Jokić,29,23
1,1:58.0,M. Turner makes free throw 2 of 2,,30,23
1,1:45.0,,Turnover by P. Millsap (traveling),30,23
1,1:45.0,T. Young enters the game for M. Turner,,30,23
1,1:30.0,D. Sabonis makes 2-pt layup from 1 ft,,32,23
1,1:14.0,,J. Murray makes 2-pt layup from 4 ft,32,25
1,0:58.0,T. Young makes 2-pt hook shot from 4 ft,,34,25
1,0:49.0,,Personal foul by T. Evans (drawn by P. Millsap),34,25
1,0:45.0,,J. Murray misses 3-pt jump shot from 26 ft,34,25
1,0:41.0,Defensive rebound by T. Young,,34,25
1,0:34.0,C. Joseph misses 2-pt jump shot from 9 ft,,34,25
1,0:28.0,Offensive rebound by D. Sabonis,,34,25
1,0:28.0,D. Sabonis misses 2-pt layup at rim,,34,25
1,0:27.0,,Defensive rebound by M. Morris,34,25
1,0:12.0,,J. Murray misses 3-pt jump shot from 25 ft,34,25
1,0:08.0,Defensive rebound by T. Evans,,34,25
1,0:01.0,T. Young makes 2-pt layup from 1 ft (assist by D. Sabonis),,36,25
2,11:44.0,,M. Beasley makes 3-pt jump shot from 23 ft (assist by M. Morris),36,28
2,11:29.0,D. McDermott misses 3-pt jump shot from 22 ft,,36,28
2,11:26.0,,Defensive rebound by M. Plumlee,36,28
2,11:20.0,,M. Morris misses 2-pt jump shot from 12 ft,36,28
2,11:17.0,Defensive rebound by T. Evans,,36,28
2,11:12.0,T. Evans misses 2-pt layup from 2 ft (block by P. Millsap),,36,28
2,11:07.0,Offensive rebound by T. Young,,36,28
2,11:07.0,T. Young makes 2-pt layup at rim,,38,28
2,10:45.0,,J. Murray misses 3-pt jump shot from 26 ft,38,28
2,10:41.0,Defensive rebound by D. Sabonis,,38,28
2,10:28.0,D. McDermott makes 2-pt layup from 1 ft (assist by T. Evans),,40,28
2,10:12.0,,Shooting foul by D. Sabonis (drawn by M. Plumlee),40,28
2,10:12.0,,M. Plumlee misses free throw 1 of 2,40,28
2,10:12.0,,Offensive rebound by Team,40,28
2,10:12.0,,M. Plumlee misses free throw 2 of 2,40,28
2,10:10.0,Defensive rebound by D. Sabonis,,40,28
2,9:58.0,Shooting foul by P. Millsap (drawn by D. Sabonis),,40,28
2,9:58.0,,J. Hernangómez enters the game for M. Plumlee,40,28
2,9:58.0,D. Sabonis misses free throw 1 of 2,,40,28
2,9:58.0,Offensive rebound by Team,,40,28
2,9:58.0,D. Sabonis makes free throw 2 of 2,,41,28
2,9:38.0,,J. Hernangómez misses 3-pt jump shot from 25 ft,41,28
2,9:35.0,Defensive rebound by T. Evans,,41,28
2,9:31.0,D. McDermott makes 3-pt jump shot from 22 ft (assist by T. Evans),,44,28
2,9:27.0,,Denver full timeout,44,28
2,9:13.0,,Turnover by M. Morris (lost ball; steal by C. Joseph),44,28
2,8:57.0,T. Young misses 2-pt layup from 4 ft (block by J. Hernangómez),,44,28
2,8:55.0,,Defensive rebound by J. Hernangómez,44,28
2,8:52.0,,M. Beasley makes 3-pt jump shot from 23 ft (assist by J. Hernangómez),44,31
2,8:37.0,Turnover by T. Young (bad pass; steal by M. Beasley),,44,31
2,8:33.0,,Turnover by M. Beasley (lost ball; steal by D. Sabonis),44,31
2,8:29.0,Shooting foul by P. Millsap (drawn by T. Evans),,44,31
2,8:29.0,M. Turner enters the game for T. Young,,44,31
2,8:29.0,,W. Barton enters the game for P. Millsap,44,31
2,8:29.0,,N. Jokić enters the game for J. Murray,44,31
2,8:29.0,T. Evans misses free throw 1 of 2,,44,31
2,8:29.0,Offensive rebound by Team,,44,31
2,8:29.0,T. Evans misses free throw 2 of 2,,44,31
2,8:27.0,,Defensive rebound by W. Barton,44,31
2,8:18.0,,Personal foul by T. Evans (drawn by M. Morris),44,31
2,8:18.0,W. Matthews enters the game for T. Evans,,44,31
2,8:15.0,,M. Beasley misses 3-pt jump shot from 25 ft,44,31
2,8:11.0,Defensive rebound by D. Sabonis,,44,31
2,7:58.0,Shooting foul by J. Hernangómez (drawn by D. Sabonis),,44,31
2,7:58.0,D. Sabonis misses free throw 1 of 2,,44,31
2,7:58.0,Offensive rebound by Team,,44,31
2,7:58.0,D. Sabonis makes free throw 2 of 2,,45,31
2,7:50.0,,Personal foul by M. Turner (drawn by N. Jokić),45,31
2,7:42.0,,Offensive foul by J. Hernangómez (drawn by W. Matthews),45,31
2,7:42.0,,Turnover by J. Hernangómez (offensive foul),45,31
2,7:28.0,D. Sabonis makes 2-pt hook shot from 6 ft (assist by W. Matthews),,47,31
2,7:13.0,,N. Jokić misses 2-pt jump shot from 11 ft,47,31
2,7:13.0,Defensive rebound by M. Turner,,47,31
2,6:51.0,M. Turner makes 2-pt layup from 4 ft (assist by W. Matthews),,49,31
2,6:28.0,,N. Jokić misses 3-pt jump shot from 25 ft,49,31
2,6:27.0,,Offensive rebound by Team,49,31
2,6:27.0,B. Bogdanović enters the game for D. McDermott,,49,31
2,6:27.0,,G. Harris enters the game for M. Beasley,49,31
2,6:27.0,,P. Millsap enters the game for J. Hernangómez,49,31
2,6:18.0,,M. Morris makes 2-pt jump shot from 6 ft (assist by W. Barton),49,33
2,6:05.0,W. Matthews misses 3-pt jump shot from 25 ft,,49,33
2,6:01.0,,Defensive rebound by P. Millsap,49,33
2,6:01.0,,J. Murray enters the game for M. Morris,49,33
2,5:48.0,,W. Barton makes 3-pt jump shot from 25 ft (assist by J. Murray),49,36
2,5:41.0,Indiana full timeout,,49,36
2,5:41.0,D. Collison enters the game for C. Joseph,,49,36
2,5:41.0,T. Young enters the game for D. Sabonis,,49,36
2,5:25.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,49,36
2,5:22.0,,Defensive rebound by W. Barton,49,36
2,5:11.0,,Shooting foul by D. Collison (drawn by W. Barton),49,36
2,5:11.0,,W. Barton makes free throw 1 of 2,49,37
2,5:11.0,,W. Barton makes free throw 2 of 2,49,38
2,4:55.0,T. Young makes 3-pt jump shot from 25 ft (assist by D. Collison),,52,38
2,4:39.0,,G. Harris makes 2-pt jump shot from 8 ft (assist by N. Jokić),52,40
2,4:17.0,D. Collison makes 2-pt jump shot from 17 ft,,54,40
2,4:00.0,,Personal foul by T. Young (drawn by P. Millsap),54,40
2,4:00.0,,P. Millsap makes free throw 1 of 2,54,41
2,4:00.0,,P. Millsap makes free throw 2 of 2,54,42
2,3:39.0,D. Collison makes 2-pt jump shot from 5 ft (assist by T. Young),,56,42
2,3:39.0,Shooting foul by J. Murray (drawn by D. Collison),,56,42
2,3:39.0,D. Collison makes free throw 1 of 1,,57,42
2,3:26.0,,Turnover by N. Jokić (traveling),57,42
2,3:16.0,Personal foul by G. Harris (drawn by D. Collison),,57,42
2,3:16.0,D. Collison makes free throw 1 of 2,,58,42
2,3:16.0,D. Collison misses free throw 2 of 2,,58,42
2,3:14.0,,Defensive rebound by P. Millsap,58,42
2,2:53.0,,N. Jokić misses 2-pt layup from 1 ft,58,42
2,2:50.0,,Offensive rebound by N. Jokić,58,42
2,2:50.0,,N. Jokić makes 2-pt layup from 1 ft,58,44
2,2:39.0,Turnover by B. Bogdanović (traveling),,58,44
2,2:17.0,,P. Millsap misses 2-pt jump shot from 6 ft,58,44
2,2:13.0,,Offensive rebound by P. Millsap,58,44
2,2:13.0,,P. Millsap makes 2-pt layup from 1 ft,58,46
2,2:02.0,Turnover by W. Matthews (bad pass),,58,46
2,1:59.0,,W. Barton makes 3-pt jump shot from 25 ft (assist by P. Millsap),58,49
2,1:34.0,Shooting foul by P. Millsap (drawn by M. Turner),,58,49
2,1:34.0,M. Turner makes free throw 1 of 2,,59,49
2,1:34.0,,M. Plumlee enters the game for P. Millsap,59,49
2,1:34.0,M. Turner makes free throw 2 of 2,,60,49
2,1:22.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by N. Jokić),60,52
2,1:05.0,T. Young misses 3-pt jump shot from 24 ft,,60,52
2,1:04.0,,Defensive rebound by Team,60,52
2,0:48.0,,N. Jokić misses 3-pt jump shot from 25 ft,60,52
2,0:46.0,,Offensive rebound by G. Harris,60,52
2,0:40.0,,J. Murray makes 2-pt jump shot from 9 ft (assist by G. Harris),60,54
2,0:19.0,T. Young misses 3-pt jump shot from 25 ft,,60,54
2,0:16.0,,Defensive rebound by W. Barton,60,54
2,0:01.0,,W. Barton makes 3-pt jump shot from 25 ft,60,57
3,11:44.0,,G. Harris misses 3-pt jump shot from 24 ft,60,57
3,11:39.0,Defensive rebound by W. Matthews,,60,57
3,11:17.0,B. Bogdanović misses 2-pt jump shot from 16 ft,,60,57
3,11:15.0,,Defensive rebound by P. Millsap,60,57
3,11:01.0,,P. Millsap misses 2-pt jump shot from 4 ft,60,57
3,10:58.0,Defensive rebound by D. Collison,,60,57
3,10:53.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,60,57
3,10:51.0,,Defensive rebound by P. Millsap,60,57
3,10:43.0,,J. Murray makes 2-pt layup from 2 ft,60,59
3,10:22.0,B. Bogdanović makes 2-pt jump shot from 3 ft (assist by M. Turner),,62,59
3,10:02.0,,G. Harris makes 2-pt jump shot from 2 ft (assist by N. Jokić),62,61
3,9:44.0,T. Young misses 2-pt jump shot from 13 ft,,62,61
3,9:41.0,,Defensive rebound by G. Harris,62,61
3,9:35.0,,J. Murray misses 2-pt layup from 2 ft,62,61
3,9:34.0,,Offensive rebound by N. Jokić,62,61
3,9:29.0,,P. Millsap misses 3-pt jump shot from 22 ft,62,61
3,9:25.0,Defensive rebound by B. Bogdanović,,62,61
3,9:09.0,D. Collison misses 2-pt jump shot from 17 ft,,62,61
3,9:06.0,,Defensive rebound by G. Harris,62,61
3,9:02.0,,G. Harris misses 2-pt layup from 3 ft (block by M. Turner),62,61
3,8:58.0,Defensive rebound by B. Bogdanović,,62,61
3,8:52.0,M. Turner misses 3-pt jump shot from 26 ft,,62,61
3,8:49.0,,Defensive rebound by W. Barton,62,61
3,8:40.0,,Turnover by N. Jokić (lost ball; steal by M. Turner),62,61
3,8:32.0,D. Collison misses 2-pt jump shot from 20 ft,,62,61
3,8:27.0,Offensive rebound by T. Young,,62,61
3,8:27.0,T. Young misses 2-pt layup from 1 ft,,62,61
3,8:26.0,,Defensive rebound by N. Jokić,62,61
3,8:15.0,,G. Harris makes 2-pt layup from 2 ft (assist by W. Barton),62,63
3,8:15.0,Indiana full timeout,,62,63
3,8:01.0,Shooting foul by W. Barton (drawn by W. Matthews),,62,63
3,8:01.0,W. Matthews misses free throw 1 of 2,,62,63
3,8:01.0,Offensive rebound by Team,,62,63
3,8:01.0,W. Matthews makes free throw 2 of 2,,63,63
3,7:49.0,,J. Murray misses 2-pt layup from 3 ft,63,63
3,7:46.0,Defensive rebound by W. Matthews,,63,63
3,7:43.0,W. Matthews misses 3-pt jump shot from 25 ft,,63,63
3,7:39.0,Offensive rebound by T. Young,,63,63
3,7:26.0,Turnover by Team (shot clock),,63,63
3,7:07.0,,W. Barton misses 3-pt jump shot from 24 ft,63,63
3,7:03.0,Defensive rebound by W. Matthews,,63,63
3,6:58.0,D. Collison makes 2-pt layup from 2 ft,,65,63
3,6:46.0,,N. Jokić makes 3-pt jump shot from 24 ft (assist by W. Barton),65,66
3,6:25.0,T. Young misses 2-pt jump shot from 15 ft,,65,66
3,6:22.0,,Defensive rebound by N. Jokić,65,66
3,6:13.0,,J. Murray makes 2-pt layup from 2 ft,65,68
3,5:51.0,Turnover by D. Collison (bad pass; steal by W. Barton),,65,68
3,5:51.0,,Personal foul by D. Collison (drawn by W. Barton),65,68
3,5:51.0,D. Sabonis enters the game for T. Young,,65,68
3,5:45.0,,J. Murray misses 3-pt jump shot from 24 ft,65,68
3,5:40.0,Defensive rebound by W. Matthews,,65,68
3,5:32.0,Turnover by M. Turner (lost ball; steal by J. Murray),,65,68
3,5:29.0,,Shooting foul by W. Matthews (drawn by P. Millsap),65,68
3,5:29.0,,P. Millsap makes free throw 1 of 2,65,69
3,5:29.0,,M. Morris enters the game for J. Murray,65,69
3,5:29.0,,P. Millsap makes free throw 2 of 2,65,70
3,5:07.0,D. Sabonis makes 2-pt jump shot from 3 ft (assist by D. Collison),,67,70
3,4:52.0,,Shooting foul by M. Turner (drawn by G. Harris),67,70
3,4:52.0,,G. Harris makes free throw 1 of 2,67,71
3,4:52.0,,M. Plumlee enters the game for P. Millsap,67,71
3,4:52.0,,G. Harris misses free throw 2 of 2,67,71
3,4:50.0,Defensive rebound by M. Turner,,67,71
3,4:42.0,Turnover by D. Sabonis (bad pass; steal by G. Harris),,67,71
3,4:37.0,,G. Harris misses 2-pt dunk from 2 ft,67,71
3,4:35.0,,Offensive rebound by W. Barton,67,71
3,4:34.0,,M. Morris misses 3-pt jump shot from 24 ft,67,71
3,4:34.0,Defensive rebound by Team,,67,71
3,4:31.0,Flagrant foul type 1 by M. Plumlee (drawn by D. Sabonis),,67,71
3,4:31.0,D. Sabonis makes flagrant free throw 1 of 2,,68,71
3,4:31.0,D. Sabonis makes flagrant free throw 2 of 2,,69,71
3,4:21.0,D. Sabonis misses 2-pt hook shot from 6 ft,,69,71
3,4:19.0,,Defensive rebound by N. Jokić,69,71
3,4:07.0,,N. Jokić misses 2-pt jump shot from 9 ft,69,71
3,4:03.0,Defensive rebound by D. Sabonis,,69,71
3,3:54.0,D. Sabonis misses 2-pt jump shot from 11 ft,,69,71
3,3:51.0,,Defensive rebound by N. Jokić,69,71
3,3:32.0,,W. Barton misses 3-pt jump shot from 25 ft,69,71
3,3:29.0,Defensive rebound by D. Sabonis,,69,71
3,3:21.0,W. Matthews misses 3-pt jump shot from 24 ft,,69,71
3,3:20.0,,Defensive rebound by Team,69,71
3,3:20.0,Loose ball foul by D. Sabonis (drawn by N. Jokić),,69,71
3,3:20.0,T. Evans enters the game for B. Bogdanović,,69,71
3,3:20.0,C. Joseph enters the game for W. Matthews,,69,71
3,3:20.0,,M. Beasley enters the game for G. Harris,69,71
3,3:05.0,,Offensive foul by N. Jokić (drawn by M. Turner),69,71
3,3:05.0,,Turnover by N. Jokić (offensive foul),69,71
3,3:05.0,D. McDermott enters the game for D. Collison,,69,71
3,2:49.0,M. Turner misses 3-pt jump shot from 25 ft,,69,71
3,2:46.0,Offensive rebound by D. Sabonis,,69,71
3,2:42.0,D. Sabonis makes 2-pt jump shot from 7 ft,,71,71
3,2:42.0,,Denver full timeout,71,71
3,2:42.0,,J. Murray enters the game for W. Barton,71,71
3,2:26.0,,N. Jokić misses 2-pt jump shot from 14 ft,71,71
3,2:23.0,Defensive rebound by T. Evans,,71,71
3,2:03.0,T. Evans misses 3-pt jump shot from 24 ft,,71,71
3,2:01.0,,Defensive rebound by M. Plumlee,71,71
3,1:45.0,,J. Murray makes 3-pt jump shot from 24 ft (assist by M. Plumlee),71,74
3,1:25.0,D. Sabonis makes 2-pt jump shot from 8 ft (assist by T. Evans),,73,74
3,1:07.0,,M. Beasley makes 2-pt jump shot from 6 ft (assist by N. Jokić),73,76
3,0:55.0,D. McDermott misses 3-pt jump shot from 26 ft,,73,76
3,0:51.0,,Defensive rebound by J. Murray,73,76
3,0:34.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by M. Plumlee),73,79
3,0:17.0,Shooting foul by M. Plumlee (drawn by T. Evans),,73,79
3,0:17.0,T. Evans makes free throw 1 of 2,,74,79
3,0:17.0,T. Young enters the game for M. Turner,,74,79
3,0:17.0,,P. Millsap enters the game for N. Jokić,74,79
3,0:17.0,T. Evans makes free throw 2 of 2,,75,79
3,0:01.0,,M. Morris misses 2-pt jump shot from 17 ft,75,79
3,0:01.0,Defensive rebound by T. Young,,75,79
4,11:47.0,T. Evans makes 2-pt layup from 2 ft,,77,79
4,11:47.0,Shooting foul by M. Plumlee (drawn by T. Evans),,77,79
4,11:47.0,T. Evans makes free throw 1 of 1,,78,79
4,11:28.0,,Personal foul by C. Joseph (drawn by J. Murray),78,79
4,11:20.0,,Personal foul by C. Joseph (drawn by J. Murray),78,79
4,11:13.0,,Shooting foul by C. Joseph (drawn by J. Murray),78,79
4,11:13.0,,J. Murray makes free throw 1 of 2,78,80
4,11:13.0,,J. Murray makes free throw 2 of 2,78,81
4,10:58.0,T. Young makes 2-pt jump shot from 4 ft (assist by D. Sabonis),,80,81
4,10:38.0,,P. Millsap makes 2-pt jump shot from 4 ft (assist by M. Plumlee),80,83
4,10:26.0,T. Evans misses 3-pt jump shot from 25 ft,,80,83
4,10:24.0,,Defensive rebound by J. Murray,80,83
4,10:04.0,,M. Plumlee misses 3-pt jump shot from 24 ft,80,83
4,10:02.0,Defensive rebound by T. Evans,,80,83
4,9:51.0,C. Joseph misses 2-pt jump shot from 22 ft,,80,83
4,9:48.0,,Defensive rebound by P. Millsap,80,83
4,9:29.0,,J. Murray makes 2-pt layup from 1 ft (assist by M. Plumlee),80,85
4,9:29.0,Indiana full timeout,,80,85
4,9:29.0,B. Bogdanović enters the game for D. McDermott,,80,85
4,9:17.0,Shooting foul by M. Plumlee (drawn by D. Sabonis),,80,85
4,9:17.0,D. Sabonis misses free throw 1 of 2,,80,85
4,9:17.0,Offensive rebound by Team,,80,85
4,9:17.0,D. Sabonis misses free throw 2 of 2,,80,85
4,9:15.0,,Defensive rebound by P. Millsap,80,85
4,9:06.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by M. Morris),80,87
4,9:06.0,,Shooting foul by D. Sabonis (drawn by M. Plumlee),80,87
4,9:06.0,,M. Plumlee misses free throw 1 of 1,80,87
4,9:02.0,Defensive rebound by C. Joseph,,80,87
4,8:47.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,80,87
4,8:46.0,,Defensive rebound by Team,80,87
4,8:32.0,,P. Millsap makes 2-pt jump shot from 13 ft (assist by M. Beasley),80,89
4,8:32.0,,Shooting foul by B. Bogdanović (drawn by P. Millsap),80,89
4,8:32.0,,P. Millsap misses free throw 1 of 1,80,89
4,8:29.0,Defensive rebound by B. Bogdanović,,80,89
4,8:18.0,Shooting foul by J. Murray (drawn by C. Joseph),,80,89
4,8:18.0,C. Joseph misses free throw 1 of 2,,80,89
4,8:18.0,Offensive rebound by Team,,80,89
4,8:18.0,C. Joseph makes free throw 2 of 2,,81,89
4,7:58.0,,M. Plumlee makes 2-pt hook shot from 7 ft,81,91
4,7:32.0,D. Sabonis makes 2-pt dunk at rim (assist by C. Joseph),,83,91
4,7:05.0,,M. Beasley misses 3-pt jump shot from 26 ft,83,91
4,7:03.0,Defensive rebound by Team,,83,91
4,7:03.0,,W. Barton enters the game for P. Millsap,83,91
4,7:03.0,,N. Jokić enters the game for J. Murray,83,91
4,6:44.0,T. Evans misses 2-pt jump shot from 5 ft (block by M. Plumlee),,83,91
4,6:40.0,Offensive rebound by T. Young,,83,91
4,6:39.0,T. Young makes 2-pt layup from 2 ft,,85,91
4,6:28.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by W. Barton),85,94
4,6:11.0,D. Sabonis misses 2-pt hook shot from 4 ft,,85,94
4,6:08.0,Offensive rebound by T. Young,,85,94
4,6:01.0,Personal foul by M. Plumlee (drawn by C. Joseph),,85,94
4,6:01.0,M. Turner enters the game for T. Young,,85,94
4,5:47.0,C. Joseph misses 2-pt jump shot from 18 ft (block by M. Plumlee),,85,94
4,5:47.0,Offensive rebound by Team,,85,94
4,5:47.0,Turnover by Team (shot clock),,85,94
4,5:24.0,,N. Jokić misses 3-pt jump shot from 26 ft,85,94
4,5:23.0,,Offensive rebound by M. Beasley,85,94
4,5:23.0,,Turnover by Team (shot clock),85,94
4,5:23.0,Indiana full timeout,,85,94
4,5:23.0,D. Collison enters the game for T. Evans,,85,94
4,5:23.0,W. Matthews enters the game for C. Joseph,,85,94
4,5:23.0,,G. Harris enters the game for M. Beasley,85,94
4,5:23.0,,P. Millsap enters the game for M. Morris,85,94
4,5:23.0,,J. Murray enters the game for M. Plumlee,85,94
4,5:07.0,B. Bogdanović misses 2-pt jump shot from 13 ft (block by G. Harris),,85,94
4,5:05.0,,Defensive rebound by P. Millsap,85,94
4,4:50.0,,N. Jokić makes 2-pt layup from 2 ft (assist by P. Millsap),85,96
4,4:39.0,D. Collison makes 2-pt jump shot from 22 ft,,87,96
4,4:24.0,,Turnover by N. Jokić (bad pass; steal by M. Turner),87,96
4,4:19.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,87,96
4,4:14.0,,Defensive rebound by P. Millsap,87,96
4,3:53.0,,W. Barton misses 3-pt jump shot from 24 ft,87,96
4,3:50.0,Defensive rebound by B. Bogdanović,,87,96
4,3:45.0,Personal foul by J. Murray (drawn by B. Bogdanović),,87,96
4,3:45.0,,Denver full timeout,87,96
4,3:45.0,T. Young enters the game for D. Sabonis,,87,96
4,3:45.0,B. Bogdanović makes free throw 1 of 2,,88,96
4,3:45.0,B. Bogdanović makes free throw 2 of 2,,89,96
4,3:25.0,,Turnover by W. Barton (lost ball; steal by D. Collison),89,96
4,3:20.0,D. Collison misses 2-pt layup from 4 ft,,89,96
4,3:17.0,,Defensive rebound by P. Millsap,89,96
4,2:56.0,,G. Harris misses 3-pt jump shot from 28 ft,89,96
4,2:56.0,Defensive rebound by Team,,89,96
4,2:56.0,,Loose ball foul by N. Jokić (drawn by M. Turner),89,96
4,2:56.0,,Technical foul by N. Jokić,89,96
4,2:56.0,,Technical foul by N. Jokić,89,96
4,2:56.0,,N. Jokić ejected from game,89,96
4,2:56.0,B. Bogdanović makes technical free throw,,90,96
4,2:56.0,B. Bogdanović makes technical free throw,,91,96
4,2:56.0,,M. Plumlee enters the game for N. Jokić,91,96
4,2:56.0,M. Turner makes free throw 1 of 2,,92,96
4,2:56.0,M. Turner makes free throw 2 of 2,,93,96
4,2:42.0,,P. Millsap makes 2-pt jump shot from 5 ft (assist by W. Barton),93,98
4,2:17.0,D. Collison misses 2-pt jump shot from 15 ft,,93,98
4,2:13.0,,Defensive rebound by P. Millsap,93,98
4,2:00.0,,Personal foul by W. Matthews (drawn by P. Millsap),93,98
4,2:00.0,,P. Millsap makes free throw 1 of 2,93,99
4,2:00.0,,P. Millsap misses free throw 2 of 2,93,99
4,1:58.0,Defensive rebound by M. Turner,,93,99
4,1:47.0,T. Young misses 2-pt jump shot from 5 ft,,93,99
4,1:47.0,Offensive rebound by Team,,93,99
4,1:47.0,,Loose ball foul by W. Barton (drawn by M. Turner),93,99
4,1:47.0,M. Turner misses free throw 1 of 2,,93,99
4,1:47.0,Offensive rebound by Team,,93,99
4,1:47.0,M. Turner makes free throw 2 of 2,,94,99
4,1:33.0,,Personal foul by W. Matthews (drawn by W. Barton),94,99
