QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,LA LAKERS_ACTION,SAN ANTONIO_SCORE,LA LAKERS_SCORE
1,4:22.0,P. Gasol misses 3-pt jump shot from 24 ft,,24,13
1,4:16.0,,Defensive rebound by L. James,24,13
1,4:11.0,,M. Beasley misses 2-pt layup from 2 ft,24,13
1,4:07.0,Defensive rebound by P. Gasol,,24,13
1,3:55.0,D. DeRozan makes 2-pt jump shot from 18 ft,,26,13
1,3:41.0,,M. Beasley misses 2-pt jump shot from 19 ft,26,13
1,3:38.0,Defensive rebound by D. DeRozan,,26,13
1,3:29.0,P. Mills makes 2-pt layup from 2 ft (assist by D. DeRozan),,28,13
1,3:13.0,,L. Ball makes 2-pt layup from 1 ft,28,15
1,2:52.0,P. Mills makes 3-pt jump shot from 24 ft (assist by P. Gasol),,31,15
1,2:36.0,,L. Ball makes 3-pt jump shot from 27 ft (assist by L. James),31,18
1,2:27.0,Personal foul by M. Beasley (drawn by P. Gasol),,31,18
1,2:27.0,D. Bertāns enters the game for D. Cunningham,,31,18
1,2:27.0,,K. Kuzma enters the game for L. Ball,31,18
1,2:27.0,,S. Mykhailiuk enters the game for K. Caldwell-Pope,31,18
1,2:27.0,,L. Stephenson enters the game for L. James,31,18
1,2:22.0,Personal foul by L. Stephenson (drawn by D. DeRozan),,31,18
1,2:12.0,Shooting foul by S. Mykhailiuk (drawn by P. Mills),,31,18
1,2:12.0,P. Mills misses free throw 1 of 2,,31,18
1,2:12.0,Offensive rebound by Team,,31,18
1,2:12.0,B. Forbes enters the game for D. DeRozan,,31,18
1,2:12.0,P. Mills makes free throw 2 of 2,,32,18
1,2:01.0,,Turnover by M. Beasley (bad pass),32,18
1,1:50.0,P. Mills misses 2-pt jump shot from 18 ft,,32,18
1,1:46.0,,Defensive rebound by M. Beasley,32,18
1,1:36.0,,Turnover by S. Mykhailiuk (lost ball; steal by D. Bertāns),32,18
1,1:33.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by D. Bertāns),,35,18
1,1:21.0,,Shooting foul by B. Forbes (drawn by M. Beasley),35,18
1,1:21.0,,M. Beasley makes free throw 1 of 2,35,19
1,1:21.0,,M. Beasley misses free throw 2 of 2,35,19
1,1:19.0,Defensive rebound by P. Gasol,,35,19
1,1:12.0,Personal foul by M. Beasley (drawn by P. Gasol),,35,19
1,1:12.0,P. Gasol makes free throw 1 of 2,,36,19
1,1:12.0,P. Gasol makes free throw 2 of 2,,37,19
1,1:01.0,,K. Kuzma misses 3-pt jump shot from 26 ft,37,19
1,0:59.0,,Offensive rebound by M. Beasley,37,19
1,0:59.0,,M. Beasley makes 2-pt jump shot from 3 ft,37,21
1,0:42.0,M. Belinelli misses 2-pt layup from 1 ft,,37,21
1,0:38.0,,Defensive rebound by J. Hart,37,21
1,0:36.0,,L. Stephenson makes 2-pt layup from 3 ft (assist by J. Hart),37,23
1,0:21.0,P. Gasol makes 3-pt jump shot from 26 ft (assist by D. Bertāns),,40,23
1,0:04.0,,K. Kuzma makes 3-pt jump shot from 24 ft (assist by S. Mykhailiuk),40,26
1,0:01.0,B. Forbes misses 3-pt jump shot from 28 ft,,40,26
1,0:01.0,Offensive rebound by Team,,40,26
2,11:43.0,P. Mills misses 2-pt jump shot from 21 ft,,40,26
2,11:41.0,,Defensive rebound by K. Kuzma,40,26
2,11:30.0,,K. Kuzma makes 2-pt hook shot from 4 ft,40,28
2,11:15.0,B. Forbes misses 2-pt jump shot from 19 ft,,40,28
2,11:12.0,,Defensive rebound by J. McGee,40,28
2,11:03.0,,J. Hart makes 3-pt jump shot from 27 ft (assist by J. McGee),40,31
2,10:38.0,M. Belinelli makes 2-pt layup from 2 ft (assist by P. Mills),,42,31
2,10:29.0,,Personal foul by B. Forbes (drawn by K. Kuzma),42,31
2,10:29.0,D. Cunningham enters the game for D. Bertāns,,42,31
2,10:29.0,R. Gay enters the game for B. Forbes,,42,31
2,10:29.0,,L. James enters the game for S. Mykhailiuk,42,31
2,10:23.0,,J. Hart makes 2-pt jump shot from 13 ft (assist by L. Stephenson),42,33
2,10:09.0,Turnover by M. Belinelli (bad pass; steal by J. Hart),,42,33
2,10:05.0,,L. James misses 2-pt layup from 3 ft,42,33
2,10:05.0,,Offensive rebound by Team,42,33
2,10:05.0,Loose ball foul by P. Gasol (drawn by J. McGee),,42,33
2,9:50.0,,L. Stephenson misses 2-pt jump shot from 20 ft,42,33
2,9:43.0,,Offensive rebound by J. McGee,42,33
2,9:43.0,,J. McGee makes 2-pt layup at rim,42,35
2,9:43.0,Personal foul by L. Stephenson (drawn by M. Belinelli),,42,35
2,9:31.0,Shooting foul by J. McGee (drawn by P. Mills),,42,35
2,9:31.0,P. Mills makes free throw 1 of 3,,43,35
2,9:31.0,P. Mills makes free throw 2 of 3,,44,35
2,9:31.0,L. Aldridge enters the game for M. Belinelli,,44,35
2,9:31.0,D. DeRozan enters the game for P. Gasol,,44,35
2,9:31.0,P. Mills misses free throw 3 of 3,,44,35
2,9:28.0,Offensive rebound by R. Gay,,44,35
2,9:17.0,P. Mills misses 3-pt jump shot from 27 ft,,44,35
2,9:12.0,,Defensive rebound by L. James,44,35
2,9:09.0,,L. James misses 2-pt layup from 2 ft (block by R. Gay),44,35
2,9:05.0,Defensive rebound by R. Gay,,44,35
2,8:58.0,R. Gay makes 2-pt jump shot from 13 ft (assist by P. Mills),,46,35
2,8:48.0,,Personal foul by P. Mills (drawn by J. McGee),46,35
2,8:48.0,,Away from play foul by P. Mills (drawn by J. Hart),46,35
2,8:48.0,B. Forbes enters the game for P. Mills,,46,35
2,8:48.0,,K. Kuzma makes free throw 1 of 1,46,36
2,8:30.0,,L. James makes 2-pt layup from 4 ft,46,38
2,8:12.0,L. Aldridge misses 2-pt jump shot from 6 ft,,46,38
2,8:12.0,,Defensive rebound by J. Hart,46,38
2,8:00.0,,J. McGee makes 2-pt layup from 3 ft (assist by K. Kuzma),46,40
2,8:00.0,San Antonio full timeout,,46,40
2,8:00.0,,L. Ball enters the game for L. Stephenson,46,40
2,7:41.0,L. Aldridge makes 2-pt jump shot from 12 ft (assist by D. DeRozan),,48,40
2,7:21.0,,Turnover by L. James (lost ball; steal by B. Forbes),48,40
2,7:18.0,B. Forbes makes 2-pt layup from 3 ft,,50,40
2,7:18.0,Technical foul by L. Walton,,50,40
2,7:18.0,D. DeRozan makes technical free throw,,51,40
2,7:10.0,,Offensive foul by L. James (drawn by B. Forbes),51,40
2,7:10.0,,Turnover by L. James (offensive foul),51,40
2,7:10.0,,K. Caldwell-Pope enters the game for J. Hart,51,40
2,6:51.0,D. DeRozan misses 2-pt jump shot from 10 ft,,51,40
2,6:47.0,,Defensive rebound by K. Kuzma,51,40
2,6:39.0,,K. Kuzma makes 2-pt layup from 3 ft (assist by L. Ball),51,42
2,6:19.0,Turnover by D. DeRozan (bad pass; steal by L. Ball),,51,42
2,6:14.0,,K. Kuzma misses 2-pt layup from 2 ft (block by D. Cunningham),51,42
2,6:08.0,,Offensive rebound by J. McGee,51,42
2,6:08.0,,J. McGee makes 2-pt layup at rim,51,44
2,5:57.0,L. Aldridge misses 2-pt jump shot from 19 ft,,51,44
2,5:54.0,,Defensive rebound by L. Ball,51,44
2,5:49.0,,Personal foul by D. Cunningham (drawn by J. McGee),51,44
2,5:49.0,,J. McGee makes free throw 1 of 2,51,45
2,5:49.0,M. Belinelli enters the game for D. Cunningham,,51,45
2,5:49.0,,J. Hart enters the game for L. James,51,45
2,5:49.0,,J. McGee makes free throw 2 of 2,51,46
2,5:29.0,L. Aldridge misses 2-pt jump shot from 5 ft,,51,46
2,5:28.0,,Defensive rebound by J. Hart,51,46
2,5:27.0,,Turnover by J. Hart (lost ball; steal by R. Gay),51,46
2,5:16.0,B. Forbes misses 2-pt layup from 2 ft,,51,46
2,5:15.0,,Defensive rebound by L. Ball,51,46
2,5:14.0,,K. Kuzma makes 2-pt layup from 6 ft,51,48
2,5:14.0,San Antonio full timeout,,51,48
2,5:14.0,P. Gasol enters the game for B. Forbes,,51,48
2,5:14.0,P. Mills enters the game for R. Gay,,51,48
2,4:54.0,M. Belinelli misses 3-pt jump shot from 25 ft,,51,48
2,4:50.0,,Defensive rebound by K. Kuzma,51,48
2,4:43.0,,K. Kuzma makes 2-pt jump shot from 3 ft,51,50
2,4:23.0,M. Belinelli makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,54,50
2,4:14.0,,K. Kuzma misses 3-pt jump shot from 27 ft,54,50
2,4:10.0,Defensive rebound by M. Belinelli,,54,50
2,4:05.0,M. Belinelli makes 3-pt jump shot from 28 ft (assist by L. Aldridge),,57,50
2,4:05.0,,LA Lakers full timeout,57,50
2,4:05.0,D. Cunningham enters the game for P. Gasol,,57,50
2,4:05.0,,L. James enters the game for K. Kuzma,57,50
2,3:53.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,57,50
2,3:51.0,Defensive rebound by D. Cunningham,,57,50
2,3:43.0,L. Aldridge misses 2-pt jump shot from 18 ft,,57,50
2,3:40.0,,Defensive rebound by J. McGee,57,50
2,3:30.0,,L. Ball misses 3-pt jump shot from 26 ft,57,50
2,3:27.0,,Offensive rebound by J. McGee,57,50
2,3:21.0,,J. Hart misses 2-pt jump shot from 14 ft,57,50
2,3:21.0,,Offensive rebound by Team,57,50
2,3:21.0,Loose ball foul by D. DeRozan (drawn by L. Ball),,57,50
2,3:21.0,,L. Ball makes free throw 1 of 2,57,51
2,3:21.0,,L. Ball misses free throw 2 of 2,57,51
2,3:17.0,Defensive rebound by L. Aldridge,,57,51
2,3:07.0,D. DeRozan makes 2-pt jump shot from 5 ft,,59,51
2,3:07.0,Shooting foul by J. Hart (drawn by D. DeRozan),,59,51
2,3:07.0,D. DeRozan makes free throw 1 of 1,,60,51
2,2:53.0,,J. Hart misses 3-pt jump shot from 26 ft,60,51
2,2:51.0,,Offensive rebound by L. James,60,51
2,2:40.0,,L. Ball misses 3-pt jump shot from 27 ft,60,51
2,2:38.0,Defensive rebound by D. Cunningham,,60,51
2,2:27.0,M. Belinelli misses 3-pt jump shot from 27 ft,,60,51
2,2:26.0,Offensive rebound by L. Aldridge,,60,51
2,2:26.0,L. Aldridge makes 2-pt layup from 1 ft,,62,51
2,2:26.0,,LA Lakers full timeout,62,51
2,2:26.0,,K. Kuzma enters the game for L. Ball,62,51
2,2:26.0,,S. Mykhailiuk enters the game for K. Caldwell-Pope,62,51
2,2:26.0,,L. Stephenson enters the game for J. Hart,62,51
2,2:12.0,,K. Kuzma makes 2-pt hook shot from 6 ft (assist by L. James),62,53
2,1:58.0,D. DeRozan misses 2-pt jump shot from 14 ft,,62,53
2,1:56.0,,Defensive rebound by J. McGee,62,53
2,1:54.0,,K. Kuzma makes 2-pt layup from 3 ft,62,55
2,1:54.0,,Shooting foul by D. Cunningham (drawn by K. Kuzma),62,55
2,1:54.0,R. Gay enters the game for M. Belinelli,,62,55
2,1:54.0,,K. Kuzma makes free throw 1 of 1,62,56
2,1:39.0,D. DeRozan makes 2-pt jump shot from 17 ft,,64,56
2,1:18.0,,Turnover by L. James (lost ball; steal by D. Cunningham),64,56
2,1:14.0,D. DeRozan misses 2-pt layup from 1 ft,,64,56
2,1:10.0,,Defensive rebound by K. Kuzma,64,56
2,1:08.0,,J. McGee makes 2-pt layup from 2 ft (assist by K. Kuzma),64,58
2,0:45.0,Personal foul by J. McGee (drawn by L. Aldridge),,64,58
2,0:36.0,Shooting foul by J. McGee (drawn by L. Aldridge),,64,58
2,0:36.0,L. Aldridge makes free throw 1 of 2,,65,58
2,0:36.0,,J. Hart enters the game for J. McGee,65,58
2,0:36.0,L. Aldridge misses free throw 2 of 2,,65,58
2,0:34.0,,Defensive rebound by Team,65,58
2,0:34.0,D. Bertāns enters the game for L. Aldridge,,65,58
2,0:28.0,,L. James makes 2-pt layup from 3 ft,65,60
2,0:28.0,,Shooting foul by D. Cunningham (drawn by L. James),65,60
2,0:28.0,,L. James misses free throw 1 of 1,65,60
2,0:28.0,Defensive rebound by D. Cunningham,,65,60
2,0:08.0,D. DeRozan misses 2-pt layup from 3 ft (block by L. James),,65,60
2,0:07.0,Offensive rebound by D. Cunningham,,65,60
2,0:06.0,D. Cunningham misses 2-pt hook shot from 13 ft,,65,60
2,0:05.0,,Defensive rebound by L. James,65,60
2,0:01.0,,K. Kuzma misses 3-pt jump shot from 26 ft,65,60
2,0:01.0,,Offensive rebound by Team,65,60
3,11:40.0,L. Aldridge makes 2-pt jump shot from 15 ft (assist by D. DeRozan),,67,60
3,11:26.0,,L. James makes 2-pt jump shot from 19 ft,67,62
3,11:13.0,Def 3 sec tech foul by Team,,67,62
3,11:13.0,D. DeRozan misses technical free throw,,67,62
3,11:13.0,Offensive rebound by Team,,67,62
3,11:02.0,L. Aldridge misses 2-pt jump shot from 17 ft,,67,62
3,10:56.0,Offensive rebound by D. DeRozan,,67,62
3,10:56.0,D. DeRozan makes 2-pt layup at rim,,69,62
3,10:54.0,,J. McGee misses 2-pt jump shot from 10 ft,69,62
3,10:51.0,Defensive rebound by L. Aldridge,,69,62
3,10:47.0,R. Gay makes 2-pt layup from 2 ft (assist by D. DeRozan),,71,62
3,10:40.0,,Personal foul by R. Gay (drawn by K. Kuzma),71,62
3,10:31.0,,J. McGee misses 2-pt layup from 5 ft,71,62
3,10:28.0,Defensive rebound by R. Gay,,71,62
3,10:22.0,Turnover by R. Gay (lost ball; steal by J. McGee),,71,62
3,10:22.0,,Personal foul by R. Gay (drawn by J. McGee),71,62
3,10:09.0,,L. James makes 2-pt dunk at rim (assist by L. Ball),71,64
3,10:09.0,,Shooting foul by D. Cunningham (drawn by L. James),71,64
3,10:09.0,,L. James makes free throw 1 of 1,71,65
3,9:51.0,L. Aldridge makes 2-pt jump shot from 2 ft,,73,65
3,9:37.0,,K. Kuzma misses 2-pt hook shot from 7 ft,73,65
3,9:35.0,Defensive rebound by D. DeRozan,,73,65
3,9:29.0,L. Aldridge makes 2-pt hook shot from 5 ft (assist by D. DeRozan),,75,65
3,9:15.0,,L. James makes 2-pt jump shot from 21 ft,75,67
3,8:56.0,Turnover by D. DeRozan (step out of bounds),,75,67
3,8:41.0,,L. James misses 3-pt jump shot from 24 ft,75,67
3,8:41.0,,Offensive rebound by K. Caldwell-Pope,75,67
3,8:41.0,,Shooting foul by D. DeRozan (drawn by K. Caldwell-Pope),75,67
3,8:41.0,,K. Caldwell-Pope makes free throw 1 of 2,75,68
3,8:41.0,,K. Caldwell-Pope makes free throw 2 of 2,75,69
3,8:25.0,D. DeRozan misses 2-pt jump shot from 14 ft,,75,69
3,8:21.0,,Defensive rebound by L. Ball,75,69
3,8:15.0,,Turnover by L. James (out of bounds lost ball),75,69
3,8:02.0,Shooting foul by J. McGee (drawn by L. Aldridge),,75,69
3,8:02.0,L. Aldridge misses free throw 1 of 2,,75,69
3,8:02.0,Offensive rebound by Team,,75,69
3,8:02.0,,I. Zubac enters the game for J. McGee,75,69
3,8:02.0,L. Aldridge makes free throw 2 of 2,,76,69
3,7:50.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,76,69
3,7:47.0,Defensive rebound by D. Cunningham,,76,69
3,7:33.0,R. Gay makes 2-pt jump shot from 7 ft,,78,69
3,7:17.0,,K. Kuzma makes 3-pt jump shot from 23 ft (assist by L. James),78,72
3,7:14.0,Personal foul by I. Zubac (drawn by L. Aldridge),,78,72
3,7:14.0,,J. Hart enters the game for K. Caldwell-Pope,78,72
3,7:04.0,Personal foul by I. Zubac (drawn by L. Aldridge),,78,72
3,6:58.0,L. Aldridge misses 2-pt jump shot from 4 ft,,78,72
3,6:55.0,,Defensive rebound by J. Hart,78,72
3,6:52.0,,Personal foul by D. Cunningham (drawn by K. Kuzma),78,72
3,6:52.0,,LA Lakers full timeout,78,72
3,6:52.0,P. Gasol enters the game for D. Cunningham,,78,72
3,6:52.0,,K. Kuzma misses free throw 1 of 2,78,72
3,6:52.0,,Offensive rebound by Team,78,72
3,6:52.0,,K. Kuzma makes free throw 2 of 2,78,73
3,6:34.0,Turnover by B. Forbes (bad pass; steal by J. Hart),,78,73
3,6:31.0,,J. Hart makes 2-pt dunk from 1 ft (assist by L. Ball),78,75
3,6:13.0,L. Aldridge makes 2-pt layup from 2 ft,,80,75
3,6:02.0,,Shooting foul by D. DeRozan (drawn by L. James),80,75
3,6:02.0,,L. James makes free throw 1 of 2,80,76
3,6:02.0,,L. James makes free throw 2 of 2,80,77
3,5:49.0,D. DeRozan misses 2-pt layup from 3 ft (block by I. Zubac),,80,77
3,5:46.0,,Defensive rebound by J. Hart,80,77
3,5:42.0,,Turnover by L. Ball (bad pass),80,77
3,5:42.0,P. Mills enters the game for B. Forbes,,80,77
3,5:29.0,Personal foul by I. Zubac (drawn by L. Aldridge),,80,77
3,5:29.0,,L. Stephenson enters the game for L. Ball,80,77
3,5:21.0,D. DeRozan makes 3-pt jump shot from 24 ft (assist by L. Aldridge),,83,77
3,5:08.0,,Offensive foul by L. Stephenson (drawn by P. Mills),83,77
3,5:08.0,,Turnover by L. Stephenson (offensive foul),83,77
3,4:58.0,L. Aldridge makes 2-pt layup from 3 ft (assist by P. Gasol),,85,77
3,4:58.0,,LA Lakers full timeout,85,77
3,4:41.0,,K. Kuzma makes 3-pt jump shot from 24 ft (assist by L. James),85,80
3,4:26.0,Personal foul by I. Zubac (drawn by L. Aldridge),,85,80
3,4:26.0,L. Aldridge makes free throw 1 of 2,,86,80
3,4:26.0,M. Belinelli enters the game for R. Gay,,86,80
3,4:26.0,,S. Mykhailiuk enters the game for L. James,86,80
3,4:26.0,L. Aldridge makes free throw 2 of 2,,87,80
3,4:13.0,,K. Kuzma misses 2-pt layup from 3 ft,87,80
3,4:10.0,,Offensive rebound by I. Zubac,87,80
3,4:10.0,,I. Zubac misses 2-pt layup from 1 ft,87,80
3,4:09.0,Defensive rebound by D. DeRozan,,87,80
3,4:05.0,D. DeRozan misses 2-pt jump shot from 8 ft,,87,80
3,4:00.0,Offensive rebound by L. Aldridge,,87,80
3,4:00.0,L. Aldridge misses 2-pt layup at rim,,87,80
3,3:59.0,,Defensive rebound by L. Stephenson,87,80
3,3:57.0,,J. Hart makes 3-pt jump shot from 24 ft (assist by L. Stephenson),87,83
3,3:42.0,L. Aldridge makes 2-pt jump shot from 9 ft (assist by P. Gasol),,89,83
3,3:41.0,,L. Stephenson makes 3-pt jump shot from 26 ft,89,86
3,3:19.0,Shooting foul by I. Zubac (drawn by L. Aldridge),,89,86
3,3:19.0,L. Aldridge makes free throw 1 of 2,,90,86
3,3:19.0,D. Bertāns enters the game for D. DeRozan,,90,86
3,3:19.0,,J. Williams enters the game for I. Zubac,90,86
3,3:19.0,L. Aldridge misses free throw 2 of 2,,90,86
3,3:17.0,,Defensive rebound by K. Kuzma,90,86
3,3:03.0,,S. Mykhailiuk misses 3-pt jump shot from 23 ft,90,86
3,3:00.0,,Offensive rebound by J. Williams,90,86
3,2:58.0,,L. Stephenson makes 2-pt layup from 1 ft (assist by J. Williams),90,88
3,2:58.0,,Shooting foul by L. Aldridge (drawn by L. Stephenson),90,88
3,2:58.0,,L. Stephenson makes free throw 1 of 1,90,89
3,2:45.0,M. Belinelli makes 2-pt jump shot from 13 ft (assist by L. Aldridge),,92,89
3,2:28.0,,J. Williams misses 2-pt jump shot from 15 ft,92,89
3,2:26.0,Defensive rebound by P. Gasol,,92,89
3,2:19.0,D. Bertāns misses 2-pt layup from 2 ft,,92,89
3,2:19.0,,Defensive rebound by Team,92,89
3,2:19.0,B. Forbes enters the game for L. Aldridge,,92,89
3,2:09.0,,K. Kuzma makes 2-pt hook shot from 5 ft (assist by L. Stephenson),92,91
3,1:58.0,Personal foul by J. Williams (drawn by P. Gasol),,92,91
3,1:58.0,P. Gasol makes free throw 1 of 2,,93,91
3,1:58.0,P. Gasol makes free throw 2 of 2,,94,91
3,1:48.0,,K. Kuzma misses 3-pt jump shot from 26 ft,94,91
3,1:44.0,,Offensive rebound by S. Mykhailiuk,94,91
3,1:43.0,,J. Williams makes 2-pt dunk from 1 ft (assist by S. Mykhailiuk),94,93
3,1:32.0,Personal foul by S. Mykhailiuk (drawn by M. Belinelli),,94,93
3,1:32.0,M. Belinelli makes free throw 1 of 2,,95,93
3,1:32.0,M. Belinelli makes free throw 2 of 2,,96,93
3,1:14.0,,J. Hart makes 3-pt jump shot from 26 ft (assist by L. Stephenson),96,96
3,0:55.0,P. Gasol misses 2-pt hook shot from 6 ft,,96,96
3,0:52.0,,Defensive rebound by J. Williams,96,96
3,0:33.0,,K. Kuzma misses 3-pt jump shot from 28 ft,96,96
3,0:29.0,Defensive rebound by P. Gasol,,96,96
3,0:07.0,D. Bertāns makes 3-pt jump shot from 26 ft (assist by P. Mills),,99,96
3,0:03.0,,J. Hart misses 2-pt layup from 1 ft,99,96
3,0:02.0,Defensive rebound by D. Bertāns,,99,96
4,11:51.0,Violation by Team (delay of game),,99,96
4,11:46.0,,L. Stephenson misses 3-pt jump shot from 26 ft,99,96
4,11:44.0,Defensive rebound by D. DeRozan,,99,96
4,11:34.0,D. DeRozan makes 2-pt jump shot from 10 ft,,101,96
4,11:18.0,,L. James makes 3-pt jump shot from 26 ft,101,99
4,11:07.0,Shooting foul by J. Hart (drawn by D. DeRozan),,101,99
4,11:07.0,D. DeRozan makes free throw 1 of 2,,102,99
4,11:07.0,D. DeRozan makes free throw 2 of 2,,103,99
4,10:56.0,,L. James misses 2-pt layup from 2 ft,103,99
4,10:54.0,Defensive rebound by D. Cunningham,,103,99
4,10:44.0,D. DeRozan misses 2-pt jump shot from 13 ft,,103,99
4,10:41.0,,Defensive rebound by S. Mykhailiuk,103,99
4,10:38.0,,J. Williams makes 2-pt dunk from 2 ft (assist by S. Mykhailiuk),103,101
4,10:26.0,Turnover by M. Belinelli (bad pass),,103,101
4,10:04.0,,J. Hart makes 3-pt jump shot from 23 ft (assist by L. James),103,104
4,9:42.0,D. DeRozan misses 2-pt jump shot from 12 ft,,103,104
4,9:40.0,,Defensive rebound by J. Williams,103,104
4,9:34.0,,Turnover by L. Stephenson (bad pass; steal by M. Belinelli),103,104
4,9:22.0,M. Belinelli misses 3-pt jump shot from 31 ft,,103,104
4,9:18.0,Offensive rebound by D. Cunningham,,103,104
4,9:11.0,P. Gasol makes 2-pt dunk from 2 ft (assist by D. DeRozan),,105,104
4,8:58.0,,L. Stephenson misses 3-pt jump shot from 25 ft,105,104
4,8:56.0,,Offensive rebound by L. James,105,104
4,8:56.0,,Shooting foul by M. Belinelli (drawn by L. James),105,104
4,8:56.0,,L. James makes free throw 1 of 2,105,105
4,8:56.0,L. Aldridge enters the game for P. Gasol,,105,105
4,8:56.0,,K. Kuzma enters the game for L. Stephenson,105,105
4,8:56.0,,L. James makes free throw 2 of 2,105,106
4,8:46.0,Shooting foul by J. Williams (drawn by D. DeRozan),,105,106
4,8:46.0,D. DeRozan makes free throw 1 of 2,,106,106
4,8:46.0,B. Forbes enters the game for P. Mills,,106,106
4,8:46.0,D. DeRozan makes free throw 2 of 2,,107,106
4,8:37.0,,S. Mykhailiuk misses 3-pt jump shot from 27 ft,107,106
4,8:34.0,Defensive rebound by D. Cunningham,,107,106
4,8:18.0,B. Forbes misses 3-pt jump shot from 26 ft,,107,106
4,8:13.0,,Defensive rebound by L. James,107,106
4,8:07.0,,Turnover by S. Mykhailiuk (lost ball; steal by M. Belinelli),107,106
4,8:02.0,D. DeRozan misses 2-pt layup from 3 ft,,107,106
4,7:58.0,,Defensive rebound by K. Kuzma,107,106
4,7:54.0,,K. Kuzma makes 2-pt layup from 1 ft,107,108
