QUARTER,TIME_REMAINING,ORLANDO_ACTION,PORTLAND_ACTION,ORLANDO_SCORE,PORTLAND_SCORE
2,5:10.0,,J. Nurkić misses 2-pt hook shot from 2 ft (block by M. Bamba),48,48
2,5:10.0,Defensive rebound by J. Grant,,48,48
2,5:03.0,J. Martin misses 2-pt jump shot from 18 ft,,48,48
2,5:00.0,,Defensive rebound by C. McCollum,48,48
2,4:50.0,,D. Lillard misses 2-pt jump shot from 11 ft,48,48
2,4:49.0,,Offensive rebound by Z. Collins,48,48
2,4:47.0,,Turnover by Z. Collins (bad pass; steal by T. Ross),48,48
2,4:43.0,T. Ross makes 2-pt layup from 1 ft,,50,48
2,4:17.0,,D. Lillard makes 2-pt layup from 1 ft,50,50
2,4:06.0,E. Fournier makes 2-pt jump shot from 7 ft (assist by J. Grant),,52,50
2,3:46.0,,N. Stauskas misses 3-pt jump shot from 26 ft,52,50
2,3:43.0,Defensive rebound by E. Fournier,,52,50
2,3:32.0,J. Martin makes 2-pt jump shot from 9 ft,,54,50
2,3:13.0,,D. Lillard misses 2-pt jump shot from 17 ft,54,50
2,3:10.0,Defensive rebound by J. Grant,,54,50
2,2:51.0,T. Ross misses 3-pt jump shot from 26 ft,,54,50
2,2:47.0,,Defensive rebound by D. Lillard,54,50
2,2:39.0,,C. McCollum makes 2-pt jump shot from 13 ft,54,52
2,2:33.0,Orlando full timeout,,54,52
2,2:33.0,D. Augustin enters the game for M. Bamba,,54,52
2,2:33.0,J. Isaac enters the game for E. Fournier,,54,52
2,2:33.0,J. Simmons enters the game for J. Grant,,54,52
2,2:33.0,N. Vučević enters the game for J. Martin,,54,52
2,2:33.0,,A. Aminu enters the game for Z. Collins,54,52
2,2:19.0,N. Vučević makes 2-pt hook shot from 6 ft,,56,52
2,1:58.0,,D. Lillard makes 3-pt jump shot from 27 ft,56,55
2,1:46.0,D. Augustin makes 3-pt jump shot from 26 ft,,59,55
2,1:21.0,,A. Aminu misses 3-pt jump shot from 23 ft,59,55
2,1:19.0,,Offensive rebound by C. McCollum,59,55
2,1:12.0,,C. McCollum misses 2-pt jump shot from 1 ft,59,55
2,1:09.0,Defensive rebound by N. Vučević,,59,55
2,0:56.0,Shooting foul by J. Nurkić (drawn by N. Vučević),,59,55
2,0:56.0,N. Vučević makes free throw 1 of 2,,60,55
2,0:56.0,N. Vučević makes free throw 2 of 2,,61,55
2,0:39.0,,D. Lillard misses 3-pt jump shot from 25 ft,61,55
2,0:37.0,Defensive rebound by J. Isaac,,61,55
2,0:31.0,D. Augustin misses 2-pt layup from 6 ft (block by D. Lillard),,61,55
2,0:31.0,Offensive rebound by Team,,61,55
2,0:28.0,Turnover by J. Simmons (step out of bounds),,61,55
2,0:04.0,,C. McCollum misses 2-pt jump shot from 4 ft (block by N. Vučević),61,55
2,0:04.0,,Offensive rebound by Team,61,55
2,0:04.0,,Turnover by Team (shot clock),61,55
2,0:00.0,J. Simmons makes 2-pt jump shot from 10 ft,,63,55
3,11:41.0,N. Vučević makes 3-pt jump shot from 25 ft (assist by J. Isaac),,66,55
3,11:24.0,,C. McCollum misses 2-pt jump shot from 12 ft,66,55
3,11:21.0,Defensive rebound by N. Vučević,,66,55
3,11:14.0,D. Augustin misses 3-pt jump shot from 26 ft,,66,55
3,11:10.0,,Defensive rebound by C. McCollum,66,55
3,11:00.0,,Personal foul by N. Vučević (drawn by J. Nurkić),66,55
3,10:54.0,,D. Lillard makes 3-pt jump shot from 26 ft (assist by J. Nurkić),66,58
3,10:36.0,J. Isaac misses 3-pt jump shot from 22 ft,,66,58
3,10:32.0,,Defensive rebound by D. Lillard,66,58
3,10:28.0,,Shooting foul by J. Isaac (drawn by J. Nurkić),66,58
3,10:28.0,,J. Nurkić makes free throw 1 of 2,66,59
3,10:28.0,,J. Nurkić makes free throw 2 of 2,66,60
3,10:17.0,J. Simmons makes 2-pt jump shot from 7 ft (assist by N. Vučević),,68,60
3,10:07.0,,D. Lillard makes 3-pt jump shot from 27 ft,68,63
3,9:52.0,D. Augustin makes 3-pt jump shot from 23 ft (assist by E. Fournier),,71,63
3,9:40.0,,Turnover by D. Lillard (bad pass),71,63
3,9:30.0,J. Isaac makes 3-pt jump shot from 25 ft (assist by N. Vučević),,74,63
3,9:08.0,,D. Lillard makes 3-pt jump shot from 27 ft (assist by C. McCollum),74,66
3,8:51.0,E. Fournier makes 2-pt layup from 1 ft,,76,66
3,8:41.0,,C. McCollum makes 2-pt layup from 1 ft (assist by J. Nurkić),76,68
3,8:13.0,N. Vučević misses 2-pt jump shot from 18 ft,,76,68
3,8:10.0,,Defensive rebound by A. Aminu,76,68
3,8:01.0,,A. Aminu makes 2-pt layup from 1 ft (assist by D. Lillard),76,70
3,7:38.0,E. Fournier misses 3-pt jump shot from 26 ft,,76,70
3,7:37.0,,Defensive rebound by D. Lillard,76,70
3,7:27.0,,J. Nurkić makes 2-pt hook shot from 1 ft (assist by D. Lillard),76,72
3,7:04.0,D. Augustin makes 2-pt layup from 2 ft (assist by N. Vučević),,78,72
3,6:45.0,,C. McCollum misses 3-pt jump shot from 26 ft,78,72
3,6:44.0,Defensive rebound by J. Isaac,,78,72
3,6:37.0,Turnover by N. Vučević (bad pass),,78,72
3,6:37.0,,Portland full timeout,78,72
3,6:37.0,,E. Turner enters the game for M. Harkless,78,72
3,6:27.0,,D. Lillard makes 3-pt jump shot from 25 ft (assist by E. Turner),78,75
3,6:10.0,Turnover by J. Simmons (bad pass),,78,75
3,6:10.0,J. Martin enters the game for J. Isaac,,78,75
3,5:56.0,,J. Nurkić misses 2-pt hook shot from 3 ft,78,75
3,5:54.0,,Offensive rebound by A. Aminu,78,75
3,5:53.0,,A. Aminu misses 2-pt layup from 2 ft (block by E. Fournier),78,75
3,5:50.0,Defensive rebound by N. Vučević,,78,75
3,5:42.0,Personal foul by D. Lillard (drawn by J. Martin),,78,75
3,5:35.0,Turnover by E. Fournier (bad pass; steal by J. Nurkić),,78,75
3,5:30.0,,D. Lillard makes 3-pt jump shot from 26 ft (assist by J. Nurkić),78,78
3,5:11.0,Shooting foul by J. Nurkić (drawn by J. Simmons),,78,78
3,5:11.0,J. Simmons makes free throw 1 of 2,,79,78
3,5:11.0,J. Grant enters the game for D. Augustin,,79,78
3,5:11.0,J. Simmons makes free throw 2 of 2,,80,78
3,4:57.0,,D. Lillard misses 3-pt jump shot from 28 ft,80,78
3,4:57.0,,Offensive rebound by Team,80,78
3,4:57.0,W. Iwundu enters the game for J. Simmons,,80,78
3,4:48.0,,Shooting foul by J. Martin (drawn by J. Nurkić),80,78
3,4:48.0,,J. Nurkić misses free throw 1 of 2,80,78
3,4:48.0,,Offensive rebound by Team,80,78
3,4:48.0,,J. Nurkić makes free throw 2 of 2,80,79
3,4:42.0,Personal foul by J. Nurkić (drawn by N. Vučević),,80,79
3,4:38.0,E. Fournier misses 3-pt jump shot from 25 ft,,80,79
3,4:33.0,Offensive rebound by J. Grant,,80,79
3,4:20.0,Turnover by Team (shot clock),,80,79
3,4:20.0,,Z. Collins enters the game for A. Aminu,80,79
3,3:59.0,,C. McCollum misses 3-pt jump shot from 28 ft,80,79
3,3:56.0,Defensive rebound by E. Fournier,,80,79
3,3:37.0,W. Iwundu makes 2-pt jump shot from 13 ft (assist by N. Vučević),,82,79
3,3:24.0,,Personal foul by W. Iwundu (drawn by C. McCollum),82,79
3,3:24.0,T. Ross enters the game for E. Fournier,,82,79
3,3:24.0,,S. Curry enters the game for C. McCollum,82,79
3,3:21.0,,J. Nurkić makes 3-pt jump shot from 27 ft (assist by S. Curry),82,82
3,3:01.0,J. Martin misses 3-pt jump shot from 23 ft,,82,82
3,2:57.0,,Defensive rebound by E. Turner,82,82
3,2:44.0,,Turnover by D. Lillard (bad pass; steal by T. Ross),82,82
3,2:34.0,N. Vučević misses 2-pt hook shot from 6 ft,,82,82
3,2:32.0,,Defensive rebound by E. Turner,82,82
3,2:29.0,,Personal foul by J. Martin (drawn by D. Lillard),82,82
3,2:29.0,Orlando full timeout,,82,82
3,2:29.0,M. Bamba enters the game for N. Vučević,,82,82
3,2:29.0,,D. Lillard makes free throw 1 of 2,82,83
3,2:29.0,,M. Leonard enters the game for J. Nurkić,82,83
3,2:29.0,,D. Lillard makes free throw 2 of 2,82,84
3,2:16.0,T. Ross misses 2-pt jump shot from 17 ft,,82,84
3,2:12.0,,Defensive rebound by E. Turner,82,84
3,2:02.0,,E. Turner makes 2-pt jump shot from 13 ft,82,86
3,1:41.0,T. Ross misses 2-pt jump shot from 11 ft,,82,86
3,1:38.0,Offensive rebound by J. Martin,,82,86
3,1:37.0,J. Martin makes 2-pt layup from 1 ft,,84,86
3,1:25.0,,M. Leonard makes 3-pt jump shot from 27 ft (assist by E. Turner),84,89
3,1:11.0,T. Ross misses 2-pt jump shot from 17 ft,,84,89
3,1:09.0,,Defensive rebound by Z. Collins,84,89
3,1:00.0,,D. Lillard makes 3-pt jump shot from 26 ft (assist by E. Turner),84,92
3,0:44.0,M. Bamba misses 2-pt layup from 4 ft,,84,92
3,0:44.0,,Defensive rebound by M. Leonard,84,92
3,0:33.0,,D. Lillard makes 3-pt jump shot from 26 ft,84,95
3,0:13.0,Turnover by J. Grant (out of bounds lost ball),,84,95
3,0:13.0,E. Fournier enters the game for J. Martin,,84,95
3,0:13.0,,N. Stauskas enters the game for Z. Collins,84,95
3,0:03.0,,D. Lillard misses 3-pt jump shot from 31 ft,84,95
3,0:03.0,,Offensive rebound by E. Turner,84,95
4,11:41.0,,E. Turner misses 2-pt jump shot from 11 ft (block by T. Ross),84,95
4,11:39.0,Defensive rebound by T. Ross,,84,95
4,11:24.0,J. Isaac makes 2-pt jump shot from 16 ft,,86,95
4,11:06.0,,N. Stauskas misses 2-pt jump shot from 24 ft,86,95
4,11:02.0,Defensive rebound by J. Isaac,,86,95
4,10:59.0,Personal foul by S. Curry (drawn by J. Grant),,86,95
4,10:55.0,J. Isaac makes 3-pt jump shot from 25 ft,,89,95
4,10:36.0,,Z. Collins makes 2-pt layup from 1 ft (assist by N. Stauskas),89,97
4,10:25.0,Personal foul by Z. Collins (drawn by J. Isaac),,89,97
4,10:19.0,T. Ross misses 3-pt jump shot from 25 ft,,89,97
4,10:15.0,,Defensive rebound by Z. Collins,89,97
4,10:10.0,,Offensive foul by N. Stauskas (drawn by T. Ross),89,97
4,10:10.0,,Turnover by N. Stauskas (offensive foul),89,97
4,10:00.0,T. Ross makes 2-pt jump shot from 17 ft (assist by J. Grant),,91,97
4,9:40.0,,Turnover by N. Stauskas (bad pass),91,97
4,9:25.0,J. Isaac misses 3-pt jump shot from 26 ft,,91,97
4,9:22.0,,Defensive rebound by M. Leonard,91,97
4,9:11.0,,E. Turner makes 2-pt jump shot from 17 ft,91,99
4,9:01.0,T. Ross makes 2-pt jump shot from 15 ft (assist by J. Grant),,93,99
4,8:46.0,,Personal foul by J. Grant (drawn by S. Curry),93,99
4,8:46.0,,C. McCollum enters the game for E. Turner,93,99
4,8:40.0,,Shooting foul by M. Bamba (drawn by S. Curry),93,99
4,8:40.0,,S. Curry makes free throw 1 of 2,93,100
4,8:40.0,,S. Curry makes free throw 2 of 2,93,101
4,8:27.0,J. Isaac misses 2-pt layup from 3 ft,,93,101
4,8:27.0,Offensive rebound by M. Bamba,,93,101
4,8:27.0,M. Bamba makes 2-pt layup from 2 ft,,95,101
4,8:27.0,Shooting foul by S. Curry (drawn by M. Bamba),,95,101
4,8:27.0,M. Bamba makes free throw 1 of 1,,96,101
4,8:17.0,,Z. Collins misses 3-pt jump shot from 27 ft,96,101
4,8:12.0,,Offensive rebound by S. Curry,96,101
4,8:03.0,,C. McCollum misses 3-pt jump shot from 26 ft,96,101
4,8:01.0,,Offensive rebound by Z. Collins,96,101
4,8:01.0,,D. Lillard enters the game for S. Curry,96,101
4,8:01.0,,J. Nurkić enters the game for M. Leonard,96,101
4,7:49.0,,Z. Collins misses 3-pt jump shot from 26 ft,96,101
4,7:43.0,Defensive rebound by T. Ross,,96,101
4,7:36.0,Turnover by J. Grant (bad pass; steal by D. Lillard),,96,101
4,7:30.0,,Shooting foul by J. Isaac (drawn by N. Stauskas),96,101
4,7:30.0,,N. Stauskas makes free throw 1 of 3,96,102
4,7:30.0,,N. Stauskas makes free throw 2 of 3,96,103
4,7:30.0,,N. Stauskas makes free throw 3 of 3,96,104
4,7:30.0,,A. Aminu enters the game for Z. Collins,96,104
4,7:16.0,T. Ross misses 2-pt jump shot from 16 ft,,96,104
4,7:13.0,,Defensive rebound by C. McCollum,96,104
4,7:05.0,,C. McCollum misses 2-pt layup from 1 ft (block by M. Bamba),96,104
4,7:01.0,Defensive rebound by J. Grant,,96,104
4,6:56.0,J. Grant misses 2-pt layup from 1 ft,,96,104
4,6:54.0,,Defensive rebound by J. Nurkić,96,104
4,6:50.0,,D. Lillard misses 3-pt jump shot from 29 ft,96,104
4,6:47.0,Defensive rebound by M. Bamba,,96,104
4,6:36.0,J. Grant misses 2-pt jump shot from 7 ft,,96,104
4,6:34.0,,Defensive rebound by J. Nurkić,96,104
4,6:21.0,,Turnover by J. Nurkić (traveling),96,104
4,6:21.0,,Portland full timeout,96,104
4,6:21.0,D. Augustin enters the game for M. Bamba,,96,104
4,6:21.0,J. Martin enters the game for J. Grant,,96,104
4,6:21.0,J. Simmons enters the game for J. Isaac,,96,104
4,6:21.0,N. Vučević enters the game for T. Ross,,96,104
4,6:21.0,,E. Turner enters the game for N. Stauskas,96,104
4,6:09.0,N. Vučević makes 2-pt jump shot from 17 ft (assist by E. Fournier),,98,104
4,5:50.0,,Shooting foul by E. Fournier (drawn by J. Nurkić),98,104
4,5:50.0,,J. Nurkić makes free throw 1 of 2,98,105
4,5:50.0,,J. Nurkić makes free throw 2 of 2,98,106
4,5:33.0,J. Simmons misses 3-pt jump shot from 25 ft,,98,106
4,5:30.0,,Defensive rebound by J. Nurkić,98,106
4,5:22.0,,E. Turner misses 2-pt layup from 3 ft (block by E. Fournier),98,106
4,5:17.0,,Offensive rebound by E. Turner,98,106
4,5:16.0,,E. Turner makes 2-pt layup from 2 ft,98,108
4,5:02.0,E. Fournier makes 3-pt jump shot from 29 ft (assist by J. Simmons),,101,108
4,4:40.0,,C. McCollum misses 2-pt jump shot from 18 ft (block by N. Vučević),101,108
4,4:38.0,Defensive rebound by J. Martin,,101,108
4,4:33.0,Personal foul by A. Aminu (drawn by N. Vučević),,101,108
4,4:20.0,N. Vučević misses 2-pt jump shot from 14 ft,,101,108
4,4:17.0,,Defensive rebound by C. McCollum,101,108
4,4:06.0,,Offensive foul by E. Turner (drawn by J. Simmons),101,108
4,4:06.0,,Turnover by E. Turner (offensive foul),101,108
4,4:06.0,J. Isaac enters the game for J. Martin,,101,108
4,3:56.0,E. Fournier makes 3-pt jump shot from 26 ft (assist by D. Augustin),,104,108
4,3:35.0,,J. Nurkić misses 2-pt hook shot from 8 ft,104,108
4,3:33.0,Defensive rebound by N. Vučević,,104,108
4,3:21.0,J. Isaac makes 2-pt layup from 3 ft (assist by N. Vučević),,106,108
4,2:58.0,,D. Lillard misses 3-pt jump shot from 22 ft,106,108
4,2:57.0,Defensive rebound by Team,,106,108
4,2:57.0,,Loose ball foul by J. Nurkić (drawn by J. Simmons),106,108
4,2:57.0,Orlando full timeout,,106,108
4,2:57.0,J. Simmons makes free throw 1 of 2,,107,108
4,2:57.0,J. Simmons makes free throw 2 of 2,,108,108
4,2:44.0,,C. McCollum makes 3-pt jump shot from 26 ft (assist by E. Turner),108,111
4,2:23.0,E. Fournier makes 2-pt jump shot from 15 ft,,110,111
4,2:04.0,,Shooting foul by N. Vučević (drawn by C. McCollum),110,111
4,2:04.0,,C. McCollum misses free throw 1 of 2,110,111
4,2:04.0,,Offensive rebound by Team,110,111
4,2:04.0,T. Ross enters the game for J. Simmons,,110,111
4,2:04.0,,C. McCollum misses free throw 2 of 2,110,111
4,2:01.0,Defensive rebound by T. Ross,,110,111
4,1:45.0,Turnover by J. Isaac (3 sec),,110,111
4,1:34.0,,Turnover by A. Aminu (traveling),110,111
4,1:24.0,Turnover by E. Fournier (bad pass; steal by A. Aminu),,110,111
4,1:16.0,,D. Lillard misses 2-pt jump shot from 7 ft,110,111
4,1:12.0,Defensive rebound by E. Fournier,,110,111
4,1:09.0,Turnover by E. Fournier (bad pass; steal by D. Lillard),,110,111
4,0:55.0,,D. Lillard makes 2-pt jump shot from 2 ft,110,113
4,0:55.0,Orlando full timeout,,110,113
4,0:51.0,T. Ross misses 3-pt jump shot from 26 ft,,110,113
4,0:48.0,,Defensive rebound by J. Nurkić,110,113
