QUARTER,TIME_REMAINING,DENVER_ACTION,PORTLAND_ACTION,DENVER_SCORE,PORTLAND_SCORE
1,7:57.0,M. Morris makes free throw 2 of 2,,13,6
1,7:46.0,,A. Aminu misses 3-pt jump shot from 24 ft,13,6
1,7:43.0,Defensive rebound by G. Harris,,13,6
1,7:38.0,M. Morris misses 3-pt jump shot from 23 ft,,13,6
1,7:36.0,,Defensive rebound by A. Aminu,13,6
1,7:26.0,,A. Aminu makes 2-pt jump shot from 4 ft,13,8
1,7:15.0,G. Harris misses 2-pt jump shot from 15 ft,,13,8
1,7:15.0,,Defensive rebound by Team,13,8
1,7:15.0,,Portland full timeout,13,8
1,6:55.0,,C. McCollum makes 2-pt jump shot from 4 ft,13,10
1,6:35.0,T. Lyles misses 2-pt jump shot from 15 ft,,13,10
1,6:32.0,,Defensive rebound by M. Harkless,13,10
1,6:27.0,,E. Freedom makes 2-pt dunk at rim (assist by C. McCollum),13,12
1,6:10.0,T. Lyles misses 3-pt jump shot from 25 ft,,13,12
1,6:08.0,,Defensive rebound by E. Freedom,13,12
1,6:02.0,,M. Harkless makes 2-pt dunk from 1 ft (assist by C. McCollum),13,14
1,5:44.0,M. Plumlee misses 2-pt jump shot from 3 ft,,13,14
1,5:44.0,Offensive rebound by M. Plumlee,,13,14
1,5:41.0,M. Plumlee misses 2-pt layup from 2 ft,,13,14
1,5:39.0,,Defensive rebound by A. Aminu,13,14
1,5:31.0,,C. McCollum misses 2-pt jump shot from 2 ft,13,14
1,5:29.0,Defensive rebound by W. Barton,,13,14
1,5:21.0,W. Barton misses 2-pt jump shot from 18 ft,,13,14
1,5:18.0,,Defensive rebound by A. Aminu,13,14
1,5:01.0,,Shooting foul by W. Barton (drawn by C. McCollum),13,14
1,5:01.0,,C. McCollum makes free throw 1 of 2,13,15
1,5:01.0,,Z. Collins enters the game for M. Harkless,13,15
1,5:01.0,,E. Turner enters the game for E. Freedom,13,15
1,5:01.0,,C. McCollum makes free throw 2 of 2,13,16
1,4:45.0,W. Barton misses 3-pt jump shot from 24 ft,,13,16
1,4:45.0,,Defensive rebound by D. Lillard,13,16
1,4:32.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by D. Lillard),13,19
1,4:17.0,T. Lyles makes 3-pt jump shot from 25 ft (assist by W. Barton),,16,19
1,4:01.0,,D. Lillard misses 3-pt jump shot from 25 ft,16,19
1,4:00.0,Defensive rebound by T. Lyles,,16,19
1,3:39.0,M. Morris misses 2-pt layup from 1 ft,,16,19
1,3:31.0,Offensive rebound by T. Lyles,,16,19
1,3:31.0,T. Lyles makes 2-pt layup at rim,,18,19
1,3:18.0,,Z. Collins misses 2-pt layup from 3 ft,18,19
1,3:16.0,,Offensive rebound by A. Aminu,18,19
1,3:16.0,,A. Aminu makes 2-pt layup from 1 ft,18,21
1,3:16.0,,Shooting foul by T. Lyles (drawn by A. Aminu),18,21
1,3:16.0,T. Craig enters the game for W. Barton,,18,21
1,3:16.0,I. Thomas enters the game for M. Morris,,18,21
1,3:16.0,J. Vanderbilt enters the game for M. Plumlee,,18,21
1,3:16.0,,R. Hood enters the game for C. McCollum,18,21
1,3:16.0,,A. Aminu makes free throw 1 of 1,18,22
1,3:00.0,T. Lyles makes 3-pt jump shot from 25 ft,,21,22
1,2:46.0,,Turnover by R. Hood (lost ball; steal by I. Thomas),21,22
1,2:44.0,Turnover by J. Vanderbilt (bad pass),,21,22
1,2:44.0,Denver full timeout,,21,22
1,2:44.0,M. Beasley enters the game for G. Harris,,21,22
1,2:44.0,,S. Curry enters the game for A. Aminu,21,22
1,2:30.0,,Z. Collins misses 2-pt layup from 2 ft,21,22
1,2:29.0,,Offensive rebound by Z. Collins,21,22
1,2:27.0,,Z. Collins makes 2-pt layup from 2 ft,21,24
1,2:10.0,I. Thomas misses 2-pt jump shot from 11 ft,,21,24
1,2:09.0,,Defensive rebound by Z. Collins,21,24
1,1:49.0,,D. Lillard makes 3-pt jump shot from 25 ft (assist by E. Turner),21,27
1,1:26.0,T. Lyles makes 2-pt jump shot from 12 ft,,23,27
1,1:14.0,,Personal foul by J. Vanderbilt (drawn by D. Lillard),23,27
1,1:14.0,J. Hernangómez enters the game for T. Lyles,,23,27
1,1:05.0,,Turnover by Z. Collins (traveling),23,27
1,0:55.0,J. Vanderbilt misses 2-pt layup from 1 ft,,23,27
1,0:54.0,,Defensive rebound by E. Turner,23,27
1,0:41.0,,Z. Collins misses 2-pt hook shot from 2 ft,23,27
1,0:39.0,,Offensive rebound by Z. Collins,23,27
1,0:37.0,,Turnover by Z. Collins (bad pass; steal by I. Thomas),23,27
1,0:31.0,I. Thomas misses 2-pt layup from 1 ft,,23,27
1,0:29.0,,Defensive rebound by D. Lillard,23,27
1,0:26.0,,Turnover by R. Hood (bad pass; steal by M. Beasley),23,27
1,0:23.0,I. Thomas makes 2-pt layup from 1 ft (assist by M. Beasley),,25,27
1,0:03.0,,S. Curry makes 2-pt layup from 2 ft,25,29
2,11:36.0,Turnover by Team (shot clock),,25,29
2,11:23.0,,Z. Collins makes 2-pt dunk from 1 ft (assist by R. Hood),25,31
2,11:10.0,T. Craig makes 2-pt jump shot from 12 ft,,27,31
2,10:58.0,,Turnover by E. Turner (bad pass),27,31
2,10:40.0,I. Thomas misses 2-pt jump shot from 4 ft (block by S. Curry),,27,31
2,10:35.0,,Defensive rebound by J. Layman,27,31
2,10:22.0,,Turnover by Z. Collins (off goaltending),27,31
2,10:13.0,I. Thomas misses 3-pt jump shot from 25 ft,,27,31
2,10:11.0,,Defensive rebound by Z. Collins,27,31
2,10:05.0,,Personal foul by J. Vanderbilt (drawn by Z. Collins),27,31
2,10:00.0,,E. Turner makes 2-pt jump shot from 16 ft,27,33
2,9:44.0,Offensive foul by J. Vanderbilt (drawn by R. Hood),,27,33
2,9:44.0,Turnover by J. Vanderbilt (offensive foul),,27,33
2,9:44.0,T. Lydon enters the game for J. Vanderbilt,,27,33
2,9:32.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by Z. Collins),27,36
2,9:17.0,M. Beasley makes 2-pt jump shot from 12 ft,,29,36
2,9:06.0,,E. Turner misses 2-pt jump shot from 17 ft,29,36
2,9:04.0,Defensive rebound by T. Craig,,29,36
2,8:58.0,T. Craig misses 2-pt layup from 2 ft (block by Z. Collins),,29,36
2,8:58.0,Offensive rebound by Team,,29,36
2,8:58.0,,C. McCollum enters the game for E. Turner,29,36
2,8:50.0,M. Beasley misses 2-pt layup from 2 ft,,29,36
2,8:47.0,Offensive rebound by T. Lydon,,29,36
2,8:47.0,T. Lydon makes 2-pt layup at rim,,31,36
2,8:36.0,,R. Hood makes 3-pt jump shot from 24 ft (assist by C. McCollum),31,39
2,8:24.0,T. Craig makes 3-pt jump shot from 23 ft (assist by T. Lydon),,34,39
2,8:10.0,,J. Layman misses 3-pt jump shot from 26 ft,34,39
2,8:10.0,Defensive rebound by Team,,34,39
2,8:02.0,Personal foul by J. Layman (drawn by J. Hernangómez),,34,39
2,7:55.0,J. Hernangómez misses 3-pt jump shot from 25 ft,,34,39
2,7:54.0,,Defensive rebound by S. Curry,34,39
2,7:45.0,,S. Curry makes 2-pt jump shot from 17 ft (assist by R. Hood),34,41
2,7:37.0,Shooting foul by Z. Collins (drawn by I. Thomas),,34,41
2,7:37.0,M. Plumlee enters the game for T. Craig,,34,41
2,7:37.0,,E. Freedom enters the game for Z. Collins,34,41
2,7:37.0,I. Thomas misses free throw 1 of 2,,34,41
2,7:37.0,Offensive rebound by Team,,34,41
2,7:37.0,I. Thomas misses free throw 2 of 2,,34,41
2,7:33.0,,Defensive rebound by E. Freedom,34,41
2,7:24.0,,Offensive foul by E. Freedom (drawn by J. Hernangómez),34,41
2,7:24.0,,Turnover by E. Freedom (offensive foul),34,41
2,7:09.0,I. Thomas misses 3-pt jump shot from 25 ft,,34,41
2,7:08.0,,Defensive rebound by Team,34,41
2,6:54.0,,S. Curry misses 2-pt jump shot from 4 ft,34,41
2,6:52.0,,E. Freedom makes 2-pt layup from 1 ft,34,43
2,6:52.0,,Offensive rebound by E. Freedom,34,43
2,6:34.0,M. Beasley makes 3-pt jump shot from 27 ft (assist by J. Hernangómez),,37,43
2,6:18.0,,C. McCollum misses 3-pt jump shot from 26 ft,37,43
2,6:16.0,Defensive rebound by M. Plumlee,,37,43
2,6:07.0,Personal foul by C. McCollum (drawn by I. Thomas),,37,43
2,6:07.0,,Portland full timeout,37,43
2,6:07.0,T. Lyles enters the game for T. Lydon,,37,43
2,6:07.0,M. Morris enters the game for I. Thomas,,37,43
2,6:07.0,,M. Harkless enters the game for J. Layman,37,43
2,6:00.0,M. Plumlee misses 2-pt jump shot from 11 ft,,37,43
2,5:56.0,Offensive rebound by M. Beasley,,37,43
2,5:52.0,J. Hernangómez misses 2-pt layup from 1 ft,,37,43
2,5:51.0,Offensive rebound by J. Hernangómez,,37,43
2,5:49.0,J. Hernangómez makes 2-pt layup from 2 ft,,39,43
2,5:31.0,,R. Hood misses 2-pt jump shot from 11 ft,39,43
2,5:29.0,Defensive rebound by M. Plumlee,,39,43
2,5:24.0,M. Beasley misses 3-pt jump shot from 25 ft,,39,43
2,5:21.0,,Defensive rebound by E. Freedom,39,43
2,5:21.0,W. Barton enters the game for M. Beasley,,39,43
2,5:21.0,G. Harris enters the game for J. Hernangómez,,39,43
2,5:21.0,,A. Aminu enters the game for S. Curry,39,43
2,5:21.0,,D. Lillard enters the game for R. Hood,39,43
2,5:02.0,,C. McCollum misses 2-pt jump shot from 3 ft,39,43
2,5:00.0,,Offensive rebound by E. Freedom,39,43
2,4:59.0,,E. Freedom misses 2-pt hook shot from 3 ft,39,43
2,4:56.0,,Offensive rebound by C. McCollum,39,43
2,4:54.0,,D. Lillard misses 3-pt jump shot from 28 ft,39,43
2,4:51.0,Defensive rebound by T. Lyles,,39,43
2,4:40.0,T. Lyles misses 3-pt jump shot from 24 ft,,39,43
2,4:39.0,,Defensive rebound by D. Lillard,39,43
2,4:33.0,,D. Lillard makes 2-pt jump shot from 13 ft,39,45
2,4:18.0,G. Harris misses 2-pt layup from 1 ft,,39,45
2,4:16.0,,Defensive rebound by E. Freedom,39,45
2,4:06.0,,E. Freedom misses 2-pt layup from 2 ft,39,45
2,4:04.0,Defensive rebound by T. Lyles,,39,45
2,4:00.0,Turnover by T. Lyles (bad pass; steal by C. McCollum),,39,45
2,3:59.0,,D. Lillard makes 3-pt jump shot from 26 ft (assist by C. McCollum),39,48
2,3:59.0,Denver full timeout,,39,48
2,3:59.0,,S. Curry enters the game for C. McCollum,39,48
2,3:42.0,W. Barton makes 3-pt jump shot from 25 ft (assist by T. Lyles),,42,48
2,3:21.0,,S. Curry makes 2-pt jump shot from 6 ft (assist by D. Lillard),42,50
2,3:06.0,G. Harris misses 3-pt jump shot from 24 ft,,42,50
2,3:03.0,,Defensive rebound by A. Aminu,42,50
2,2:57.0,,S. Curry makes 2-pt jump shot from 15 ft,42,52
2,2:42.0,M. Plumlee misses 2-pt jump shot from 15 ft,,42,52
2,2:40.0,Offensive rebound by T. Lyles,,42,52
2,2:35.0,M. Morris misses 3-pt jump shot from 25 ft,,42,52
2,2:32.0,,Defensive rebound by D. Lillard,42,52
2,2:26.0,,Personal foul by M. Morris (drawn by A. Aminu),42,52
2,2:17.0,,E. Freedom misses 2-pt layup from 2 ft,42,52
2,2:14.0,,A. Aminu makes 2-pt layup from 1 ft,42,54
2,2:14.0,,Offensive rebound by A. Aminu,42,54
2,2:00.0,W. Barton misses 2-pt layup from 1 ft,,42,54
2,2:00.0,,Defensive rebound by Team,42,54
2,1:53.0,,Shooting foul by M. Plumlee (drawn by A. Aminu),42,54
2,1:53.0,,A. Aminu makes free throw 1 of 2,42,55
2,1:53.0,,A. Aminu makes free throw 2 of 2,42,56
2,1:47.0,Offensive foul by T. Lyles (drawn by D. Lillard),,42,56
2,1:47.0,Turnover by T. Lyles (offensive foul),,42,56
2,1:36.0,,Turnover by D. Lillard (bad pass),42,56
2,1:28.0,W. Barton misses 2-pt jump shot from 3 ft,,42,56
2,1:26.0,,Defensive rebound by M. Harkless,42,56
2,1:22.0,,S. Curry misses 3-pt jump shot from 23 ft,42,56
2,1:19.0,Defensive rebound by M. Plumlee,,42,56
2,1:04.0,G. Harris makes 2-pt layup from 1 ft (assist by M. Plumlee),,44,56
2,0:47.0,,A. Aminu makes 2-pt layup from 1 ft,44,58
2,0:36.0,M. Morris makes 2-pt layup from 1 ft,,46,58
2,0:36.0,Shooting foul by A. Aminu (drawn by M. Morris),,46,58
2,0:36.0,M. Morris makes free throw 1 of 1,,47,58
2,0:27.0,,D. Lillard misses 2-pt layup from 1 ft,47,58
2,0:27.0,,Offensive rebound by E. Freedom,47,58
2,0:27.0,,E. Freedom makes 2-pt layup from 1 ft,47,60
2,0:09.0,Shooting foul by M. Harkless (drawn by W. Barton),,47,60
2,0:09.0,W. Barton makes free throw 1 of 2,,48,60
2,0:09.0,T. Craig enters the game for T. Lyles,,48,60
2,0:09.0,J. Hernangómez enters the game for M. Morris,,48,60
2,0:09.0,,R. Hood enters the game for A. Aminu,48,60
2,0:09.0,,C. McCollum enters the game for M. Harkless,48,60
2,0:09.0,W. Barton makes free throw 2 of 2,,49,60
3,11:45.0,M. Plumlee misses 2-pt jump shot from 17 ft,,49,60
3,11:42.0,,Defensive rebound by A. Aminu,49,60
3,11:33.0,,E. Freedom misses 2-pt dunk from 2 ft (block by M. Plumlee),49,60
3,11:31.0,Defensive rebound by T. Lyles,,49,60
3,11:25.0,Offensive foul by M. Plumlee (drawn by M. Harkless),,49,60
3,11:25.0,Turnover by M. Plumlee (offensive foul),,49,60
3,11:16.0,,Personal foul by W. Barton (drawn by M. Harkless),49,60
3,11:11.0,,A. Aminu makes 3-pt jump shot from 23 ft (assist by C. McCollum),49,63
3,10:52.0,M. Plumlee misses 2-pt hook shot from 9 ft,,49,63
3,10:48.0,Offensive rebound by T. Lyles,,49,63
3,10:46.0,M. Plumlee makes 2-pt jump shot from 17 ft,,51,63
3,10:26.0,,Shooting foul by T. Lyles (drawn by A. Aminu),51,63
3,10:26.0,,A. Aminu misses free throw 1 of 2,51,63
3,10:26.0,,Offensive rebound by Team,51,63
3,10:26.0,,A. Aminu makes free throw 2 of 2,51,64
3,10:04.0,W. Barton misses 3-pt jump shot from 26 ft,,51,64
3,10:01.0,Offensive rebound by M. Plumlee,,51,64
3,9:50.0,W. Barton makes 2-pt layup from 3 ft (assist by M. Morris),,53,64
3,9:33.0,,C. McCollum misses 3-pt jump shot from 25 ft,53,64
3,9:29.0,Defensive rebound by W. Barton,,53,64
3,9:19.0,T. Lyles makes 3-pt jump shot from 23 ft (assist by M. Plumlee),,56,64
3,9:06.0,,D. Lillard misses 2-pt jump shot from 19 ft,56,64
3,9:05.0,,Offensive rebound by E. Freedom,56,64
3,9:05.0,,Personal foul by M. Plumlee (drawn by E. Freedom),56,64
3,9:00.0,,M. Harkless makes 2-pt dunk from 1 ft (assist by E. Freedom),56,66
3,8:37.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by T. Lyles),,58,66
3,8:26.0,,C. McCollum misses 3-pt jump shot from 25 ft,58,66
3,8:24.0,Defensive rebound by T. Lyles,,58,66
3,8:16.0,G. Harris makes 2-pt dunk from 1 ft,,60,66
3,7:53.0,,A. Aminu makes 2-pt dunk from 1 ft (assist by D. Lillard),60,68
3,7:40.0,G. Harris makes 2-pt layup from 3 ft (assist by M. Plumlee),,62,68
3,7:29.0,,D. Lillard misses 3-pt jump shot from 27 ft,62,68
3,7:28.0,Defensive rebound by M. Plumlee,,62,68
3,7:19.0,Turnover by W. Barton (bad pass; steal by E. Freedom),,62,68
3,7:14.0,,Personal take foul by M. Morris (drawn by D. Lillard),62,68
3,7:14.0,,R. Hood enters the game for C. McCollum,62,68
3,7:05.0,,A. Aminu misses 3-pt jump shot from 25 ft,62,68
3,7:00.0,Defensive rebound by W. Barton,,62,68
3,6:48.0,T. Lyles misses 3-pt jump shot from 27 ft,,62,68
3,6:46.0,,Defensive rebound by R. Hood,62,68
3,6:34.0,,A. Aminu misses 2-pt layup from 1 ft,62,68
3,6:30.0,Defensive rebound by G. Harris,,62,68
3,6:21.0,M. Plumlee misses 2-pt hook shot from 4 ft,,62,68
3,6:18.0,,Defensive rebound by E. Freedom,62,68
3,6:08.0,,Turnover by A. Aminu (lost ball; steal by G. Harris),62,68
3,6:06.0,G. Harris makes 2-pt layup from 1 ft,,64,68
3,6:06.0,Shooting foul by M. Harkless (drawn by G. Harris),,64,68
3,6:06.0,,Portland full timeout,64,68
3,6:06.0,,Z. Collins enters the game for A. Aminu,64,68
3,6:06.0,,E. Turner enters the game for E. Freedom,64,68
3,6:06.0,G. Harris misses free throw 1 of 1,,64,68
3,6:04.0,,Defensive rebound by M. Harkless,64,68
3,5:50.0,,D. Lillard makes 2-pt jump shot from 21 ft,64,70
3,5:27.0,G. Harris makes 2-pt jump shot from 9 ft,,66,70
3,5:12.0,,D. Lillard makes 3-pt jump shot from 26 ft (assist by E. Turner),66,73
3,4:52.0,M. Morris misses 2-pt jump shot from 7 ft,,66,73
3,4:50.0,Offensive rebound by M. Plumlee,,66,73
3,4:50.0,M. Plumlee makes 2-pt layup from 1 ft,,68,73
3,4:33.0,,Z. Collins misses 3-pt jump shot from 25 ft,68,73
3,4:31.0,Defensive rebound by W. Barton,,68,73
3,4:22.0,M. Plumlee makes 2-pt jump shot from 14 ft (assist by W. Barton),,70,73
3,4:07.0,,Turnover by E. Turner (bad pass; steal by M. Plumlee),70,73
3,4:06.0,T. Lyles makes 2-pt layup from 1 ft,,72,73
3,4:06.0,Shooting foul by M. Harkless (drawn by T. Lyles),,72,73
3,4:06.0,T. Lyles misses free throw 1 of 1,,72,73
3,4:04.0,,Defensive rebound by M. Harkless,72,73
3,3:46.0,,R. Hood misses 2-pt jump shot from 16 ft,72,73
3,3:43.0,Defensive rebound by W. Barton,,72,73
3,3:36.0,T. Lyles misses 2-pt jump shot from 9 ft,,72,73
3,3:31.0,,Defensive rebound by D. Lillard,72,73
3,3:22.0,,Shooting foul by M. Plumlee (drawn by D. Lillard),72,73
3,3:22.0,,D. Lillard makes free throw 1 of 2,72,74
3,3:22.0,T. Craig enters the game for W. Barton,,72,74
3,3:22.0,J. Hernangómez enters the game for T. Lyles,,72,74
3,3:22.0,J. Vanderbilt enters the game for M. Plumlee,,72,74
3,3:22.0,,S. Curry enters the game for M. Harkless,72,74
3,3:22.0,,D. Lillard makes free throw 2 of 2,72,75
3,3:07.0,G. Harris misses 2-pt layup from 2 ft (block by Z. Collins),,72,75
3,3:05.0,,Defensive rebound by S. Curry,72,75
3,3:03.0,,Turnover by S. Curry (lost ball; steal by G. Harris),72,75
3,2:59.0,M. Morris makes 3-pt jump shot from 26 ft (assist by G. Harris),,75,75
3,2:39.0,,R. Hood makes 2-pt layup from 2 ft (assist by D. Lillard),75,77
3,2:39.0,,Shooting foul by J. Hernangómez (drawn by R. Hood),75,77
3,2:39.0,Denver full timeout,,75,77
3,2:39.0,M. Beasley enters the game for G. Harris,,75,77
3,2:39.0,I. Thomas enters the game for M. Morris,,75,77
3,2:39.0,,R. Hood makes free throw 1 of 1,75,78
3,2:29.0,M. Beasley misses 2-pt jump shot from 3 ft,,75,78
3,2:27.0,,Defensive rebound by E. Turner,75,78
3,2:13.0,,E. Turner misses 2-pt jump shot from 4 ft,75,78
3,2:12.0,Defensive rebound by J. Hernangómez,,75,78
3,1:56.0,Turnover by M. Beasley (bad pass; steal by Z. Collins),,75,78
3,1:43.0,,Z. Collins makes 2-pt layup from 1 ft (assist by D. Lillard),75,80
3,1:21.0,Turnover by I. Thomas (bad pass; steal by E. Turner),,75,80
3,1:18.0,,Shooting foul by I. Thomas (drawn by R. Hood),75,80
3,1:18.0,,R. Hood misses free throw 1 of 2,75,80
3,1:18.0,,Offensive rebound by Team,75,80
3,1:18.0,,R. Hood makes free throw 2 of 2,75,81
3,0:58.0,M. Beasley makes 3-pt jump shot from 25 ft (assist by I. Thomas),,78,81
3,0:43.0,,D. Lillard makes 3-pt jump shot from 26 ft (assist by E. Turner),78,84
3,0:30.0,M. Beasley misses 3-pt jump shot from 24 ft,,78,84
3,0:26.0,Offensive rebound by T. Craig,,78,84
3,0:24.0,I. Thomas makes 3-pt jump shot from 25 ft (assist by T. Craig),,81,84
3,0:01.0,,Shooting foul by M. Beasley (drawn by D. Lillard),81,84
3,0:01.0,,D. Lillard makes free throw 1 of 2,81,85
3,0:01.0,,D. Lillard makes free throw 2 of 2,81,86
4,11:45.0,,R. Hood makes 2-pt jump shot from 19 ft,81,88
4,11:23.0,T. Craig makes 3-pt jump shot from 29 ft (assist by I. Thomas),,84,88
4,10:59.0,,Turnover by R. Hood (bad pass; steal by J. Hernangómez),84,88
4,10:56.0,I. Thomas misses 3-pt jump shot from 27 ft,,84,88
4,10:56.0,Offensive rebound by J. Vanderbilt,,84,88
4,10:52.0,Turnover by J. Vanderbilt (bad pass; steal by E. Turner),,84,88
4,10:45.0,,Turnover by S. Curry (bad pass; steal by J. Vanderbilt),84,88
4,10:41.0,M. Beasley misses 3-pt jump shot from 26 ft,,84,88
4,10:38.0,Offensive rebound by M. Beasley,,84,88
4,10:37.0,M. Beasley makes 2-pt jump shot from 15 ft,,86,88
4,10:15.0,,Shooting foul by T. Craig (drawn by E. Turner),86,88
4,10:15.0,,E. Turner makes free throw 1 of 2,86,89
4,10:15.0,,E. Turner makes free throw 2 of 2,86,90
4,10:09.0,M. Beasley makes 2-pt layup from 2 ft (assist by I. Thomas),,88,90
4,10:09.0,Shooting foul by E. Turner (drawn by M. Beasley),,88,90
4,10:09.0,M. Beasley misses free throw 1 of 1,,88,90
4,10:07.0,,Defensive rebound by E. Turner,88,90
4,10:00.0,,R. Hood makes 2-pt dunk from 1 ft (assist by E. Turner),88,92
4,9:50.0,I. Thomas misses 2-pt jump shot from 14 ft,,88,92
4,9:47.0,,Defensive rebound by J. Layman,88,92
4,9:39.0,,E. Turner misses 2-pt layup at rim,88,92
4,9:35.0,Defensive rebound by J. Hernangómez,,88,92
4,9:31.0,T. Craig makes 3-pt jump shot from 24 ft (assist by J. Hernangómez),,91,92
4,9:10.0,,R. Hood misses 3-pt jump shot from 25 ft,91,92
4,9:06.0,Defensive rebound by J. Hernangómez,,91,92
4,8:57.0,Turnover by J. Vanderbilt (off goaltending),,91,92
4,8:41.0,,S. Curry misses 3-pt jump shot from 27 ft,91,92
4,8:36.0,Defensive rebound by T. Craig,,91,92
4,8:34.0,Shooting foul by R. Hood (drawn by T. Craig),,91,92
4,8:34.0,T. Craig makes free throw 1 of 2,,92,92
4,8:34.0,M. Plumlee enters the game for J. Vanderbilt,,92,92
4,8:34.0,,E. Freedom enters the game for Z. Collins,92,92
4,8:34.0,T. Craig makes free throw 2 of 2,,93,92
4,8:24.0,,Shooting foul by J. Hernangómez (drawn by E. Turner),93,92
4,8:24.0,,E. Turner makes free throw 1 of 2,93,93
4,8:24.0,,D. Lillard enters the game for R. Hood,93,93
4,8:24.0,,E. Turner makes free throw 2 of 2,93,94
4,8:07.0,I. Thomas makes 2-pt layup from 1 ft (assist by M. Plumlee),,95,94
4,7:57.0,,Personal foul by I. Thomas (drawn by S. Curry),95,94
4,7:50.0,,D. Lillard misses 3-pt jump shot from 24 ft (block by T. Craig),95,94
4,7:47.0,Defensive rebound by M. Beasley,,95,94
4,7:43.0,,Violation by Team (kicked ball),95,94
4,7:38.0,I. Thomas misses 2-pt jump shot from 16 ft,,95,94
4,7:36.0,,Defensive rebound by E. Turner,95,94
4,7:30.0,,J. Layman makes 2-pt dunk from 2 ft (assist by E. Turner),95,96
4,7:11.0,M. Plumlee makes 2-pt hook shot from 5 ft (assist by M. Beasley),,97,96
4,6:53.0,,S. Curry misses 3-pt jump shot from 27 ft,97,96
4,6:50.0,Defensive rebound by T. Craig,,97,96
4,6:43.0,T. Craig misses 2-pt jump shot from 6 ft,,97,96
4,6:41.0,,Defensive rebound by E. Freedom,97,96
4,6:32.0,,D. Lillard makes 2-pt layup from 2 ft,97,98
4,6:32.0,Denver full timeout,,97,98
4,6:32.0,,A. Aminu enters the game for J. Layman,97,98
4,6:32.0,,C. McCollum enters the game for E. Turner,97,98
4,6:21.0,J. Hernangómez makes 2-pt dunk from 1 ft (assist by M. Plumlee),,99,98
4,6:02.0,,Turnover by E. Freedom (out of bounds lost ball),99,98
4,5:52.0,Personal foul by E. Freedom (drawn by M. Plumlee),,99,98
4,5:48.0,M. Beasley makes 2-pt jump shot from 13 ft (assist by M. Plumlee),,101,98
4,5:20.0,,D. Lillard misses 2-pt jump shot from 9 ft,101,98
4,5:19.0,Defensive rebound by M. Plumlee,,101,98
4,5:14.0,J. Hernangómez makes 3-pt jump shot from 24 ft (assist by T. Craig),,104,98
4,5:14.0,,Portland full timeout,104,98
4,5:14.0,,R. Hood enters the game for S. Curry,104,98
4,4:51.0,,E. Freedom misses 2-pt layup from 2 ft (block by M. Plumlee),104,98
4,4:47.0,Defensive rebound by M. Plumlee,,104,98
4,4:33.0,Shooting foul by E. Freedom (drawn by M. Beasley),,104,98
4,4:33.0,M. Beasley misses free throw 1 of 2,,104,98
4,4:33.0,Offensive rebound by Team,,104,98
4,4:33.0,M. Beasley makes free throw 2 of 2,,105,98
