QUARTER,TIME_REMAINING,DALLAS_ACTION,SACRAMENTO_ACTION,DALLAS_SCORE,SACRAMENTO_SCORE
1,3:29.0,Offensive rebound by D. Powell,,19,19
1,3:21.0,L. Dončić misses 2-pt layup from 3 ft,,19,19
1,3:16.0,,Defensive rebound by M. Bagley,19,19
1,3:01.0,,Turnover by H. Barnes (bad pass),19,19
1,3:01.0,T. Burke enters the game for L. Dončić,,19,19
1,3:01.0,,B. Bogdanović enters the game for B. Hield,19,19
1,2:49.0,J. Jackson misses 3-pt jump shot from 25 ft,,19,19
1,2:46.0,,Defensive rebound by H. Giles,19,19
1,2:40.0,,Shooting foul by D. Powell (drawn by M. Bagley),19,19
1,2:40.0,,M. Bagley makes free throw 1 of 2,19,20
1,2:40.0,,C. Brewer enters the game for H. Barnes,19,20
1,2:40.0,,Y. Ferrell enters the game for D. Fox,19,20
1,2:40.0,,M. Bagley makes free throw 2 of 2,19,21
1,2:29.0,T. Burke misses 2-pt layup from 6 ft,,19,21
1,2:27.0,,Defensive rebound by M. Bagley,19,21
1,2:22.0,,Turnover by Y. Ferrell (bad pass),19,21
1,2:10.0,J. Jackson makes 3-pt jump shot from 23 ft (assist by D. Harris),,22,21
1,2:08.0,,Sacramento full timeout,22,21
1,1:54.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,22,21
1,1:49.0,,Offensive rebound by M. Bagley,22,21
1,1:47.0,,M. Bagley makes 2-pt dunk from 1 ft,22,23
1,1:32.0,D. Powell makes 3-pt jump shot from 25 ft (assist by T. Burke),,25,23
1,1:22.0,,Personal foul by D. Powell (drawn by H. Giles),25,23
1,1:22.0,M. Kleber enters the game for D. Powell,,25,23
1,1:17.0,,Shooting foul by T. Burke (drawn by Y. Ferrell),25,23
1,1:17.0,,Y. Ferrell makes free throw 1 of 2,25,24
1,1:17.0,,Y. Ferrell makes free throw 2 of 2,25,25
1,1:03.0,M. Kleber misses 2-pt layup from 5 ft (block by M. Bagley),,25,25
1,1:00.0,,Defensive rebound by C. Brewer,25,25
1,1:00.0,,Turnover by H. Giles (step out of bounds),25,25
1,0:46.0,J. Jackson misses 2-pt jump shot from 9 ft,,25,25
1,0:44.0,,Defensive rebound by B. Bogdanović,25,25
1,0:40.0,,M. Bagley misses 2-pt hook shot from 5 ft,25,25
1,0:36.0,Defensive rebound by M. Kleber,,25,25
1,0:34.0,J. Jackson makes 2-pt dunk from 2 ft (assist by T. Burke),,27,25
1,0:17.0,,Shooting foul by D. Harris (drawn by Y. Ferrell),27,25
1,0:17.0,,Y. Ferrell makes free throw 1 of 2,27,26
1,0:17.0,,Y. Ferrell makes free throw 2 of 2,27,27
1,0:01.0,T. Burke makes 2-pt jump shot from 21 ft,,29,27
1,0:00.0,,Y. Ferrell misses 3-pt jump shot from 44 ft,29,27
1,0:00.0,,Offensive rebound by Team,29,27
2,11:35.0,D. Finney-Smith misses 2-pt layup from 3 ft,,29,27
2,11:31.0,,Defensive rebound by H. Giles,29,27
2,11:15.0,,B. Bogdanović misses 2-pt jump shot from 17 ft,29,27
2,11:11.0,Defensive rebound by D. Nowitzki,,29,27
2,11:04.0,D. Harris misses 2-pt layup from 2 ft,,29,27
2,11:01.0,,Defensive rebound by Y. Ferrell,29,27
2,10:58.0,,Shooting foul by D. Nowitzki (drawn by C. Brewer),29,27
2,10:58.0,,C. Brewer makes free throw 1 of 2,29,28
2,10:58.0,,C. Brewer makes free throw 2 of 2,29,29
2,10:45.0,Personal foul by C. Brewer (drawn by D. Powell),,29,29
2,10:36.0,T. Burke makes 3-pt jump shot from 26 ft,,32,29
2,10:26.0,,Personal foul by D. Harris (drawn by B. Bogdanović),32,29
2,10:13.0,,M. Bagley makes 2-pt layup from 2 ft,32,31
2,9:57.0,Personal foul by B. Bogdanović (drawn by D. Nowitzki),,32,31
2,9:49.0,D. Powell makes 2-pt layup from 2 ft (assist by D. Harris),,34,31
2,9:33.0,,M. Bagley misses 2-pt jump shot from 15 ft,34,31
2,9:30.0,,Offensive rebound by Team,34,31
2,9:30.0,,W. Cauley-Stein enters the game for H. Giles,34,31
2,9:16.0,,M. Bagley misses 2-pt hook shot from 4 ft,34,31
2,9:13.0,Defensive rebound by D. Harris,,34,31
2,9:05.0,D. Finney-Smith misses 3-pt jump shot from 23 ft,,34,31
2,9:02.0,,Defensive rebound by Y. Ferrell,34,31
2,8:53.0,,Y. Ferrell makes 3-pt jump shot from 25 ft,34,34
2,8:31.0,T. Burke misses 2-pt layup from 1 ft,,34,34
2,8:29.0,,Defensive rebound by M. Bagley,34,34
2,8:25.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,34,34
2,8:21.0,Defensive rebound by D. Nowitzki,,34,34
2,8:13.0,D. Nowitzki misses 2-pt jump shot from 17 ft,,34,34
2,8:09.0,Offensive rebound by D. Powell,,34,34
2,8:08.0,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by D. Powell),,37,34
2,8:06.0,,Sacramento full timeout,37,34
2,8:06.0,M. Kleber enters the game for D. Powell,,37,34
2,7:51.0,,Y. Ferrell misses 3-pt jump shot from 26 ft,37,34
2,7:48.0,Defensive rebound by D. Finney-Smith,,37,34
2,7:33.0,Shooting foul by C. Brewer (drawn by D. Finney-Smith),,37,34
2,7:33.0,D. Finney-Smith makes free throw 1 of 2,,38,34
2,7:33.0,D. Finney-Smith makes free throw 2 of 2,,39,34
2,7:20.0,,C. Brewer misses 3-pt jump shot from 25 ft,39,34
2,7:17.0,Defensive rebound by D. Finney-Smith,,39,34
2,7:10.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,,39,34
2,7:05.0,,Defensive rebound by M. Bagley,39,34
2,7:05.0,J. Brunson enters the game for T. Burke,,39,34
2,7:05.0,L. Dončić enters the game for D. Harris,,39,34
2,7:05.0,S. Mejri enters the game for D. Nowitzki,,39,34
2,7:05.0,,D. Fox enters the game for C. Brewer,39,34
2,7:05.0,,B. Hield enters the game for Y. Ferrell,39,34
2,6:51.0,,M. Bagley misses 3-pt jump shot from 23 ft,39,34
2,6:48.0,Defensive rebound by L. Dončić,,39,34
2,6:43.0,L. Dončić makes 3-pt jump shot from 26 ft,,42,34
2,6:27.0,,M. Bagley misses 2-pt hook shot from 8 ft,42,34
2,6:21.0,,Offensive rebound by W. Cauley-Stein,42,34
2,6:21.0,,W. Cauley-Stein makes 2-pt layup at rim,42,36
2,6:12.0,L. Dončić misses 3-pt jump shot from 25 ft,,42,36
2,6:10.0,,Defensive rebound by D. Fox,42,36
2,6:09.0,,B. Bogdanović makes 2-pt dunk from 1 ft (assist by D. Fox),42,38
2,6:08.0,Dallas full timeout,,42,38
2,5:45.0,J. Brunson misses 2-pt layup from 2 ft (block by D. Fox),,42,38
2,5:42.0,,Defensive rebound by M. Bagley,42,38
2,5:38.0,,M. Bagley misses 2-pt layup from 2 ft (block by S. Mejri),42,38
2,5:36.0,,Offensive rebound by W. Cauley-Stein,42,38
2,5:36.0,Violation by Team (kicked ball),,42,38
2,5:36.0,J. Jackson enters the game for D. Finney-Smith,,42,38
2,5:24.0,,B. Bogdanović misses 2-pt layup at rim,42,38
2,5:24.0,,Offensive rebound by B. Bogdanović,42,38
2,5:24.0,,B. Bogdanović misses 2-pt layup at rim,42,38
2,5:24.0,Defensive rebound by S. Mejri,,42,38
2,5:24.0,,H. Barnes enters the game for M. Bagley,42,38
2,5:24.0,,N. Bjelica enters the game for B. Bogdanović,42,38
2,5:18.0,Turnover by S. Mejri (lost ball; steal by W. Cauley-Stein),,42,38
2,5:15.0,,H. Barnes misses 3-pt jump shot from 23 ft,42,38
2,5:13.0,,Offensive rebound by N. Bjelica,42,38
2,5:09.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by W. Cauley-Stein),42,41
2,4:56.0,S. Mejri makes 2-pt jump shot from 5 ft (assist by L. Dončić),,44,41
2,4:40.0,,B. Hield misses 3-pt jump shot from 25 ft,44,41
2,4:38.0,Defensive rebound by L. Dončić,,44,41
2,4:31.0,L. Dončić misses 3-pt jump shot from 25 ft,,44,41
2,4:29.0,,Defensive rebound by N. Bjelica,44,41
2,4:25.0,Violation by Team (kicked ball),,44,41
2,4:11.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),44,43
2,4:09.0,,Technical foul by W. Cauley-Stein,44,43
2,4:09.0,J. Jackson misses technical free throw,,44,43
2,4:09.0,Offensive rebound by Team,,44,43
2,3:41.0,L. Dončić misses 3-pt jump shot from 29 ft,,44,43
2,3:37.0,Offensive rebound by S. Mejri,,44,43
2,3:36.0,S. Mejri misses 2-pt layup from 2 ft,,44,43
2,3:36.0,,Defensive rebound by N. Bjelica,44,43
2,3:36.0,,Personal foul by M. Kleber (drawn by D. Fox),44,43
2,3:36.0,D. Powell enters the game for S. Mejri,,44,43
2,3:30.0,,D. Fox makes 2-pt jump shot from 18 ft,44,45
2,3:02.0,M. Kleber misses 3-pt jump shot from 23 ft,,44,45
2,2:58.0,,Defensive rebound by W. Cauley-Stein,44,45
2,2:54.0,,B. Hield misses 3-pt jump shot from 24 ft,44,45
2,2:52.0,Defensive rebound by L. Dončić,,44,45
2,2:48.0,L. Dončić misses 2-pt layup from 3 ft (block by D. Fox),,44,45
2,2:48.0,Offensive rebound by Team,,44,45
2,2:42.0,Shooting foul by W. Cauley-Stein (drawn by L. Dončić),,44,45
2,2:42.0,L. Dončić makes free throw 1 of 2,,45,45
2,2:42.0,,M. Bagley enters the game for W. Cauley-Stein,45,45
2,2:42.0,L. Dončić misses free throw 2 of 2,,45,45
2,2:37.0,,Defensive rebound by H. Barnes,45,45
2,2:31.0,,B. Hield misses 3-pt jump shot from 26 ft,45,45
2,2:28.0,Defensive rebound by L. Dončić,,45,45
2,2:23.0,J. Brunson misses 3-pt jump shot from 23 ft,,45,45
2,2:19.0,Offensive rebound by J. Brunson,,45,45
2,2:17.0,J. Brunson makes 2-pt layup from 2 ft,,47,45
2,1:52.0,,B. Hield makes 2-pt jump shot from 21 ft,47,47
2,1:40.0,,Loose ball foul by H. Barnes (drawn by D. Powell),47,47
2,1:40.0,D. Powell makes free throw 1 of 2,,48,47
2,1:40.0,D. Powell makes free throw 2 of 2,,49,47
2,1:28.0,,D. Fox misses 3-pt jump shot from 25 ft,49,47
2,1:25.0,,Offensive rebound by N. Bjelica,49,47
2,1:23.0,,Turnover by N. Bjelica (lost ball; steal by D. Powell),49,47
2,1:18.0,L. Dončić misses 2-pt layup from 3 ft,,49,47
2,1:15.0,,Defensive rebound by D. Fox,49,47
2,1:14.0,,H. Barnes makes 2-pt dunk from 1 ft (assist by B. Hield),49,49
2,1:02.0,Turnover by L. Dončić (bad pass; steal by D. Fox),,49,49
2,0:59.0,,D. Fox makes 2-pt dunk from 2 ft,49,51
2,0:59.0,Dallas full timeout,,49,51
2,0:48.0,Shooting foul by D. Fox (drawn by D. Powell),,49,51
2,0:48.0,D. Powell makes free throw 1 of 2,,50,51
2,0:48.0,D. Powell makes free throw 2 of 2,,51,51
2,0:29.0,,M. Bagley misses 2-pt hook shot from 7 ft,51,51
2,0:24.0,,Offensive rebound by N. Bjelica,51,51
2,0:24.0,,N. Bjelica makes 2-pt layup at rim,51,53
2,0:03.0,Turnover by Team (shot clock),,51,53
2,0:00.0,,Turnover by D. Fox (bad pass; steal by M. Kleber),51,53
3,11:47.0,J. Jackson makes 2-pt jump shot from 16 ft (assist by D. Powell),,53,53
3,11:32.0,,H. Barnes makes 2-pt jump shot from 3 ft (assist by N. Bjelica),53,55
3,11:15.0,L. Dončić misses 3-pt jump shot from 25 ft,,53,55
3,11:12.0,,Defensive rebound by W. Cauley-Stein,53,55
3,11:05.0,,D. Fox makes 2-pt dunk from 1 ft,53,57
3,10:46.0,J. Jackson misses 2-pt jump shot from 16 ft,,53,57
3,10:42.0,,Defensive rebound by W. Cauley-Stein,53,57
3,10:34.0,,B. Hield misses 2-pt layup from 4 ft,53,57
3,10:32.0,Defensive rebound by J. Jackson,,53,57
3,10:30.0,Personal foul by N. Bjelica (drawn by L. Dončić),,53,57
3,10:14.0,J. Jackson misses 3-pt jump shot from 24 ft,,53,57
3,10:10.0,Offensive rebound by L. Dončić,,53,57
3,10:08.0,L. Dončić misses 2-pt jump shot from 4 ft,,53,57
3,10:06.0,,Defensive rebound by N. Bjelica,53,57
3,10:04.0,,H. Barnes makes 2-pt jump shot from 10 ft (assist by D. Fox),53,59
3,10:04.0,,Shooting foul by J. Brunson (drawn by H. Barnes),53,59
3,10:04.0,,H. Barnes makes free throw 1 of 1,53,60
3,9:44.0,M. Kleber makes 3-pt jump shot from 22 ft (assist by D. Powell),,56,60
3,9:32.0,,D. Fox misses 3-pt jump shot from 25 ft,56,60
3,9:30.0,Defensive rebound by L. Dončić,,56,60
3,9:17.0,J. Brunson misses 2-pt layup from 3 ft,,56,60
3,9:14.0,,Defensive rebound by H. Barnes,56,60
3,9:10.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by H. Barnes),56,62
3,9:10.0,Dallas full timeout,,56,62
3,8:55.0,M. Kleber misses 3-pt jump shot from 23 ft,,56,62
3,8:52.0,,Defensive rebound by N. Bjelica,56,62
3,8:38.0,,H. Barnes misses 2-pt jump shot from 3 ft (block by D. Powell),56,62
3,8:35.0,Defensive rebound by M. Kleber,,56,62
3,8:13.0,L. Dončić misses 2-pt layup from 4 ft (block by N. Bjelica),,56,62
3,8:10.0,,Defensive rebound by W. Cauley-Stein,56,62
3,8:06.0,,B. Hield makes 3-pt jump shot from 26 ft (assist by N. Bjelica),56,65
3,7:48.0,Turnover by J. Brunson (lost ball; steal by N. Bjelica),,56,65
3,7:45.0,,H. Barnes makes 2-pt layup from 2 ft (assist by D. Fox),56,67
3,7:45.0,,Shooting foul by L. Dončić (drawn by H. Barnes),56,67
3,7:45.0,,H. Barnes makes free throw 1 of 1,56,68
3,7:45.0,D. Harris enters the game for L. Dončić,,56,68
3,7:24.0,J. Jackson misses 3-pt jump shot from 26 ft,,56,68
3,7:20.0,,Defensive rebound by B. Hield,56,68
3,7:10.0,,B. Hield makes 3-pt jump shot from 23 ft,56,71
3,7:09.0,Dallas full timeout,,56,71
3,7:09.0,T. Burke enters the game for J. Brunson,,56,71
3,6:46.0,T. Burke misses 3-pt jump shot from 25 ft,,56,71
3,6:41.0,,Defensive rebound by W. Cauley-Stein,56,71
3,6:25.0,,Turnover by H. Barnes (out of bounds lost ball),56,71
3,6:25.0,R. Broekhoff enters the game for D. Powell,,56,71
3,6:02.0,Shooting foul by N. Bjelica (drawn by D. Harris),,56,71
3,6:02.0,D. Harris makes free throw 1 of 3,,57,71
3,6:02.0,D. Harris makes free throw 2 of 3,,58,71
3,6:02.0,D. Harris makes free throw 3 of 3,,59,71
3,6:02.0,,B. Bogdanović enters the game for N. Bjelica,59,71
3,5:44.0,,B. Hield makes 2-pt layup from 1 ft (assist by D. Fox),59,73
3,5:25.0,J. Jackson makes 2-pt jump shot from 8 ft (assist by T. Burke),,61,73
3,5:19.0,,Personal foul by T. Burke (drawn by D. Fox),61,73
3,5:11.0,,B. Hield misses 3-pt jump shot from 25 ft,61,73
3,5:06.0,Defensive rebound by D. Harris,,61,73
3,5:02.0,J. Jackson makes 2-pt layup from 4 ft (assist by T. Burke),,63,73
3,4:42.0,,Shooting foul by D. Harris (drawn by H. Barnes),63,73
3,4:42.0,,H. Barnes makes free throw 1 of 2,63,74
3,4:42.0,,M. Bagley enters the game for B. Hield,63,74
3,4:42.0,,H. Barnes misses free throw 2 of 2,63,74
3,4:39.0,Defensive rebound by J. Jackson,,63,74
3,4:24.0,R. Broekhoff misses 3-pt jump shot from 26 ft,,63,74
3,4:20.0,,Defensive rebound by W. Cauley-Stein,63,74
3,4:13.0,,W. Cauley-Stein misses 2-pt layup from 4 ft (block by M. Kleber),63,74
3,4:09.0,Defensive rebound by T. Burke,,63,74
3,4:07.0,T. Burke makes 2-pt layup from 2 ft,,65,74
3,4:07.0,,Sacramento full timeout,65,74
3,3:45.0,,Turnover by M. Bagley (lost ball; steal by D. Harris),65,74
3,3:30.0,T. Burke makes 2-pt layup from 2 ft,,67,74
3,3:24.0,,B. Bogdanović makes 2-pt jump shot from 22 ft (assist by D. Fox),67,76
3,3:07.0,T. Burke misses 2-pt layup from 3 ft (block by M. Bagley),,67,76
3,3:06.0,Offensive rebound by Team,,67,76
3,3:06.0,,Y. Ferrell enters the game for D. Fox,67,76
3,2:58.0,D. Harris misses 3-pt jump shot from 23 ft,,67,76
3,2:54.0,,Defensive rebound by M. Bagley,67,76
3,2:41.0,,Personal foul by M. Kleber (drawn by M. Bagley),67,76
3,2:41.0,,M. Bagley misses free throw 1 of 2,67,76
3,2:41.0,,Offensive rebound by Team,67,76
3,2:41.0,D. Nowitzki enters the game for J. Jackson,,67,76
3,2:41.0,D. Powell enters the game for M. Kleber,,67,76
3,2:41.0,,M. Bagley misses free throw 2 of 2,67,76
3,2:37.0,Defensive rebound by D. Powell,,67,76
3,2:23.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,67,76
3,2:18.0,,Defensive rebound by H. Barnes,67,76
3,2:10.0,,W. Cauley-Stein makes 2-pt layup from 2 ft,67,78
3,1:51.0,D. Harris makes 3-pt jump shot from 26 ft,,70,78
3,1:34.0,,W. Cauley-Stein misses 2-pt jump shot from 15 ft,70,78
3,1:29.0,Defensive rebound by R. Broekhoff,,70,78
3,1:24.0,T. Burke misses 2-pt jump shot from 3 ft (block by M. Bagley),,70,78
3,1:21.0,,Defensive rebound by W. Cauley-Stein,70,78
3,1:18.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by Y. Ferrell),70,81
3,0:57.0,R. Broekhoff makes 3-pt jump shot from 26 ft (assist by D. Powell),,73,81
3,0:41.0,,M. Bagley makes 3-pt jump shot from 25 ft (assist by Y. Ferrell),73,84
3,0:29.0,T. Burke misses 2-pt layup from 4 ft,,73,84
3,0:26.0,,Defensive rebound by W. Cauley-Stein,73,84
3,0:21.0,,Turnover by Y. Ferrell (bad pass; steal by D. Nowitzki),73,84
3,0:03.0,R. Broekhoff makes 3-pt jump shot from 23 ft (assist by D. Nowitzki),,76,84
3,0:00.0,,Y. Ferrell misses 3-pt jump shot from 44 ft,76,84
3,0:00.0,,Offensive rebound by Team,76,84
4,11:44.0,,M. Bagley makes 2-pt layup from 2 ft (assist by B. Bogdanović),76,86
4,11:44.0,,Shooting foul by D. Nowitzki (drawn by M. Bagley),76,86
4,11:44.0,D. Finney-Smith enters the game for D. Nowitzki,,76,86
4,11:44.0,,M. Bagley makes free throw 1 of 1,76,87
4,11:33.0,R. Broekhoff makes 3-pt jump shot from 23 ft (assist by D. Harris),,79,87
4,11:14.0,,Offensive foul by B. Bogdanović (drawn by D. Harris),79,87
4,11:14.0,,Turnover by B. Bogdanović (offensive foul),79,87
4,10:55.0,Turnover by T. Burke (bad pass; steal by B. Bogdanović),,79,87
4,10:55.0,,Personal take foul by R. Broekhoff (drawn by B. Bogdanović),79,87
4,10:55.0,J. Brunson enters the game for T. Burke,,79,87
4,10:44.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,79,87
4,10:40.0,Defensive rebound by J. Brunson,,79,87
4,10:38.0,Shooting foul by B. Bogdanović (drawn by D. Harris),,79,87
4,10:38.0,D. Harris makes free throw 1 of 2,,80,87
4,10:38.0,D. Harris makes free throw 2 of 2,,81,87
4,10:27.0,,Y. Ferrell makes 2-pt layup from 2 ft,81,89
4,10:08.0,D. Finney-Smith misses 2-pt layup from 2 ft,,81,89
4,10:05.0,,Defensive rebound by Y. Ferrell,81,89
4,10:04.0,,Personal take foul by D. Harris (drawn by B. Hield),81,89
4,9:56.0,,Y. Ferrell misses 2-pt layup from 2 ft,81,89
4,9:52.0,,Offensive rebound by M. Bagley,81,89
4,9:51.0,,M. Bagley makes 2-pt dunk from 2 ft,81,91
4,9:32.0,Shooting foul by Y. Ferrell (drawn by J. Brunson),,81,91
4,9:32.0,J. Brunson misses free throw 1 of 2,,81,91
4,9:32.0,Offensive rebound by Team,,81,91
4,9:32.0,J. Brunson misses free throw 2 of 2,,81,91
4,9:29.0,Offensive rebound by Team,,81,91
4,9:20.0,Shooting foul by M. Bagley (drawn by D. Powell),,81,91
4,9:20.0,D. Powell misses free throw 1 of 2,,81,91
4,9:20.0,Offensive rebound by Team,,81,91
4,9:20.0,,D. Fox enters the game for Y. Ferrell,81,91
4,9:20.0,D. Powell makes free throw 2 of 2,,82,91
4,9:10.0,,Offensive foul by B. Bogdanović (drawn by D. Powell),82,91
4,9:10.0,,Turnover by B. Bogdanović (offensive foul),82,91
4,8:56.0,D. Powell misses 2-pt layup from 3 ft (block by M. Bagley),,82,91
4,8:52.0,,Defensive rebound by N. Bjelica,82,91
4,8:44.0,,Sacramento full timeout,82,91
4,8:44.0,L. Dončić enters the game for D. Harris,,82,91
4,8:44.0,M. Kleber enters the game for D. Powell,,82,91
4,8:42.0,,B. Hield makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),82,94
4,8:25.0,J. Brunson makes 2-pt jump shot from 10 ft (assist by L. Dončić),,84,94
4,8:08.0,,M. Bagley makes 3-pt jump shot from 26 ft (assist by D. Fox),84,97
4,7:53.0,J. Brunson misses 3-pt jump shot from 25 ft,,84,97
4,7:45.0,Offensive rebound by M. Kleber,,84,97
4,7:45.0,M. Kleber makes 2-pt layup at rim,,86,97
4,7:40.0,,Shooting foul by J. Brunson (drawn by D. Fox),86,97
4,7:40.0,,D. Fox makes free throw 1 of 2,86,98
4,7:40.0,J. Jackson enters the game for D. Finney-Smith,,86,98
4,7:40.0,,D. Fox misses free throw 2 of 2,86,98
4,7:37.0,Defensive rebound by M. Kleber,,86,98
4,7:28.0,L. Dončić misses 3-pt jump shot from 25 ft,,86,98
4,7:24.0,Offensive rebound by M. Kleber,,86,98
4,7:22.0,J. Jackson makes 2-pt jump shot from 10 ft (assist by M. Kleber),,88,98
4,6:58.0,,Shooting foul by M. Kleber (drawn by B. Hield),88,98
4,6:58.0,,B. Hield makes free throw 1 of 2,88,99
4,6:58.0,,H. Barnes enters the game for B. Bogdanović,88,99
4,6:58.0,,B. Hield makes free throw 2 of 2,88,100
4,6:39.0,J. Brunson misses 2-pt layup from 6 ft (block by D. Fox),,88,100
4,6:36.0,Offensive rebound by J. Brunson,,88,100
4,6:34.0,R. Broekhoff makes 3-pt jump shot from 25 ft (assist by M. Kleber),,91,100
4,6:29.0,,D. Fox misses 2-pt layup from 2 ft,91,100
4,6:29.0,,Offensive rebound by N. Bjelica,91,100
4,6:28.0,,Shooting foul by M. Kleber (drawn by N. Bjelica),91,100
4,6:28.0,,N. Bjelica makes free throw 1 of 2,91,101
4,6:28.0,,W. Cauley-Stein enters the game for M. Bagley,91,101
4,6:28.0,,N. Bjelica makes free throw 2 of 2,91,102
4,6:16.0,L. Dončić misses 3-pt jump shot from 26 ft,,91,102
