QUARTER,TIME_REMAINING,CHICAGO_ACTION,TORONTO_ACTION,CHICAGO_SCORE,TORONTO_SCORE
1,7:22.0,W. Carter makes free throw 2 of 2,,8,6
1,7:08.0,,Turnover by K. Leonard (bad pass; steal by J. Holiday),8,6
1,7:05.0,J. Holiday makes 2-pt dunk from 1 ft,,10,6
1,6:48.0,,S. Ibaka misses 3-pt jump shot from 26 ft,10,6
1,6:46.0,,Offensive rebound by D. Green,10,6
1,6:35.0,,S. Ibaka misses 2-pt hook shot from 10 ft,10,6
1,6:32.0,Defensive rebound by W. Carter,,10,6
1,6:21.0,K. Dunn makes 2-pt jump shot from 6 ft,,12,6
1,6:01.0,,S. Ibaka misses 2-pt hook shot from 4 ft,12,6
1,5:58.0,Defensive rebound by L. Markkanen,,12,6
1,5:44.0,Turnover by L. Markkanen (bad pass; steal by D. Green),,12,6
1,5:34.0,,P. Siakam misses 2-pt hook shot from 5 ft,12,6
1,5:32.0,Defensive rebound by J. Holiday,,12,6
1,5:19.0,K. Dunn misses 2-pt jump shot from 16 ft,,12,6
1,5:16.0,,Defensive rebound by F. VanVleet,12,6
1,5:10.0,,K. Leonard misses 2-pt jump shot from 11 ft,12,6
1,5:07.0,Defensive rebound by L. Markkanen,,12,6
1,5:01.0,Turnover by J. Holiday (bad pass; steal by F. VanVleet),,12,6
1,4:55.0,,K. Leonard makes 2-pt jump shot from 13 ft (assist by F. VanVleet),12,8
1,4:37.0,W. Carter misses 2-pt jump shot from 18 ft,,12,8
1,4:35.0,,Defensive rebound by D. Green,12,8
1,4:25.0,,S. Ibaka misses 3-pt jump shot from 26 ft,12,8
1,4:22.0,,Offensive rebound by S. Ibaka,12,8
1,4:21.0,,Turnover by S. Ibaka (bad pass),12,8
1,4:21.0,C. Hutchison enters the game for L. Markkanen,,12,8
1,4:21.0,,O. Anunoby enters the game for D. Green,12,8
1,4:21.0,,G. Monroe enters the game for S. Ibaka,12,8
1,4:21.0,,N. Powell enters the game for P. Siakam,12,8
1,4:07.0,K. Dunn misses 2-pt layup from 2 ft (block by G. Monroe),,12,8
1,4:07.0,Offensive rebound by Team,,12,8
1,4:00.0,Z. LaVine misses 2-pt layup from 2 ft,,12,8
1,3:59.0,,Defensive rebound by Team,12,8
1,3:44.0,,K. Leonard makes 2-pt jump shot from 6 ft,12,10
1,3:27.0,Personal foul by F. VanVleet (drawn by K. Dunn),,12,10
1,3:21.0,C. Hutchison makes 2-pt hook shot from 6 ft (assist by K. Dunn),,14,10
1,3:07.0,,Turnover by F. VanVleet (bad pass; steal by J. Holiday),14,10
1,2:49.0,Z. LaVine misses 2-pt layup from 2 ft,,14,10
1,2:46.0,,Defensive rebound by K. Leonard,14,10
1,2:41.0,,N. Powell misses 3-pt jump shot from 23 ft,14,10
1,2:39.0,Defensive rebound by C. Hutchison,,14,10
1,2:22.0,C. Hutchison makes 2-pt layup from 1 ft (assist by Z. LaVine),,16,10
1,2:22.0,,Toronto full timeout,16,10
1,2:22.0,R. Arcidiacono enters the game for K. Dunn,,16,10
1,2:22.0,S. Harrison enters the game for Z. LaVine,,16,10
1,2:22.0,,D. Green enters the game for K. Leonard,16,10
1,2:22.0,,D. Wright enters the game for F. VanVleet,16,10
1,2:05.0,,G. Monroe misses 2-pt hook shot from 2 ft,16,10
1,2:03.0,Defensive rebound by C. Hutchison,,16,10
1,1:53.0,J. Holiday misses 3-pt jump shot from 27 ft,,16,10
1,1:50.0,,Defensive rebound by N. Powell,16,10
1,1:30.0,,D. Green makes 2-pt jump shot from 11 ft,16,12
1,1:11.0,J. Holiday makes 2-pt jump shot from 19 ft,,18,12
1,0:47.0,,D. Wright misses 2-pt jump shot from 3 ft,18,12
1,0:45.0,Defensive rebound by S. Harrison,,18,12
1,0:32.0,Turnover by W. Carter (out of bounds lost ball),,18,12
1,0:32.0,L. Markkanen enters the game for J. Holiday,,18,12
1,0:25.0,,D. Wright makes 2-pt jump shot from 3 ft,18,14
1,0:00.0,L. Markkanen makes 2-pt jump shot from 17 ft,,20,14
2,11:45.0,C. Hutchison makes 2-pt layup from 1 ft (assist by R. Arcidiacono),,22,14
2,11:24.0,,O. Anunoby misses 2-pt hook shot from 4 ft,22,14
2,11:22.0,Defensive rebound by S. Harrison,,22,14
2,11:04.0,R. Lopez misses 2-pt hook shot from 5 ft,,22,14
2,11:02.0,,Defensive rebound by G. Monroe,22,14
2,10:48.0,,N. Powell misses 3-pt jump shot from 26 ft,22,14
2,10:44.0,Defensive rebound by L. Markkanen,,22,14
2,10:28.0,Turnover by R. Lopez (traveling),,22,14
2,10:17.0,,D. Wright makes 2-pt layup from 1 ft,22,16
2,10:17.0,,Shooting foul by C. Hutchison (drawn by D. Wright),22,16
2,10:17.0,,D. Wright makes free throw 1 of 1,22,17
2,9:58.0,L. Markkanen makes 3-pt jump shot from 23 ft (assist by S. Harrison),,25,17
2,9:49.0,,D. Green makes 3-pt jump shot from 26 ft (assist by D. Wright),25,20
2,9:31.0,R. Lopez misses 2-pt jump shot from 18 ft,,25,20
2,9:30.0,,Defensive rebound by D. Green,25,20
2,9:20.0,,D. Wright misses 2-pt jump shot from 8 ft,25,20
2,9:16.0,Defensive rebound by R. Lopez,,25,20
2,8:55.0,L. Markkanen misses 2-pt jump shot from 18 ft,,25,20
2,8:53.0,,Defensive rebound by G. Monroe,25,20
2,8:50.0,,D. Green misses 3-pt jump shot from 25 ft,25,20
2,8:46.0,Defensive rebound by R. Lopez,,25,20
2,8:33.0,Turnover by L. Markkanen (traveling),,25,20
2,8:18.0,,O. Anunoby makes 3-pt jump shot from 27 ft (assist by D. Wright),25,23
2,8:17.0,Chicago full timeout,,25,23
2,8:01.0,L. Markkanen misses 2-pt jump shot from 12 ft,,25,23
2,7:57.0,Offensive rebound by R. Lopez,,25,23
2,7:55.0,Turnover by R. Lopez (bad pass; steal by N. Powell),,25,23
2,7:51.0,,N. Powell makes 2-pt layup at rim,25,25
2,7:35.0,Turnover by R. Arcidiacono (bad pass),,25,25
2,7:24.0,,D. Green misses 3-pt jump shot from 25 ft,25,25
2,7:21.0,Defensive rebound by S. Harrison,,25,25
2,7:04.0,Shooting foul by G. Monroe (drawn by S. Harrison),,25,25
2,7:04.0,S. Harrison makes free throw 1 of 2,,26,25
2,7:04.0,J. Holiday enters the game for R. Arcidiacono,,26,25
2,7:04.0,Z. LaVine enters the game for C. Hutchison,,26,25
2,7:04.0,,S. Ibaka enters the game for D. Green,26,25
2,7:04.0,,K. Leonard enters the game for G. Monroe,26,25
2,7:04.0,,F. VanVleet enters the game for D. Wright,26,25
2,7:04.0,S. Harrison misses free throw 2 of 2,,26,25
2,7:02.0,,Defensive rebound by K. Leonard,26,25
2,6:56.0,,K. Leonard makes 2-pt layup at rim,26,27
2,6:43.0,J. Holiday misses 2-pt layup from 5 ft,,26,27
2,6:40.0,Offensive rebound by J. Holiday,,26,27
2,6:36.0,S. Harrison makes 2-pt layup from 4 ft (assist by J. Holiday),,28,27
2,6:36.0,Shooting foul by S. Ibaka (drawn by S. Harrison),,28,27
2,6:36.0,,P. Siakam enters the game for O. Anunoby,28,27
2,6:36.0,S. Harrison misses free throw 1 of 1,,28,27
2,6:34.0,,Defensive rebound by P. Siakam,28,27
2,6:23.0,,F. VanVleet misses 3-pt jump shot from 25 ft,28,27
2,6:18.0,Defensive rebound by Z. LaVine,,28,27
2,6:07.0,L. Markkanen misses 3-pt jump shot from 25 ft,,28,27
2,6:04.0,,Defensive rebound by P. Siakam,28,27
2,5:58.0,,N. Powell makes 2-pt layup from 1 ft (assist by P. Siakam),28,29
2,5:35.0,Turnover by Z. LaVine (lost ball; steal by S. Ibaka),,28,29
2,5:30.0,,P. Siakam makes 2-pt layup from 1 ft (assist by F. VanVleet),28,31
2,5:24.0,Chicago full timeout,,28,31
2,5:24.0,W. Carter enters the game for S. Harrison,,28,31
2,5:24.0,K. Dunn enters the game for R. Lopez,,28,31
2,5:24.0,,C. Boucher enters the game for S. Ibaka,28,31
2,5:04.0,Turnover by Team (shot clock),,28,31
2,4:58.0,,P. Siakam misses 2-pt layup from 1 ft,28,31
2,4:56.0,Defensive rebound by K. Dunn,,28,31
2,4:53.0,Z. LaVine misses 2-pt layup from 3 ft (block by C. Boucher),,28,31
2,4:53.0,Offensive rebound by Team,,28,31
2,4:43.0,W. Carter makes 2-pt layup from 2 ft (assist by K. Dunn),,30,31
2,4:32.0,,N. Powell misses 2-pt jump shot from 3 ft,30,31
2,4:30.0,Defensive rebound by L. Markkanen,,30,31
2,4:17.0,J. Holiday misses 3-pt jump shot from 26 ft,,30,31
2,4:15.0,,Defensive rebound by K. Leonard,30,31
2,3:59.0,,F. VanVleet misses 3-pt jump shot from 25 ft,30,31
2,3:55.0,,Offensive rebound by P. Siakam,30,31
2,3:53.0,,F. VanVleet misses 3-pt jump shot from 26 ft,30,31
2,3:50.0,,Offensive rebound by C. Boucher,30,31
2,3:45.0,,C. Boucher makes 3-pt jump shot from 23 ft (assist by P. Siakam),30,34
2,3:27.0,Shooting foul by C. Boucher (drawn by K. Dunn),,30,34
2,3:27.0,K. Dunn makes free throw 1 of 2,,31,34
2,3:27.0,,L. Brown enters the game for N. Powell,31,34
2,3:27.0,K. Dunn makes free throw 2 of 2,,32,34
2,3:08.0,,F. VanVleet misses 2-pt layup from 1 ft,32,34
2,3:06.0,Defensive rebound by L. Markkanen,,32,34
2,2:51.0,Z. LaVine makes 2-pt hook shot from 1 ft,,34,34
2,2:51.0,Shooting foul by C. Boucher (drawn by Z. LaVine),,34,34
2,2:51.0,Z. LaVine makes free throw 1 of 1,,35,34
2,2:44.0,,F. VanVleet misses 3-pt jump shot from 25 ft,35,34
2,2:43.0,,Offensive rebound by F. VanVleet,35,34
2,2:37.0,,Shooting foul by L. Markkanen (drawn by P. Siakam),35,34
2,2:37.0,,P. Siakam misses free throw 1 of 2,35,34
2,2:37.0,,Offensive rebound by Team,35,34
2,2:37.0,,P. Siakam makes free throw 2 of 2,35,35
2,2:22.0,J. Holiday misses 3-pt jump shot from 26 ft,,35,35
2,2:20.0,,Defensive rebound by P. Siakam,35,35
2,2:14.0,,P. Siakam misses 2-pt layup from 4 ft,35,35
2,2:11.0,,Offensive rebound by P. Siakam,35,35
2,2:02.0,,P. Siakam makes 2-pt layup from 3 ft,35,37
2,1:48.0,Personal foul by P. Siakam (drawn by L. Markkanen),,35,37
2,1:48.0,L. Markkanen makes free throw 1 of 2,,36,37
2,1:48.0,R. Arcidiacono enters the game for J. Holiday,,36,37
2,1:48.0,L. Markkanen makes free throw 2 of 2,,37,37
2,1:41.0,,K. Leonard misses 3-pt jump shot from 28 ft,37,37
2,1:39.0,Defensive rebound by L. Markkanen,,37,37
2,1:23.0,Z. LaVine misses 2-pt layup from 1 ft,,37,37
2,1:21.0,,Defensive rebound by L. Brown,37,37
2,1:15.0,,K. Leonard misses 3-pt jump shot from 23 ft,37,37
2,1:12.0,Defensive rebound by Z. LaVine,,37,37
2,0:53.0,Z. LaVine misses 2-pt layup from 1 ft (block by C. Boucher),,37,37
2,0:51.0,,Defensive rebound by K. Leonard,37,37
2,0:47.0,,C. Boucher misses 3-pt jump shot from 27 ft,37,37
2,0:44.0,,Offensive rebound by K. Leonard,37,37
2,0:42.0,,K. Leonard makes 3-pt jump shot from 23 ft,37,40
2,0:34.0,Chicago full timeout,,37,40
2,0:34.0,J. Holiday enters the game for W. Carter,,37,40
2,0:25.0,K. Dunn makes 2-pt jump shot from 11 ft,,39,40
2,0:10.0,,Personal foul by Z. LaVine (drawn by K. Leonard),39,40
3,11:47.0,Z. LaVine makes 2-pt layup from 1 ft,,41,40
3,11:47.0,Violation by Team (delay of game),,41,40
3,11:37.0,,Personal foul by Z. LaVine (drawn by D. Green),41,40
3,11:29.0,,F. VanVleet misses 2-pt layup from 2 ft (block by K. Dunn),41,40
3,11:29.0,,Offensive rebound by Team,41,40
3,11:26.0,,D. Green misses 2-pt jump shot from 13 ft,41,40
3,11:24.0,Defensive rebound by J. Holiday,,41,40
3,11:04.0,J. Holiday makes 2-pt dunk at rim (assist by W. Carter),,43,40
3,10:50.0,,P. Siakam makes 2-pt layup from 2 ft (assist by F. VanVleet),43,42
3,10:29.0,K. Dunn makes 2-pt layup from 1 ft,,45,42
3,10:21.0,,Turnover by P. Siakam (lost ball),45,42
3,10:21.0,,Loose ball foul by P. Siakam (drawn by K. Dunn),45,42
3,10:02.0,Z. LaVine makes 2-pt jump shot from 19 ft,,47,42
3,9:48.0,,S. Ibaka makes 2-pt hook shot from 4 ft (assist by F. VanVleet),47,44
3,9:32.0,Personal foul by F. VanVleet (drawn by W. Carter),,47,44
3,9:19.0,L. Markkanen misses 2-pt jump shot from 11 ft,,47,44
3,9:17.0,,Defensive rebound by K. Leonard,47,44
3,9:10.0,,K. Leonard misses 2-pt layup from 2 ft,47,44
3,9:09.0,Defensive rebound by L. Markkanen,,47,44
3,8:58.0,K. Dunn makes 2-pt layup at rim,,49,44
3,8:40.0,,P. Siakam misses 2-pt layup from 3 ft,49,44
3,8:37.0,,Offensive rebound by P. Siakam,49,44
3,8:37.0,,P. Siakam makes 2-pt layup from 1 ft,49,46
3,8:19.0,Turnover by W. Carter (lost ball; steal by D. Green),,49,46
3,8:14.0,,Shooting foul by K. Dunn (drawn by K. Leonard),49,46
3,8:14.0,,K. Leonard misses free throw 1 of 2,49,46
3,8:14.0,,Offensive rebound by Team,49,46
3,8:14.0,,K. Leonard makes free throw 2 of 2,49,47
3,7:58.0,Z. LaVine misses 3-pt jump shot from 26 ft,,49,47
3,7:55.0,,Defensive rebound by S. Ibaka,49,47
3,7:46.0,,F. VanVleet misses 2-pt jump shot from 4 ft,49,47
3,7:45.0,Defensive rebound by W. Carter,,49,47
3,7:39.0,K. Dunn misses 2-pt jump shot from 5 ft,,49,47
3,7:34.0,,Defensive rebound by P. Siakam,49,47
3,7:26.0,,D. Green makes 3-pt jump shot from 23 ft (assist by F. VanVleet),49,50
3,7:08.0,L. Markkanen makes 3-pt jump shot from 24 ft (assist by K. Dunn),,52,50
3,6:57.0,,K. Leonard makes 2-pt jump shot from 1 ft (assist by F. VanVleet),52,52
3,6:57.0,,Shooting foul by J. Holiday (drawn by K. Leonard),52,52
3,6:57.0,,Toronto full timeout,52,52
3,6:57.0,R. Arcidiacono enters the game for K. Dunn,,52,52
3,6:57.0,,K. Leonard makes free throw 1 of 1,52,53
3,6:43.0,W. Carter misses 2-pt layup from 1 ft (block by D. Green),,52,53
3,6:41.0,Offensive rebound by W. Carter,,52,53
3,6:34.0,Z. LaVine misses 3-pt jump shot from 26 ft,,52,53
3,6:33.0,Offensive rebound by Team,,52,53
3,6:33.0,Turnover by Team (shot clock),,52,53
3,6:22.0,,Turnover by F. VanVleet (bad pass; steal by L. Markkanen),52,53
3,6:02.0,L. Markkanen misses 2-pt jump shot from 16 ft,,52,53
3,5:59.0,,Defensive rebound by F. VanVleet,52,53
3,5:53.0,,Turnover by S. Ibaka (traveling),52,53
3,5:53.0,R. Lopez enters the game for W. Carter,,52,53
3,5:38.0,Z. LaVine misses 2-pt jump shot from 20 ft,,52,53
3,5:35.0,,Defensive rebound by K. Leonard,52,53
3,5:27.0,,K. Leonard misses 2-pt jump shot from 14 ft,52,53
3,5:22.0,,Offensive rebound by S. Ibaka,52,53
3,5:21.0,,S. Ibaka makes 2-pt hook shot from 3 ft,52,55
3,5:10.0,L. Markkanen misses 2-pt layup from 4 ft,,52,55
3,5:08.0,,Defensive rebound by P. Siakam,52,55
3,5:07.0,,F. VanVleet makes 2-pt layup from 1 ft (assist by P. Siakam),52,57
3,5:07.0,Chicago full timeout,,52,57
3,5:07.0,K. Dunn enters the game for Z. LaVine,,52,57
3,5:07.0,C. Hutchison enters the game for L. Markkanen,,52,57
3,4:46.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by R. Arcidiacono),,55,57
3,4:24.0,,S. Ibaka makes 2-pt jump shot from 21 ft (assist by F. VanVleet),55,59
3,4:09.0,Turnover by K. Dunn (back court),,55,59
3,4:09.0,,O. Anunoby enters the game for D. Green,55,59
3,4:09.0,,N. Powell enters the game for P. Siakam,55,59
3,4:03.0,,K. Leonard misses 2-pt jump shot from 21 ft,55,59
3,4:00.0,Defensive rebound by K. Dunn,,55,59
3,3:54.0,K. Dunn makes 2-pt jump shot from 19 ft,,57,59
3,3:47.0,,Personal foul by J. Holiday (drawn by K. Leonard),57,59
3,3:31.0,,F. VanVleet makes 3-pt jump shot from 26 ft,57,62
3,3:31.0,,G. Monroe enters the game for S. Ibaka,57,62
3,3:05.0,R. Arcidiacono misses 3-pt jump shot from 26 ft,,57,62
3,3:03.0,,Defensive rebound by K. Leonard,57,62
3,2:57.0,,K. Leonard misses 2-pt layup from 2 ft,57,62
3,2:56.0,Defensive rebound by C. Hutchison,,57,62
3,2:53.0,Turnover by K. Dunn (back court),,57,62
3,2:44.0,,Shooting foul by R. Lopez (drawn by F. VanVleet),57,62
3,2:44.0,,F. VanVleet makes free throw 1 of 2,57,63
3,2:44.0,,P. Siakam enters the game for K. Leonard,57,63
3,2:44.0,,F. VanVleet makes free throw 2 of 2,57,64
3,2:31.0,C. Hutchison makes 2-pt layup from 1 ft,,59,64
3,2:22.0,,F. VanVleet misses 2-pt layup from 2 ft,59,64
3,2:20.0,Defensive rebound by R. Lopez,,59,64
3,2:10.0,K. Dunn misses 2-pt jump shot from 8 ft,,59,64
3,2:07.0,,Defensive rebound by G. Monroe,59,64
3,1:56.0,,Turnover by P. Siakam (bad pass; steal by R. Arcidiacono),59,64
3,1:39.0,R. Arcidiacono makes 3-pt jump shot from 25 ft (assist by K. Dunn),,62,64
3,1:36.0,,Toronto full timeout,62,64
3,1:36.0,S. Harrison enters the game for J. Holiday,,62,64
3,1:36.0,,D. Wright enters the game for F. VanVleet,62,64
3,1:18.0,,O. Anunoby misses 3-pt jump shot from 23 ft (block by K. Dunn),62,64
3,1:14.0,,Offensive rebound by O. Anunoby,62,64
3,1:13.0,,N. Powell misses 3-pt jump shot from 31 ft,62,64
3,1:10.0,,Offensive rebound by P. Siakam,62,64
3,1:08.0,,P. Siakam makes 2-pt layup from 1 ft,62,66
3,0:45.0,R. Lopez misses 2-pt hook shot from 10 ft,,62,66
3,0:43.0,,Defensive rebound by O. Anunoby,62,66
3,0:36.0,,O. Anunoby misses 2-pt jump shot from 8 ft,62,66
3,0:34.0,,Offensive rebound by O. Anunoby,62,66
3,0:34.0,,O. Anunoby makes 2-pt layup from 1 ft,62,68
3,0:14.0,C. Hutchison makes 3-pt jump shot from 26 ft (assist by K. Dunn),,65,68
3,0:00.0,,D. Wright misses 2-pt layup from 5 ft,65,68
3,0:00.0,,Offensive rebound by Team,65,68
4,11:44.0,,Turnover by P. Siakam (bad pass; steal by J. Holiday),65,68
4,11:33.0,L. Markkanen misses 3-pt jump shot from 26 ft,,65,68
4,11:30.0,,Defensive rebound by D. Wright,65,68
4,11:12.0,,D. Wright misses 3-pt jump shot from 24 ft,65,68
4,11:10.0,,Offensive rebound by G. Monroe,65,68
4,11:04.0,,G. Monroe misses 2-pt hook shot from 4 ft,65,68
4,11:04.0,,Offensive rebound by P. Siakam,65,68
4,11:00.0,,D. Wright makes 3-pt jump shot from 25 ft (assist by O. Anunoby),65,71
4,10:45.0,Turnover by L. Markkanen (offensive foul),,65,71
4,10:45.0,Offensive foul by L. Markkanen (drawn by N. Powell),,65,71
4,10:31.0,,N. Powell misses 2-pt layup from 2 ft,65,71
4,10:30.0,Defensive rebound by L. Markkanen,,65,71
4,10:18.0,R. Lopez misses 2-pt hook shot from 5 ft (block by G. Monroe),,65,71
4,10:16.0,,Defensive rebound by G. Monroe,65,71
4,10:12.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by O. Anunoby),65,74
4,10:10.0,Chicago full timeout,,65,74
4,10:10.0,W. Carter enters the game for R. Lopez,,65,74
4,9:51.0,S. Harrison misses 2-pt hook shot from 4 ft,,65,74
4,9:49.0,,Defensive rebound by G. Monroe,65,74
4,9:28.0,,N. Powell misses 3-pt jump shot from 34 ft,65,74
4,9:27.0,,Offensive rebound by Team,65,74
4,9:27.0,,Turnover by Team (shot clock),65,74
4,9:18.0,Personal foul by P. Siakam (drawn by W. Carter),,65,74
4,9:18.0,Z. LaVine enters the game for S. Harrison,,65,74
4,9:09.0,Turnover by W. Carter (traveling),,65,74
4,8:59.0,,N. Powell misses 3-pt jump shot from 26 ft,65,74
4,8:56.0,Defensive rebound by R. Arcidiacono,,65,74
4,8:41.0,W. Carter makes 2-pt hook shot from 7 ft,,67,74
4,8:25.0,,Toronto full timeout,67,74
4,8:25.0,,K. Leonard enters the game for P. Siakam,67,74
4,8:21.0,,K. Leonard misses 3-pt jump shot from 26 ft,67,74
4,8:19.0,Defensive rebound by R. Arcidiacono,,67,74
4,8:09.0,Z. LaVine misses 2-pt jump shot from 2 ft,,67,74
4,8:07.0,Offensive rebound by W. Carter,,67,74
4,8:07.0,W. Carter makes 2-pt dunk at rim,,69,74
4,7:52.0,,K. Leonard makes 2-pt hook shot from 3 ft,69,76
4,7:28.0,Z. LaVine misses 2-pt hook shot from 2 ft,,69,76
4,7:28.0,,Defensive rebound by Team,69,76
4,7:18.0,,O. Anunoby misses 3-pt jump shot from 26 ft,69,76
4,7:15.0,Defensive rebound by Z. LaVine,,69,76
4,7:02.0,W. Carter misses 2-pt hook shot from 2 ft,,69,76
4,7:00.0,Offensive rebound by R. Arcidiacono,,69,76
4,6:58.0,J. Holiday misses 3-pt jump shot from 26 ft,,69,76
4,6:55.0,,Defensive rebound by N. Powell,69,76
4,6:45.0,,K. Leonard misses 3-pt jump shot from 25 ft,69,76
4,6:43.0,Defensive rebound by W. Carter,,69,76
4,6:17.0,L. Markkanen makes 2-pt jump shot from 2 ft,,71,76
4,6:08.0,,D. Wright misses 2-pt layup from 2 ft,71,76
4,6:07.0,,Offensive rebound by G. Monroe,71,76
4,6:06.0,,G. Monroe misses 2-pt layup from 1 ft,71,76
4,6:06.0,Defensive rebound by W. Carter,,71,76
4,6:06.0,Personal foul by G. Monroe (drawn by W. Carter),,71,76
4,6:06.0,K. Dunn enters the game for R. Arcidiacono,,71,76
4,6:06.0,,D. Green enters the game for G. Monroe,71,76
4,6:06.0,,S. Ibaka enters the game for N. Powell,71,76
4,6:06.0,,F. VanVleet enters the game for D. Wright,71,76
4,5:45.0,K. Dunn misses 2-pt layup from 2 ft (block by S. Ibaka),,71,76
4,5:43.0,,Defensive rebound by S. Ibaka,71,76
4,5:36.0,,Shooting foul by K. Dunn (drawn by K. Leonard),71,76
4,5:36.0,,K. Leonard makes free throw 1 of 2,71,77
4,5:36.0,,K. Leonard makes free throw 2 of 2,71,78
4,5:19.0,Shooting foul by S. Ibaka (drawn by Z. LaVine),,71,78
4,5:19.0,Z. LaVine makes free throw 1 of 2,,72,78
4,5:19.0,,P. Siakam enters the game for O. Anunoby,72,78
4,5:19.0,Z. LaVine makes free throw 2 of 2,,73,78
4,5:05.0,,F. VanVleet makes 3-pt jump shot from 26 ft,73,81
4,4:43.0,Z. LaVine misses 2-pt jump shot from 16 ft,,73,81
4,4:41.0,Offensive rebound by Team,,73,81
4,4:31.0,Z. LaVine misses 2-pt jump shot from 3 ft (block by S. Ibaka),,73,81
4,4:28.0,,Defensive rebound by F. VanVleet,73,81
4,4:25.0,,K. Leonard misses 3-pt jump shot from 26 ft,73,81
4,4:22.0,Defensive rebound by K. Dunn,,73,81
4,4:14.0,K. Dunn misses 2-pt hook shot from 4 ft,,73,81
4,4:11.0,Offensive rebound by W. Carter,,73,81
4,4:11.0,Shooting foul by S. Ibaka (drawn by W. Carter),,73,81
4,4:11.0,W. Carter makes free throw 1 of 2,,74,81
4,4:11.0,W. Carter makes free throw 2 of 2,,75,81
4,3:57.0,,K. Leonard misses 2-pt jump shot from 13 ft,75,81
4,3:55.0,Defensive rebound by W. Carter,,75,81
4,3:42.0,K. Dunn misses 3-pt jump shot from 24 ft,,75,81
4,3:40.0,,Defensive rebound by S. Ibaka,75,81
4,3:27.0,,Personal foul by Z. LaVine (drawn by S. Ibaka),75,81
4,3:27.0,,Toronto full timeout,75,81
4,3:15.0,,D. Green misses 3-pt jump shot from 23 ft,75,81
4,3:14.0,Defensive rebound by Team,,75,81
4,3:05.0,K. Dunn makes 2-pt dunk at rim,,77,81
4,2:50.0,,Turnover by S. Ibaka (lost ball; steal by L. Markkanen),77,81
4,2:37.0,Turnover by J. Holiday (traveling),,77,81
4,2:21.0,,K. Leonard makes 2-pt layup from 2 ft,77,83
4,1:59.0,Shooting foul by D. Green (drawn by Z. LaVine),,77,83
4,1:59.0,Z. LaVine makes free throw 1 of 2,,78,83
4,1:59.0,Z. LaVine makes free throw 2 of 2,,79,83
4,1:37.0,,K. Leonard misses 2-pt jump shot from 13 ft,79,83
4,1:36.0,,Offensive rebound by S. Ibaka,79,83
4,1:36.0,,S. Ibaka makes 2-pt layup from 1 ft,79,85
4,1:21.0,L. Markkanen makes 3-pt jump shot from 27 ft (assist by K. Dunn),,82,85
4,1:12.0,,Shooting foul by K. Dunn (drawn by K. Leonard),82,85
4,1:12.0,,K. Leonard makes free throw 1 of 2,82,86
4,1:12.0,,K. Leonard makes free throw 2 of 2,82,87
4,0:55.0,K. Dunn misses 2-pt jump shot from 16 ft,,82,87
