QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DETROIT_ACTION,CHARLOTTE_SCORE,DETROIT_SCORE
1,5:13.0,,R. Jackson misses 3-pt jump shot from 24 ft,14,18
1,5:10.0,,Offensive rebound by A. Drummond,14,18
1,5:10.0,,A. Drummond makes 2-pt dunk at rim,14,20
1,4:54.0,F. Kaminsky misses 3-pt jump shot from 25 ft,,14,20
1,4:51.0,,Defensive rebound by A. Drummond,14,20
1,4:50.0,,Personal foul by F. Kaminsky (drawn by B. Griffin),14,20
1,4:50.0,J. Lamb enters the game for D. Bacon,,14,20
1,4:37.0,,B. Griffin misses 3-pt jump shot from 26 ft,14,20
1,4:34.0,Defensive rebound by K. Walker,,14,20
1,4:31.0,K. Walker makes 2-pt layup from 1 ft,,16,20
1,4:07.0,,R. Jackson misses 2-pt layup from 3 ft,16,20
1,4:06.0,Defensive rebound by K. Walker,,16,20
1,4:04.0,K. Walker makes 3-pt jump shot from 25 ft,,19,20
1,4:04.0,Shooting foul by W. Ellington (drawn by K. Walker),,19,20
1,4:04.0,M. Bridges enters the game for B. Biyombo,,19,20
1,4:04.0,,T. Maker enters the game for B. Griffin,19,20
1,4:04.0,,I. Smith enters the game for R. Jackson,19,20
1,4:04.0,K. Walker misses free throw 1 of 1,,19,20
1,3:59.0,,Defensive rebound by I. Smith,19,20
1,3:45.0,,I. Smith misses 2-pt jump shot from 17 ft,19,20
1,3:42.0,Defensive rebound by N. Batum,,19,20
1,3:24.0,Turnover by K. Walker (lost ball; steal by B. Brown),,19,20
1,3:19.0,,B. Brown misses 2-pt dunk at rim,19,20
1,3:17.0,Defensive rebound by J. Lamb,,19,20
1,3:08.0,F. Kaminsky makes 2-pt jump shot from 9 ft (assist by M. Bridges),,21,20
1,3:08.0,Shooting foul by I. Smith (drawn by F. Kaminsky),,21,20
1,3:08.0,F. Kaminsky makes free throw 1 of 1,,22,20
1,3:05.0,,Detroit full timeout,22,20
1,3:05.0,D. Graham enters the game for N. Batum,,22,20
1,3:05.0,,L. Galloway enters the game for B. Brown,22,20
1,3:05.0,,L. Kennard enters the game for W. Ellington,22,20
1,2:56.0,,I. Smith misses 2-pt jump shot from 4 ft,22,20
1,2:55.0,,Offensive rebound by A. Drummond,22,20
1,2:54.0,,A. Drummond misses 2-pt dunk from 1 ft,22,20
1,2:51.0,Defensive rebound by J. Lamb,,22,20
1,2:41.0,F. Kaminsky misses 3-pt jump shot from 26 ft,,22,20
1,2:39.0,Offensive rebound by Team,,22,20
1,2:35.0,J. Lamb makes 3-pt jump shot from 25 ft (assist by K. Walker),,25,20
1,2:35.0,Shooting foul by L. Kennard (drawn by J. Lamb),,25,20
1,2:35.0,J. Lamb makes free throw 1 of 1,,26,20
1,2:16.0,,I. Smith makes 2-pt jump shot from 6 ft (assist by L. Kennard),26,22
1,2:02.0,Personal foul by A. Drummond (drawn by K. Walker),,26,22
1,2:02.0,K. Walker makes free throw 1 of 2,,27,22
1,2:02.0,K. Walker makes free throw 2 of 2,,28,22
1,1:43.0,,I. Smith makes 2-pt jump shot from 11 ft,28,24
1,1:27.0,K. Walker misses 3-pt jump shot from 26 ft,,28,24
1,1:25.0,Offensive rebound by K. Walker,,28,24
1,1:20.0,F. Kaminsky makes 2-pt layup from 2 ft,,30,24
1,1:01.0,,I. Smith makes 2-pt jump shot from 10 ft,30,26
1,0:47.0,F. Kaminsky misses 2-pt jump shot from 6 ft,,30,26
1,0:46.0,,Defensive rebound by L. Kennard,30,26
1,0:38.0,,Shooting foul by M. Bridges (drawn by A. Drummond),30,26
1,0:38.0,,A. Drummond makes free throw 1 of 2,30,27
1,0:38.0,,A. Drummond misses free throw 2 of 2,30,27
1,0:35.0,Defensive rebound by M. Bridges,,30,27
1,0:31.0,K. Walker misses 2-pt layup from 3 ft (block by L. Galloway),,30,27
1,0:29.0,,Defensive rebound by T. Maker,30,27
1,0:23.0,,L. Galloway misses 2-pt layup from 5 ft,30,27
1,0:23.0,,Offensive rebound by A. Drummond,30,27
1,0:19.0,,A. Drummond misses 2-pt layup from 1 ft,30,27
1,0:19.0,Defensive rebound by D. Graham,,30,27
1,0:04.0,D. Graham makes 2-pt layup from 1 ft,,32,27
1,0:01.0,,I. Smith misses 2-pt jump shot from 15 ft,32,27
1,0:00.0,,Offensive rebound by Team,32,27
2,11:46.0,N. Batum misses 3-pt jump shot from 26 ft,,32,27
2,11:42.0,,Defensive rebound by T. Maker,32,27
2,11:20.0,,Turnover by L. Kennard (bad pass; steal by J. Lamb),32,27
2,11:17.0,M. Monk misses 3-pt jump shot from 26 ft,,32,27
2,11:12.0,Offensive rebound by Team,,32,27
2,11:12.0,,Loose ball foul by B. Griffin (drawn by M. Monk),32,27
2,11:08.0,Shooting foul by T. Maker (drawn by J. Lamb),,32,27
2,11:08.0,J. Lamb makes free throw 1 of 2,,33,27
2,11:08.0,J. Lamb misses free throw 2 of 2,,33,27
2,11:06.0,,Defensive rebound by I. Smith,33,27
2,10:55.0,,L. Kennard misses 2-pt jump shot from 17 ft,33,27
2,10:52.0,Defensive rebound by F. Kaminsky,,33,27
2,10:45.0,D. Graham misses 2-pt jump shot from 14 ft,,33,27
2,10:42.0,,Defensive rebound by T. Maker,33,27
2,10:37.0,,I. Smith makes 2-pt layup from 1 ft,33,29
2,10:18.0,F. Kaminsky makes 2-pt hook shot from 8 ft,,35,29
2,10:08.0,,L. Galloway misses 3-pt jump shot from 25 ft,35,29
2,10:01.0,,Offensive rebound by T. Maker,35,29
2,10:01.0,,T. Maker misses 2-pt layup from 1 ft,35,29
2,10:00.0,Defensive rebound by D. Graham,,35,29
2,9:50.0,J. Lamb makes 2-pt layup from 1 ft (assist by F. Kaminsky),,37,29
2,9:41.0,,B. Griffin makes 3-pt jump shot from 26 ft (assist by I. Smith),37,32
2,9:23.0,Shooting foul by T. Maker (drawn by F. Kaminsky),,37,32
2,9:23.0,F. Kaminsky makes free throw 1 of 2,,38,32
2,9:23.0,F. Kaminsky makes free throw 2 of 2,,39,32
2,9:07.0,,Personal foul by N. Batum (drawn by B. Griffin),39,32
2,9:07.0,B. Biyombo enters the game for F. Kaminsky,,39,32
2,8:55.0,,Offensive foul by B. Griffin (drawn by B. Biyombo),39,32
2,8:55.0,,Turnover by B. Griffin (offensive foul),39,32
2,8:41.0,J. Lamb misses 2-pt dunk from 1 ft,,39,32
2,8:39.0,,Defensive rebound by L. Kennard,39,32
2,8:32.0,,I. Smith makes 2-pt layup from 2 ft (assist by L. Kennard),39,34
2,8:10.0,B. Biyombo misses 2-pt layup from 4 ft (block by T. Maker),,39,34
2,8:10.0,Offensive rebound by Team,,39,34
2,8:09.0,Turnover by B. Biyombo (traveling),,39,34
2,7:57.0,,L. Galloway misses 3-pt jump shot from 23 ft,39,34
2,7:55.0,Defensive rebound by N. Batum,,39,34
2,7:47.0,J. Lamb makes 2-pt jump shot from 8 ft (assist by N. Batum),,41,34
2,7:47.0,K. Walker enters the game for J. Lamb,,41,34
2,7:47.0,,W. Ellington enters the game for L. Galloway,41,34
2,7:34.0,,Def 3 sec tech foul by Team,41,34
2,7:34.0,,W. Ellington makes technical free throw,41,35
2,7:34.0,D. Bacon enters the game for D. Graham,,41,35
2,7:25.0,,L. Kennard misses 3-pt jump shot from 25 ft,41,35
2,7:21.0,Defensive rebound by B. Biyombo,,41,35
2,7:07.0,Shooting foul by W. Ellington (drawn by B. Biyombo),,41,35
2,7:07.0,B. Biyombo makes free throw 1 of 2,,42,35
2,7:07.0,B. Biyombo makes free throw 2 of 2,,43,35
2,6:50.0,,W. Ellington misses 3-pt jump shot from 26 ft,43,35
2,6:49.0,Defensive rebound by Team,,43,35
2,6:49.0,,Detroit full timeout,43,35
2,6:49.0,,A. Drummond enters the game for B. Griffin,43,35
2,6:49.0,,R. Jackson enters the game for L. Kennard,43,35
2,6:29.0,K. Walker makes 3-pt jump shot from 23 ft,,46,35
2,6:15.0,,I. Smith misses 2-pt jump shot from 16 ft,46,35
2,6:12.0,Defensive rebound by N. Batum,,46,35
2,6:00.0,K. Walker makes 2-pt layup from 2 ft,,48,35
2,5:47.0,,W. Ellington misses 3-pt jump shot from 23 ft,48,35
2,5:45.0,Defensive rebound by B. Biyombo,,48,35
2,5:31.0,Shooting foul by A. Drummond (drawn by B. Biyombo),,48,35
2,5:31.0,Offensive rebound by Team,,48,35
2,5:31.0,B. Biyombo misses free throw 1 of 2,,48,35
2,5:31.0,M. Bridges enters the game for N. Batum,,48,35
2,5:31.0,B. Biyombo misses free throw 2 of 2,,48,35
2,5:29.0,,Defensive rebound by A. Drummond,48,35
2,5:15.0,,R. Jackson misses 2-pt jump shot from 7 ft,48,35
2,5:12.0,,Offensive rebound by A. Drummond,48,35
2,5:12.0,,A. Drummond makes 2-pt dunk from 1 ft,48,37
2,4:53.0,B. Biyombo makes 2-pt hook shot from 4 ft (assist by M. Bridges),,50,37
2,4:52.0,Violation by Team (delay of game),,50,37
2,4:39.0,,R. Jackson misses 3-pt jump shot from 25 ft,50,37
2,4:34.0,Defensive rebound by M. Monk,,50,37
2,4:24.0,K. Walker makes 2-pt jump shot from 16 ft,,52,37
2,4:05.0,,Turnover by W. Ellington (bad pass; steal by M. Monk),52,37
2,3:57.0,D. Bacon makes 2-pt dunk from 1 ft (assist by M. Bridges),,54,37
2,3:51.0,,Detroit full timeout,54,37
2,3:51.0,,B. Brown enters the game for T. Maker,54,37
2,3:51.0,,B. Griffin enters the game for I. Smith,54,37
2,3:43.0,,Personal foul by D. Bacon (drawn by B. Griffin),54,37
2,3:33.0,,Turnover by B. Griffin (bad pass),54,37
2,3:23.0,K. Walker misses 3-pt jump shot from 26 ft,,54,37
2,3:21.0,,Defensive rebound by W. Ellington,54,37
2,3:09.0,,B. Griffin misses 3-pt jump shot from 24 ft,54,37
2,3:05.0,Defensive rebound by M. Monk,,54,37
2,2:55.0,D. Bacon misses 2-pt layup from 2 ft (block by A. Drummond),,54,37
2,2:55.0,Offensive rebound by Team,,54,37
2,2:55.0,Charlotte full timeout,,54,37
2,2:55.0,F. Kaminsky enters the game for B. Biyombo,,54,37
2,2:55.0,J. Lamb enters the game for M. Monk,,54,37
2,2:46.0,F. Kaminsky misses 3-pt jump shot from 25 ft,,54,37
2,2:43.0,,Defensive rebound by R. Jackson,54,37
2,2:32.0,,A. Drummond misses 2-pt layup from 2 ft,54,37
2,2:30.0,Defensive rebound by F. Kaminsky,,54,37
2,2:26.0,Shooting foul by B. Brown (drawn by K. Walker),,54,37
2,2:26.0,K. Walker makes free throw 1 of 2,,55,37
2,2:26.0,K. Walker makes free throw 2 of 2,,56,37
2,2:23.0,,Personal foul by D. Bacon (drawn by R. Jackson),56,37
2,2:08.0,,B. Griffin misses 2-pt jump shot from 13 ft (block by M. Bridges),56,37
2,2:06.0,Defensive rebound by F. Kaminsky,,56,37
2,2:04.0,D. Bacon makes 2-pt layup from 2 ft (assist by F. Kaminsky),,58,37
2,1:57.0,,Turnover by B. Griffin (bad pass; steal by J. Lamb),58,37
2,1:40.0,M. Bridges makes 2-pt layup from 1 ft (assist by K. Walker),,60,37
2,1:17.0,,W. Ellington makes 3-pt jump shot from 26 ft,60,40
2,0:51.0,Offensive rebound by Team,,60,40
2,0:52.0,F. Kaminsky misses 2-pt jump shot from 10 ft,,60,40
2,0:51.0,Turnover by Team (shot clock),,60,40
2,0:33.0,,Shooting foul by F. Kaminsky (drawn by B. Griffin),60,40
2,0:33.0,,B. Griffin makes free throw 1 of 3,60,41
2,0:33.0,,B. Griffin misses free throw 2 of 3,60,41
2,0:33.0,,Offensive rebound by Team,60,41
2,0:33.0,,B. Griffin makes free throw 3 of 3,60,42
2,0:33.0,,T. Maker enters the game for A. Drummond,60,42
2,0:14.0,K. Walker misses 3-pt jump shot from 26 ft,,60,42
2,0:11.0,Offensive rebound by Team,,60,42
2,0:11.0,M. Monk enters the game for M. Bridges,,60,42
2,0:00.0,K. Walker misses 2-pt jump shot from 15 ft,,60,42
2,0:00.0,Offensive rebound by Team,,60,42
3,11:40.0,Turnover by N. Batum (lost ball; steal by W. Ellington),,60,42
3,11:32.0,,W. Ellington makes 2-pt layup from 4 ft (assist by B. Brown),60,44
3,11:07.0,D. Bacon makes 3-pt jump shot from 26 ft (assist by B. Biyombo),,63,44
3,10:43.0,,B. Brown makes 2-pt layup from 2 ft (assist by W. Ellington),63,46
3,10:19.0,D. Bacon misses 3-pt jump shot from 28 ft,,63,46
3,10:16.0,,Defensive rebound by A. Drummond,63,46
3,10:05.0,,Shooting foul by N. Batum (drawn by A. Drummond),63,46
3,10:05.0,,A. Drummond makes free throw 1 of 2,63,47
3,10:05.0,,A. Drummond makes free throw 2 of 2,63,48
3,9:55.0,K. Walker misses 3-pt jump shot from 25 ft,,63,48
3,9:52.0,,Defensive rebound by A. Drummond,63,48
3,9:48.0,,Personal foul by B. Biyombo (drawn by A. Drummond),63,48
3,9:37.0,,A. Drummond makes 2-pt jump shot from 9 ft (assist by B. Griffin),63,50
3,9:22.0,Personal foul by B. Brown (drawn by K. Walker),,63,50
3,9:17.0,K. Walker misses 3-pt jump shot from 27 ft,,63,50
3,9:13.0,Offensive rebound by B. Biyombo,,63,50
3,9:10.0,K. Walker makes 2-pt jump shot from 15 ft (assist by B. Biyombo),,65,50
3,8:55.0,,R. Jackson makes 2-pt jump shot from 6 ft,65,52
3,8:55.0,,Shooting foul by N. Batum (drawn by R. Jackson),65,52
3,8:55.0,,R. Jackson makes free throw 1 of 1,65,53
3,8:37.0,K. Walker misses 2-pt jump shot from 6 ft (block by A. Drummond),,65,53
3,8:33.0,Offensive rebound by M. Bridges,,65,53
3,8:32.0,M. Bridges makes 2-pt layup from 2 ft,,67,53
3,8:22.0,,R. Jackson misses 2-pt jump shot from 18 ft,67,53
3,8:19.0,Defensive rebound by B. Biyombo,,67,53
3,8:12.0,D. Bacon misses 2-pt jump shot from 13 ft,,67,53
3,8:10.0,Offensive rebound by B. Biyombo,,67,53
3,7:58.0,K. Walker misses 2-pt layup from 3 ft,,67,53
3,7:57.0,,Defensive rebound by A. Drummond,67,53
3,7:52.0,,Shooting foul by D. Bacon (drawn by B. Brown),67,53
3,7:52.0,,B. Brown makes free throw 1 of 2,67,54
3,7:52.0,,B. Brown makes free throw 2 of 2,67,55
3,7:38.0,M. Bridges misses 2-pt layup from 5 ft (block by A. Drummond),,67,55
3,7:35.0,,Defensive rebound by W. Ellington,67,55
3,7:34.0,,B. Brown misses 2-pt layup from 2 ft,67,55
3,7:33.0,,Offensive rebound by A. Drummond,67,55
3,7:33.0,,A. Drummond misses 2-pt layup from 1 ft,67,55
3,7:32.0,,Offensive rebound by A. Drummond,67,55
3,7:32.0,,A. Drummond misses 2-pt layup at rim,67,55
3,7:31.0,Defensive rebound by N. Batum,,67,55
3,7:22.0,M. Bridges makes 3-pt jump shot from 24 ft (assist by K. Walker),,70,55
3,7:09.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by B. Griffin),70,58
3,6:49.0,D. Bacon misses 2-pt jump shot from 8 ft,,70,58
3,6:47.0,Offensive rebound by B. Biyombo,,70,58
3,6:47.0,B. Biyombo misses 2-pt layup from 6 ft (block by R. Jackson),,70,58
3,6:45.0,Offensive rebound by Team,,70,58
3,6:45.0,,Detroit full timeout,70,58
3,6:45.0,F. Kaminsky enters the game for D. Bacon,,70,58
3,6:45.0,J. Lamb enters the game for B. Biyombo,,70,58
3,6:36.0,J. Lamb misses 3-pt jump shot from 28 ft,,70,58
3,6:34.0,,Defensive rebound by B. Griffin,70,58
3,6:18.0,,W. Ellington misses 3-pt jump shot from 28 ft,70,58
3,6:15.0,Defensive rebound by K. Walker,,70,58
3,5:55.0,K. Walker makes 2-pt jump shot from 15 ft,,72,58
3,5:32.0,,B. Griffin misses 3-pt jump shot from 24 ft,72,58
3,5:30.0,Defensive rebound by K. Walker,,72,58
3,5:22.0,K. Walker misses 2-pt jump shot from 18 ft,,72,58
3,5:20.0,,Defensive rebound by A. Drummond,72,58
3,5:12.0,,R. Jackson misses 2-pt layup from 3 ft (block by F. Kaminsky),72,58
3,5:08.0,,Offensive rebound by R. Jackson,72,58
3,5:01.0,,B. Griffin misses 3-pt jump shot from 30 ft,72,58
3,4:57.0,,Offensive rebound by B. Brown,72,58
3,4:50.0,,B. Griffin makes 2-pt layup from 1 ft,72,60
3,4:49.0,Charlotte full timeout,,72,60
3,4:49.0,D. Bacon enters the game for N. Batum,,72,60
3,4:49.0,,I. Smith enters the game for R. Jackson,72,60
3,4:39.0,F. Kaminsky makes 2-pt layup from 2 ft (assist by K. Walker),,74,60
3,4:17.0,,Shooting foul by K. Walker (drawn by B. Griffin),74,60
3,4:17.0,,B. Griffin makes free throw 1 of 2,74,61
3,4:17.0,,B. Griffin makes free throw 2 of 2,74,62
3,3:56.0,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by J. Lamb),,77,62
3,3:36.0,,Personal foul by D. Bacon (drawn by W. Ellington),77,62
3,3:36.0,,W. Ellington makes free throw 1 of 2,77,63
3,3:36.0,D. Graham enters the game for D. Bacon,,77,63
3,3:36.0,,W. Ellington makes free throw 2 of 2,77,64
3,3:13.0,F. Kaminsky misses 3-pt jump shot from 26 ft,,77,64
3,3:10.0,Offensive rebound by J. Lamb,,77,64
3,3:09.0,J. Lamb makes 2-pt jump shot from 12 ft,,79,64
3,3:09.0,Shooting foul by B. Brown (drawn by J. Lamb),,79,64
3,3:09.0,J. Lamb misses free throw 1 of 1,,79,64
3,3:06.0,,Defensive rebound by W. Ellington,79,64
3,2:50.0,,I. Smith makes 3-pt jump shot from 23 ft (assist by W. Ellington),79,67
3,2:27.0,K. Walker makes 2-pt layup from 2 ft,,81,67
3,2:19.0,,B. Brown makes 2-pt layup from 2 ft (assist by I. Smith),81,69
3,1:57.0,F. Kaminsky makes 2-pt jump shot from 6 ft (assist by J. Lamb),,83,69
3,1:33.0,,B. Griffin misses 2-pt layup from 3 ft,83,69
3,1:30.0,,Offensive rebound by B. Griffin,83,69
3,1:30.0,,B. Griffin makes 2-pt layup at rim,83,71
3,1:17.0,J. Lamb misses 2-pt jump shot from 5 ft,,83,71
3,1:14.0,,Defensive rebound by B. Brown,83,71
3,1:08.0,,B. Griffin misses 3-pt jump shot from 25 ft,83,71
3,1:05.0,Defensive rebound by Team,,83,71
3,1:05.0,N. Batum enters the game for M. Bridges,,83,71
3,1:05.0,,L. Galloway enters the game for B. Brown,83,71
3,1:05.0,,T. Maker enters the game for B. Griffin,83,71
3,0:56.0,K. Walker misses 2-pt layup from 3 ft,,83,71
3,0:55.0,,Defensive rebound by A. Drummond,83,71
3,0:47.0,,I. Smith makes 2-pt jump shot from 3 ft,83,73
3,0:36.0,Personal foul by I. Smith (drawn by D. Graham),,83,73
3,0:24.0,K. Walker misses 2-pt jump shot from 7 ft,,83,73
3,0:22.0,,Defensive rebound by A. Drummond,83,73
3,0:04.0,,I. Smith makes 2-pt layup from 4 ft,83,75
3,0:04.0,Turnover by N. Batum (bad pass; steal by L. Galloway),,83,75
3,0:01.0,,L. Galloway misses 3-pt jump shot from 26 ft,83,75
3,0:00.0,,Offensive rebound by Team,83,75
4,11:47.0,,T. Maker misses 3-pt jump shot from 24 ft,83,75
4,11:44.0,,Offensive rebound by L. Galloway,83,75
4,11:40.0,,T. Maker misses 2-pt layup from 8 ft,83,75
4,11:37.0,Defensive rebound by F. Kaminsky,,83,75
4,11:37.0,Turnover by F. Kaminsky (out of bounds lost ball),,83,75
4,11:37.0,B. Biyombo enters the game for F. Kaminsky,,83,75
4,11:30.0,,I. Smith misses 2-pt jump shot from 16 ft,83,75
4,11:28.0,Defensive rebound by J. Lamb,,83,75
4,11:16.0,B. Biyombo misses 2-pt layup from 4 ft (block by T. Maker),,83,75
4,11:13.0,,Defensive rebound by A. Drummond,83,75
4,11:08.0,,T. Maker misses 3-pt jump shot from 23 ft,83,75
4,11:05.0,Defensive rebound by B. Biyombo,,83,75
4,10:50.0,M. Bridges misses 3-pt jump shot from 26 ft,,83,75
4,10:46.0,,Defensive rebound by L. Kennard,83,75
4,10:42.0,,L. Kennard makes 3-pt jump shot from 26 ft (assist by I. Smith),83,78
4,10:16.0,D. Graham misses 2-pt layup from 3 ft,,83,78
4,10:14.0,,Defensive rebound by T. Maker,83,78
4,10:03.0,,L. Galloway misses 3-pt jump shot from 25 ft,83,78
4,10:00.0,Defensive rebound by J. Lamb,,83,78
4,9:40.0,D. Graham misses 3-pt jump shot from 26 ft,,83,78
4,9:37.0,,Defensive rebound by Team,83,78
4,9:21.0,,I. Smith misses 3-pt jump shot from 24 ft,83,78
4,9:17.0,,Offensive rebound by T. Maker,83,78
4,9:16.0,,L. Kennard makes 2-pt jump shot from 14 ft,83,80
4,9:13.0,Charlotte full timeout,,83,80
4,9:13.0,N. Batum enters the game for B. Biyombo,,83,80
4,9:13.0,F. Kaminsky enters the game for M. Bridges,,83,80
4,9:13.0,K. Walker enters the game for J. Lamb,,83,80
4,8:51.0,F. Kaminsky misses 2-pt hook shot from 8 ft,,83,80
4,8:50.0,,Defensive rebound by I. Smith,83,80
4,8:47.0,,L. Galloway makes 2-pt layup from 2 ft (assist by I. Smith),83,82
4,8:21.0,F. Kaminsky makes 2-pt hook shot from 8 ft,,85,82
4,8:05.0,,T. Maker misses 3-pt jump shot from 23 ft,85,82
4,8:02.0,,Offensive rebound by A. Drummond,85,82
4,8:01.0,,T. Maker makes 2-pt dunk from 1 ft (assist by A. Drummond),85,84
4,7:38.0,F. Kaminsky misses 2-pt jump shot from 6 ft,,85,84
4,7:34.0,,Defensive rebound by I. Smith,85,84
4,7:23.0,,T. Maker misses 3-pt jump shot from 26 ft,85,84
4,7:20.0,Defensive rebound by Team,,85,84
4,7:06.0,K. Walker misses 2-pt layup from 2 ft,,85,84
4,7:05.0,,Defensive rebound by A. Drummond,85,84
4,7:00.0,,L. Kennard misses 3-pt jump shot from 26 ft,85,84
4,6:55.0,,Offensive rebound by L. Kennard,85,84
4,6:45.0,,Turnover by T. Maker (bad pass),85,84
4,6:45.0,D. Bacon enters the game for N. Batum,,85,84
4,6:30.0,D. Bacon misses 3-pt jump shot from 23 ft,,85,84
4,6:26.0,,Defensive rebound by A. Drummond,85,84
4,6:13.0,,A. Drummond misses 2-pt layup from 4 ft,85,84
4,6:12.0,Defensive rebound by M. Monk,,85,84
4,5:56.0,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by K. Walker),,88,84
4,5:54.0,,Detroit full timeout,88,84
4,5:54.0,M. Bridges enters the game for D. Graham,,88,84
4,5:54.0,J. Lamb enters the game for M. Monk,,88,84
4,5:54.0,,B. Griffin enters the game for T. Maker,88,84
4,5:34.0,,L. Galloway misses 3-pt jump shot from 28 ft,88,84
4,5:32.0,Defensive rebound by J. Lamb,,88,84
4,5:20.0,K. Walker misses 2-pt jump shot from 13 ft,,88,84
4,5:16.0,,Defensive rebound by L. Kennard,88,84
4,5:04.0,,L. Kennard makes 2-pt jump shot from 19 ft (assist by B. Griffin),88,86
4,4:39.0,J. Lamb makes 2-pt jump shot from 17 ft (assist by M. Bridges),,90,86
4,4:12.0,,I. Smith misses 2-pt layup from 6 ft,90,86
4,4:11.0,Defensive rebound by D. Bacon,,90,86
4,3:57.0,Shooting foul by A. Drummond (drawn by J. Lamb),,90,86
4,3:57.0,J. Lamb makes free throw 1 of 2,,91,86
4,3:57.0,J. Lamb makes free throw 2 of 2,,92,86
4,3:57.0,,W. Ellington enters the game for L. Galloway,92,86
4,3:44.0,,B. Griffin misses 2-pt layup from 5 ft (block by M. Bridges),92,86
4,3:43.0,,Offensive rebound by A. Drummond,92,86
4,3:42.0,,A. Drummond makes 2-pt layup from 1 ft,92,88
4,3:42.0,Violation by Team (def goaltending),,92,88
4,3:29.0,K. Walker makes 3-pt jump shot from 25 ft (assist by D. Bacon),,95,88
4,3:09.0,,B. Griffin misses 3-pt jump shot from 25 ft,95,88
4,3:09.0,Defensive rebound by M. Bridges,,95,88
4,2:52.0,K. Walker misses 3-pt jump shot from 26 ft,,95,88
4,2:48.0,,Defensive rebound by A. Drummond,95,88
4,2:35.0,,Turnover by L. Kennard (bad pass),95,88
