QUARTER,TIME_REMAINING,PHOENIX_ACTION,GOLDEN STATE_ACTION,PHOENIX_SCORE,GOLDEN STATE_SCORE
1,1:13.0,D. Booker enters the game for T. Johnson,,14,29
1,1:13.0,,Q. Cook enters the game for S. Curry,14,29
1,0:49.0,D. Booker makes 2-pt jump shot from 16 ft,,16,29
1,0:31.0,,A. Iguodala misses 3-pt jump shot from 27 ft,16,29
1,0:29.0,Defensive rebound by M. Bridges,,16,29
1,0:05.0,Turnover by Team (shot clock),,16,29
1,0:01.0,,K. Durant misses 3-pt jump shot from 26 ft,16,29
1,0:00.0,,Offensive rebound by Team,16,29
2,11:40.0,R. Holmes makes 2-pt hook shot from 7 ft (assist by D. Booker),,18,29
2,11:40.0,Shooting foul by A. Iguodala (drawn by R. Holmes),,18,29
2,11:40.0,R. Holmes makes free throw 1 of 1,,19,29
2,11:25.0,,Turnover by K. Thompson (bad pass; steal by D. Booker),19,29
2,11:24.0,Personal foul by K. Thompson (drawn by D. Booker),,19,29
2,11:11.0,Shooting foul by D. Cousins (drawn by J. Jackson),,19,29
2,11:11.0,J. Jackson makes free throw 1 of 2,,20,29
2,11:11.0,J. Jackson misses free throw 2 of 2,,20,29
2,11:09.0,,Defensive rebound by D. Green,20,29
2,10:50.0,,K. Thompson misses 3-pt jump shot from 23 ft,20,29
2,10:48.0,Defensive rebound by R. Holmes,,20,29
2,10:39.0,R. Holmes makes 2-pt dunk from 2 ft (assist by D. Booker),,22,29
2,10:25.0,,K. Thompson misses 2-pt layup from 6 ft (block by J. Jackson),22,29
2,10:24.0,,Offensive rebound by K. Thompson,22,29
2,10:23.0,,Turnover by K. Thompson (bad pass; steal by M. Bridges),22,29
2,10:19.0,D. Booker misses 3-pt jump shot from 32 ft,,22,29
2,10:17.0,,Defensive rebound by S. Livingston,22,29
2,10:07.0,,D. Green misses 3-pt jump shot from 26 ft,22,29
2,10:05.0,Defensive rebound by J. Jackson,,22,29
2,10:00.0,J. Jackson misses 2-pt layup from 5 ft (block by D. Green),,22,29
2,9:58.0,,Defensive rebound by D. Green,22,29
2,9:53.0,,A. Iguodala makes 2-pt dunk from 1 ft (assist by K. Thompson),22,31
2,9:33.0,D. Booker makes 2-pt layup from 11 ft,,24,31
2,9:17.0,,D. Cousins makes 2-pt layup from 3 ft (assist by K. Thompson),24,33
2,9:08.0,Personal foul by D. Green (drawn by D. Booker),,24,33
2,9:08.0,D. Ayton enters the game for R. Holmes,,24,33
2,9:00.0,,Violation by Team (kicked ball),24,33
2,8:49.0,D. Booker makes 3-pt jump shot from 26 ft,,27,33
2,8:41.0,,Personal foul by D. Ayton (drawn by D. Cousins),27,33
2,8:41.0,,Golden State full timeout,27,33
2,8:27.0,,A. Iguodala makes 2-pt dunk from 2 ft (assist by D. Cousins),27,35
2,8:13.0,M. Bridges makes 2-pt layup from 1 ft (assist by D. Booker),,29,35
2,8:00.0,,K. Thompson misses 3-pt jump shot from 27 ft,29,35
2,7:58.0,Defensive rebound by D. Ayton,,29,35
2,7:51.0,Turnover by D. Booker (lost ball; steal by K. Thompson),,29,35
2,7:28.0,,D. Green misses 3-pt jump shot from 29 ft,29,35
2,7:26.0,,Offensive rebound by K. Thompson,29,35
2,7:22.0,,K. Thompson misses 3-pt jump shot from 24 ft,29,35
2,7:20.0,Defensive rebound by D. Booker,,29,35
2,7:15.0,D. Booker misses 3-pt jump shot from 25 ft,,29,35
2,7:13.0,,Defensive rebound by D. Green,29,35
2,6:59.0,,Turnover by D. Cousins (offensive foul),29,35
2,6:59.0,,Offensive foul by D. Cousins (drawn by D. Ayton),29,35
2,6:59.0,,S. Curry enters the game for A. Iguodala,29,35
2,6:44.0,D. Ayton makes 2-pt jump shot from 11 ft,,31,35
2,6:33.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),31,38
2,6:22.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by D. Booker),,34,38
2,6:10.0,,Golden State full timeout,34,38
2,6:10.0,T. Johnson enters the game for D. Booker,,34,38
2,6:10.0,K. Oubre enters the game for J. Jackson,,34,38
2,6:10.0,,K. Durant enters the game for D. Green,34,38
2,6:10.0,,K. Looney enters the game for K. Thompson,34,38
2,6:00.0,,S. Livingston makes 2-pt jump shot from 13 ft (assist by K. Looney),34,40
2,5:43.0,Turnover by K. Oubre (bad pass; steal by S. Curry),,34,40
2,5:43.0,,Personal foul by M. Bridges (drawn by S. Curry),34,40
2,5:35.0,,K. Durant makes 2-pt jump shot from 7 ft,34,42
2,5:21.0,K. Oubre makes 3-pt jump shot from 26 ft (assist by D. Ayton),,37,42
2,5:01.0,,S. Livingston misses 2-pt jump shot from 14 ft,37,42
2,5:00.0,Defensive rebound by D. Ayton,,37,42
2,4:52.0,K. Oubre makes 2-pt layup from 3 ft,,39,42
2,4:46.0,,Personal foul by T. Daniels (drawn by D. Cousins),39,42
2,4:46.0,,D. Green enters the game for D. Cousins,39,42
2,4:46.0,,A. Iguodala enters the game for S. Livingston,39,42
2,4:41.0,,S. Curry misses 2-pt jump shot from 21 ft,39,42
2,4:40.0,,Offensive rebound by K. Looney,39,42
2,4:35.0,,S. Curry makes 3-pt jump shot from 28 ft (assist by K. Looney),39,45
2,4:18.0,D. Ayton makes 2-pt hook shot from 13 ft (assist by M. Bridges),,41,45
2,4:09.0,,K. Looney makes 2-pt layup from 3 ft (assist by D. Green),41,47
2,4:09.0,,Shooting foul by D. Ayton (drawn by K. Looney),41,47
2,4:09.0,D. Booker enters the game for M. Bridges,,41,47
2,4:09.0,J. Jackson enters the game for T. Daniels,,41,47
2,4:09.0,,K. Looney misses free throw 1 of 1,41,47
2,4:08.0,Defensive rebound by J. Jackson,,41,47
2,3:53.0,Personal foul by S. Curry (drawn by T. Johnson),,41,47
2,3:53.0,T. Johnson makes free throw 1 of 2,,42,47
2,3:53.0,,K. Thompson enters the game for K. Looney,42,47
2,3:53.0,T. Johnson makes free throw 2 of 2,,43,47
2,3:49.0,,S. Curry misses 2-pt layup from 2 ft,43,47
2,3:47.0,Defensive rebound by D. Ayton,,43,47
2,3:37.0,D. Ayton misses 2-pt jump shot from 11 ft,,43,47
2,3:36.0,,Defensive rebound by S. Curry,43,47
2,3:30.0,,K. Thompson makes 2-pt jump shot from 17 ft (assist by S. Curry),43,49
2,3:07.0,J. Jackson misses 2-pt jump shot from 7 ft,,43,49
2,3:06.0,Offensive rebound by J. Jackson,,43,49
2,2:59.0,D. Ayton makes 2-pt hook shot from 8 ft (assist by D. Booker),,45,49
2,2:44.0,,D. Green makes 2-pt dunk from 2 ft (assist by K. Thompson),45,51
2,2:28.0,K. Oubre makes 3-pt jump shot from 26 ft (assist by D. Ayton),,48,51
2,2:17.0,,K. Durant makes 2-pt jump shot from 14 ft,48,53
2,1:55.0,J. Jackson makes 3-pt jump shot from 23 ft (assist by T. Johnson),,51,53
2,1:45.0,,Turnover by K. Thompson (lost ball; steal by J. Jackson),51,53
2,1:40.0,D. Booker makes 2-pt layup from 2 ft (assist by J. Jackson),,53,53
2,1:30.0,,Personal foul by D. Booker (drawn by K. Thompson),53,53
2,1:30.0,,K. Thompson makes free throw 1 of 2,53,54
2,1:30.0,R. Holmes enters the game for D. Ayton,,53,54
2,1:30.0,,Q. Cook enters the game for S. Curry,53,54
2,1:30.0,,K. Thompson makes free throw 2 of 2,53,55
2,1:14.0,Turnover by K. Oubre (lost ball; steal by K. Thompson),,53,55
2,1:10.0,,Q. Cook misses 2-pt layup from 3 ft,53,55
2,1:08.0,Defensive rebound by R. Holmes,,53,55
2,0:54.0,T. Johnson misses 3-pt jump shot from 30 ft,,53,55
2,0:52.0,,Defensive rebound by A. Iguodala,53,55
2,0:41.0,,K. Thompson misses 3-pt jump shot from 26 ft,53,55
2,0:39.0,Defensive rebound by J. Jackson,,53,55
2,0:30.0,R. Holmes makes 2-pt layup from 4 ft (assist by J. Jackson),,55,55
2,0:30.0,Shooting foul by D. Green (drawn by R. Holmes),,55,55
2,0:30.0,,K. Looney enters the game for D. Green,55,55
2,0:30.0,R. Holmes makes free throw 1 of 1,,56,55
2,0:11.0,,K. Thompson makes 2-pt jump shot from 11 ft,56,57
3,11:45.0,D. Ayton misses 2-pt jump shot from 13 ft,,56,57
3,11:44.0,,Defensive rebound by D. Green,56,57
3,11:25.0,,Shooting foul by K. Oubre (drawn by D. Cousins),56,57
3,11:25.0,,D. Cousins makes free throw 1 of 2,56,58
3,11:25.0,,D. Cousins makes free throw 2 of 2,56,59
3,11:20.0,K. Oubre makes 3-pt jump shot from 28 ft,,59,59
3,11:00.0,,D. Cousins misses 2-pt layup from 4 ft (block by D. Bender),59,59
3,10:59.0,,Offensive rebound by D. Cousins,59,59
3,10:58.0,,D. Cousins misses 2-pt layup from 4 ft (block by D. Ayton),59,59
3,10:58.0,,Offensive rebound by Team,59,59
3,10:52.0,,K. Durant makes 2-pt jump shot from 19 ft,59,61
3,10:25.0,D. Ayton misses 2-pt jump shot from 12 ft,,59,61
3,10:25.0,Offensive rebound by Team,,59,61
3,10:25.0,Turnover by Team (shot clock),,59,61
3,10:14.0,,K. Durant makes 2-pt dunk from 2 ft (assist by D. Green),59,63
3,9:50.0,T. Johnson makes 2-pt layup from 3 ft (assist by D. Ayton),,61,63
3,9:37.0,,S. Curry makes 2-pt layup from 6 ft,61,65
3,9:28.0,D. Bender misses 2-pt layup from 2 ft,,61,65
3,9:27.0,Offensive rebound by D. Bender,,61,65
3,9:27.0,D. Bender makes 2-pt layup from 1 ft,,63,65
3,9:04.0,,S. Curry misses 3-pt jump shot from 25 ft,63,65
3,9:02.0,Defensive rebound by D. Ayton,,63,65
3,8:42.0,D. Ayton makes 2-pt layup from 7 ft (assist by D. Booker),,65,65
3,8:32.0,,K. Durant misses 2-pt layup from 4 ft,65,65
3,8:31.0,Defensive rebound by D. Bender,,65,65
3,8:24.0,D. Booker makes 2-pt layup from 2 ft,,67,65
3,8:15.0,,K. Thompson misses 3-pt jump shot from 29 ft,67,65
3,8:13.0,Defensive rebound by D. Booker,,67,65
3,8:04.0,T. Johnson misses 3-pt jump shot from 28 ft,,67,65
3,8:02.0,,Defensive rebound by K. Thompson,67,65
3,7:58.0,,Turnover by K. Thompson (out of bounds lost ball),67,65
3,7:34.0,Turnover by Team (shot clock),,67,65
3,7:26.0,,K. Thompson misses 3-pt jump shot from 26 ft,67,65
3,7:24.0,Defensive rebound by D. Booker,,67,65
3,7:15.0,K. Oubre makes 2-pt jump shot from 20 ft (assist by D. Booker),,69,65
3,7:15.0,,Golden State full timeout,69,65
3,7:15.0,R. Holmes enters the game for D. Ayton,,69,65
3,7:02.0,,K. Durant misses 3-pt jump shot from 23 ft,69,65
3,7:00.0,,Offensive rebound by D. Green,69,65
3,6:57.0,,K. Thompson misses 3-pt jump shot from 22 ft,69,65
3,6:55.0,Defensive rebound by D. Bender,,69,65
3,6:36.0,Shooting foul by D. Cousins (drawn by R. Holmes),,69,65
3,6:36.0,R. Holmes misses free throw 1 of 2,,69,65
3,6:36.0,Offensive rebound by Team,,69,65
3,6:36.0,,A. Iguodala enters the game for D. Cousins,69,65
3,6:36.0,,K. Looney enters the game for D. Green,69,65
3,6:36.0,,Technical foul by D. Cousins,69,65
3,6:36.0,D. Booker makes technical free throw,,70,65
3,6:36.0,R. Holmes makes free throw 2 of 2,,71,65
3,6:28.0,,S. Curry misses 3-pt jump shot from 27 ft,71,65
3,6:26.0,,Offensive rebound by A. Iguodala,71,65
3,6:23.0,,K. Thompson misses 3-pt jump shot from 29 ft,71,65
3,6:21.0,Defensive rebound by R. Holmes,,71,65
3,6:18.0,Turnover by K. Oubre (lost ball; steal by K. Thompson),,71,65
3,6:15.0,,Turnover by K. Thompson (bad pass),71,65
3,5:57.0,Turnover by D. Booker (bad pass; steal by K. Looney),,71,65
3,5:47.0,,S. Curry misses 3-pt jump shot from 27 ft,71,65
3,5:45.0,,Offensive rebound by K. Looney,71,65
3,5:40.0,,K. Thompson misses 3-pt jump shot from 27 ft,71,65
3,5:38.0,Defensive rebound by D. Booker,,71,65
3,5:29.0,D. Booker makes 2-pt jump shot from 10 ft,,73,65
3,5:15.0,,Shooting foul by D. Bender (drawn by K. Looney),73,65
3,5:15.0,T. Daniels enters the game for D. Bender,,73,65
3,5:15.0,J. Jackson enters the game for D. Booker,,73,65
3,5:15.0,,K. Looney makes free throw 1 of 2,73,66
3,5:15.0,,K. Looney misses free throw 2 of 2,73,66
3,5:14.0,,Offensive rebound by A. Iguodala,73,66
3,5:08.0,,S. Curry makes 2-pt layup from 8 ft (assist by K. Durant),73,68
3,5:08.0,Phoenix full timeout,,73,68
3,4:55.0,K. Oubre misses 2-pt jump shot from 9 ft (block by K. Looney),,73,68
3,4:54.0,,Defensive rebound by K. Durant,73,68
3,4:50.0,,S. Curry misses 3-pt jump shot from 27 ft,73,68
3,4:50.0,,Offensive rebound by Team,73,68
3,4:48.0,,K. Durant misses 2-pt layup from 2 ft (block by K. Oubre),73,68
3,4:47.0,Defensive rebound by J. Jackson,,73,68
3,4:42.0,K. Oubre makes 2-pt jump shot from 7 ft (assist by J. Jackson),,75,68
3,4:30.0,,K. Durant misses 2-pt jump shot from 18 ft,75,68
3,4:29.0,Defensive rebound by J. Jackson,,75,68
3,4:20.0,J. Jackson misses 2-pt jump shot from 20 ft,,75,68
3,4:19.0,,Defensive rebound by S. Curry,75,68
3,4:14.0,,S. Curry misses 3-pt jump shot from 26 ft,75,68
3,4:12.0,Defensive rebound by R. Holmes,,75,68
3,3:59.0,Turnover by K. Oubre (bad pass; steal by S. Curry),,75,68
3,3:48.0,,Personal foul by R. Holmes (drawn by S. Curry),75,68
3,3:48.0,D. Booker enters the game for T. Johnson,,75,68
3,3:48.0,M. Bridges enters the game for K. Oubre,,75,68
3,3:48.0,,A. McKinnie enters the game for K. Thompson,75,68
3,3:39.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by K. Durant),75,71
3,3:16.0,D. Booker misses 2-pt jump shot from 18 ft,,75,71
3,3:14.0,,Defensive rebound by A. Iguodala,75,71
3,3:09.0,,K. Durant makes 2-pt layup from 3 ft,75,73
3,3:09.0,,Shooting foul by R. Holmes (drawn by K. Durant),75,73
3,3:09.0,,K. Durant misses free throw 1 of 1,75,73
3,3:08.0,Defensive rebound by J. Jackson,,75,73
3,3:04.0,Personal foul by K. Durant (drawn by D. Booker),,75,73
3,2:46.0,D. Booker misses 2-pt hook shot from 5 ft,,75,73
3,2:45.0,,Defensive rebound by K. Durant,75,73
3,2:41.0,,Shooting foul by T. Daniels (drawn by K. Durant),75,73
3,2:41.0,,K. Durant makes free throw 1 of 2,75,74
3,2:41.0,D. Ayton enters the game for R. Holmes,,75,74
3,2:41.0,,K. Durant makes free throw 2 of 2,75,75
3,2:20.0,D. Ayton misses 2-pt hook shot from 5 ft,,75,75
3,2:19.0,Offensive rebound by D. Booker,,75,75
3,2:14.0,T. Daniels misses 3-pt jump shot from 29 ft,,75,75
3,2:12.0,,Defensive rebound by Team,75,75
3,2:00.0,,Offensive foul by K. Looney (drawn by J. Jackson),75,75
3,2:00.0,,Turnover by K. Looney (offensive foul),75,75
3,2:00.0,,Q. Cook enters the game for S. Curry,75,75
3,1:49.0,Turnover by D. Ayton (traveling),,75,75
3,1:35.0,,Turnover by K. Durant (lost ball; steal by M. Bridges),75,75
3,1:29.0,D. Booker makes 2-pt layup from 3 ft (assist by M. Bridges),,77,75
3,1:27.0,Technical foul by D. Booker,,77,75
3,1:27.0,Violation by Team (delay of game),,77,75
3,1:27.0,,K. Durant makes technical free throw,77,76
3,1:17.0,,K. Durant makes 2-pt jump shot from 13 ft,77,78
3,0:58.0,D. Booker misses 2-pt jump shot from 18 ft,,77,78
3,0:57.0,,Defensive rebound by A. McKinnie,77,78
3,0:49.0,,K. Durant misses 3-pt jump shot from 25 ft,77,78
3,0:47.0,Defensive rebound by J. Jackson,,77,78
3,0:42.0,Shooting foul by A. McKinnie (drawn by J. Jackson),,77,78
3,0:42.0,J. Jackson misses free throw 1 of 2,,77,78
3,0:42.0,Offensive rebound by Team,,77,78
3,0:42.0,J. Jackson misses free throw 2 of 2,,77,78
3,0:40.0,,Defensive rebound by A. McKinnie,77,78
3,0:31.0,,Q. Cook misses 3-pt jump shot from 25 ft,77,78
3,0:29.0,,Offensive rebound by K. Looney,77,78
3,0:21.0,,A. McKinnie makes 2-pt dunk at rim (assist by K. Durant),77,80
3,0:00.0,Shooting foul by K. Looney (drawn by D. Booker),,77,80
3,0:00.0,D. Booker makes free throw 1 of 2,,78,80
3,0:00.0,D. Booker makes free throw 2 of 2,,79,80
4,11:57.0,,Turnover by K. Thompson (lost ball; steal by D. Booker),79,80
4,11:53.0,,Loose ball foul by K. Thompson (drawn by D. Booker),79,80
4,11:33.0,D. Ayton makes 2-pt layup from 4 ft (assist by D. Booker),,81,80
4,11:15.0,,D. Cousins misses 3-pt jump shot from 27 ft,81,80
4,11:13.0,,Offensive rebound by A. Iguodala,81,80
4,11:06.0,,A. Iguodala makes 2-pt dunk from 2 ft (assist by S. Livingston),81,82
4,10:42.0,D. Ayton misses 2-pt jump shot from 16 ft,,81,82
4,10:41.0,Offensive rebound by Team,,81,82
4,10:41.0,Phoenix full timeout,,81,82
4,10:36.0,T. Daniels misses 3-pt jump shot from 25 ft,,81,82
4,10:34.0,,Defensive rebound by D. Green,81,82
4,10:29.0,,D. Cousins makes 2-pt dunk from 2 ft (assist by D. Green),81,84
4,10:14.0,Offensive foul by T. Daniels (drawn by D. Cousins),,81,84
4,10:14.0,Turnover by T. Daniels (offensive foul),,81,84
4,9:54.0,,D. Cousins makes 2-pt layup from 2 ft (assist by D. Green),81,86
4,9:40.0,D. Booker misses 2-pt layup from 2 ft,,81,86
4,9:39.0,,Defensive rebound by D. Green,81,86
4,9:33.0,,K. Thompson makes 2-pt layup from 3 ft (assist by A. Iguodala),81,88
4,9:32.0,Phoenix full timeout,,81,88
4,9:32.0,T. Johnson enters the game for T. Daniels,,81,88
4,9:32.0,K. Oubre enters the game for J. Jackson,,81,88
4,9:22.0,Shooting foul by A. Iguodala (drawn by T. Johnson),,81,88
4,9:22.0,T. Johnson makes free throw 1 of 2,,82,88
4,9:22.0,T. Johnson makes free throw 2 of 2,,83,88
4,9:11.0,Flagrant foul type 1 by S. Livingston (drawn by T. Johnson),,83,88
4,9:11.0,,Turnover by S. Livingston (turnover),83,88
4,9:11.0,T. Johnson makes flagrant free throw 1 of 2,,84,88
4,9:11.0,T. Johnson misses flagrant free throw 2 of 2,,84,88
4,9:10.0,Offensive rebound by Team,,84,88
4,9:05.0,D. Booker misses 2-pt layup from 6 ft (block by D. Cousins),,84,88
4,9:04.0,Offensive rebound by T. Johnson,,84,88
4,8:58.0,M. Bridges makes 3-pt jump shot from 29 ft (assist by T. Johnson),,87,88
4,8:40.0,Violation by Team (kicked ball),,87,88
4,8:34.0,,K. Thompson misses 3-pt jump shot from 27 ft,87,88
4,8:32.0,Defensive rebound by M. Bridges,,87,88
4,8:21.0,D. Ayton makes 2-pt hook shot from 5 ft (assist by D. Booker),,89,88
4,8:21.0,,Golden State full timeout,89,88
4,8:21.0,,S. Curry enters the game for A. Iguodala,89,88
4,8:07.0,,D. Cousins misses 3-pt jump shot from 24 ft,89,88
4,8:00.0,,Offensive rebound by S. Livingston,89,88
4,8:00.0,,S. Livingston misses 2-pt dunk from 2 ft,89,88
4,7:59.0,Defensive rebound by M. Bridges,,89,88
4,7:54.0,D. Ayton misses 2-pt jump shot from 8 ft,,89,88
4,7:53.0,,Defensive rebound by D. Cousins,89,88
4,7:43.0,,D. Green misses 2-pt layup from 3 ft,89,88
4,7:42.0,Defensive rebound by T. Johnson,,89,88
4,7:29.0,K. Oubre makes 2-pt layup from 3 ft,,91,88
4,7:16.0,,S. Curry makes 3-pt jump shot from 28 ft (assist by D. Green),91,91
4,6:52.0,D. Ayton misses 2-pt hook shot from 6 ft,,91,91
4,6:51.0,Offensive rebound by D. Ayton,,91,91
4,6:49.0,D. Ayton misses 2-pt hook shot from 11 ft,,91,91
4,6:47.0,,Defensive rebound by D. Green,91,91
4,6:47.0,,Personal take foul by D. Booker (drawn by S. Curry),91,91
4,6:47.0,,K. Durant enters the game for K. Thompson,91,91
4,6:36.0,,Turnover by K. Durant (bad pass; steal by D. Ayton),91,91
4,6:34.0,Personal take foul by S. Livingston (drawn by D. Booker),,91,91
4,6:34.0,,A. McKinnie enters the game for K. Durant,91,91
