QUARTER,TIME_REMAINING,MINNESOTA_ACTION,CLEVELAND_ACTION,MINNESOTA_SCORE,CLEVELAND_SCORE
1,7:18.0,J. Teague misses 2-pt jump shot from 4 ft (block by L. Nance),,7,8
1,7:15.0,,Defensive rebound by T. Thompson,7,8
1,7:13.0,,C. Sexton makes 2-pt jump shot from 16 ft,7,10
1,7:00.0,A. Wiggins misses 3-pt jump shot from 31 ft,,7,10
1,6:57.0,,Defensive rebound by L. Nance,7,10
1,6:40.0,,C. Osman makes 2-pt jump shot from 19 ft,7,12
1,6:33.0,Minnesota full timeout,,7,12
1,6:25.0,Shooting foul by C. Osman (drawn by A. Wiggins),,7,12
1,6:25.0,A. Wiggins makes free throw 1 of 2,,8,12
1,6:25.0,A. Wiggins makes free throw 2 of 2,,9,12
1,6:11.0,,C. Osman misses 2-pt layup from 3 ft (block by A. Wiggins),9,12
1,6:08.0,Defensive rebound by K. Towns,,9,12
1,6:02.0,K. Towns makes 3-pt jump shot from 30 ft (assist by A. Wiggins),,12,12
1,5:39.0,,Turnover by R. Hood (lost ball; steal by J. Teague),12,12
1,5:35.0,R. Covington makes 2-pt layup from 1 ft (assist by A. Wiggins),,14,12
1,5:22.0,,T. Thompson makes 2-pt dunk at rim (assist by C. Sexton),14,14
1,5:07.0,T. Gibson misses 2-pt jump shot from 6 ft,,14,14
1,5:04.0,,Defensive rebound by T. Thompson,14,14
1,4:59.0,,R. Hood misses 3-pt jump shot from 25 ft,14,14
1,4:57.0,Defensive rebound by T. Gibson,,14,14
1,4:44.0,Turnover by T. Gibson (lost ball; steal by T. Thompson),,14,14
1,4:40.0,,C. Sexton makes 2-pt jump shot from 19 ft,14,16
1,4:31.0,Offensive foul by T. Gibson (drawn by C. Sexton),,14,16
1,4:31.0,Turnover by T. Gibson (offensive foul),,14,16
1,4:31.0,D. Rose enters the game for R. Covington,,14,16
1,4:31.0,D. Šarić enters the game for T. Gibson,,14,16
1,4:17.0,,Shooting foul by D. Šarić (drawn by L. Nance),14,16
1,4:17.0,,L. Nance makes free throw 1 of 2,14,17
1,4:17.0,,J. Clarkson enters the game for C. Osman,14,17
1,4:17.0,,L. Nance makes free throw 2 of 2,14,18
1,4:06.0,J. Teague makes 2-pt jump shot from 12 ft,,16,18
1,3:46.0,,T. Thompson makes 2-pt hook shot from 13 ft (assist by L. Nance),16,20
1,3:35.0,J. Teague makes 2-pt layup from 4 ft,,18,20
1,3:29.0,,Turnover by C. Sexton (out of bounds lost ball),18,20
1,3:14.0,J. Teague makes 2-pt jump shot from 8 ft,,20,20
1,2:58.0,,C. Sexton misses 2-pt layup from 10 ft (block by J. Teague),20,20
1,2:58.0,Defensive rebound by Team,,20,20
1,2:58.0,,Cleveland full timeout,20,20
1,2:58.0,,C. Osman enters the game for L. Nance,20,20
1,2:44.0,J. Teague makes 2-pt jump shot from 10 ft,,22,20
1,2:17.0,,T. Thompson misses 2-pt jump shot from 10 ft,22,20
1,2:15.0,Defensive rebound by A. Wiggins,,22,20
1,2:07.0,K. Towns makes 3-pt jump shot from 27 ft (assist by A. Wiggins),,25,20
1,1:52.0,,Personal foul by D. Šarić (drawn by C. Osman),25,20
1,1:52.0,T. Jones enters the game for J. Teague,,25,20
1,1:52.0,,A. Harrison enters the game for C. Sexton,25,20
1,1:36.0,,C. Osman misses 2-pt jump shot from 13 ft,25,20
1,1:33.0,Defensive rebound by A. Wiggins,,25,20
1,1:29.0,D. Rose misses 3-pt jump shot from 23 ft,,25,20
1,1:26.0,,Defensive rebound by R. Hood,25,20
1,1:20.0,,R. Hood makes 2-pt jump shot from 17 ft,25,22
1,1:07.0,K. Towns makes 2-pt layup from 1 ft (assist by T. Jones),,27,22
1,1:02.0,,Shooting foul by T. Jones (drawn by A. Harrison),27,22
1,1:02.0,,A. Harrison makes free throw 1 of 2,27,23
1,1:02.0,,A. Harrison makes free throw 2 of 2,27,24
1,0:41.0,K. Towns misses 2-pt jump shot from 12 ft,,27,24
1,0:38.0,,Defensive rebound by C. Osman,27,24
1,0:30.0,,J. Clarkson misses 3-pt jump shot from 26 ft,27,24
1,0:27.0,Defensive rebound by K. Towns,,27,24
1,0:24.0,D. Rose makes 2-pt layup from 1 ft,,29,24
1,0:00.0,,T. Thompson makes 2-pt layup from 1 ft (assist by J. Clarkson),29,26
2,11:43.0,,C. Osman misses 3-pt jump shot from 23 ft,29,26
2,11:39.0,Defensive rebound by D. Šarić,,29,26
2,11:27.0,D. Šarić makes 2-pt jump shot from 15 ft,,31,26
2,11:07.0,,K. Korver makes 2-pt jump shot from 12 ft (assist by A. Harrison),31,28
2,10:49.0,G. Dieng makes 2-pt jump shot from 15 ft,,33,28
2,10:32.0,,A. Harrison misses 2-pt jump shot from 19 ft,33,28
2,10:30.0,Defensive rebound by D. Šarić,,33,28
2,10:20.0,T. Jones makes 3-pt jump shot from 24 ft (assist by D. Rose),,36,28
2,10:13.0,,Cleveland full timeout,36,28
2,9:56.0,,C. Osman misses 2-pt jump shot from 18 ft,36,28
2,9:53.0,,Offensive rebound by A. Žižić,36,28
2,9:39.0,,A. Žižić misses 2-pt layup from 1 ft,36,28
2,9:38.0,Defensive rebound by G. Dieng,,36,28
2,9:38.0,R. Covington misses 2-pt jump shot from 10 ft,,36,28
2,9:38.0,Offensive rebound by Team,,36,28
2,9:27.0,D. Rose misses 2-pt jump shot from 18 ft,,36,28
2,9:23.0,Offensive rebound by D. Šarić,,36,28
2,9:23.0,D. Šarić makes 2-pt layup from 1 ft,,38,28
2,9:23.0,Shooting foul by C. Osman (drawn by D. Šarić),,38,28
2,9:23.0,D. Šarić makes free throw 1 of 1,,39,28
2,9:07.0,,Turnover by J. Clarkson (bad pass; steal by T. Jones),39,28
2,9:03.0,D. Šarić misses 2-pt layup from 1 ft,,39,28
2,9:01.0,,Defensive rebound by A. Žižić,39,28
2,8:56.0,,J. Clarkson misses 3-pt jump shot from 27 ft,39,28
2,8:54.0,Defensive rebound by R. Covington,,39,28
2,8:45.0,Shooting foul by A. Harrison (drawn by R. Covington),,39,28
2,8:45.0,R. Covington misses free throw 1 of 2,,39,28
2,8:45.0,Offensive rebound by Team,,39,28
2,8:45.0,,L. Nance enters the game for C. Osman,39,28
2,8:45.0,R. Covington makes free throw 2 of 2,,40,28
2,8:35.0,,Personal foul by R. Covington (drawn by K. Korver),40,28
2,8:35.0,,R. Hood enters the game for J. Clarkson,40,28
2,8:35.0,,C. Sexton enters the game for A. Harrison,40,28
2,8:21.0,,C. Sexton misses 2-pt layup from 1 ft (block by R. Covington),40,28
2,8:21.0,,Offensive rebound by Team,40,28
2,8:21.0,,Turnover by Team (shot clock),40,28
2,8:09.0,R. Covington makes 2-pt jump shot from 12 ft (assist by D. Rose),,42,28
2,7:55.0,,K. Korver makes 3-pt jump shot from 28 ft (assist by C. Sexton),42,31
2,7:33.0,D. Šarić misses 3-pt jump shot from 24 ft,,42,31
2,7:30.0,,Defensive rebound by C. Sexton,42,31
2,7:24.0,,K. Korver misses 3-pt jump shot from 27 ft,42,31
2,7:24.0,Defensive rebound by Team,,42,31
2,7:24.0,,T. Thompson enters the game for A. Žižić,42,31
2,7:02.0,D. Šarić misses 2-pt jump shot from 3 ft,,42,31
2,7:00.0,,Defensive rebound by L. Nance,42,31
2,6:47.0,,C. Sexton makes 2-pt jump shot from 19 ft (assist by R. Hood),42,33
2,6:42.0,Minnesota full timeout,,42,33
2,6:42.0,T. Gibson enters the game for G. Dieng,,42,33
2,6:42.0,J. Teague enters the game for T. Jones,,42,33
2,6:42.0,K. Towns enters the game for D. Šarić,,42,33
2,6:28.0,J. Teague misses 2-pt jump shot from 7 ft,,42,33
2,6:26.0,,Defensive rebound by C. Sexton,42,33
2,6:22.0,,C. Sexton misses 2-pt jump shot from 13 ft,42,33
2,6:19.0,Defensive rebound by K. Towns,,42,33
2,5:57.0,K. Towns misses 3-pt jump shot from 27 ft,,42,33
2,5:54.0,Offensive rebound by T. Gibson,,42,33
2,5:51.0,Shooting foul by T. Thompson (drawn by T. Gibson),,42,33
2,5:51.0,T. Gibson makes free throw 1 of 2,,43,33
2,5:51.0,T. Gibson makes free throw 2 of 2,,44,33
2,5:28.0,,L. Nance misses 2-pt dunk from 2 ft,44,33
2,5:25.0,Defensive rebound by D. Rose,,44,33
2,5:22.0,D. Rose misses 2-pt layup from 3 ft,,44,33
2,5:19.0,,Defensive rebound by T. Thompson,44,33
2,5:14.0,,R. Hood misses 2-pt jump shot from 7 ft,44,33
2,5:09.0,,Offensive rebound by T. Thompson,44,33
2,5:09.0,,T. Thompson misses 2-pt layup from 1 ft,44,33
2,5:08.0,,Offensive rebound by R. Hood,44,33
2,4:58.0,,R. Hood misses 2-pt jump shot from 12 ft,44,33
2,4:58.0,,Offensive rebound by Team,44,33
2,4:55.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by R. Hood),44,36
2,4:30.0,K. Towns misses 2-pt hook shot from 8 ft,,44,36
2,4:28.0,,Defensive rebound by T. Thompson,44,36
2,4:20.0,,R. Hood makes 2-pt jump shot from 10 ft,44,38
2,4:08.0,K. Towns misses 3-pt jump shot from 26 ft,,44,38
2,4:06.0,Offensive rebound by Team,,44,38
2,4:06.0,A. Wiggins enters the game for D. Rose,,44,38
2,3:57.0,A. Wiggins makes 2-pt layup from 2 ft (assist by J. Teague),,46,38
2,3:36.0,,L. Nance makes 2-pt dunk from 1 ft (assist by K. Korver),46,40
2,3:24.0,R. Covington makes 3-pt jump shot from 30 ft (assist by J. Teague),,49,40
2,3:06.0,,K. Korver misses 3-pt jump shot from 25 ft,49,40
2,3:02.0,Defensive rebound by R. Covington,,49,40
2,2:49.0,Shooting foul by K. Korver (drawn by K. Towns),,49,40
2,2:49.0,K. Towns misses free throw 1 of 2,,49,40
2,2:49.0,Offensive rebound by Team,,49,40
2,2:49.0,,C. Osman enters the game for K. Korver,49,40
2,2:49.0,K. Towns makes free throw 2 of 2,,50,40
2,2:30.0,,R. Hood makes 3-pt jump shot from 23 ft (assist by L. Nance),50,43
2,2:20.0,Turnover by J. Teague (bad pass; steal by L. Nance),,50,43
2,2:19.0,,Personal foul by J. Teague (drawn by L. Nance),50,43
2,2:10.0,,Offensive foul by C. Sexton (drawn by J. Teague),50,43
2,2:10.0,,Turnover by C. Sexton (offensive foul),50,43
2,2:00.0,K. Towns misses 3-pt jump shot from 24 ft,,50,43
2,2:00.0,,Defensive rebound by Team,50,43
2,1:54.0,,Personal foul by T. Gibson (drawn by L. Nance),50,43
2,1:45.0,,R. Hood makes 2-pt jump shot from 12 ft,50,45
2,1:31.0,A. Wiggins misses 3-pt jump shot from 28 ft,,50,45
2,1:28.0,Offensive rebound by T. Gibson,,50,45
2,1:26.0,R. Covington misses 3-pt jump shot from 28 ft,,50,45
2,1:22.0,Offensive rebound by T. Gibson,,50,45
2,1:20.0,K. Towns makes 2-pt layup from 2 ft (assist by T. Gibson),,52,45
2,0:59.0,,Turnover by L. Nance (bad pass; steal by K. Towns),52,45
2,0:57.0,K. Towns makes 2-pt dunk from 2 ft,,54,45
2,0:40.0,,R. Hood makes 2-pt jump shot from 9 ft (assist by T. Thompson),54,47
2,0:28.0,J. Teague misses 2-pt jump shot from 6 ft,,54,47
2,0:26.0,,Defensive rebound by L. Nance,54,47
2,0:10.0,,R. Hood misses 3-pt jump shot from 25 ft,54,47
2,0:08.0,Defensive rebound by A. Wiggins,,54,47
2,0:01.0,A. Wiggins misses 2-pt jump shot from 16 ft,,54,47
2,0:01.0,Offensive rebound by Team,,54,47
3,11:37.0,,C. Sexton misses 2-pt jump shot from 15 ft,54,47
3,11:35.0,Defensive rebound by T. Gibson,,54,47
3,11:18.0,K. Towns makes 2-pt jump shot from 20 ft (assist by J. Teague),,56,47
3,10:57.0,,Shooting foul by R. Covington (drawn by R. Hood),56,47
3,10:57.0,,R. Hood misses free throw 1 of 3,56,47
3,10:57.0,,Offensive rebound by Team,56,47
3,10:57.0,,R. Hood makes free throw 2 of 3,56,48
3,10:57.0,,R. Hood makes free throw 3 of 3,56,49
3,10:35.0,T. Gibson misses 2-pt layup from 9 ft (block by T. Thompson),,56,49
3,10:31.0,Offensive rebound by K. Towns,,56,49
3,10:29.0,Turnover by K. Towns (lost ball; steal by R. Hood),,56,49
3,10:25.0,,C. Sexton misses 2-pt layup from 2 ft,56,49
3,10:20.0,,Offensive rebound by C. Sexton,56,49
3,10:10.0,,L. Nance misses 2-pt layup from 5 ft,56,49
3,10:08.0,Defensive rebound by R. Covington,,56,49
3,10:02.0,J. Teague misses 2-pt jump shot from 7 ft,,56,49
3,10:02.0,Offensive rebound by T. Gibson,,56,49
3,9:56.0,K. Towns misses 3-pt jump shot from 26 ft,,56,49
3,9:53.0,,Defensive rebound by L. Nance,56,49
3,9:33.0,,Turnover by T. Thompson (lost ball; steal by A. Wiggins),56,49
3,9:27.0,R. Covington makes 3-pt jump shot from 33 ft,,59,49
3,9:24.0,,Cleveland full timeout,59,49
3,9:15.0,,Offensive foul by R. Hood (drawn by T. Gibson),59,49
3,9:15.0,,Turnover by R. Hood (offensive foul),59,49
3,9:03.0,Turnover by K. Towns (traveling),,59,49
3,8:48.0,,R. Hood misses 2-pt jump shot from 9 ft,59,49
3,8:42.0,,Offensive rebound by L. Nance,59,49
3,8:42.0,,L. Nance makes 2-pt dunk at rim,59,51
3,8:30.0,A. Wiggins makes 3-pt jump shot from 25 ft (assist by T. Gibson),,62,51
3,8:08.0,,R. Hood makes 3-pt jump shot from 23 ft,62,54
3,7:51.0,A. Wiggins makes 2-pt jump shot from 22 ft,,64,54
3,7:42.0,,Personal foul by J. Teague (drawn by C. Sexton),64,54
3,7:34.0,,C. Osman makes 3-pt jump shot from 30 ft (assist by L. Nance),64,57
3,7:15.0,T. Gibson misses 2-pt jump shot from 6 ft (block by L. Nance),,64,57
3,7:09.0,,Defensive rebound by C. Osman,64,57
3,7:03.0,,C. Osman misses 3-pt jump shot from 25 ft,64,57
3,7:01.0,Defensive rebound by K. Towns,,64,57
3,6:50.0,Shooting foul by C. Osman (drawn by J. Teague),,64,57
3,6:50.0,J. Teague misses free throw 1 of 2,,64,57
3,6:50.0,Offensive rebound by Team,,64,57
3,6:50.0,J. Teague makes free throw 2 of 2,,65,57
3,6:32.0,,C. Sexton misses 3-pt jump shot from 27 ft,65,57
3,6:32.0,Defensive rebound by Team,,65,57
3,6:16.0,R. Covington makes 2-pt jump shot from 19 ft (assist by J. Teague),,67,57
3,6:08.0,,Turnover by C. Sexton (bad pass),67,57
3,5:58.0,Turnover by J. Teague (lost ball; steal by C. Osman),,67,57
3,5:53.0,,C. Osman misses 2-pt layup from 3 ft,67,57
3,5:50.0,Defensive rebound by R. Covington,,67,57
3,5:46.0,T. Gibson makes 2-pt layup from 1 ft (assist by J. Teague),,69,57
3,5:22.0,,C. Sexton misses 3-pt jump shot from 27 ft,69,57
3,5:19.0,Defensive rebound by K. Towns,,69,57
3,5:19.0,,J. Clarkson enters the game for C. Osman,69,57
3,5:06.0,Turnover by J. Teague (bad pass),,69,57
3,4:46.0,,Shooting foul by R. Covington (drawn by J. Clarkson),69,57
3,4:46.0,,J. Clarkson makes free throw 1 of 2,69,58
3,4:46.0,D. Rose enters the game for R. Covington,,69,58
3,4:46.0,,J. Clarkson makes free throw 2 of 2,69,59
3,4:29.0,K. Towns misses 2-pt hook shot from 12 ft,,69,59
3,4:25.0,,Defensive rebound by C. Sexton,69,59
3,4:13.0,,T. Thompson makes 2-pt layup from 2 ft (assist by R. Hood),69,61
3,4:07.0,Minnesota full timeout,,69,61
3,3:56.0,A. Wiggins misses 3-pt jump shot from 27 ft,,69,61
3,3:53.0,,Defensive rebound by C. Sexton,69,61
3,3:44.0,,L. Nance makes 2-pt layup at rim (assist by C. Sexton),69,63
3,3:24.0,D. Rose misses 2-pt layup at rim,,69,63
3,3:22.0,,Defensive rebound by T. Thompson,69,63
3,3:09.0,,L. Nance makes 2-pt layup at rim (assist by T. Thompson),69,65
3,2:43.0,K. Towns makes 2-pt jump shot from 5 ft,,71,65
3,2:27.0,,Turnover by T. Thompson (lost ball; steal by A. Wiggins),71,65
3,2:17.0,J. Teague misses 3-pt jump shot from 27 ft,,71,65
3,2:17.0,,Defensive rebound by Team,71,65
3,2:17.0,Loose ball foul by T. Gibson (drawn by C. Sexton),,71,65
3,2:17.0,D. Šarić enters the game for T. Gibson,,71,65
3,2:17.0,,C. Osman enters the game for L. Nance,71,65
3,1:59.0,,C. Osman makes 3-pt jump shot from 23 ft (assist by J. Clarkson),71,68
3,1:29.0,D. Šarić makes 2-pt layup at rim,,73,68
3,1:08.0,,T. Thompson misses 2-pt layup from 2 ft (block by J. Teague),73,68
3,1:05.0,Defensive rebound by J. Teague,,73,68
3,0:50.0,A. Wiggins makes 2-pt layup at rim,,75,68
3,0:33.0,,C. Sexton misses 2-pt layup from 2 ft (block by A. Wiggins),75,68
3,0:33.0,,Offensive rebound by Team,75,68
3,0:33.0,,K. Korver enters the game for R. Hood,75,68
3,0:31.0,,C. Osman misses 3-pt jump shot from 22 ft,75,68
3,0:28.0,Defensive rebound by J. Teague,,75,68
3,0:23.0,A. Wiggins misses 2-pt layup from 1 ft,,75,68
3,0:21.0,,Defensive rebound by K. Korver,75,68
3,0:01.0,,C. Sexton misses 2-pt layup at rim (block by J. Teague),75,68
3,0:01.0,,Offensive rebound by Team,75,68
3,0:00.0,,C. Sexton makes 2-pt layup from 1 ft (assist by K. Korver),75,70
3,0:00.0,,Shooting foul by J. Teague (drawn by C. Sexton),75,70
3,0:00.0,,C. Sexton makes free throw 1 of 1,75,71
4,11:45.0,D. Šarić misses 2-pt hook shot from 8 ft,,75,71
4,11:42.0,,Defensive rebound by C. Osman,75,71
4,11:28.0,,J. Clarkson misses 3-pt jump shot from 27 ft,75,71
4,11:25.0,Defensive rebound by D. Šarić,,75,71
4,11:16.0,D. Rose makes 2-pt jump shot from 11 ft,,77,71
4,11:01.0,,L. Nance misses 3-pt jump shot from 28 ft,77,71
4,11:00.0,Defensive rebound by Team,,77,71
4,10:49.0,D. Rose misses 2-pt jump shot from 14 ft,,77,71
4,10:46.0,Offensive rebound by G. Dieng,,77,71
4,10:36.0,D. Rose makes 2-pt jump shot from 19 ft,,79,71
4,10:14.0,,K. Korver misses 2-pt jump shot from 24 ft,79,71
4,10:10.0,Defensive rebound by D. Šarić,,79,71
4,10:07.0,D. Šarić misses 3-pt jump shot from 26 ft,,79,71
4,10:04.0,,Defensive rebound by C. Osman,79,71
4,9:52.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by L. Nance),79,74
4,9:29.0,D. Šarić makes 2-pt layup from 1 ft (assist by R. Covington),,81,74
4,9:15.0,,Offensive foul by C. Osman (drawn by G. Dieng),81,74
4,9:15.0,,Turnover by C. Osman (offensive foul),81,74
4,8:59.0,R. Covington makes 3-pt jump shot from 25 ft (assist by D. Rose),,84,74
4,8:42.0,,C. Osman misses 3-pt jump shot from 25 ft,84,74
4,8:37.0,Defensive rebound by R. Covington,,84,74
4,8:27.0,D. Rose makes 2-pt jump shot from 18 ft,,86,74
4,8:26.0,,Cleveland full timeout,86,74
4,8:26.0,,C. Sexton enters the game for A. Harrison,86,74
4,8:26.0,,T. Thompson enters the game for C. Osman,86,74
4,8:14.0,,Personal foul by T. Jones (drawn by C. Sexton),86,74
4,8:05.0,,K. Korver misses 3-pt jump shot from 34 ft,86,74
4,8:05.0,,Offensive rebound by Team,86,74
4,8:05.0,Loose ball foul by G. Dieng (drawn by T. Thompson),,86,74
4,7:54.0,,J. Clarkson misses 3-pt jump shot from 25 ft,86,74
4,7:47.0,,Offensive rebound by L. Nance,86,74
4,7:47.0,,L. Nance misses 2-pt dunk at rim,86,74
4,7:47.0,Defensive rebound by D. Šarić,,86,74
4,7:44.0,R. Covington misses 3-pt jump shot from 26 ft,,86,74
4,7:41.0,,Defensive rebound by J. Clarkson,86,74
4,7:31.0,,Turnover by J. Clarkson (lost ball; steal by R. Covington),86,74
4,7:22.0,G. Dieng misses 2-pt jump shot from 22 ft,,86,74
4,7:22.0,,Defensive rebound by Team,86,74
4,7:22.0,Loose ball foul by D. Šarić (drawn by L. Nance),,86,74
4,7:22.0,J. Teague enters the game for G. Dieng,,86,74
4,7:22.0,K. Towns enters the game for T. Jones,,86,74
4,7:13.0,,K. Korver makes 3-pt jump shot from 26 ft (assist by C. Sexton),86,77
4,6:59.0,Personal foul by L. Nance (drawn by K. Towns),,86,77
4,6:47.0,D. Rose makes 2-pt jump shot from 17 ft,,88,77
4,6:30.0,,K. Korver makes 3-pt jump shot from 27 ft (assist by L. Nance),88,80
4,6:06.0,R. Covington misses 3-pt jump shot from 25 ft,,88,80
4,6:03.0,Offensive rebound by K. Towns,,88,80
4,6:00.0,D. Šarić misses 3-pt jump shot from 24 ft,,88,80
4,6:00.0,,Defensive rebound by J. Clarkson,88,80
4,5:49.0,,L. Nance makes 2-pt dunk from 2 ft (assist by T. Thompson),88,82
4,5:49.0,Minnesota full timeout,,88,82
4,5:49.0,T. Gibson enters the game for D. Šarić,,88,82
4,5:25.0,D. Rose misses 3-pt jump shot from 26 ft,,88,82
4,5:20.0,,Defensive rebound by K. Korver,88,82
4,5:03.0,,J. Clarkson makes 2-pt jump shot from 11 ft,88,84
4,4:36.0,J. Teague misses 2-pt jump shot from 15 ft,,88,84
4,4:33.0,,Defensive rebound by L. Nance,88,84
4,4:26.0,,C. Sexton misses 2-pt layup from 2 ft,88,84
4,4:25.0,Defensive rebound by T. Gibson,,88,84
4,4:14.0,D. Rose makes 2-pt hook shot from 9 ft,,90,84
4,3:50.0,,Turnover by T. Thompson (lost ball; steal by R. Covington),90,84
4,3:46.0,Shooting foul by L. Nance (drawn by T. Gibson),,90,84
4,3:46.0,T. Gibson misses free throw 1 of 2,,90,84
4,3:46.0,Offensive rebound by Team,,90,84
4,3:46.0,T. Gibson makes free throw 2 of 2,,91,84
4,3:46.0,,Cleveland full timeout,91,84
4,3:32.0,,Offensive foul by L. Nance (drawn by D. Rose),91,84
4,3:32.0,,Turnover by L. Nance (offensive foul),91,84
4,3:32.0,Minnesota full timeout,,91,84
4,3:32.0,,R. Hood enters the game for J. Clarkson,91,84
4,3:22.0,K. Towns misses 3-pt jump shot from 30 ft,,91,84
4,3:18.0,,Defensive rebound by C. Sexton,91,84
4,3:02.0,,K. Korver misses 2-pt jump shot from 20 ft,91,84
4,2:58.0,Defensive rebound by R. Covington,,91,84
4,2:48.0,D. Rose misses 2-pt jump shot from 17 ft,,91,84
4,2:47.0,Offensive rebound by Team,,91,84
4,2:47.0,,Loose ball foul by R. Hood (drawn by T. Gibson),91,84
4,2:47.0,,Technical foul by T. Thompson,91,84
4,2:47.0,J. Teague misses technical free throw,,91,84
4,2:47.0,Offensive rebound by Team,,91,84
4,2:32.0,Turnover by Team (shot clock),,91,84
4,2:15.0,,C. Sexton misses 2-pt jump shot from 17 ft,91,84
4,2:12.0,,Offensive rebound by T. Thompson,91,84
4,2:03.0,,T. Thompson makes 2-pt layup from 6 ft,91,86
4,1:39.0,K. Towns makes 2-pt jump shot from 15 ft,,93,86
4,1:33.0,,Offensive foul by C. Sexton (drawn by R. Covington),93,86
4,1:33.0,,Turnover by C. Sexton (offensive foul),93,86
4,1:21.0,K. Towns makes 2-pt jump shot from 7 ft (assist by J. Teague),,95,86
4,1:21.0,,Cleveland full timeout,95,86
4,1:21.0,,Away from play foul by T. Gibson (drawn by L. Nance),95,86
4,1:21.0,,K. Korver makes free throw 1 of 1,95,87
4,1:13.0,,R. Hood misses 3-pt jump shot from 29 ft,95,87
4,1:10.0,Defensive rebound by T. Gibson,,95,87
4,1:01.0,T. Gibson makes 2-pt dunk at rim (assist by D. Rose),,97,87
4,1:01.0,,Cleveland full timeout,97,87
4,1:01.0,,C. Osman enters the game for L. Nance,97,87
4,0:57.0,,R. Hood makes 2-pt layup from 1 ft (assist by C. Osman),97,89
4,0:36.0,K. Towns misses 2-pt hook shot from 5 ft,,97,89
4,0:33.0,,Defensive rebound by C. Osman,97,89
4,0:29.0,,C. Sexton misses 3-pt jump shot from 23 ft (block by D. Rose),97,89
4,0:28.0,,Offensive rebound by Team,97,89
4,0:24.0,,Shooting foul by J. Teague (drawn by T. Thompson),97,89
4,0:24.0,,Technical foul by T. Thibodeau,97,89
4,0:24.0,,K. Korver makes technical free throw,97,90
4,0:24.0,,T. Thompson makes free throw 1 of 2,97,91
4,0:24.0,,T. Thompson makes free throw 2 of 2,97,92
4,0:24.0,Minnesota full timeout,,97,92
4,0:24.0,D. Šarić enters the game for T. Gibson,,97,92
4,0:23.0,Personal foul by T. Thompson (drawn by J. Teague),,97,92
4,0:22.0,Personal foul by T. Thompson (drawn by J. Teague),,97,92
4,0:22.0,J. Teague makes free throw 1 of 2,,98,92
4,0:22.0,T. Gibson enters the game for D. Šarić,,98,92
4,0:22.0,J. Teague makes free throw 2 of 2,,99,92
4,0:14.0,,K. Korver makes 3-pt jump shot from 29 ft (assist by C. Osman),99,95
4,0:14.0,,Technical foul by C. Osman,99,95
4,0:14.0,R. Covington makes technical free throw,,100,95
4,0:14.0,D. Šarić enters the game for T. Gibson,,100,95
4,0:14.0,Minnesota full timeout,,100,95
4,0:13.0,Personal foul by K. Korver (drawn by R. Covington),,100,95
4,0:13.0,R. Covington makes free throw 1 of 2,,101,95
4,0:13.0,T. Gibson enters the game for D. Šarić,,101,95
4,0:13.0,R. Covington makes free throw 2 of 2,,102,95
