QUARTER,TIME_REMAINING,LA LAKERS_ACTION,BOSTON_ACTION,LA LAKERS_SCORE,BOSTON_SCORE
1,4:15.0,,A. Horford makes 2-pt layup from 3 ft (assist by M. Smart),13,18
1,4:15.0,,Shooting foul by B. Ingram (drawn by A. Horford),13,18
1,4:15.0,,A. Horford makes free throw 1 of 1,13,19
1,3:57.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,13,19
1,3:54.0,,Defensive rebound by M. Morris,13,19
1,3:47.0,,K. Irving misses 2-pt layup from 3 ft (block by K. Kuzma),13,19
1,3:46.0,,Offensive rebound by Team,13,19
1,3:46.0,L. Stephenson enters the game for K. Kuzma,,13,19
1,3:34.0,,M. Smart misses 3-pt jump shot from 28 ft,13,19
1,3:31.0,Defensive rebound by Team,,13,19
1,3:31.0,,J. Brown enters the game for M. Morris,13,19
1,3:31.0,,T. Rozier enters the game for M. Smart,13,19
1,3:27.0,Personal foul by K. Irving (drawn by L. James),,13,19
1,3:27.0,L. James misses free throw 1 of 2,,13,19
1,3:27.0,Offensive rebound by Team,,13,19
1,3:27.0,L. James misses free throw 2 of 2,,13,19
1,3:27.0,,Defensive rebound by G. Hayward,13,19
1,3:14.0,,G. Hayward misses 3-pt jump shot from 26 ft,13,19
1,3:12.0,,Offensive rebound by J. Brown,13,19
1,3:10.0,,Shooting foul by L. James (drawn by J. Brown),13,19
1,3:10.0,,J. Brown makes free throw 1 of 2,13,20
1,3:10.0,LA Lakers full timeout,,13,20
1,3:10.0,R. Rondo enters the game for L. James,,13,20
1,3:10.0,,D. Theis enters the game for A. Horford,13,20
1,3:10.0,,J. Brown makes free throw 2 of 2,13,21
1,2:59.0,L. Stephenson misses 3-pt jump shot from 26 ft,,13,21
1,2:57.0,Offensive rebound by B. Ingram,,13,21
1,2:52.0,Shooting foul by D. Theis (drawn by L. Stephenson),,13,21
1,2:52.0,L. Stephenson misses free throw 1 of 2,,13,21
1,2:52.0,Offensive rebound by Team,,13,21
1,2:52.0,L. Stephenson makes free throw 2 of 2,,14,21
1,2:34.0,,K. Irving misses 2-pt jump shot from 8 ft (block by T. Chandler),14,21
1,2:31.0,Defensive rebound by T. Chandler,,14,21
1,2:26.0,R. Rondo misses 2-pt layup from 2 ft,,14,21
1,2:25.0,,Defensive rebound by D. Theis,14,21
1,2:20.0,,G. Hayward makes 2-pt dunk from 1 ft (assist by K. Irving),14,23
1,2:04.0,L. Stephenson makes 3-pt jump shot from 24 ft (assist by R. Rondo),,17,23
1,1:48.0,,T. Rozier makes 3-pt jump shot from 25 ft (assist by G. Hayward),17,26
1,1:36.0,L. Stephenson makes 3-pt jump shot from 26 ft (assist by R. Rondo),,20,26
1,1:24.0,,D. Theis makes 2-pt jump shot from 10 ft (assist by T. Rozier),20,28
1,1:01.0,Turnover by B. Ingram (lost ball; steal by T. Rozier),,20,28
1,0:57.0,,Shooting foul by L. Stephenson (drawn by T. Rozier),20,28
1,0:57.0,,T. Rozier makes free throw 1 of 2,20,29
1,0:57.0,J. Hart enters the game for K. Caldwell-Pope,,20,29
1,0:57.0,,J. Tatum enters the game for K. Irving,20,29
1,0:57.0,,T. Rozier makes free throw 2 of 2,20,30
1,0:45.0,B. Ingram makes 2-pt dunk from 1 ft,,22,30
1,0:39.0,,T. Rozier misses 3-pt jump shot from 25 ft,22,30
1,0:37.0,Defensive rebound by J. Hart,,22,30
1,0:27.0,L. Stephenson makes 2-pt layup from 2 ft,,24,30
1,0:11.0,,G. Hayward misses 3-pt jump shot from 25 ft,24,30
1,0:09.0,Defensive rebound by T. Chandler,,24,30
1,0:01.0,B. Ingram misses 2-pt jump shot from 5 ft,,24,30
1,0:01.0,,Defensive rebound by G. Hayward,24,30
2,11:46.0,,T. Rozier makes 3-pt jump shot from 25 ft,24,33
2,11:28.0,L. Stephenson misses 3-pt jump shot from 26 ft,,24,33
2,11:26.0,,Defensive rebound by T. Rozier,24,33
2,11:18.0,,Turnover by D. Theis (traveling),24,33
2,11:00.0,R. Rondo makes 2-pt layup from 3 ft,,26,33
2,10:49.0,,J. Tatum makes 2-pt jump shot from 18 ft (assist by T. Rozier),26,35
2,10:21.0,R. Rondo makes 3-pt jump shot from 27 ft,,29,35
2,10:05.0,,J. Tatum misses 2-pt jump shot from 5 ft (block by J. Hart),29,35
2,10:02.0,,Offensive rebound by J. Tatum,29,35
2,10:00.0,,T. Rozier makes 3-pt jump shot from 23 ft (assist by J. Tatum),29,38
2,9:49.0,J. McGee makes 2-pt dunk from 1 ft (assist by K. Kuzma),,31,38
2,9:34.0,,J. Tatum makes 2-pt jump shot from 11 ft (assist by D. Theis),31,40
2,9:17.0,J. McGee makes 2-pt layup from 2 ft (assist by L. Stephenson),,33,40
2,9:04.0,,J. Tatum makes 3-pt jump shot from 26 ft (assist by T. Rozier),33,43
2,8:51.0,,Violation by Team (kicked ball),33,43
2,8:51.0,L. James enters the game for L. Stephenson,,33,43
2,8:42.0,K. Kuzma makes 2-pt layup from 2 ft (assist by J. Hart),,35,43
2,8:33.0,,D. Theis makes 3-pt jump shot from 26 ft (assist by T. Rozier),35,46
2,8:13.0,J. McGee misses 2-pt layup from 2 ft,,35,46
2,8:10.0,,Defensive rebound by G. Hayward,35,46
2,8:07.0,,J. Brown makes 2-pt dunk at rim (assist by G. Hayward),35,48
2,8:07.0,LA Lakers full timeout,,35,48
2,7:50.0,K. Kuzma misses 2-pt layup from 2 ft,,35,48
2,7:45.0,,Defensive rebound by D. Theis,35,48
2,7:35.0,,J. Brown misses 3-pt jump shot from 23 ft,35,48
2,7:33.0,Defensive rebound by J. McGee,,35,48
2,7:33.0,B. Ingram enters the game for J. Hart,,35,48
2,7:18.0,L. James misses 2-pt layup from 2 ft,,35,48
2,7:17.0,,Defensive rebound by J. Tatum,35,48
2,7:09.0,,J. Brown makes 2-pt layup at rim (assist by G. Hayward),35,50
2,6:54.0,L. James misses 2-pt layup from 4 ft (block by J. Brown),,35,50
2,6:53.0,Offensive rebound by Team,,35,50
2,6:53.0,,K. Irving enters the game for G. Hayward,35,50
2,6:50.0,B. Ingram misses 2-pt jump shot from 13 ft,,35,50
2,6:48.0,,Defensive rebound by K. Irving,35,50
2,6:44.0,,J. Brown makes 3-pt jump shot from 24 ft (assist by K. Irving),35,53
2,6:43.0,LA Lakers full timeout,,35,53
2,6:43.0,K. Caldwell-Pope enters the game for J. McGee,,35,53
2,6:43.0,L. Stephenson enters the game for R. Rondo,,35,53
2,6:29.0,K. Kuzma misses 2-pt hook shot from 11 ft,,35,53
2,6:27.0,,Defensive rebound by J. Tatum,35,53
2,6:12.0,,Turnover by J. Brown (lost ball; steal by L. James),35,53
2,6:07.0,L. James makes 2-pt layup from 2 ft (assist by B. Ingram),,37,53
2,5:58.0,,Personal foul by B. Ingram (drawn by D. Theis),37,53
2,5:58.0,,A. Horford enters the game for T. Rozier,37,53
2,5:58.0,,M. Morris enters the game for D. Theis,37,53
2,5:46.0,,A. Horford misses 2-pt jump shot from 12 ft,37,53
2,5:44.0,Defensive rebound by L. James,,37,53
2,5:40.0,K. Kuzma makes 2-pt dunk at rim (assist by L. James),,39,53
2,5:18.0,,K. Irving misses 2-pt jump shot from 6 ft,39,53
2,5:16.0,,Offensive rebound by A. Horford,39,53
2,5:15.0,,A. Horford makes 2-pt layup from 1 ft,39,55
2,4:58.0,K. Kuzma misses 2-pt jump shot from 12 ft,,39,55
2,4:57.0,Offensive rebound by L. James,,39,55
2,4:56.0,L. James makes 2-pt layup at rim,,41,55
2,4:42.0,,K. Irving misses 3-pt jump shot from 25 ft,41,55
2,4:40.0,Defensive rebound by L. Stephenson,,41,55
2,4:34.0,L. James misses 2-pt layup from 1 ft,,41,55
2,4:34.0,,Defensive rebound by J. Tatum,41,55
2,4:27.0,,J. Brown makes 2-pt dunk from 1 ft (assist by J. Tatum),41,57
2,4:15.0,B. Ingram misses 2-pt jump shot from 13 ft,,41,57
2,4:13.0,,Defensive rebound by K. Irving,41,57
2,4:05.0,,Shooting foul by L. James (drawn by K. Irving),41,57
2,4:05.0,,K. Irving makes free throw 1 of 2,41,58
2,4:05.0,T. Chandler enters the game for K. Kuzma,,41,58
2,4:05.0,,M. Smart enters the game for J. Brown,41,58
2,4:05.0,,K. Irving makes free throw 2 of 2,41,59
2,3:47.0,L. James makes 3-pt jump shot from 31 ft (assist by L. Stephenson),,44,59
2,3:33.0,,A. Horford makes 2-pt jump shot from 19 ft (assist by K. Irving),44,61
2,3:22.0,L. Stephenson makes 2-pt layup from 1 ft (assist by L. James),,46,61
2,3:07.0,,J. Tatum misses 2-pt jump shot from 20 ft,46,61
2,3:04.0,Defensive rebound by L. James,,46,61
2,2:57.0,K. Caldwell-Pope makes 3-pt jump shot from 27 ft (assist by L. James),,49,61
2,2:55.0,,Boston full timeout,49,61
2,2:55.0,,G. Hayward enters the game for J. Tatum,49,61
2,2:45.0,,K. Irving misses 2-pt jump shot from 21 ft,49,61
2,2:43.0,,Offensive rebound by M. Smart,49,61
2,2:40.0,,K. Irving misses 3-pt jump shot from 26 ft,49,61
2,2:38.0,Defensive rebound by L. Stephenson,,49,61
2,2:27.0,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by L. James),,52,61
2,2:15.0,,Turnover by K. Irving (bad pass; steal by L. James),52,61
2,2:10.0,L. James makes 2-pt dunk from 2 ft (assist by B. Ingram),,54,61
2,1:55.0,,G. Hayward misses 2-pt jump shot from 19 ft,54,61
2,1:53.0,Defensive rebound by T. Chandler,,54,61
2,1:41.0,Shooting foul by G. Hayward (drawn by L. James),,54,61
2,1:41.0,L. James misses free throw 1 of 2,,54,61
2,1:41.0,Offensive rebound by Team,,54,61
2,1:41.0,L. James misses free throw 2 of 2,,54,61
2,1:41.0,,Defensive rebound by G. Hayward,54,61
2,1:30.0,,M. Morris misses 3-pt jump shot from 25 ft,54,61
2,1:28.0,,Offensive rebound by A. Horford,54,61
2,1:25.0,,M. Smart misses 3-pt jump shot from 25 ft,54,61
2,1:23.0,Defensive rebound by T. Chandler,,54,61
2,1:19.0,L. James misses 3-pt jump shot from 34 ft,,54,61
2,1:17.0,,Defensive rebound by G. Hayward,54,61
2,1:04.0,,G. Hayward makes 2-pt jump shot from 11 ft (assist by A. Horford),54,63
2,0:53.0,K. Caldwell-Pope misses 2-pt jump shot from 20 ft,,54,63
2,0:51.0,,Defensive rebound by A. Horford,54,63
2,0:40.0,,M. Morris misses 3-pt jump shot from 25 ft,54,63
2,0:38.0,Defensive rebound by T. Chandler,,54,63
2,0:33.0,L. Stephenson makes 3-pt jump shot from 25 ft (assist by L. James),,57,63
2,0:23.0,,A. Horford makes 3-pt jump shot from 25 ft (assist by M. Smart),57,66
2,0:02.0,B. Ingram misses 3-pt jump shot from 26 ft,,57,66
2,0:01.0,,Defensive rebound by G. Hayward,57,66
3,11:47.0,,K. Irving misses 2-pt jump shot from 16 ft,57,66
3,11:44.0,Defensive rebound by L. James,,57,66
3,11:39.0,J. McGee makes 2-pt dunk from 1 ft (assist by B. Ingram),,59,66
3,11:23.0,,K. Irving misses 2-pt jump shot from 9 ft,59,66
3,11:21.0,Defensive rebound by R. Rondo,,59,66
3,11:14.0,K. Kuzma makes 3-pt jump shot from 26 ft (assist by R. Rondo),,62,66
3,11:03.0,,Personal foul by R. Rondo (drawn by K. Irving),62,66
3,10:47.0,,J. Tatum makes 2-pt hook shot from 2 ft (assist by A. Horford),62,68
3,10:23.0,K. Kuzma misses 2-pt jump shot from 18 ft,,62,68
3,10:22.0,,Defensive rebound by M. Morris,62,68
3,10:07.0,,K. Irving misses 2-pt jump shot from 11 ft,62,68
3,10:05.0,Defensive rebound by K. Kuzma,,62,68
3,9:52.0,Turnover by R. Rondo (bad pass; steal by M. Morris),,62,68
3,9:50.0,Loose ball foul by R. Rondo (drawn by K. Irving),,62,68
3,9:31.0,,M. Smart misses 2-pt layup from 2 ft (block by J. McGee),62,68
3,9:30.0,,Offensive rebound by Team,62,68
3,9:26.0,,Shooting foul by L. James (drawn by K. Irving),62,68
3,9:26.0,,K. Irving makes free throw 1 of 2,62,69
3,9:26.0,,K. Irving makes free throw 2 of 2,62,70
3,9:09.0,K. Kuzma makes 3-pt jump shot from 26 ft (assist by L. James),,65,70
3,8:55.0,,A. Horford misses 3-pt jump shot from 26 ft,65,70
3,8:53.0,Defensive rebound by L. James,,65,70
3,8:50.0,J. McGee makes 2-pt layup from 4 ft (assist by L. James),,67,70
3,8:50.0,Shooting foul by A. Horford (drawn by J. McGee),,67,70
3,8:50.0,J. McGee misses free throw 1 of 1,,67,70
3,8:50.0,,Defensive rebound by J. Tatum,67,70
3,8:36.0,,M. Smart misses 3-pt jump shot from 25 ft,67,70
3,8:34.0,Defensive rebound by L. James,,67,70
3,8:28.0,L. James misses 3-pt jump shot from 27 ft,,67,70
3,8:26.0,,Defensive rebound by K. Irving,67,70
3,8:17.0,,M. Morris misses 3-pt jump shot from 23 ft,67,70
3,8:14.0,Defensive rebound by J. McGee,,67,70
3,8:05.0,K. Kuzma misses 3-pt jump shot from 25 ft,,67,70
3,8:04.0,,Defensive rebound by Team,67,70
3,8:04.0,Loose ball foul by J. McGee (drawn by M. Smart),,67,70
3,8:04.0,,Boston full timeout,67,70
3,7:51.0,,K. Irving misses 3-pt jump shot from 27 ft,67,70
3,7:49.0,Defensive rebound by K. Kuzma,,67,70
3,7:39.0,J. McGee makes 2-pt layup from 1 ft (assist by L. James),,69,70
3,7:28.0,,A. Horford makes 2-pt jump shot from 16 ft (assist by K. Irving),69,72
3,7:13.0,K. Kuzma makes 3-pt jump shot from 23 ft (assist by L. James),,72,72
3,7:01.0,,M. Smart misses 3-pt jump shot from 24 ft,72,72
3,6:59.0,Defensive rebound by J. McGee,,72,72
3,6:53.0,K. Kuzma makes 3-pt jump shot from 27 ft (assist by R. Rondo),,75,72
3,6:42.0,,K. Irving makes 3-pt jump shot from 27 ft (assist by M. Smart),75,75
3,6:27.0,K. Kuzma misses 2-pt jump shot from 16 ft,,75,75
3,6:25.0,,Defensive rebound by J. Tatum,75,75
3,6:09.0,,Turnover by K. Irving (bad pass; steal by B. Ingram),75,75
3,6:00.0,R. Rondo makes 3-pt jump shot from 26 ft (assist by B. Ingram),,78,75
3,5:42.0,,J. Tatum makes 2-pt jump shot from 16 ft,78,77
3,5:28.0,R. Rondo makes 2-pt jump shot from 8 ft,,80,77
3,5:15.0,,J. Tatum makes 2-pt jump shot from 11 ft (assist by K. Irving),80,79
3,5:15.0,,Shooting foul by J. McGee (drawn by J. Tatum),80,79
3,5:15.0,K. Caldwell-Pope enters the game for J. McGee,,80,79
3,5:15.0,T. Chandler enters the game for R. Rondo,,80,79
3,5:15.0,,G. Hayward enters the game for A. Horford,80,79
3,5:15.0,,D. Theis enters the game for M. Smart,80,79
3,5:15.0,,J. Tatum makes free throw 1 of 1,80,80
3,5:00.0,B. Ingram makes 3-pt jump shot from 23 ft (assist by L. James),,83,80
3,4:40.0,,D. Theis makes 2-pt jump shot from 17 ft (assist by G. Hayward),83,82
3,4:19.0,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by L. James),,86,82
3,4:01.0,,D. Theis makes 3-pt jump shot from 26 ft (assist by M. Morris),86,85
3,3:51.0,K. Kuzma misses 2-pt hook shot from 6 ft,,86,85
3,3:50.0,Offensive rebound by Team,,86,85
3,3:50.0,,J. Brown enters the game for M. Morris,86,85
3,3:43.0,L. James makes 3-pt jump shot from 25 ft,,89,85
3,3:28.0,,D. Theis makes 2-pt dunk from 1 ft (assist by K. Irving),89,87
3,3:17.0,LA Lakers full timeout,,89,87
3,3:17.0,,T. Rozier enters the game for J. Tatum,89,87
3,3:09.0,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by L. James),,92,87
3,2:51.0,,J. Brown misses 3-pt jump shot from 23 ft,92,87
3,2:49.0,Defensive rebound by K. Kuzma,,92,87
3,2:38.0,K. Kuzma misses 3-pt jump shot from 23 ft,,92,87
3,2:34.0,Offensive rebound by T. Chandler,,92,87
3,2:19.0,L. James makes 2-pt layup from 4 ft,,94,87
3,2:08.0,,K. Irving misses 2-pt layup from 4 ft,94,87
3,2:07.0,Defensive rebound by B. Ingram,,94,87
3,2:07.0,Personal foul by D. Theis (drawn by B. Ingram),,94,87
3,2:07.0,R. Rondo enters the game for L. James,,94,87
3,1:59.0,Turnover by R. Rondo (bad pass),,94,87
3,1:45.0,,D. Theis makes 2-pt dunk from 2 ft (assist by G. Hayward),94,89
3,1:32.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,94,89
3,1:30.0,,Defensive rebound by T. Rozier,94,89
3,1:19.0,,J. Brown makes 2-pt layup from 1 ft (assist by T. Rozier),94,91
3,1:07.0,K. Kuzma makes 2-pt layup from 1 ft (assist by R. Rondo),,96,91
3,0:49.0,,K. Irving misses 2-pt layup from 3 ft (block by T. Chandler),96,91
3,0:48.0,,Offensive rebound by K. Irving,96,91
3,0:47.0,,K. Irving misses 2-pt jump shot from 7 ft,96,91
3,0:46.0,,Offensive rebound by D. Theis,96,91
3,0:46.0,,D. Theis misses 2-pt dunk at rim,96,91
3,0:45.0,Defensive rebound by Team,,96,91
3,0:34.0,Shooting foul by D. Theis (drawn by B. Ingram),,96,91
3,0:34.0,B. Ingram misses free throw 1 of 2,,96,91
3,0:34.0,Offensive rebound by Team,,96,91
3,0:34.0,J. Hart enters the game for T. Chandler,,96,91
3,0:34.0,B. Ingram makes free throw 2 of 2,,97,91
3,0:18.0,,J. Brown misses 2-pt jump shot from 9 ft,97,91
3,0:17.0,,Offensive rebound by D. Theis,97,91
3,0:17.0,,D. Theis makes 2-pt layup at rim,97,93
3,0:00.0,R. Rondo makes 2-pt layup from 5 ft,,99,93
4,11:47.0,R. Rondo misses 2-pt layup from 3 ft (block by D. Theis),,99,93
4,11:45.0,,Defensive rebound by J. Tatum,99,93
4,11:39.0,,Shooting foul by J. Hart (drawn by T. Rozier),99,93
4,11:39.0,,T. Rozier makes free throw 1 of 2,99,94
4,11:39.0,,T. Rozier makes free throw 2 of 2,99,95
4,11:28.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,99,95
4,11:26.0,,Defensive rebound by T. Rozier,99,95
4,11:13.0,,J. Tatum misses 2-pt jump shot from 12 ft,99,95
4,11:12.0,,Offensive rebound by J. Brown,99,95
4,11:11.0,,J. Brown makes 2-pt dunk at rim,99,97
4,10:59.0,K. Caldwell-Pope makes 2-pt jump shot from 9 ft (assist by R. Rondo),,101,97
4,10:44.0,,Personal foul by J. Hart (drawn by T. Rozier),101,97
4,10:36.0,,J. Brown makes 3-pt jump shot from 26 ft (assist by D. Theis),101,100
4,10:21.0,J. Hart misses 3-pt jump shot from 24 ft,,101,100
4,10:19.0,,Defensive rebound by T. Rozier,101,100
4,10:10.0,,D. Theis makes 2-pt dunk from 1 ft (assist by T. Rozier),101,102
4,10:10.0,LA Lakers full timeout,,101,102
4,10:10.0,L. James enters the game for J. Hart,,101,102
4,9:50.0,Personal foul by J. Brown (drawn by J. McGee),,101,102
4,9:37.0,R. Rondo misses 3-pt jump shot from 23 ft,,101,102
4,9:35.0,,Defensive rebound by J. Tatum,101,102
4,9:16.0,,D. Theis misses 2-pt layup from 2 ft,101,102
4,9:14.0,Defensive rebound by R. Rondo,,101,102
4,8:58.0,Turnover by L. James (bad pass; steal by J. Tatum),,101,102
4,8:47.0,,T. Rozier makes 3-pt jump shot from 23 ft (assist by J. Brown),101,105
4,8:33.0,Personal foul by J. Brown (drawn by L. James),,101,105
4,8:33.0,B. Ingram enters the game for L. Stephenson,,101,105
4,8:24.0,L. James misses 2-pt jump shot from 11 ft,,101,105
4,8:22.0,,Defensive rebound by J. Tatum,101,105
4,8:08.0,,T. Rozier misses 2-pt jump shot from 14 ft,101,105
4,8:05.0,Defensive rebound by R. Rondo,,101,105
4,7:57.0,J. McGee makes 2-pt layup from 1 ft (assist by B. Ingram),,103,105
4,7:36.0,,T. Rozier makes 3-pt jump shot from 26 ft (assist by J. Tatum),103,108
4,7:10.0,L. James misses 3-pt jump shot from 23 ft,,103,108
4,7:09.0,,Defensive rebound by Team,103,108
4,7:09.0,K. Kuzma enters the game for K. Caldwell-Pope,,103,108
4,6:58.0,,Boston full timeout,103,108
4,6:50.0,,T. Rozier misses 3-pt jump shot from 27 ft,103,108
4,6:48.0,Defensive rebound by L. James,,103,108
4,6:28.0,B. Ingram makes 2-pt dunk from 2 ft (assist by R. Rondo),,105,108
4,6:15.0,,J. Tatum misses 2-pt layup from 1 ft,105,108
4,6:14.0,,Offensive rebound by D. Theis,105,108
4,6:13.0,,D. Theis makes 2-pt layup at rim,105,110
4,6:07.0,Personal foul by J. Tatum (drawn by B. Ingram),,105,110
4,6:07.0,,K. Irving enters the game for G. Hayward,105,110
4,5:57.0,R. Rondo misses 2-pt jump shot from 3 ft (block by D. Theis),,105,110
4,5:56.0,Offensive rebound by Team,,105,110
4,5:52.0,L. James makes 3-pt jump shot from 27 ft,,108,110
4,5:32.0,,T. Rozier misses 2-pt jump shot from 20 ft,108,110
4,5:30.0,Defensive rebound by L. James,,108,110
4,5:27.0,Turnover by L. James (bad pass; steal by J. Brown),,108,110
4,5:26.0,,Personal take foul by K. Kuzma (drawn by K. Irving),108,110
4,5:26.0,,M. Smart enters the game for T. Rozier,108,110
4,5:07.0,,Personal foul by J. McGee (drawn by K. Irving),108,110
4,4:58.0,,J. Tatum makes 2-pt layup from 4 ft,108,112
4,4:44.0,Shooting foul by D. Theis (drawn by J. McGee),,108,112
4,4:44.0,J. McGee makes free throw 1 of 2,,109,112
4,4:44.0,J. McGee makes free throw 2 of 2,,110,112
4,4:29.0,,K. Irving makes 2-pt layup from 1 ft,110,114
4,4:21.0,L. James makes 3-pt jump shot from 27 ft,,113,114
4,4:01.0,,K. Irving makes 3-pt jump shot from 26 ft,113,117
4,3:49.0,L. James misses 3-pt jump shot from 25 ft,,113,117
4,3:48.0,,Defensive rebound by D. Theis,113,117
4,3:42.0,,Personal foul by L. James (drawn by K. Irving),113,117
4,3:42.0,,K. Irving makes free throw 1 of 2,113,118
4,3:42.0,,A. Horford enters the game for D. Theis,113,118
4,3:42.0,,K. Irving makes free throw 2 of 2,113,119
4,3:29.0,B. Ingram makes 2-pt jump shot from 19 ft (assist by R. Rondo),,115,119
4,3:05.0,,J. Tatum misses 2-pt jump shot from 18 ft,115,119
4,3:03.0,Defensive rebound by L. James,,115,119
4,2:44.0,K. Kuzma makes 2-pt jump shot from 7 ft (assist by B. Ingram),,117,119
4,2:23.0,,M. Smart misses 3-pt jump shot from 25 ft,117,119
