QUARTER,TIME_REMAINING,WASHINGTON_ACTION,NEW YORK_ACTION,WASHINGTON_SCORE,NEW YORK_SCORE
2,2:48.0,,Shooting foul by O. Porter (drawn by E. Freedom),48,52
2,2:48.0,,E. Freedom makes free throw 1 of 2,48,53
2,2:48.0,,E. Freedom misses free throw 2 of 2,48,53
2,2:46.0,Defensive rebound by B. Beal,,48,53
2,2:26.0,K. Oubre makes 2-pt dunk from 1 ft (assist by J. Wall),,50,53
2,2:08.0,,T. Hardaway makes 2-pt jump shot from 19 ft (assist by E. Freedom),50,55
2,1:43.0,J. Wall misses 3-pt jump shot from 25 ft,,50,55
2,1:41.0,,Defensive rebound by E. Freedom,50,55
2,1:33.0,,T. Hardaway makes 3-pt jump shot from 25 ft,50,58
2,1:09.0,B. Beal misses 3-pt jump shot from 25 ft,,50,58
2,1:09.0,,Defensive rebound by Team,50,58
2,0:52.0,,E. Mudiay makes 3-pt jump shot from 23 ft (assist by M. Hezonja),50,61
2,0:39.0,O. Porter misses 2-pt jump shot from 14 ft,,50,61
2,0:39.0,Offensive rebound by I. Mahinmi,,50,61
2,0:37.0,I. Mahinmi misses 2-pt layup at rim,,50,61
2,0:34.0,Offensive rebound by I. Mahinmi,,50,61
2,0:34.0,I. Mahinmi misses 2-pt layup at rim,,50,61
2,0:33.0,,Defensive rebound by E. Freedom,50,61
2,0:27.0,,Turnover by E. Mudiay (lost ball; steal by O. Porter),50,61
2,0:06.0,B. Beal makes 2-pt layup from 1 ft,,52,61
2,0:01.0,,E. Mudiay misses 3-pt jump shot from 31 ft (block by K. Oubre),52,61
2,0:01.0,,Offensive rebound by Team,52,61
3,11:34.0,,N. Vonleh misses 2-pt layup from 1 ft,52,61
3,11:33.0,,Offensive rebound by N. Vonleh,52,61
3,11:32.0,,N. Vonleh misses 2-pt layup from 1 ft,52,61
3,11:31.0,,Offensive rebound by N. Vonleh,52,61
3,11:26.0,,T. Hardaway misses 3-pt jump shot from 24 ft,52,61
3,11:24.0,Defensive rebound by T. Bryant,,52,61
3,11:11.0,Turnover by T. Bryant (offensive foul),,52,61
3,11:11.0,Offensive foul by T. Bryant (drawn by T. Hardaway),,52,61
3,11:05.0,,Personal foul by T. Bryant (drawn by M. Hezonja),52,61
3,10:57.0,,M. Hezonja misses 3-pt jump shot from 24 ft,52,61
3,10:55.0,Defensive rebound by T. Satoranský,,52,61
3,10:49.0,J. Wall misses 2-pt jump shot from 15 ft,,52,61
3,10:47.0,,Defensive rebound by N. Vonleh,52,61
3,10:39.0,,T. Hardaway misses 2-pt jump shot from 20 ft,52,61
3,10:37.0,,Offensive rebound by E. Freedom,52,61
3,10:37.0,,E. Freedom misses 2-pt layup at rim,52,61
3,10:35.0,Defensive rebound by B. Beal,,52,61
3,10:22.0,B. Beal makes 3-pt jump shot from 24 ft,,55,61
3,10:13.0,,Personal foul by T. Satoranský (drawn by M. Hezonja),55,61
3,10:00.0,,E. Freedom makes 2-pt hook shot from 5 ft (assist by N. Vonleh),55,63
3,9:49.0,T. Bryant makes 2-pt layup from 1 ft (assist by B. Beal),,57,63
3,9:31.0,,N. Vonleh misses 2-pt jump shot from 4 ft (block by B. Beal),57,63
3,9:28.0,Defensive rebound by Team,,57,63
3,9:17.0,J. Wall makes 2-pt jump shot from 17 ft,,59,63
3,9:01.0,,M. Hezonja misses 2-pt jump shot from 4 ft,59,63
3,8:59.0,Defensive rebound by B. Beal,,59,63
3,8:53.0,B. Beal misses 3-pt jump shot from 26 ft,,59,63
3,8:51.0,Offensive rebound by T. Bryant,,59,63
3,8:47.0,J. Wall misses 3-pt jump shot from 25 ft,,59,63
3,8:45.0,,Defensive rebound by E. Mudiay,59,63
3,8:37.0,,N. Vonleh misses 3-pt jump shot from 25 ft,59,63
3,8:35.0,,Offensive rebound by E. Freedom,59,63
3,8:33.0,,Turnover by E. Freedom (traveling),59,63
3,8:20.0,O. Porter misses 2-pt jump shot from 22 ft,,59,63
3,8:18.0,,Defensive rebound by E. Mudiay,59,63
3,8:09.0,,E. Mudiay misses 2-pt layup from 4 ft (block by J. Wall),59,63
3,8:08.0,,Offensive rebound by Team,59,63
3,7:57.0,,E. Freedom misses 2-pt hook shot from 3 ft,59,63
3,7:56.0,Defensive rebound by T. Bryant,,59,63
3,7:44.0,O. Porter makes 3-pt jump shot from 25 ft (assist by T. Satoranský),,62,63
3,7:43.0,,New York full timeout,62,63
3,7:21.0,,E. Freedom makes 2-pt layup from 1 ft,62,65
3,7:10.0,T. Bryant makes 2-pt dunk at rim (assist by J. Wall),,64,65
3,6:41.0,,E. Mudiay misses 2-pt layup at rim,64,65
3,6:39.0,,Offensive rebound by E. Freedom,64,65
3,6:38.0,,E. Freedom misses 2-pt layup from 1 ft,64,65
3,6:36.0,Defensive rebound by O. Porter,,64,65
3,6:20.0,O. Porter makes 3-pt jump shot from 23 ft (assist by T. Bryant),,67,65
3,6:06.0,,T. Hardaway misses 2-pt jump shot from 2 ft,67,65
3,6:04.0,Defensive rebound by O. Porter,,67,65
3,6:01.0,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Wall),,70,65
3,5:43.0,,Turnover by M. Hezonja (traveling),70,65
3,5:43.0,,D. Dotson enters the game for M. Hezonja,70,65
3,5:34.0,B. Beal makes 2-pt dunk from 2 ft (assist by J. Wall),,72,65
3,5:34.0,Technical foul by B. Beal,,72,65
3,5:34.0,,New York full timeout,72,65
3,5:34.0,,K. Knox enters the game for E. Freedom,72,65
3,5:34.0,,T. Hardaway makes technical free throw,72,66
3,5:27.0,,Personal foul by T. Bryant (drawn by N. Vonleh),72,66
3,5:15.0,,K. Knox misses 3-pt jump shot from 24 ft,72,66
3,5:14.0,Defensive rebound by Team,,72,66
3,5:01.0,O. Porter makes 2-pt jump shot from 20 ft (assist by J. Wall),,74,66
3,4:47.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by K. Knox),74,69
3,4:26.0,B. Beal misses 2-pt jump shot from 12 ft,,74,69
3,4:24.0,Offensive rebound by T. Bryant,,74,69
3,4:21.0,T. Bryant makes 2-pt layup from 1 ft,,76,69
3,4:16.0,,T. Hardaway misses 3-pt jump shot from 29 ft,76,69
3,4:14.0,Defensive rebound by T. Satoranský,,76,69
3,4:08.0,B. Beal misses 3-pt jump shot from 23 ft,,76,69
3,4:06.0,,Defensive rebound by D. Dotson,76,69
3,4:03.0,,Personal foul by T. Satoranský (drawn by D. Dotson),76,69
3,4:03.0,M. Morris enters the game for T. Bryant,,76,69
3,4:03.0,K. Oubre enters the game for T. Satoranský,,76,69
3,4:03.0,,A. Trier enters the game for T. Hardaway,76,69
3,3:52.0,,Turnover by N. Vonleh (lost ball; steal by M. Morris),76,69
3,3:48.0,M. Morris makes 2-pt dunk from 1 ft (assist by B. Beal),,78,69
3,3:37.0,,Turnover by N. Vonleh (bad pass; steal by B. Beal),78,69
3,3:33.0,J. Wall makes 2-pt dunk from 1 ft (assist by B. Beal),,80,69
3,3:32.0,,New York full timeout,80,69
3,3:32.0,,M. Robinson enters the game for N. Vonleh,80,69
3,3:20.0,,D. Dotson makes 2-pt layup from 1 ft (assist by A. Trier),80,71
3,3:00.0,B. Beal misses 3-pt jump shot from 26 ft,,80,71
3,2:58.0,,Defensive rebound by K. Knox,80,71
3,2:56.0,,Turnover by K. Knox (bad pass),80,71
3,2:46.0,J. Wall misses 2-pt jump shot from 19 ft,,80,71
3,2:44.0,,Defensive rebound by K. Knox,80,71
3,2:37.0,,E. Mudiay makes 2-pt layup from 1 ft,80,73
3,2:23.0,K. Oubre makes 2-pt layup from 1 ft (assist by J. Wall),,82,73
3,2:06.0,,E. Mudiay makes 2-pt jump shot from 12 ft (assist by M. Robinson),82,75
3,1:50.0,M. Morris makes 2-pt layup from 1 ft (assist by J. Wall),,84,75
3,1:35.0,,Shooting foul by K. Oubre (drawn by A. Trier),84,75
3,1:35.0,J. Green enters the game for B. Beal,,84,75
3,1:35.0,A. Rivers enters the game for O. Porter,,84,75
3,1:35.0,,C. Lee enters the game for E. Mudiay,84,75
3,1:35.0,,A. Trier misses free throw 1 of 2,84,75
3,1:35.0,,Offensive rebound by Team,84,75
3,1:35.0,,A. Trier makes free throw 2 of 2,84,76
3,1:27.0,Personal foul by A. Trier (drawn by J. Wall),,84,76
3,1:20.0,M. Morris makes 2-pt layup from 2 ft (assist by J. Wall),,86,76
3,1:08.0,,Personal foul by A. Rivers (drawn by M. Robinson),86,76
3,1:08.0,,M. Robinson makes free throw 1 of 2,86,77
3,1:08.0,,M. Robinson makes free throw 2 of 2,86,78
3,0:54.0,M. Morris misses 2-pt dunk from 2 ft (block by M. Robinson),,86,78
3,0:53.0,,Defensive rebound by C. Lee,86,78
3,0:49.0,,Turnover by M. Robinson (off goaltending),86,78
3,0:24.0,J. Wall misses 3-pt jump shot from 35 ft,,86,78
3,0:22.0,,Defensive rebound by K. Knox,86,78
3,0:01.0,,Personal foul by A. Rivers (drawn by C. Lee),86,78
3,0:01.0,,C. Lee makes free throw 1 of 2,86,79
3,0:01.0,,C. Lee makes free throw 2 of 2,86,80
4,11:34.0,K. Oubre misses 2-pt layup from 2 ft,,86,80
4,11:32.0,Offensive rebound by M. Morris,,86,80
4,11:32.0,M. Morris misses 2-pt layup from 1 ft,,86,80
4,11:30.0,Offensive rebound by M. Morris,,86,80
4,11:30.0,M. Morris makes 2-pt layup from 1 ft,,88,80
4,11:27.0,,Personal foul by T. Satoranský (drawn by A. Trier),88,80
4,11:14.0,,K. Knox misses 2-pt layup from 9 ft (block by K. Oubre),88,80
4,11:13.0,,Offensive rebound by Team,88,80
4,11:09.0,,M. Robinson misses 2-pt hook shot from 4 ft,88,80
4,11:07.0,Defensive rebound by M. Morris,,88,80
4,10:59.0,M. Morris misses 3-pt jump shot from 26 ft,,88,80
4,10:57.0,,Defensive rebound by C. Lee,88,80
4,10:47.0,,A. Trier misses 3-pt jump shot from 25 ft,88,80
4,10:45.0,,Offensive rebound by M. Robinson,88,80
4,10:41.0,,C. Lee misses 2-pt jump shot from 21 ft,88,80
4,10:39.0,,Offensive rebound by D. Dotson,88,80
4,10:31.0,,K. Knox misses 2-pt jump shot from 18 ft,88,80
4,10:30.0,,Offensive rebound by D. Dotson,88,80
4,10:28.0,,D. Dotson makes 2-pt layup from 2 ft,88,82
4,10:07.0,A. Rivers misses 3-pt jump shot from 25 ft,,88,82
4,10:05.0,,Defensive rebound by K. Knox,88,82
4,10:03.0,,K. Knox misses 2-pt layup from 2 ft,88,82
4,10:02.0,,Offensive rebound by D. Dotson,88,82
4,10:02.0,,Shooting foul by A. Rivers (drawn by D. Dotson),88,82
4,10:02.0,,D. Dotson makes free throw 1 of 2,88,83
4,10:02.0,,D. Dotson makes free throw 2 of 2,88,84
4,9:38.0,K. Oubre makes 3-pt jump shot from 25 ft (assist by J. Green),,91,84
4,9:30.0,,D. Dotson misses 2-pt layup from 1 ft,91,84
4,9:28.0,Defensive rebound by J. Green,,91,84
4,9:19.0,Shooting foul by M. Robinson (drawn by M. Morris),,91,84
4,9:19.0,M. Morris makes free throw 1 of 2,,92,84
4,9:19.0,M. Morris makes free throw 2 of 2,,93,84
4,9:01.0,,A. Trier misses 3-pt jump shot from 25 ft,93,84
4,8:59.0,Defensive rebound by A. Rivers,,93,84
4,8:59.0,B. Beal enters the game for T. Satoranský,,93,84
4,8:59.0,,E. Freedom enters the game for M. Robinson,93,84
4,8:59.0,,E. Mudiay enters the game for A. Trier,93,84
4,8:46.0,B. Beal makes 2-pt layup from 1 ft (assist by K. Oubre),,95,84
4,8:34.0,,Shooting foul by A. Rivers (drawn by C. Lee),95,84
4,8:34.0,,C. Lee misses free throw 1 of 2,95,84
4,8:34.0,,Offensive rebound by Team,95,84
4,8:34.0,,C. Lee makes free throw 2 of 2,95,85
4,8:15.0,A. Rivers misses 2-pt layup from 1 ft,,95,85
4,8:13.0,,Defensive rebound by K. Knox,95,85
4,8:09.0,,C. Lee misses 3-pt jump shot from 25 ft,95,85
4,8:08.0,Defensive rebound by K. Oubre,,95,85
4,7:53.0,B. Beal misses 2-pt jump shot from 20 ft,,95,85
4,7:51.0,,Defensive rebound by K. Knox,95,85
4,7:33.0,,Turnover by E. Mudiay (bad pass; steal by M. Morris),95,85
4,7:29.0,Turnover by M. Morris (bad pass; steal by D. Dotson),,95,85
4,7:25.0,,Personal foul by M. Morris (drawn by K. Knox),95,85
4,7:25.0,T. Bryant enters the game for M. Morris,,95,85
4,7:25.0,J. Wall enters the game for A. Rivers,,95,85
4,7:25.0,,T. Hardaway enters the game for C. Lee,95,85
4,7:20.0,,D. Dotson misses 3-pt jump shot from 26 ft,95,85
4,7:18.0,,Offensive rebound by K. Knox,95,85
4,7:07.0,,E. Mudiay makes 2-pt layup from 1 ft,95,87
4,6:52.0,B. Beal misses 2-pt jump shot from 20 ft,,95,87
4,6:50.0,,Defensive rebound by E. Freedom,95,87
4,6:45.0,,Shooting foul by T. Bryant (drawn by T. Hardaway),95,87
4,6:45.0,,New York full timeout,95,87
4,6:45.0,O. Porter enters the game for J. Green,,95,87
4,6:45.0,,A. Trier enters the game for D. Dotson,95,87
4,6:45.0,,T. Hardaway makes free throw 1 of 2,95,88
4,6:45.0,,T. Hardaway misses free throw 2 of 2,95,88
4,6:43.0,Defensive rebound by B. Beal,,95,88
4,6:28.0,K. Oubre makes 3-pt jump shot from 22 ft (assist by J. Wall),,98,88
4,6:08.0,,Shooting foul by J. Wall (drawn by A. Trier),98,88
4,6:08.0,,A. Trier misses free throw 1 of 2,98,88
4,6:08.0,,Offensive rebound by Team,98,88
4,6:08.0,,A. Trier makes free throw 2 of 2,98,89
4,5:53.0,B. Beal makes 2-pt layup from 1 ft,,100,89
4,5:40.0,,Offensive foul by K. Knox (drawn by O. Porter),100,89
4,5:40.0,,Turnover by K. Knox (offensive foul),100,89
4,5:40.0,Washington full timeout,,100,89
4,5:40.0,,D. Dotson enters the game for A. Trier,100,89
4,5:19.0,K. Oubre misses 3-pt jump shot from 26 ft,,100,89
4,5:17.0,,Defensive rebound by E. Freedom,100,89
4,5:10.0,,Turnover by D. Dotson (bad pass; steal by K. Oubre),100,89
4,5:04.0,O. Porter makes 3-pt jump shot from 23 ft (assist by B. Beal),,103,89
4,4:46.0,,T. Hardaway misses 2-pt jump shot from 16 ft,103,89
4,4:44.0,Defensive rebound by O. Porter,,103,89
4,4:24.0,J. Wall makes 2-pt jump shot from 20 ft,,105,89
4,4:23.0,,New York full timeout,105,89
4,4:23.0,,C. Lee enters the game for T. Hardaway,105,89
4,4:23.0,,N. Vonleh enters the game for E. Freedom,105,89
