QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,BOSTON_ACTION,PHILADELPHIA_SCORE,BOSTON_SCORE
1,7:26.0,,J. Tatum makes 3-pt jump shot from 24 ft (assist by K. Irving),8,7
1,7:14.0,Turnover by D. Šarić (3 sec),,8,7
1,7:04.0,,K. Irving misses 3-pt jump shot from 25 ft,8,7
1,7:02.0,Defensive rebound by B. Simmons,,8,7
1,6:57.0,R. Covington misses 3-pt jump shot from 27 ft,,8,7
1,6:56.0,,Defensive rebound by J. Brown,8,7
1,6:51.0,,J. Brown misses 2-pt layup from 2 ft (block by R. Covington),8,7
1,6:51.0,Defensive rebound by Team,,8,7
1,6:51.0,,Boston full timeout,8,7
1,6:51.0,A. Johnson enters the game for J. Embiid,,8,7
1,6:51.0,J. Redick enters the game for D. Šarić,,8,7
1,6:42.0,Turnover by R. Covington (bad pass; steal by G. Hayward),,8,7
1,6:34.0,,Shooting foul by R. Covington (drawn by J. Tatum),8,7
1,6:34.0,,J. Tatum makes free throw 1 of 2,8,8
1,6:34.0,,J. Tatum makes free throw 2 of 2,8,9
1,6:26.0,B. Simmons misses 2-pt jump shot from 18 ft,,8,9
1,6:22.0,,Defensive rebound by A. Horford,8,9
1,6:10.0,,J. Tatum makes 2-pt jump shot from 19 ft (assist by K. Irving),8,11
1,5:59.0,Offensive foul by B. Simmons (drawn by G. Hayward),,8,11
1,5:59.0,Turnover by B. Simmons (offensive foul),,8,11
1,5:59.0,,M. Morris enters the game for G. Hayward,8,11
1,5:59.0,,T. Rozier enters the game for J. Tatum,8,11
1,5:41.0,,J. Brown makes 2-pt layup from 1 ft,8,13
1,5:25.0,J. Redick misses 2-pt jump shot from 20 ft,,8,13
1,5:24.0,,Defensive rebound by T. Rozier,8,13
1,5:13.0,,Shooting foul by J. Redick (drawn by J. Brown),8,13
1,5:13.0,,J. Brown misses free throw 1 of 2,8,13
1,5:13.0,,Offensive rebound by Team,8,13
1,5:13.0,,J. Brown makes free throw 2 of 2,8,14
1,5:01.0,J. Redick misses 2-pt jump shot from 5 ft (block by A. Horford),,8,14
1,4:57.0,,Defensive rebound by T. Rozier,8,14
1,4:56.0,,T. Rozier misses 2-pt layup from 2 ft,8,14
1,4:54.0,Defensive rebound by A. Johnson,,8,14
1,4:50.0,B. Simmons makes 2-pt layup from 1 ft,,10,14
1,4:38.0,,K. Irving misses 3-pt jump shot from 26 ft,10,14
1,4:36.0,Defensive rebound by A. Johnson,,10,14
1,4:27.0,Shooting foul by M. Morris (drawn by A. Johnson),,10,14
1,4:27.0,A. Johnson misses free throw 1 of 2,,10,14
1,4:27.0,Offensive rebound by Team,,10,14
1,4:27.0,T. McConnell enters the game for R. Covington,,10,14
1,4:27.0,A. Johnson makes free throw 2 of 2,,11,14
1,4:10.0,,M. Morris makes 2-pt jump shot from 19 ft,11,16
1,3:57.0,J. Redick misses 3-pt jump shot from 26 ft,,11,16
1,3:57.0,,Defensive rebound by K. Irving,11,16
1,3:47.0,,A. Horford makes 2-pt layup from 2 ft (assist by T. Rozier),11,18
1,3:47.0,,Shooting foul by A. Johnson (drawn by A. Horford),11,18
1,3:47.0,J. Embiid enters the game for A. Johnson,,11,18
1,3:47.0,,M. Smart enters the game for K. Irving,11,18
1,3:47.0,,A. Horford makes free throw 1 of 1,11,19
1,3:29.0,J. Redick makes 3-pt jump shot from 25 ft (assist by T. McConnell),,14,19
1,3:06.0,,J. Brown misses 3-pt jump shot from 24 ft,14,19
1,3:04.0,Defensive rebound by B. Simmons,,14,19
1,2:59.0,B. Simmons misses 2-pt layup from 3 ft,,14,19
1,2:58.0,,Defensive rebound by M. Smart,14,19
1,2:53.0,,T. Rozier makes 2-pt layup from 2 ft (assist by J. Brown),14,21
1,2:53.0,Philadelphia full timeout,,14,21
1,2:53.0,D. Šarić enters the game for M. Fultz,,14,21
1,2:53.0,,A. Baynes enters the game for J. Brown,14,21
1,2:53.0,,J. Tatum enters the game for A. Horford,14,21
1,2:43.0,Turnover by J. Embiid (bad pass),,14,21
1,2:33.0,,M. Morris misses 3-pt jump shot from 25 ft,14,21
1,2:32.0,Defensive rebound by J. Redick,,14,21
1,2:24.0,Turnover by D. Šarić (out of bounds lost ball),,14,21
1,2:11.0,,T. Rozier misses 2-pt jump shot from 19 ft,14,21
1,2:09.0,Defensive rebound by D. Šarić,,14,21
1,2:00.0,J. Embiid misses 2-pt jump shot from 18 ft,,14,21
1,1:58.0,,Defensive rebound by M. Morris,14,21
1,1:54.0,,Turnover by M. Morris (bad pass),14,21
1,1:44.0,Personal foul by J. Tatum (drawn by B. Simmons),,14,21
1,1:38.0,Shooting foul by M. Smart (drawn by B. Simmons),,14,21
1,1:38.0,B. Simmons misses free throw 1 of 2,,14,21
1,1:38.0,Offensive rebound by Team,,14,21
1,1:38.0,B. Simmons makes free throw 2 of 2,,15,21
1,1:17.0,,J. Tatum misses 2-pt jump shot from 22 ft,15,21
1,1:16.0,Defensive rebound by B. Simmons,,15,21
1,1:11.0,B. Simmons makes 2-pt layup from 1 ft,,17,21
1,0:54.0,,Turnover by M. Smart (bad pass; steal by B. Simmons),17,21
1,0:51.0,D. Šarić makes 2-pt layup from 2 ft (assist by B. Simmons),,19,21
1,0:37.0,,A. Baynes misses 3-pt jump shot from 25 ft,19,21
1,0:34.0,Defensive rebound by J. Embiid,,19,21
1,0:26.0,J. Embiid makes 2-pt layup from 2 ft,,21,21
1,0:04.0,,A. Baynes misses 2-pt hook shot from 4 ft (block by B. Simmons),21,21
1,0:03.0,Defensive rebound by D. Šarić,,21,21
2,11:50.0,,G. Hayward makes 2-pt jump shot from 13 ft,21,23
2,11:26.0,Turnover by J. Embiid (bad pass; steal by G. Hayward),,21,23
2,11:19.0,,J. Tatum misses 2-pt jump shot from 10 ft,21,23
2,11:14.0,,Offensive rebound by G. Hayward,21,23
2,11:13.0,,G. Hayward makes 2-pt jump shot from 18 ft,21,25
2,10:56.0,J. Embiid misses 2-pt hook shot from 5 ft,,21,25
2,10:54.0,,Defensive rebound by J. Tatum,21,25
2,10:50.0,,Personal foul by D. Šarić (drawn by G. Hayward),21,25
2,10:47.0,,Personal foul by D. Šarić (drawn by A. Baynes),21,25
2,10:47.0,B. Simmons enters the game for D. Šarić,,21,25
2,10:41.0,,G. Hayward misses 2-pt jump shot from 9 ft,21,25
2,10:39.0,,Offensive rebound by A. Baynes,21,25
2,10:37.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by A. Baynes),21,28
2,10:35.0,Philadelphia full timeout,,21,28
2,10:17.0,J. Embiid misses 2-pt layup from 2 ft (block by T. Rozier),,21,28
2,10:16.0,Offensive rebound by Team,,21,28
2,10:11.0,Turnover by M. Fultz (off goaltending),,21,28
2,9:56.0,,M. Smart misses 3-pt jump shot from 27 ft,21,28
2,9:53.0,Defensive rebound by J. Embiid,,21,28
2,9:45.0,Turnover by J. Embiid (bad pass; steal by J. Tatum),,21,28
2,9:42.0,,J. Tatum makes 2-pt layup from 2 ft,21,30
2,9:26.0,T. McConnell misses 3-pt jump shot from 27 ft,,21,30
2,9:26.0,,Defensive rebound by Team,21,30
2,9:26.0,Loose ball foul by J. Embiid (drawn by A. Baynes),,21,30
2,9:26.0,R. Covington enters the game for T. McConnell,,21,30
2,9:26.0,L. Shamet enters the game for J. Redick,,21,30
2,9:14.0,,A. Baynes misses 2-pt dunk from 3 ft,21,30
2,9:12.0,Defensive rebound by B. Simmons,,21,30
2,9:04.0,M. Fultz makes 2-pt jump shot from 13 ft,,23,30
2,8:49.0,,T. Rozier makes 2-pt jump shot from 19 ft,23,32
2,8:35.0,J. Embiid makes 3-pt jump shot from 27 ft (assist by M. Fultz),,26,32
2,8:19.0,,Offensive foul by A. Baynes (drawn by M. Fultz),26,32
2,8:19.0,,Turnover by A. Baynes (offensive foul),26,32
2,8:06.0,L. Shamet misses 2-pt jump shot from 21 ft,,26,32
2,8:06.0,,Defensive rebound by J. Tatum,26,32
2,7:52.0,,G. Hayward misses 2-pt jump shot from 15 ft,26,32
2,7:51.0,Defensive rebound by J. Embiid,,26,32
2,7:43.0,R. Covington misses 3-pt jump shot from 26 ft,,26,32
2,7:42.0,,Defensive rebound by J. Tatum,26,32
2,7:28.0,,J. Tatum misses 3-pt jump shot from 23 ft,26,32
2,7:25.0,Defensive rebound by L. Shamet,,26,32
2,7:12.0,L. Shamet misses 3-pt jump shot from 27 ft,,26,32
2,7:12.0,Offensive rebound by R. Covington,,26,32
2,7:06.0,M. Fultz misses 2-pt jump shot from 14 ft,,26,32
2,7:05.0,,Defensive rebound by A. Baynes,26,32
2,6:44.0,,G. Hayward misses 2-pt layup from 1 ft,26,32
2,6:42.0,Defensive rebound by B. Simmons,,26,32
2,6:39.0,B. Simmons makes 2-pt dunk from 3 ft,,28,32
2,6:37.0,,Boston full timeout,28,32
2,6:37.0,A. Johnson enters the game for J. Embiid,,28,32
2,6:37.0,,J. Brown enters the game for A. Baynes,28,32
2,6:37.0,,A. Horford enters the game for G. Hayward,28,32
2,6:37.0,,K. Irving enters the game for T. Rozier,28,32
2,6:37.0,,M. Morris enters the game for J. Tatum,28,32
2,6:17.0,,Turnover by A. Horford (bad pass; steal by M. Fultz),28,32
2,6:12.0,M. Fultz misses 2-pt layup from 3 ft,,28,32
2,6:10.0,,Defensive rebound by M. Morris,28,32
2,5:59.0,,K. Irving misses 2-pt jump shot from 11 ft,28,32
2,5:57.0,Defensive rebound by B. Simmons,,28,32
2,5:49.0,B. Simmons misses 2-pt jump shot from 12 ft,,28,32
2,5:48.0,,Defensive rebound by M. Morris,28,32
2,5:35.0,,Shooting foul by M. Fultz (drawn by M. Smart),28,32
2,5:35.0,,M. Smart misses free throw 1 of 2,28,32
2,5:35.0,,Offensive rebound by Team,28,32
2,5:35.0,,M. Smart makes free throw 2 of 2,28,33
2,5:19.0,B. Simmons makes 2-pt jump shot from 9 ft,,30,33
2,5:19.0,Shooting foul by M. Morris (drawn by B. Simmons),,30,33
2,5:19.0,B. Simmons makes free throw 1 of 1,,31,33
2,5:07.0,,A. Horford makes 2-pt layup from 1 ft (assist by M. Smart),31,35
2,4:50.0,M. Fultz makes 2-pt layup from 3 ft (assist by B. Simmons),,33,35
2,4:33.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by M. Smart),33,38
2,4:06.0,Shooting foul by M. Morris (drawn by M. Fultz),,33,38
2,4:06.0,M. Fultz makes free throw 1 of 2,,34,38
2,4:06.0,J. Embiid enters the game for A. Johnson,,34,38
2,4:06.0,J. Redick enters the game for L. Shamet,,34,38
2,4:06.0,M. Fultz misses free throw 2 of 2,,34,38
2,4:04.0,,Defensive rebound by M. Morris,34,38
2,3:54.0,,K. Irving misses 2-pt layup from 4 ft,34,38
2,3:52.0,Defensive rebound by M. Fultz,,34,38
2,3:45.0,J. Redick misses 2-pt jump shot from 20 ft,,34,38
2,3:43.0,,Defensive rebound by M. Morris,34,38
2,3:39.0,,J. Brown misses 2-pt layup from 3 ft (block by J. Embiid),34,38
2,3:35.0,,Offensive rebound by J. Brown,34,38
2,3:34.0,,Turnover by J. Brown (bad pass; steal by B. Simmons),34,38
2,3:29.0,J. Embiid makes 2-pt dunk from 2 ft (assist by B. Simmons),,36,38
2,3:21.0,,M. Smart makes 3-pt jump shot from 28 ft (assist by J. Brown),36,41
2,3:06.0,J. Redick misses 3-pt jump shot from 26 ft,,36,41
2,3:04.0,,Defensive rebound by M. Morris,36,41
2,3:00.0,,K. Irving misses 3-pt jump shot from 26 ft,36,41
2,2:58.0,Defensive rebound by M. Fultz,,36,41
2,2:45.0,R. Covington makes 2-pt layup from 3 ft (assist by M. Fultz),,38,41
2,2:24.0,,A. Horford makes 2-pt layup from 1 ft (assist by M. Smart),38,43
2,2:02.0,J. Redick makes 2-pt jump shot from 19 ft (assist by J. Embiid),,40,43
2,1:41.0,,M. Morris misses 3-pt jump shot from 26 ft,40,43
2,1:38.0,Defensive rebound by R. Covington,,40,43
2,1:36.0,Turnover by R. Covington (bad pass; steal by M. Morris),,40,43
2,1:33.0,,K. Irving misses 3-pt jump shot from 25 ft,40,43
2,1:32.0,,Offensive rebound by J. Brown,40,43
2,1:32.0,,J. Brown misses 2-pt layup from 2 ft,40,43
2,1:32.0,,Offensive rebound by J. Brown,40,43
2,1:31.0,,J. Brown misses 2-pt layup from 1 ft,40,43
2,1:29.0,Defensive rebound by R. Covington,,40,43
2,1:18.0,Turnover by J. Embiid (bad pass),,40,43
2,1:18.0,,T. Rozier enters the game for M. Morris,40,43
2,1:18.0,,J. Tatum enters the game for M. Smart,40,43
2,1:02.0,,T. Rozier makes 2-pt jump shot from 18 ft,40,45
2,0:51.0,Personal foul by J. Brown (drawn by J. Redick),,40,45
2,0:44.0,J. Redick makes 2-pt jump shot from 19 ft,,42,45
2,0:37.0,,K. Irving misses 3-pt jump shot from 27 ft,42,45
2,0:35.0,Defensive rebound by R. Covington,,42,45
2,0:29.0,J. Embiid misses 3-pt jump shot from 28 ft,,42,45
2,0:26.0,,Defensive rebound by T. Rozier,42,45
2,0:04.0,,J. Tatum makes 2-pt jump shot from 18 ft,42,47
2,0:00.0,R. Covington misses 3-pt jump shot from 28 ft,,42,47
2,0:00.0,Offensive rebound by Team,,42,47
3,11:34.0,,A. Baynes makes 2-pt dunk from 2 ft (assist by A. Horford),42,49
3,11:16.0,B. Simmons makes 2-pt hook shot from 4 ft,,44,49
3,11:16.0,Away from play foul by A. Baynes (drawn by J. Embiid),,44,49
3,11:16.0,J. Embiid makes free throw 1 of 1,,45,49
3,11:05.0,,A. Horford makes 2-pt jump shot from 13 ft (assist by K. Irving),45,51
3,10:52.0,J. Redick misses 3-pt jump shot from 27 ft,,45,51
3,10:52.0,,Defensive rebound by A. Horford,45,51
3,10:46.0,,Shooting foul by J. Embiid (drawn by K. Irving),45,51
3,10:46.0,,K. Irving makes free throw 1 of 2,45,52
3,10:46.0,,K. Irving makes free throw 2 of 2,45,53
3,10:39.0,Personal foul by J. Brown (drawn by J. Redick),,45,53
3,10:32.0,J. Redick misses 3-pt jump shot from 26 ft,,45,53
3,10:30.0,Offensive rebound by Team,,45,53
3,10:25.0,J. Redick misses 2-pt jump shot from 15 ft,,45,53
3,10:20.0,,Defensive rebound by Team,45,53
3,10:06.0,,Turnover by J. Brown (bad pass; steal by R. Covington),45,53
3,10:01.0,B. Simmons misses 2-pt jump shot from 5 ft (block by A. Horford),,45,53
3,10:00.0,,Defensive rebound by J. Tatum,45,53
3,9:51.0,,A. Baynes makes 3-pt jump shot from 26 ft (assist by J. Tatum),45,56
3,9:49.0,Philadelphia full timeout,,45,56
3,9:37.0,Offensive foul by D. Šarić (drawn by A. Baynes),,45,56
3,9:37.0,Turnover by D. Šarić (offensive foul),,45,56
3,9:18.0,,K. Irving misses 2-pt layup from 5 ft (block by J. Embiid),45,56
3,9:16.0,Defensive rebound by B. Simmons,,45,56
3,9:12.0,J. Embiid makes 2-pt layup from 1 ft (assist by B. Simmons),,47,56
3,9:03.0,,K. Irving makes 3-pt jump shot from 27 ft (assist by A. Horford),47,59
3,8:49.0,D. Šarić misses 3-pt jump shot from 27 ft,,47,59
3,8:47.0,,Defensive rebound by J. Brown,47,59
3,8:41.0,,J. Brown misses 3-pt jump shot from 24 ft,47,59
3,8:38.0,Defensive rebound by D. Šarić,,47,59
3,8:30.0,J. Embiid misses 2-pt jump shot from 5 ft,,47,59
3,8:27.0,,Defensive rebound by J. Tatum,47,59
3,8:14.0,,J. Tatum makes 2-pt dunk from 1 ft,47,61
3,8:13.0,Philadelphia full timeout,,47,61
3,8:13.0,T. McConnell enters the game for D. Šarić,,47,61
3,7:50.0,J. Embiid makes 2-pt hook shot from 5 ft,,49,61
3,7:41.0,,Turnover by K. Irving (lost ball; steal by J. Embiid),49,61
3,7:34.0,J. Redick misses 3-pt jump shot from 26 ft,,49,61
3,7:32.0,Offensive rebound by B. Simmons,,49,61
3,7:30.0,R. Covington makes 3-pt jump shot from 26 ft (assist by B. Simmons),,52,61
3,7:07.0,,J. Tatum misses 3-pt jump shot from 28 ft,52,61
3,7:06.0,Defensive rebound by T. McConnell,,52,61
3,6:58.0,T. McConnell makes 2-pt layup from 1 ft,,54,61
3,6:41.0,,Personal foul by T. McConnell (drawn by K. Irving),54,61
3,6:41.0,,G. Hayward enters the game for A. Baynes,54,61
3,6:32.0,,K. Irving misses 3-pt jump shot from 27 ft,54,61
3,6:31.0,Defensive rebound by J. Redick,,54,61
3,6:17.0,R. Covington misses 2-pt jump shot from 20 ft,,54,61
3,6:16.0,,Defensive rebound by K. Irving,54,61
3,6:01.0,,J. Tatum misses 3-pt jump shot from 26 ft,54,61
3,6:00.0,Defensive rebound by J. Embiid,,54,61
3,5:50.0,R. Covington makes 3-pt jump shot from 27 ft (assist by T. McConnell),,57,61
3,5:32.0,,Turnover by A. Horford (bad pass; steal by B. Simmons),57,61
3,5:27.0,B. Simmons misses 2-pt layup from 1 ft,,57,61
3,5:26.0,,Defensive rebound by J. Tatum,57,61
3,5:22.0,,J. Tatum makes 2-pt layup from 2 ft,57,63
3,5:22.0,,Shooting foul by T. McConnell (drawn by J. Tatum),57,63
3,5:22.0,A. Johnson enters the game for J. Embiid,,57,63
3,5:22.0,,T. Rozier enters the game for J. Brown,57,63
3,5:22.0,,M. Smart enters the game for K. Irving,57,63
3,5:22.0,,J. Tatum makes free throw 1 of 1,57,64
3,5:08.0,R. Covington misses 2-pt jump shot from 5 ft,,57,64
3,5:01.0,Offensive rebound by B. Simmons,,57,64
3,4:56.0,T. McConnell misses 2-pt jump shot from 18 ft,,57,64
3,4:55.0,,Defensive rebound by G. Hayward,57,64
3,4:39.0,,T. Rozier misses 3-pt jump shot from 27 ft,57,64
3,4:37.0,Defensive rebound by B. Simmons,,57,64
3,4:24.0,J. Redick makes 2-pt jump shot from 18 ft (assist by A. Johnson),,59,64
3,4:03.0,,Turnover by A. Horford (lost ball; steal by R. Covington),59,64
3,3:56.0,R. Covington misses 3-pt jump shot from 28 ft,,59,64
3,3:54.0,Offensive rebound by Team,,59,64
3,3:54.0,L. Shamet enters the game for J. Redick,,59,64
3,3:54.0,,D. Theis enters the game for A. Horford,59,64
3,3:48.0,Personal foul by J. Tatum (drawn by B. Simmons),,59,64
3,3:37.0,L. Shamet misses 2-pt jump shot from 20 ft,,59,64
3,3:32.0,,Defensive rebound by T. Rozier,59,64
3,3:26.0,,J. Tatum misses 2-pt layup from 4 ft,59,64
3,3:25.0,,Offensive rebound by J. Tatum,59,64
3,3:25.0,,J. Tatum makes 2-pt layup at rim,59,66
3,3:25.0,,Violation by Team (delay of game),59,66
3,3:25.0,M. Fultz enters the game for R. Covington,,59,66
3,3:25.0,D. Šarić enters the game for B. Simmons,,59,66
3,3:11.0,Shooting foul by D. Theis (drawn by A. Johnson),,59,66
3,3:11.0,A. Johnson makes free throw 1 of 2,,60,66
3,3:11.0,,M. Morris enters the game for J. Tatum,60,66
3,3:11.0,A. Johnson makes free throw 2 of 2,,61,66
3,2:59.0,,G. Hayward makes 2-pt jump shot from 20 ft,61,68
3,2:37.0,A. Johnson makes 2-pt dunk from 3 ft (assist by T. McConnell),,63,68
3,2:18.0,,T. Rozier misses 2-pt layup from 4 ft,63,68
3,2:17.0,Defensive rebound by A. Johnson,,63,68
3,2:10.0,Turnover by M. Fultz (bad pass; steal by G. Hayward),,63,68
3,2:05.0,,G. Hayward misses 2-pt layup from 2 ft,63,68
3,2:04.0,,Offensive rebound by M. Morris,63,68
3,2:03.0,,M. Morris makes 2-pt layup at rim,63,70
3,1:42.0,T. McConnell makes 2-pt layup from 1 ft,,65,70
3,1:21.0,,M. Morris makes 2-pt jump shot from 17 ft,65,72
3,1:13.0,Personal foul by M. Smart (drawn by L. Shamet),,65,72
3,1:13.0,J. Embiid enters the game for A. Johnson,,65,72
3,1:13.0,,A. Baynes enters the game for D. Theis,65,72
3,1:13.0,L. Shamet makes free throw 1 of 2,,66,72
3,1:13.0,L. Shamet misses free throw 2 of 2,,66,72
3,1:11.0,,Defensive rebound by M. Morris,66,72
3,0:54.0,,M. Smart misses 3-pt jump shot from 26 ft,66,72
3,0:51.0,,Offensive rebound by G. Hayward,66,72
3,0:49.0,,G. Hayward misses 3-pt jump shot from 27 ft,66,72
3,0:47.0,,Offensive rebound by A. Baynes,66,72
3,0:45.0,,Shooting foul by D. Šarić (drawn by G. Hayward),66,72
3,0:45.0,R. Covington enters the game for D. Šarić,,66,72
3,0:45.0,,G. Hayward makes free throw 1 of 2,66,73
3,0:45.0,,G. Hayward misses free throw 2 of 2,66,73
3,0:45.0,,Offensive rebound by M. Morris,66,73
3,0:45.0,,M. Morris makes 2-pt layup at rim,66,75
3,0:39.0,Turnover by M. Fultz (traveling),,66,75
3,0:27.0,,M. Morris makes 2-pt jump shot from 18 ft,66,77
3,0:03.0,M. Fultz misses 2-pt layup from 4 ft,,66,77
3,0:03.0,Offensive rebound by J. Embiid,,66,77
4,11:40.0,Shooting foul by A. Baynes (drawn by J. Embiid),,66,77
4,11:40.0,J. Embiid misses free throw 1 of 2,,66,77
4,11:40.0,Offensive rebound by Team,,66,77
4,11:40.0,J. Embiid makes free throw 2 of 2,,67,77
4,11:27.0,,J. Brown makes 3-pt jump shot from 27 ft (assist by A. Baynes),67,80
4,11:08.0,J. Embiid misses 2-pt jump shot from 8 ft,,67,80
4,11:06.0,,Defensive rebound by K. Irving,67,80
4,10:59.0,,J. Brown makes 2-pt jump shot from 15 ft,67,82
4,10:57.0,Philadelphia full timeout,,67,82
4,10:57.0,J. Redick enters the game for L. Shamet,,67,82
4,10:39.0,J. Redick makes 2-pt jump shot from 19 ft (assist by J. Embiid),,69,82
4,10:21.0,,A. Baynes makes 3-pt jump shot from 23 ft (assist by K. Irving),69,85
4,10:04.0,Shooting foul by M. Morris (drawn by B. Simmons),,69,85
4,10:04.0,B. Simmons misses free throw 1 of 2,,69,85
4,10:04.0,Offensive rebound by Team,,69,85
4,10:04.0,B. Simmons makes free throw 2 of 2,,70,85
4,9:50.0,,A. Baynes misses 3-pt jump shot from 23 ft,70,85
4,9:48.0,Defensive rebound by B. Simmons,,70,85
4,9:45.0,Offensive foul by J. Embiid (drawn by A. Baynes),,70,85
4,9:45.0,Turnover by J. Embiid (offensive foul),,70,85
4,9:38.0,,M. Morris misses 3-pt jump shot from 29 ft,70,85
4,9:36.0,,Offensive rebound by A. Baynes,70,85
4,9:31.0,,M. Morris misses 3-pt jump shot from 27 ft,70,85
4,9:29.0,Defensive rebound by R. Covington,,70,85
4,9:18.0,J. Embiid misses 3-pt jump shot from 26 ft,,70,85
4,9:16.0,,Defensive rebound by T. Rozier,70,85
4,9:02.0,,K. Irving makes 2-pt layup from 1 ft (assist by A. Baynes),70,87
4,9:01.0,Philadelphia full timeout,,70,87
4,8:52.0,Personal foul by J. Brown (drawn by R. Covington),,70,87
4,8:52.0,D. Šarić enters the game for T. McConnell,,70,87
4,8:41.0,J. Embiid makes 2-pt hook shot from 8 ft,,72,87
4,8:20.0,,T. Rozier makes 2-pt jump shot from 21 ft,72,89
4,8:11.0,D. Šarić misses 3-pt jump shot from 28 ft,,72,89
4,8:08.0,,Defensive rebound by M. Morris,72,89
4,8:02.0,,M. Morris misses 3-pt jump shot from 24 ft,72,89
4,7:59.0,,Offensive rebound by Team,72,89
4,7:59.0,,G. Hayward enters the game for T. Rozier,72,89
4,7:58.0,,Turnover by K. Irving (bad pass),72,89
4,7:42.0,B. Simmons makes 2-pt layup from 3 ft (assist by J. Redick),,74,89
4,7:34.0,Loose ball foul by B. Simmons (drawn by G. Hayward),,74,89
4,7:34.0,,A. Horford enters the game for A. Baynes,74,89
4,7:24.0,,A. Horford misses 2-pt jump shot from 7 ft,74,89
4,7:22.0,Defensive rebound by J. Embiid,,74,89
4,7:16.0,J. Redick makes 3-pt jump shot from 27 ft (assist by B. Simmons),,77,89
4,7:15.0,,Boston full timeout,77,89
4,7:03.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by K. Irving),77,92
4,6:44.0,J. Redick makes 2-pt layup from 2 ft (assist by D. Šarić),,79,92
4,6:37.0,,J. Brown makes 2-pt layup from 3 ft (assist by K. Irving),79,94
4,6:24.0,Turnover by B. Simmons (bad pass; steal by M. Morris),,79,94
4,6:23.0,,Personal foul by B. Simmons (drawn by M. Morris),79,94
4,6:06.0,,K. Irving misses 3-pt jump shot from 28 ft,79,94
4,6:05.0,Defensive rebound by R. Covington,,79,94
4,5:59.0,B. Simmons makes 2-pt layup from 2 ft,,81,94
4,5:59.0,Shooting foul by M. Morris (drawn by B. Simmons),,81,94
4,5:59.0,L. Shamet enters the game for R. Covington,,81,94
4,5:59.0,,M. Smart enters the game for J. Brown,81,94
4,5:59.0,,J. Tatum enters the game for M. Morris,81,94
4,5:59.0,B. Simmons makes free throw 1 of 1,,82,94
4,5:52.0,,Personal foul by B. Simmons (drawn by A. Horford),82,94
4,5:46.0,,Turnover by J. Tatum (bad pass),82,94
4,5:44.0,,Loose ball foul by A. Horford (drawn by B. Simmons),82,94
