QUARTER,TIME_REMAINING,INDIANA_ACTION,GOLDEN STATE_ACTION,INDIANA_SCORE,GOLDEN STATE_SCORE
2,6:02.0,,Turnover by D. Cousins (bad pass; steal by T. Young),30,32
2,5:55.0,T. Young misses 2-pt jump shot from 8 ft,,30,32
2,5:51.0,,Defensive rebound by K. Durant,30,32
2,5:49.0,,J. Jerebko makes 3-pt jump shot from 29 ft (assist by K. Durant),30,35
2,5:34.0,W. Matthews misses 3-pt jump shot from 26 ft,,30,35
2,5:32.0,Offensive rebound by M. Turner,,30,35
2,5:28.0,W. Matthews makes 2-pt layup from 2 ft (assist by D. McDermott),,32,35
2,5:28.0,Shooting foul by Q. Cook (drawn by W. Matthews),,32,35
2,5:28.0,,S. Curry enters the game for Q. Cook,32,35
2,5:28.0,,D. Green enters the game for K. Thompson,32,35
2,5:28.0,W. Matthews makes free throw 1 of 1,,33,35
2,5:03.0,,D. Cousins makes 2-pt layup at rim (assist by K. Durant),33,37
2,4:50.0,W. Matthews misses 2-pt jump shot from 16 ft,,33,37
2,4:49.0,Offensive rebound by W. Matthews,,33,37
2,4:45.0,W. Matthews misses 2-pt layup at rim,,33,37
2,4:44.0,,Defensive rebound by D. Green,33,37
2,4:43.0,,D. Cousins makes 2-pt dunk from 2 ft (assist by D. Green),33,39
2,4:24.0,T. Young makes 2-pt hook shot from 8 ft,,35,39
2,4:03.0,,Turnover by D. Cousins (offensive foul),35,39
2,4:03.0,,Offensive foul by D. Cousins (drawn by W. Matthews),35,39
2,4:03.0,B. Bogdanović enters the game for D. McDermott,,35,39
2,4:03.0,,A. Iguodala enters the game for D. Cousins,35,39
2,4:03.0,,K. Thompson enters the game for J. Jerebko,35,39
2,3:47.0,M. Turner misses 2-pt jump shot from 12 ft,,35,39
2,3:46.0,,Defensive rebound by D. Green,35,39
2,3:39.0,,Shooting foul by M. Turner (drawn by K. Durant),35,39
2,3:39.0,,K. Durant makes free throw 1 of 2,35,40
2,3:39.0,,K. Durant makes free throw 2 of 2,35,41
2,3:30.0,T. Young misses 2-pt jump shot from 18 ft,,35,41
2,3:29.0,,Defensive rebound by K. Thompson,35,41
2,3:21.0,,Turnover by S. Curry (out of bounds lost ball),35,41
2,3:13.0,B. Bogdanović makes 2-pt jump shot from 12 ft (assist by C. Joseph),,37,41
2,2:54.0,,A. Iguodala makes 2-pt dunk from 1 ft (assist by D. Green),37,43
2,2:40.0,M. Turner misses 2-pt hook shot from 7 ft,,37,43
2,2:39.0,,Defensive rebound by D. Green,37,43
2,2:35.0,,K. Durant misses 3-pt jump shot from 28 ft,37,43
2,2:33.0,Defensive rebound by M. Turner,,37,43
2,2:19.0,Turnover by T. Young (bad pass),,37,43
2,2:18.0,,Golden State full timeout,37,43
2,2:03.0,,K. Durant makes 3-pt jump shot from 28 ft (assist by S. Curry),37,46
2,1:39.0,B. Bogdanović makes 2-pt jump shot from 22 ft,,39,46
2,1:23.0,,K. Durant makes 2-pt jump shot from 18 ft (assist by S. Curry),39,48
2,1:06.0,B. Bogdanović misses 2-pt jump shot from 12 ft,,39,48
2,1:05.0,T. Young makes 2-pt layup at rim,,41,48
2,1:05.0,Offensive rebound by T. Young,,41,48
2,0:56.0,,K. Thompson makes 2-pt layup from 1 ft (assist by A. Iguodala),41,50
2,0:36.0,C. Joseph misses 2-pt layup from 4 ft,,41,50
2,0:35.0,,Defensive rebound by S. Curry,41,50
2,0:31.0,,K. Thompson misses 3-pt jump shot from 23 ft,41,50
2,0:29.0,,Offensive rebound by A. Iguodala,41,50
2,0:24.0,,K. Thompson makes 3-pt jump shot from 23 ft (assist by K. Durant),41,53
2,0:06.0,Personal foul by S. Curry (drawn by C. Joseph),,41,53
2,0:00.0,C. Joseph makes 2-pt layup from 10 ft,,43,53
3,11:41.0,M. Turner makes 2-pt jump shot from 20 ft (assist by W. Matthews),,45,53
3,11:25.0,,S. Curry misses 2-pt layup from 2 ft,45,53
3,11:18.0,Defensive rebound by M. Turner,,45,53
3,11:14.0,Turnover by B. Bogdanović (bad pass; steal by K. Thompson),,45,53
3,11:04.0,,S. Curry makes 3-pt jump shot from 30 ft (assist by K. Durant),45,56
3,10:39.0,Shooting foul by S. Curry (drawn by B. Bogdanović),,45,56
3,10:39.0,B. Bogdanović misses free throw 1 of 2,,45,56
3,10:39.0,Offensive rebound by Team,,45,56
3,10:39.0,B. Bogdanović makes free throw 2 of 2,,46,56
3,10:31.0,,S. Curry makes 3-pt jump shot from 26 ft,46,59
3,10:17.0,T. Young makes 2-pt layup from 2 ft (assist by C. Joseph),,48,59
3,10:11.0,,Personal foul by B. Bogdanović (drawn by D. Cousins),48,59
3,10:02.0,,D. Cousins misses 2-pt layup from 2 ft (block by T. Young),48,59
3,10:00.0,,Offensive rebound by D. Cousins,48,59
3,9:58.0,,K. Durant makes 2-pt jump shot from 12 ft (assist by D. Green),48,61
3,9:31.0,B. Bogdanović misses 3-pt jump shot from 27 ft,,48,61
3,9:28.0,,Defensive rebound by D. Green,48,61
3,9:25.0,,D. Cousins makes 2-pt layup at rim (assist by D. Green),48,63
3,9:19.0,Indiana full timeout,,48,63
3,9:09.0,Personal foul by K. Durant (drawn by W. Matthews),,48,63
3,9:03.0,C. Joseph misses 3-pt jump shot from 26 ft,,48,63
3,8:57.0,,Defensive rebound by D. Green,48,63
3,8:38.0,,S. Curry misses 2-pt jump shot from 18 ft,48,63
3,8:33.0,Defensive rebound by C. Joseph,,48,63
3,8:30.0,T. Young misses 2-pt layup from 3 ft,,48,63
3,8:25.0,,Defensive rebound by K. Thompson,48,63
3,8:24.0,,Turnover by K. Durant (step out of bounds),48,63
3,8:06.0,B. Bogdanović misses 2-pt jump shot from 15 ft,,48,63
3,8:03.0,,Defensive rebound by K. Durant,48,63
3,7:57.0,,K. Durant misses 3-pt jump shot from 25 ft,48,63
3,7:52.0,Defensive rebound by W. Matthews,,48,63
3,7:43.0,Turnover by M. Turner (offensive foul),,48,63
3,7:43.0,Offensive foul by M. Turner (drawn by S. Curry),,48,63
3,7:18.0,Defensive rebound by M. Turner,,48,63
3,7:18.0,,D. Green misses 2-pt jump shot from 13 ft (block by C. Joseph),48,63
3,7:12.0,M. Turner misses 3-pt jump shot from 27 ft,,48,63
3,7:08.0,,Defensive rebound by K. Thompson,48,63
3,6:59.0,,D. Cousins makes 2-pt layup from 1 ft (assist by K. Thompson),48,65
3,6:36.0,C. Joseph misses 2-pt jump shot from 9 ft,,48,65
3,6:31.0,,Defensive rebound by D. Cousins,48,65
3,6:27.0,,D. Cousins makes 2-pt layup from 1 ft,48,67
3,6:24.0,Personal foul by D. Green (drawn by C. Joseph),,48,67
3,6:24.0,T. Evans enters the game for B. Bogdanović,,48,67
3,6:24.0,D. Sabonis enters the game for M. Turner,,48,67
3,6:13.0,Personal foul by S. Curry (drawn by C. Joseph),,48,67
3,6:03.0,W. Matthews misses 3-pt jump shot from 29 ft,,48,67
3,5:59.0,,Defensive rebound by S. Curry,48,67
3,5:58.0,,D. Green makes 2-pt layup from 1 ft (assist by S. Curry),48,69
3,5:58.0,,Shooting foul by W. Matthews (drawn by D. Green),48,69
3,5:58.0,,D. Green makes free throw 1 of 1,48,70
3,5:43.0,T. Evans misses 2-pt layup from 9 ft (block by D. Cousins),,48,70
3,5:39.0,,Defensive rebound by K. Thompson,48,70
3,5:36.0,,Turnover by K. Durant (bad pass; steal by T. Young),48,70
3,5:33.0,Shooting foul by D. Cousins (drawn by T. Young),,48,70
3,5:33.0,T. Young makes free throw 1 of 2,,49,70
3,5:33.0,,A. Iguodala enters the game for D. Cousins,49,70
3,5:33.0,,K. Looney enters the game for K. Thompson,49,70
3,5:33.0,T. Young makes free throw 2 of 2,,50,70
3,5:22.0,,K. Durant makes 2-pt dunk from 1 ft (assist by D. Green),50,72
3,5:10.0,T. Young makes 3-pt jump shot from 24 ft (assist by T. Evans),,53,72
3,4:51.0,,A. Iguodala makes 3-pt jump shot from 25 ft (assist by S. Curry),53,75
3,4:27.0,W. Matthews misses 3-pt jump shot from 23 ft,,53,75
3,4:24.0,,Defensive rebound by K. Looney,53,75
3,4:24.0,,Personal foul by W. Matthews (drawn by S. Curry),53,75
3,4:24.0,D. McDermott enters the game for W. Matthews,,53,75
3,4:08.0,,S. Curry misses 2-pt jump shot from 18 ft,53,75
3,4:05.0,Defensive rebound by D. Sabonis,,53,75
3,3:48.0,T. Evans makes 2-pt jump shot from 7 ft,,55,75
3,3:32.0,,Turnover by S. Curry (bad pass; steal by T. Evans),55,75
3,3:28.0,T. Evans misses 2-pt layup from 3 ft,,55,75
3,3:27.0,,Defensive rebound by Team,55,75
3,3:12.0,,D. Green makes 3-pt jump shot from 26 ft (assist by S. Curry),55,78
3,2:52.0,Turnover by C. Joseph (bad pass; steal by K. Durant),,55,78
3,2:44.0,,A. Iguodala makes 2-pt dunk from 1 ft (assist by K. Durant),55,80
3,2:25.0,T. Evans makes 2-pt layup from 2 ft,,57,80
3,2:11.0,,S. Curry misses 3-pt jump shot from 23 ft,57,80
3,2:09.0,Defensive rebound by D. Sabonis,,57,80
3,1:59.0,T. Evans misses 3-pt jump shot from 26 ft,,57,80
3,1:57.0,,Defensive rebound by S. Curry,57,80
3,1:48.0,,A. Iguodala misses 3-pt jump shot from 23 ft,57,80
3,1:46.0,Defensive rebound by T. Young,,57,80
3,1:41.0,Turnover by T. Young (lost ball; steal by S. Curry),,57,80
3,1:36.0,,D. Green makes 2-pt dunk from 1 ft,57,82
3,1:36.0,,Violation by Team (delay of game),57,82
3,1:35.0,Indiana full timeout,,57,82
3,1:35.0,A. Holiday enters the game for C. Joseph,,57,82
3,1:35.0,M. Turner enters the game for T. Young,,57,82
3,1:35.0,,S. Livingston enters the game for K. Durant,57,82
3,1:20.0,Turnover by A. Holiday (bad pass; steal by A. Iguodala),,57,82
3,1:13.0,,S. Curry misses 3-pt jump shot from 34 ft,57,82
3,1:11.0,Defensive rebound by T. Evans,,57,82
3,1:07.0,Offensive foul by T. Evans (drawn by D. Green),,57,82
3,1:07.0,Turnover by T. Evans (offensive foul),,57,82
3,0:57.0,,S. Curry misses 3-pt jump shot from 27 ft,57,82
3,0:53.0,,Offensive rebound by S. Curry,57,82
3,0:53.0,,S. Curry makes 3-pt jump shot from 23 ft,57,85
3,0:37.0,T. Evans makes 2-pt layup from 3 ft (assist by D. Sabonis),,59,85
3,0:30.0,,Turnover by D. Green (bad pass),59,85
3,0:06.0,A. Holiday makes 3-pt jump shot from 27 ft (assist by T. Evans),,62,85
3,0:01.0,,S. Curry makes 3-pt jump shot from 26 ft,62,88
4,11:47.0,,K. Thompson misses 2-pt jump shot from 12 ft,62,88
4,11:44.0,,Offensive rebound by A. Iguodala,62,88
4,11:42.0,,K. Thompson misses 2-pt jump shot from 18 ft,62,88
4,11:40.0,Defensive rebound by D. Sabonis,,62,88
4,11:16.0,D. Sabonis misses 2-pt jump shot from 5 ft,,62,88
4,11:13.0,,Defensive rebound by S. Livingston,62,88
4,10:54.0,,K. Thompson makes 2-pt jump shot from 16 ft,62,90
4,10:54.0,,Shooting foul by A. Holiday (drawn by K. Thompson),62,90
4,10:54.0,,K. Thompson makes free throw 1 of 1,62,91
4,10:54.0,Turnover by B. Bogdanović (bad pass; steal by A. Iguodala),,62,91
4,10:43.0,,A. Iguodala makes 2-pt dunk from 1 ft,62,93
4,10:25.0,D. Sabonis misses 2-pt jump shot from 18 ft,,62,93
4,10:22.0,,Defensive rebound by K. Thompson,62,93
4,10:12.0,,Turnover by D. Cousins (offensive foul),62,93
4,10:12.0,,Offensive foul by D. Cousins (drawn by D. Sabonis),62,93
4,10:12.0,W. Matthews enters the game for A. Holiday,,62,93
4,9:55.0,W. Matthews misses 2-pt layup from 3 ft,,62,93
4,9:54.0,Offensive rebound by D. Sabonis,,62,93
4,9:54.0,D. Sabonis makes 2-pt layup from 1 ft,,64,93
4,9:35.0,,Q. Cook misses 3-pt jump shot from 23 ft,64,93
4,9:31.0,Defensive rebound by D. Sabonis,,64,93
4,9:24.0,D. Sabonis misses 2-pt jump shot from 12 ft,,64,93
4,9:23.0,,Defensive rebound by Team,64,93
4,9:21.0,Loose ball foul by D. Sabonis (drawn by D. Cousins),,64,93
4,9:04.0,,A. Iguodala misses 3-pt jump shot from 27 ft,64,93
4,9:02.0,Defensive rebound by D. Sabonis,,64,93
4,8:52.0,W. Matthews misses 2-pt jump shot from 10 ft,,64,93
4,8:51.0,,Defensive rebound by D. Cousins,64,93
4,8:32.0,,K. Thompson makes 2-pt layup from 1 ft,64,95
4,8:14.0,T. Evans makes 3-pt jump shot from 27 ft (assist by D. Sabonis),,67,95
4,7:58.0,,Personal foul by D. Sabonis (drawn by D. Cousins),67,95
4,7:58.0,T. Leaf enters the game for B. Bogdanović,,67,95
4,7:58.0,,J. Jerebko enters the game for A. Iguodala,67,95
4,7:54.0,,K. Thompson makes 2-pt jump shot from 17 ft (assist by D. Cousins),67,97
4,7:41.0,T. Evans misses 2-pt layup from 3 ft,,67,97
4,7:40.0,Offensive rebound by D. Sabonis,,67,97
4,7:40.0,D. Sabonis misses 2-pt layup from 1 ft,,67,97
4,7:39.0,,Defensive rebound by D. Cousins,67,97
4,7:28.0,,J. Jerebko makes 3-pt jump shot from 24 ft (assist by D. Cousins),67,100
4,7:17.0,Indiana full timeout,,67,100
4,7:17.0,A. Holiday enters the game for W. Matthews,,67,100
4,7:17.0,K. O'Quinn enters the game for D. Sabonis,,67,100
4,7:17.0,,J. Bell enters the game for D. Cousins,67,100
4,7:17.0,,A. Bogut enters the game for S. Livingston,67,100
4,7:17.0,,A. McKinnie enters the game for K. Thompson,67,100
4,7:10.0,D. McDermott misses 2-pt jump shot from 9 ft,,67,100
4,7:08.0,Offensive rebound by T. Leaf,,67,100
4,7:08.0,T. Leaf misses 2-pt jump shot from 11 ft,,67,100
4,7:02.0,,Defensive rebound by A. Bogut,67,100
4,6:46.0,,J. Bell misses 2-pt jump shot from 13 ft,67,100
4,6:40.0,Defensive rebound by A. Holiday,,67,100
4,6:35.0,K. O'Quinn makes 2-pt jump shot from 17 ft (assist by A. Holiday),,69,100
4,6:16.0,,Q. Cook misses 3-pt jump shot from 26 ft,69,100
4,6:11.0,Defensive rebound by T. Evans,,69,100
4,6:08.0,D. McDermott misses 3-pt jump shot from 27 ft,,69,100
4,6:03.0,,Defensive rebound by A. Bogut,69,100
4,5:50.0,,A. McKinnie makes 3-pt jump shot from 26 ft (assist by A. Bogut),69,103
4,5:37.0,Offensive foul by A. Holiday (drawn by A. Bogut),,69,103
4,5:37.0,Turnover by A. Holiday (offensive foul),,69,103
4,5:29.0,,J. Jerebko misses 3-pt jump shot from 26 ft,69,103
4,5:24.0,Defensive rebound by K. O'Quinn,,69,103
4,5:22.0,D. McDermott makes 2-pt dunk from 1 ft (assist by K. O'Quinn),,71,103
4,5:04.0,,Shooting foul by D. McDermott (drawn by J. Jerebko),71,103
4,5:04.0,,Offensive rebound by Team,71,103
4,5:04.0,,J. Jerebko misses free throw 1 of 2,71,103
4,5:04.0,,J. Jerebko misses free throw 2 of 2,71,103
4,4:59.0,,A. Bogut misses 2-pt layup at rim,71,103
4,4:59.0,,Offensive rebound by A. Bogut,71,103
4,4:57.0,,Offensive rebound by A. Bogut,71,103
4,4:57.0,,A. Bogut misses 2-pt layup from 2 ft,71,103
4,4:57.0,,Offensive rebound by A. Bogut,71,103
4,4:57.0,,A. Bogut misses 2-pt layup from 3 ft,71,103
4,4:57.0,Defensive rebound by D. McDermott,,71,103
4,4:57.0,Personal foul by J. Jerebko (drawn by T. Evans),,71,103
4,4:46.0,D. McDermott makes 2-pt jump shot from 11 ft (assist by K. O'Quinn),,73,103
4,4:36.0,,J. Bell makes 2-pt jump shot from 12 ft,73,105
4,4:23.0,T. Evans makes 2-pt jump shot from 21 ft,,75,105
4,4:09.0,,Personal foul by A. Holiday (drawn by A. Bogut),75,105
4,4:09.0,,A. Bogut makes free throw 1 of 2,75,106
4,4:09.0,,A. Bogut makes free throw 2 of 2,75,107
