QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MEMPHIS_ACTION,SACRAMENTO_SCORE,MEMPHIS_SCORE
2,7:39.0,,M. Conley misses 2-pt jump shot from 12 ft,40,40
2,7:37.0,Defensive rebound by B. Hield,,40,40
2,7:34.0,B. Hield misses 2-pt jump shot from 3 ft (block by W. Selden),,40,40
2,7:34.0,Offensive rebound by Team,,40,40
2,7:34.0,,M. Gasol enters the game for K. Anderson,40,40
2,7:34.0,,S. Mack enters the game for G. Temple,40,40
2,7:31.0,B. Hield makes 2-pt jump shot from 19 ft (assist by B. Bogdanović),,42,40
2,7:07.0,,Turnover by M. Conley (bad pass; steal by B. Bogdanović),42,40
2,7:02.0,F. Mason makes 2-pt layup from 2 ft (assist by B. Bogdanović),,44,40
2,7:02.0,,Memphis full timeout,44,40
2,6:46.0,,M. Conley misses 3-pt jump shot from 26 ft,44,40
2,6:43.0,,Offensive rebound by M. Gasol,44,40
2,6:39.0,,M. Gasol makes 2-pt jump shot from 17 ft (assist by W. Selden),44,42
2,6:21.0,B. Hield misses 2-pt jump shot from 14 ft,,44,42
2,6:18.0,,Defensive rebound by M. Gasol,44,42
2,6:09.0,,M. Gasol makes 2-pt jump shot from 10 ft (assist by M. Conley),44,44
2,5:56.0,F. Mason misses 3-pt jump shot from 26 ft,,44,44
2,5:52.0,,Defensive rebound by J. Jackson,44,44
2,5:45.0,,S. Mack makes 3-pt jump shot from 26 ft,44,47
2,5:26.0,W. Cauley-Stein misses 2-pt layup from 1 ft,,44,47
2,5:24.0,Offensive rebound by W. Cauley-Stein,,44,47
2,5:24.0,D. Fox enters the game for B. Bogdanović,,44,47
2,5:24.0,I. Shumpert enters the game for F. Mason,,44,47
2,5:24.0,,K. Anderson enters the game for J. Jackson,44,47
2,5:23.0,Violation by W. Cauley-Stein (jump ball),,44,47
2,5:04.0,,M. Gasol misses 2-pt jump shot from 11 ft,44,47
2,5:01.0,Defensive rebound by B. Hield,,44,47
2,4:54.0,M. Bagley misses 3-pt jump shot from 26 ft,,44,47
2,4:52.0,,Defensive rebound by M. Conley,44,47
2,4:47.0,,S. Mack misses 3-pt jump shot from 23 ft,44,47
2,4:42.0,,Offensive rebound by W. Selden,44,47
2,4:38.0,,W. Selden makes 2-pt dunk at rim,44,49
2,4:37.0,Sacramento full timeout,,44,49
2,4:37.0,N. Bjelica enters the game for M. Bagley,,44,49
2,4:37.0,,G. Temple enters the game for M. Conley,44,49
2,4:31.0,W. Cauley-Stein misses 2-pt dunk from 1 ft,,44,49
2,4:28.0,,Defensive rebound by G. Temple,44,49
2,4:19.0,,G. Temple misses 3-pt jump shot from 22 ft,44,49
2,4:16.0,,Offensive rebound by K. Anderson,44,49
2,4:14.0,,K. Anderson misses 2-pt layup from 2 ft,44,49
2,4:14.0,Defensive rebound by N. Bjelica,,44,49
2,4:09.0,Turnover by D. Fox (out of bounds lost ball),,44,49
2,3:53.0,,Personal foul by I. Shumpert (drawn by W. Selden),44,49
2,3:41.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by S. Mack),44,52
2,3:26.0,Personal foul by S. Mack (drawn by D. Fox),,44,52
2,3:11.0,I. Shumpert makes 3-pt jump shot from 25 ft,,47,52
2,2:53.0,,W. Selden makes 2-pt jump shot from 1 ft (assist by G. Temple),47,54
2,2:40.0,Shooting foul by K. Anderson (drawn by N. Bjelica),,47,54
2,2:40.0,N. Bjelica makes free throw 1 of 2,,48,54
2,2:40.0,,M. Conley enters the game for G. Temple,48,54
2,2:40.0,N. Bjelica makes free throw 2 of 2,,49,54
2,2:28.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by S. Mack),49,57
2,2:19.0,Turnover by D. Fox (out of bounds lost ball),,49,57
2,2:19.0,,J. Jackson enters the game for K. Anderson,49,57
2,1:55.0,,Turnover by Team (shot clock),49,57
2,1:43.0,Turnover by B. Hield (lost ball; steal by S. Mack),,49,57
2,1:42.0,,S. Mack makes 2-pt layup at rim,49,59
2,1:42.0,,Shooting foul by I. Shumpert (drawn by S. Mack),49,59
2,1:42.0,,S. Mack makes free throw 1 of 1,49,60
2,1:26.0,D. Fox misses 2-pt jump shot from 12 ft (block by J. Jackson),,49,60
2,1:23.0,Offensive rebound by D. Fox,,49,60
2,1:18.0,I. Shumpert misses 3-pt jump shot from 27 ft,,49,60
2,1:15.0,,Defensive rebound by M. Gasol,49,60
2,1:11.0,,Personal foul by I. Shumpert (drawn by J. Jackson),49,60
2,1:11.0,,J. Jackson misses free throw 1 of 2,49,60
2,1:11.0,,Offensive rebound by Team,49,60
2,1:11.0,B. Bogdanović enters the game for B. Hield,,49,60
2,1:11.0,T. Williams enters the game for I. Shumpert,,49,60
2,1:11.0,,J. Jackson misses free throw 2 of 2,49,60
2,1:11.0,Defensive rebound by Team,,49,60
2,1:00.0,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by N. Bjelica),,51,60
2,0:38.0,,S. Mack misses 2-pt jump shot from 4 ft,51,60
2,0:35.0,Defensive rebound by N. Bjelica,,51,60
2,0:29.0,T. Williams misses 3-pt jump shot from 25 ft,,51,60
2,0:25.0,Offensive rebound by N. Bjelica,,51,60
2,0:17.0,D. Fox misses 3-pt jump shot from 26 ft,,51,60
2,0:14.0,,Defensive rebound by M. Conley,51,60
2,0:03.0,,M. Conley makes 2-pt layup at rim,51,62
2,0:00.0,T. Williams misses 3-pt jump shot from 25 ft,,51,62
2,0:00.0,Offensive rebound by Team,,51,62
3,11:44.0,,Shooting foul by N. Bjelica (drawn by M. Gasol),51,62
3,11:44.0,,M. Gasol misses free throw 1 of 2,51,62
3,11:44.0,,Offensive rebound by Team,51,62
3,11:44.0,,M. Gasol misses free throw 2 of 2,51,62
3,11:41.0,Defensive rebound by I. Shumpert,,51,62
3,11:27.0,Turnover by B. Hield (bad pass; steal by K. Anderson),,51,62
3,11:18.0,,Shooting foul by B. Hield (drawn by M. Conley),51,62
3,11:18.0,,M. Conley misses free throw 1 of 2,51,62
3,11:18.0,,Offensive rebound by Team,51,62
3,11:18.0,,M. Conley misses free throw 2 of 2,51,62
3,11:17.0,Defensive rebound by W. Cauley-Stein,,51,62
3,10:52.0,N. Bjelica misses 2-pt jump shot from 11 ft,,51,62
3,10:52.0,Offensive rebound by W. Cauley-Stein,,51,62
3,10:52.0,W. Cauley-Stein misses 2-pt layup from 4 ft,,51,62
3,10:49.0,,Defensive rebound by K. Anderson,51,62
3,10:36.0,,M. Gasol misses 3-pt jump shot from 26 ft,51,62
3,10:33.0,Defensive rebound by B. Hield,,51,62
3,10:26.0,I. Shumpert misses 3-pt jump shot from 23 ft,,51,62
3,10:23.0,,Defensive rebound by J. Jackson,51,62
3,10:04.0,,M. Conley makes 2-pt jump shot from 20 ft,51,64
3,9:49.0,Shooting foul by M. Gasol (drawn by W. Cauley-Stein),,51,64
3,9:49.0,W. Cauley-Stein makes free throw 1 of 2,,52,64
3,9:49.0,W. Cauley-Stein misses free throw 2 of 2,,52,64
3,9:47.0,,Defensive rebound by M. Gasol,52,64
3,9:32.0,,Personal foul by D. Fox (drawn by M. Conley),52,64
3,9:24.0,,M. Conley misses 3-pt jump shot from 25 ft,52,64
3,9:22.0,Defensive rebound by D. Fox,,52,64
3,9:18.0,N. Bjelica makes 3-pt jump shot from 23 ft (assist by B. Hield),,55,64
3,8:56.0,,J. Jackson makes 2-pt hook shot from 8 ft (assist by M. Gasol),55,66
3,8:46.0,Turnover by D. Fox (lost ball),,55,66
3,8:46.0,Loose ball foul by D. Fox (drawn by M. Conley),,55,66
3,8:31.0,,Personal foul by D. Fox (drawn by M. Conley),55,66
3,8:31.0,,M. Conley makes free throw 1 of 2,55,67
3,8:31.0,,M. Conley makes free throw 2 of 2,55,68
3,8:21.0,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by N. Bjelica),,57,68
3,7:59.0,,Shooting foul by I. Shumpert (drawn by J. Jackson),57,68
3,7:59.0,,J. Jackson makes free throw 1 of 2,57,69
3,7:59.0,,J. Jackson makes free throw 2 of 2,57,70
3,7:50.0,I. Shumpert makes 3-pt jump shot from 25 ft (assist by D. Fox),,60,70
3,7:41.0,,J. Jackson makes 2-pt hook shot from 1 ft (assist by K. Anderson),60,72
3,7:41.0,,Shooting foul by N. Bjelica (drawn by J. Jackson),60,72
3,7:41.0,,J. Jackson makes free throw 1 of 1,60,73
3,7:32.0,D. Fox makes 2-pt jump shot from 12 ft,,62,73
3,7:32.0,Shooting foul by M. Conley (drawn by D. Fox),,62,73
3,7:32.0,,O. Casspi enters the game for J. Jackson,62,73
3,7:32.0,D. Fox misses free throw 1 of 1,,62,73
3,7:32.0,,Defensive rebound by K. Anderson,62,73
3,7:08.0,,M. Conley makes 3-pt jump shot from 27 ft (assist by K. Anderson),62,76
3,6:53.0,B. Hield misses 2-pt layup from 2 ft,,62,76
3,6:51.0,,Defensive rebound by G. Temple,62,76
3,6:46.0,,M. Conley misses 2-pt layup from 1 ft,62,76
3,6:44.0,,Offensive rebound by M. Gasol,62,76
3,6:39.0,,Turnover by M. Conley (bad pass; steal by W. Cauley-Stein),62,76
3,6:34.0,N. Bjelica makes 3-pt jump shot from 25 ft (assist by D. Fox),,65,76
3,6:33.0,,Memphis full timeout,65,76
3,6:15.0,,Offensive foul by M. Gasol (drawn by W. Cauley-Stein),65,76
3,6:15.0,,Turnover by M. Gasol (offensive foul),65,76
3,5:58.0,B. Hield makes 3-pt jump shot from 23 ft (assist by D. Fox),,68,76
3,5:53.0,,Personal foul by W. Cauley-Stein (drawn by M. Conley),68,76
3,5:53.0,,M. Conley makes free throw 1 of 2,68,77
3,5:53.0,,W. Selden enters the game for K. Anderson,68,77
3,5:53.0,,M. Conley misses free throw 2 of 2,68,77
3,5:51.0,Defensive rebound by N. Bjelica,,68,77
3,5:39.0,D. Fox misses 3-pt jump shot from 24 ft,,68,77
3,5:36.0,,Defensive rebound by O. Casspi,68,77
3,5:28.0,,Shooting foul by W. Cauley-Stein (drawn by M. Conley),68,77
3,5:28.0,,M. Conley makes free throw 1 of 2,68,78
3,5:28.0,B. Bogdanović enters the game for N. Bjelica,,68,78
3,5:28.0,T. Williams enters the game for B. Hield,,68,78
3,5:28.0,,M. Conley misses free throw 2 of 2,68,78
3,5:25.0,Defensive rebound by I. Shumpert,,68,78
3,5:11.0,W. Cauley-Stein misses 2-pt layup at rim,,68,78
3,5:08.0,,Defensive rebound by O. Casspi,68,78
3,5:01.0,,Offensive foul by M. Gasol (drawn by T. Williams),68,78
3,5:01.0,,Turnover by M. Gasol (offensive foul),68,78
3,5:01.0,H. Giles enters the game for W. Cauley-Stein,,68,78
3,5:01.0,,J. Jackson enters the game for M. Gasol,68,78
3,4:55.0,D. Fox makes 2-pt layup from 1 ft,,70,78
3,4:34.0,,Turnover by J. Jackson (bad pass; steal by D. Fox),70,78
3,4:32.0,Shooting foul by J. Jackson (drawn by D. Fox),,70,78
3,4:32.0,D. Fox makes free throw 1 of 2,,71,78
3,4:32.0,,S. Mack enters the game for O. Casspi,71,78
3,4:32.0,D. Fox makes free throw 2 of 2,,72,78
3,4:18.0,,W. Selden misses 2-pt jump shot from 8 ft,72,78
3,4:15.0,Defensive rebound by H. Giles,,72,78
3,4:05.0,B. Bogdanović misses 2-pt jump shot from 21 ft,,72,78
3,4:02.0,,Defensive rebound by M. Conley,72,78
3,3:54.0,,M. Conley makes 2-pt jump shot from 18 ft,72,80
3,3:52.0,Sacramento full timeout,,72,80
3,3:52.0,,K. Anderson enters the game for G. Temple,72,80
3,3:43.0,D. Fox misses 2-pt jump shot from 6 ft,,72,80
3,3:37.0,Offensive rebound by H. Giles,,72,80
3,3:37.0,H. Giles makes 2-pt layup at rim,,74,80
3,3:16.0,,M. Conley misses 2-pt jump shot from 22 ft,74,80
3,3:13.0,Defensive rebound by H. Giles,,74,80
3,3:01.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,74,80
3,2:58.0,,Defensive rebound by K. Anderson,74,80
3,2:49.0,,J. Jackson makes 2-pt layup at rim (assist by S. Mack),74,82
3,2:49.0,,Shooting foul by H. Giles (drawn by J. Jackson),74,82
3,2:49.0,M. Bagley enters the game for D. Fox,,74,82
3,2:49.0,F. Mason enters the game for I. Shumpert,,74,82
3,2:49.0,,J. Jackson makes free throw 1 of 1,74,83
3,2:42.0,Shooting foul by J. Jackson (drawn by M. Bagley),,74,83
3,2:42.0,M. Bagley misses free throw 1 of 2,,74,83
3,2:42.0,Offensive rebound by Team,,74,83
3,2:42.0,,M. Brooks enters the game for M. Conley,74,83
3,2:42.0,M. Bagley makes free throw 2 of 2,,75,83
3,2:27.0,,J. Jackson misses 2-pt hook shot from 7 ft,75,83
3,2:24.0,,Offensive rebound by J. Jackson,75,83
3,2:23.0,,J. Jackson makes 2-pt layup from 3 ft,75,85
3,2:05.0,Turnover by H. Giles (lost ball; steal by K. Anderson),,75,85
3,1:57.0,,W. Selden misses 2-pt dunk from 1 ft,75,85
3,1:57.0,Defensive rebound by T. Williams,,75,85
3,1:53.0,Shooting foul by K. Anderson (drawn by F. Mason),,75,85
3,1:53.0,F. Mason misses free throw 1 of 2,,75,85
3,1:53.0,Offensive rebound by Team,,75,85
3,1:53.0,F. Mason makes free throw 2 of 2,,76,85
3,1:42.0,,S. Mack misses 3-pt jump shot from 26 ft,76,85
3,1:40.0,,Offensive rebound by Team,76,85
3,1:40.0,B. Hield enters the game for H. Giles,,76,85
3,1:33.0,,K. Anderson makes 2-pt jump shot from 22 ft,76,87
3,1:16.0,Turnover by B. Bogdanović (lost ball; steal by J. Jackson),,76,87
3,1:11.0,,W. Selden misses 2-pt layup from 4 ft (block by B. Hield),76,87
3,1:06.0,Defensive rebound by F. Mason,,76,87
3,1:06.0,Turnover by F. Mason (bad pass; steal by J. Jackson),,76,87
3,1:06.0,,M. Brooks misses 2-pt jump shot from 8 ft,76,87
3,0:57.0,Defensive rebound by B. Hield,,76,87
3,0:55.0,Turnover by F. Mason (traveling),,76,87
3,0:33.0,,M. Brooks misses 2-pt jump shot from 5 ft,76,87
3,0:30.0,Defensive rebound by T. Williams,,76,87
3,0:26.0,Shooting foul by K. Anderson (drawn by B. Hield),,76,87
3,0:26.0,B. Hield makes free throw 1 of 2,,77,87
3,0:26.0,,M. Conley enters the game for K. Anderson,77,87
3,0:26.0,B. Hield makes free throw 2 of 2,,78,87
3,0:06.0,,M. Conley misses 3-pt jump shot from 26 ft,78,87
3,0:03.0,Defensive rebound by T. Williams,,78,87
3,0:00.0,T. Williams misses 3-pt jump shot from 26 ft,,78,87
3,0:00.0,Offensive rebound by Team,,78,87
4,11:46.0,B. Hield misses 3-pt jump shot from 24 ft,,78,87
4,11:42.0,,Defensive rebound by J. Jackson,78,87
4,11:26.0,,G. Temple makes 3-pt jump shot from 26 ft (assist by M. Brooks),78,90
4,11:09.0,F. Mason misses 3-pt jump shot from 25 ft,,78,90
4,11:04.0,,Defensive rebound by S. Mack,78,90
4,10:50.0,,J. Jackson makes 2-pt dunk from 1 ft (assist by M. Brooks),78,92
4,10:49.0,Sacramento full timeout,,78,92
4,10:49.0,W. Cauley-Stein enters the game for B. Hield,,78,92
4,10:49.0,D. Fox enters the game for F. Mason,,78,92
4,10:36.0,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by D. Fox),,81,92
4,10:17.0,,M. Brooks misses 2-pt jump shot from 17 ft,81,92
4,10:14.0,Defensive rebound by T. Williams,,81,92
4,10:09.0,Turnover by D. Fox (bad pass; steal by G. Temple),,81,92
4,10:03.0,,W. Selden misses 3-pt jump shot from 27 ft,81,92
4,10:00.0,Defensive rebound by B. Bogdanović,,81,92
4,9:56.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,81,92
4,9:54.0,Offensive rebound by Team,,81,92
4,9:54.0,,M. Gasol enters the game for G. Temple,81,92
4,9:52.0,D. Fox misses 2-pt jump shot from 9 ft,,81,92
4,9:49.0,Offensive rebound by M. Bagley,,81,92
4,9:49.0,Shooting foul by J. Jackson (drawn by M. Bagley),,81,92
4,9:49.0,M. Bagley makes free throw 1 of 2,,82,92
4,9:49.0,,K. Anderson enters the game for J. Jackson,82,92
4,9:49.0,M. Bagley makes free throw 2 of 2,,83,92
4,9:30.0,,W. Selden makes 2-pt dunk from 1 ft (assist by S. Mack),83,94
4,9:19.0,B. Bogdanović misses 2-pt layup from 2 ft,,83,94
4,9:17.0,Offensive rebound by T. Williams,,83,94
4,9:16.0,T. Williams misses 2-pt layup from 3 ft (block by M. Brooks),,83,94
4,9:16.0,Offensive rebound by Team,,83,94
4,9:12.0,B. Bogdanović misses 2-pt jump shot from 18 ft,,83,94
4,9:09.0,,Defensive rebound by M. Gasol,83,94
4,9:01.0,,S. Mack makes 3-pt jump shot from 26 ft,83,97
4,8:48.0,B. Bogdanović makes 2-pt layup from 1 ft,,85,97
4,8:21.0,,W. Selden misses 2-pt jump shot from 9 ft,85,97
4,8:18.0,,Offensive rebound by M. Gasol,85,97
4,8:08.0,,S. Mack misses 2-pt layup from 2 ft (block by T. Williams),85,97
4,8:08.0,,Offensive rebound by Team,85,97
4,8:08.0,I. Shumpert enters the game for B. Bogdanović,,85,97
4,8:08.0,,Memphis full timeout,85,97
4,8:06.0,,Turnover by Team (shot clock),85,97
4,8:01.0,Personal foul by K. Anderson (drawn by D. Fox),,85,97
4,8:01.0,,M. Conley enters the game for K. Anderson,85,97
4,8:01.0,,J. Jackson enters the game for S. Mack,85,97
4,7:55.0,W. Cauley-Stein makes 2-pt dunk at rim (assist by D. Fox),,87,97
4,7:33.0,,M. Gasol makes 2-pt hook shot from 8 ft,87,99
4,7:27.0,Personal foul by M. Conley (drawn by D. Fox),,87,99
4,7:23.0,Offensive foul by M. Bagley (drawn by M. Gasol),,87,99
4,7:23.0,Turnover by M. Bagley (offensive foul),,87,99
4,6:58.0,,M. Brooks misses 3-pt jump shot from 27 ft,87,99
4,6:53.0,Defensive rebound by I. Shumpert,,87,99
4,6:47.0,T. Williams makes 3-pt jump shot from 25 ft (assist by I. Shumpert),,90,99
4,6:32.0,,M. Conley makes 2-pt layup at rim,90,101
4,6:25.0,D. Fox makes 2-pt jump shot from 12 ft,,92,101
4,5:58.0,,M. Gasol misses 3-pt jump shot from 27 ft,92,101
4,5:55.0,Defensive rebound by I. Shumpert,,92,101
4,5:51.0,T. Williams makes 3-pt jump shot from 25 ft (assist by D. Fox),,95,101
4,5:49.0,,Memphis full timeout,95,101
4,5:49.0,,S. Mack enters the game for M. Brooks,95,101
4,5:49.0,,G. Temple enters the game for W. Selden,95,101
4,5:31.0,,G. Temple makes 2-pt jump shot from 14 ft,95,103
