QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,UTAH_ACTION,GOLDEN STATE_SCORE,UTAH_SCORE
1,8:01.0,K. Thompson makes 2-pt jump shot from 20 ft (assist by D. Jones),,10,11
1,7:48.0,,D. Mitchell misses 2-pt layup from 3 ft (block by D. Jones),10,11
1,7:45.0,,Offensive rebound by D. Favors,10,11
1,7:37.0,,D. Mitchell misses 3-pt jump shot from 30 ft,10,11
1,7:33.0,Defensive rebound by D. Jones,,10,11
1,7:24.0,K. Thompson makes 2-pt jump shot from 21 ft (assist by D. Green),,12,11
1,7:08.0,,Turnover by D. Favors (lost ball; steal by S. Curry),12,11
1,7:06.0,Personal foul by R. Rubio (drawn by S. Curry),,12,11
1,6:54.0,K. Durant misses 2-pt jump shot from 11 ft,,12,11
1,6:51.0,,Defensive rebound by R. Gobert,12,11
1,6:43.0,,R. Rubio misses 2-pt jump shot from 13 ft,12,11
1,6:40.0,,Offensive rebound by D. Favors,12,11
1,6:34.0,,Turnover by D. Favors (bad pass; steal by D. Jones),12,11
1,6:28.0,K. Durant makes 2-pt dunk from 2 ft,,14,11
1,6:27.0,,Utah full timeout,14,11
1,6:27.0,,J. Crowder enters the game for D. Favors,14,11
1,6:27.0,,R. O'Neale enters the game for J. Ingles,14,11
1,6:09.0,,J. Crowder misses 3-pt jump shot from 26 ft,14,11
1,6:08.0,,Offensive rebound by Team,14,11
1,6:08.0,Loose ball foul by D. Jones (drawn by R. Gobert),,14,11
1,6:08.0,K. Looney enters the game for D. Jones,,14,11
1,6:04.0,,D. Mitchell misses 3-pt jump shot from 25 ft,14,11
1,6:00.0,Defensive rebound by S. Curry,,14,11
1,5:55.0,K. Looney makes 2-pt dunk from 1 ft (assist by S. Curry),,16,11
1,5:39.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Crowder),16,13
1,5:24.0,S. Curry misses 3-pt jump shot from 25 ft,,16,13
1,5:22.0,,Defensive rebound by R. Gobert,16,13
1,5:13.0,,R. Rubio makes 2-pt jump shot from 9 ft,16,15
1,5:03.0,Offensive foul by S. Curry (drawn by R. Rubio),,16,15
1,5:03.0,Turnover by S. Curry (offensive foul),,16,15
1,5:03.0,J. Jerebko enters the game for D. Green,,16,15
1,4:50.0,,J. Crowder makes 2-pt jump shot from 22 ft (assist by R. Rubio),16,17
1,4:38.0,K. Durant misses 2-pt jump shot from 13 ft,,16,17
1,4:35.0,Offensive rebound by S. Curry,,16,17
1,4:33.0,J. Jerebko makes 3-pt jump shot from 25 ft (assist by S. Curry),,19,17
1,4:20.0,,R. Rubio makes 2-pt jump shot from 17 ft,19,19
1,4:07.0,Golden State full timeout,,19,19
1,4:07.0,S. Livingston enters the game for K. Thompson,,19,19
1,4:07.0,,D. Exum enters the game for R. Rubio,19,19
1,4:04.0,Offensive foul by S. Curry (drawn by D. Exum),,19,19
1,4:04.0,Turnover by S. Curry (offensive foul),,19,19
1,3:51.0,,J. Crowder misses 3-pt jump shot from 26 ft,19,19
1,3:47.0,Defensive rebound by K. Looney,,19,19
1,3:39.0,S. Curry makes 2-pt jump shot from 16 ft (assist by K. Looney),,21,19
1,3:18.0,,D. Exum makes 2-pt dunk from 3 ft (assist by D. Mitchell),21,21
1,3:08.0,S. Curry misses 2-pt layup from 7 ft,,21,21
1,3:08.0,,Defensive rebound by D. Exum,21,21
1,3:06.0,,Personal foul by J. Jerebko (drawn by D. Exum),21,21
1,3:06.0,,D. Exum makes free throw 1 of 2,21,22
1,3:06.0,Q. Cook enters the game for S. Curry,,21,22
1,3:06.0,,A. Burks enters the game for R. Gobert,21,22
1,3:06.0,,D. Favors enters the game for D. Mitchell,21,22
1,3:06.0,,D. Exum makes free throw 2 of 2,21,23
1,2:45.0,J. Jerebko makes 3-pt jump shot from 23 ft (assist by K. Durant),,24,23
1,2:31.0,,Personal foul by J. Jerebko (drawn by J. Crowder),24,23
1,2:31.0,,J. Crowder makes free throw 1 of 2,24,24
1,2:31.0,,J. Crowder makes free throw 2 of 2,24,25
1,2:19.0,K. Durant misses 2-pt jump shot from 8 ft,,24,25
1,2:17.0,Offensive rebound by S. Livingston,,24,25
1,2:05.0,K. Durant makes 2-pt layup from 1 ft,,26,25
1,1:58.0,,Personal foul by Q. Cook (drawn by J. Crowder),26,25
1,1:58.0,,J. Crowder makes free throw 1 of 2,26,26
1,1:58.0,,J. Ingles enters the game for R. O'Neale,26,26
1,1:58.0,,J. Crowder makes free throw 2 of 2,26,27
1,1:46.0,Personal foul by J. Ingles (drawn by K. Durant),,26,27
1,1:41.0,Shooting foul by D. Favors (drawn by K. Durant),,26,27
1,1:41.0,K. Durant makes free throw 1 of 2,,27,27
1,1:41.0,K. Durant makes free throw 2 of 2,,28,27
1,1:35.0,,Shooting foul by Q. Cook (drawn by J. Crowder),28,27
1,1:35.0,,J. Crowder makes free throw 1 of 2,28,28
1,1:35.0,,J. Crowder makes free throw 2 of 2,28,29
1,1:12.0,K. Looney makes 2-pt layup from 1 ft (assist by K. Durant),,30,29
1,0:58.0,,J. Ingles misses 3-pt jump shot from 25 ft,30,29
1,0:57.0,,Offensive rebound by Team,30,29
1,0:49.0,,J. Crowder misses 2-pt jump shot from 9 ft,30,29
1,0:45.0,Defensive rebound by S. Livingston,,30,29
1,0:44.0,S. Livingston makes 2-pt jump shot from 14 ft,,32,29
1,0:33.0,,D. Exum makes 2-pt layup from 4 ft,32,31
1,0:17.0,Turnover by K. Durant (bad pass; steal by J. Ingles),,32,31
1,0:00.0,,Shooting foul by K. Durant (drawn by A. Burks),32,31
1,0:00.0,,A. Burks makes free throw 1 of 3,32,32
1,0:00.0,,A. Burks makes free throw 2 of 3,32,33
1,0:00.0,,A. Burks makes free throw 3 of 3,32,34
2,11:45.0,D. Green misses 2-pt jump shot from 9 ft,,32,34
2,11:40.0,Offensive rebound by K. Thompson,,32,34
2,11:39.0,K. Thompson misses 3-pt jump shot from 26 ft,,32,34
2,11:36.0,,Defensive rebound by D. Exum,32,34
2,11:26.0,,Turnover by D. Exum (bad pass; steal by A. McKinnie),32,34
2,11:26.0,Turnover by A. McKinnie (step out of bounds),,32,34
2,11:20.0,,Offensive foul by D. Favors (drawn by D. Green),32,34
2,11:20.0,,Turnover by D. Favors (offensive foul),32,34
2,11:20.0,,E. Udoh enters the game for D. Favors,32,34
2,11:08.0,K. Thompson misses 2-pt jump shot from 20 ft,,32,34
2,11:02.0,,Defensive rebound by J. Crowder,32,34
2,10:57.0,,A. Burks makes 2-pt layup from 2 ft (assist by J. Crowder),32,36
2,10:42.0,Shooting foul by E. Udoh (drawn by D. Green),,32,36
2,10:42.0,D. Green misses free throw 1 of 2,,32,36
2,10:42.0,Offensive rebound by Team,,32,36
2,10:42.0,D. Green makes free throw 2 of 2,,33,36
2,10:29.0,,Utah full timeout,33,36
2,10:27.0,,A. Burks misses 3-pt jump shot from 25 ft,33,36
2,10:23.0,,Offensive rebound by E. Udoh,33,36
2,10:23.0,,Turnover by E. Udoh (lost ball; steal by J. Jerebko),33,36
2,10:09.0,S. Livingston makes 2-pt hook shot from 7 ft,,35,36
2,9:58.0,,Def 3 sec tech foul by Team,35,36
2,9:58.0,,J. Crowder makes technical free throw,35,37
2,9:58.0,,G. Niang enters the game for J. Crowder,35,37
2,9:58.0,,R. O'Neale enters the game for J. Ingles,35,37
2,9:44.0,,D. Exum misses 2-pt jump shot from 2 ft,35,37
2,9:41.0,Defensive rebound by D. Green,,35,37
2,9:31.0,A. McKinnie misses 2-pt layup from 2 ft (block by E. Udoh),,35,37
2,9:24.0,,Defensive rebound by G. Niang,35,37
2,9:22.0,,G. Niang makes 2-pt layup from 3 ft,35,39
2,9:09.0,J. Jerebko makes 2-pt jump shot from 15 ft (assist by D. Green),,37,39
2,8:46.0,,A. Burks misses 3-pt jump shot from 28 ft,37,39
2,8:43.0,Defensive rebound by J. Jerebko,,37,39
2,8:38.0,D. Green makes 2-pt layup from 1 ft (assist by S. Livingston),,39,39
2,8:18.0,,G. Niang misses 3-pt jump shot from 23 ft,39,39
2,8:15.0,Defensive rebound by K. Thompson,,39,39
2,8:13.0,Shooting foul by R. O'Neale (drawn by K. Thompson),,39,39
2,8:13.0,K. Thompson makes free throw 1 of 2,,40,39
2,8:13.0,S. Curry enters the game for S. Livingston,,40,39
2,8:13.0,,R. Gobert enters the game for A. Burks,40,39
2,8:13.0,,D. Mitchell enters the game for E. Udoh,40,39
2,8:13.0,K. Thompson makes free throw 2 of 2,,41,39
2,7:50.0,,D. Exum makes 2-pt jump shot from 11 ft,41,41
2,7:32.0,S. Curry misses 2-pt layup from 4 ft (block by G. Niang),,41,41
2,7:32.0,Offensive rebound by Team,,41,41
2,7:32.0,,R. Rubio enters the game for R. O'Neale,41,41
2,7:31.0,Shooting foul by D. Exum (drawn by K. Thompson),,41,41
2,7:31.0,K. Thompson makes free throw 1 of 2,,42,41
2,7:31.0,K. Thompson makes free throw 2 of 2,,43,41
2,7:21.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by R. Rubio),43,43
2,7:12.0,S. Curry makes 2-pt jump shot from 19 ft,,45,43
2,7:12.0,Shooting foul by R. Rubio (drawn by S. Curry),,45,43
2,7:12.0,K. Looney enters the game for J. Jerebko,,45,43
2,7:12.0,S. Curry misses free throw 1 of 1,,45,43
2,7:12.0,,Defensive rebound by R. Gobert,45,43
2,6:54.0,,D. Exum makes 3-pt jump shot from 26 ft (assist by R. Rubio),45,46
2,6:40.0,D. Green makes 2-pt layup from 4 ft (assist by S. Curry),,47,46
2,6:24.0,,G. Niang makes 3-pt jump shot from 25 ft (assist by R. Rubio),47,49
2,6:09.0,Turnover by D. Green (bad pass; steal by D. Mitchell),,47,49
2,6:05.0,,G. Niang misses 2-pt layup from 3 ft (block by D. Green),47,49
2,6:05.0,,Offensive rebound by Team,47,49
2,6:05.0,K. Durant enters the game for D. Green,,47,49
2,6:05.0,D. Jones enters the game for K. Thompson,,47,49
2,6:05.0,,J. Crowder enters the game for D. Exum,47,49
2,6:05.0,,J. Ingles enters the game for G. Niang,47,49
2,6:03.0,,D. Mitchell misses 3-pt jump shot from 25 ft,47,49
2,5:59.0,Defensive rebound by A. McKinnie,,47,49
2,5:47.0,K. Durant makes 3-pt jump shot from 24 ft,,50,49
2,5:38.0,,D. Mitchell makes 3-pt jump shot from 27 ft (assist by R. Rubio),50,52
2,5:24.0,K. Durant makes 2-pt jump shot from 14 ft,,52,52
2,5:24.0,Shooting foul by J. Ingles (drawn by K. Durant),,52,52
2,5:24.0,K. Durant makes free throw 1 of 1,,53,52
2,5:15.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by R. Rubio),53,54
2,5:15.0,,Shooting foul by A. McKinnie (drawn by R. Gobert),53,54
2,5:15.0,,R. Gobert makes free throw 1 of 1,53,55
2,5:05.0,A. McKinnie makes 3-pt jump shot from 24 ft (assist by S. Curry),,56,55
2,4:49.0,,J. Ingles makes 3-pt jump shot from 25 ft,56,58
2,4:35.0,Turnover by K. Durant (bad pass),,56,58
2,4:29.0,,Shooting foul by A. McKinnie (drawn by R. Gobert),56,58
2,4:29.0,,R. Gobert makes free throw 1 of 2,56,59
2,4:29.0,Golden State full timeout,,56,59
2,4:29.0,D. Green enters the game for D. Jones,,56,59
2,4:29.0,J. Jerebko enters the game for K. Looney,,56,59
2,4:29.0,K. Thompson enters the game for A. McKinnie,,56,59
2,4:29.0,,R. Gobert makes free throw 2 of 2,56,60
2,4:18.0,S. Curry makes 3-pt jump shot from 25 ft (assist by K. Durant),,59,60
2,3:51.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by D. Mitchell),59,63
2,3:37.0,K. Durant makes 2-pt jump shot from 18 ft,,61,63
2,3:22.0,,R. Rubio misses 3-pt jump shot from 28 ft,61,63
2,3:19.0,Defensive rebound by K. Durant,,61,63
2,3:12.0,S. Curry misses 3-pt jump shot from 24 ft,,61,63
2,3:10.0,,Defensive rebound by R. Gobert,61,63
2,3:03.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by J. Crowder),61,66
2,2:52.0,Turnover by S. Curry (bad pass; steal by J. Crowder),,61,66
2,2:48.0,,D. Mitchell makes 3-pt jump shot from 25 ft (assist by J. Crowder),61,69
2,2:31.0,K. Durant misses 2-pt jump shot from 11 ft,,61,69
2,2:28.0,,Defensive rebound by J. Crowder,61,69
2,2:16.0,,Turnover by J. Ingles (lost ball; steal by D. Green),61,69
2,2:13.0,D. Green makes 2-pt dunk from 3 ft (assist by S. Curry),,63,69
2,1:58.0,,Shooting foul by D. Green (drawn by R. Gobert),63,69
2,1:58.0,,R. Gobert makes free throw 1 of 2,63,70
2,1:58.0,,R. Gobert misses free throw 2 of 2,63,70
2,1:56.0,Defensive rebound by D. Green,,63,70
2,1:46.0,D. Green misses 2-pt layup from 2 ft (block by R. Gobert),,63,70
2,1:45.0,,Defensive rebound by R. Gobert,63,70
2,1:39.0,,R. Rubio makes 3-pt jump shot from 26 ft,63,73
2,1:25.0,K. Durant makes 2-pt layup from 2 ft,,65,73
2,1:08.0,,D. Mitchell makes 2-pt hook shot from 1 ft (assist by R. Rubio),65,75
2,0:56.0,K. Durant makes 2-pt jump shot from 13 ft,,67,75
2,0:46.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. Rubio),67,78
2,0:32.0,D. Green misses 2-pt layup from 3 ft,,67,78
2,0:29.0,,Defensive rebound by J. Ingles,67,78
2,0:27.0,,J. Crowder misses 3-pt jump shot from 29 ft,67,78
2,0:24.0,Defensive rebound by S. Curry,,67,78
2,0:22.0,K. Durant makes 2-pt dunk from 2 ft (assist by S. Curry),,69,78
2,0:02.0,,D. Mitchell makes 3-pt jump shot from 25 ft,69,81
3,11:39.0,K. Thompson misses 2-pt jump shot from 21 ft,,69,81
3,11:36.0,,Defensive rebound by R. Rubio,69,81
3,11:28.0,,D. Mitchell makes 2-pt layup from 1 ft (assist by R. Rubio),69,83
3,11:12.0,D. Jones makes 2-pt dunk from 2 ft (assist by S. Curry),,71,83
3,10:51.0,,J. Ingles makes 3-pt jump shot from 25 ft,71,86
3,10:34.0,K. Thompson makes 2-pt jump shot from 13 ft (assist by D. Green),,73,86
3,10:27.0,,Turnover by R. Rubio (lost ball; steal by S. Curry),73,86
3,10:24.0,S. Curry makes 2-pt layup from 2 ft,,75,86
3,10:05.0,,R. Rubio misses 2-pt jump shot from 13 ft,75,86
3,10:02.0,Defensive rebound by K. Durant,,75,86
3,9:58.0,K. Durant makes 2-pt layup from 3 ft,,77,86
3,9:47.0,,Personal foul by K. Durant (drawn by J. Ingles),77,86
3,9:36.0,,D. Mitchell misses 2-pt jump shot from 11 ft,77,86
3,9:33.0,Defensive rebound by K. Thompson,,77,86
3,9:32.0,Turnover by K. Thompson (bad pass; steal by R. Gobert),,77,86
3,9:28.0,,D. Mitchell makes 2-pt dunk from 2 ft (assist by J. Ingles),77,88
3,9:17.0,S. Curry makes 3-pt jump shot from 25 ft (assist by K. Durant),,80,88
3,8:54.0,,R. Rubio makes 3-pt jump shot from 25 ft,80,91
3,8:41.0,Turnover by D. Green (bad pass; steal by D. Favors),,80,91
3,8:35.0,,D. Mitchell misses 3-pt jump shot from 23 ft,80,91
3,8:31.0,,Offensive rebound by R. Gobert,80,91
3,8:28.0,,R. Rubio misses 3-pt jump shot from 25 ft,80,91
3,8:25.0,Defensive rebound by D. Green,,80,91
3,8:19.0,S. Curry misses 2-pt jump shot from 14 ft,,80,91
3,8:15.0,,Defensive rebound by R. Gobert,80,91
3,8:08.0,,Personal foul by D. Green (drawn by R. Gobert),80,91
3,8:08.0,Technical foul by D. Green,,80,91
3,8:08.0,,Technical foul by D. Favors,80,91
3,7:56.0,,D. Favors misses 2-pt layup from 4 ft,80,91
3,7:56.0,Defensive rebound by Team,,80,91
3,7:43.0,S. Curry misses 3-pt jump shot from 25 ft,,80,91
3,7:40.0,,Defensive rebound by D. Favors,80,91
3,7:25.0,,Turnover by R. Rubio (bad pass),80,91
3,7:06.0,K. Thompson makes 2-pt jump shot from 16 ft (assist by D. Green),,82,91
3,6:47.0,,Personal foul by D. Jones (drawn by J. Ingles),82,91
3,6:47.0,,Utah full timeout,82,91
3,6:47.0,,J. Crowder enters the game for D. Favors,82,91
3,6:40.0,,D. Mitchell misses 2-pt layup from 4 ft,82,91
3,6:39.0,,Offensive rebound by R. Gobert,82,91
3,6:39.0,,Shooting foul by K. Thompson (drawn by R. Gobert),82,91
3,6:39.0,,R. Gobert makes free throw 1 of 2,82,92
3,6:39.0,,R. Gobert misses free throw 2 of 2,82,92
3,6:37.0,Defensive rebound by D. Green,,82,92
3,6:22.0,Personal foul by R. Rubio (drawn by S. Curry),,82,92
3,6:12.0,S. Curry misses 2-pt jump shot from 14 ft,,82,92
3,6:07.0,Offensive rebound by D. Jones,,82,92
3,6:07.0,D. Jones misses 2-pt layup from 1 ft,,82,92
3,6:07.0,,Defensive rebound by R. Gobert,82,92
3,6:05.0,,D. Mitchell makes 3-pt jump shot from 23 ft (assist by J. Ingles),82,95
3,5:46.0,Turnover by D. Green (bad pass; steal by R. Gobert),,82,95
3,5:46.0,,Turnover by R. Gobert (bad pass; steal by D. Jones),82,95
3,5:46.0,Turnover by D. Green (offensive foul),,82,95
3,5:46.0,Offensive foul by D. Green (drawn by D. Mitchell),,82,95
3,5:46.0,K. Looney enters the game for D. Green,,82,95
3,5:36.0,,J. Crowder makes 3-pt jump shot from 24 ft (assist by R. Gobert),82,98
3,5:19.0,S. Curry makes 2-pt layup from 4 ft,,84,98
3,5:04.0,,R. Rubio misses 3-pt jump shot from 22 ft,84,98
3,5:01.0,Defensive rebound by S. Curry,,84,98
3,4:58.0,K. Durant makes 2-pt jump shot from 15 ft,,86,98
3,4:32.0,,J. Ingles misses 3-pt jump shot from 25 ft,86,98
3,4:28.0,Defensive rebound by K. Durant,,86,98
3,4:24.0,Turnover by S. Curry (bad pass; steal by J. Crowder),,86,98
3,4:19.0,,D. Mitchell misses 3-pt jump shot from 26 ft,86,98
3,4:17.0,Defensive rebound by D. Jones,,86,98
3,4:11.0,Golden State full timeout,,86,98
3,4:11.0,J. Jerebko enters the game for D. Jones,,86,98
3,4:11.0,S. Livingston enters the game for K. Thompson,,86,98
3,4:11.0,,D. Exum enters the game for J. Ingles,86,98
3,4:11.0,,R. O'Neale enters the game for R. Rubio,86,98
3,4:03.0,Turnover by J. Jerebko (bad pass; steal by R. Gobert),,86,98
3,3:52.0,,Offensive foul by R. Gobert (drawn by K. Durant),86,98
3,3:52.0,,Turnover by R. Gobert (offensive foul),86,98
3,3:42.0,K. Durant misses 2-pt jump shot from 13 ft,,86,98
3,3:40.0,,Defensive rebound by Team,86,98
3,3:27.0,,Turnover by R. Gobert (lost ball; steal by K. Looney),86,98
3,3:18.0,S. Curry makes 2-pt layup from 1 ft,,88,98
3,2:57.0,,D. Mitchell misses 2-pt jump shot from 13 ft,88,98
3,2:54.0,Defensive rebound by S. Livingston,,88,98
3,2:43.0,K. Durant makes 2-pt jump shot from 9 ft,,90,98
3,2:27.0,,Offensive foul by R. O'Neale (drawn by S. Curry),90,98
3,2:27.0,,Turnover by R. O'Neale (offensive foul),90,98
3,2:27.0,A. McKinnie enters the game for K. Durant,,90,98
3,2:27.0,,A. Burks enters the game for R. Gobert,90,98
3,2:27.0,,D. Favors enters the game for D. Mitchell,90,98
3,2:27.0,,J. Ingles enters the game for R. O'Neale,90,98
3,2:12.0,S. Curry makes 2-pt jump shot from 16 ft,,92,98
3,1:51.0,,A. Burks misses 2-pt layup from 4 ft,92,98
3,1:48.0,,Offensive rebound by D. Favors,92,98
3,1:37.0,,J. Ingles makes 2-pt jump shot from 21 ft,92,100
3,1:15.0,S. Curry makes 2-pt jump shot from 10 ft,,94,100
3,0:55.0,,A. Burks misses 2-pt jump shot from 6 ft,94,100
3,0:53.0,Defensive rebound by J. Jerebko,,94,100
3,0:47.0,J. Jerebko misses 3-pt jump shot from 27 ft,,94,100
3,0:43.0,Offensive rebound by J. Jerebko,,94,100
3,0:40.0,S. Curry makes 3-pt jump shot from 25 ft (assist by J. Jerebko),,97,100
3,0:40.0,,Utah full timeout,97,100
3,0:27.0,,A. Burks misses 2-pt jump shot from 18 ft,97,100
3,0:22.0,Defensive rebound by A. McKinnie,,97,100
3,0:05.0,S. Curry misses 2-pt jump shot from 24 ft,,97,100
3,0:01.0,,Defensive rebound by J. Ingles,97,100
3,0:00.0,,J. Ingles makes 3-pt jump shot from 36 ft,97,103
4,11:43.0,,J. Ingles misses 3-pt jump shot from 26 ft,97,103
4,11:39.0,Defensive rebound by K. Durant,,97,103
4,11:31.0,K. Durant misses 2-pt jump shot from 19 ft,,97,103
4,11:29.0,,Defensive rebound by J. Ingles,97,103
4,11:22.0,,A. Burks misses 3-pt jump shot from 25 ft,97,103
4,11:19.0,,Offensive rebound by G. Niang,97,103
4,11:14.0,,G. Niang misses 3-pt jump shot from 25 ft,97,103
4,11:11.0,,Offensive rebound by D. Favors,97,103
4,11:07.0,,Turnover by D. Favors (lost ball; steal by K. Durant),97,103
4,10:48.0,Turnover by K. Thompson (bad pass; steal by D. Favors),,97,103
4,10:43.0,,G. Niang makes 3-pt jump shot from 25 ft (assist by J. Ingles),97,106
4,10:22.0,K. Durant makes 2-pt jump shot from 11 ft,,99,106
4,10:01.0,,D. Favors makes 2-pt dunk from 2 ft (assist by G. Niang),99,108
4,9:49.0,S. Livingston misses 2-pt jump shot from 12 ft,,99,108
4,9:46.0,,Defensive rebound by G. Niang,99,108
4,9:37.0,,Shooting foul by K. Looney (drawn by D. Favors),99,108
4,9:37.0,,D. Favors makes free throw 1 of 2,99,109
4,9:37.0,D. Green enters the game for A. McKinnie,,99,109
4,9:37.0,,R. Rubio enters the game for A. Burks,99,109
4,9:37.0,,D. Favors misses free throw 2 of 2,99,109
4,9:35.0,Defensive rebound by K. Looney,,99,109
4,9:21.0,Shooting foul by J. Ingles (drawn by K. Durant),,99,109
4,9:21.0,K. Durant makes free throw 1 of 2,,100,109
4,9:21.0,K. Durant makes free throw 2 of 2,,101,109
4,9:07.0,,D. Favors misses 2-pt layup from 3 ft (block by D. Green),101,109
4,9:07.0,Defensive rebound by K. Durant,,101,109
4,8:57.0,Turnover by S. Livingston (bad pass; steal by J. Ingles),,101,109
4,8:53.0,,Shooting foul by K. Durant (drawn by D. Exum),101,109
4,8:53.0,,D. Exum makes free throw 1 of 2,101,110
4,8:53.0,,D. Exum makes free throw 2 of 2,101,111
4,8:40.0,S. Livingston makes 2-pt layup from 3 ft (assist by D. Green),,103,111
4,8:26.0,,G. Niang misses 3-pt jump shot from 22 ft,103,111
4,8:22.0,Defensive rebound by K. Durant,,103,111
4,8:11.0,K. Looney misses 2-pt layup from 3 ft,,103,111
4,8:08.0,Offensive rebound by D. Green,,103,111
4,8:01.0,D. Green makes 2-pt hook shot from 7 ft (assist by S. Livingston),,105,111
4,8:01.0,,Utah full timeout,105,111
4,8:01.0,S. Curry enters the game for K. Looney,,105,111
4,8:01.0,J. Jerebko enters the game for K. Thompson,,105,111
4,8:01.0,,R. Gobert enters the game for D. Exum,105,111
4,8:01.0,,D. Mitchell enters the game for D. Favors,105,111
4,8:01.0,,R. O'Neale enters the game for J. Ingles,105,111
4,7:48.0,,Turnover by R. Rubio (lost ball; steal by S. Livingston),105,111
4,7:46.0,Shooting foul by D. Mitchell (drawn by S. Livingston),,105,111
4,7:46.0,S. Livingston makes free throw 1 of 2,,106,111
4,7:46.0,S. Livingston makes free throw 2 of 2,,107,111
4,7:39.0,,R. Rubio misses 2-pt layup from 3 ft,107,111
4,7:37.0,Defensive rebound by J. Jerebko,,107,111
4,7:25.0,S. Curry makes 3-pt jump shot from 25 ft (assist by K. Durant),,110,111
4,7:12.0,,Offensive foul by R. O'Neale (drawn by D. Green),110,111
4,7:12.0,,Turnover by R. O'Neale (offensive foul),110,111
4,7:12.0,,J. Crowder enters the game for G. Niang,110,111
4,7:05.0,K. Durant misses 2-pt jump shot from 14 ft,,110,111
4,7:02.0,,Defensive rebound by J. Crowder,110,111
4,6:44.0,,D. Mitchell misses 3-pt jump shot from 24 ft,110,111
4,6:42.0,Defensive rebound by D. Green,,110,111
4,6:37.0,K. Durant makes 2-pt layup from 2 ft (assist by S. Curry),,112,111
4,6:14.0,,D. Mitchell misses 2-pt jump shot from 5 ft,112,111
4,6:11.0,Defensive rebound by K. Durant,,112,111
4,6:02.0,S. Curry misses 2-pt layup from 4 ft,,112,111
4,6:00.0,,Defensive rebound by J. Crowder,112,111
4,5:56.0,,J. Crowder misses 3-pt jump shot from 25 ft,112,111
4,5:53.0,Defensive rebound by K. Durant,,112,111
4,5:48.0,Golden State full timeout,,112,111
4,5:48.0,K. Thompson enters the game for S. Livingston,,112,111
4,5:48.0,,J. Ingles enters the game for R. O'Neale,112,111
4,5:39.0,D. Green makes 2-pt layup from 2 ft (assist by K. Thompson),,114,111
4,5:26.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Mitchell),114,113
4,5:10.0,K. Durant misses 2-pt jump shot from 20 ft (block by J. Ingles),,114,113
4,5:08.0,,Defensive rebound by J. Crowder,114,113
