QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DETROIT_ACTION,OKLAHOMA CITY_SCORE,DETROIT_SCORE
2,7:59.0,,L. Galloway enters the game for L. Kennard,34,23
2,7:59.0,,R. Jackson enters the game for Z. Pachulia,34,23
2,7:44.0,R. Westbrook makes 2-pt layup from 3 ft (assist by D. Schröder),,36,23
2,7:14.0,,S. Johnson makes 2-pt jump shot from 12 ft,36,25
2,7:00.0,S. Adams makes 2-pt hook shot from 9 ft (assist by R. Westbrook),,38,25
2,6:48.0,,A. Drummond misses 2-pt jump shot from 10 ft (block by S. Adams),38,25
2,6:48.0,Defensive rebound by D. Schröder,,38,25
2,6:46.0,Personal foul by A. Drummond (drawn by D. Schröder),,38,25
2,6:46.0,P. George enters the game for D. Schröder,,38,25
2,6:35.0,J. Grant makes 2-pt layup from 1 ft (assist by R. Westbrook),,40,25
2,6:27.0,,Detroit full timeout,40,25
2,6:27.0,,B. Griffin enters the game for S. Johnson,40,25
2,6:14.0,,B. Griffin misses 3-pt jump shot from 26 ft,40,25
2,6:10.0,Defensive rebound by P. George,,40,25
2,5:59.0,Turnover by R. Westbrook (bad pass; steal by B. Griffin),,40,25
2,5:46.0,,Turnover by R. Jackson (traveling),40,25
2,5:37.0,Turnover by R. Westbrook (bad pass; steal by B. Griffin),,40,25
2,5:26.0,,A. Drummond makes 2-pt hook shot from 4 ft (assist by I. Smith),40,27
2,5:05.0,P. George misses 2-pt jump shot from 20 ft,,40,27
2,5:01.0,,Defensive rebound by R. Jackson,40,27
2,4:54.0,,R. Jackson misses 3-pt jump shot from 26 ft,40,27
2,4:51.0,Defensive rebound by T. Ferguson,,40,27
2,4:46.0,Personal foul by R. Jackson (drawn by P. George),,40,27
2,4:33.0,Shooting foul by A. Drummond (drawn by J. Grant),,40,27
2,4:33.0,J. Grant makes free throw 1 of 2,,41,27
2,4:33.0,,Z. Pachulia enters the game for A. Drummond,41,27
2,4:33.0,,G. Robinson enters the game for I. Smith,41,27
2,4:33.0,J. Grant misses free throw 2 of 2,,41,27
2,4:31.0,,Defensive rebound by G. Robinson,41,27
2,4:08.0,,L. Galloway misses 2-pt jump shot from 11 ft,41,27
2,4:07.0,Defensive rebound by Team,,41,27
2,4:01.0,Offensive foul by J. Grant (drawn by G. Robinson),,41,27
2,4:01.0,Turnover by J. Grant (offensive foul),,41,27
2,3:48.0,,B. Griffin makes 2-pt layup from 4 ft,41,29
2,3:48.0,,Shooting foul by T. Ferguson (drawn by B. Griffin),41,29
2,3:48.0,P. Patterson enters the game for J. Grant,,41,29
2,3:48.0,,B. Griffin makes free throw 1 of 1,41,30
2,3:37.0,P. George misses 2-pt layup from 2 ft (block by B. Griffin),,41,30
2,3:35.0,,Defensive rebound by B. Griffin,41,30
2,3:33.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by G. Robinson),41,33
2,3:18.0,R. Westbrook makes 3-pt jump shot from 25 ft,,44,33
2,3:18.0,D. Schröder enters the game for T. Ferguson,,44,33
2,2:58.0,,Turnover by R. Jackson (step out of bounds),44,33
2,2:47.0,Turnover by R. Westbrook (lost ball; steal by Z. Pachulia),,44,33
2,2:28.0,,B. Griffin misses 2-pt jump shot from 16 ft,44,33
2,2:23.0,,Offensive rebound by G. Robinson,44,33
2,2:13.0,,B. Griffin misses 3-pt jump shot from 26 ft,44,33
2,2:07.0,Defensive rebound by D. Schröder,,44,33
2,1:51.0,R. Westbrook misses 2-pt jump shot from 14 ft,,44,33
2,1:47.0,,Defensive rebound by B. Griffin,44,33
2,1:36.0,,B. Griffin makes 2-pt layup from 5 ft,44,35
2,1:29.0,Personal foul by Z. Pachulia (drawn by S. Adams),,44,35
2,1:29.0,S. Adams makes free throw 1 of 2,,45,35
2,1:29.0,S. Adams makes free throw 2 of 2,,46,35
2,1:10.0,,B. Griffin makes 2-pt layup from 5 ft,46,37
2,0:58.0,R. Westbrook misses 3-pt jump shot from 26 ft,,46,37
2,0:57.0,Offensive rebound by Team,,46,37
2,0:57.0,Personal foul by Z. Pachulia (drawn by S. Adams),,46,37
2,0:57.0,S. Adams makes free throw 1 of 2,,47,37
2,0:57.0,S. Adams makes free throw 2 of 2,,48,37
2,0:32.0,,R. Jackson misses 2-pt layup from 4 ft (block by P. Patterson),48,37
2,0:30.0,Defensive rebound by D. Schröder,,48,37
2,0:19.0,S. Adams makes 2-pt layup from 3 ft (assist by R. Westbrook),,50,37
2,0:03.0,,B. Griffin makes 3-pt jump shot from 25 ft,50,40
2,0:00.0,P. Patterson misses 3-pt jump shot from 33 ft,,50,40
2,0:00.0,Offensive rebound by Team,,50,40
3,11:41.0,P. George misses 2-pt layup from 3 ft,,50,40
3,11:39.0,,Defensive rebound by A. Drummond,50,40
3,11:27.0,,A. Drummond makes 2-pt layup from 5 ft (assist by R. Jackson),50,42
3,11:14.0,R. Westbrook makes 3-pt jump shot from 25 ft (assist by T. Ferguson),,53,42
3,10:56.0,,L. Galloway misses 3-pt jump shot from 25 ft,53,42
3,10:53.0,Defensive rebound by J. Grant,,53,42
3,10:50.0,Personal foul by R. Jackson (drawn by R. Westbrook),,53,42
3,10:43.0,R. Westbrook misses 2-pt jump shot from 12 ft,,53,42
3,10:41.0,,Defensive rebound by B. Griffin,53,42
3,10:31.0,,A. Drummond misses 2-pt layup from 6 ft (block by T. Ferguson),53,42
3,10:29.0,Defensive rebound by R. Westbrook,,53,42
3,10:21.0,P. George misses 3-pt jump shot from 25 ft,,53,42
3,10:18.0,,Defensive rebound by R. Jackson,53,42
3,10:03.0,,G. Robinson misses 3-pt jump shot from 23 ft,53,42
3,10:01.0,Defensive rebound by S. Adams,,53,42
3,9:52.0,R. Westbrook misses 2-pt jump shot from 16 ft,,53,42
3,9:50.0,Offensive rebound by Team,,53,42
3,9:40.0,P. George makes 2-pt layup from 2 ft,,55,42
3,9:28.0,,B. Griffin makes 3-pt jump shot from 25 ft,55,45
3,9:21.0,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),,57,45
3,9:21.0,Shooting foul by L. Galloway (drawn by S. Adams),,57,45
3,9:21.0,S. Adams makes free throw 1 of 1,,58,45
3,9:16.0,,Personal foul by T. Ferguson (drawn by L. Galloway),58,45
3,9:16.0,,Violation by Team (delay of game),58,45
3,9:02.0,,G. Robinson makes 2-pt layup from 3 ft (assist by B. Griffin),58,47
3,8:50.0,P. George misses 2-pt jump shot from 18 ft,,58,47
3,8:48.0,,Defensive rebound by A. Drummond,58,47
3,8:44.0,,R. Jackson misses 3-pt jump shot from 25 ft,58,47
3,8:41.0,Defensive rebound by P. George,,58,47
3,8:32.0,J. Grant misses 3-pt jump shot from 25 ft,,58,47
3,8:28.0,Offensive rebound by S. Adams,,58,47
3,8:21.0,Personal foul by G. Robinson (drawn by P. George),,58,47
3,8:16.0,R. Westbrook misses 3-pt jump shot from 27 ft,,58,47
3,8:11.0,,Defensive rebound by L. Galloway,58,47
3,7:52.0,,B. Griffin misses 3-pt jump shot from 26 ft,58,47
3,7:47.0,,Offensive rebound by L. Galloway,58,47
3,7:35.0,,Shooting foul by T. Ferguson (drawn by B. Griffin),58,47
3,7:35.0,,B. Griffin makes free throw 1 of 2,58,48
3,7:35.0,,B. Griffin makes free throw 2 of 2,58,49
3,7:25.0,S. Adams makes 2-pt hook shot from 11 ft (assist by P. George),,60,49
3,7:09.0,,L. Galloway misses 2-pt jump shot from 16 ft,60,49
3,7:06.0,Defensive rebound by R. Westbrook,,60,49
3,7:06.0,,Violation by Team (kicked ball),60,49
3,6:58.0,R. Westbrook makes 2-pt jump shot from 17 ft,,62,49
3,6:29.0,,Detroit full timeout,62,49
3,6:29.0,D. Schröder enters the game for T. Ferguson,,62,49
3,6:29.0,,A. Drummond misses 2-pt layup at rim,62,49
3,6:29.0,,Offensive rebound by Team,62,49
3,6:29.0,,Turnover by Team (shot clock),62,49
3,6:14.0,R. Westbrook makes 2-pt jump shot from 11 ft,,64,49
3,6:14.0,Shooting foul by G. Robinson (drawn by R. Westbrook),,64,49
3,6:14.0,R. Westbrook makes free throw 1 of 1,,65,49
3,5:54.0,,B. Griffin misses 3-pt jump shot from 24 ft,65,49
3,5:50.0,,Offensive rebound by B. Griffin,65,49
3,5:49.0,,Turnover by B. Griffin (bad pass; steal by R. Westbrook),65,49
3,5:40.0,P. George makes 3-pt jump shot from 27 ft (assist by D. Schröder),,68,49
3,5:18.0,,A. Drummond makes 2-pt layup from 1 ft (assist by B. Griffin),68,51
3,5:02.0,Shooting foul by A. Drummond (drawn by J. Grant),,68,51
3,5:02.0,J. Grant makes free throw 1 of 2,,69,51
3,5:02.0,,S. Johnson enters the game for A. Drummond,69,51
3,5:02.0,,Z. Pachulia enters the game for G. Robinson,69,51
3,5:02.0,,Technical foul by A. Drummond,69,51
3,5:02.0,P. George makes technical free throw,,70,51
3,5:02.0,J. Grant makes free throw 2 of 2,,71,51
3,4:45.0,,Turnover by S. Johnson (lost ball; steal by D. Schröder),71,51
3,4:36.0,S. Adams misses 2-pt layup from 3 ft,,71,51
3,4:36.0,Offensive rebound by S. Adams,,71,51
3,4:36.0,Shooting foul by Z. Pachulia (drawn by S. Adams),,71,51
3,4:36.0,S. Adams makes free throw 1 of 2,,72,51
3,4:36.0,S. Adams makes free throw 2 of 2,,73,51
3,4:18.0,,R. Jackson makes 2-pt jump shot from 16 ft,73,53
3,4:18.0,,Shooting foul by R. Westbrook (drawn by R. Jackson),73,53
3,4:18.0,,R. Jackson makes free throw 1 of 1,73,54
3,4:02.0,R. Westbrook makes 2-pt layup from 3 ft,,75,54
3,3:34.0,,L. Galloway misses 3-pt jump shot from 23 ft,75,54
3,3:34.0,,Offensive rebound by Team,75,54
3,3:34.0,,Turnover by Team (shot clock),75,54
3,3:34.0,,B. Brown enters the game for L. Galloway,75,54
3,3:34.0,,I. Smith enters the game for R. Jackson,75,54
3,3:23.0,J. Grant makes 3-pt jump shot from 23 ft (assist by P. George),,78,54
3,3:08.0,,S. Johnson misses 3-pt jump shot from 25 ft,78,54
3,3:05.0,Defensive rebound by J. Grant,,78,54
3,2:55.0,P. George makes 2-pt dunk from 1 ft,,80,54
3,2:50.0,,Detroit full timeout,80,54
3,2:41.0,,B. Griffin misses 2-pt jump shot from 7 ft,80,54
3,2:40.0,Defensive rebound by D. Schröder,,80,54
3,2:37.0,D. Schröder misses 3-pt jump shot from 25 ft,,80,54
3,2:32.0,Offensive rebound by R. Westbrook,,80,54
3,2:27.0,Shooting foul by S. Johnson (drawn by R. Westbrook),,80,54
3,2:27.0,R. Westbrook misses free throw 1 of 2,,80,54
3,2:27.0,Offensive rebound by Team,,80,54
3,2:27.0,N. Noel enters the game for S. Adams,,80,54
3,2:27.0,,L. Kennard enters the game for Z. Pachulia,80,54
3,2:27.0,R. Westbrook makes free throw 2 of 2,,81,54
3,2:16.0,,I. Smith misses 2-pt layup from 4 ft,81,54
3,2:15.0,Defensive rebound by R. Westbrook,,81,54
3,2:11.0,N. Noel makes 2-pt dunk from 2 ft (assist by R. Westbrook),,83,54
3,2:00.0,,Turnover by I. Smith (lost ball; steal by N. Noel),83,54
3,1:57.0,R. Westbrook misses 3-pt jump shot from 24 ft,,83,54
3,1:53.0,,Defensive rebound by S. Johnson,83,54
3,1:48.0,,S. Johnson makes 2-pt layup from 2 ft,83,56
3,1:24.0,P. George makes 2-pt jump shot from 16 ft (assist by R. Westbrook),,85,56
3,1:10.0,,B. Brown makes 2-pt layup from 1 ft (assist by I. Smith),85,58
3,0:58.0,P. George misses 3-pt jump shot from 27 ft,,85,58
3,0:55.0,,Defensive rebound by S. Johnson,85,58
3,0:50.0,,S. Johnson misses 2-pt layup from 1 ft (block by J. Grant),85,58
3,0:48.0,Defensive rebound by P. George,,85,58
3,0:47.0,P. George misses 3-pt jump shot from 26 ft,,85,58
3,0:43.0,,Defensive rebound by L. Kennard,85,58
3,0:37.0,,Turnover by L. Kennard (bad pass; steal by P. George),85,58
3,0:30.0,P. George makes 2-pt layup from 1 ft,,87,58
3,0:15.0,,Shooting foul by N. Noel (drawn by I. Smith),87,58
3,0:15.0,,I. Smith misses free throw 1 of 2,87,58
3,0:15.0,,Offensive rebound by Team,87,58
3,0:15.0,,I. Smith makes free throw 2 of 2,87,59
3,0:00.0,N. Noel misses 2-pt hook shot from 11 ft,,87,59
3,0:00.0,,Defensive rebound by B. Griffin,87,59
4,11:42.0,,A. Drummond misses 2-pt jump shot from 7 ft,87,59
4,11:40.0,Defensive rebound by N. Noel,,87,59
4,11:29.0,D. Schröder misses 2-pt jump shot from 19 ft,,87,59
4,11:27.0,,Defensive rebound by B. Brown,87,59
4,11:23.0,,Personal foul by T. Ferguson (drawn by R. Jackson),87,59
4,11:19.0,,Shooting foul by N. Noel (drawn by A. Drummond),87,59
4,11:19.0,,A. Drummond misses free throw 1 of 2,87,59
4,11:19.0,,Offensive rebound by Team,87,59
4,11:19.0,,A. Drummond makes free throw 2 of 2,87,60
4,11:08.0,Turnover by D. Schröder (bad pass; steal by A. Drummond),,87,60
4,11:02.0,,I. Smith makes 3-pt jump shot from 23 ft (assist by B. Brown),87,63
4,11:01.0,Oklahoma City full timeout,,87,63
4,10:44.0,D. Schröder makes 2-pt layup from 3 ft,,89,63
4,10:26.0,,R. Jackson makes 2-pt jump shot from 13 ft,89,65
4,10:10.0,Á. Abrines misses 3-pt jump shot from 24 ft,,89,65
4,10:07.0,,Defensive rebound by A. Drummond,89,65
4,9:58.0,,Turnover by G. Robinson (lost ball; steal by T. Ferguson),89,65
4,9:54.0,Shooting foul by R. Jackson (drawn by T. Ferguson),,89,65
4,9:54.0,T. Ferguson makes free throw 1 of 2,,90,65
4,9:54.0,T. Ferguson makes free throw 2 of 2,,91,65
4,9:38.0,,Turnover by G. Robinson (bad pass; steal by P. Patterson),91,65
4,9:32.0,N. Noel makes 2-pt layup from 1 ft (assist by D. Schröder),,93,65
4,9:13.0,,I. Smith misses 3-pt jump shot from 25 ft,93,65
4,9:11.0,Defensive rebound by N. Noel,,93,65
4,9:06.0,Turnover by D. Schröder (bad pass),,93,65
4,8:52.0,,R. Jackson misses 3-pt jump shot from 30 ft,93,65
4,8:48.0,Defensive rebound by N. Noel,,93,65
4,8:32.0,D. Schröder makes 2-pt jump shot from 16 ft,,95,65
4,8:31.0,,Detroit full timeout,95,65
4,8:31.0,,J. Calderón enters the game for A. Drummond,95,65
4,8:31.0,,J. Leuer enters the game for R. Jackson,95,65
4,8:15.0,,J. Leuer misses 2-pt jump shot from 11 ft,95,65
4,8:13.0,Defensive rebound by Á. Abrines,,95,65
4,8:03.0,Á. Abrines misses 3-pt jump shot from 26 ft,,95,65
4,8:00.0,,Defensive rebound by J. Leuer,95,65
4,7:49.0,,J. Leuer misses 2-pt hook shot from 8 ft,95,65
4,7:46.0,Defensive rebound by D. Schröder,,95,65
4,7:39.0,N. Noel makes 2-pt dunk from 1 ft (assist by D. Schröder),,97,65
4,7:24.0,,I. Smith misses 2-pt jump shot from 14 ft,97,65
4,7:22.0,Defensive rebound by T. Ferguson,,97,65
4,7:07.0,Turnover by D. Schröder (lost ball; steal by I. Smith),,97,65
4,6:51.0,,J. Leuer makes 2-pt layup from 2 ft (assist by B. Brown),97,67
4,6:51.0,,Shooting foul by P. Patterson (drawn by J. Leuer),97,67
4,6:51.0,R. Felton enters the game for Á. Abrines,,97,67
4,6:51.0,,J. Leuer makes free throw 1 of 1,97,68
4,6:42.0,N. Noel makes 2-pt dunk from 1 ft,,99,68
4,6:28.0,,B. Brown misses 2-pt layup from 2 ft,99,68
4,6:26.0,Defensive rebound by D. Schröder,,99,68
4,6:20.0,D. Schröder makes 2-pt jump shot from 14 ft,,101,68
4,6:01.0,,G. Robinson misses 2-pt hook shot from 7 ft,101,68
4,6:00.0,Defensive rebound by P. Patterson,,101,68
4,5:50.0,D. Schröder misses 2-pt jump shot from 11 ft,,101,68
4,5:49.0,,Defensive rebound by B. Brown,101,68
4,5:49.0,,Personal foul by N. Noel (drawn by B. Brown),101,68
4,5:49.0,Á. Abrines enters the game for T. Ferguson,,101,68
4,5:49.0,D. Burton enters the game for D. Schröder,,101,68
4,5:49.0,,L. Kennard enters the game for I. Smith,101,68
4,5:30.0,,J. Calderón misses 2-pt jump shot from 19 ft,101,68
4,5:26.0,Defensive rebound by R. Felton,,101,68
4,5:18.0,N. Noel makes 2-pt jump shot from 17 ft (assist by P. Patterson),,103,68
4,5:18.0,A. Nader enters the game for P. Patterson,,103,68
4,5:02.0,,J. Leuer makes 2-pt layup from 4 ft (assist by J. Calderón),103,70
4,5:02.0,,Shooting foul by A. Nader (drawn by J. Leuer),103,70
4,5:02.0,,J. Leuer makes free throw 1 of 1,103,71
4,4:55.0,R. Felton makes 3-pt jump shot from 24 ft (assist by Á. Abrines),,106,71
4,4:40.0,,L. Kennard misses 3-pt jump shot from 23 ft,106,71
4,4:38.0,Defensive rebound by N. Noel,,106,71
4,4:26.0,R. Felton misses 3-pt jump shot from 23 ft,,106,71
4,4:23.0,,Defensive rebound by J. Leuer,106,71
4,4:18.0,,G. Robinson misses 2-pt layup from 3 ft (block by N. Noel),106,71
4,4:18.0,Defensive rebound by A. Nader,,106,71
4,4:12.0,Turnover by A. Nader (lost ball; steal by B. Brown),,106,71
