QUARTER,TIME_REMAINING,NEW YORK_ACTION,BOSTON_ACTION,NEW YORK_SCORE,BOSTON_SCORE
2,9:19.0,,G. Hayward misses 2-pt jump shot from 15 ft,40,43
2,9:17.0,Defensive rebound by M. Robinson,,40,43
2,9:09.0,A. Trier misses 2-pt jump shot from 12 ft,,40,43
2,9:07.0,,Defensive rebound by M. Morris,40,43
2,9:02.0,,T. Rozier makes 3-pt jump shot from 25 ft,40,46
2,8:47.0,K. Knox misses 2-pt layup from 4 ft,,40,46
2,8:47.0,,Defensive rebound by J. Brown,40,46
2,8:47.0,,Personal foul by M. Robinson (drawn by J. Brown),40,46
2,8:47.0,N. Vonleh enters the game for M. Robinson,,40,46
2,8:36.0,,T. Rozier makes 3-pt jump shot from 25 ft (assist by G. Hayward),40,49
2,8:18.0,K. Knox misses 3-pt jump shot from 24 ft,,40,49
2,8:15.0,,Defensive rebound by M. Morris,40,49
2,8:10.0,,Turnover by T. Rozier (bad pass; steal by N. Vonleh),40,49
2,8:10.0,Personal take foul by T. Rozier (drawn by K. Knox),,40,49
2,8:10.0,T. Hardaway enters the game for C. Lee,,40,49
2,8:03.0,Personal foul by D. Theis (drawn by N. Vonleh),,40,49
2,8:03.0,,K. Irving enters the game for G. Hayward,40,49
2,7:55.0,D. Dotson misses 3-pt jump shot from 25 ft,,40,49
2,7:51.0,Offensive rebound by N. Vonleh,,40,49
2,7:50.0,N. Vonleh makes 2-pt layup from 1 ft,,42,49
2,7:38.0,,D. Theis makes 2-pt layup from 3 ft (assist by K. Irving),42,51
2,7:25.0,Shooting foul by K. Irving (drawn by N. Vonleh),,42,51
2,7:25.0,N. Vonleh makes free throw 1 of 2,,43,51
2,7:25.0,,A. Horford enters the game for D. Theis,43,51
2,7:25.0,N. Vonleh makes free throw 2 of 2,,44,51
2,7:09.0,,J. Brown misses 3-pt jump shot from 26 ft,44,51
2,7:07.0,Defensive rebound by N. Vonleh,,44,51
2,6:58.0,T. Hardaway misses 2-pt jump shot from 19 ft,,44,51
2,6:55.0,,Defensive rebound by T. Rozier,44,51
2,6:49.0,,J. Brown makes 2-pt layup from 2 ft (assist by T. Rozier),44,53
2,6:26.0,K. Knox misses 2-pt layup from 3 ft,,44,53
2,6:24.0,,Defensive rebound by A. Horford,44,53
2,6:23.0,,Turnover by J. Brown (step out of bounds),44,53
2,6:23.0,,Boston full timeout,44,53
2,6:23.0,E. Freedom enters the game for D. Dotson,,44,53
2,6:23.0,E. Mudiay enters the game for A. Trier,,44,53
2,6:08.0,T. Hardaway misses 2-pt layup from 3 ft,,44,53
2,6:06.0,Offensive rebound by E. Freedom,,44,53
2,6:05.0,E. Freedom misses 2-pt hook shot from 1 ft (block by A. Horford),,44,53
2,6:03.0,,Defensive rebound by K. Irving,44,53
2,6:00.0,,T. Rozier misses 3-pt jump shot from 24 ft,44,53
2,5:58.0,Defensive rebound by K. Knox,,44,53
2,5:55.0,K. Knox misses 2-pt layup from 6 ft (block by T. Rozier),,44,53
2,5:55.0,,Defensive rebound by Team,44,53
2,5:40.0,,A. Horford misses 2-pt jump shot from 16 ft,44,53
2,5:37.0,Defensive rebound by N. Vonleh,,44,53
2,5:16.0,E. Freedom misses 2-pt hook shot from 4 ft,,44,53
2,5:13.0,,Defensive rebound by A. Horford,44,53
2,5:04.0,,A. Horford misses 2-pt hook shot from 5 ft,44,53
2,5:04.0,Defensive rebound by N. Vonleh,,44,53
2,4:58.0,Personal foul by T. Rozier (drawn by T. Hardaway),,44,53
2,4:58.0,M. Hezonja enters the game for K. Knox,,44,53
2,4:58.0,,G. Hayward enters the game for J. Brown,44,53
2,4:58.0,,M. Smart enters the game for M. Morris,44,53
2,4:58.0,,J. Tatum enters the game for T. Rozier,44,53
2,4:58.0,T. Hardaway makes free throw 1 of 2,,45,53
2,4:58.0,T. Hardaway makes free throw 2 of 2,,46,53
2,4:35.0,,K. Irving misses 2-pt jump shot from 13 ft,46,53
2,4:32.0,Defensive rebound by N. Vonleh,,46,53
2,4:24.0,E. Freedom makes 2-pt layup from 4 ft (assist by T. Hardaway),,48,53
2,4:15.0,,J. Tatum makes 3-pt jump shot from 26 ft (assist by K. Irving),48,56
2,4:03.0,T. Hardaway misses 3-pt jump shot from 25 ft,,48,56
2,4:00.0,,Defensive rebound by A. Horford,48,56
2,3:52.0,,Turnover by A. Horford (step out of bounds),48,56
2,3:37.0,M. Hezonja makes 2-pt layup from 4 ft (assist by T. Hardaway),,50,56
2,3:37.0,Shooting foul by A. Horford (drawn by M. Hezonja),,50,56
2,3:37.0,M. Hezonja makes free throw 1 of 1,,51,56
2,3:26.0,,J. Tatum makes 2-pt jump shot from 12 ft (assist by K. Irving),51,58
2,3:14.0,E. Mudiay makes 2-pt layup from 3 ft,,53,58
2,2:55.0,,K. Irving misses 3-pt jump shot from 24 ft,53,58
2,2:53.0,,Offensive rebound by J. Tatum,53,58
2,2:48.0,,A. Horford makes 2-pt dunk from 1 ft (assist by M. Smart),53,60
2,2:30.0,T. Hardaway misses 2-pt jump shot from 6 ft,,53,60
2,2:27.0,,Defensive rebound by A. Horford,53,60
2,2:18.0,,A. Horford makes 2-pt layup from 2 ft (assist by J. Tatum),53,62
2,2:18.0,,Shooting foul by M. Hezonja (drawn by A. Horford),53,62
2,2:18.0,New York full timeout,,53,62
2,2:18.0,,A. Horford makes free throw 1 of 1,53,63
2,2:01.0,E. Mudiay misses 2-pt layup from 4 ft (block by A. Horford),,53,63
2,1:57.0,,Defensive rebound by J. Tatum,53,63
2,1:55.0,,M. Smart misses 3-pt jump shot from 23 ft,53,63
2,1:51.0,Defensive rebound by E. Mudiay,,53,63
2,1:49.0,Shooting foul by K. Irving (drawn by E. Mudiay),,53,63
2,1:49.0,E. Mudiay makes free throw 1 of 2,,54,63
2,1:49.0,E. Mudiay makes free throw 2 of 2,,55,63
2,1:39.0,,A. Horford makes 2-pt dunk from 2 ft (assist by M. Smart),55,65
2,1:24.0,E. Freedom makes 2-pt layup from 2 ft,,57,65
2,1:11.0,,A. Horford makes 2-pt jump shot from 14 ft (assist by K. Irving),57,67
2,1:02.0,E. Freedom misses 2-pt layup from 3 ft,,57,67
2,1:00.0,,Defensive rebound by A. Horford,57,67
2,0:58.0,,M. Smart misses 3-pt jump shot from 26 ft,57,67
2,0:58.0,Defensive rebound by E. Freedom,,57,67
2,0:48.0,Personal foul by J. Tatum (drawn by N. Vonleh),,57,67
2,0:48.0,N. Vonleh misses free throw 1 of 2,,57,67
2,0:48.0,Offensive rebound by Team,,57,67
2,0:48.0,N. Vonleh makes free throw 2 of 2,,58,67
2,0:30.0,,A. Horford makes 2-pt layup from 1 ft (assist by K. Irving),58,69
2,0:06.0,M. Hezonja misses 3-pt jump shot from 26 ft,,58,69
2,0:05.0,Offensive rebound by E. Freedom,,58,69
2,0:04.0,E. Freedom misses 2-pt hook shot from 4 ft (block by A. Horford),,58,69
2,0:03.0,,Defensive rebound by G. Hayward,58,69
2,0:01.0,,M. Smart misses 3-pt jump shot from 27 ft,58,69
2,0:01.0,,Offensive rebound by Team,58,69
3,11:35.0,T. Hardaway misses 3-pt jump shot from 26 ft,,58,69
3,11:33.0,Offensive rebound by E. Mudiay,,58,69
3,11:31.0,Turnover by E. Mudiay (bad pass; steal by M. Smart),,58,69
3,11:27.0,,K. Irving makes 3-pt jump shot from 26 ft (assist by M. Smart),58,72
3,11:01.0,E. Mudiay misses 2-pt jump shot from 9 ft,,58,72
3,11:00.0,Offensive rebound by E. Freedom,,58,72
3,10:59.0,E. Freedom makes 2-pt layup from 1 ft,,60,72
3,10:49.0,,Personal foul by M. Hezonja (drawn by M. Morris),60,72
3,10:36.0,,M. Morris misses 3-pt jump shot from 22 ft,60,72
3,10:34.0,Defensive rebound by E. Freedom,,60,72
3,10:23.0,T. Hardaway misses 3-pt jump shot from 24 ft,,60,72
3,10:21.0,,Defensive rebound by J. Tatum,60,72
3,10:11.0,,M. Smart misses 3-pt jump shot from 25 ft,60,72
3,10:09.0,Defensive rebound by N. Vonleh,,60,72
3,9:53.0,E. Mudiay misses 2-pt jump shot from 9 ft (block by A. Horford),,60,72
3,9:53.0,Offensive rebound by Team,,60,72
3,9:53.0,Flagrant foul type 1 by M. Morris (drawn by T. Hardaway),,60,72
3,9:53.0,E. Mudiay makes flagrant free throw 1 of 2,,61,72
3,9:53.0,E. Mudiay makes flagrant free throw 2 of 2,,62,72
3,9:52.0,Turnover by E. Mudiay (traveling),,62,72
3,9:38.0,,A. Horford makes 2-pt layup from 1 ft (assist by M. Morris),62,74
3,9:22.0,Def 3 sec tech foul by Team,,62,74
3,9:22.0,E. Mudiay makes technical free throw,,63,74
3,9:15.0,T. Hardaway misses 2-pt layup from 2 ft,,63,74
3,9:14.0,,Defensive rebound by K. Irving,63,74
3,9:09.0,,K. Irving misses 2-pt layup from 2 ft (block by E. Freedom),63,74
3,9:07.0,Defensive rebound by E. Freedom,,63,74
3,9:02.0,Turnover by E. Mudiay (bad pass; steal by J. Tatum),,63,74
3,8:58.0,,J. Tatum makes 3-pt jump shot from 26 ft (assist by M. Smart),63,77
3,8:56.0,New York full timeout,,63,77
3,8:39.0,T. Hardaway makes 3-pt jump shot from 26 ft (assist by M. Hezonja),,66,77
3,8:22.0,,K. Irving makes 2-pt layup from 2 ft,66,79
3,8:03.0,Turnover by M. Hezonja (bad pass; steal by J. Tatum),,66,79
3,7:59.0,,Turnover by J. Tatum (lost ball; steal by N. Vonleh),66,79
3,7:59.0,Personal take foul by M. Smart (drawn by E. Mudiay),,66,79
3,7:42.0,T. Hardaway makes 3-pt jump shot from 26 ft,,69,79
3,7:31.0,,K. Irving makes 2-pt jump shot from 16 ft,69,81
3,7:10.0,E. Mudiay makes 3-pt jump shot from 25 ft (assist by N. Vonleh),,72,81
3,6:48.0,,A. Horford makes 2-pt hook shot from 9 ft,72,83
3,6:37.0,E. Mudiay misses 2-pt jump shot from 11 ft,,72,83
3,6:35.0,Offensive rebound by E. Freedom,,72,83
3,6:31.0,T. Hardaway misses 3-pt jump shot from 26 ft,,72,83
3,6:28.0,,Defensive rebound by A. Horford,72,83
3,6:19.0,,K. Irving misses 3-pt jump shot from 25 ft,72,83
3,6:17.0,,Offensive rebound by A. Horford,72,83
3,6:03.0,,M. Morris misses 3-pt jump shot from 26 ft,72,83
3,6:00.0,,Offensive rebound by A. Horford,72,83
3,5:58.0,,M. Morris misses 3-pt jump shot from 23 ft,72,83
3,5:55.0,Defensive rebound by M. Hezonja,,72,83
3,5:51.0,Offensive foul by E. Freedom (drawn by K. Irving),,72,83
3,5:51.0,Turnover by E. Freedom (offensive foul),,72,83
3,5:51.0,K. Knox enters the game for M. Hezonja,,72,83
3,5:51.0,,G. Hayward enters the game for J. Tatum,72,83
3,5:36.0,,Offensive foul by A. Horford (drawn by E. Mudiay),72,83
3,5:36.0,,Turnover by A. Horford (offensive foul),72,83
3,5:20.0,N. Vonleh makes 2-pt dunk from 2 ft,,74,83
3,5:11.0,,Personal foul by T. Hardaway (drawn by M. Smart),74,83
3,5:06.0,,M. Smart makes 2-pt jump shot from 8 ft,74,85
3,4:54.0,E. Freedom makes 2-pt layup from 1 ft (assist by E. Mudiay),,76,85
3,4:46.0,,Shooting foul by E. Freedom (drawn by A. Horford),76,85
3,4:46.0,,A. Horford makes free throw 1 of 2,76,86
3,4:46.0,,A. Horford makes free throw 2 of 2,76,87
3,4:36.0,E. Mudiay makes 3-pt jump shot from 27 ft (assist by N. Vonleh),,79,87
3,4:22.0,,Turnover by K. Irving (discontinued dribble),79,87
3,4:10.0,E. Mudiay misses 3-pt jump shot from 25 ft,,79,87
3,4:08.0,,Defensive rebound by M. Smart,79,87
3,3:57.0,,A. Horford makes 2-pt layup from 2 ft (assist by K. Irving),79,89
3,3:49.0,T. Hardaway makes 3-pt jump shot from 28 ft (assist by E. Mudiay),,82,89
3,3:24.0,,M. Morris misses 3-pt jump shot from 26 ft,82,89
3,3:18.0,,Offensive rebound by M. Smart,82,89
3,3:18.0,,M. Smart misses 2-pt layup at rim,82,89
3,3:17.0,Defensive rebound by E. Freedom,,82,89
3,3:10.0,E. Freedom misses 2-pt jump shot from 2 ft,,82,89
3,3:08.0,,Defensive rebound by A. Horford,82,89
3,3:04.0,,K. Irving makes 3-pt jump shot from 27 ft,82,92
3,2:45.0,K. Knox misses 2-pt layup from 10 ft,,82,92
3,2:43.0,,Defensive rebound by G. Hayward,82,92
3,2:41.0,,Shooting foul by E. Mudiay (drawn by K. Irving),82,92
3,2:41.0,,Boston full timeout,82,92
3,2:41.0,A. Trier enters the game for E. Freedom,,82,92
3,2:41.0,,J. Brown enters the game for A. Horford,82,92
3,2:41.0,,T. Rozier enters the game for M. Morris,82,92
3,2:41.0,,D. Theis enters the game for M. Smart,82,92
3,2:41.0,,K. Irving misses free throw 1 of 2,82,92
3,2:41.0,,Offensive rebound by Team,82,92
3,2:41.0,,K. Irving makes free throw 2 of 2,82,93
3,2:18.0,T. Hardaway misses 3-pt jump shot from 29 ft,,82,93
3,2:14.0,,Defensive rebound by G. Hayward,82,93
3,2:09.0,,Turnover by K. Irving (bad pass; steal by T. Hardaway),82,93
3,2:05.0,T. Hardaway misses 2-pt layup from 3 ft (block by K. Irving),,82,93
3,2:02.0,Offensive rebound by K. Knox,,82,93
3,2:01.0,Turnover by K. Knox (bad pass; steal by T. Rozier),,82,93
3,2:00.0,,Shooting foul by E. Mudiay (drawn by J. Brown),82,93
3,2:00.0,,Offensive rebound by Team,82,93
3,2:00.0,,J. Brown misses free throw 1 of 2,82,93
3,2:00.0,M. Robinson enters the game for N. Vonleh,,82,93
3,2:00.0,,J. Tatum enters the game for K. Irving,82,93
3,2:00.0,,J. Brown makes free throw 2 of 2,82,94
3,1:39.0,E. Mudiay misses 2-pt jump shot from 20 ft,,82,94
3,1:39.0,,Defensive rebound by Team,82,94
3,1:39.0,D. Dotson enters the game for T. Hardaway,,82,94
3,1:39.0,C. Lee enters the game for E. Mudiay,,82,94
3,1:21.0,,G. Hayward makes 3-pt jump shot from 27 ft (assist by T. Rozier),82,97
3,1:03.0,Personal foul by J. Brown (drawn by C. Lee),,82,97
3,0:56.0,D. Dotson makes 2-pt jump shot from 16 ft,,84,97
3,0:39.0,,G. Hayward misses 3-pt jump shot from 25 ft,84,97
3,0:36.0,Defensive rebound by C. Lee,,84,97
3,0:30.0,C. Lee misses 2-pt layup from 2 ft,,84,97
3,0:27.0,,Defensive rebound by G. Hayward,84,97
3,0:25.0,,J. Tatum makes 2-pt layup from 1 ft (assist by G. Hayward),84,99
3,0:01.0,Turnover by Team (shot clock),,84,99
4,11:47.0,,J. Tatum misses 2-pt jump shot from 19 ft,84,99
4,11:44.0,Defensive rebound by A. Trier,,84,99
4,11:39.0,A. Trier misses 2-pt jump shot from 17 ft,,84,99
4,11:35.0,,Defensive rebound by G. Hayward,84,99
4,11:31.0,,Offensive foul by D. Theis (drawn by K. Knox),84,99
4,11:31.0,,Turnover by D. Theis (offensive foul),84,99
4,11:20.0,D. Dotson makes 2-pt jump shot from 22 ft (assist by C. Lee),,86,99
4,11:00.0,,Shooting foul by M. Robinson (drawn by T. Rozier),86,99
4,11:00.0,,T. Rozier makes free throw 1 of 2,86,100
4,11:00.0,,T. Rozier makes free throw 2 of 2,86,101
4,10:52.0,C. Lee misses 3-pt jump shot from 26 ft,,86,101
4,10:49.0,,Defensive rebound by J. Tatum,86,101
4,10:43.0,,J. Tatum misses 3-pt jump shot from 26 ft,86,101
4,10:40.0,Defensive rebound by D. Dotson,,86,101
4,10:36.0,Offensive foul by A. Trier (drawn by T. Rozier),,86,101
4,10:36.0,Turnover by A. Trier (offensive foul),,86,101
4,10:21.0,,T. Rozier misses 3-pt jump shot from 27 ft,86,101
4,10:18.0,Defensive rebound by K. Knox,,86,101
4,10:05.0,K. Knox makes 3-pt jump shot from 26 ft (assist by C. Lee),,89,101
4,9:46.0,,J. Brown makes 2-pt jump shot from 13 ft,89,103
4,9:23.0,Shooting foul by J. Brown (drawn by M. Robinson),,89,103
4,9:23.0,M. Robinson makes free throw 1 of 2,,90,103
4,9:23.0,M. Robinson misses free throw 2 of 2,,90,103
4,9:20.0,,Defensive rebound by J. Tatum,90,103
4,9:03.0,,T. Rozier misses 3-pt jump shot from 25 ft,90,103
4,9:01.0,,Offensive rebound by D. Theis,90,103
4,8:59.0,,Shooting foul by C. Lee (drawn by J. Brown),90,103
4,8:59.0,,J. Brown makes free throw 1 of 2,90,104
4,8:59.0,T. Hardaway enters the game for C. Lee,,90,104
4,8:59.0,E. Mudiay enters the game for A. Trier,,90,104
4,8:59.0,,J. Brown makes free throw 2 of 2,90,105
4,8:46.0,K. Knox misses 3-pt jump shot from 25 ft,,90,105
4,8:44.0,,Defensive rebound by T. Rozier,90,105
4,8:40.0,,Personal foul by E. Mudiay (drawn by T. Rozier),90,105
4,8:31.0,,D. Theis makes 2-pt jump shot from 18 ft (assist by J. Brown),90,107
4,8:22.0,Personal foul by G. Hayward (drawn by T. Hardaway),,90,107
4,8:22.0,N. Vonleh enters the game for K. Knox,,90,107
4,8:12.0,D. Dotson misses 3-pt jump shot from 26 ft,,90,107
4,8:09.0,Offensive rebound by T. Hardaway,,90,107
4,8:07.0,T. Hardaway makes 2-pt jump shot from 4 ft,,92,107
4,7:40.0,,T. Rozier misses 2-pt jump shot from 3 ft,92,107
4,7:39.0,,Offensive rebound by D. Theis,92,107
4,7:39.0,,D. Theis misses 2-pt layup at rim,92,107
4,7:37.0,Defensive rebound by N. Vonleh,,92,107
4,7:30.0,T. Hardaway makes 3-pt jump shot from 23 ft (assist by E. Mudiay),,95,107
4,7:30.0,,Boston full timeout,95,107
4,7:30.0,,M. Morris enters the game for J. Tatum,95,107
4,7:14.0,,M. Morris makes 2-pt jump shot from 12 ft,95,109
4,6:49.0,E. Mudiay misses 2-pt jump shot from 17 ft,,95,109
4,6:46.0,,Defensive rebound by D. Theis,95,109
4,6:37.0,,Turnover by J. Brown (bad pass; steal by D. Dotson),95,109
4,6:32.0,M. Robinson misses 2-pt dunk from 4 ft,,95,109
4,6:31.0,,Defensive rebound by Team,95,109
4,6:20.0,,D. Theis misses 3-pt jump shot from 25 ft,95,109
4,6:19.0,,Offensive rebound by Team,95,109
4,6:19.0,Loose ball foul by D. Dotson (drawn by J. Brown),,95,109
4,6:19.0,,A. Horford enters the game for G. Hayward,95,109
4,6:19.0,,K. Irving enters the game for D. Theis,95,109
4,6:07.0,,M. Morris misses 2-pt jump shot from 15 ft (block by M. Robinson),95,109
4,6:04.0,Defensive rebound by M. Robinson,,95,109
4,5:57.0,D. Dotson misses 3-pt jump shot from 25 ft,,95,109
4,5:53.0,,Defensive rebound by T. Rozier,95,109
4,5:30.0,,A. Horford misses 2-pt jump shot from 19 ft,95,109
4,5:27.0,Defensive rebound by N. Vonleh,,95,109
4,5:16.0,N. Vonleh misses 2-pt layup from 3 ft,,95,109
4,5:16.0,Offensive rebound by M. Robinson,,95,109
4,5:12.0,M. Robinson makes 2-pt layup from 2 ft,,97,109
4,4:58.0,,K. Irving makes 2-pt jump shot from 11 ft,97,111
