QUARTER,TIME_REMAINING,WASHINGTON_ACTION,ATLANTA_ACTION,WASHINGTON_SCORE,ATLANTA_SCORE
2,11:10.0,M. Morris misses free throw 2 of 2,,27,36
2,11:08.0,,Defensive rebound by J. Collins,27,36
2,10:51.0,,Turnover by J. Collins (lost ball; steal by M. Morris),27,36
2,10:42.0,T. Satoranský makes 2-pt layup from 1 ft,,29,36
2,10:40.0,,Atlanta full timeout,29,36
2,10:23.0,,T. Young misses 3-pt jump shot from 27 ft,29,36
2,10:17.0,,Offensive rebound by J. Collins,29,36
2,10:17.0,,J. Collins makes 2-pt dunk from 1 ft,29,38
2,9:58.0,M. Morris misses 2-pt jump shot from 13 ft,,29,38
2,9:54.0,,Defensive rebound by T. Young,29,38
2,9:53.0,,Shooting foul by T. Satoranský (drawn by J. Collins),29,38
2,9:53.0,,J. Collins makes free throw 1 of 2,29,39
2,9:53.0,,J. Collins makes free throw 2 of 2,29,40
2,9:42.0,C. Randle misses 3-pt jump shot from 23 ft,,29,40
2,9:41.0,,Defensive rebound by Team,29,40
2,9:41.0,Loose ball foul by I. Mahinmi (drawn by D. Dedmon),,29,40
2,9:41.0,J. Green enters the game for I. Mahinmi,,29,40
2,9:41.0,J. Wall enters the game for C. Randle,,29,40
2,9:25.0,,T. Young misses 2-pt jump shot from 18 ft,29,40
2,9:21.0,,Offensive rebound by K. Bazemore,29,40
2,9:19.0,,K. Bazemore misses 2-pt jump shot from 1 ft,29,40
2,9:17.0,Defensive rebound by J. Green,,29,40
2,9:02.0,S. Dekker makes 2-pt layup from 2 ft (assist by M. Morris),,31,40
2,8:47.0,,Shooting foul by M. Morris (drawn by J. Collins),31,40
2,8:47.0,,J. Collins makes free throw 1 of 2,31,41
2,8:47.0,T. Ariza enters the game for M. Morris,,31,41
2,8:47.0,,J. Collins makes free throw 2 of 2,31,42
2,8:31.0,J. Wall misses 2-pt jump shot from 18 ft,,31,42
2,8:28.0,Offensive rebound by S. Dekker,,31,42
2,8:24.0,S. Dekker misses 2-pt layup from 1 ft,,31,42
2,8:21.0,,Defensive rebound by D. Dedmon,31,42
2,8:14.0,,D. Dedmon makes 2-pt dunk from 1 ft (assist by J. Collins),31,44
2,7:59.0,Turnover by T. Satoranský (bad pass; steal by T. Young),,31,44
2,7:54.0,,Turnover by T. Young (traveling),31,44
2,7:54.0,B. Beal enters the game for T. Satoranský,,31,44
2,7:48.0,Offensive foul by J. Wall (drawn by K. Bazemore),,31,44
2,7:48.0,Turnover by J. Wall (offensive foul),,31,44
2,7:48.0,T. Satoranský enters the game for J. Wall,,31,44
2,7:48.0,,V. Carter enters the game for J. Collins,31,44
2,7:48.0,,J. Lin enters the game for T. Young,31,44
2,7:38.0,,Turnover by D. Dedmon (3 sec),31,44
2,7:22.0,Turnover by T. Satoranský (bad pass; steal by V. Carter),,31,44
2,7:17.0,,Turnover by V. Carter (bad pass; steal by S. Dekker),31,44
2,7:13.0,T. Satoranský makes 2-pt jump shot from 2 ft (assist by T. Ariza),,33,44
2,7:04.0,,Turnover by V. Carter (turnover),33,44
2,7:04.0,,Loose ball foul by V. Carter (drawn by S. Dekker),33,44
2,6:58.0,B. Beal makes 2-pt layup from 1 ft,,35,44
2,6:57.0,,Atlanta full timeout,35,44
2,6:57.0,,D. Bembry enters the game for D. Dedmon,35,44
2,6:57.0,,A. Len enters the game for K. Huerter,35,44
2,6:38.0,,D. Bembry misses 3-pt jump shot from 23 ft,35,44
2,6:34.0,Defensive rebound by B. Beal,,35,44
2,6:32.0,B. Beal makes 2-pt layup from 1 ft,,37,44
2,6:16.0,,J. Lin misses 3-pt jump shot from 25 ft,37,44
2,6:15.0,Defensive rebound by Team,,37,44
2,6:15.0,,Loose ball foul by D. Bembry (drawn by J. Green),37,44
2,6:04.0,Personal foul by K. Bazemore (drawn by B. Beal),,37,44
2,5:55.0,J. Green misses 2-pt jump shot from 15 ft (block by K. Bazemore),,37,44
2,5:54.0,,Defensive rebound by K. Bazemore,37,44
2,5:51.0,,K. Bazemore makes 2-pt dunk from 2 ft,37,46
2,5:35.0,Turnover by S. Dekker (traveling),,37,46
2,5:28.0,,V. Carter misses 2-pt layup from 9 ft,37,46
2,5:25.0,,Offensive rebound by V. Carter,37,46
2,5:22.0,,D. Bembry misses 2-pt layup from 1 ft,37,46
2,5:19.0,Defensive rebound by B. Beal,,37,46
2,5:18.0,Shooting foul by J. Lin (drawn by B. Beal),,37,46
2,5:18.0,B. Beal makes free throw 1 of 2,,38,46
2,5:18.0,B. Beal makes free throw 2 of 2,,39,46
2,5:02.0,,Shooting foul by T. Satoranský (drawn by A. Len),39,46
2,5:02.0,,A. Len makes free throw 1 of 2,39,47
2,5:02.0,I. Mahinmi enters the game for S. Dekker,,39,47
2,5:02.0,,J. Collins enters the game for V. Carter,39,47
2,5:02.0,,A. Len makes free throw 2 of 2,39,48
2,4:55.0,Offensive foul by I. Mahinmi (drawn by D. Bembry),,39,48
2,4:55.0,Turnover by I. Mahinmi (offensive foul),,39,48
2,4:55.0,,K. Huerter enters the game for K. Bazemore,39,48
2,4:55.0,,T. Young enters the game for J. Lin,39,48
2,4:42.0,,T. Young misses 3-pt jump shot from 26 ft,39,48
2,4:40.0,Defensive rebound by J. Green,,39,48
2,4:38.0,Shooting foul by T. Young (drawn by B. Beal),,39,48
2,4:38.0,B. Beal misses free throw 1 of 2,,39,48
2,4:38.0,Offensive rebound by Team,,39,48
2,4:38.0,B. Beal makes free throw 2 of 2,,40,48
2,4:21.0,,J. Collins misses 2-pt layup from 1 ft,40,48
2,4:17.0,Defensive rebound by T. Ariza,,40,48
2,4:15.0,B. Beal makes 2-pt layup from 3 ft (assist by T. Ariza),,42,48
2,4:06.0,,K. Huerter makes 2-pt jump shot from 3 ft,42,50
2,3:50.0,T. Ariza misses 2-pt jump shot from 2 ft (block by A. Len),,42,50
2,3:50.0,,Defensive rebound by D. Bembry,42,50
2,3:40.0,,Turnover by J. Collins (bad pass; steal by B. Beal),42,50
2,3:35.0,J. Green makes 3-pt jump shot from 23 ft (assist by T. Satoranský),,45,50
2,3:08.0,,Shooting foul by T. Satoranský (drawn by T. Young),45,50
2,3:08.0,,T. Young makes free throw 1 of 3,45,51
2,3:08.0,,T. Young makes free throw 2 of 3,45,52
2,3:08.0,C. Randle enters the game for T. Satoranský,,45,52
2,3:08.0,,D. Hamilton enters the game for D. Bembry,45,52
2,3:08.0,,T. Young makes free throw 3 of 3,45,53
2,2:58.0,B. Beal makes 2-pt layup from 2 ft,,47,53
2,2:50.0,,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),47,55
2,2:41.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by B. Beal),,50,55
2,2:28.0,,K. Huerter makes 3-pt jump shot from 28 ft (assist by T. Young),50,58
2,2:09.0,I. Mahinmi misses 2-pt layup from 4 ft,,50,58
2,2:06.0,,Defensive rebound by J. Collins,50,58
2,2:01.0,,J. Collins misses 3-pt jump shot from 25 ft,50,58
2,1:58.0,Defensive rebound by T. Ariza,,50,58
2,1:47.0,Shooting foul by J. Collins (drawn by B. Beal),,50,58
2,1:47.0,B. Beal makes free throw 1 of 2,,51,58
2,1:47.0,T. Bryant enters the game for I. Mahinmi,,51,58
2,1:47.0,,V. Carter enters the game for J. Collins,51,58
2,1:47.0,,D. Dedmon enters the game for A. Len,51,58
2,1:47.0,B. Beal makes free throw 2 of 2,,52,58
2,1:23.0,,Turnover by T. Young (bad pass; steal by T. Ariza),52,58
2,1:16.0,B. Beal misses 2-pt jump shot from 7 ft,,52,58
2,1:13.0,,Defensive rebound by V. Carter,52,58
2,0:59.0,,T. Young misses 3-pt jump shot from 25 ft,52,58
2,0:57.0,Defensive rebound by J. Green,,52,58
2,0:40.0,T. Ariza misses 3-pt jump shot from 23 ft,,52,58
2,0:37.0,,Defensive rebound by V. Carter,52,58
2,0:31.0,,Turnover by T. Young (lost ball; steal by C. Randle),52,58
2,0:27.0,J. Green makes 2-pt dunk from 1 ft (assist by C. Randle),,54,58
2,0:05.0,,K. Huerter misses 3-pt jump shot from 26 ft,54,58
2,0:01.0,Defensive rebound by B. Beal,,54,58
3,11:49.0,T. Ariza misses 3-pt jump shot from 25 ft,,54,58
3,11:46.0,,Defensive rebound by T. Young,54,58
3,11:27.0,,J. Collins misses 2-pt jump shot from 17 ft,54,58
3,11:27.0,Defensive rebound by B. Beal,,54,58
3,11:12.0,Shooting foul by K. Bazemore (drawn by T. Bryant),,54,58
3,11:12.0,T. Bryant makes free throw 1 of 2,,55,58
3,11:12.0,T. Bryant makes free throw 2 of 2,,56,58
3,10:55.0,,K. Huerter misses 2-pt layup from 3 ft,56,58
3,10:52.0,Defensive rebound by T. Ariza,,56,58
3,10:48.0,J. Wall misses 2-pt jump shot from 19 ft,,56,58
3,10:45.0,,Defensive rebound by K. Huerter,56,58
3,10:38.0,,K. Bazemore misses 3-pt jump shot from 26 ft,56,58
3,10:34.0,Defensive rebound by T. Bryant,,56,58
3,10:26.0,J. Wall makes 2-pt jump shot from 17 ft,,58,58
3,10:15.0,,Personal foul by T. Ariza (drawn by D. Dedmon),58,58
3,10:00.0,,K. Huerter misses 3-pt jump shot from 25 ft,58,58
3,9:56.0,Defensive rebound by J. Green,,58,58
3,9:53.0,T. Bryant makes 2-pt dunk from 1 ft (assist by J. Wall),,60,58
3,9:53.0,,Atlanta full timeout,60,58
3,9:40.0,,J. Collins misses 2-pt layup from 3 ft (block by T. Bryant),60,58
3,9:40.0,,Offensive rebound by Team,60,58
3,9:34.0,,K. Huerter misses 3-pt jump shot from 23 ft,60,58
3,9:29.0,,Offensive rebound by J. Collins,60,58
3,9:28.0,,Turnover by J. Collins (bad pass; steal by T. Ariza),60,58
3,9:24.0,J. Wall misses 3-pt jump shot from 25 ft,,60,58
3,9:22.0,Offensive rebound by Team,,60,58
3,9:22.0,,Loose ball foul by J. Collins (drawn by T. Bryant),60,58
3,9:22.0,,V. Carter enters the game for J. Collins,60,58
3,9:13.0,J. Green misses 3-pt jump shot from 23 ft,,60,58
3,9:10.0,,Defensive rebound by K. Bazemore,60,58
3,9:07.0,,T. Young makes 3-pt jump shot from 23 ft (assist by K. Bazemore),60,61
3,8:48.0,J. Wall makes 2-pt jump shot from 18 ft,,62,61
3,8:27.0,,K. Huerter misses 2-pt layup from 2 ft,62,61
3,8:27.0,,Offensive rebound by D. Dedmon,62,61
3,8:25.0,,D. Dedmon misses 2-pt layup from 1 ft,62,61
3,8:21.0,,Offensive rebound by V. Carter,62,61
3,8:21.0,,Shooting foul by T. Bryant (drawn by K. Bazemore),62,61
3,8:21.0,,K. Bazemore makes free throw 1 of 2,62,62
3,8:21.0,,D. Bembry enters the game for K. Huerter,62,62
3,8:21.0,,K. Bazemore makes free throw 2 of 2,62,63
3,8:01.0,J. Wall makes 3-pt jump shot from 26 ft (assist by J. Green),,65,63
3,7:51.0,,Personal foul by T. Bryant (drawn by T. Young),65,63
3,7:48.0,,Personal foul by B. Beal (drawn by T. Young),65,63
3,7:48.0,Technical foul by B. Beal,,65,63
3,7:48.0,,D. Dedmon makes technical free throw,65,64
3,7:39.0,,T. Young misses 2-pt jump shot from 22 ft,65,64
3,7:37.0,,Offensive rebound by D. Dedmon,65,64
3,7:35.0,,Turnover by D. Dedmon (bad pass; steal by B. Beal),65,64
3,7:33.0,B. Beal misses 2-pt layup from 1 ft (block by K. Bazemore),,65,64
3,7:33.0,Offensive rebound by Team,,65,64
3,7:33.0,,A. Len enters the game for D. Dedmon,65,64
3,7:33.0,,J. Lin enters the game for T. Young,65,64
3,7:29.0,J. Wall makes 3-pt jump shot from 24 ft (assist by T. Bryant),,68,64
3,7:17.0,,Shooting foul by J. Wall (drawn by D. Bembry),68,64
3,7:17.0,,D. Bembry makes free throw 1 of 2,68,65
3,7:17.0,T. Satoranský enters the game for J. Wall,,68,65
3,7:17.0,,D. Bembry misses free throw 2 of 2,68,65
3,7:11.0,,A. Len misses 2-pt layup at rim,68,65
3,7:11.0,Defensive rebound by T. Bryant,,68,65
3,7:11.0,,Offensive rebound by A. Len,68,65
3,7:00.0,J. Green misses 3-pt jump shot from 23 ft,,68,65
3,6:57.0,,Defensive rebound by V. Carter,68,65
3,6:51.0,,V. Carter makes 3-pt jump shot from 26 ft (assist by K. Bazemore),68,68
3,6:37.0,Personal foul by J. Lin (drawn by B. Beal),,68,68
3,6:29.0,Turnover by T. Ariza (out of bounds lost ball),,68,68
3,6:08.0,,Personal foul by T. Satoranský (drawn by K. Bazemore),68,68
3,6:08.0,,K. Bazemore makes free throw 1 of 2,68,69
3,6:08.0,C. Randle enters the game for T. Satoranský,,68,69
3,6:08.0,,K. Bazemore misses free throw 2 of 2,68,69
3,6:05.0,Defensive rebound by J. Green,,68,69
3,5:49.0,B. Beal misses 2-pt jump shot from 19 ft,,68,69
3,5:45.0,Offensive rebound by B. Beal,,68,69
3,5:44.0,B. Beal makes 2-pt jump shot from 17 ft,,70,69
3,5:24.0,,A. Len makes 2-pt dunk from 1 ft (assist by J. Lin),70,71
3,5:24.0,Washington full timeout,,70,71
3,5:24.0,,K. Huerter enters the game for K. Bazemore,70,71
3,5:11.0,Personal foul by D. Bembry (drawn by B. Beal),,70,71
3,4:57.0,T. Ariza misses 3-pt jump shot from 26 ft,,70,71
3,4:55.0,Offensive rebound by B. Beal,,70,71
3,4:45.0,Turnover by J. Green (bad pass; steal by K. Huerter),,70,71
3,4:40.0,,Personal foul by B. Beal (drawn by A. Len),70,71
3,4:40.0,,A. Len makes free throw 1 of 2,70,72
3,4:40.0,M. Morris enters the game for T. Bryant,,70,72
3,4:40.0,,A. Len makes free throw 2 of 2,70,73
3,4:23.0,Turnover by J. Green (out of bounds lost ball),,70,73
3,4:07.0,,K. Huerter misses 2-pt layup from 2 ft,70,73
3,4:05.0,Defensive rebound by T. Ariza,,70,73
3,4:01.0,B. Beal makes 2-pt layup from 1 ft,,72,73
3,3:48.0,,Turnover by V. Carter (bad pass; steal by T. Ariza),72,73
3,3:42.0,B. Beal makes 3-pt jump shot from 23 ft (assist by M. Morris),,75,73
3,3:41.0,,Atlanta full timeout,75,73
3,3:30.0,,Turnover by D. Bembry (bad pass),75,73
3,3:13.0,Turnover by B. Beal (bad pass; steal by V. Carter),,75,73
3,3:11.0,,Personal foul by M. Morris (drawn by A. Len),75,73
3,3:11.0,,A. Len misses free throw 1 of 2,75,73
3,3:11.0,,Offensive rebound by Team,75,73
3,3:11.0,,T. Young enters the game for J. Lin,75,73
3,3:11.0,,A. Len makes free throw 2 of 2,75,74
3,2:51.0,B. Beal makes 3-pt jump shot from 24 ft (assist by M. Morris),,78,74
3,2:33.0,,Personal foul by M. Morris (drawn by A. Len),78,74
3,2:33.0,,A. Len makes free throw 1 of 2,78,75
3,2:33.0,I. Mahinmi enters the game for M. Morris,,78,75
3,2:33.0,,A. Len makes free throw 2 of 2,78,76
3,2:20.0,Personal foul by V. Carter (drawn by I. Mahinmi),,78,76
3,2:20.0,I. Mahinmi misses free throw 1 of 2,,78,76
3,2:20.0,Offensive rebound by Team,,78,76
3,2:20.0,,K. Bazemore enters the game for D. Bembry,78,76
3,2:20.0,I. Mahinmi misses free throw 2 of 2,,78,76
3,2:17.0,,Defensive rebound by T. Young,78,76
3,1:58.0,,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),78,78
3,1:41.0,T. Ariza misses 2-pt layup from 3 ft,,78,78
3,1:38.0,,Defensive rebound by A. Len,78,78
3,1:33.0,,Turnover by T. Young (bad pass; steal by T. Ariza),78,78
3,1:28.0,J. Green makes 2-pt dunk from 1 ft (assist by C. Randle),,80,78
3,1:14.0,,Shooting foul by J. Green (drawn by A. Len),80,78
3,1:14.0,,A. Len makes free throw 1 of 2,80,79
3,1:14.0,Washington full timeout,,80,79
3,1:14.0,,A. Len makes free throw 2 of 2,80,80
3,1:00.0,Turnover by B. Beal (out of bounds lost ball),,80,80
3,0:48.0,,Shooting foul by I. Mahinmi (drawn by K. Huerter),80,80
3,0:48.0,,K. Huerter makes free throw 1 of 2,80,81
3,0:48.0,,K. Huerter makes free throw 2 of 2,80,82
3,0:30.0,Shooting foul by T. Young (drawn by C. Randle),,80,82
3,0:30.0,C. Randle makes free throw 1 of 2,,81,82
3,0:30.0,C. Randle makes free throw 2 of 2,,82,82
3,0:13.0,,V. Carter misses 3-pt jump shot from 23 ft,82,82
3,0:10.0,Defensive rebound by C. Randle,,82,82
3,0:03.0,B. Beal misses 3-pt jump shot from 26 ft,,82,82
3,0:00.0,I. Mahinmi misses 2-pt layup from 1 ft,,82,82
3,0:03.0,Offensive rebound by I. Mahinmi,,82,82
3,0:00.0,Offensive rebound by Team,,82,82
4,11:51.0,,Turnover by J. Lin (bad pass; steal by C. Randle),82,82
4,11:47.0,S. Dekker makes 2-pt dunk from 1 ft (assist by C. Randle),,84,82
4,11:33.0,,Personal foul by I. Mahinmi (drawn by J. Lin),84,82
4,11:24.0,,D. Bembry makes 2-pt layup at rim (assist by D. Dedmon),84,84
4,11:04.0,B. Beal makes 2-pt jump shot from 12 ft (assist by T. Ariza),,86,84
4,10:53.0,,K. Bazemore misses 2-pt layup from 2 ft,86,84
4,10:53.0,,Offensive rebound by J. Collins,86,84
4,10:49.0,,J. Collins makes 2-pt layup from 1 ft,86,86
4,10:49.0,J. Wall enters the game for C. Randle,,86,86
4,10:27.0,S. Dekker misses 2-pt layup from 1 ft (block by D. Dedmon),,86,86
4,10:23.0,,Defensive rebound by J. Lin,86,86
4,10:21.0,,K. Bazemore makes 3-pt jump shot from 22 ft (assist by D. Bembry),86,89
4,10:00.0,J. Wall misses 3-pt jump shot from 26 ft,,86,89
4,9:57.0,,Defensive rebound by D. Dedmon,86,89
4,9:57.0,T. Satoranský enters the game for B. Beal,,86,89
