QUARTER,TIME_REMAINING,BOSTON_ACTION,OKLAHOMA CITY_ACTION,BOSTON_SCORE,OKLAHOMA CITY_SCORE
1,7:17.0,,Shooting foul by J. Tatum (drawn by P. George),4,11
1,7:17.0,,P. George makes free throw 1 of 2,4,12
1,7:17.0,,P. George makes free throw 2 of 2,4,13
1,7:09.0,G. Hayward misses 3-pt jump shot from 25 ft,,4,13
1,7:05.0,,Defensive rebound by P. George,4,13
1,7:02.0,,P. George misses 2-pt jump shot from 16 ft,4,13
1,6:59.0,Defensive rebound by G. Hayward,,4,13
1,6:50.0,Personal foul by P. George (drawn by G. Hayward),,4,13
1,6:50.0,M. Morris enters the game for J. Tatum,,4,13
1,6:41.0,Turnover by J. Brown (bad pass),,4,13
1,6:41.0,,Oklahoma City full timeout,4,13
1,6:30.0,,P. George makes 2-pt jump shot from 18 ft (assist by J. Grant),4,15
1,6:09.0,K. Irving misses 3-pt jump shot from 24 ft,,4,15
1,6:06.0,Offensive rebound by J. Brown,,4,15
1,5:55.0,A. Horford makes 2-pt hook shot from 7 ft,,6,15
1,5:36.0,,J. Grant misses 2-pt layup from 1 ft,6,15
1,5:34.0,,Offensive rebound by T. Ferguson,6,15
1,5:25.0,,R. Westbrook makes 2-pt jump shot from 20 ft,6,17
1,5:25.0,,Shooting foul by M. Morris (drawn by R. Westbrook),6,17
1,5:25.0,T. Rozier enters the game for J. Brown,,6,17
1,5:25.0,M. Smart enters the game for G. Hayward,,6,17
1,5:25.0,,P. Patterson enters the game for J. Grant,6,17
1,5:25.0,,R. Westbrook misses free throw 1 of 1,6,17
1,5:25.0,Defensive rebound by Team,,6,17
1,5:03.0,M. Morris misses 2-pt jump shot from 18 ft,,6,17
1,5:00.0,,Defensive rebound by P. George,6,17
1,4:53.0,,P. George misses 2-pt layup from 2 ft,6,17
1,4:53.0,,Offensive rebound by Team,6,17
1,4:53.0,Loose ball foul by M. Morris (drawn by S. Adams),,6,17
1,4:53.0,,D. Schröder enters the game for T. Ferguson,6,17
1,4:46.0,,Shooting foul by K. Irving (drawn by R. Westbrook),6,17
1,4:46.0,,R. Westbrook makes free throw 1 of 2,6,18
1,4:46.0,,R. Westbrook makes free throw 2 of 2,6,19
1,4:34.0,K. Irving misses 2-pt layup from 1 ft,,6,19
1,4:32.0,,Defensive rebound by P. Patterson,6,19
1,4:22.0,,R. Westbrook misses 2-pt jump shot from 17 ft,6,19
1,4:18.0,Defensive rebound by A. Horford,,6,19
1,4:16.0,Offensive foul by K. Irving (drawn by D. Schröder),,6,19
1,4:16.0,Turnover by K. Irving (offensive foul),,6,19
1,4:16.0,J. Tatum enters the game for K. Irving,,6,19
1,3:59.0,,S. Adams misses 2-pt hook shot from 8 ft,6,19
1,3:56.0,Defensive rebound by J. Tatum,,6,19
1,3:43.0,A. Horford misses 2-pt layup at rim,,6,19
1,3:40.0,Offensive rebound by A. Horford,,6,19
1,3:39.0,A. Horford misses 2-pt layup from 2 ft,,6,19
1,3:39.0,Offensive rebound by A. Horford,,6,19
1,3:36.0,A. Horford makes 2-pt layup from 1 ft,,8,19
1,3:29.0,,D. Schröder misses 3-pt jump shot from 25 ft,8,19
1,3:26.0,,Offensive rebound by P. Patterson,8,19
1,3:20.0,,Turnover by P. George (out of bounds lost ball),8,19
1,3:07.0,A. Horford makes 2-pt jump shot from 12 ft (assist by M. Smart),,10,19
1,3:07.0,K. Irving enters the game for A. Horford,,10,19
1,3:07.0,D. Theis enters the game for M. Smart,,10,19
1,3:07.0,,H. Diallo enters the game for R. Westbrook,10,19
1,2:49.0,,P. Patterson misses 3-pt jump shot from 27 ft,10,19
1,2:45.0,Defensive rebound by M. Morris,,10,19
1,2:36.0,J. Tatum misses 2-pt jump shot from 21 ft,,10,19
1,2:35.0,,Defensive rebound by Team,10,19
1,2:21.0,,D. Schröder misses 3-pt jump shot from 25 ft,10,19
1,2:17.0,Defensive rebound by J. Tatum,,10,19
1,1:59.0,J. Tatum misses 3-pt jump shot from 24 ft,,10,19
1,1:57.0,,Defensive rebound by P. Patterson,10,19
1,1:55.0,,Shooting foul by M. Morris (drawn by P. George),10,19
1,1:55.0,,P. George misses free throw 1 of 2,10,19
1,1:55.0,,Offensive rebound by Team,10,19
1,1:55.0,,N. Noel enters the game for S. Adams,10,19
1,1:55.0,,P. George misses free throw 2 of 2,10,19
1,1:51.0,Defensive rebound by T. Rozier,,10,19
1,1:41.0,T. Rozier makes 2-pt jump shot from 18 ft (assist by M. Morris),,12,19
1,1:23.0,,H. Diallo misses 2-pt layup from 1 ft,12,19
1,1:22.0,Defensive rebound by M. Morris,,12,19
1,1:06.0,D. Theis makes 2-pt jump shot from 9 ft (assist by K. Irving),,14,19
1,0:44.0,,P. George misses 2-pt jump shot from 13 ft,14,19
1,0:41.0,,Offensive rebound by N. Noel,14,19
1,0:41.0,,N. Noel misses 2-pt layup from 1 ft,14,19
1,0:41.0,,Offensive rebound by Team,14,19
1,0:41.0,Loose ball foul by D. Theis (drawn by N. Noel),,14,19
1,0:41.0,,N. Noel misses free throw 1 of 2,14,19
1,0:41.0,,Offensive rebound by Team,14,19
1,0:41.0,,N. Noel makes free throw 2 of 2,14,20
1,0:36.0,T. Rozier misses 2-pt jump shot from 17 ft,,14,20
1,0:34.0,Offensive rebound by Team,,14,20
1,0:34.0,,Loose ball foul by P. Patterson (drawn by D. Theis),14,20
1,0:27.0,Turnover by K. Irving (back court),,14,20
1,0:08.0,,Turnover by D. Schröder (lost ball; steal by T. Rozier),14,20
1,0:05.0,J. Tatum makes 2-pt dunk from 1 ft (assist by T. Rozier),,16,20
1,0:00.0,,D. Schröder makes 2-pt jump shot from 20 ft,16,22
2,11:46.0,M. Morris misses 2-pt jump shot from 15 ft,,16,22
2,11:44.0,Offensive rebound by J. Tatum,,16,22
2,11:44.0,Personal foul by H. Diallo (drawn by J. Tatum),,16,22
2,11:30.0,T. Rozier misses 3-pt jump shot from 25 ft,,16,22
2,11:27.0,,Defensive rebound by N. Noel,16,22
2,11:19.0,,D. Schröder misses 2-pt layup from 2 ft,16,22
2,11:17.0,,Offensive rebound by H. Diallo,16,22
2,11:16.0,,H. Diallo misses 2-pt layup from 1 ft,16,22
2,11:16.0,,Offensive rebound by N. Noel,16,22
2,11:15.0,,N. Noel makes 2-pt layup from 2 ft,16,24
2,10:53.0,J. Tatum makes 2-pt jump shot from 17 ft,,18,24
2,10:39.0,,D. Schröder makes 2-pt jump shot from 7 ft,18,26
2,10:21.0,D. Theis misses 2-pt layup from 1 ft (block by H. Diallo),,18,26
2,10:20.0,Offensive rebound by D. Theis,,18,26
2,10:19.0,D. Theis misses 2-pt layup from 1 ft (block by H. Diallo),,18,26
2,10:19.0,,Defensive rebound by H. Diallo,18,26
2,10:14.0,,H. Diallo makes 2-pt layup from 2 ft,18,28
2,9:58.0,D. Theis makes 2-pt layup from 2 ft (assist by M. Smart),,20,28
2,9:49.0,,D. Schröder makes 2-pt layup from 1 ft,20,30
2,9:40.0,Def 3 sec tech foul by Team,,20,30
2,9:40.0,J. Tatum makes technical free throw,,21,30
2,9:38.0,Personal foul by P. Patterson (drawn by M. Morris),,21,30
2,9:28.0,M. Morris misses 2-pt jump shot from 11 ft,,21,30
2,9:26.0,Offensive rebound by Team,,21,30
2,9:26.0,,Loose ball foul by N. Noel (drawn by D. Theis),21,30
2,9:17.0,M. Smart misses 3-pt jump shot from 26 ft,,21,30
2,9:15.0,,Defensive rebound by D. Schröder,21,30
2,9:09.0,,N. Noel makes 2-pt dunk from 2 ft (assist by D. Schröder),21,32
2,8:53.0,J. Tatum makes 2-pt jump shot from 9 ft,,23,32
2,8:34.0,,D. Schröder misses 2-pt jump shot from 21 ft,23,32
2,8:32.0,Defensive rebound by M. Morris,,23,32
2,8:27.0,M. Smart misses 3-pt jump shot from 25 ft,,23,32
2,8:23.0,,Defensive rebound by D. Schröder,23,32
2,8:13.0,,H. Diallo misses 2-pt jump shot from 14 ft,23,32
2,8:13.0,,Offensive rebound by Team,23,32
2,8:13.0,G. Hayward enters the game for M. Morris,,23,32
2,8:13.0,,J. Grant enters the game for P. Patterson,23,32
2,8:13.0,,R. Westbrook enters the game for D. Schröder,23,32
2,8:07.0,,R. Westbrook makes 2-pt jump shot from 13 ft,23,34
2,7:53.0,D. Theis misses 3-pt jump shot from 25 ft,,23,34
2,7:50.0,,Defensive rebound by R. Westbrook,23,34
2,7:44.0,,Á. Abrines misses 3-pt jump shot from 23 ft,23,34
2,7:41.0,Defensive rebound by T. Rozier,,23,34
2,7:31.0,M. Smart makes 2-pt jump shot from 6 ft,,25,34
2,7:14.0,,J. Grant makes 2-pt layup from 2 ft (assist by R. Westbrook),25,36
2,7:14.0,,Shooting foul by D. Theis (drawn by J. Grant),25,36
2,7:14.0,,J. Grant makes free throw 1 of 1,25,37
2,7:00.0,J. Tatum makes 2-pt jump shot from 8 ft,,27,37
2,6:45.0,,Personal foul by M. Smart (drawn by J. Grant),27,37
2,6:45.0,,Oklahoma City full timeout,27,37
2,6:45.0,,S. Adams enters the game for N. Noel,27,37
2,6:38.0,,J. Grant misses 3-pt jump shot from 22 ft,27,37
2,6:33.0,Defensive rebound by G. Hayward,,27,37
2,6:20.0,J. Tatum misses 2-pt jump shot from 16 ft,,27,37
2,6:18.0,,Defensive rebound by R. Westbrook,27,37
2,6:14.0,,Personal foul by T. Rozier (drawn by R. Westbrook),27,37
2,6:14.0,J. Brown enters the game for T. Rozier,,27,37
2,6:14.0,A. Horford enters the game for J. Tatum,,27,37
2,6:14.0,K. Irving enters the game for D. Theis,,27,37
2,6:14.0,,P. George enters the game for H. Diallo,27,37
2,6:07.0,,R. Westbrook misses 2-pt jump shot from 18 ft,27,37
2,6:04.0,Defensive rebound by G. Hayward,,27,37
2,5:57.0,Shooting foul by Á. Abrines (drawn by K. Irving),,27,37
2,5:57.0,K. Irving misses free throw 1 of 2,,27,37
2,5:57.0,Offensive rebound by Team,,27,37
2,5:57.0,K. Irving misses free throw 2 of 2,,27,37
2,5:56.0,,Defensive rebound by R. Westbrook,27,37
2,5:47.0,,P. George makes 2-pt jump shot from 14 ft,27,39
2,5:22.0,J. Brown misses 3-pt jump shot from 25 ft,,27,39
2,5:19.0,,Defensive rebound by R. Westbrook,27,39
2,5:18.0,,Personal foul by M. Smart (drawn by R. Westbrook),27,39
2,5:18.0,,D. Schröder enters the game for Á. Abrines,27,39
2,5:11.0,,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),27,41
2,5:09.0,Boston full timeout,,27,41
2,4:59.0,A. Horford misses 3-pt jump shot from 23 ft,,27,41
2,4:56.0,,Defensive rebound by J. Grant,27,41
2,4:36.0,,Turnover by P. George (lost ball; steal by J. Brown),27,41
2,4:35.0,Personal foul by R. Westbrook (drawn by J. Brown),,27,41
2,4:35.0,J. Brown misses free throw 1 of 2,,27,41
2,4:35.0,Offensive rebound by Team,,27,41
2,4:35.0,J. Brown misses free throw 2 of 2,,27,41
2,4:34.0,,Defensive rebound by R. Westbrook,27,41
2,4:24.0,,J. Grant makes 2-pt jump shot from 11 ft (assist by R. Westbrook),27,43
2,4:03.0,J. Brown misses 2-pt jump shot from 17 ft,,27,43
2,4:00.0,,Defensive rebound by R. Westbrook,27,43
2,3:53.0,,P. George misses 3-pt jump shot from 23 ft,27,43
2,3:50.0,,Offensive rebound by S. Adams,27,43
2,3:50.0,,Turnover by S. Adams (out of bounds lost ball),27,43
2,3:40.0,K. Irving makes 2-pt layup from 2 ft,,29,43
2,3:29.0,,Turnover by R. Westbrook (bad pass),29,43
2,3:29.0,M. Morris enters the game for J. Brown,,29,43
2,3:29.0,T. Rozier enters the game for M. Smart,,29,43
2,3:09.0,Turnover by G. Hayward (bad pass; steal by D. Schröder),,29,43
2,3:09.0,,Personal foul by A. Horford (drawn by P. George),29,43
2,3:09.0,,P. George makes free throw 1 of 2,29,44
2,3:09.0,,P. George makes free throw 2 of 2,29,45
2,3:00.0,Personal foul by R. Westbrook (drawn by G. Hayward),,29,45
2,3:00.0,G. Hayward misses free throw 1 of 2,,29,45
2,3:00.0,Offensive rebound by Team,,29,45
2,3:00.0,,H. Diallo enters the game for R. Westbrook,29,45
2,3:00.0,G. Hayward makes free throw 2 of 2,,30,45
2,2:50.0,,P. George misses 2-pt jump shot from 8 ft,30,45
2,2:46.0,,Offensive rebound by P. George,30,45
2,2:40.0,,P. George misses 2-pt jump shot from 11 ft,30,45
2,2:38.0,,Offensive rebound by Team,30,45
2,2:38.0,J. Tatum enters the game for G. Hayward,,30,45
2,2:38.0,,Oklahoma City full timeout,30,45
2,2:27.0,,Turnover by P. George (bad pass),30,45
2,2:16.0,J. Tatum misses 2-pt layup from 2 ft (block by H. Diallo),,30,45
2,2:16.0,,Defensive rebound by Team,30,45
2,2:16.0,Violation by Team (delay of game),,30,45
2,2:03.0,,Shooting foul by A. Horford (drawn by S. Adams),30,45
2,2:03.0,,S. Adams misses free throw 1 of 2,30,45
2,2:03.0,,Offensive rebound by Team,30,45
2,2:03.0,,S. Adams misses free throw 2 of 2,30,45
2,2:03.0,Defensive rebound by M. Morris,,30,45
2,1:49.0,Turnover by M. Morris (lost ball; steal by J. Grant),,30,45
2,1:47.0,,Turnover by J. Grant (out of bounds lost ball),30,45
2,1:37.0,Shooting foul by P. George (drawn by J. Tatum),,30,45
2,1:37.0,J. Tatum makes free throw 1 of 2,,31,45
2,1:37.0,J. Tatum makes free throw 2 of 2,,32,45
2,1:24.0,,P. George misses 3-pt jump shot from 26 ft,32,45
2,1:19.0,,Offensive rebound by S. Adams,32,45
2,1:19.0,,S. Adams misses 2-pt layup from 1 ft,32,45
2,1:19.0,,Offensive rebound by H. Diallo,32,45
2,1:17.0,,H. Diallo misses 2-pt layup from 1 ft (block by A. Horford),32,45
2,1:17.0,Defensive rebound by Team,,32,45
2,1:04.0,J. Tatum misses 2-pt jump shot from 14 ft,,32,45
2,1:01.0,,Defensive rebound by H. Diallo,32,45
2,0:53.0,,D. Schröder makes 3-pt jump shot from 24 ft (assist by P. George),32,48
2,0:41.0,Personal foul by P. George (drawn by M. Morris),,32,48
2,0:41.0,M. Morris makes free throw 1 of 2,,33,48
2,0:41.0,M. Smart enters the game for K. Irving,,33,48
2,0:41.0,,T. Ferguson enters the game for P. George,33,48
2,0:41.0,M. Morris makes free throw 2 of 2,,34,48
2,0:31.0,,T. Ferguson makes 2-pt layup from 1 ft (assist by D. Schröder),34,50
2,0:17.0,M. Morris misses 2-pt jump shot from 19 ft,,34,50
2,0:13.0,,Defensive rebound by D. Schröder,34,50
2,0:02.0,,D. Schröder misses 2-pt layup from 2 ft,34,50
2,0:02.0,Defensive rebound by M. Morris,,34,50
3,11:47.0,G. Hayward makes 3-pt jump shot from 23 ft (assist by J. Tatum),,37,50
3,11:25.0,,Shooting foul by J. Tatum (drawn by S. Adams),37,50
3,11:25.0,,S. Adams makes free throw 1 of 2,37,51
3,11:25.0,,S. Adams misses free throw 2 of 2,37,51
3,11:23.0,Defensive rebound by A. Horford,,37,51
3,11:07.0,J. Tatum makes 2-pt dunk from 1 ft,,39,51
3,10:56.0,,Personal foul by G. Hayward (drawn by J. Grant),39,51
3,10:53.0,,Turnover by T. Ferguson (lost ball; steal by A. Horford),39,51
3,10:38.0,J. Brown misses 3-pt jump shot from 25 ft,,39,51
3,10:35.0,,Defensive rebound by P. George,39,51
3,10:14.0,,R. Westbrook misses 2-pt jump shot from 16 ft,39,51
3,10:11.0,Defensive rebound by G. Hayward,,39,51
3,9:56.0,A. Horford misses 2-pt jump shot from 2 ft,,39,51
3,9:54.0,,Defensive rebound by J. Grant,39,51
3,9:50.0,,Shooting foul by G. Hayward (drawn by R. Westbrook),39,51
3,9:50.0,,R. Westbrook misses free throw 1 of 2,39,51
3,9:50.0,,Offensive rebound by Team,39,51
3,9:50.0,,R. Westbrook makes free throw 2 of 2,39,52
3,9:38.0,K. Irving misses 3-pt jump shot from 25 ft,,39,52
3,9:36.0,,Defensive rebound by R. Westbrook,39,52
3,9:25.0,,S. Adams makes 2-pt hook shot from 3 ft,39,54
3,9:14.0,K. Irving makes 3-pt jump shot from 25 ft (assist by A. Horford),,42,54
3,9:13.0,,Oklahoma City full timeout,42,54
3,8:58.0,,R. Westbrook makes 2-pt jump shot from 20 ft,42,56
3,8:45.0,J. Brown makes 2-pt jump shot from 20 ft (assist by K. Irving),,44,56
3,8:24.0,,P. George makes 2-pt jump shot from 19 ft,44,58
3,8:15.0,K. Irving makes 3-pt jump shot from 25 ft,,47,58
3,8:04.0,,Offensive foul by R. Westbrook (drawn by K. Irving),47,58
3,8:04.0,,Turnover by R. Westbrook (offensive foul),47,58
3,7:50.0,Offensive foul by G. Hayward (drawn by P. George),,47,58
3,7:50.0,Turnover by G. Hayward (offensive foul),,47,58
3,7:42.0,,Personal foul by J. Brown (drawn by P. George),47,58
3,7:34.0,,J. Grant makes 3-pt jump shot from 23 ft (assist by S. Adams),47,61
3,7:21.0,A. Horford makes 2-pt layup from 1 ft (assist by J. Brown),,49,61
3,7:13.0,,R. Westbrook misses 2-pt jump shot from 15 ft,49,61
3,7:09.0,Defensive rebound by G. Hayward,,49,61
3,7:01.0,Personal foul by T. Ferguson (drawn by J. Tatum),,49,61
3,6:46.0,A. Horford misses 2-pt layup from 2 ft,,49,61
3,6:46.0,Offensive rebound by Team,,49,61
3,6:46.0,Turnover by Team (shot clock),,49,61
3,6:33.0,,P. George makes 2-pt jump shot from 20 ft,49,63
3,6:25.0,J. Tatum makes 3-pt jump shot from 26 ft (assist by K. Irving),,52,63
3,6:09.0,,R. Westbrook misses 3-pt jump shot from 25 ft,52,63
3,6:09.0,Defensive rebound by G. Hayward,,52,63
3,6:00.0,J. Tatum misses 3-pt jump shot from 25 ft,,52,63
3,5:57.0,Offensive rebound by J. Brown,,52,63
3,5:57.0,Shooting foul by J. Grant (drawn by J. Brown),,52,63
3,5:57.0,J. Brown makes free throw 1 of 2,,53,63
3,5:57.0,M. Morris enters the game for G. Hayward,,53,63
3,5:57.0,M. Smart enters the game for J. Tatum,,53,63
3,5:57.0,,D. Schröder enters the game for T. Ferguson,53,63
3,5:57.0,J. Brown makes free throw 2 of 2,,54,63
3,5:42.0,,R. Westbrook misses 3-pt jump shot from 25 ft,54,63
3,5:38.0,Defensive rebound by Team,,54,63
3,5:31.0,Shooting foul by D. Schröder (drawn by K. Irving),,54,63
3,5:31.0,K. Irving makes free throw 1 of 2,,55,63
3,5:31.0,K. Irving misses free throw 2 of 2,,55,63
3,5:30.0,,Defensive rebound by R. Westbrook,55,63
3,5:25.0,,P. George makes 3-pt jump shot from 23 ft (assist by R. Westbrook),55,66
3,5:04.0,J. Brown misses 2-pt layup from 1 ft,,55,66
3,5:02.0,Offensive rebound by A. Horford,,55,66
3,5:01.0,A. Horford misses 2-pt layup from 2 ft,,55,66
3,5:00.0,,Defensive rebound by R. Westbrook,55,66
3,4:54.0,,R. Westbrook makes 2-pt jump shot from 15 ft (assist by D. Schröder),55,68
3,4:41.0,A. Horford makes 3-pt jump shot from 24 ft (assist by K. Irving),,58,68
3,4:34.0,,S. Adams misses 2-pt layup from 5 ft,58,68
3,4:34.0,Defensive rebound by Team,,58,68
3,4:26.0,A. Horford makes 3-pt jump shot from 26 ft (assist by M. Smart),,61,68
3,4:10.0,,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),61,70
3,4:00.0,A. Horford makes 3-pt jump shot from 26 ft (assist by J. Brown),,64,70
3,3:41.0,,P. George misses 3-pt jump shot from 23 ft,64,70
3,3:38.0,Defensive rebound by A. Horford,,64,70
3,3:37.0,Boston full timeout,,64,70
3,3:37.0,T. Rozier enters the game for J. Brown,,64,70
3,3:37.0,J. Tatum enters the game for K. Irving,,64,70
3,3:37.0,,N. Noel enters the game for S. Adams,64,70
3,3:28.0,Offensive foul by A. Horford (drawn by N. Noel),,64,70
3,3:28.0,Turnover by A. Horford (offensive foul),,64,70
3,3:28.0,S. Ojeleye enters the game for A. Horford,,64,70
3,3:16.0,,P. George misses 3-pt jump shot from 23 ft,64,70
3,3:12.0,Defensive rebound by M. Morris,,64,70
3,3:08.0,M. Morris makes 3-pt jump shot from 25 ft (assist by T. Rozier),,67,70
3,2:46.0,,R. Westbrook makes 2-pt layup at rim,67,72
3,2:35.0,M. Smart misses 3-pt jump shot from 26 ft,,67,72
3,2:33.0,,Defensive rebound by P. George,67,72
3,2:27.0,,R. Westbrook misses 2-pt jump shot from 15 ft,67,72
3,2:23.0,Defensive rebound by M. Morris,,67,72
3,2:17.0,M. Morris makes 3-pt jump shot from 25 ft (assist by T. Rozier),,70,72
3,2:15.0,,Oklahoma City full timeout,70,72
3,2:15.0,,H. Diallo enters the game for J. Grant,70,72
3,2:15.0,,P. Patterson enters the game for R. Westbrook,70,72
3,2:03.0,,Turnover by H. Diallo (bad pass; steal by T. Rozier),70,72
3,2:00.0,T. Rozier makes 2-pt layup from 2 ft,,72,72
3,1:47.0,,Turnover by P. Patterson (bad pass; steal by T. Rozier),72,72
3,1:40.0,S. Ojeleye misses 3-pt jump shot from 22 ft,,72,72
3,1:36.0,Offensive rebound by S. Ojeleye,,72,72
3,1:31.0,Offensive foul by M. Morris (drawn by H. Diallo),,72,72
3,1:31.0,Turnover by M. Morris (offensive foul),,72,72
3,1:22.0,,P. George misses 2-pt jump shot from 16 ft,72,72
3,1:19.0,Defensive rebound by J. Tatum,,72,72
3,1:04.0,J. Tatum misses 2-pt jump shot from 20 ft,,72,72
3,1:02.0,,Defensive rebound by N. Noel,72,72
3,0:50.0,,Shooting foul by S. Ojeleye (drawn by D. Schröder),72,72
3,0:50.0,,D. Schröder misses free throw 1 of 2,72,72
3,0:50.0,,Offensive rebound by Team,72,72
3,0:50.0,K. Irving enters the game for M. Smart,,72,72
3,0:50.0,,D. Schröder makes free throw 2 of 2,72,73
3,0:37.0,M. Morris makes 2-pt layup from 2 ft,,74,73
3,0:30.0,,P. George misses 3-pt jump shot from 26 ft,74,73
3,0:28.0,Defensive rebound by J. Tatum,,74,73
3,0:09.0,Turnover by J. Tatum (lost ball; steal by H. Diallo),,74,73
3,0:04.0,,P. George misses 3-pt jump shot from 23 ft,74,73
3,0:00.0,,Offensive rebound by P. Patterson,74,73
3,0:00.0,,P. Patterson misses 2-pt layup from 2 ft,74,73
3,0:00.0,,Offensive rebound by Team,74,73
4,11:48.0,,H. Diallo makes 2-pt layup at rim (assist by D. Schröder),74,75
4,11:32.0,J. Tatum makes 2-pt layup from 1 ft (assist by K. Irving),,76,75
4,11:21.0,,Personal foul by S. Ojeleye (drawn by D. Schröder),76,75
4,11:14.0,,N. Noel makes 2-pt dunk at rim (assist by D. Schröder),76,77
4,10:57.0,J. Tatum misses 2-pt jump shot from 18 ft,,76,77
4,10:55.0,,Defensive rebound by P. Patterson,76,77
4,10:39.0,Loose ball foul by J. Tatum (drawn by N. Noel),,76,77
4,10:39.0,J. Brown enters the game for K. Irving,,76,77
4,10:39.0,G. Hayward enters the game for J. Tatum,,76,77
4,10:26.0,,Turnover by D. Schröder (lost ball; steal by T. Rozier),76,77
4,10:19.0,Personal foul by D. Schröder (drawn by M. Morris),,76,77
4,10:13.0,T. Rozier misses 3-pt jump shot from 23 ft,,76,77
4,10:08.0,,Defensive rebound by H. Diallo,76,77
4,9:50.0,,D. Schröder misses 2-pt layup from 1 ft,76,77
4,9:48.0,Defensive rebound by M. Morris,,76,77
4,9:40.0,J. Brown misses 2-pt jump shot from 11 ft,,76,77
4,9:39.0,Offensive rebound by Team,,76,77
4,9:39.0,,Loose ball foul by D. Schröder (drawn by M. Morris),76,77
4,9:32.0,Shooting foul by N. Noel (drawn by M. Morris),,76,77
4,9:32.0,M. Morris makes free throw 1 of 2,,77,77
4,9:32.0,M. Morris makes free throw 2 of 2,,78,77
4,9:15.0,,P. Patterson makes 2-pt layup from 1 ft (assist by Á. Abrines),78,79
4,9:02.0,Personal foul by D. Schröder (drawn by G. Hayward),,78,79
4,8:52.0,M. Morris makes 3-pt jump shot from 26 ft (assist by T. Rozier),,81,79
4,8:35.0,,P. Patterson makes 3-pt jump shot from 24 ft (assist by D. Schröder),81,82
4,8:25.0,J. Brown misses 2-pt layup from 2 ft (block by N. Noel),,81,82
4,8:22.0,Offensive rebound by J. Brown,,81,82
4,8:20.0,Shooting foul by P. Patterson (drawn by G. Hayward),,81,82
4,8:20.0,G. Hayward misses free throw 1 of 2,,81,82
4,8:20.0,Offensive rebound by Team,,81,82
4,8:20.0,,R. Westbrook enters the game for D. Schröder,81,82
4,8:20.0,G. Hayward makes free throw 2 of 2,,82,82
4,7:57.0,,P. Patterson makes 2-pt jump shot from 12 ft,82,84
4,7:37.0,Personal foul by N. Noel (drawn by S. Ojeleye),,82,84
4,7:37.0,S. Ojeleye makes free throw 1 of 2,,83,84
4,7:37.0,A. Horford enters the game for M. Morris,,83,84
4,7:37.0,,S. Adams enters the game for N. Noel,83,84
4,7:37.0,S. Ojeleye misses free throw 2 of 2,,83,84
4,7:36.0,,Defensive rebound by R. Westbrook,83,84
4,7:29.0,,R. Westbrook misses 2-pt layup from 1 ft,83,84
4,7:28.0,Defensive rebound by G. Hayward,,83,84
4,7:22.0,S. Ojeleye misses 2-pt layup from 1 ft,,83,84
