QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MEMPHIS_ACTION,SAN ANTONIO_SCORE,MEMPHIS_SCORE
1,4:05.0,D. Cunningham enters the game for L. Aldridge,,15,19
1,4:05.0,P. Mills enters the game for B. Forbes,,15,19
1,4:05.0,J. Poeltl enters the game for R. Gay,,15,19
1,4:05.0,,J. Carter enters the game for J. Holiday,15,19
1,4:05.0,,C. Miles enters the game for D. Wright,15,19
1,4:05.0,,J. Valančiūnas misses free throw 2 of 2,15,19
1,4:03.0,Defensive rebound by D. Bertāns,,15,19
1,3:52.0,D. DeRozan misses 2-pt layup from 1 ft,,15,19
1,3:48.0,,Defensive rebound by J. Valančiūnas,15,19
1,3:45.0,,Shooting foul by D. Bertāns (drawn by C. Miles),15,19
1,3:45.0,,C. Miles makes free throw 1 of 2,15,20
1,3:45.0,M. Belinelli enters the game for D. Bertāns,,15,20
1,3:45.0,,C. Miles makes free throw 2 of 2,15,21
1,3:32.0,D. DeRozan misses 2-pt jump shot from 9 ft,,15,21
1,3:29.0,Offensive rebound by D. DeRozan,,15,21
1,3:22.0,M. Belinelli misses 3-pt jump shot from 26 ft,,15,21
1,3:19.0,,Defensive rebound by A. Bradley,15,21
1,3:12.0,,A. Bradley makes 2-pt jump shot from 21 ft,15,23
1,3:01.0,J. Poeltl misses 2-pt jump shot from 12 ft,,15,23
1,2:59.0,,Defensive rebound by J. Jackson,15,23
1,2:57.0,,Turnover by J. Jackson (lost ball; steal by P. Mills),15,23
1,2:53.0,P. Mills misses 2-pt layup from 1 ft,,15,23
1,2:51.0,,Defensive rebound by J. Valančiūnas,15,23
1,2:44.0,,Turnover by A. Bradley (bad pass; steal by J. Poeltl),15,23
1,2:39.0,D. DeRozan misses 2-pt layup from 2 ft (block by J. Carter),,15,23
1,2:39.0,,Defensive rebound by Team,15,23
1,2:39.0,,Memphis full timeout,15,23
1,2:39.0,B. Forbes enters the game for D. DeRozan,,15,23
1,2:39.0,,B. Caboclo enters the game for J. Jackson,15,23
1,2:39.0,,J. Noah enters the game for J. Valančiūnas,15,23
1,2:16.0,,J. Carter misses 3-pt jump shot from 30 ft,15,23
1,2:15.0,,Offensive rebound by Team,15,23
1,2:15.0,,Turnover by Team (shot clock),15,23
1,1:58.0,Turnover by D. Cunningham (lost ball; steal by J. Carter),,15,23
1,1:53.0,,A. Bradley makes 3-pt jump shot from 23 ft (assist by C. Miles),15,26
1,1:41.0,Offensive foul by B. Forbes (drawn by A. Bradley),,15,26
1,1:41.0,Turnover by B. Forbes (offensive foul),,15,26
1,1:25.0,,J. Noah makes 2-pt hook shot from 4 ft (assist by A. Bradley),15,28
1,1:14.0,Personal foul by J. Noah (drawn by P. Mills),,15,28
1,1:14.0,P. Mills makes free throw 1 of 2,,16,28
1,1:14.0,R. Gay enters the game for B. Forbes,,16,28
1,1:14.0,P. Mills makes free throw 2 of 2,,17,28
1,1:03.0,,A. Bradley makes 2-pt jump shot from 21 ft,17,30
1,0:51.0,P. Mills makes 3-pt jump shot from 25 ft (assist by R. Gay),,20,30
1,0:42.0,,C. Miles misses 2-pt jump shot from 12 ft,20,30
1,0:39.0,Defensive rebound by D. Cunningham,,20,30
1,0:24.0,Turnover by R. Gay (lost ball; steal by A. Bradley),,20,30
1,0:20.0,,A. Bradley makes 3-pt jump shot from 23 ft,20,33
1,0:04.0,R. Gay misses 2-pt layup from 3 ft (block by B. Caboclo),,20,33
1,0:00.0,,Defensive rebound by J. Noah,20,33
1,0:00.0,,J. Carter misses 2-pt jump shot from 14 ft,20,33
1,0:00.0,,Offensive rebound by Team,20,33
2,11:50.0,Personal foul by J. Carter (drawn by P. Mills),,20,33
2,11:35.0,D. DeRozan makes 2-pt jump shot from 12 ft,,22,33
2,11:15.0,,B. Caboclo misses 2-pt jump shot from 5 ft,22,33
2,11:10.0,,Offensive rebound by J. Noah,22,33
2,11:10.0,,J. Noah makes 2-pt layup from 1 ft,22,35
2,10:57.0,P. Mills makes 3-pt jump shot from 28 ft (assist by D. DeRozan),,25,35
2,10:43.0,,C. Miles makes 3-pt jump shot from 25 ft (assist by J. Noah),25,38
2,10:31.0,P. Mills makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,28,38
2,10:14.0,,B. Caboclo misses 3-pt jump shot from 25 ft,28,38
2,10:11.0,Defensive rebound by L. Aldridge,,28,38
2,10:05.0,M. Belinelli makes 3-pt jump shot from 23 ft (assist by P. Mills),,31,38
2,10:04.0,,Memphis full timeout,31,38
2,9:50.0,,C. Miles misses 3-pt jump shot from 26 ft,31,38
2,9:48.0,Defensive rebound by R. Gay,,31,38
2,9:42.0,D. DeRozan makes 2-pt layup at rim,,33,38
2,9:24.0,,J. Noah makes 2-pt dunk from 1 ft (assist by D. Wright),33,40
2,9:13.0,P. Mills misses 3-pt jump shot from 25 ft,,33,40
2,9:09.0,,Defensive rebound by D. Wright,33,40
2,9:03.0,,D. Wright makes 2-pt layup from 1 ft,33,42
2,8:45.0,M. Belinelli makes 2-pt layup from 1 ft (assist by D. DeRozan),,35,42
2,8:39.0,,Offensive foul by C. Miles (drawn by L. Aldridge),35,42
2,8:39.0,,Turnover by C. Miles (offensive foul),35,42
2,8:39.0,B. Forbes enters the game for P. Mills,,35,42
2,8:39.0,,J. Holiday enters the game for J. Carter,35,42
2,8:25.0,L. Aldridge misses 2-pt dunk from 2 ft (block by B. Caboclo),,35,42
2,8:21.0,,Defensive rebound by C. Miles,35,42
2,8:19.0,,Personal foul by R. Gay (drawn by B. Caboclo),35,42
2,8:15.0,,Personal foul by D. DeRozan (drawn by B. Caboclo),35,42
2,8:02.0,,C. Miles makes 2-pt layup at rim (assist by D. Wright),35,44
2,7:44.0,D. DeRozan misses 2-pt layup from 2 ft (block by B. Caboclo),,35,44
2,7:39.0,,Defensive rebound by C. Miles,35,44
2,7:37.0,,B. Caboclo misses 2-pt layup from 1 ft,35,44
2,7:34.0,Defensive rebound by L. Aldridge,,35,44
2,7:26.0,L. Aldridge misses 2-pt jump shot from 19 ft,,35,44
2,7:23.0,,Defensive rebound by C. Miles,35,44
2,7:17.0,,D. Wright misses 3-pt jump shot from 25 ft,35,44
2,7:14.0,Defensive rebound by M. Belinelli,,35,44
2,6:55.0,M. Belinelli makes 2-pt jump shot from 14 ft (assist by B. Forbes),,37,44
2,6:44.0,,J. Holiday makes 2-pt layup from 1 ft (assist by J. Noah),37,46
2,6:44.0,San Antonio full timeout,,37,46
2,6:44.0,D. Bertāns enters the game for M. Belinelli,,37,46
2,6:44.0,,A. Bradley enters the game for C. Miles,37,46
2,6:30.0,D. Bertāns makes 2-pt jump shot from 13 ft (assist by D. DeRozan),,39,46
2,6:08.0,,J. Noah misses 2-pt hook shot from 5 ft,39,46
2,6:04.0,Defensive rebound by L. Aldridge,,39,46
2,5:58.0,Shooting foul by J. Holiday (drawn by R. Gay),,39,46
2,5:58.0,R. Gay makes free throw 1 of 2,,40,46
2,5:58.0,,J. Jackson enters the game for B. Caboclo,40,46
2,5:58.0,R. Gay makes free throw 2 of 2,,41,46
2,5:45.0,,Offensive foul by J. Jackson (drawn by R. Gay),41,46
2,5:45.0,,Turnover by J. Jackson (offensive foul),41,46
2,5:33.0,Personal foul by J. Noah (drawn by L. Aldridge),,41,46
2,5:29.0,B. Forbes misses 2-pt jump shot from 22 ft,,41,46
2,5:27.0,Offensive rebound by L. Aldridge,,41,46
2,5:20.0,L. Aldridge misses 2-pt jump shot from 13 ft,,41,46
2,5:15.0,,Defensive rebound by D. Wright,41,46
2,5:09.0,,A. Bradley misses 2-pt jump shot from 18 ft,41,46
2,5:06.0,Defensive rebound by R. Gay,,41,46
2,5:02.0,D. Bertāns makes 3-pt jump shot from 26 ft (assist by R. Gay),,44,46
2,4:46.0,,J. Holiday misses 3-pt jump shot from 26 ft (block by D. Bertāns),44,46
2,4:43.0,Defensive rebound by L. Aldridge,,44,46
2,4:43.0,,J. Valančiūnas enters the game for J. Noah,44,46
2,4:24.0,R. Gay makes 3-pt jump shot from 26 ft (assist by L. Aldridge),,47,46
2,4:09.0,,Turnover by J. Holiday (bad pass; steal by B. Forbes),47,46
2,4:03.0,B. Forbes makes 2-pt jump shot from 23 ft,,49,46
2,3:55.0,,Memphis full timeout,49,46
2,3:55.0,,Technical foul by J. Noah,49,46
2,3:55.0,M. Belinelli enters the game for D. DeRozan,,49,46
2,3:55.0,P. Mills enters the game for R. Gay,,49,46
2,3:55.0,B. Forbes makes technical free throw,,50,46
2,3:46.0,,Personal foul by D. Bertāns (drawn by J. Jackson),50,46
2,3:46.0,,Offensive foul by J. Jackson (drawn by D. Bertāns),50,46
2,3:46.0,,Turnover by J. Jackson (offensive foul),50,46
2,3:46.0,,I. Rabb enters the game for J. Jackson,50,46
2,3:31.0,P. Mills makes 2-pt jump shot from 9 ft (assist by L. Aldridge),,52,46
2,3:21.0,,J. Holiday makes 3-pt jump shot from 22 ft (assist by D. Wright),52,49
2,3:06.0,D. Bertāns makes 3-pt jump shot from 27 ft (assist by M. Belinelli),,55,49
2,2:53.0,,Shooting foul by L. Aldridge (drawn by J. Valančiūnas),55,49
2,2:53.0,,J. Valančiūnas makes free throw 1 of 2,55,50
2,2:53.0,,J. Valančiūnas makes free throw 2 of 2,55,51
2,2:38.0,L. Aldridge makes 2-pt jump shot from 11 ft (assist by P. Mills),,57,51
2,2:25.0,,J. Holiday makes 2-pt jump shot from 9 ft,57,53
2,2:16.0,B. Forbes misses 2-pt jump shot from 16 ft,,57,53
2,2:13.0,,Defensive rebound by D. Wright,57,53
2,2:13.0,D. DeRozan enters the game for L. Aldridge,,57,53
2,2:13.0,J. Poeltl enters the game for B. Forbes,,57,53
2,2:00.0,,J. Holiday misses 2-pt hook shot from 6 ft,57,53
2,1:55.0,Defensive rebound by J. Poeltl,,57,53
2,1:44.0,J. Poeltl misses 2-pt layup from 4 ft,,57,53
2,1:41.0,,Defensive rebound by I. Rabb,57,53
2,1:34.0,,D. Wright misses 2-pt jump shot from 15 ft,57,53
2,1:32.0,,Offensive rebound by I. Rabb,57,53
2,1:26.0,,Turnover by J. Holiday (traveling),57,53
2,1:15.0,P. Mills misses 2-pt jump shot from 20 ft (block by D. Wright),,57,53
2,1:11.0,,Defensive rebound by D. Wright,57,53
2,0:59.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by J. Holiday),57,55
2,0:47.0,D. DeRozan misses 2-pt jump shot from 12 ft,,57,55
2,0:45.0,Offensive rebound by J. Poeltl,,57,55
2,0:43.0,P. Mills misses 2-pt jump shot from 10 ft,,57,55
2,0:43.0,,Defensive rebound by A. Bradley,57,55
2,0:33.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by D. Wright),57,58
2,0:19.0,D. DeRozan misses 2-pt layup from 6 ft,,57,58
2,0:16.0,,Defensive rebound by A. Bradley,57,58
2,0:00.0,,I. Rabb misses 3-pt jump shot from 23 ft,57,58
2,0:00.0,,Offensive rebound by Team,57,58
3,11:34.0,L. Aldridge misses 2-pt jump shot from 15 ft,,57,58
3,11:31.0,,Defensive rebound by A. Bradley,57,58
3,11:21.0,,J. Jackson misses 2-pt hook shot from 10 ft,57,58
3,11:19.0,Defensive rebound by D. DeRozan,,57,58
3,11:10.0,D. DeRozan misses 2-pt layup from 2 ft (block by J. Jackson),,57,58
3,11:09.0,Offensive rebound by Team,,57,58
3,10:56.0,D. DeRozan misses 2-pt jump shot from 16 ft,,57,58
3,10:53.0,,Defensive rebound by J. Jackson,57,58
3,10:31.0,,A. Bradley misses 2-pt jump shot from 15 ft,57,58
3,10:27.0,Defensive rebound by R. Gay,,57,58
3,10:23.0,D. Bertāns makes 3-pt jump shot from 23 ft (assist by R. Gay),,60,58
3,10:08.0,,Personal foul by D. Bertāns (drawn by I. Rabb),60,58
3,9:52.0,,D. Wright misses 3-pt jump shot from 25 ft,60,58
3,9:50.0,Defensive rebound by D. DeRozan,,60,58
3,9:45.0,L. Aldridge makes 2-pt hook shot from 1 ft (assist by D. DeRozan),,62,58
3,9:19.0,,J. Holiday misses 2-pt jump shot from 7 ft (block by L. Aldridge),62,58
3,9:15.0,,Offensive rebound by J. Holiday,62,58
3,9:14.0,,J. Holiday misses 2-pt jump shot from 3 ft,62,58
3,9:10.0,,Offensive rebound by I. Rabb,62,58
3,9:09.0,,A. Bradley misses 3-pt jump shot from 27 ft,62,58
3,9:06.0,Defensive rebound by B. Forbes,,62,58
3,9:05.0,Offensive foul by L. Aldridge (drawn by I. Rabb),,62,58
3,9:05.0,Turnover by L. Aldridge (offensive foul),,62,58
3,9:05.0,M. Belinelli enters the game for D. Bertāns,,62,58
3,8:55.0,,Shooting foul by L. Aldridge (drawn by J. Jackson),62,58
3,8:55.0,,J. Jackson misses free throw 1 of 2,62,58
3,8:55.0,,Offensive rebound by Team,62,58
3,8:55.0,,J. Jackson makes free throw 2 of 2,62,59
3,8:32.0,R. Gay makes 3-pt jump shot from 26 ft (assist by B. Forbes),,65,59
3,8:00.0,,I. Rabb misses 2-pt jump shot from 10 ft,65,59
3,7:57.0,Defensive rebound by R. Gay,,65,59
3,7:52.0,L. Aldridge makes 2-pt hook shot from 3 ft (assist by R. Gay),,67,59
3,7:52.0,,Violation by Team (def goaltending),67,59
3,7:40.0,,A. Bradley makes 2-pt layup from 2 ft (assist by I. Rabb),67,61
3,7:24.0,Personal foul by I. Rabb (drawn by L. Aldridge),,67,61
3,7:24.0,,J. Valančiūnas enters the game for I. Rabb,67,61
3,7:17.0,B. Forbes misses 2-pt jump shot from 6 ft,,67,61
3,7:13.0,Offensive rebound by R. Gay,,67,61
3,7:09.0,R. Gay misses 2-pt jump shot from 15 ft,,67,61
3,7:06.0,Offensive rebound by L. Aldridge,,67,61
3,7:05.0,L. Aldridge misses 2-pt hook shot from 5 ft,,67,61
3,7:03.0,Offensive rebound by L. Aldridge,,67,61
3,7:03.0,Shooting foul by J. Jackson (drawn by L. Aldridge),,67,61
3,7:03.0,L. Aldridge makes free throw 1 of 2,,68,61
3,7:03.0,,B. Caboclo enters the game for J. Jackson,68,61
3,7:03.0,L. Aldridge makes free throw 2 of 2,,69,61
3,6:54.0,,Shooting foul by D. DeRozan (drawn by J. Valančiūnas),69,61
3,6:54.0,,Memphis full timeout,69,61
3,6:54.0,,J. Valančiūnas makes free throw 1 of 2,69,62
3,6:54.0,,J. Valančiūnas misses free throw 2 of 2,69,62
3,6:51.0,Defensive rebound by D. DeRozan,,69,62
3,6:36.0,L. Aldridge makes 2-pt jump shot from 13 ft (assist by R. Gay),,71,62
3,6:26.0,,Turnover by D. Wright (bad pass; steal by D. DeRozan),71,62
3,6:24.0,D. DeRozan makes 2-pt layup from 1 ft,,73,62
3,6:24.0,Shooting foul by D. Wright (drawn by D. DeRozan),,73,62
3,6:24.0,P. Mills enters the game for B. Forbes,,73,62
3,6:24.0,D. DeRozan makes free throw 1 of 1,,74,62
3,6:08.0,,J. Valančiūnas makes 2-pt jump shot from 6 ft,74,64
3,5:43.0,L. Aldridge misses 2-pt layup from 4 ft,,74,64
3,5:41.0,,Defensive rebound by B. Caboclo,74,64
3,5:37.0,,A. Bradley makes 2-pt layup from 1 ft,74,66
3,5:34.0,San Antonio full timeout,,74,66
3,5:34.0,,J. Carter enters the game for D. Wright,74,66
3,5:34.0,Turnover by (5 sec),,74,66
3,5:25.0,,B. Caboclo makes 2-pt dunk from 1 ft (assist by A. Bradley),74,68
3,5:06.0,R. Gay misses 2-pt layup from 2 ft,,74,68
3,5:03.0,,Defensive rebound by J. Valančiūnas,74,68
3,4:59.0,,A. Bradley makes 2-pt jump shot from 20 ft,74,70
3,4:45.0,M. Belinelli misses 2-pt jump shot from 19 ft,,74,70
3,4:43.0,,Defensive rebound by B. Caboclo,74,70
3,4:24.0,,B. Caboclo makes 2-pt jump shot from 20 ft (assist by J. Carter),74,72
3,4:09.0,Shooting foul by J. Valančiūnas (drawn by L. Aldridge),,74,72
3,4:09.0,L. Aldridge makes free throw 1 of 2,,75,72
3,4:09.0,D. Bertāns enters the game for R. Gay,,75,72
3,4:09.0,,C. Miles enters the game for J. Holiday,75,72
3,4:09.0,L. Aldridge misses free throw 2 of 2,,75,72
3,4:07.0,,Defensive rebound by J. Valančiūnas,75,72
3,3:58.0,,A. Bradley makes 2-pt jump shot from 20 ft,75,74
3,3:42.0,D. DeRozan makes 2-pt layup from 8 ft,,77,74
3,3:25.0,,B. Caboclo misses 2-pt hook shot from 9 ft,77,74
3,3:23.0,Defensive rebound by M. Belinelli,,77,74
3,3:20.0,P. Mills makes 3-pt jump shot from 25 ft (assist by M. Belinelli),,80,74
3,2:53.0,,C. Miles misses 2-pt jump shot from 12 ft,80,74
3,2:49.0,,Offensive rebound by J. Valančiūnas,80,74
3,2:49.0,,J. Valančiūnas makes 2-pt layup at rim,80,76
3,2:32.0,Shooting foul by J. Valančiūnas (drawn by L. Aldridge),,80,76
3,2:32.0,L. Aldridge makes free throw 1 of 2,,81,76
3,2:32.0,B. Forbes enters the game for D. DeRozan,,81,76
3,2:32.0,L. Aldridge misses free throw 2 of 2,,81,76
3,2:30.0,,Defensive rebound by C. Miles,81,76
3,2:21.0,,A. Bradley makes 2-pt jump shot from 22 ft (assist by J. Valančiūnas),81,78
3,2:03.0,P. Mills makes 3-pt jump shot from 26 ft,,84,78
3,1:49.0,,Shooting foul by L. Aldridge (drawn by J. Valančiūnas),84,78
3,1:49.0,,J. Valančiūnas misses free throw 1 of 2,84,78
3,1:49.0,,Offensive rebound by Team,84,78
3,1:49.0,J. Poeltl enters the game for L. Aldridge,,84,78
3,1:49.0,,J. Valančiūnas makes free throw 2 of 2,84,79
3,1:36.0,Personal foul by C. Miles (drawn by M. Belinelli),,84,79
3,1:36.0,M. Belinelli makes free throw 1 of 2,,85,79
3,1:36.0,M. Belinelli makes free throw 2 of 2,,86,79
3,1:25.0,,Turnover by J. Valančiūnas (out of bounds lost ball),86,79
3,1:12.0,Shooting foul by B. Caboclo (drawn by D. Bertāns),,86,79
3,1:12.0,D. Bertāns makes free throw 1 of 3,,87,79
3,1:12.0,D. Bertāns makes free throw 2 of 3,,88,79
3,1:12.0,D. Bertāns makes free throw 3 of 3,,89,79
3,0:52.0,,J. Valančiūnas makes 2-pt hook shot from 4 ft,89,81
3,0:46.0,B. Forbes makes 2-pt jump shot from 14 ft,,91,81
3,0:39.0,,A. Bradley misses 3-pt jump shot from 26 ft,91,81
3,0:34.0,,Offensive rebound by B. Caboclo,91,81
3,0:32.0,,J. Carter makes 3-pt jump shot from 23 ft (assist by B. Caboclo),91,84
3,0:15.0,P. Mills makes 3-pt jump shot from 25 ft,,94,84
3,0:02.0,,J. Carter misses 2-pt layup from 2 ft,94,84
3,0:01.0,,Offensive rebound by J. Valančiūnas,94,84
3,0:01.0,,J. Valančiūnas makes 2-pt layup at rim,94,86
4,11:40.0,,J. Carter misses 2-pt jump shot from 13 ft,94,86
4,11:38.0,Defensive rebound by B. Forbes,,94,86
4,11:28.0,D. DeRozan misses 2-pt jump shot from 21 ft,,94,86
4,11:24.0,,Defensive rebound by D. Wright,94,86
4,11:20.0,,J. Carter misses 3-pt jump shot from 23 ft,94,86
4,11:16.0,Defensive rebound by D. Bertāns,,94,86
4,11:10.0,Turnover by J. Poeltl (lost ball; steal by J. Noah),,94,86
4,11:01.0,,C. Miles misses 3-pt jump shot from 27 ft,94,86
4,10:59.0,,Offensive rebound by Team,94,86
4,10:59.0,,J. Holiday enters the game for J. Carter,94,86
4,10:52.0,,B. Caboclo misses 2-pt jump shot from 7 ft,94,86
4,10:49.0,Defensive rebound by J. Poeltl,,94,86
4,10:43.0,B. Forbes misses 2-pt jump shot from 13 ft,,94,86
4,10:41.0,Offensive rebound by J. Poeltl,,94,86
4,10:30.0,D. DeRozan makes 2-pt jump shot from 14 ft,,96,86
4,10:09.0,,J. Holiday makes 2-pt jump shot from 15 ft,96,88
4,9:44.0,P. Mills misses 3-pt jump shot from 25 ft,,96,88
4,9:43.0,,Defensive rebound by J. Holiday,96,88
4,9:32.0,,J. Noah makes 2-pt dunk at rim (assist by D. Wright),96,90
4,9:30.0,San Antonio full timeout,,96,90
4,9:30.0,M. Belinelli enters the game for D. Bertāns,,96,90
4,9:30.0,R. Gay enters the game for P. Mills,,96,90
4,9:07.0,Turnover by M. Belinelli (lost ball; steal by J. Noah),,96,90
4,9:03.0,,J. Holiday makes 2-pt dunk from 1 ft,96,92
4,8:50.0,B. Forbes misses 2-pt jump shot from 17 ft,,96,92
4,8:48.0,,Defensive rebound by B. Caboclo,96,92
4,8:37.0,,C. Miles makes 3-pt jump shot from 25 ft (assist by J. Noah),96,95
4,8:14.0,B. Forbes makes 2-pt jump shot from 22 ft,,98,95
4,7:53.0,,D. Wright misses 2-pt jump shot from 16 ft,98,95
4,7:51.0,Defensive rebound by J. Poeltl,,98,95
4,7:36.0,B. Forbes misses 2-pt layup from 2 ft,,98,95
4,7:33.0,,Defensive rebound by J. Noah,98,95
4,7:30.0,,D. Wright misses 3-pt jump shot from 25 ft,98,95
4,7:27.0,Defensive rebound by R. Gay,,98,95
4,7:10.0,Shooting foul by B. Caboclo (drawn by R. Gay),,98,95
4,7:10.0,R. Gay misses free throw 1 of 2,,98,95
4,7:10.0,Offensive rebound by Team,,98,95
4,7:10.0,L. Aldridge enters the game for B. Forbes,,98,95
4,7:10.0,P. Mills enters the game for J. Poeltl,,98,95
4,7:10.0,,A. Bradley enters the game for B. Caboclo,98,95
4,7:10.0,,J. Jackson enters the game for D. Wright,98,95
4,7:10.0,R. Gay makes free throw 2 of 2,,99,95
4,7:00.0,,C. Miles misses 3-pt jump shot from 25 ft,99,95
4,6:56.0,Defensive rebound by L. Aldridge,,99,95
4,6:46.0,R. Gay misses 3-pt jump shot from 27 ft,,99,95
4,6:42.0,Offensive rebound by P. Mills,,99,95
4,6:40.0,M. Belinelli misses 2-pt jump shot from 12 ft,,99,95
4,6:36.0,Offensive rebound by R. Gay,,99,95
4,6:36.0,R. Gay misses 2-pt layup from 1 ft,,99,95
4,6:36.0,,Defensive rebound by J. Jackson,99,95
4,6:26.0,,J. Jackson makes 3-pt jump shot from 27 ft (assist by A. Bradley),99,98
4,6:05.0,R. Gay misses 2-pt layup from 1 ft,,99,98
4,6:02.0,,Defensive rebound by J. Holiday,99,98
4,5:47.0,,A. Bradley misses 2-pt jump shot from 21 ft,99,98
4,5:45.0,Defensive rebound by L. Aldridge,,99,98
4,5:34.0,M. Belinelli misses 3-pt jump shot from 26 ft,,99,98
4,5:31.0,,Defensive rebound by J. Noah,99,98
4,5:26.0,,Memphis full timeout,99,98
4,5:12.0,,J. Jackson misses 2-pt hook shot from 2 ft,99,98
4,5:09.0,Defensive rebound by L. Aldridge,,99,98
4,5:07.0,M. Belinelli makes 2-pt layup at rim (assist by P. Mills),,101,98
4,4:50.0,,A. Bradley makes 2-pt jump shot from 22 ft (assist by J. Noah),101,100
4,4:31.0,M. Belinelli misses 3-pt jump shot from 22 ft,,101,100
4,4:28.0,,Defensive rebound by A. Bradley,101,100
4,4:21.0,,A. Bradley misses 2-pt layup from 6 ft,101,100
4,4:21.0,,Offensive rebound by Team,101,100
4,4:17.0,,J. Noah misses 2-pt layup from 8 ft (block by L. Aldridge),101,100
4,4:13.0,,Offensive rebound by J. Jackson,101,100
4,4:13.0,,J. Jackson misses 2-pt layup at rim,101,100
4,4:12.0,Defensive rebound by R. Gay,,101,100
4,4:05.0,Personal foul by J. Noah (drawn by L. Aldridge),,101,100
