QUARTER,TIME_REMAINING,TORONTO_ACTION,LA CLIPPERS_ACTION,TORONTO_SCORE,LA CLIPPERS_SCORE
2,10:22.0,J. Valančiūnas misses 2-pt hook shot from 5 ft,,36,26
2,10:20.0,,Defensive rebound by M. Scott,36,26
2,10:16.0,,Personal foul by C. Miles (drawn by M. Teodosić),36,26
2,10:10.0,,M. Harrell makes 2-pt layup from 1 ft (assist by M. Teodosić),36,28
2,9:59.0,O. Anunoby makes 2-pt layup from 2 ft,,38,28
2,9:41.0,,T. Wallace makes 2-pt layup from 2 ft (assist by M. Teodosić),38,30
2,9:30.0,C. Miles misses 3-pt jump shot from 26 ft,,38,30
2,9:27.0,,Defensive rebound by P. Beverley,38,30
2,9:09.0,,T. Wallace makes 2-pt jump shot from 8 ft,38,32
2,9:01.0,Personal foul by P. Beverley (drawn by F. VanVleet),,38,32
2,8:51.0,J. Valančiūnas makes 2-pt layup from 3 ft (assist by F. VanVleet),,40,32
2,8:35.0,,M. Teodosić makes 3-pt jump shot from 25 ft (assist by M. Harrell),40,35
2,8:21.0,J. Valančiūnas makes 2-pt jump shot from 10 ft (assist by F. VanVleet),,42,35
2,8:04.0,,M. Teodosić makes 3-pt jump shot from 24 ft (assist by P. Beverley),42,38
2,8:00.0,Personal foul by M. Teodosić (drawn by F. VanVleet),,42,38
2,8:00.0,D. Green enters the game for K. Lowry,,42,38
2,7:55.0,J. Valančiūnas makes 2-pt jump shot from 9 ft (assist by F. VanVleet),,44,38
2,7:47.0,,Personal foul by O. Anunoby (drawn by M. Teodosić),44,38
2,7:43.0,,T. Wallace makes 2-pt jump shot from 12 ft,44,40
2,7:30.0,O. Anunoby makes 2-pt layup from 4 ft,,46,40
2,7:30.0,Shooting foul by M. Harrell (drawn by O. Anunoby),,46,40
2,7:30.0,O. Anunoby misses free throw 1 of 1,,46,40
2,7:30.0,Offensive rebound by J. Valančiūnas,,46,40
2,7:26.0,J. Valančiūnas makes 2-pt layup at rim,,48,40
2,7:26.0,Technical foul by J. Valančiūnas,,48,40
2,7:26.0,,M. Teodosić misses technical free throw,48,40
2,7:26.0,,Offensive rebound by Team,48,40
2,7:13.0,,Shooting foul by C. Miles (drawn by T. Wallace),48,40
2,7:13.0,,T. Wallace makes free throw 1 of 2,48,41
2,7:13.0,S. Ibaka enters the game for C. Miles,,48,41
2,7:13.0,,T. Wallace makes free throw 2 of 2,48,42
2,7:06.0,Toronto full timeout,,48,42
2,7:06.0,,M. Gortat enters the game for M. Harrell,48,42
2,6:53.0,S. Ibaka makes 2-pt hook shot from 6 ft,,50,42
2,6:37.0,,M. Teodosić misses 3-pt jump shot from 25 ft,50,42
2,6:35.0,Defensive rebound by S. Ibaka,,50,42
2,6:20.0,J. Valančiūnas misses 2-pt jump shot from 12 ft,,50,42
2,6:18.0,,Defensive rebound by M. Scott,50,42
2,6:08.0,,M. Gortat misses 2-pt hook shot from 9 ft,50,42
2,6:06.0,Defensive rebound by J. Valančiūnas,,50,42
2,5:59.0,F. VanVleet misses 2-pt jump shot from 19 ft,,50,42
2,5:56.0,,Defensive rebound by T. Wallace,50,42
2,5:49.0,,M. Scott makes 3-pt jump shot from 25 ft,50,45
2,5:39.0,Personal foul by P. Beverley (drawn by D. Green),,50,45
2,5:39.0,D. Green makes free throw 1 of 2,,51,45
2,5:39.0,K. Lowry enters the game for J. Valančiūnas,,51,45
2,5:39.0,P. Siakam enters the game for F. VanVleet,,51,45
2,5:39.0,,D. Gallinari enters the game for M. Scott,51,45
2,5:39.0,,S. Gilgeous-Alexander enters the game for M. Teodosić,51,45
2,5:39.0,,T. Harris enters the game for T. Wallace,51,45
2,5:39.0,D. Green misses free throw 2 of 2,,51,45
2,5:37.0,,Defensive rebound by T. Harris,51,45
2,5:24.0,,M. Gortat makes 2-pt layup from 1 ft (assist by S. Gilgeous-Alexander),51,47
2,5:05.0,P. Siakam makes 3-pt jump shot from 22 ft (assist by S. Ibaka),,54,47
2,4:55.0,,Personal foul by P. Siakam (drawn by M. Gortat),54,47
2,4:55.0,,A. Bradley enters the game for P. Beverley,54,47
2,4:43.0,,Turnover by D. Gallinari (traveling),54,47
2,4:34.0,Offensive foul by P. Siakam (drawn by D. Gallinari),,54,47
2,4:34.0,Turnover by P. Siakam (offensive foul),,54,47
2,4:22.0,,D. Gallinari misses 3-pt jump shot from 23 ft,54,47
2,4:18.0,Defensive rebound by S. Ibaka,,54,47
2,4:14.0,P. Siakam makes 2-pt dunk from 2 ft (assist by K. Lowry),,56,47
2,4:01.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 10 ft,56,47
2,3:58.0,Defensive rebound by O. Anunoby,,56,47
2,3:51.0,O. Anunoby makes 3-pt jump shot from 27 ft (assist by S. Ibaka),,59,47
2,3:50.0,,LA Clippers full timeout,59,47
2,3:30.0,,A. Bradley misses 2-pt layup from 4 ft (block by S. Ibaka),59,47
2,3:28.0,,Offensive rebound by S. Gilgeous-Alexander,59,47
2,3:28.0,,Shooting foul by K. Lowry (drawn by D. Gallinari),59,47
2,3:28.0,,D. Gallinari makes free throw 1 of 2,59,48
2,3:28.0,,D. Gallinari makes free throw 2 of 2,59,49
2,3:09.0,S. Ibaka misses 2-pt jump shot from 13 ft,,59,49
2,3:05.0,,Defensive rebound by D. Gallinari,59,49
2,2:57.0,,Shooting foul by S. Ibaka (drawn by T. Harris),59,49
2,2:57.0,,T. Harris makes free throw 1 of 2,59,50
2,2:57.0,,T. Harris makes free throw 2 of 2,59,51
2,2:45.0,K. Lowry misses 3-pt jump shot from 26 ft,,59,51
2,2:42.0,,Defensive rebound by M. Gortat,59,51
2,2:33.0,,D. Gallinari misses 2-pt jump shot from 21 ft,59,51
2,2:30.0,Defensive rebound by S. Ibaka,,59,51
2,2:21.0,Turnover by K. Lowry (step out of bounds),,59,51
2,2:11.0,,Personal foul by P. Siakam (drawn by M. Gortat),59,51
2,2:11.0,,M. Gortat makes free throw 1 of 2,59,52
2,2:11.0,F. VanVleet enters the game for P. Siakam,,59,52
2,2:11.0,,M. Gortat makes free throw 2 of 2,59,53
2,1:56.0,S. Ibaka makes 2-pt jump shot from 17 ft (assist by F. VanVleet),,61,53
2,1:46.0,,Turnover by S. Gilgeous-Alexander (traveling),61,53
2,1:34.0,O. Anunoby makes 3-pt jump shot from 24 ft (assist by F. VanVleet),,64,53
2,1:22.0,,T. Harris misses 3-pt jump shot from 26 ft,64,53
2,1:18.0,,Offensive rebound by D. Gallinari,64,53
2,1:09.0,,Shooting foul by O. Anunoby (drawn by M. Gortat),64,53
2,1:09.0,,M. Gortat misses free throw 1 of 2,64,53
2,1:09.0,,Offensive rebound by Team,64,53
2,1:09.0,,M. Gortat makes free throw 2 of 2,64,54
2,0:58.0,S. Ibaka makes 2-pt jump shot from 20 ft (assist by F. VanVleet),,66,54
2,0:48.0,,D. Gallinari makes 3-pt jump shot from 24 ft (assist by S. Gilgeous-Alexander),66,57
2,0:31.0,F. VanVleet makes 2-pt jump shot from 18 ft,,68,57
2,0:09.0,,D. Gallinari misses 3-pt jump shot from 25 ft,68,57
2,0:07.0,Defensive rebound by K. Lowry,,68,57
2,0:04.0,D. Green makes 2-pt layup from 1 ft (assist by K. Lowry),,70,57
2,0:01.0,,A. Bradley misses 3-pt jump shot from 38 ft,70,57
2,0:00.0,,Offensive rebound by Team,70,57
3,11:45.0,K. Lowry makes 2-pt jump shot from 12 ft (assist by F. VanVleet),,72,57
3,11:39.0,,Personal foul by K. Lowry (drawn by S. Gilgeous-Alexander),72,57
3,11:23.0,,D. Gallinari makes 2-pt dunk from 1 ft (assist by M. Gortat),72,59
3,11:05.0,S. Ibaka misses 2-pt jump shot from 10 ft,,72,59
3,11:02.0,,Defensive rebound by T. Harris,72,59
3,11:00.0,,T. Harris misses 2-pt layup from 1 ft (block by S. Ibaka),72,59
3,11:00.0,,Offensive rebound by Team,72,59
3,10:52.0,,T. Harris misses 3-pt jump shot from 25 ft,72,59
3,10:48.0,Defensive rebound by S. Ibaka,,72,59
3,10:34.0,K. Lowry makes 2-pt layup from 2 ft,,74,59
3,10:21.0,,A. Bradley misses 3-pt jump shot from 26 ft,74,59
3,10:16.0,Defensive rebound by F. VanVleet,,74,59
3,10:10.0,S. Ibaka makes 3-pt jump shot from 23 ft (assist by P. Siakam),,77,59
3,10:09.0,,LA Clippers full timeout,77,59
3,9:54.0,,T. Harris makes 2-pt jump shot from 18 ft (assist by D. Gallinari),77,61
3,9:30.0,P. Siakam misses 2-pt jump shot from 4 ft,,77,61
3,9:27.0,Offensive rebound by S. Ibaka,,77,61
3,9:26.0,S. Ibaka makes 2-pt hook shot at rim,,79,61
3,9:03.0,,T. Harris misses 2-pt jump shot from 13 ft,79,61
3,9:01.0,Defensive rebound by F. VanVleet,,79,61
3,8:54.0,K. Lowry misses 3-pt jump shot from 25 ft,,79,61
3,8:50.0,Offensive rebound by F. VanVleet,,79,61
3,8:40.0,S. Ibaka misses 2-pt jump shot from 17 ft,,79,61
3,8:38.0,,Defensive rebound by S. Gilgeous-Alexander,79,61
3,8:18.0,,Turnover by Team (shot clock),79,61
3,8:18.0,,M. Scott enters the game for M. Gortat,79,61
3,8:04.0,S. Ibaka misses 2-pt hook shot from 7 ft,,79,61
3,7:57.0,Offensive rebound by S. Ibaka,,79,61
3,7:57.0,S. Ibaka makes 2-pt dunk from 1 ft,,81,61
3,7:45.0,,M. Scott misses 2-pt jump shot from 13 ft (block by K. Lowry),81,61
3,7:42.0,Defensive rebound by P. Siakam,,81,61
3,7:40.0,D. Green makes 2-pt layup from 1 ft (assist by P. Siakam),,83,61
3,7:40.0,,LA Clippers full timeout,83,61
3,7:40.0,,P. Beverley enters the game for S. Gilgeous-Alexander,83,61
3,7:16.0,,M. Scott misses 2-pt layup from 2 ft (block by S. Ibaka),83,61
3,7:12.0,Defensive rebound by K. Lowry,,83,61
3,7:09.0,D. Green misses 3-pt jump shot from 25 ft,,83,61
3,7:06.0,,Defensive rebound by M. Scott,83,61
3,7:02.0,,Personal foul by D. Green (drawn by D. Gallinari),83,61
3,7:02.0,,M. Harrell enters the game for A. Bradley,83,61
3,7:02.0,,M. Teodosić enters the game for T. Harris,83,61
3,7:02.0,,Violation by Team (delay of game),83,61
3,6:55.0,,D. Gallinari misses 3-pt jump shot from 25 ft,83,61
3,6:50.0,,Offensive rebound by P. Beverley,83,61
3,6:43.0,,M. Teodosić misses 3-pt jump shot from 25 ft,83,61
3,6:38.0,,Offensive rebound by M. Scott,83,61
3,6:28.0,,P. Beverley misses 2-pt layup from 4 ft (block by F. VanVleet),83,61
3,6:27.0,Defensive rebound by Team,,83,61
3,6:27.0,,Technical foul by P. Beverley,83,61
3,6:27.0,K. Lowry makes technical free throw,,84,61
3,6:12.0,S. Ibaka makes 2-pt dunk from 1 ft (assist by K. Lowry),,86,61
3,5:54.0,,Personal foul by S. Ibaka (drawn by D. Gallinari),86,61
3,5:54.0,,T. Wallace enters the game for D. Gallinari,86,61
3,5:48.0,,T. Wallace makes 2-pt jump shot from 9 ft (assist by M. Scott),86,63
3,5:27.0,S. Ibaka misses 2-pt hook shot from 8 ft,,86,63
3,5:27.0,Offensive rebound by Team,,86,63
3,5:27.0,,Loose ball foul by P. Beverley (drawn by D. Green),86,63
3,5:22.0,S. Ibaka misses 3-pt jump shot from 25 ft,,86,63
3,5:18.0,,Defensive rebound by M. Scott,86,63
3,5:08.0,,T. Wallace misses 2-pt hook shot from 3 ft,86,63
3,5:06.0,Defensive rebound by S. Ibaka,,86,63
3,4:59.0,K. Lowry misses 3-pt jump shot from 26 ft,,86,63
3,4:56.0,,Defensive rebound by Team,86,63
3,4:38.0,,Turnover by M. Teodosić (bad pass; steal by P. Siakam),86,63
3,4:30.0,S. Ibaka makes 2-pt dunk from 1 ft (assist by F. VanVleet),,88,63
3,4:15.0,,Personal foul by D. Green (drawn by M. Teodosić),88,63
3,4:15.0,D. Wright enters the game for D. Green,,88,63
3,4:09.0,,M. Harrell makes 2-pt layup at rim (assist by T. Wallace),88,65
3,3:58.0,Turnover by S. Ibaka (offensive foul),,88,65
3,3:58.0,Offensive foul by S. Ibaka (drawn by T. Wallace),,88,65
3,3:58.0,J. Valančiūnas enters the game for S. Ibaka,,88,65
3,3:58.0,,B. Marjanović enters the game for M. Scott,88,65
3,3:48.0,,Turnover by P. Beverley (bad pass; steal by J. Valančiūnas),88,65
3,3:42.0,D. Wright makes 3-pt jump shot from 22 ft (assist by K. Lowry),,91,65
3,3:28.0,,T. Wallace makes 2-pt jump shot from 6 ft (assist by P. Beverley),91,67
3,3:18.0,J. Valančiūnas misses 3-pt jump shot from 24 ft,,91,67
3,3:15.0,,Defensive rebound by B. Marjanović,91,67
3,3:08.0,,P. Beverley misses 2-pt jump shot from 10 ft,91,67
3,3:06.0,Defensive rebound by F. VanVleet,,91,67
3,3:01.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by F. VanVleet),,94,67
3,2:39.0,,M. Teodosić misses 2-pt jump shot from 5 ft,94,67
3,2:36.0,,Offensive rebound by B. Marjanović,94,67
3,2:36.0,,B. Marjanović makes 2-pt layup at rim,94,69
3,2:13.0,K. Lowry makes 3-pt jump shot from 27 ft (assist by P. Siakam),,97,69
3,1:49.0,,B. Marjanović makes 2-pt jump shot from 16 ft (assist by M. Teodosić),97,71
3,1:41.0,D. Wright makes 3-pt jump shot from 25 ft (assist by F. VanVleet),,100,71
3,1:16.0,,P. Beverley misses 3-pt jump shot from 23 ft,100,71
3,1:12.0,Defensive rebound by F. VanVleet,,100,71
3,1:09.0,D. Wright misses 3-pt jump shot from 25 ft,,100,71
3,1:04.0,Offensive rebound by F. VanVleet,,100,71
3,1:02.0,K. Lowry makes 3-pt jump shot from 23 ft (assist by P. Siakam),,103,71
3,0:49.0,,M. Teodosić misses 2-pt layup from 8 ft,103,71
3,0:48.0,,Offensive rebound by B. Marjanović,103,71
3,0:48.0,,B. Marjanović makes 2-pt layup at rim,103,73
3,0:48.0,,Shooting foul by J. Valančiūnas (drawn by B. Marjanović),103,73
3,0:48.0,O. Anunoby enters the game for P. Siakam,,103,73
3,0:48.0,,S. Thornwell enters the game for M. Teodosić,103,73
3,0:48.0,,B. Marjanović makes free throw 1 of 1,103,74
3,0:31.0,J. Valančiūnas misses 2-pt jump shot from 10 ft,,103,74
3,0:28.0,,Defensive rebound by B. Marjanović,103,74
3,0:23.0,,Turnover by T. Wallace (bad pass; steal by J. Valančiūnas),103,74
3,0:00.0,J. Valančiūnas misses 2-pt jump shot from 8 ft,,103,74
3,0:00.0,Offensive rebound by Team,,103,74
4,11:46.0,,T. Wallace misses 2-pt jump shot from 11 ft,103,74
4,11:43.0,Defensive rebound by D. Wright,,103,74
4,11:25.0,C. Miles misses 2-pt jump shot from 16 ft,,103,74
4,11:23.0,,Defensive rebound by M. Harrell,103,74
4,11:13.0,,B. Marjanović misses 2-pt jump shot from 15 ft,103,74
4,11:10.0,Defensive rebound by O. Anunoby,,103,74
4,11:07.0,O. Anunoby misses 2-pt layup from 2 ft,,103,74
4,11:05.0,,Defensive rebound by P. Beverley,103,74
4,11:00.0,,P. Beverley misses 3-pt jump shot from 25 ft,103,74
4,10:57.0,Defensive rebound by D. Wright,,103,74
4,10:34.0,O. Anunoby misses 2-pt jump shot from 15 ft (block by M. Harrell),,103,74
4,10:34.0,Offensive rebound by Team,,103,74
4,10:34.0,Turnover by Team (shot clock),,103,74
4,10:23.0,,B. Marjanović misses 2-pt jump shot from 6 ft,103,74
4,10:20.0,Defensive rebound by J. Valančiūnas,,103,74
4,10:09.0,J. Valančiūnas makes 3-pt jump shot from 25 ft (assist by L. Brown),,106,74
4,9:57.0,,S. Thornwell misses 3-pt jump shot from 24 ft,106,74
4,9:57.0,Defensive rebound by J. Valančiūnas,,106,74
4,9:49.0,D. Wright misses 2-pt layup from 1 ft,,106,74
4,9:49.0,,Defensive rebound by Team,106,74
4,9:35.0,,T. Wallace makes 2-pt jump shot from 8 ft,106,76
4,9:23.0,C. Miles misses 2-pt jump shot from 15 ft,,106,76
4,9:23.0,,Defensive rebound by B. Marjanović,106,76
4,9:07.0,,S. Thornwell makes 3-pt jump shot from 26 ft (assist by T. Wallace),106,79
4,8:49.0,O. Anunoby misses 2-pt jump shot from 6 ft,,106,79
4,8:48.0,Offensive rebound by J. Valančiūnas,,106,79
4,8:48.0,Shooting foul by T. Wallace (drawn by J. Valančiūnas),,106,79
4,8:48.0,J. Valančiūnas makes free throw 1 of 2,,107,79
4,8:48.0,J. Valančiūnas misses free throw 2 of 2,,107,79
4,8:41.0,Offensive rebound by D. Wright,,107,79
4,8:41.0,D. Wright makes 2-pt layup from 1 ft,,109,79
4,8:26.0,,M. Harrell makes 2-pt hook shot from 6 ft,109,81
4,8:16.0,Personal foul by T. Wallace (drawn by D. Wright),,109,81
4,8:02.0,L. Brown misses 2-pt jump shot from 20 ft,,109,81
4,7:59.0,,Defensive rebound by T. Wallace,109,81
4,7:50.0,,P. Beverley makes 2-pt jump shot from 10 ft,109,83
4,7:39.0,C. Miles misses 2-pt layup from 2 ft,,109,83
4,7:37.0,,Defensive rebound by S. Thornwell,109,83
4,7:32.0,,Personal foul by C. Miles (drawn by M. Harrell),109,83
4,7:24.0,,Turnover by P. Beverley (bad pass; steal by D. Wright),109,83
4,7:20.0,D. Wright makes 2-pt dunk from 1 ft,,111,83
4,7:09.0,Violation by Team (kicked ball),,111,83
4,7:09.0,G. Monroe enters the game for J. Valančiūnas,,111,83
4,7:03.0,,Turnover by T. Wallace (offensive foul),111,83
4,7:03.0,,Offensive foul by T. Wallace (drawn by D. Wright),111,83
4,6:48.0,O. Anunoby makes 2-pt dunk from 1 ft (assist by G. Monroe),,113,83
4,6:29.0,,LA Clippers full timeout,113,83
4,6:29.0,,M. Scott enters the game for P. Beverley,113,83
4,6:29.0,,M. Teodosić enters the game for M. Harrell,113,83
4,6:25.0,,T. Wallace misses 2-pt jump shot from 12 ft,113,83
4,6:22.0,Defensive rebound by G. Monroe,,113,83
4,6:07.0,C. Miles misses 2-pt layup from 2 ft (block by T. Wallace),,113,83
4,6:04.0,,Defensive rebound by T. Wallace,113,83
4,6:03.0,,S. Thornwell makes 2-pt layup from 1 ft (assist by T. Wallace),113,85
4,5:44.0,L. Brown misses 2-pt jump shot from 13 ft (block by T. Wallace),,113,85
4,5:41.0,,Defensive rebound by T. Wallace,113,85
4,5:34.0,,B. Marjanović makes 2-pt hook shot from 6 ft (assist by T. Wallace),113,87
4,5:18.0,G. Monroe misses 2-pt jump shot from 12 ft,,113,87
4,5:15.0,,Defensive rebound by M. Scott,113,87
4,5:04.0,,Turnover by M. Teodosić (bad pass; steal by D. Wright),113,87
4,4:56.0,G. Monroe misses 2-pt layup from 3 ft,,113,87
4,4:52.0,,Defensive rebound by M. Scott,113,87
4,4:47.0,,B. Marjanović makes 2-pt dunk from 2 ft (assist by S. Thornwell),113,89
4,4:24.0,O. Anunoby misses 3-pt jump shot from 25 ft,,113,89
4,4:21.0,,Defensive rebound by Team,113,89
4,4:21.0,M. Richardson enters the game for O. Anunoby,,113,89
4,4:05.0,,B. Marjanović makes 2-pt jump shot from 12 ft,113,91
4,4:05.0,,Shooting foul by G. Monroe (drawn by B. Marjanović),113,91
4,4:05.0,,B. Marjanović makes free throw 1 of 1,113,92
4,3:52.0,Personal foul by B. Marjanović (drawn by D. Wright),,113,92
4,3:40.0,D. Wright misses 3-pt jump shot from 24 ft,,113,92
4,3:37.0,,Defensive rebound by B. Marjanović,113,92
4,3:31.0,,T. Wallace misses 3-pt jump shot from 25 ft,113,92
4,3:27.0,Defensive rebound by L. Brown,,113,92
4,3:20.0,Shooting foul by B. Marjanović (drawn by G. Monroe),,113,92
4,3:20.0,G. Monroe makes free throw 1 of 2,,114,92
4,3:20.0,G. Monroe makes free throw 2 of 2,,115,92
4,3:01.0,,S. Thornwell misses 3-pt jump shot from 25 ft,115,92
