QUARTER,TIME_REMAINING,DETROIT_ACTION,INDIANA_ACTION,DETROIT_SCORE,INDIANA_SCORE
1,2:17.0,,D. McDermott enters the game for V. Oladipo,15,24
1,2:08.0,Z. Pachulia makes 2-pt jump shot from 16 ft (assist by J. Leuer),,17,24
1,1:56.0,,Personal foul by L. Galloway (drawn by D. Sabonis),17,24
1,1:56.0,,B. Bogdanović enters the game for M. Turner,17,24
1,1:48.0,,B. Bogdanović makes 2-pt layup from 2 ft,17,26
1,1:32.0,Turnover by L. Galloway (out of bounds lost ball),,17,26
1,1:21.0,,D. McDermott misses 2-pt layup from 1 ft (block by J. Calderón),17,26
1,1:20.0,,Offensive rebound by Team,17,26
1,1:19.0,,Turnover by T. Evans (bad pass; steal by S. Johnson),17,26
1,1:11.0,S. Johnson misses 2-pt layup from 2 ft,,17,26
1,1:09.0,Offensive rebound by Z. Pachulia,,17,26
1,1:09.0,Turnover by Z. Pachulia (bad pass),,17,26
1,0:58.0,,D. Sabonis makes 2-pt layup from 3 ft (assist by T. Evans),17,28
1,0:51.0,J. Calderón makes 2-pt jump shot from 16 ft,,19,28
1,0:40.0,,B. Bogdanović makes 2-pt layup from 5 ft,19,30
1,0:27.0,S. Johnson misses 3-pt jump shot from 25 ft,,19,30
1,0:25.0,,Defensive rebound by B. Bogdanović,19,30
1,0:09.0,,T. Evans makes 2-pt jump shot from 17 ft,19,32
1,0:00.0,S. Johnson makes 2-pt jump shot from 8 ft,,21,32
2,11:40.0,,Shooting foul by A. Drummond (drawn by D. Sabonis),21,32
2,11:40.0,,D. Sabonis makes free throw 1 of 2,21,33
2,11:40.0,,D. Sabonis misses free throw 2 of 2,21,33
2,11:39.0,Defensive rebound by L. Galloway,,21,33
2,11:23.0,A. Drummond makes 2-pt jump shot from 5 ft (assist by L. Galloway),,23,33
2,11:10.0,,Turnover by D. Sabonis (lost ball; steal by A. Drummond),23,33
2,11:04.0,Turnover by A. Drummond (lost ball; steal by T. Evans),,23,33
2,11:01.0,,T. Evans makes 2-pt layup from 1 ft,23,35
2,10:32.0,L. Kennard makes 2-pt jump shot from 21 ft (assist by S. Johnson),,25,35
2,10:17.0,,D. McDermott makes 3-pt jump shot from 27 ft (assist by C. Joseph),25,38
2,9:59.0,L. Galloway misses 3-pt jump shot from 28 ft,,25,38
2,9:56.0,Offensive rebound by L. Kennard,,25,38
2,9:52.0,L. Kennard makes 3-pt jump shot from 28 ft (assist by S. Johnson),,28,38
2,9:34.0,,T. Evans makes 2-pt jump shot from 18 ft,28,40
2,9:09.0,L. Galloway misses 3-pt jump shot from 23 ft,,28,40
2,9:08.0,Offensive rebound by A. Drummond,,28,40
2,9:07.0,A. Drummond makes 2-pt layup from 4 ft,,30,40
2,8:52.0,,Turnover by C. Joseph (bad pass; steal by L. Galloway),30,40
2,8:52.0,Z. Pachulia enters the game for A. Drummond,,30,40
2,8:34.0,L. Kennard misses 3-pt jump shot from 26 ft,,30,40
2,8:32.0,,Defensive rebound by D. Sabonis,30,40
2,8:25.0,,B. Bogdanović misses 3-pt jump shot from 27 ft,30,40
2,8:23.0,Defensive rebound by Z. Pachulia,,30,40
2,8:08.0,L. Galloway misses 2-pt layup from 4 ft,,30,40
2,8:07.0,,Defensive rebound by D. Sabonis,30,40
2,7:57.0,,B. Bogdanović misses 2-pt layup at rim,30,40
2,7:55.0,,Offensive rebound by T. Evans,30,40
2,7:51.0,,C. Joseph misses 3-pt jump shot from 28 ft,30,40
2,7:48.0,Defensive rebound by Z. Pachulia,,30,40
2,7:39.0,Turnover by Z. Pachulia (bad pass; steal by C. Joseph),,30,40
2,7:35.0,,D. McDermott misses 3-pt jump shot from 26 ft,30,40
2,7:32.0,,Offensive rebound by D. Sabonis,30,40
2,7:31.0,,D. Sabonis misses 2-pt layup at rim,30,40
2,7:28.0,,Offensive rebound by B. Bogdanović,30,40
2,7:28.0,,B. Bogdanović makes 2-pt layup from 1 ft,30,42
2,7:10.0,J. Calderón misses 2-pt jump shot from 14 ft,,30,42
2,7:07.0,,Defensive rebound by B. Bogdanović,30,42
2,6:53.0,,T. Evans misses 2-pt jump shot from 18 ft,30,42
2,6:51.0,Defensive rebound by S. Johnson,,30,42
2,6:46.0,S. Johnson misses 2-pt layup from 1 ft,,30,42
2,6:45.0,,Defensive rebound by D. Sabonis,30,42
2,6:39.0,,D. Sabonis makes 2-pt dunk from 1 ft,30,44
2,6:37.0,Detroit full timeout,,30,44
2,6:37.0,B. Griffin enters the game for J. Calderón,,30,44
2,6:37.0,R. Jackson enters the game for S. Johnson,,30,44
2,6:37.0,,T. Young enters the game for B. Bogdanović,30,44
2,6:20.0,L. Galloway misses 3-pt jump shot from 28 ft,,30,44
2,6:18.0,Offensive rebound by Z. Pachulia,,30,44
2,6:11.0,Z. Pachulia misses 2-pt hook shot from 5 ft,,30,44
2,6:09.0,Offensive rebound by Z. Pachulia,,30,44
2,6:03.0,B. Griffin misses 3-pt jump shot from 25 ft,,30,44
2,6:00.0,,Defensive rebound by D. Sabonis,30,44
2,5:51.0,,T. Young makes 2-pt hook shot from 6 ft,30,46
2,5:37.0,,Violation by Team (kicked ball),30,46
2,5:37.0,,V. Oladipo enters the game for D. McDermott,30,46
2,5:37.0,,M. Turner enters the game for D. Sabonis,30,46
2,5:24.0,Turnover by Z. Pachulia (offensive foul),,30,46
2,5:24.0,Offensive foul by Z. Pachulia (drawn by M. Turner),,30,46
2,5:06.0,,T. Young misses 3-pt jump shot from 27 ft,30,46
2,5:02.0,Defensive rebound by R. Jackson,,30,46
2,4:57.0,B. Griffin makes 2-pt layup from 1 ft (assist by R. Jackson),,32,46
2,4:47.0,,Personal foul by L. Kennard (drawn by T. Evans),32,46
2,4:41.0,,M. Turner makes 2-pt layup from 1 ft (assist by V. Oladipo),32,48
2,4:27.0,Personal foul by M. Turner (drawn by Z. Pachulia),,32,48
2,4:27.0,,D. Collison enters the game for T. Evans,32,48
2,4:24.0,Shooting foul by M. Turner (drawn by Z. Pachulia),,32,48
2,4:24.0,Z. Pachulia makes free throw 1 of 2,,33,48
2,4:24.0,Z. Pachulia makes free throw 2 of 2,,34,48
2,4:00.0,,D. Collison makes 2-pt jump shot from 23 ft,34,50
2,3:42.0,Turnover by B. Griffin (lost ball; steal by D. Collison),,34,50
2,3:31.0,,M. Turner misses 2-pt layup from 3 ft,34,50
2,3:28.0,Defensive rebound by L. Kennard,,34,50
2,3:18.0,L. Kennard makes 3-pt jump shot from 27 ft (assist by B. Griffin),,37,50
2,2:50.0,,T. Young makes 2-pt layup from 1 ft,37,52
2,2:29.0,Turnover by B. Griffin (bad pass),,37,52
2,2:29.0,,Indiana full timeout,37,52
2,2:13.0,,V. Oladipo misses 2-pt jump shot from 19 ft,37,52
2,2:08.0,Defensive rebound by Team,,37,52
2,1:54.0,L. Galloway misses 2-pt jump shot from 20 ft,,37,52
2,1:49.0,Offensive rebound by Z. Pachulia,,37,52
2,1:49.0,Z. Pachulia makes 2-pt layup at rim,,39,52
2,1:34.0,,M. Turner makes 2-pt jump shot from 9 ft (assist by V. Oladipo),39,54
2,1:24.0,B. Griffin makes 3-pt jump shot from 26 ft (assist by R. Jackson),,42,54
2,1:13.0,,V. Oladipo makes 2-pt layup from 2 ft,42,56
2,1:13.0,,K. O'Quinn enters the game for M. Turner,42,56
2,1:13.0,,D. Sabonis enters the game for T. Young,42,56
2,1:01.0,L. Kennard makes 2-pt layup from 1 ft (assist by R. Jackson),,44,56
2,1:01.0,Shooting foul by K. O'Quinn (drawn by L. Kennard),,44,56
2,1:01.0,R. Bullock enters the game for L. Galloway,,44,56
2,1:01.0,L. Kennard makes free throw 1 of 1,,45,56
2,0:45.0,,D. Collison makes 2-pt jump shot from 16 ft,45,58
2,0:39.0,R. Jackson misses 2-pt jump shot from 15 ft,,45,58
2,0:34.0,Offensive rebound by B. Griffin,,45,58
2,0:24.0,Turnover by R. Bullock (bad pass),,45,58
2,0:06.0,,Personal take foul by R. Bullock (drawn by V. Oladipo),45,58
2,0:06.0,B. Brown enters the game for L. Kennard,,45,58
2,0:06.0,,B. Bogdanović enters the game for K. O'Quinn,45,58
2,0:01.0,,D. Sabonis misses 2-pt jump shot from 16 ft,45,58
2,0:01.0,Defensive rebound by B. Griffin,,45,58
3,11:43.0,,M. Turner misses 3-pt jump shot from 27 ft,45,58
3,11:40.0,Defensive rebound by R. Bullock,,45,58
3,11:37.0,Personal foul by M. Turner (drawn by A. Drummond),,45,58
3,11:26.0,R. Jackson misses 2-pt jump shot from 17 ft,,45,58
3,11:22.0,Offensive rebound by A. Drummond,,45,58
3,11:22.0,A. Drummond makes 2-pt layup from 1 ft,,47,58
3,11:12.0,,M. Turner makes 2-pt dunk from 2 ft (assist by B. Bogdanović),47,60
3,10:54.0,B. Griffin misses 3-pt jump shot from 25 ft,,47,60
3,10:51.0,Offensive rebound by A. Drummond,,47,60
3,10:48.0,A. Drummond makes 2-pt dunk from 1 ft,,49,60
3,10:29.0,,T. Young misses 2-pt jump shot from 8 ft,49,60
3,10:26.0,Defensive rebound by B. Griffin,,49,60
3,10:18.0,Turnover by A. Drummond (3 sec),,49,60
3,10:09.0,,V. Oladipo misses 2-pt jump shot from 16 ft (block by B. Brown),49,60
3,10:06.0,Defensive rebound by B. Griffin,,49,60
3,10:05.0,Turnover by B. Griffin (lost ball; steal by V. Oladipo),,49,60
3,10:01.0,,B. Bogdanović misses 3-pt jump shot from 27 ft,49,60
3,9:57.0,,Offensive rebound by T. Young,49,60
3,9:46.0,,M. Turner makes 2-pt jump shot from 18 ft (assist by D. Collison),49,62
3,9:30.0,Turnover by R. Jackson (bad pass; steal by T. Young),,49,62
3,9:27.0,,D. Collison makes 2-pt dunk from 1 ft,49,64
3,9:11.0,Turnover by B. Griffin (bad pass; steal by V. Oladipo),,49,64
3,9:02.0,,D. Collison makes 3-pt jump shot from 26 ft,49,67
3,9:01.0,Detroit full timeout,,49,67
3,8:39.0,B. Brown misses 3-pt jump shot from 27 ft,,49,67
3,8:36.0,,Defensive rebound by B. Bogdanović,49,67
3,8:23.0,,T. Young makes 2-pt layup from 1 ft (assist by V. Oladipo),49,69
3,8:00.0,B. Brown misses 2-pt layup from 3 ft,,49,69
3,7:57.0,Offensive rebound by A. Drummond,,49,69
3,7:57.0,A. Drummond makes 2-pt layup from 1 ft,,51,69
3,7:53.0,,Shooting foul by B. Brown (drawn by V. Oladipo),51,69
3,7:53.0,,V. Oladipo makes free throw 1 of 2,51,70
3,7:53.0,,V. Oladipo makes free throw 2 of 2,51,71
3,7:39.0,R. Jackson makes 2-pt jump shot from 19 ft (assist by B. Griffin),,53,71
3,7:22.0,,Turnover by D. Collison (bad pass; steal by R. Bullock),53,71
3,7:19.0,R. Bullock makes 2-pt layup at rim,,55,71
3,6:53.0,,V. Oladipo misses 3-pt jump shot from 28 ft,55,71
3,6:51.0,Defensive rebound by R. Jackson,,55,71
3,6:38.0,B. Griffin misses 2-pt jump shot from 5 ft,,55,71
3,6:35.0,Offensive rebound by B. Brown,,55,71
3,6:35.0,R. Jackson misses 3-pt jump shot from 27 ft,,55,71
3,6:31.0,,Defensive rebound by B. Bogdanović,55,71
3,6:23.0,,T. Young makes 2-pt layup from 1 ft (assist by V. Oladipo),55,73
3,6:08.0,R. Bullock misses 3-pt jump shot from 25 ft,,55,73
3,6:06.0,,Defensive rebound by M. Turner,55,73
3,5:59.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by V. Oladipo),55,75
3,5:45.0,R. Jackson misses 3-pt jump shot from 28 ft,,55,75
3,5:42.0,,Defensive rebound by T. Young,55,75
3,5:34.0,,Shooting foul by R. Jackson (drawn by D. Collison),55,75
3,5:34.0,,D. Collison makes free throw 1 of 2,55,76
3,5:34.0,L. Galloway enters the game for B. Brown,,55,76
3,5:34.0,,D. Collison makes free throw 2 of 2,55,77
3,5:16.0,R. Bullock makes 3-pt jump shot from 27 ft (assist by B. Griffin),,58,77
3,5:08.0,,V. Oladipo misses 3-pt jump shot from 29 ft,58,77
3,5:06.0,Defensive rebound by B. Griffin,,58,77
3,4:55.0,R. Bullock misses 3-pt jump shot from 29 ft,,58,77
3,4:51.0,,Defensive rebound by T. Young,58,77
3,4:43.0,,V. Oladipo misses 2-pt jump shot from 20 ft,58,77
3,4:41.0,Defensive rebound by A. Drummond,,58,77
3,4:30.0,L. Galloway misses 3-pt jump shot from 23 ft,,58,77
3,4:26.0,Offensive rebound by R. Jackson,,58,77
3,4:26.0,R. Jackson misses 2-pt jump shot from 6 ft (block by M. Turner),,58,77
3,4:23.0,,Defensive rebound by V. Oladipo,58,77
3,4:22.0,,Turnover by V. Oladipo (lost ball; steal by L. Galloway),58,77
3,4:14.0,B. Griffin makes 3-pt jump shot from 28 ft (assist by R. Jackson),,61,77
3,4:12.0,,Indiana full timeout,61,77
3,4:12.0,J. Calderón enters the game for R. Jackson,,61,77
3,4:12.0,,D. Sabonis enters the game for T. Young,61,77
3,3:55.0,,D. Collison makes 2-pt jump shot from 11 ft,61,79
3,3:55.0,,Shooting foul by B. Griffin (drawn by D. Collison),61,79
3,3:55.0,,C. Joseph enters the game for B. Bogdanović,61,79
3,3:55.0,,D. Collison makes free throw 1 of 1,61,80
3,3:39.0,Shooting foul by V. Oladipo (drawn by B. Griffin),,61,80
3,3:39.0,B. Griffin makes free throw 1 of 2,,62,80
3,3:39.0,B. Griffin makes free throw 2 of 2,,63,80
3,3:27.0,,D. Collison makes 3-pt jump shot from 23 ft,63,83
3,3:13.0,B. Griffin misses 3-pt jump shot from 28 ft,,63,83
3,3:10.0,,Defensive rebound by D. Collison,63,83
3,2:57.0,,M. Turner makes 2-pt jump shot from 20 ft (assist by V. Oladipo),63,85
3,2:57.0,,Away from play foul by B. Griffin (drawn by D. Sabonis),63,85
3,2:57.0,,D. Sabonis makes free throw 1 of 1,63,86
3,2:49.0,R. Bullock makes 3-pt jump shot from 24 ft (assist by J. Calderón),,66,86
3,2:21.0,,D. Collison makes 2-pt jump shot from 18 ft,66,88
3,2:02.0,A. Drummond misses 2-pt jump shot from 9 ft,,66,88
3,2:00.0,,Defensive rebound by D. Collison,66,88
3,1:53.0,,M. Turner misses 3-pt jump shot from 27 ft,66,88
3,1:50.0,Defensive rebound by B. Griffin,,66,88
3,1:45.0,R. Bullock makes 3-pt jump shot from 27 ft (assist by B. Griffin),,69,88
3,1:44.0,,Indiana full timeout,69,88
3,1:44.0,S. Johnson enters the game for R. Bullock,,69,88
3,1:44.0,L. Kennard enters the game for B. Griffin,,69,88
3,1:44.0,,B. Bogdanović enters the game for D. Collison,69,88
3,1:44.0,,T. Evans enters the game for V. Oladipo,69,88
3,1:44.0,,D. McDermott enters the game for M. Turner,69,88
3,1:31.0,,Turnover by C. Joseph (bad pass; steal by L. Kennard),69,88
3,1:11.0,Turnover by S. Johnson (offensive foul),,69,88
3,1:11.0,Offensive foul by S. Johnson (drawn by T. Evans),,69,88
3,0:53.0,,T. Evans misses 3-pt jump shot from 26 ft,69,88
3,0:51.0,,Offensive rebound by D. Sabonis,69,88
3,0:49.0,,D. Sabonis makes 2-pt layup from 1 ft,69,90
3,0:32.0,S. Johnson misses 2-pt jump shot from 14 ft,,69,90
3,0:30.0,,Defensive rebound by D. McDermott,69,90
3,0:17.0,,Personal foul by J. Calderón (drawn by T. Evans),69,90
3,0:17.0,,T. Evans makes free throw 1 of 2,69,91
3,0:17.0,,Turnover by D. Sabonis (lane violation),69,91
3,0:05.0,Personal foul by C. Joseph (drawn by J. Calderón),,69,91
3,0:02.0,A. Drummond misses 3-pt jump shot from 26 ft,,69,91
3,0:02.0,,Defensive rebound by D. Sabonis,69,91
4,11:44.0,L. Kennard misses 3-pt jump shot from 28 ft,,69,91
4,11:41.0,,Defensive rebound by D. Sabonis,69,91
4,11:30.0,,D. McDermott makes 2-pt layup from 2 ft (assist by T. Evans),69,93
4,11:19.0,S. Johnson makes 2-pt layup from 1 ft (assist by J. Calderón),,71,93
4,11:19.0,,Violation by Team (def goaltending),71,93
4,10:56.0,,D. Sabonis misses 2-pt jump shot from 10 ft,71,93
4,10:54.0,Defensive rebound by A. Drummond,,71,93
4,10:45.0,Turnover by A. Drummond (out of bounds lost ball),,71,93
4,10:45.0,Z. Pachulia enters the game for A. Drummond,,71,93
4,10:28.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by C. Joseph),71,95
4,10:28.0,,Shooting foul by Z. Pachulia (drawn by D. Sabonis),71,95
4,10:28.0,,D. Sabonis makes free throw 1 of 1,71,96
4,10:20.0,S. Johnson misses 2-pt layup from 2 ft (block by D. Sabonis),,71,96
4,10:18.0,,Defensive rebound by D. Sabonis,71,96
4,10:14.0,,Shooting foul by J. Calderón (drawn by T. Evans),71,96
4,10:14.0,,T. Evans misses free throw 1 of 2,71,96
4,10:14.0,,Offensive rebound by Team,71,96
4,10:14.0,R. Bullock enters the game for L. Galloway,,71,96
4,10:14.0,,T. Evans makes free throw 2 of 2,71,97
4,9:50.0,S. Johnson misses 3-pt jump shot from 22 ft,,71,97
4,9:47.0,,Defensive rebound by C. Joseph,71,97
4,9:44.0,,Turnover by C. Joseph (bad pass),71,97
4,9:31.0,L. Kennard makes 2-pt layup from 2 ft (assist by Z. Pachulia),,73,97
4,9:31.0,Shooting foul by D. McDermott (drawn by L. Kennard),,73,97
4,9:31.0,B. Griffin enters the game for S. Johnson,,73,97
4,9:31.0,,T. Young enters the game for B. Bogdanović,73,97
4,9:31.0,L. Kennard makes free throw 1 of 1,,74,97
4,9:15.0,,T. Evans makes 2-pt layup from 2 ft,74,99
4,9:04.0,Personal foul by T. Young (drawn by B. Griffin),,74,99
4,8:52.0,B. Griffin misses 3-pt jump shot from 26 ft,,74,99
4,8:50.0,,Defensive rebound by Team,74,99
4,8:50.0,Loose ball foul by Z. Pachulia (drawn by D. Sabonis),,74,99
4,8:36.0,,D. McDermott makes 2-pt layup from 3 ft (assist by D. Sabonis),74,101
4,8:24.0,Personal foul by D. Sabonis (drawn by B. Griffin),,74,101
4,8:16.0,Offensive foul by B. Griffin (drawn by T. Young),,74,101
4,8:16.0,Turnover by B. Griffin (offensive foul),,74,101
4,8:16.0,R. Jackson enters the game for J. Calderón,,74,101
4,8:08.0,,Offensive foul by D. Sabonis (drawn by R. Bullock),74,101
4,8:08.0,,Turnover by D. Sabonis (offensive foul),74,101
4,7:51.0,R. Bullock misses 3-pt jump shot from 28 ft,,74,101
4,7:47.0,,Defensive rebound by D. McDermott,74,101
4,7:39.0,,D. Sabonis makes 2-pt jump shot from 18 ft (assist by T. Young),74,103
4,7:21.0,L. Kennard misses 2-pt jump shot from 16 ft,,74,103
4,7:19.0,,Defensive rebound by C. Joseph,74,103
4,7:08.0,,T. Evans misses 3-pt jump shot from 28 ft,74,103
4,7:07.0,,Offensive rebound by Team,74,103
4,7:07.0,Loose ball foul by Z. Pachulia (drawn by T. Young),,74,103
4,7:07.0,Technical foul by Z. Pachulia,,74,103
4,7:07.0,,D. McDermott makes technical free throw,74,104
4,7:07.0,A. Drummond enters the game for Z. Pachulia,,74,104
4,6:59.0,,Offensive foul by D. Sabonis (drawn by B. Griffin),74,104
4,6:59.0,,Turnover by D. Sabonis (offensive foul),74,104
4,6:59.0,,Indiana full timeout,74,104
4,6:48.0,Offensive foul by R. Bullock (drawn by T. Evans),,74,104
4,6:48.0,Turnover by R. Bullock (offensive foul),,74,104
4,6:30.0,,D. McDermott misses 2-pt dunk from 4 ft (block by A. Drummond),74,104
4,6:27.0,Defensive rebound by R. Bullock,,74,104
4,6:25.0,Turnover by R. Bullock (lost ball; steal by C. Joseph),,74,104
4,6:21.0,,D. McDermott makes 2-pt dunk at rim (assist by C. Joseph),74,106
4,6:00.0,B. Griffin makes 2-pt layup from 5 ft,,76,106
4,6:00.0,Shooting foul by D. Sabonis (drawn by B. Griffin),,76,106
4,6:00.0,B. Griffin makes free throw 1 of 1,,77,106
4,5:46.0,,T. Young misses 2-pt dunk from 2 ft (block by R. Bullock),77,106
4,5:43.0,,Offensive rebound by T. Evans,77,106
4,5:43.0,,T. Evans misses 2-pt layup from 1 ft,77,106
4,5:43.0,,Offensive rebound by T. Evans,77,106
4,5:37.0,,T. Evans misses 3-pt jump shot from 27 ft,77,106
4,5:35.0,Defensive rebound by R. Jackson,,77,106
4,5:31.0,Turnover by R. Jackson (bad pass; steal by T. Evans),,77,106
4,5:16.0,,T. Young makes 2-pt dunk from 1 ft (assist by D. Sabonis),77,108
4,4:58.0,A. Drummond makes 2-pt layup from 1 ft (assist by B. Griffin),,79,108
4,4:47.0,,T. Young makes 2-pt dunk from 3 ft (assist by D. Sabonis),79,110
4,4:29.0,R. Jackson misses 3-pt jump shot from 29 ft,,79,110
4,4:26.0,,Defensive rebound by C. Joseph,79,110
4,4:24.0,,Shooting foul by R. Jackson (drawn by T. Young),79,110
4,4:24.0,Detroit full timeout,,79,110
4,4:24.0,B. Brown enters the game for R. Bullock,,79,110
4,4:24.0,J. Calderón enters the game for A. Drummond,,79,110
4,4:24.0,S. Johnson enters the game for B. Griffin,,79,110
4,4:24.0,J. Leuer enters the game for R. Jackson,,79,110
4,4:24.0,K. Thomas enters the game for L. Kennard,,79,110
4,4:24.0,,K. O'Quinn enters the game for D. Sabonis,79,110
4,4:24.0,,T. Young makes free throw 1 of 2,79,111
4,4:24.0,,T. Young misses free throw 2 of 2,79,111
4,4:23.0,Defensive rebound by S. Johnson,,79,111
4,4:08.0,J. Leuer makes 2-pt jump shot from 8 ft (assist by B. Brown),,81,111
4,3:52.0,,D. McDermott makes 2-pt layup from 3 ft (assist by T. Evans),81,113
4,3:52.0,,Shooting foul by K. Thomas (drawn by D. McDermott),81,113
