QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,OKLAHOMA CITY_ACTION,GOLDEN STATE_SCORE,OKLAHOMA CITY_SCORE
2,7:01.0,A. McKinnie misses 2-pt dunk from 2 ft (block by S. Adams),,49,35
2,6:58.0,,Defensive rebound by A. Nader,49,35
2,6:54.0,,Turnover by R. Westbrook (bad pass; steal by A. McKinnie),49,35
2,6:50.0,A. McKinnie misses 2-pt dunk from 1 ft (block by A. Nader),,49,35
2,6:47.0,,Defensive rebound by M. Morris,49,35
2,6:44.0,,Turnover by A. Nader (offensive foul),49,35
2,6:44.0,,Offensive foul by A. Nader (drawn by D. Cousins),49,35
2,6:29.0,Turnover by K. Thompson (bad pass; steal by M. Morris),,49,35
2,6:25.0,,D. Schröder makes 3-pt jump shot from 25 ft (assist by R. Westbrook),49,38
2,6:23.0,Golden State full timeout,,49,38
2,6:23.0,S. Curry enters the game for J. Bell,,49,38
2,6:23.0,D. Green enters the game for Q. Cook,,49,38
2,6:23.0,A. Iguodala enters the game for K. Thompson,,49,38
2,6:23.0,,P. George enters the game for A. Nader,49,38
2,5:59.0,D. Cousins makes 2-pt hook shot from 3 ft,,51,38
2,5:43.0,,P. George makes 3-pt jump shot from 24 ft (assist by R. Westbrook),51,41
2,5:24.0,Turnover by S. Curry (bad pass),,51,41
2,5:24.0,,J. Grant enters the game for M. Morris,51,41
2,5:16.0,,J. Grant misses 3-pt jump shot from 23 ft,51,41
2,5:13.0,Defensive rebound by D. Green,,51,41
2,5:08.0,D. Cousins misses 2-pt layup from 3 ft,,51,41
2,5:06.0,,Defensive rebound by J. Grant,51,41
2,4:59.0,,P. George misses 3-pt jump shot from 24 ft,51,41
2,4:55.0,,Offensive rebound by S. Adams,51,41
2,4:55.0,,S. Adams makes 2-pt dunk at rim,51,43
2,4:34.0,S. Curry misses 2-pt jump shot from 21 ft,,51,43
2,4:32.0,,Defensive rebound by R. Westbrook,51,43
2,4:24.0,,R. Westbrook misses 2-pt jump shot from 15 ft,51,43
2,4:21.0,Defensive rebound by A. McKinnie,,51,43
2,4:11.0,A. McKinnie makes 3-pt jump shot from 25 ft (assist by D. Green),,54,43
2,3:55.0,,P. George misses 2-pt jump shot from 10 ft,54,43
2,3:54.0,Defensive rebound by D. Cousins,,54,43
2,3:54.0,Personal foul by P. George (drawn by D. Cousins),,54,43
2,3:41.0,D. Cousins makes 2-pt layup from 2 ft (assist by D. Green),,56,43
2,3:36.0,,Personal foul by A. McKinnie (drawn by P. George),56,43
2,3:36.0,K. Thompson enters the game for A. McKinnie,,56,43
2,3:36.0,,T. Ferguson enters the game for D. Schröder,56,43
2,3:30.0,,R. Westbrook misses 2-pt jump shot from 8 ft (block by K. Thompson),56,43
2,3:29.0,Defensive rebound by K. Thompson,,56,43
2,3:29.0,Personal foul by R. Westbrook (drawn by K. Thompson),,56,43
2,3:29.0,,Technical foul by R. Westbrook,56,43
2,3:29.0,S. Curry makes technical free throw,,57,43
2,3:14.0,S. Curry misses 3-pt jump shot from 26 ft,,57,43
2,3:12.0,,Defensive rebound by P. George,57,43
2,3:08.0,,Personal foul by A. Iguodala (drawn by P. George),57,43
2,3:02.0,,J. Grant misses 3-pt jump shot from 23 ft,57,43
2,2:58.0,Defensive rebound by S. Curry,,57,43
2,2:50.0,D. Cousins misses 3-pt jump shot from 25 ft,,57,43
2,2:50.0,Offensive rebound by K. Thompson,,57,43
2,2:49.0,K. Thompson makes 2-pt layup from 1 ft,,59,43
2,2:37.0,Violation by Team (kicked ball),,59,43
2,2:30.0,,Personal foul by D. Cousins (drawn by P. George),59,43
2,2:30.0,K. Looney enters the game for D. Cousins,,59,43
2,2:18.0,,R. Westbrook misses 3-pt jump shot from 25 ft,59,43
2,2:17.0,,Offensive rebound by Team,59,43
2,2:17.0,Loose ball foul by K. Looney (drawn by S. Adams),,59,43
2,2:08.0,,T. Ferguson misses 3-pt jump shot from 23 ft,59,43
2,2:04.0,Defensive rebound by D. Green,,59,43
2,2:04.0,Turnover by D. Green (bad pass; steal by R. Westbrook),,59,43
2,1:58.0,,J. Grant misses 3-pt jump shot from 24 ft,59,43
2,1:55.0,,Offensive rebound by S. Adams,59,43
2,1:51.0,,T. Ferguson misses 2-pt jump shot from 20 ft,59,43
2,1:45.0,Defensive rebound by K. Thompson,,59,43
2,1:23.0,A. Iguodala misses 3-pt jump shot from 24 ft,,59,43
2,1:20.0,,Defensive rebound by R. Westbrook,59,43
2,1:04.0,,T. Ferguson makes 2-pt layup from 2 ft (assist by P. George),59,45
2,0:52.0,S. Curry makes 3-pt jump shot from 25 ft,,62,45
2,0:44.0,,P. George misses 3-pt jump shot from 24 ft,62,45
2,0:41.0,,Offensive rebound by T. Ferguson,62,45
2,0:34.0,,P. George misses 2-pt layup from 1 ft,62,45
2,0:33.0,Defensive rebound by D. Green,,62,45
2,0:29.0,S. Curry makes 2-pt layup from 2 ft (assist by K. Thompson),,64,45
2,0:14.0,,Def 3 sec tech foul by Team,64,45
2,0:14.0,,P. George makes technical free throw,64,46
2,0:01.0,,J. Grant misses 2-pt jump shot from 6 ft,64,46
2,0:01.0,,Offensive rebound by S. Adams,64,46
3,11:52.0,,Offensive foul by T. Ferguson (drawn by A. Iguodala),64,46
3,11:52.0,,Turnover by T. Ferguson (offensive foul),64,46
3,11:38.0,K. Thompson misses 3-pt jump shot from 25 ft,,64,46
3,11:36.0,,Defensive rebound by R. Westbrook,64,46
3,11:32.0,,Turnover by J. Grant (lost ball; steal by S. Curry),64,46
3,11:27.0,S. Curry misses 3-pt jump shot from 22 ft,,64,46
3,11:23.0,,Defensive rebound by S. Adams,64,46
3,11:20.0,,P. George makes 3-pt jump shot from 26 ft,64,49
3,10:52.0,Turnover by Team (shot clock),,64,49
3,10:34.0,,S. Adams misses 2-pt hook shot from 5 ft,64,49
3,10:32.0,Defensive rebound by D. Green,,64,49
3,10:11.0,D. Green misses 3-pt jump shot from 25 ft,,64,49
3,10:06.0,,Defensive rebound by P. George,64,49
3,9:59.0,,R. Westbrook misses 3-pt jump shot from 27 ft,64,49
3,9:55.0,Defensive rebound by D. Cousins,,64,49
3,9:40.0,S. Curry misses 2-pt jump shot from 19 ft,,64,49
3,9:38.0,,Defensive rebound by P. George,64,49
3,9:32.0,,P. George misses 2-pt jump shot from 7 ft,64,49
3,9:28.0,Defensive rebound by D. Green,,64,49
3,9:22.0,K. Thompson makes 2-pt dunk from 1 ft (assist by A. Iguodala),,66,49
3,9:13.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by R. Westbrook),66,52
3,9:00.0,Shooting foul by R. Westbrook (drawn by S. Curry),,66,52
3,9:00.0,S. Curry makes free throw 1 of 3,,67,52
3,9:00.0,S. Curry makes free throw 2 of 3,,68,52
3,9:00.0,S. Curry makes free throw 3 of 3,,69,52
3,8:53.0,,P. George makes 3-pt jump shot from 23 ft (assist by R. Westbrook),69,55
3,8:40.0,K. Thompson makes 2-pt jump shot from 14 ft (assist by S. Curry),,71,55
3,8:31.0,,P. George misses 3-pt jump shot from 24 ft,71,55
3,8:28.0,,Offensive rebound by S. Adams,71,55
3,8:21.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by J. Grant),71,57
3,8:02.0,K. Thompson misses 2-pt jump shot from 20 ft,,71,57
3,8:00.0,,Defensive rebound by J. Grant,71,57
3,7:55.0,,Turnover by R. Westbrook (out of bounds lost ball),71,57
3,7:33.0,D. Cousins misses 2-pt layup from 2 ft (block by S. Adams),,71,57
3,7:31.0,Offensive rebound by D. Cousins,,71,57
3,7:30.0,D. Cousins makes 2-pt layup from 1 ft,,73,57
3,7:18.0,,Turnover by P. George (bad pass; steal by A. Iguodala),73,57
3,7:10.0,Turnover by A. Iguodala (3 sec),,73,57
3,7:10.0,,Oklahoma City full timeout,73,57
3,7:01.0,,J. Grant makes 3-pt jump shot from 23 ft (assist by P. George),73,60
3,6:41.0,K. Thompson makes 2-pt jump shot from 13 ft,,75,60
3,6:31.0,,R. Westbrook misses 3-pt jump shot from 26 ft,75,60
3,6:28.0,Defensive rebound by D. Cousins,,75,60
3,6:17.0,Shooting foul by T. Ferguson (drawn by S. Curry),,75,60
3,6:17.0,S. Curry makes free throw 1 of 3,,76,60
3,6:17.0,S. Curry misses free throw 2 of 3,,76,60
3,6:17.0,Offensive rebound by Team,,76,60
3,6:17.0,,D. Schröder enters the game for P. George,76,60
3,6:17.0,S. Curry makes free throw 3 of 3,,77,60
3,6:10.0,,R. Westbrook misses 2-pt jump shot from 15 ft,77,60
3,6:07.0,Defensive rebound by S. Curry,,77,60
3,6:00.0,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Green),,80,60
3,5:38.0,,R. Westbrook misses 2-pt jump shot from 18 ft,80,60
3,5:36.0,Defensive rebound by S. Curry,,80,60
3,5:29.0,Loose ball foul by S. Curry (drawn by S. Adams),,80,60
3,5:29.0,Turnover by S. Curry (turnover),,80,60
3,5:29.0,A. McKinnie enters the game for A. Iguodala,,80,60
3,5:29.0,,A. Nader enters the game for T. Ferguson,80,60
3,5:18.0,,R. Westbrook misses 3-pt jump shot from 27 ft,80,60
3,5:18.0,Defensive rebound by D. Cousins,,80,60
3,5:12.0,Shooting foul by R. Westbrook (drawn by A. McKinnie),,80,60
3,5:12.0,A. McKinnie makes free throw 1 of 2,,81,60
3,5:12.0,K. Looney enters the game for D. Cousins,,81,60
3,5:12.0,,N. Noel enters the game for S. Adams,81,60
3,5:12.0,A. McKinnie makes free throw 2 of 2,,82,60
3,5:04.0,,R. Westbrook misses 3-pt jump shot from 23 ft,82,60
3,5:02.0,,Offensive rebound by Team,82,60
3,5:00.0,Loose ball foul by A. McKinnie (drawn by N. Noel),,82,60
3,4:51.0,,R. Westbrook misses 2-pt jump shot from 6 ft,82,60
3,4:48.0,Defensive rebound by D. Green,,82,60
3,4:41.0,Turnover by D. Green (bad pass),,82,60
3,4:32.0,,D. Schröder misses 3-pt jump shot from 26 ft,82,60
3,4:29.0,Defensive rebound by S. Curry,,82,60
3,4:25.0,D. Green misses 2-pt layup from 3 ft,,82,60
3,4:24.0,,Defensive rebound by A. Nader,82,60
3,4:19.0,,D. Schröder misses 2-pt jump shot from 7 ft,82,60
3,4:19.0,Defensive rebound by Team,,82,60
3,4:19.0,Golden State full timeout,,82,60
3,4:19.0,S. Livingston enters the game for K. Thompson,,82,60
3,4:01.0,A. McKinnie misses 3-pt jump shot from 23 ft,,82,60
3,3:57.0,Offensive rebound by A. McKinnie,,82,60
3,3:49.0,S. Curry misses 2-pt dunk at rim (block by N. Noel),,82,60
3,3:47.0,,Defensive rebound by J. Grant,82,60
3,3:44.0,,Personal foul by D. Green (drawn by R. Westbrook),82,60
3,3:32.0,,N. Noel misses 2-pt layup from 2 ft,82,60
3,3:30.0,,Offensive rebound by N. Noel,82,60
3,3:27.0,,A. Nader makes 3-pt jump shot from 23 ft (assist by D. Schröder),82,63
3,3:14.0,S. Curry misses 3-pt jump shot from 25 ft,,82,63
3,3:12.0,,Defensive rebound by R. Westbrook,82,63
3,3:12.0,,P. George enters the game for R. Westbrook,82,63
3,2:58.0,,Shooting foul by A. McKinnie (drawn by P. George),82,63
3,2:58.0,,P. George misses free throw 1 of 2,82,63
3,2:58.0,,Offensive rebound by Team,82,63
3,2:58.0,,P. George misses free throw 2 of 2,82,63
3,2:56.0,Defensive rebound by A. McKinnie,,82,63
3,2:41.0,Turnover by S. Livingston (traveling),,82,63
3,2:41.0,,M. Morris enters the game for J. Grant,82,63
3,2:30.0,,Personal foul by A. McKinnie (drawn by P. George),82,63
3,2:30.0,,P. George makes free throw 1 of 2,82,64
3,2:30.0,,P. George misses free throw 2 of 2,82,64
3,2:28.0,Defensive rebound by A. McKinnie,,82,64
3,2:16.0,S. Curry misses 3-pt jump shot from 26 ft,,82,64
3,2:13.0,,Defensive rebound by P. George,82,64
3,2:02.0,,D. Schröder makes 3-pt jump shot from 26 ft (assist by N. Noel),82,67
3,1:44.0,K. Looney makes 2-pt dunk from 1 ft (assist by D. Green),,84,67
3,1:26.0,,D. Schröder makes 2-pt layup from 2 ft,84,69
3,1:07.0,S. Livingston misses 2-pt jump shot from 10 ft,,84,69
3,1:04.0,,Defensive rebound by A. Nader,84,69
3,0:55.0,,Turnover by N. Noel (lost ball; steal by D. Green),84,69
3,0:44.0,S. Curry makes 3-pt jump shot from 24 ft (assist by A. McKinnie),,87,69
3,0:29.0,,D. Schröder misses 3-pt jump shot from 25 ft,87,69
3,0:26.0,Defensive rebound by D. Green,,87,69
3,0:08.0,S. Curry misses 3-pt jump shot from 25 ft,,87,69
3,0:05.0,,Defensive rebound by P. George,87,69
3,0:01.0,,Shooting foul by D. Green (drawn by P. George),87,69
3,0:01.0,,P. George makes free throw 1 of 2,87,70
3,0:01.0,J. Bell enters the game for A. McKinnie,,87,70
3,0:01.0,,P. George makes free throw 2 of 2,87,71
4,11:47.0,Shooting foul by M. Morris (drawn by D. Cousins),,87,71
4,11:47.0,D. Cousins misses free throw 1 of 2,,87,71
4,11:47.0,Offensive rebound by Team,,87,71
4,11:47.0,D. Cousins makes free throw 2 of 2,,88,71
4,11:31.0,,M. Morris misses 2-pt jump shot from 2 ft,88,71
4,11:30.0,,Offensive rebound by D. Burton,88,71
4,11:28.0,,D. Burton misses 2-pt layup from 1 ft (block by D. Cousins),88,71
4,11:28.0,Defensive rebound by Q. Cook,,88,71
4,11:13.0,Turnover by Q. Cook (bad pass; steal by P. George),,88,71
4,11:05.0,,M. Morris makes 3-pt jump shot from 22 ft (assist by D. Burton),88,74
4,10:39.0,K. Thompson misses 2-pt jump shot from 17 ft,,88,74
4,10:36.0,,Defensive rebound by M. Morris,88,74
4,10:31.0,,D. Schröder misses 2-pt jump shot from 21 ft,88,74
4,10:28.0,Defensive rebound by D. Cousins,,88,74
4,10:12.0,S. Livingston makes 2-pt hook shot from 7 ft (assist by D. Cousins),,90,74
4,9:58.0,,D. Burton misses 2-pt layup at rim (block by D. Cousins),90,74
4,9:56.0,Defensive rebound by J. Bell,,90,74
4,9:47.0,K. Thompson misses 3-pt jump shot from 26 ft,,90,74
4,9:44.0,,Defensive rebound by M. Morris,90,74
4,9:40.0,,P. George misses 3-pt jump shot from 23 ft,90,74
4,9:35.0,Defensive rebound by J. Bell,,90,74
4,9:18.0,D. Cousins misses 2-pt hook shot from 7 ft,,90,74
4,9:16.0,Offensive rebound by J. Bell,,90,74
4,9:16.0,Turnover by Q. Cook (out of bounds lost ball),,90,74
4,9:16.0,,Oklahoma City full timeout,90,74
4,9:07.0,,P. George makes 2-pt layup from 1 ft,90,76
4,8:52.0,S. Livingston makes 2-pt layup from 2 ft (assist by D. Cousins),,92,76
4,8:37.0,,M. Morris misses 3-pt jump shot from 25 ft,92,76
4,8:33.0,Defensive rebound by K. Thompson,,92,76
4,8:21.0,Q. Cook makes 3-pt jump shot from 25 ft (assist by D. Cousins),,95,76
4,8:08.0,,Personal foul by D. Cousins (drawn by P. George),95,76
4,8:08.0,,S. Adams enters the game for D. Burton,95,76
4,8:08.0,,R. Westbrook enters the game for A. Nader,95,76
4,7:58.0,,P. George misses 2-pt jump shot from 14 ft,95,76
4,7:54.0,Defensive rebound by Q. Cook,,95,76
4,7:46.0,Q. Cook misses 3-pt jump shot from 23 ft,,95,76
4,7:43.0,,Defensive rebound by R. Westbrook,95,76
4,7:25.0,,D. Schröder misses 3-pt jump shot from 26 ft,95,76
4,7:22.0,,Offensive rebound by M. Morris,95,76
4,7:13.0,,S. Adams misses 2-pt dunk from 1 ft,95,76
4,7:11.0,Defensive rebound by Q. Cook,,95,76
4,7:01.0,Golden State full timeout,,95,76
4,7:01.0,D. Green enters the game for J. Bell,,95,76
4,7:01.0,A. Iguodala enters the game for D. Cousins,,95,76
4,7:01.0,K. Looney enters the game for S. Livingston,,95,76
4,7:01.0,,T. Ferguson enters the game for M. Morris,95,76
4,6:49.0,A. Iguodala misses 3-pt jump shot from 26 ft,,95,76
4,6:47.0,,Defensive rebound by P. George,95,76
4,6:36.0,,P. George misses 2-pt layup from 3 ft,95,76
4,6:33.0,Defensive rebound by K. Thompson,,95,76
4,6:23.0,K. Thompson misses 2-pt jump shot from 13 ft (block by R. Westbrook),,95,76
4,6:20.0,,Defensive rebound by S. Adams,95,76
4,6:13.0,,S. Adams makes 2-pt layup from 2 ft (assist by R. Westbrook),95,78
4,5:55.0,Q. Cook misses 3-pt jump shot from 25 ft,,95,78
4,5:53.0,,Defensive rebound by R. Westbrook,95,78
4,5:43.0,,Shooting foul by K. Looney (drawn by S. Adams),95,78
4,5:43.0,,S. Adams misses free throw 1 of 2,95,78
4,5:43.0,S. Curry enters the game for Q. Cook,,95,78
4,5:43.0,,Offensive rebound by Team,95,78
4,5:43.0,Technical foul by Q. Cook,,95,78
4,5:43.0,,P. George misses technical free throw,95,78
4,5:43.0,,Offensive rebound by Team,95,78
4,5:43.0,A. McKinnie enters the game for K. Thompson,,95,78
4,5:43.0,,S. Adams misses free throw 2 of 2,95,78
4,5:42.0,Defensive rebound by Team,,95,78
