QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PORTLAND_ACTION,SAN ANTONIO_SCORE,PORTLAND_SCORE
1,2:56.0,,Z. Collins makes 2-pt jump shot from 5 ft (assist by D. Lillard),16,19
1,2:32.0,M. Belinelli misses 2-pt jump shot from 21 ft,,16,19
1,2:29.0,,Defensive rebound by M. Harkless,16,19
1,2:18.0,,E. Turner misses 2-pt layup from 2 ft (block by D. Bertāns),16,19
1,2:18.0,Defensive rebound by Team,,16,19
1,2:18.0,San Antonio full timeout,,16,19
1,2:18.0,,S. Curry enters the game for D. Lillard,16,19
1,2:18.0,,N. Stauskas enters the game for C. McCollum,16,19
1,2:05.0,P. Mills misses 2-pt jump shot from 23 ft,,16,19
1,2:05.0,,Defensive rebound by Team,16,19
1,1:52.0,,Z. Collins misses 3-pt jump shot from 26 ft,16,19
1,1:49.0,Defensive rebound by P. Mills,,16,19
1,1:36.0,P. Gasol makes 2-pt jump shot from 17 ft (assist by D. Cunningham),,18,19
1,1:21.0,,N. Stauskas misses 3-pt jump shot from 25 ft,18,19
1,1:20.0,Defensive rebound by Team,,18,19
1,1:07.0,Shooting foul by Z. Collins (drawn by P. Gasol),,18,19
1,1:07.0,P. Gasol makes free throw 1 of 2,,19,19
1,1:07.0,P. Gasol misses free throw 2 of 2,,19,19
1,1:05.0,,Defensive rebound by Z. Collins,19,19
1,0:55.0,,S. Curry misses 3-pt jump shot from 26 ft,19,19
1,0:54.0,,Offensive rebound by Z. Collins,19,19
1,0:50.0,,M. Harkless misses 3-pt jump shot from 22 ft,19,19
1,0:48.0,Defensive rebound by P. Gasol,,19,19
1,0:38.0,M. Belinelli misses 2-pt layup from 3 ft,,19,19
1,0:37.0,,Defensive rebound by Z. Collins,19,19
1,0:33.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by N. Stauskas),19,22
1,0:20.0,D. Bertāns makes 3-pt jump shot from 24 ft (assist by M. Belinelli),,22,22
1,0:03.0,,N. Stauskas misses 2-pt jump shot from 15 ft,22,22
1,0:01.0,Defensive rebound by D. Cunningham,,22,22
1,0:00.0,D. Cunningham misses 3-pt jump shot from 46 ft,,22,22
1,0:00.0,Offensive rebound by Team,,22,22
2,11:41.0,P. Mills misses 2-pt jump shot from 17 ft,,22,22
2,11:39.0,,Defensive rebound by M. Harkless,22,22
2,11:26.0,,M. Harkless makes 3-pt jump shot from 22 ft (assist by N. Stauskas),22,25
2,11:03.0,P. Gasol misses 2-pt hook shot from 2 ft,,22,25
2,11:01.0,,Defensive rebound by Z. Collins,22,25
2,10:57.0,,Personal foul by R. Gay (drawn by Z. Collins),22,25
2,10:50.0,,N. Stauskas makes 3-pt jump shot from 25 ft (assist by E. Turner),22,28
2,10:30.0,L. Aldridge makes 2-pt hook shot from 4 ft (assist by P. Gasol),,24,28
2,10:30.0,Shooting foul by Z. Collins (drawn by L. Aldridge),,24,28
2,10:30.0,D. DeRozan enters the game for P. Mills,,24,28
2,10:30.0,L. Aldridge misses free throw 1 of 1,,24,28
2,10:30.0,,Defensive rebound by M. Harkless,24,28
2,10:20.0,,Offensive foul by Z. Collins (drawn by D. DeRozan),24,28
2,10:20.0,,Turnover by Z. Collins (offensive foul),24,28
2,10:20.0,,M. Leonard enters the game for Z. Collins,24,28
2,10:04.0,R. Gay makes 2-pt jump shot from 12 ft,,26,28
2,9:52.0,,Turnover by E. Turner (bad pass; steal by L. Aldridge),26,28
2,9:42.0,Turnover by D. DeRozan (bad pass; steal by N. Stauskas),,26,28
2,9:38.0,,Turnover by S. Curry (bad pass),26,28
2,9:38.0,D. Bertāns enters the game for P. Gasol,,26,28
2,9:25.0,B. Forbes makes 3-pt jump shot from 25 ft (assist by R. Gay),,29,28
2,9:01.0,,M. Leonard makes 2-pt dunk from 2 ft (assist by E. Turner),29,30
2,8:44.0,R. Gay makes 2-pt jump shot from 14 ft,,31,30
2,8:28.0,,E. Turner makes 2-pt jump shot from 22 ft,31,32
2,8:23.0,Turnover by D. Bertāns (bad pass; steal by M. Harkless),,31,32
2,8:20.0,,M. Harkless makes 2-pt layup from 1 ft,31,34
2,8:10.0,D. DeRozan makes 2-pt jump shot from 21 ft (assist by B. Forbes),,33,34
2,7:47.0,,E. Turner misses 2-pt jump shot from 19 ft,33,34
2,7:45.0,Defensive rebound by B. Forbes,,33,34
2,7:35.0,L. Aldridge makes 2-pt layup from 1 ft (assist by D. DeRozan),,35,34
2,7:17.0,,M. Leonard makes 2-pt layup from 2 ft (assist by N. Stauskas),35,36
2,7:17.0,,Shooting foul by R. Gay (drawn by M. Leonard),35,36
2,7:17.0,,A. Aminu enters the game for M. Harkless,35,36
2,7:17.0,,M. Leonard makes free throw 1 of 1,35,37
2,6:52.0,L. Aldridge misses 3-pt jump shot from 25 ft,,35,37
2,6:49.0,Offensive rebound by D. Bertāns,,35,37
2,6:43.0,R. Gay misses 3-pt jump shot from 26 ft,,35,37
2,6:41.0,Offensive rebound by D. Bertāns,,35,37
2,6:34.0,B. Forbes misses 3-pt jump shot from 26 ft,,35,37
2,6:32.0,,Defensive rebound by A. Aminu,35,37
2,6:15.0,,E. Turner makes 2-pt layup from 1 ft,35,39
