QUARTER,TIME_REMAINING,TORONTO_ACTION,WASHINGTON_ACTION,TORONTO_SCORE,WASHINGTON_SCORE
1,6:48.0,Turnover by K. Lowry (bad pass; steal by T. Satoranský),,18,8
1,6:44.0,,B. Beal misses 3-pt jump shot from 26 ft,18,8
1,6:40.0,Defensive rebound by S. Ibaka,,18,8
1,6:36.0,P. Siakam makes 2-pt jump shot from 11 ft (assist by K. Lowry),,20,8
1,6:18.0,,B. Beal misses 2-pt layup from 1 ft,20,8
1,6:18.0,Defensive rebound by Team,,20,8
1,6:09.0,K. Leonard makes 2-pt layup from 2 ft (assist by K. Lowry),,22,8
1,5:48.0,,T. Satoranský misses 3-pt jump shot from 25 ft,22,8
1,5:45.0,Defensive rebound by S. Ibaka,,22,8
1,5:36.0,S. Ibaka misses 2-pt hook shot from 12 ft,,22,8
1,5:34.0,,Defensive rebound by T. Bryant,22,8
1,5:24.0,,Turnover by T. Ariza (bad pass; steal by S. Ibaka),22,8
1,5:16.0,D. Green makes 2-pt jump shot from 12 ft (assist by K. Lowry),,24,8
1,4:51.0,,B. Beal makes 2-pt dunk from 3 ft,24,10
1,4:48.0,K. Leonard makes 3-pt jump shot from 26 ft (assist by K. Lowry),,27,10
1,4:22.0,,B. Beal misses 2-pt jump shot from 18 ft,27,10
1,4:20.0,Defensive rebound by P. Siakam,,27,10
1,4:11.0,Shooting foul by B. Beal (drawn by P. Siakam),,27,10
1,4:11.0,P. Siakam makes free throw 1 of 2,,28,10
1,4:11.0,,O. Porter enters the game for J. Green,28,10
1,4:11.0,,C. Randle enters the game for T. Satoranský,28,10
1,4:11.0,P. Siakam makes free throw 2 of 2,,29,10
1,3:59.0,,B. Beal misses 2-pt layup from 7 ft (block by P. Siakam),29,10
1,3:59.0,,Offensive rebound by Team,29,10
1,3:55.0,,Turnover by B. Beal (bad pass; steal by D. Green),29,10
1,3:49.0,P. Siakam misses 2-pt layup from 2 ft,,29,10
1,3:48.0,Offensive rebound by K. Leonard,,29,10
1,3:48.0,K. Leonard misses 2-pt layup from 1 ft,,29,10
1,3:48.0,,Defensive rebound by Team,29,10
1,3:48.0,Loose ball foul by P. Siakam (drawn by C. Randle),,29,10
1,3:48.0,D. Wright enters the game for K. Lowry,,29,10
1,3:48.0,,I. Mahinmi enters the game for T. Bryant,29,10
1,3:39.0,,C. Randle misses 2-pt jump shot from 16 ft (block by D. Wright),29,10
1,3:36.0,Defensive rebound by P. Siakam,,29,10
1,3:31.0,P. Siakam misses 2-pt hook shot from 11 ft,,29,10
1,3:30.0,,Defensive rebound by O. Porter,29,10
1,3:12.0,,O. Porter makes 2-pt layup from 1 ft (assist by I. Mahinmi),29,12
1,3:00.0,Offensive foul by S. Ibaka (drawn by I. Mahinmi),,29,12
1,3:00.0,Turnover by S. Ibaka (offensive foul),,29,12
1,3:00.0,O. Anunoby enters the game for S. Ibaka,,29,12
1,3:00.0,G. Monroe enters the game for P. Siakam,,29,12
1,2:44.0,,O. Porter makes 3-pt jump shot from 25 ft (assist by B. Beal),29,15
1,2:31.0,K. Leonard makes 2-pt layup from 2 ft,,31,15
1,2:22.0,,Personal foul by G. Monroe (drawn by I. Mahinmi),31,15
1,2:18.0,,O. Porter misses 3-pt jump shot from 23 ft,31,15
1,2:14.0,Defensive rebound by K. Leonard,,31,15
1,2:05.0,D. Wright misses 3-pt jump shot from 30 ft,,31,15
1,2:01.0,,Defensive rebound by B. Beal,31,15
1,1:55.0,,I. Mahinmi makes 2-pt layup from 1 ft (assist by O. Porter),31,17
1,1:48.0,D. Green misses 3-pt jump shot from 27 ft,,31,17
1,1:45.0,,Defensive rebound by C. Randle,31,17
1,1:38.0,,B. Beal misses 2-pt layup from 2 ft,31,17
1,1:35.0,Defensive rebound by K. Leonard,,31,17
1,1:28.0,K. Leonard misses 2-pt layup from 2 ft,,31,17
1,1:25.0,,Defensive rebound by O. Porter,31,17
1,1:19.0,,O. Porter makes 2-pt jump shot from 5 ft (assist by T. Ariza),31,19
1,1:18.0,Toronto full timeout,,31,19
1,1:18.0,K. Lowry enters the game for D. Green,,31,19
1,1:18.0,N. Powell enters the game for K. Leonard,,31,19
1,1:01.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by D. Wright),,34,19
1,0:48.0,,O. Porter misses 2-pt jump shot from 16 ft,34,19
1,0:45.0,Defensive rebound by K. Lowry,,34,19
1,0:38.0,G. Monroe makes 2-pt layup from 4 ft (assist by K. Lowry),,36,19
1,0:26.0,,Shooting foul by D. Wright (drawn by T. Ariza),36,19
1,0:26.0,,T. Ariza makes free throw 1 of 2,36,20
1,0:26.0,,T. Ariza makes free throw 2 of 2,36,21
1,0:03.0,Personal foul by I. Mahinmi (drawn by G. Monroe),,36,21
1,0:00.0,O. Anunoby misses 3-pt jump shot from 26 ft,,36,21
1,0:00.0,Offensive rebound by Team,,36,21
2,11:43.0,,Personal foul by D. Wright (drawn by C. Randle),36,21
2,11:34.0,,Turnover by C. Randle (bad pass; steal by O. Anunoby),36,21
2,11:29.0,N. Powell misses 3-pt jump shot from 24 ft,,36,21
2,11:26.0,,Defensive rebound by I. Mahinmi,36,21
2,11:16.0,,O. Porter makes 3-pt jump shot from 25 ft (assist by C. Randle),36,24
2,10:59.0,K. Lowry misses 3-pt jump shot from 25 ft,,36,24
2,10:57.0,,Defensive rebound by O. Porter,36,24
2,10:47.0,,C. Randle misses 2-pt jump shot from 13 ft,36,24
2,10:44.0,Defensive rebound by D. Wright,,36,24
2,10:40.0,N. Powell makes 3-pt jump shot from 25 ft (assist by D. Wright),,39,24
2,10:19.0,,O. Porter misses 3-pt jump shot from 28 ft,39,24
2,10:17.0,Defensive rebound by D. Wright,,39,24
2,10:11.0,D. Wright makes 2-pt layup from 4 ft,,41,24
2,10:00.0,,Turnover by I. Mahinmi (bad pass; steal by G. Monroe),41,24
2,9:57.0,Shooting foul by O. Porter (drawn by G. Monroe),,41,24
2,9:57.0,,Washington full timeout,41,24
2,9:57.0,G. Monroe makes free throw 1 of 2,,42,24
2,9:57.0,G. Monroe misses free throw 2 of 2,,42,24
2,9:55.0,,Defensive rebound by O. Porter,42,24
2,9:39.0,,I. Mahinmi makes 2-pt layup from 6 ft (assist by C. Randle),42,26
2,9:27.0,N. Powell makes 3-pt jump shot from 25 ft (assist by K. Lowry),,45,26
2,9:11.0,,Turnover by J. Green (lost ball; steal by O. Anunoby),45,26
2,8:55.0,Turnover by G. Monroe (lost ball; steal by C. Randle),,45,26
2,8:54.0,,Turnover by I. Mahinmi (lost ball; steal by D. Wright),45,26
2,8:47.0,N. Powell makes 2-pt layup from 2 ft (assist by D. Wright),,47,26
2,8:36.0,,Personal foul by O. Anunoby (drawn by O. Porter),47,26
2,8:36.0,,T. Ariza enters the game for I. Mahinmi,47,26
2,8:36.0,,B. Beal enters the game for C. Randle,47,26
2,8:26.0,,T. Ariza misses 2-pt layup from 2 ft,47,26
2,8:24.0,,Offensive rebound by T. Ariza,47,26
2,8:24.0,,T. Ariza makes 2-pt layup at rim,47,28
2,8:20.0,D. Wright makes 2-pt jump shot from 7 ft,,49,28
2,8:20.0,Shooting foul by S. Dekker (drawn by D. Wright),,49,28
2,8:20.0,D. Wright makes free throw 1 of 1,,50,28
2,8:12.0,,Turnover by O. Porter (traveling),50,28
2,8:01.0,Shooting foul by J. Green (drawn by G. Monroe),,50,28
2,8:01.0,G. Monroe makes free throw 1 of 2,,51,28
2,8:01.0,G. Monroe misses free throw 2 of 2,,51,28
2,7:58.0,,Defensive rebound by J. Green,51,28
2,7:49.0,,S. Dekker misses 2-pt jump shot from 13 ft,51,28
2,7:45.0,Defensive rebound by G. Monroe,,51,28
2,7:41.0,,Violation by Team (kicked ball),51,28
2,7:31.0,K. Lowry misses 3-pt jump shot from 26 ft,,51,28
2,7:27.0,,Defensive rebound by O. Porter,51,28
2,7:22.0,,O. Porter misses 2-pt jump shot from 13 ft,51,28
2,7:17.0,,Offensive rebound by S. Dekker,51,28
2,7:17.0,,S. Dekker misses 2-pt layup at rim,51,28
2,7:16.0,Defensive rebound by O. Anunoby,,51,28
2,7:14.0,O. Anunoby misses 2-pt layup from 3 ft,,51,28
2,7:11.0,,Defensive rebound by T. Ariza,51,28
2,7:09.0,,T. Ariza makes 2-pt layup from 4 ft,51,30
2,7:09.0,,Shooting foul by G. Monroe (drawn by T. Ariza),51,30
2,7:09.0,S. Ibaka enters the game for G. Monroe,,51,30
2,7:09.0,K. Leonard enters the game for D. Wright,,51,30
2,7:09.0,,T. Ariza misses free throw 1 of 1,51,30
2,7:07.0,Defensive rebound by O. Anunoby,,51,30
2,6:53.0,Turnover by N. Powell (bad pass),,51,30
2,6:53.0,P. Siakam enters the game for N. Powell,,51,30
2,6:33.0,,J. Green makes 2-pt layup from 1 ft (assist by B. Beal),51,32
2,6:12.0,K. Leonard misses 2-pt jump shot from 23 ft (block by B. Beal),,51,32
2,6:09.0,Offensive rebound by K. Leonard,,51,32
2,6:08.0,Turnover by Team (shot clock),,51,32
2,5:59.0,,T. Ariza makes 3-pt jump shot from 26 ft (assist by B. Beal),51,35
2,5:45.0,P. Siakam makes 2-pt jump shot from 3 ft,,53,35
2,5:23.0,,S. Dekker misses 2-pt jump shot from 23 ft,53,35
2,5:21.0,Defensive rebound by P. Siakam,,53,35
2,5:12.0,S. Ibaka misses 2-pt hook shot from 9 ft,,53,35
2,5:11.0,Offensive rebound by Team,,53,35
2,5:11.0,D. Green enters the game for O. Anunoby,,53,35
2,5:07.0,K. Leonard misses 3-pt jump shot from 26 ft,,53,35
2,5:04.0,,Defensive rebound by T. Ariza,53,35
2,4:58.0,,J. Green makes 2-pt layup from 2 ft (assist by T. Ariza),53,37
2,4:49.0,Turnover by D. Green (bad pass; steal by S. Dekker),,53,37
2,4:45.0,,B. Beal makes 3-pt jump shot from 27 ft (assist by J. Green),53,40
2,4:44.0,Toronto full timeout,,53,40
2,4:44.0,D. Wright enters the game for K. Lowry,,53,40
2,4:44.0,,T. Satoranský enters the game for S. Dekker,53,40
2,4:29.0,D. Green misses 3-pt jump shot from 26 ft,,53,40
2,4:26.0,Offensive rebound by D. Wright,,53,40
2,4:13.0,K. Leonard misses 2-pt layup from 4 ft (block by T. Ariza),,53,40
2,4:13.0,,Defensive rebound by Team,53,40
2,3:57.0,,J. Green misses 2-pt jump shot from 19 ft,53,40
2,3:56.0,,Offensive rebound by O. Porter,53,40
2,3:55.0,,O. Porter misses 2-pt layup from 2 ft,53,40
2,3:54.0,Defensive rebound by P. Siakam,,53,40
2,3:48.0,P. Siakam misses 2-pt layup from 10 ft (block by J. Green),,53,40
2,3:46.0,,Defensive rebound by B. Beal,53,40
2,3:38.0,,B. Beal makes 3-pt jump shot from 25 ft,53,43
2,3:20.0,D. Wright misses 2-pt jump shot from 7 ft,,53,43
2,3:17.0,Offensive rebound by D. Wright,,53,43
2,3:17.0,D. Wright makes 2-pt layup from 5 ft,,55,43
2,3:03.0,,Personal foul by P. Siakam (drawn by T. Ariza),55,43
2,2:52.0,,B. Beal misses 2-pt layup from 5 ft,55,43
2,2:49.0,Defensive rebound by D. Green,,55,43
2,2:37.0,P. Siakam makes 2-pt dunk from 2 ft (assist by K. Leonard),,57,43
2,2:18.0,,B. Beal makes 2-pt jump shot from 5 ft (assist by T. Ariza),57,45
2,2:09.0,K. Leonard misses 3-pt jump shot from 25 ft,,57,45
2,2:06.0,,Defensive rebound by T. Satoranský,57,45
2,2:04.0,,Shooting foul by K. Leonard (drawn by O. Porter),57,45
2,2:04.0,,O. Porter makes free throw 1 of 2,57,46
2,2:04.0,,O. Porter makes free throw 2 of 2,57,47
2,1:46.0,Shooting foul by O. Porter (drawn by P. Siakam),,57,47
2,1:46.0,P. Siakam makes free throw 1 of 2,,58,47
2,1:46.0,K. Lowry enters the game for D. Wright,,58,47
2,1:46.0,P. Siakam makes free throw 2 of 2,,59,47
2,1:26.0,,T. Satoranský misses 2-pt jump shot from 14 ft,59,47
2,1:24.0,Defensive rebound by D. Green,,59,47
2,1:11.0,K. Leonard makes 2-pt hook shot from 2 ft,,61,47
2,0:55.0,,T. Satoranský misses 3-pt jump shot from 27 ft,61,47
2,0:53.0,Defensive rebound by P. Siakam,,61,47
2,0:38.0,Turnover by K. Leonard (bad pass; steal by B. Beal),,61,47
2,0:34.0,,B. Beal misses 3-pt jump shot from 25 ft,61,47
2,0:31.0,,Offensive rebound by T. Ariza,61,47
2,0:29.0,,T. Ariza makes 3-pt jump shot from 26 ft,61,50
2,0:06.0,Turnover by S. Ibaka (lost ball; steal by O. Porter),,61,50
2,0:02.0,,J. Green misses 3-pt jump shot from 27 ft,61,50
2,0:02.0,Defensive rebound by P. Siakam,,61,50
3,11:50.0,,Shooting foul by D. Green (drawn by B. Beal),61,50
3,11:50.0,,B. Beal misses free throw 1 of 2,61,50
3,11:50.0,,Offensive rebound by Team,61,50
3,11:50.0,,B. Beal misses free throw 2 of 2,61,50
3,11:46.0,Defensive rebound by S. Ibaka,,61,50
3,11:37.0,S. Ibaka misses 2-pt jump shot from 17 ft,,61,50
3,11:34.0,,Defensive rebound by T. Ariza,61,50
3,11:25.0,,T. Bryant makes 3-pt jump shot from 27 ft (assist by T. Ariza),61,53
3,10:58.0,Shooting foul by T. Bryant (drawn by D. Green),,61,53
3,10:58.0,D. Green makes free throw 1 of 2,,62,53
3,10:58.0,D. Green makes free throw 2 of 2,,63,53
3,10:43.0,,J. Green misses 3-pt jump shot from 23 ft,63,53
3,10:41.0,Defensive rebound by K. Lowry,,63,53
3,10:36.0,D. Green makes 3-pt jump shot from 26 ft (assist by K. Lowry),,66,53
3,10:28.0,,Turnover by B. Beal (lost ball; steal by K. Lowry),66,53
3,10:28.0,Personal foul by B. Beal (drawn by K. Lowry),,66,53
3,10:10.0,P. Siakam misses 3-pt jump shot from 26 ft,,66,53
3,10:06.0,Offensive rebound by K. Leonard,,66,53
3,9:58.0,K. Leonard makes 2-pt jump shot from 11 ft,,68,53
3,9:43.0,,Turnover by T. Ariza (bad pass; steal by P. Siakam),68,53
3,9:35.0,K. Lowry misses 3-pt jump shot from 26 ft,,68,53
3,9:31.0,Offensive rebound by P. Siakam,,68,53
3,9:31.0,P. Siakam misses 2-pt layup at rim,,68,53
3,9:31.0,Offensive rebound by P. Siakam,,68,53
3,9:31.0,P. Siakam makes 2-pt layup at rim,,70,53
3,9:31.0,,Washington full timeout,70,53
3,9:14.0,,B. Beal misses 2-pt layup from 7 ft,70,53
3,9:13.0,,Offensive rebound by T. Bryant,70,53
3,9:13.0,,T. Bryant misses 2-pt layup from 4 ft,70,53
3,9:11.0,,Offensive rebound by T. Bryant,70,53
3,9:10.0,,T. Bryant makes 2-pt layup from 2 ft,70,55
3,9:04.0,Turnover by K. Lowry (bad pass; steal by T. Satoranský),,70,55
3,8:59.0,,T. Satoranský misses 2-pt layup from 4 ft,70,55
3,8:57.0,,Offensive rebound by T. Bryant,70,55
3,8:56.0,,T. Ariza misses 3-pt jump shot from 23 ft,70,55
3,8:56.0,,Offensive rebound by T. Satoranský,70,55
3,8:50.0,,T. Satoranský misses 2-pt layup from 3 ft (block by K. Leonard),70,55
3,8:48.0,Defensive rebound by P. Siakam,,70,55
3,8:39.0,P. Siakam makes 2-pt jump shot from 8 ft,,72,55
3,8:31.0,,B. Beal misses 3-pt jump shot from 26 ft,72,55
3,8:28.0,,Offensive rebound by T. Bryant,72,55
3,8:25.0,,Turnover by T. Bryant (lost ball; steal by K. Leonard),72,55
3,8:23.0,Turnover by P. Siakam (bad pass),,72,55
3,8:10.0,,Turnover by T. Ariza (bad pass; steal by P. Siakam),72,55
3,8:03.0,Personal foul by T. Satoranský (drawn by K. Leonard),,72,55
3,8:00.0,Personal foul by T. Ariza (drawn by K. Leonard),,72,55
3,7:54.0,Offensive foul by K. Leonard (drawn by T. Ariza),,72,55
3,7:54.0,Turnover by K. Leonard (offensive foul),,72,55
3,7:45.0,,B. Beal misses 3-pt jump shot from 26 ft,72,55
3,7:40.0,Defensive rebound by D. Green,,72,55
3,7:36.0,Turnover by K. Lowry (bad pass; steal by T. Bryant),,72,55
3,7:29.0,,J. Green makes 3-pt jump shot from 25 ft (assist by B. Beal),72,58
3,7:10.0,D. Green makes 2-pt jump shot from 17 ft (assist by K. Lowry),,74,58
3,6:54.0,,Turnover by T. Bryant (bad pass; steal by K. Leonard),74,58
3,6:51.0,K. Leonard makes 2-pt dunk from 1 ft,,76,58
3,6:36.0,,T. Ariza makes 2-pt layup from 1 ft (assist by T. Bryant),76,60
3,6:17.0,D. Green makes 3-pt jump shot from 28 ft (assist by K. Lowry),,79,60
3,6:02.0,,T. Satoranský makes 2-pt jump shot from 11 ft,79,62
3,5:56.0,Offensive foul by K. Lowry (drawn by T. Satoranský),,79,62
3,5:56.0,Turnover by K. Lowry (offensive foul),,79,62
3,5:56.0,,O. Porter enters the game for T. Bryant,79,62
3,5:42.0,,T. Ariza makes 3-pt jump shot from 25 ft (assist by B. Beal),79,65
3,5:28.0,P. Siakam makes 2-pt layup from 2 ft (assist by K. Leonard),,81,65
3,5:14.0,,J. Green misses 2-pt layup from 1 ft,81,65
3,5:12.0,Defensive rebound by S. Ibaka,,81,65
3,5:04.0,Turnover by P. Siakam (bad pass),,81,65
3,4:59.0,,Turnover by B. Beal (lost ball; steal by D. Green),81,65
3,4:56.0,D. Green misses 2-pt layup from 3 ft (block by B. Beal),,81,65
3,4:53.0,Offensive rebound by P. Siakam,,81,65
3,4:53.0,Shooting foul by T. Satoranský (drawn by K. Leonard),,81,65
3,4:53.0,K. Leonard makes free throw 1 of 2,,82,65
3,4:53.0,,T. Brown enters the game for T. Satoranský,82,65
3,4:53.0,K. Leonard makes free throw 2 of 2,,83,65
3,4:34.0,,O. Porter makes 3-pt jump shot from 26 ft (assist by B. Beal),83,68
3,4:24.0,Shooting foul by B. Beal (drawn by K. Leonard),,83,68
3,4:24.0,K. Leonard makes free throw 1 of 2,,84,68
3,4:24.0,D. Wright enters the game for K. Lowry,,84,68
3,4:24.0,K. Leonard makes free throw 2 of 2,,85,68
3,4:16.0,,T. Ariza misses 3-pt jump shot from 27 ft,85,68
3,4:13.0,,Offensive rebound by B. Beal,85,68
3,4:11.0,,B. Beal makes 2-pt layup from 1 ft,85,70
3,3:52.0,K. Leonard makes 2-pt hook shot from 2 ft,,87,70
3,3:44.0,,B. Beal makes 2-pt dunk from 2 ft,87,72
3,3:29.0,D. Green makes 3-pt jump shot from 24 ft (assist by P. Siakam),,90,72
3,3:16.0,,B. Beal misses 2-pt layup from 3 ft,90,72
3,3:14.0,Defensive rebound by D. Green,,90,72
3,2:59.0,Toronto full timeout,,90,72
3,2:59.0,O. Anunoby enters the game for S. Ibaka,,90,72
3,2:55.0,Turnover by P. Siakam (bad pass),,90,72
3,2:55.0,N. Powell enters the game for K. Leonard,,90,72
3,2:40.0,,T. Brown makes 2-pt jump shot from 7 ft (assist by B. Beal),90,74
3,2:14.0,D. Green misses 2-pt layup from 6 ft,,90,74
3,2:12.0,,Defensive rebound by B. Beal,90,74
3,2:04.0,,T. Brown makes 3-pt jump shot from 25 ft (assist by B. Beal),90,77
3,1:47.0,D. Wright makes 3-pt jump shot from 26 ft (assist by N. Powell),,93,77
3,1:34.0,,Shooting foul by O. Anunoby (drawn by J. Green),93,77
3,1:34.0,,J. Green makes free throw 1 of 2,93,78
3,1:34.0,K. Lowry enters the game for D. Green,,93,78
3,1:34.0,,S. Dekker enters the game for T. Ariza,93,78
3,1:34.0,,J. Green makes free throw 2 of 2,93,79
3,1:21.0,P. Siakam misses 3-pt jump shot from 26 ft,,93,79
3,1:18.0,,Defensive rebound by J. Green,93,79
3,1:10.0,,J. Green misses 3-pt jump shot from 26 ft,93,79
3,1:06.0,Defensive rebound by P. Siakam,,93,79
3,0:57.0,O. Anunoby makes 2-pt layup from 2 ft (assist by N. Powell),,95,79
3,0:57.0,Shooting foul by J. Green (drawn by O. Anunoby),,95,79
3,0:57.0,,Technical foul by J. Green,95,79
3,0:57.0,K. Lowry misses technical free throw,,95,79
3,0:57.0,Offensive rebound by Team,,95,79
3,0:57.0,O. Anunoby makes free throw 1 of 1,,96,79
3,0:50.0,,B. Beal makes 2-pt jump shot from 13 ft,96,81
3,0:50.0,,Shooting foul by P. Siakam (drawn by B. Beal),96,81
3,0:50.0,,B. Beal makes free throw 1 of 1,96,82
3,0:30.0,K. Lowry makes 2-pt jump shot from 18 ft,,98,82
3,0:07.0,,B. Beal makes 2-pt layup from 2 ft,98,84
3,0:00.0,N. Powell misses 2-pt jump shot from 17 ft,,98,84
3,0:00.0,Offensive rebound by Team,,98,84
4,11:43.0,Turnover by G. Monroe (traveling),,98,84
4,11:29.0,,Turnover by B. Beal (bad pass; steal by N. Powell),98,84
4,11:26.0,D. Wright makes 2-pt dunk from 3 ft (assist by N. Powell),,100,84
4,11:10.0,,T. Brown makes 2-pt layup from 3 ft (assist by J. Green),100,86
4,10:48.0,Personal foul by T. Brown (drawn by O. Anunoby),,100,86
4,10:41.0,D. Wright makes 2-pt hook shot from 5 ft,,102,86
4,10:27.0,,B. Beal makes 2-pt layup from 3 ft (assist by T. Brown),102,88
4,10:20.0,Toronto full timeout,,102,88
4,10:20.0,,T. Bryant enters the game for J. Green,102,88
4,10:07.0,O. Anunoby misses 2-pt layup from 4 ft,,102,88
4,10:05.0,,Defensive rebound by S. Dekker,102,88
4,9:53.0,,O. Porter makes 2-pt jump shot from 7 ft (assist by B. Beal),102,90
4,9:42.0,Personal foul by T. Brown (drawn by K. Lowry),,102,90
4,9:32.0,D. Wright misses 2-pt jump shot from 10 ft,,102,90
4,9:29.0,Offensive rebound by D. Wright,,102,90
4,9:29.0,D. Wright misses 2-pt jump shot from 9 ft (block by T. Bryant),,102,90
4,9:29.0,Offensive rebound by D. Wright,,102,90
4,9:23.0,O. Anunoby misses 3-pt jump shot from 25 ft,,102,90
4,9:23.0,,Defensive rebound by B. Beal,102,90
4,9:21.0,,Personal foul by G. Monroe (drawn by B. Beal),102,90
4,9:10.0,,B. Beal makes 2-pt jump shot from 11 ft,102,92
4,8:49.0,Shooting foul by S. Dekker (drawn by N. Powell),,102,92
4,8:49.0,N. Powell makes free throw 1 of 2,,103,92
4,8:49.0,N. Powell misses free throw 2 of 2,,103,92
4,8:47.0,,Defensive rebound by O. Porter,103,92
4,8:36.0,,Turnover by S. Dekker (step out of bounds),103,92
4,8:23.0,Turnover by N. Powell (bad pass; steal by B. Beal),,103,92
4,8:19.0,,B. Beal makes 2-pt layup from 2 ft,103,94
4,8:04.0,K. Lowry makes 3-pt jump shot from 28 ft,,106,94
4,8:03.0,,Washington full timeout,106,94
4,8:03.0,K. Leonard enters the game for G. Monroe,,106,94
4,8:03.0,P. Siakam enters the game for N. Powell,,106,94
4,8:03.0,,T. Ariza enters the game for S. Dekker,106,94
4,7:45.0,,B. Beal makes 2-pt jump shot from 21 ft (assist by T. Ariza),106,96
4,7:27.0,D. Wright makes 2-pt layup from 2 ft (assist by P. Siakam),,108,96
4,7:27.0,Shooting foul by T. Bryant (drawn by D. Wright),,108,96
4,7:27.0,D. Wright makes free throw 1 of 1,,109,96
4,7:14.0,,O. Porter makes 3-pt jump shot from 25 ft (assist by B. Beal),109,99
4,6:47.0,O. Anunoby makes 2-pt layup from 2 ft,,111,99
4,6:33.0,,T. Ariza makes 2-pt layup from 1 ft (assist by B. Beal),111,101
4,6:33.0,,Shooting foul by K. Leonard (drawn by T. Ariza),111,101
4,6:33.0,,T. Satoranský enters the game for T. Brown,111,101
4,6:33.0,,T. Ariza misses free throw 1 of 1,111,101
4,6:31.0,Defensive rebound by P. Siakam,,111,101
4,6:14.0,K. Lowry misses 3-pt jump shot from 26 ft,,111,101
4,6:12.0,Offensive rebound by Team,,111,101
4,6:12.0,,Loose ball foul by O. Porter (drawn by O. Anunoby),111,101
4,6:12.0,O. Anunoby makes free throw 1 of 2,,112,101
4,6:12.0,S. Ibaka enters the game for D. Wright,,112,101
4,6:12.0,O. Anunoby makes free throw 2 of 2,,113,101
4,6:06.0,,Personal foul by O. Anunoby (drawn by B. Beal),113,101
4,5:59.0,,T. Bryant makes 2-pt layup from 3 ft (assist by B. Beal),113,103
4,5:32.0,K. Lowry misses 2-pt jump shot from 20 ft,,113,103
4,5:31.0,,Defensive rebound by B. Beal,113,103
4,5:27.0,,B. Beal makes 3-pt jump shot from 25 ft,113,106
4,5:25.0,Toronto full timeout,,113,106
4,5:25.0,D. Green enters the game for O. Anunoby,,113,106
4,5:09.0,K. Leonard makes 2-pt jump shot from 5 ft,,115,106
4,5:09.0,Shooting foul by T. Ariza (drawn by K. Leonard),,115,106
4,5:09.0,K. Leonard makes free throw 1 of 1,,116,106
4,4:58.0,,T. Ariza makes 3-pt jump shot from 25 ft (assist by B. Beal),116,109
4,4:36.0,K. Leonard misses 2-pt jump shot from 16 ft (block by T. Bryant),,116,109
4,4:34.0,,Defensive rebound by T. Ariza,116,109
