QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,UTAH_ACTION,PHILADELPHIA_SCORE,UTAH_SCORE
4,6:09.0,,R. Gobert misses 2-pt jump shot from 15 ft,107,87
4,6:06.0,Defensive rebound by J. Embiid,,107,87
4,5:49.0,M. Muscala misses 3-pt jump shot from 23 ft,,107,87
4,5:46.0,,Defensive rebound by R. Gobert,107,87
4,5:39.0,,Turnover by D. Exum (lost ball; steal by B. Simmons),107,87
4,5:33.0,Turnover by B. Simmons (lost ball; steal by D. Exum),,107,87
4,5:32.0,,R. Rubio misses 3-pt jump shot from 26 ft,107,87
4,5:32.0,,Offensive rebound by Team,107,87
4,5:32.0,Loose ball foul by J. Embiid (drawn by R. Gobert),,107,87
4,5:32.0,,J. Ingles enters the game for D. Exum,107,87
4,5:26.0,,D. Mitchell misses 3-pt jump shot from 26 ft,107,87
4,5:22.0,Defensive rebound by J. Redick,,107,87
4,5:11.0,Turnover by B. Simmons (lost ball; steal by T. Sefolosha),,107,87
4,5:07.0,,T. Sefolosha misses 2-pt dunk from 1 ft (block by J. Embiid),107,87
4,5:04.0,,Offensive rebound by D. Mitchell,107,87
4,5:04.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by D. Mitchell),107,89
4,4:46.0,Turnover by B. Simmons (bad pass; steal by D. Mitchell),,107,89
4,4:41.0,,R. Rubio misses 2-pt layup from 6 ft,107,89
