QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MILWAUKEE_ACTION,CHARLOTTE_SCORE,MILWAUKEE_SCORE
1,5:09.0,Defensive rebound by M. Williams,,14,14
1,5:02.0,M. Williams misses 3-pt jump shot from 28 ft,,14,14
1,4:59.0,,Defensive rebound by T. Snell,14,14
1,4:44.0,,K. Middleton misses 3-pt jump shot from 22 ft,14,14
1,4:41.0,Defensive rebound by M. Williams,,14,14
1,4:36.0,K. Walker makes 2-pt jump shot from 14 ft,,16,14
1,4:28.0,,Turnover by B. Lopez (traveling),16,14
1,4:28.0,M. Bridges enters the game for M. Williams,,16,14
1,4:28.0,,M. Brogdon enters the game for K. Middleton,16,14
1,4:14.0,M. Bridges makes 2-pt dunk from 1 ft (assist by F. Kaminsky),,18,14
1,3:58.0,,B. Lopez misses 3-pt jump shot from 27 ft,18,14
1,3:53.0,,Offensive rebound by P. Connaughton,18,14
1,3:53.0,,P. Connaughton makes 2-pt dunk at rim,18,16
1,3:40.0,N. Batum makes 3-pt jump shot from 27 ft (assist by M. Bridges),,21,16
1,3:27.0,,M. Brogdon misses 2-pt jump shot from 17 ft,21,16
1,3:24.0,Defensive rebound by M. Bridges,,21,16
1,3:18.0,K. Walker makes 3-pt jump shot from 28 ft (assist by M. Bridges),,24,16
1,3:06.0,,M. Brogdon makes 2-pt layup from 2 ft (assist by B. Lopez),24,18
1,2:47.0,Turnover by K. Walker (bad pass; steal by M. Brogdon),,24,18
1,2:43.0,,M. Brogdon makes 2-pt layup from 2 ft,24,20
1,2:42.0,Charlotte full timeout,,24,20
1,2:42.0,D. Graham enters the game for K. Walker,,24,20
1,2:42.0,,E. İlyasova enters the game for B. Lopez,24,20
1,2:20.0,M. Bridges makes 2-pt layup from 2 ft (assist by J. Lamb),,26,20
1,2:08.0,,T. Snell misses 3-pt jump shot from 26 ft,26,20
1,2:05.0,Defensive rebound by M. Bridges,,26,20
1,1:53.0,D. Graham misses 2-pt layup from 1 ft,,26,20
1,1:51.0,,Defensive rebound by N. Mirotić,26,20
1,1:40.0,,Turnover by M. Brogdon (bad pass),26,20
1,1:40.0,,G. Antetokounmpo enters the game for N. Mirotić,26,20
1,1:26.0,F. Kaminsky makes 3-pt jump shot from 25 ft (assist by J. Lamb),,29,20
1,1:02.0,,P. Connaughton misses 3-pt jump shot from 23 ft,29,20
1,1:00.0,Defensive rebound by J. Lamb,,29,20
1,0:51.0,J. Lamb misses 2-pt jump shot from 17 ft,,29,20
1,0:48.0,,Defensive rebound by T. Snell,29,20
1,0:44.0,,T. Snell makes 2-pt layup from 2 ft,29,22
1,0:34.0,J. Lamb misses 3-pt jump shot from 26 ft,,29,22
1,0:31.0,,Defensive rebound by P. Connaughton,29,22
1,0:21.0,,Shooting foul by M. Bridges (drawn by M. Brogdon),29,22
1,0:21.0,,M. Brogdon makes free throw 1 of 2,29,23
1,0:21.0,K. Walker enters the game for N. Batum,,29,23
1,0:21.0,,M. Brogdon makes free throw 2 of 2,29,24
1,0:07.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by K. Walker),,32,24
1,0:00.0,,T. Snell misses 3-pt jump shot from 24 ft,32,24
1,0:00.0,,Offensive rebound by E. İlyasova,32,24
1,0:00.0,,E. İlyasova misses 2-pt layup at rim,32,24
1,0:00.0,,Offensive rebound by Team,32,24
2,11:47.0,J. Lamb misses 3-pt jump shot from 24 ft,,32,24
2,11:40.0,Offensive rebound by M. Bridges,,32,24
2,11:40.0,M. Bridges makes 2-pt layup from 1 ft,,34,24
2,11:21.0,,G. Antetokounmpo makes 2-pt layup from 3 ft,34,26
2,11:03.0,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by J. Lamb),,37,26
2,10:51.0,,T. Snell misses 2-pt layup from 2 ft,37,26
2,10:49.0,Defensive rebound by J. Lamb,,37,26
2,10:42.0,J. Lamb makes 2-pt jump shot from 16 ft (assist by F. Kaminsky),,39,26
2,10:42.0,,E. Bledsoe enters the game for M. Brogdon,39,26
2,10:26.0,,Personal foul by M. Bridges (drawn by G. Antetokounmpo),39,26
2,10:26.0,M. Williams enters the game for M. Bridges,,39,26
2,10:11.0,,Turnover by Team (shot clock),39,26
2,9:55.0,F. Kaminsky misses 2-pt layup from 7 ft,,39,26
2,9:52.0,,Defensive rebound by G. Antetokounmpo,39,26
2,9:50.0,,Turnover by G. Antetokounmpo (traveling),39,26
2,9:50.0,C. Zeller enters the game for F. Kaminsky,,39,26
2,9:50.0,,D. DiVincenzo enters the game for P. Connaughton,39,26
2,9:29.0,M. Williams misses 3-pt jump shot from 29 ft,,39,26
2,9:26.0,,Defensive rebound by E. İlyasova,39,26
2,9:18.0,,D. DiVincenzo makes 3-pt jump shot from 29 ft (assist by G. Antetokounmpo),39,29
2,9:11.0,D. Graham makes 2-pt layup from 1 ft,,41,29
2,9:11.0,Shooting foul by E. İlyasova (drawn by D. Graham),,41,29
2,9:11.0,N. Batum enters the game for J. Lamb,,41,29
2,9:11.0,D. Graham makes free throw 1 of 1,,42,29
2,8:46.0,,E. İlyasova misses 3-pt jump shot from 25 ft,42,29
2,8:43.0,Defensive rebound by M. Williams,,42,29
2,8:39.0,Personal foul by E. İlyasova (drawn by C. Zeller),,42,29
2,8:24.0,N. Batum misses 3-pt jump shot from 26 ft,,42,29
2,8:21.0,,Defensive rebound by G. Antetokounmpo,42,29
2,8:15.0,,E. İlyasova misses 3-pt jump shot from 26 ft,42,29
2,8:13.0,,Offensive rebound by T. Snell,42,29
2,8:09.0,,E. Bledsoe misses 2-pt layup from 2 ft,42,29
2,8:09.0,,Offensive rebound by G. Antetokounmpo,42,29
2,8:05.0,,G. Antetokounmpo makes 2-pt dunk at rim,42,31
2,7:46.0,Shooting foul by G. Antetokounmpo (drawn by C. Zeller),,42,31
2,7:46.0,,B. Lopez enters the game for E. İlyasova,42,31
2,7:46.0,,K. Middleton enters the game for T. Snell,42,31
2,7:46.0,C. Zeller makes free throw 1 of 2,,43,31
2,7:46.0,,T. Snell enters the game for K. Middleton,43,31
2,7:46.0,,Milwaukee full timeout,43,31
2,7:46.0,C. Zeller misses free throw 2 of 2,,43,31
2,7:46.0,,Defensive rebound by G. Antetokounmpo,43,31
2,7:45.0,,Turnover by G. Antetokounmpo (lost ball; steal by C. Zeller),43,31
2,7:45.0,C. Zeller makes 2-pt layup from 1 ft,,45,31
2,7:29.0,,Personal foul by C. Zeller (drawn by G. Antetokounmpo),45,31
2,7:25.0,,D. DiVincenzo makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),45,34
2,7:11.0,D. Graham makes 3-pt jump shot from 26 ft,,48,34
2,7:04.0,,Milwaukee full timeout,48,34
2,6:49.0,,Shooting foul by C. Zeller (drawn by B. Lopez),48,34
2,6:49.0,,B. Lopez makes free throw 1 of 2,48,35
2,6:49.0,,K. Middleton enters the game for G. Antetokounmpo,48,35
2,6:49.0,,N. Mirotić enters the game for T. Snell,48,35
2,6:49.0,,B. Lopez makes free throw 2 of 2,48,36
2,6:34.0,C. Zeller misses 2-pt layup from 3 ft,,48,36
2,6:30.0,,Defensive rebound by D. DiVincenzo,48,36
2,6:30.0,,Shooting foul by D. Bacon (drawn by E. Bledsoe),48,36
2,6:30.0,,E. Bledsoe makes free throw 1 of 2,48,37
2,6:30.0,K. Walker enters the game for D. Graham,,48,37
2,6:30.0,,E. Bledsoe makes free throw 2 of 2,48,38
2,6:14.0,Turnover by K. Walker (lost ball; steal by D. DiVincenzo),,48,38
2,6:00.0,,N. Mirotić misses 3-pt jump shot from 23 ft,48,38
2,5:57.0,,Offensive rebound by B. Lopez,48,38
2,5:53.0,,B. Lopez misses 3-pt jump shot from 25 ft,48,38
2,5:50.0,,Offensive rebound by D. DiVincenzo,48,38
2,5:47.0,,D. DiVincenzo misses 3-pt jump shot from 26 ft,48,38
2,5:39.0,Defensive rebound by Team,,48,38
2,5:28.0,Turnover by D. Bacon (out of bounds lost ball),,48,38
2,5:21.0,,Offensive foul by B. Lopez (drawn by D. Bacon),48,38
2,5:21.0,,Turnover by B. Lopez (offensive foul),48,38
2,5:21.0,F. Kaminsky enters the game for D. Bacon,,48,38
2,5:21.0,J. Lamb enters the game for C. Zeller,,48,38
2,5:09.0,N. Batum makes 2-pt layup from 1 ft,,50,38
2,5:02.0,,B. Lopez makes 2-pt layup from 2 ft (assist by D. DiVincenzo),50,40
2,4:43.0,K. Walker misses 2-pt jump shot from 21 ft,,50,40
2,4:43.0,,Defensive rebound by N. Mirotić,50,40
2,4:35.0,,K. Middleton makes 3-pt jump shot from 28 ft (assist by E. Bledsoe),50,43
2,4:35.0,Charlotte full timeout,,50,43
2,4:23.0,K. Walker misses 2-pt jump shot from 20 ft,,50,43
2,4:19.0,,Defensive rebound by K. Middleton,50,43
2,4:18.0,,Personal foul by K. Walker (drawn by N. Mirotić),50,43
2,4:13.0,,Turnover by K. Middleton (out of bounds lost ball),50,43
2,4:01.0,J. Lamb makes 2-pt jump shot from 15 ft (assist by K. Walker),,52,43
2,3:51.0,,N. Mirotić misses 2-pt jump shot from 21 ft,52,43
2,3:48.0,,Offensive rebound by E. Bledsoe,52,43
2,3:46.0,,E. Bledsoe misses 2-pt layup from 3 ft (block by K. Walker),52,43
2,3:43.0,Defensive rebound by N. Batum,,52,43
2,3:27.0,Turnover by J. Lamb (bad pass; steal by N. Mirotić),,52,43
2,3:20.0,,E. Bledsoe misses 3-pt jump shot from 25 ft,52,43
2,3:18.0,Defensive rebound by N. Batum,,52,43
2,3:08.0,M. Williams misses 2-pt layup from 3 ft,,52,43
2,3:05.0,,Defensive rebound by B. Lopez,52,43
2,2:58.0,,N. Mirotić makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),52,46
2,2:34.0,Turnover by N. Batum (bad pass; steal by E. Bledsoe),,52,46
2,2:28.0,,K. Middleton misses 3-pt jump shot from 28 ft,52,46
2,2:27.0,Defensive rebound by Team,,52,46
2,2:27.0,,G. Antetokounmpo enters the game for E. Bledsoe,52,46
2,2:27.0,,M. Brogdon enters the game for D. DiVincenzo,52,46
2,2:27.0,,P. Connaughton enters the game for B. Lopez,52,46
2,2:17.0,Personal foul by M. Brogdon (drawn by F. Kaminsky),,52,46
2,2:11.0,J. Lamb makes 2-pt jump shot from 14 ft (assist by F. Kaminsky),,54,46
2,2:11.0,Shooting foul by N. Mirotić (drawn by J. Lamb),,54,46
2,2:11.0,J. Lamb makes free throw 1 of 1,,55,46
2,2:03.0,,Personal foul by J. Lamb (drawn by G. Antetokounmpo),55,46
2,2:03.0,,G. Antetokounmpo makes free throw 1 of 2,55,47
2,2:03.0,,G. Antetokounmpo makes free throw 2 of 2,55,48
2,1:52.0,K. Walker misses 3-pt jump shot from 26 ft,,55,48
2,1:49.0,,Defensive rebound by G. Antetokounmpo,55,48
2,1:43.0,,M. Brogdon makes 2-pt layup from 2 ft (assist by N. Mirotić),55,50
2,1:23.0,J. Lamb makes 2-pt jump shot from 9 ft,,57,50
2,1:14.0,,N. Mirotić makes 3-pt jump shot from 27 ft (assist by M. Brogdon),57,53
2,0:56.0,F. Kaminsky misses 2-pt hook shot from 6 ft,,57,53
2,0:55.0,Offensive rebound by N. Batum,,57,53
2,0:55.0,N. Batum makes 2-pt layup from 1 ft,,59,53
2,0:34.0,,N. Mirotić misses 3-pt jump shot from 28 ft,59,53
2,0:32.0,,Offensive rebound by M. Brogdon,59,53
2,0:31.0,,M. Brogdon makes 2-pt layup from 2 ft,59,55
2,0:21.0,K. Walker misses 2-pt jump shot from 15 ft,,59,55
2,0:15.0,Offensive rebound by K. Walker,,59,55
2,0:03.0,K. Walker misses 3-pt jump shot from 27 ft,,59,55
2,0:03.0,,Defensive rebound by G. Antetokounmpo,59,55
3,11:43.0,M. Williams misses 3-pt jump shot from 27 ft,,59,55
3,11:40.0,,Defensive rebound by E. Bledsoe,59,55
3,11:21.0,,K. Middleton misses 3-pt jump shot from 27 ft,59,55
3,11:19.0,Defensive rebound by C. Zeller,,59,55
3,11:09.0,C. Zeller misses 2-pt jump shot from 11 ft,,59,55
3,11:07.0,,Defensive rebound by B. Lopez,59,55
3,10:56.0,,B. Lopez misses 3-pt jump shot from 26 ft,59,55
3,10:53.0,Defensive rebound by M. Bridges,,59,55
3,10:46.0,M. Bridges makes 2-pt layup from 1 ft,,61,55
3,10:32.0,,Shooting foul by M. Williams (drawn by B. Lopez),61,55
3,10:32.0,,B. Lopez makes free throw 1 of 2,61,56
3,10:32.0,,B. Lopez makes free throw 2 of 2,61,57
3,10:16.0,N. Batum misses 3-pt jump shot from 26 ft,,61,57
3,10:13.0,,Defensive rebound by B. Lopez,61,57
3,10:08.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by M. Brogdon),61,59
3,9:53.0,K. Walker makes 2-pt jump shot from 9 ft,,63,59
3,9:41.0,,M. Brogdon misses 2-pt layup from 3 ft,63,59
3,9:38.0,,Offensive rebound by G. Antetokounmpo,63,59
3,9:32.0,,M. Brogdon misses 3-pt jump shot from 23 ft,63,59
3,9:29.0,Defensive rebound by N. Batum,,63,59
3,9:24.0,Shooting foul by B. Lopez (drawn by C. Zeller),,63,59
3,9:24.0,C. Zeller makes free throw 1 of 2,,64,59
3,9:24.0,C. Zeller makes free throw 2 of 2,,65,59
3,9:10.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,65,61
3,8:57.0,N. Batum makes 2-pt layup from 2 ft,,67,61
3,8:44.0,,B. Lopez makes 2-pt layup from 1 ft (assist by M. Brogdon),67,63
3,8:44.0,,Shooting foul by C. Zeller (drawn by B. Lopez),67,63
3,8:44.0,,B. Lopez makes free throw 1 of 1,67,64
3,8:34.0,C. Zeller makes 3-pt jump shot from 29 ft (assist by N. Batum),,70,64
3,8:19.0,,B. Lopez makes 2-pt dunk from 1 ft (assist by G. Antetokounmpo),70,66
3,8:01.0,M. Williams misses 2-pt jump shot from 10 ft (block by G. Antetokounmpo),,70,66
3,7:57.0,,Defensive rebound by K. Middleton,70,66
3,7:55.0,,E. Bledsoe misses 2-pt layup from 1 ft,70,66
3,7:52.0,,Offensive rebound by K. Middleton,70,66
3,7:51.0,,K. Middleton makes 2-pt layup from 2 ft,70,68
3,7:27.0,N. Batum misses 3-pt jump shot from 26 ft,,70,68
3,7:24.0,,Defensive rebound by M. Brogdon,70,68
3,7:23.0,,Offensive foul by G. Antetokounmpo (drawn by K. Walker),70,68
3,7:23.0,,Turnover by G. Antetokounmpo (offensive foul),70,68
3,7:23.0,J. Lamb enters the game for M. Bridges,,70,68
3,7:23.0,,N. Mirotić enters the game for E. Bledsoe,70,68
3,7:11.0,K. Walker makes 3-pt jump shot from 25 ft,,73,68
3,7:11.0,,Milwaukee full timeout,73,68
3,7:11.0,F. Kaminsky enters the game for C. Zeller,,73,68
3,7:11.0,,E. Bledsoe enters the game for M. Brogdon,73,68
3,7:00.0,,N. Mirotić makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),73,71
3,6:41.0,F. Kaminsky misses 3-pt jump shot from 28 ft,,73,71
3,6:38.0,,Defensive rebound by B. Lopez,73,71
3,6:32.0,,Shooting foul by K. Walker (drawn by B. Lopez),73,71
3,6:32.0,,B. Lopez makes free throw 1 of 2,73,72
3,6:32.0,,B. Lopez makes free throw 2 of 2,73,73
3,6:07.0,Turnover by J. Lamb (bad pass; steal by N. Mirotić),,73,73
3,6:03.0,,Turnover by N. Mirotić (bad pass),73,73
3,5:42.0,J. Lamb misses 3-pt jump shot from 28 ft,,73,73
3,5:39.0,,Defensive rebound by N. Mirotić,73,73
3,5:34.0,,G. Antetokounmpo misses 2-pt dunk from 1 ft,73,73
3,5:31.0,Defensive rebound by J. Lamb,,73,73
3,5:19.0,K. Walker misses 2-pt jump shot from 15 ft,,73,73
3,5:16.0,,Defensive rebound by G. Antetokounmpo,73,73
3,5:11.0,,Shooting foul by K. Walker (drawn by E. Bledsoe),73,73
3,5:11.0,,E. Bledsoe misses free throw 1 of 2,73,73
3,5:11.0,,Offensive rebound by Team,73,73
3,5:11.0,D. Graham enters the game for K. Walker,,73,73
3,5:11.0,,P. Connaughton enters the game for G. Antetokounmpo,73,73
3,5:11.0,,E. Bledsoe misses free throw 2 of 2,73,73
3,5:08.0,Defensive rebound by M. Williams,,73,73
3,4:57.0,F. Kaminsky misses 2-pt layup from 2 ft,,73,73
3,4:54.0,,Defensive rebound by N. Mirotić,73,73
3,4:49.0,,Personal foul by M. Williams (drawn by N. Mirotić),73,73
3,4:49.0,,N. Mirotić misses free throw 1 of 2,73,73
3,4:49.0,,Offensive rebound by Team,73,73
3,4:49.0,M. Bridges enters the game for M. Williams,,73,73
3,4:49.0,,M. Brogdon enters the game for E. Bledsoe,73,73
3,4:49.0,,N. Mirotić makes free throw 2 of 2,73,74
3,4:36.0,Shooting foul by P. Connaughton (drawn by F. Kaminsky),,73,74
3,4:36.0,F. Kaminsky makes free throw 1 of 2,,74,74
3,4:36.0,F. Kaminsky makes free throw 2 of 2,,75,74
3,4:22.0,,B. Lopez makes 2-pt hook shot from 2 ft,75,76
3,4:11.0,Personal foul by M. Brogdon (drawn by M. Bridges),,75,76
3,4:11.0,,T. Snell enters the game for K. Middleton,75,76
3,4:05.0,J. Lamb misses 2-pt jump shot from 15 ft,,75,76
3,4:02.0,,Defensive rebound by B. Lopez,75,76
3,3:53.0,,M. Brogdon misses 2-pt layup from 3 ft,75,76
3,3:51.0,Defensive rebound by J. Lamb,,75,76
3,3:46.0,J. Lamb makes 2-pt layup from 2 ft,,77,76
3,3:30.0,,N. Mirotić misses 2-pt hook shot from 5 ft,77,76
3,3:29.0,,Offensive rebound by B. Lopez,77,76
3,3:29.0,,Shooting foul by N. Batum (drawn by B. Lopez),77,76
3,3:29.0,,B. Lopez makes free throw 1 of 2,77,77
3,3:29.0,,E. İlyasova enters the game for N. Mirotić,77,77
3,3:29.0,,B. Lopez makes free throw 2 of 2,77,78
3,3:14.0,J. Lamb misses 3-pt jump shot from 28 ft,,77,78
3,3:11.0,,Defensive rebound by E. İlyasova,77,78
3,3:00.0,,B. Lopez makes 2-pt hook shot from 4 ft,77,80
3,3:00.0,Charlotte full timeout,,77,80
3,3:00.0,D. Bacon enters the game for N. Batum,,77,80
3,3:00.0,,N. Mirotić enters the game for P. Connaughton,77,80
3,2:40.0,F. Kaminsky makes 3-pt jump shot from 27 ft (assist by D. Graham),,80,80
3,2:29.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by E. İlyasova),80,82
3,2:11.0,D. Graham misses 3-pt jump shot from 28 ft,,80,82
3,2:07.0,,Defensive rebound by E. İlyasova,80,82
3,1:51.0,,B. Lopez makes 2-pt hook shot from 2 ft (assist by T. Snell),80,84
3,1:51.0,,Shooting foul by D. Bacon (drawn by B. Lopez),80,84
3,1:51.0,,B. Lopez makes free throw 1 of 1,80,85
3,1:41.0,J. Lamb makes 2-pt jump shot from 10 ft (assist by F. Kaminsky),,82,85
3,1:41.0,Shooting foul by N. Mirotić (drawn by J. Lamb),,82,85
3,1:41.0,,G. Antetokounmpo enters the game for B. Lopez,82,85
3,1:41.0,J. Lamb makes free throw 1 of 1,,83,85
3,1:27.0,,G. Antetokounmpo misses 2-pt layup from 3 ft (block by J. Lamb),83,85
3,1:26.0,,Offensive rebound by E. İlyasova,83,85
3,1:26.0,,E. İlyasova makes 2-pt layup from 1 ft,83,87
3,1:26.0,,Shooting foul by F. Kaminsky (drawn by E. İlyasova),83,87
3,1:26.0,,E. İlyasova makes free throw 1 of 1,83,88
3,1:18.0,Shooting foul by G. Antetokounmpo (drawn by F. Kaminsky),,83,88
3,1:18.0,F. Kaminsky makes free throw 1 of 2,,84,88
3,1:18.0,F. Kaminsky makes free throw 2 of 2,,85,88
3,1:04.0,,T. Snell makes 2-pt dunk from 1 ft (assist by N. Mirotić),85,90
3,0:42.0,Turnover by D. Graham (traveling),,85,90
3,0:30.0,,Shooting foul by M. Bridges (drawn by G. Antetokounmpo),85,90
3,0:30.0,,G. Antetokounmpo makes free throw 1 of 2,85,91
3,0:30.0,,G. Antetokounmpo makes free throw 2 of 2,85,92
3,0:08.0,D. Graham misses 2-pt layup from 4 ft (block by E. İlyasova),,85,92
3,0:08.0,,Defensive rebound by Team,85,92
3,0:08.0,,Personal foul by M. Bridges (drawn by G. Antetokounmpo),85,92
3,0:08.0,,G. Antetokounmpo makes free throw 1 of 2,85,93
3,0:08.0,K. Walker enters the game for M. Bridges,,85,93
3,0:08.0,M. Williams enters the game for D. Graham,,85,93
3,0:08.0,,D. DiVincenzo enters the game for N. Mirotić,85,93
3,0:08.0,,G. Antetokounmpo makes free throw 2 of 2,85,94
3,0:00.0,K. Walker makes 2-pt jump shot from 7 ft,,87,94
4,11:49.0,,Turnover by G. Antetokounmpo (bad pass; steal by D. Bacon),87,94
4,11:37.0,D. Bacon misses 2-pt jump shot from 20 ft,,87,94
4,11:32.0,,Defensive rebound by G. Antetokounmpo,87,94
4,11:30.0,,Shooting foul by M. Williams (drawn by G. Antetokounmpo),87,94
4,11:30.0,,G. Antetokounmpo makes free throw 1 of 2,87,95
4,11:30.0,,G. Antetokounmpo makes free throw 2 of 2,87,96
4,11:10.0,M. Williams misses 2-pt jump shot from 11 ft,,87,96
4,11:10.0,Offensive rebound by Team,,87,96
4,11:10.0,,Loose ball foul by E. İlyasova (drawn by C. Zeller),87,96
4,10:59.0,K. Walker makes 2-pt jump shot from 10 ft,,89,96
4,10:37.0,,G. Antetokounmpo makes 3-pt jump shot from 28 ft,89,99
4,10:24.0,K. Walker makes 2-pt layup from 1 ft (assist by M. Williams),,91,99
4,10:16.0,,G. Antetokounmpo makes 3-pt jump shot from 28 ft,91,102
4,9:56.0,Offensive foul by J. Lamb (drawn by E. İlyasova),,91,102
4,9:56.0,Turnover by J. Lamb (offensive foul),,91,102
4,9:56.0,N. Batum enters the game for D. Bacon,,91,102
4,9:43.0,,Shooting foul by C. Zeller (drawn by G. Antetokounmpo),91,102
4,9:43.0,,G. Antetokounmpo makes free throw 1 of 2,91,103
4,9:43.0,,G. Antetokounmpo makes free throw 2 of 2,91,104
4,9:31.0,M. Williams makes 3-pt jump shot from 28 ft (assist by K. Walker),,94,104
4,9:20.0,,M. Brogdon misses 2-pt layup from 2 ft,94,104
4,9:17.0,Defensive rebound by K. Walker,,94,104
4,9:02.0,K. Walker misses 2-pt jump shot from 16 ft,,94,104
4,8:59.0,,Defensive rebound by D. DiVincenzo,94,104
4,8:53.0,,T. Snell misses 2-pt layup from 1 ft,94,104
4,8:50.0,Defensive rebound by M. Williams,,94,104
4,8:33.0,M. Williams makes 2-pt hook shot from 6 ft,,96,104
4,8:17.0,,M. Brogdon makes 3-pt jump shot from 26 ft,96,107
4,8:17.0,D. Bacon enters the game for J. Lamb,,96,107
4,8:17.0,,E. Bledsoe enters the game for M. Brogdon,96,107
4,8:17.0,,B. Lopez enters the game for E. İlyasova,96,107
4,7:55.0,D. Bacon makes 3-pt jump shot from 23 ft (assist by K. Walker),,99,107
4,7:37.0,,T. Snell misses 2-pt jump shot from 14 ft,99,107
4,7:34.0,Defensive rebound by K. Walker,,99,107
4,7:29.0,Turnover by K. Walker (lost ball; steal by G. Antetokounmpo),,99,107
4,7:23.0,,D. DiVincenzo makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),99,109
4,7:23.0,Charlotte full timeout,,99,109
4,7:23.0,,K. Middleton enters the game for G. Antetokounmpo,99,109
4,7:23.0,,N. Mirotić enters the game for T. Snell,99,109
