QUARTER,TIME_REMAINING,PHOENIX_ACTION,OKLAHOMA CITY_ACTION,PHOENIX_SCORE,OKLAHOMA CITY_SCORE
1,5:10.0,,S. Adams makes 2-pt layup at rim,5,19
1,4:52.0,D. Ayton misses 2-pt layup from 2 ft (block by J. Grant),,5,19
1,4:49.0,,Defensive rebound by S. Adams,5,19
1,4:41.0,,T. Ferguson misses 3-pt jump shot from 25 ft,5,19
1,4:38.0,Defensive rebound by T. Warren,,5,19
1,4:23.0,D. Booker misses 3-pt jump shot from 26 ft,,5,19
1,4:20.0,,Defensive rebound by J. Grant,5,19
1,4:08.0,,S. Adams makes 2-pt layup from 2 ft,5,21
1,4:00.0,Offensive foul by I. Canaan (drawn by D. Schröder),,5,21
1,4:00.0,Turnover by I. Canaan (offensive foul),,5,21
1,4:00.0,,Oklahoma City full timeout,5,21
1,4:00.0,R. Holmes enters the game for T. Ariza,,5,21
1,4:00.0,J. Jackson enters the game for D. Ayton,,5,21
1,4:00.0,E. Okobo enters the game for I. Canaan,,5,21
1,3:49.0,,P. George makes 3-pt jump shot from 26 ft (assist by D. Schröder),5,24
1,3:27.0,J. Jackson misses 3-pt jump shot from 24 ft,,5,24
1,3:24.0,Offensive rebound by R. Holmes,,5,24
1,3:19.0,T. Warren makes 2-pt jump shot from 10 ft (assist by E. Okobo),,7,24
1,3:07.0,,D. Schröder misses 2-pt layup from 2 ft,7,24
1,3:06.0,Defensive rebound by D. Booker,,7,24
1,3:03.0,T. Warren misses 3-pt jump shot from 26 ft,,7,24
1,2:59.0,,Defensive rebound by J. Grant,7,24
1,2:49.0,,S. Adams misses 2-pt hook shot from 3 ft,7,24
1,2:48.0,,Offensive rebound by Team,7,24
1,2:48.0,,Á. Abrines enters the game for S. Adams,7,24
1,2:48.0,,N. Noel enters the game for T. Ferguson,7,24
1,2:36.0,,D. Schröder misses 2-pt layup from 2 ft,7,24
1,2:33.0,Defensive rebound by R. Holmes,,7,24
1,2:26.0,D. Booker makes 2-pt layup from 1 ft,,9,24
1,2:14.0,,P. George makes 3-pt jump shot from 24 ft,9,27
1,1:52.0,D. Booker makes 2-pt layup from 3 ft,,11,27
1,1:39.0,,D. Schröder misses 2-pt jump shot from 6 ft,11,27
1,1:38.0,,Offensive rebound by Team,11,27
1,1:38.0,Loose ball foul by R. Holmes (drawn by N. Noel),,11,27
1,1:38.0,,R. Felton enters the game for J. Grant,11,27
1,1:38.0,,P. Patterson enters the game for D. Schröder,11,27
1,1:28.0,,P. George misses 2-pt jump shot from 12 ft,11,27
1,1:25.0,,Offensive rebound by N. Noel,11,27
1,1:25.0,,N. Noel misses 2-pt layup at rim,11,27
1,1:24.0,Defensive rebound by R. Holmes,,11,27
1,1:15.0,D. Booker misses 2-pt layup from 2 ft,,11,27
1,1:13.0,Offensive rebound by R. Holmes,,11,27
1,1:11.0,R. Holmes misses 2-pt layup from 2 ft (block by Á. Abrines),,11,27
1,1:08.0,,Defensive rebound by P. George,11,27
1,1:02.0,,P. Patterson makes 3-pt jump shot from 25 ft (assist by Á. Abrines),11,30
1,0:43.0,R. Holmes makes 2-pt dunk from 2 ft (assist by D. Booker),,13,30
1,0:35.0,,N. Noel makes 2-pt jump shot from 7 ft (assist by P. George),13,32
1,0:13.0,D. Booker misses 3-pt jump shot from 28 ft,,13,32
1,0:11.0,,Defensive rebound by N. Noel,13,32
1,0:00.0,,P. George misses 3-pt jump shot from 26 ft,13,32
1,0:00.0,,Offensive rebound by Team,13,32
2,11:46.0,J. Jackson makes 2-pt layup from 4 ft (assist by E. Okobo),,15,32
2,11:34.0,,Shooting foul by T. Ariza (drawn by Á. Abrines),15,32
2,11:34.0,,Á. Abrines makes free throw 1 of 2,15,33
2,11:34.0,,Á. Abrines makes free throw 2 of 2,15,34
2,11:25.0,Shooting foul by Á. Abrines (drawn by M. Bridges),,15,34
2,11:25.0,M. Bridges makes free throw 1 of 2,,16,34
2,11:25.0,M. Bridges makes free throw 2 of 2,,17,34
2,11:16.0,,Á. Abrines makes 3-pt jump shot from 25 ft (assist by P. Patterson),17,37
2,11:04.0,Personal foul by Á. Abrines (drawn by R. Holmes),,17,37
2,10:53.0,R. Holmes makes 2-pt dunk from 1 ft (assist by E. Okobo),,19,37
2,10:37.0,,H. Diallo makes 2-pt layup from 1 ft,19,39
2,10:37.0,,Shooting foul by R. Holmes (drawn by H. Diallo),19,39
2,10:37.0,,H. Diallo makes free throw 1 of 1,19,40
2,10:20.0,Turnover by M. Bridges (lost ball; steal by R. Felton),,19,40
2,10:13.0,,R. Felton misses 3-pt jump shot from 26 ft,19,40
2,10:13.0,Defensive rebound by R. Holmes,,19,40
2,10:03.0,Shooting foul by H. Diallo (drawn by J. Jackson),,19,40
2,10:03.0,J. Jackson misses free throw 1 of 2,,19,40
2,10:03.0,Offensive rebound by Team,,19,40
2,10:03.0,J. Jackson misses free throw 2 of 2,,19,40
2,10:01.0,Offensive rebound by Team,,19,40
2,9:57.0,Personal foul by H. Diallo (drawn by R. Holmes),,19,40
2,9:50.0,J. Jackson misses 3-pt jump shot from 25 ft,,19,40
2,9:47.0,,Defensive rebound by Á. Abrines,19,40
2,9:39.0,,Personal foul by M. Bridges (drawn by Á. Abrines),19,40
2,9:29.0,,N. Noel makes 2-pt dunk from 1 ft (assist by R. Felton),19,42
2,9:03.0,E. Okobo misses 3-pt jump shot from 25 ft,,19,42
2,9:01.0,Offensive rebound by R. Holmes,,19,42
2,9:01.0,R. Holmes makes 2-pt layup from 2 ft,,21,42
2,8:49.0,,N. Noel misses 2-pt jump shot from 8 ft,21,42
2,8:46.0,Defensive rebound by J. Jackson,,21,42
2,8:41.0,J. Jackson misses 2-pt layup from 2 ft,,21,42
2,8:40.0,,Defensive rebound by H. Diallo,21,42
2,8:40.0,,Personal take foul by E. Okobo (drawn by H. Diallo),21,42
2,8:40.0,D. Ayton enters the game for R. Holmes,,21,42
2,8:40.0,D. Booker enters the game for J. Jackson,,21,42
2,8:28.0,,H. Diallo makes 2-pt layup from 1 ft (assist by R. Felton),21,44
2,8:18.0,E. Okobo makes 2-pt jump shot from 8 ft,,23,44
2,8:18.0,,D. Schröder enters the game for R. Felton,23,44
2,7:55.0,,Á. Abrines misses 3-pt jump shot from 25 ft,23,44
2,7:52.0,Defensive rebound by Team,,23,44
2,7:34.0,D. Ayton makes 2-pt hook shot from 4 ft,,25,44
2,7:13.0,,H. Diallo misses 2-pt layup from 1 ft,25,44
2,7:12.0,Defensive rebound by D. Ayton,,25,44
2,6:56.0,M. Bridges makes 2-pt layup from 1 ft (assist by E. Okobo),,27,44
2,6:40.0,,H. Diallo misses 2-pt jump shot from 4 ft,27,44
2,6:39.0,,Offensive rebound by Team,27,44
2,6:39.0,Loose ball foul by D. Booker (drawn by N. Noel),,27,44
2,6:39.0,,Oklahoma City full timeout,27,44
2,6:39.0,T. Warren enters the game for E. Okobo,,27,44
2,6:39.0,,P. George enters the game for Á. Abrines,27,44
2,6:39.0,,N. Noel makes free throw 1 of 2,27,45
2,6:39.0,,N. Noel makes free throw 2 of 2,27,46
2,6:21.0,D. Ayton makes 2-pt layup from 2 ft,,29,46
2,6:10.0,,D. Schröder misses 2-pt layup from 2 ft,29,46
2,6:08.0,,Offensive rebound by Team,29,46
2,6:08.0,,S. Adams enters the game for N. Noel,29,46
2,6:05.0,,D. Schröder misses 2-pt layup from 1 ft,29,46
2,6:02.0,Defensive rebound by M. Bridges,,29,46
2,5:45.0,T. Ariza misses 3-pt jump shot from 22 ft,,29,46
2,5:43.0,,Defensive rebound by D. Schröder,29,46
2,5:33.0,,H. Diallo misses 3-pt jump shot from 23 ft,29,46
2,5:29.0,Defensive rebound by T. Ariza,,29,46
2,5:24.0,D. Booker misses 2-pt jump shot from 11 ft,,29,46
2,5:21.0,,Defensive rebound by D. Schröder,29,46
2,5:15.0,,D. Schröder misses 2-pt jump shot from 16 ft,29,46
2,5:12.0,Defensive rebound by D. Ayton,,29,46
2,5:01.0,T. Warren misses 2-pt layup from 1 ft (block by S. Adams),,29,46
2,5:01.0,,Defensive rebound by Team,29,46
2,5:01.0,,Oklahoma City full timeout,29,46
2,5:01.0,I. Canaan enters the game for M. Bridges,,29,46
2,5:01.0,,T. Ferguson enters the game for H. Diallo,29,46
2,5:01.0,,J. Grant enters the game for P. Patterson,29,46
2,4:49.0,,S. Adams misses 2-pt layup at rim (block by T. Ariza),29,46
2,4:47.0,,Offensive rebound by J. Grant,29,46
2,4:47.0,,P. George makes 3-pt jump shot from 25 ft (assist by D. Schröder),29,49
2,4:20.0,T. Ariza misses 3-pt jump shot from 25 ft,,29,49
2,4:18.0,,Defensive rebound by J. Grant,29,49
2,4:11.0,,S. Adams makes 2-pt dunk at rim (assist by D. Schröder),29,51
2,3:53.0,Shooting foul by D. Schröder (drawn by D. Booker),,29,51
2,3:53.0,D. Booker makes free throw 1 of 2,,30,51
2,3:53.0,J. Crawford enters the game for T. Ariza,,30,51
2,3:53.0,D. Booker makes free throw 2 of 2,,31,51
2,3:42.0,,P. George makes 2-pt jump shot from 11 ft,31,53
2,3:23.0,T. Warren makes 2-pt jump shot from 12 ft (assist by D. Booker),,33,53
2,3:13.0,,Shooting foul by I. Canaan (drawn by D. Schröder),33,53
2,3:13.0,,D. Schröder makes free throw 1 of 2,33,54
2,3:13.0,,D. Schröder makes free throw 2 of 2,33,55
2,2:57.0,Turnover by D. Booker (bad pass; steal by S. Adams),,33,55
2,2:53.0,,P. George makes 3-pt jump shot from 25 ft,33,58
2,2:51.0,Phoenix full timeout,,33,58
2,2:31.0,Turnover by D. Ayton (lost ball; steal by D. Schröder),,33,58
2,2:20.0,,T. Ferguson misses 2-pt jump shot from 8 ft,33,58
2,2:16.0,Defensive rebound by I. Canaan,,33,58
2,2:10.0,I. Canaan misses 3-pt jump shot from 25 ft,,33,58
2,2:08.0,,Defensive rebound by J. Grant,33,58
2,1:58.0,,P. George misses 3-pt jump shot from 24 ft,33,58
2,1:56.0,Defensive rebound by J. Crawford,,33,58
2,1:47.0,Turnover by D. Ayton (lost ball; steal by D. Schröder),,33,58
2,1:43.0,,Shooting foul by D. Booker (drawn by J. Grant),33,58
2,1:43.0,,J. Grant makes free throw 1 of 2,33,59
2,1:43.0,M. Bridges enters the game for D. Ayton,,33,59
2,1:43.0,R. Holmes enters the game for D. Booker,,33,59
2,1:43.0,,J. Grant misses free throw 2 of 2,33,59
2,1:42.0,,Offensive rebound by S. Adams,33,59
2,1:41.0,,S. Adams makes 2-pt layup at rim,33,61
2,1:23.0,I. Canaan misses 2-pt layup from 2 ft,,33,61
2,1:21.0,,Defensive rebound by P. George,33,61
2,1:14.0,,Turnover by P. George (traveling),33,61
2,1:00.0,R. Holmes makes 2-pt hook shot from 6 ft (assist by M. Bridges),,35,61
2,0:54.0,,Turnover by J. Grant (bad pass; steal by M. Bridges),35,61
2,0:53.0,Shooting foul by P. George (drawn by M. Bridges),,35,61
2,0:53.0,M. Bridges makes free throw 1 of 2,,36,61
2,0:53.0,M. Bridges makes free throw 2 of 2,,37,61
2,0:35.0,,D. Schröder misses 2-pt layup from 1 ft (block by M. Bridges),37,61
2,0:35.0,,Offensive rebound by Team,37,61
2,0:34.0,,P. George makes 3-pt jump shot from 23 ft (assist by D. Schröder),37,64
2,0:11.0,J. Crawford makes 3-pt jump shot from 28 ft (assist by I. Canaan),,40,64
2,0:01.0,,D. Schröder misses 2-pt layup from 3 ft,40,64
2,0:01.0,,Offensive rebound by Team,40,64
3,11:40.0,T. Ariza makes 3-pt jump shot from 26 ft (assist by D. Booker),,43,64
3,11:23.0,,P. George makes 3-pt jump shot from 26 ft (assist by D. Schröder),43,67
3,11:05.0,T. Warren makes 2-pt jump shot from 11 ft (assist by D. Ayton),,45,67
3,10:43.0,,D. Schröder misses 2-pt layup from 4 ft,45,67
3,10:39.0,,Offensive rebound by T. Ferguson,45,67
3,10:37.0,,T. Ferguson misses 2-pt jump shot from 17 ft,45,67
3,10:36.0,Defensive rebound by D. Ayton,,45,67
3,10:30.0,D. Booker makes 2-pt jump shot from 11 ft,,47,67
3,10:14.0,,J. Grant makes 3-pt jump shot from 26 ft (assist by P. George),47,70
3,10:00.0,T. Warren makes 2-pt layup at rim (assist by I. Canaan),,49,70
3,10:00.0,,Oklahoma City full timeout,49,70
3,9:38.0,,D. Schröder misses 2-pt layup from 2 ft (block by D. Ayton),49,70
3,9:38.0,,Offensive rebound by Team,49,70
3,9:38.0,,Offensive foul by P. George (drawn by T. Ariza),49,70
3,9:38.0,,Turnover by P. George (offensive foul),49,70
3,9:22.0,T. Ariza makes 2-pt layup from 1 ft (assist by I. Canaan),,51,70
3,9:03.0,,T. Ferguson misses 3-pt jump shot from 26 ft,51,70
3,9:02.0,,Offensive rebound by S. Adams,51,70
3,9:02.0,,S. Adams misses 2-pt layup from 1 ft,51,70
3,9:01.0,Defensive rebound by T. Ariza,,51,70
3,8:47.0,D. Booker makes 2-pt layup from 1 ft,,53,70
3,8:36.0,,D. Schröder makes 2-pt layup from 1 ft,53,72
3,8:16.0,D. Booker makes 2-pt jump shot from 10 ft (assist by T. Ariza),,55,72
3,8:04.0,,D. Schröder makes 3-pt jump shot from 26 ft (assist by P. George),55,75
3,7:34.0,T. Ariza misses 3-pt jump shot from 25 ft,,55,75
3,7:31.0,,Defensive rebound by S. Adams,55,75
3,7:26.0,,D. Schröder makes 3-pt jump shot from 27 ft (assist by P. George),55,78
3,7:25.0,Phoenix full timeout,,55,78
3,7:25.0,,Á. Abrines enters the game for T. Ferguson,55,78
3,7:06.0,T. Warren makes 3-pt jump shot from 23 ft (assist by D. Booker),,58,78
3,6:37.0,,J. Grant makes 2-pt jump shot from 11 ft (assist by Á. Abrines),58,80
3,6:13.0,I. Canaan misses 3-pt jump shot from 24 ft,,58,80
3,6:10.0,,Defensive rebound by J. Grant,58,80
3,6:08.0,,Personal foul by D. Ayton (drawn by S. Adams),58,80
3,6:08.0,M. Bridges enters the game for T. Ariza,,58,80
3,5:56.0,,Turnover by D. Schröder (lost ball; steal by I. Canaan),58,80
3,5:52.0,M. Bridges misses 2-pt layup from 2 ft,,58,80
3,5:48.0,,Defensive rebound by Á. Abrines,58,80
3,5:45.0,,Á. Abrines misses 3-pt jump shot from 26 ft,58,80
3,5:41.0,Defensive rebound by T. Warren,,58,80
3,5:34.0,D. Ayton makes 2-pt dunk from 1 ft (assist by D. Booker),,60,80
3,5:21.0,,P. George makes 2-pt jump shot from 17 ft (assist by S. Adams),60,82
3,5:06.0,Shooting foul by D. Schröder (drawn by I. Canaan),,60,82
3,5:06.0,I. Canaan misses free throw 1 of 2,,60,82
3,5:06.0,Offensive rebound by Team,,60,82
3,5:06.0,I. Canaan makes free throw 2 of 2,,61,82
3,4:48.0,,D. Schröder makes 2-pt layup from 1 ft,61,84
3,4:24.0,Turnover by M. Bridges (step out of bounds),,61,84
3,4:24.0,Phoenix full timeout,,61,84
3,4:24.0,J. Crawford enters the game for D. Booker,,61,84
3,4:14.0,,P. George misses 3-pt jump shot from 26 ft,61,84
3,4:10.0,Defensive rebound by D. Ayton,,61,84
3,4:04.0,M. Bridges makes 2-pt layup from 1 ft (assist by J. Crawford),,63,84
3,3:52.0,,Offensive foul by S. Adams (drawn by M. Bridges),63,84
3,3:52.0,,Turnover by S. Adams (offensive foul),63,84
3,3:40.0,J. Crawford makes 2-pt jump shot from 19 ft,,65,84
3,3:24.0,,Turnover by S. Adams (lost ball; steal by T. Warren),65,84
3,3:03.0,T. Warren misses 2-pt layup from 11 ft,,65,84
3,3:01.0,Offensive rebound by D. Ayton,,65,84
3,2:59.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by D. Ayton),,68,84
3,2:43.0,,Technical foul by D. Schröder,68,84
3,2:43.0,J. Crawford makes technical free throw,,69,84
3,2:40.0,,P. George misses 3-pt jump shot from 26 ft,69,84
3,2:37.0,,Offensive rebound by S. Adams,69,84
3,2:35.0,,Turnover by S. Adams (bad pass),69,84
3,2:35.0,E. Okobo enters the game for I. Canaan,,69,84
3,2:35.0,,R. Felton enters the game for D. Schröder,69,84
3,2:29.0,Offensive foul by J. Crawford (drawn by Á. Abrines),,69,84
3,2:29.0,Turnover by J. Crawford (offensive foul),,69,84
3,2:16.0,,Turnover by R. Felton (bad pass),69,84
3,2:01.0,Shooting foul by Á. Abrines (drawn by J. Crawford),,69,84
3,2:01.0,J. Crawford makes free throw 1 of 2,,70,84
3,2:01.0,J. Crawford makes free throw 2 of 2,,71,84
3,1:44.0,,P. George misses 2-pt jump shot from 17 ft,71,84
3,1:42.0,Defensive rebound by M. Bridges,,71,84
3,1:40.0,Turnover by M. Bridges (lost ball; steal by Á. Abrines),,71,84
3,1:25.0,,J. Grant misses 2-pt hook shot from 4 ft,71,84
3,1:24.0,Defensive rebound by M. Bridges,,71,84
3,1:22.0,Offensive foul by D. Ayton (drawn by Á. Abrines),,71,84
3,1:22.0,Turnover by D. Ayton (offensive foul),,71,84
3,1:22.0,,P. Patterson enters the game for J. Grant,71,84
3,1:09.0,,P. George misses 2-pt jump shot from 13 ft,71,84
3,1:06.0,Defensive rebound by D. Ayton,,71,84
3,0:58.0,Shooting foul by Á. Abrines (drawn by M. Bridges),,71,84
3,0:58.0,M. Bridges makes free throw 1 of 2,,72,84
3,0:58.0,M. Bridges makes free throw 2 of 2,,73,84
3,0:45.0,,R. Felton makes 2-pt jump shot from 17 ft,73,86
3,0:30.0,D. Ayton makes 2-pt dunk at rim (assist by J. Crawford),,75,86
3,0:06.0,,Turnover by Team (shot clock),75,86
3,0:00.0,J. Crawford misses 3-pt jump shot from 26 ft,,75,86
3,0:00.0,Offensive rebound by Team,,75,86
4,11:49.0,,R. Felton misses 2-pt jump shot from 16 ft,75,86
4,11:46.0,Defensive rebound by D. Booker,,75,86
4,11:42.0,M. Bridges misses 3-pt jump shot from 25 ft,,75,86
4,11:39.0,,Defensive rebound by N. Noel,75,86
4,11:33.0,,Á. Abrines makes 3-pt jump shot from 25 ft (assist by R. Felton),75,89
4,11:13.0,D. Booker misses 2-pt jump shot from 10 ft,,75,89
4,11:12.0,,Defensive rebound by R. Felton,75,89
4,11:09.0,,Á. Abrines misses 3-pt jump shot from 24 ft,75,89
4,11:04.0,Defensive rebound by T. Warren,,75,89
4,10:59.0,J. Crawford makes 2-pt jump shot from 11 ft,,77,89
4,10:39.0,,R. Felton misses 2-pt layup from 3 ft (block by T. Warren),77,89
4,10:38.0,Defensive rebound by T. Warren,,77,89
4,10:30.0,Turnover by J. Crawford (bad pass; steal by Á. Abrines),,77,89
4,10:17.0,,Á. Abrines misses 3-pt jump shot from 26 ft,77,89
4,10:13.0,Defensive rebound by R. Holmes,,77,89
4,10:09.0,T. Warren makes 2-pt layup from 2 ft,,79,89
4,10:09.0,,Oklahoma City full timeout,79,89
4,9:55.0,,H. Diallo misses 2-pt layup from 2 ft,79,89
4,9:52.0,,Offensive rebound by N. Noel,79,89
4,9:47.0,,Shooting foul by R. Holmes (drawn by H. Diallo),79,89
4,9:47.0,,H. Diallo makes free throw 1 of 2,79,90
4,9:47.0,,H. Diallo makes free throw 2 of 2,79,91
4,9:30.0,D. Booker misses 2-pt layup from 3 ft (block by N. Noel),,79,91
4,9:27.0,Offensive rebound by M. Bridges,,79,91
4,9:22.0,T. Warren makes 2-pt jump shot from 12 ft,,81,91
4,9:15.0,,Personal foul by M. Bridges (drawn by R. Felton),81,91
4,9:15.0,,D. Schröder enters the game for R. Felton,81,91
4,9:06.0,,Turnover by Á. Abrines (bad pass; steal by T. Warren),81,91
4,9:02.0,T. Warren makes 2-pt layup from 1 ft (assist by M. Bridges),,83,91
4,8:49.0,,Personal foul by M. Bridges (drawn by D. Schröder),83,91
4,8:43.0,,D. Schröder misses 2-pt jump shot from 14 ft,83,91
4,8:38.0,Defensive rebound by T. Warren,,83,91
4,8:35.0,J. Crawford misses 3-pt jump shot from 25 ft,,83,91
4,8:35.0,,Defensive rebound by N. Noel,83,91
4,8:21.0,,H. Diallo makes 2-pt dunk at rim (assist by N. Noel),83,93
4,8:04.0,M. Bridges misses 3-pt jump shot from 25 ft,,83,93
4,8:00.0,Offensive rebound by D. Booker,,83,93
4,7:57.0,J. Crawford makes 3-pt jump shot from 25 ft (assist by D. Booker),,86,93
4,7:41.0,,N. Noel misses 2-pt jump shot from 13 ft,86,93
4,7:39.0,,Offensive rebound by P. Patterson,86,93
4,7:38.0,,P. Patterson makes 2-pt layup from 2 ft,86,95
4,7:38.0,Loose ball foul by R. Holmes (drawn by N. Noel),,86,95
4,7:38.0,,N. Noel makes free throw 1 of 1,86,96
4,7:38.0,D. Ayton enters the game for R. Holmes,,86,96
4,7:23.0,Turnover by J. Crawford (out of bounds lost ball),,86,96
4,7:23.0,,S. Adams enters the game for Á. Abrines,86,96
4,7:23.0,,T. Ferguson enters the game for N. Noel,86,96
4,7:16.0,,D. Schröder misses 2-pt jump shot from 13 ft,86,96
4,7:14.0,,Offensive rebound by S. Adams,86,96
4,7:13.0,,S. Adams makes 2-pt layup from 1 ft,86,98
4,7:10.0,,Violation by Team (delay of game),86,98
4,6:53.0,D. Booker misses 2-pt layup from 4 ft (block by T. Ferguson),,86,98
4,6:47.0,Offensive rebound by D. Booker,,86,98
4,6:46.0,D. Booker makes 2-pt jump shot from 2 ft,,88,98
4,6:35.0,,P. Patterson misses 3-pt jump shot from 22 ft,88,98
4,6:32.0,Defensive rebound by J. Crawford,,88,98
4,6:32.0,Turnover by J. Crawford (bad pass; steal by H. Diallo),,88,98
4,6:32.0,,Turnover by H. Diallo (step out of bounds),88,98
4,6:32.0,T. Ariza enters the game for M. Bridges,,88,98
4,6:32.0,,P. George enters the game for H. Diallo,88,98
4,6:32.0,,J. Grant enters the game for P. Patterson,88,98
4,6:18.0,Turnover by D. Ayton (lost ball; steal by S. Adams),,88,98
4,6:11.0,,Shooting foul by D. Ayton (drawn by D. Schröder),88,98
4,6:11.0,,D. Schröder makes free throw 1 of 2,88,99
4,6:11.0,,D. Schröder makes free throw 2 of 2,88,100
4,5:57.0,D. Ayton makes 2-pt dunk from 1 ft (assist by T. Ariza),,90,100
4,5:43.0,,D. Schröder makes 2-pt jump shot from 20 ft,90,102
4,5:28.0,Turnover by D. Booker (lost ball; steal by S. Adams),,90,102
4,5:24.0,,J. Grant makes 2-pt dunk at rim (assist by D. Schröder),90,104
4,5:24.0,Phoenix full timeout,,90,104
4,5:24.0,M. Bridges enters the game for J. Crawford,,90,104
4,5:21.0,D. Booker misses 2-pt jump shot from 7 ft,,90,104
4,5:18.0,,Defensive rebound by J. Grant,90,104
4,5:05.0,,S. Adams makes 2-pt dunk from 1 ft (assist by D. Schröder),90,106
4,4:40.0,M. Bridges misses 2-pt jump shot from 10 ft,,90,106
4,4:38.0,,Defensive rebound by P. George,90,106
4,4:24.0,,P. George misses 2-pt jump shot from 12 ft,90,106
4,4:20.0,,Offensive rebound by P. George,90,106
4,4:20.0,,P. George makes 2-pt layup from 1 ft,90,108
4,4:08.0,M. Bridges misses 3-pt jump shot from 25 ft,,90,108
4,4:06.0,,Defensive rebound by P. George,90,108
4,3:48.0,,J. Grant misses 3-pt jump shot from 23 ft,90,108
4,3:42.0,Defensive rebound by T. Warren,,90,108
4,3:30.0,T. Warren makes 2-pt jump shot from 5 ft (assist by M. Bridges),,92,108
4,3:13.0,,Personal foul by M. Bridges (drawn by D. Schröder),92,108
4,3:13.0,,D. Schröder makes free throw 1 of 2,92,109
4,3:13.0,,D. Schröder makes free throw 2 of 2,92,110
4,2:57.0,Turnover by T. Warren (lost ball; steal by S. Adams),,92,110
4,2:55.0,,J. Grant makes 2-pt dunk at rim (assist by P. George),92,112
4,2:54.0,Phoenix full timeout,,92,112
4,2:38.0,Shooting foul by T. Ferguson (drawn by D. Booker),,92,112
4,2:38.0,D. Booker makes free throw 1 of 2,,93,112
4,2:38.0,D. Booker makes free throw 2 of 2,,94,112
4,2:26.0,,P. George makes 2-pt jump shot from 19 ft,94,114
4,2:16.0,Personal foul by T. Ferguson (drawn by D. Booker),,94,114
4,2:16.0,J. Crawford enters the game for T. Warren,,94,114
4,2:05.0,D. Booker misses 2-pt jump shot from 9 ft,,94,114
4,2:03.0,Offensive rebound by D. Ayton,,94,114
4,2:01.0,J. Crawford misses 3-pt jump shot from 25 ft,,94,114
4,1:58.0,,Defensive rebound by P. George,94,114
4,1:43.0,,Personal foul by T. Ariza (drawn by P. George),94,114
4,1:43.0,,P. George makes free throw 1 of 2,94,115
4,1:43.0,,N. Noel enters the game for S. Adams,94,115
