QUARTER,TIME_REMAINING,BROOKLYN_ACTION,UTAH_ACTION,BROOKLYN_SCORE,UTAH_SCORE
1,7:23.0,Defensive rebound by J. Harris,,9,7
1,7:19.0,J. Harris misses 3-pt jump shot from 25 ft,,9,7
1,7:16.0,,Defensive rebound by R. Gobert,9,7
1,7:09.0,,Utah full timeout,9,7
1,7:09.0,S. Dinwiddie enters the game for C. LeVert,,9,7
1,7:09.0,,J. Crowder enters the game for D. Favors,9,7
1,7:09.0,,R. O'Neale enters the game for J. Ingles,9,7
1,7:07.0,,D. Mitchell makes 3-pt jump shot from 26 ft (assist by R. Rubio),9,10
1,6:42.0,R. Kurucs makes 3-pt jump shot from 23 ft (assist by D. Russell),,12,10
1,6:25.0,,Shooting foul by J. Allen (drawn by R. Gobert),12,10
1,6:25.0,,R. Gobert makes free throw 1 of 2,12,11
1,6:25.0,,K. Korver enters the game for R. Rubio,12,11
1,6:25.0,,R. Gobert misses free throw 2 of 2,12,11
1,6:24.0,Defensive rebound by J. Allen,,12,11
1,6:15.0,D. Russell misses 2-pt jump shot from 11 ft,,12,11
1,6:13.0,Offensive rebound by D. Russell,,12,11
1,6:00.0,Shooting foul by K. Korver (drawn by J. Harris),,12,11
1,6:00.0,J. Harris makes free throw 1 of 2,,13,11
1,6:00.0,J. Harris makes free throw 2 of 2,,14,11
1,5:50.0,,K. Korver misses 3-pt jump shot from 26 ft,14,11
1,5:48.0,Defensive rebound by D. Russell,,14,11
1,5:43.0,D. Russell makes 2-pt jump shot from 15 ft,,16,11
1,5:32.0,,D. Mitchell misses 2-pt jump shot from 16 ft,16,11
1,5:32.0,Defensive rebound by J. Allen,,16,11
1,5:24.0,D. Russell misses 3-pt jump shot from 25 ft,,16,11
1,5:22.0,,Defensive rebound by R. Gobert,16,11
1,5:05.0,,Turnover by R. Gobert (bad pass; steal by S. Dinwiddie),16,11
1,4:59.0,R. Kurucs makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),,19,11
1,4:42.0,,R. Gobert makes 2-pt dunk from 3 ft (assist by D. Mitchell),19,13
1,4:34.0,Shooting foul by D. Mitchell (drawn by S. Dinwiddie),,19,13
1,4:34.0,S. Dinwiddie makes free throw 1 of 2,,20,13
1,4:34.0,E. Davis enters the game for J. Allen,,20,13
1,4:34.0,S. Dinwiddie makes free throw 2 of 2,,21,13
1,4:23.0,,D. Mitchell makes 3-pt jump shot from 28 ft,21,16
1,4:10.0,J. Harris misses 2-pt layup from 3 ft,,21,16
1,4:08.0,,Defensive rebound by R. O'Neale,21,16
1,4:04.0,,J. Crowder makes 2-pt dunk from 1 ft (assist by R. O'Neale),21,18
1,4:03.0,Brooklyn full timeout,,21,18
1,4:03.0,D. Carroll enters the game for R. Kurucs,,21,18
1,4:03.0,T. Graham enters the game for D. Russell,,21,18
1,3:45.0,S. Dinwiddie misses 2-pt layup from 2 ft (block by R. Gobert),,21,18
1,3:43.0,,Defensive rebound by D. Mitchell,21,18
1,3:39.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Mitchell),21,20
1,3:19.0,S. Dinwiddie misses 2-pt layup from 5 ft,,21,20
1,3:16.0,,Defensive rebound by K. Korver,21,20
1,3:03.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by R. Gobert),21,23
1,2:40.0,E. Davis misses 2-pt jump shot from 4 ft,,21,23
1,2:38.0,,Defensive rebound by R. Gobert,21,23
1,2:28.0,,R. Gobert makes 2-pt layup from 3 ft (assist by D. Mitchell),21,25
1,2:15.0,S. Dinwiddie misses 2-pt jump shot from 16 ft,,21,25
1,2:12.0,,Defensive rebound by R. Gobert,21,25
1,2:06.0,,K. Korver makes 3-pt jump shot from 23 ft (assist by R. O'Neale),21,28
1,1:47.0,D. Carroll misses 3-pt jump shot from 25 ft,,21,28
1,1:45.0,,Defensive rebound by R. O'Neale,21,28
1,1:36.0,,D. Mitchell misses 2-pt layup from 3 ft,21,28
1,1:34.0,Defensive rebound by E. Davis,,21,28
1,1:26.0,Offensive foul by S. Dinwiddie (drawn by R. O'Neale),,21,28
1,1:26.0,Turnover by S. Dinwiddie (offensive foul),,21,28
1,1:26.0,C. LeVert enters the game for J. Harris,,21,28
1,1:26.0,,D. Favors enters the game for R. Gobert,21,28
1,1:26.0,,J. Ingles enters the game for D. Mitchell,21,28
1,1:26.0,,R. Neto enters the game for R. O'Neale,21,28
1,1:12.0,,J. Crowder misses 3-pt jump shot from 22 ft,21,28
1,1:09.0,Defensive rebound by D. Carroll,,21,28
1,0:55.0,S. Dinwiddie misses 3-pt jump shot from 23 ft,,21,28
1,0:53.0,,Defensive rebound by K. Korver,21,28
1,0:38.0,,J. Crowder misses 3-pt jump shot from 26 ft,21,28
1,0:35.0,Defensive rebound by E. Davis,,21,28
1,0:29.0,C. LeVert misses 3-pt jump shot from 25 ft,,21,28
1,0:25.0,,Defensive rebound by D. Favors,21,28
1,0:04.0,,D. Favors misses 2-pt jump shot from 9 ft,21,28
1,0:02.0,Defensive rebound by E. Davis,,21,28
2,11:47.0,,K. Korver misses 3-pt jump shot from 25 ft,21,28
2,11:44.0,Defensive rebound by D. Carroll,,21,28
2,11:34.0,D. Russell misses 2-pt layup from 7 ft,,21,28
2,11:31.0,,Defensive rebound by D. Favors,21,28
2,11:24.0,,Shooting foul by E. Davis (drawn by D. Favors),21,28
2,11:24.0,,D. Favors misses free throw 1 of 2,21,28
2,11:24.0,,Offensive rebound by Team,21,28
2,11:24.0,,D. Favors makes free throw 2 of 2,21,29
2,11:13.0,D. Russell misses 3-pt jump shot from 27 ft,,21,29
2,11:10.0,,Defensive rebound by J. Crowder,21,29
2,11:01.0,,R. Neto misses 2-pt layup from 3 ft,21,29
2,10:58.0,,Offensive rebound by D. Favors,21,29
2,10:58.0,,D. Favors misses 2-pt layup at rim,21,29
2,10:57.0,,D. Favors makes 2-pt layup at rim,21,31
2,10:57.0,,Offensive rebound by D. Favors,21,31
2,10:42.0,C. LeVert misses 2-pt layup from 4 ft,,21,31
2,10:41.0,,Defensive rebound by J. Crowder,21,31
2,10:32.0,,R. Neto makes 2-pt jump shot from 10 ft (assist by D. Favors),21,33
2,10:17.0,Personal foul by R. Neto (drawn by D. Russell),,21,33
2,10:17.0,R. Kurucs enters the game for T. Graham,,21,33
2,10:10.0,D. Carroll misses 2-pt jump shot from 8 ft (block by D. Favors),,21,33
2,10:07.0,,Defensive rebound by R. Neto,21,33
2,10:04.0,,J. Ingles misses 3-pt jump shot from 24 ft,21,33
2,10:00.0,Defensive rebound by E. Davis,,21,33
2,9:52.0,R. Kurucs makes 2-pt layup from 2 ft (assist by D. Russell),,23,33
2,9:37.0,,J. Ingles makes 2-pt layup from 2 ft,23,35
2,9:27.0,D. Carroll misses 3-pt jump shot from 26 ft,,23,35
2,9:24.0,,Defensive rebound by R. Neto,23,35
2,9:19.0,,Personal foul by R. Kurucs (drawn by J. Ingles),23,35
2,9:19.0,T. Graham enters the game for R. Kurucs,,23,35
2,9:19.0,,G. Niang enters the game for J. Crowder,23,35
2,9:10.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by J. Ingles),23,38
2,8:57.0,C. LeVert misses 3-pt jump shot from 25 ft,,23,38
2,8:52.0,,Defensive rebound by D. Favors,23,38
2,8:47.0,,R. Neto makes 2-pt layup from 3 ft,23,40
2,8:47.0,Brooklyn full timeout,,23,40
2,8:28.0,D. Russell makes 2-pt jump shot from 5 ft (assist by D. Carroll),,25,40
2,8:06.0,,Turnover by J. Ingles (bad pass),25,40
2,8:06.0,J. Dudley enters the game for D. Carroll,,25,40
2,8:06.0,,D. Mitchell enters the game for J. Ingles,25,40
2,8:06.0,,R. O'Neale enters the game for R. Neto,25,40
2,7:53.0,T. Graham misses 2-pt jump shot from 9 ft (block by K. Korver),,25,40
2,7:50.0,,Defensive rebound by K. Korver,25,40
2,7:43.0,,Turnover by D. Mitchell (bad pass; steal by J. Dudley),25,40
2,7:38.0,D. Russell misses 2-pt jump shot from 15 ft,,25,40
2,7:33.0,Offensive rebound by E. Davis,,25,40
2,7:29.0,C. LeVert misses 2-pt layup from 3 ft,,25,40
2,7:28.0,Offensive rebound by E. Davis,,25,40
2,7:28.0,Shooting foul by K. Korver (drawn by E. Davis),,25,40
2,7:28.0,D. Carroll enters the game for T. Graham,,25,40
2,7:28.0,S. Dinwiddie enters the game for C. LeVert,,25,40
2,7:28.0,,R. Gobert enters the game for D. Favors,25,40
2,7:28.0,E. Davis makes free throw 1 of 2,,26,40
2,7:28.0,E. Davis makes free throw 2 of 2,,27,40
2,7:07.0,,D. Mitchell misses 2-pt jump shot from 9 ft,27,40
2,7:05.0,Defensive rebound by E. Davis,,27,40
2,6:59.0,D. Carroll misses 2-pt jump shot from 12 ft,,27,40
2,6:57.0,Offensive rebound by D. Carroll,,27,40
2,6:57.0,D. Carroll makes 2-pt layup from 3 ft,,29,40
2,6:41.0,,K. Korver misses 2-pt jump shot from 12 ft,29,40
2,6:38.0,Defensive rebound by D. Carroll,,29,40
2,6:31.0,D. Carroll misses 2-pt layup from 4 ft (block by R. Gobert),,29,40
2,6:29.0,,Defensive rebound by G. Niang,29,40
2,6:29.0,,Personal take foul by J. Dudley (drawn by G. Niang),29,40
2,6:29.0,J. Allen enters the game for E. Davis,,29,40
2,6:29.0,,R. Rubio enters the game for K. Korver,29,40
2,6:21.0,,D. Mitchell makes 2-pt jump shot from 10 ft,29,42
2,6:08.0,Shooting foul by R. Gobert (drawn by J. Allen),,29,42
2,6:08.0,J. Allen makes free throw 1 of 2,,30,42
2,6:08.0,J. Allen makes free throw 2 of 2,,31,42
2,5:57.0,,D. Mitchell misses 2-pt jump shot from 9 ft (block by J. Allen),31,42
2,5:55.0,Defensive rebound by S. Dinwiddie,,31,42
2,5:40.0,D. Russell misses 2-pt jump shot from 17 ft,,31,42
2,5:37.0,,Defensive rebound by R. O'Neale,31,42
2,5:26.0,,G. Niang makes 2-pt jump shot from 8 ft,31,44
2,5:00.0,S. Dinwiddie misses 2-pt jump shot from 8 ft,,31,44
2,4:58.0,,Defensive rebound by R. O'Neale,31,44
2,4:55.0,,G. Niang makes 3-pt jump shot from 23 ft (assist by R. Rubio),31,47
2,4:41.0,D. Russell misses 2-pt jump shot from 7 ft,,31,47
2,4:38.0,Offensive rebound by D. Russell,,31,47
2,4:38.0,D. Russell misses 2-pt layup from 1 ft,,31,47
2,4:37.0,,Defensive rebound by R. Gobert,31,47
2,4:32.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by R. Rubio),31,49
2,4:18.0,S. Dinwiddie makes 2-pt jump shot from 9 ft,,33,49
2,3:59.0,,Shooting foul by J. Allen (drawn by R. Gobert),33,49
2,3:59.0,,R. Gobert misses free throw 1 of 2,33,49
2,3:59.0,,Offensive rebound by Team,33,49
2,3:59.0,E. Davis enters the game for J. Allen,,33,49
2,3:59.0,J. Harris enters the game for D. Carroll,,33,49
2,3:59.0,C. LeVert enters the game for D. Russell,,33,49
2,3:59.0,,J. Crowder enters the game for G. Niang,33,49
2,3:59.0,,J. Ingles enters the game for R. O'Neale,33,49
2,3:59.0,,R. Gobert makes free throw 2 of 2,33,50
2,3:43.0,S. Dinwiddie makes 2-pt layup from 3 ft,,35,50
2,3:31.0,,D. Mitchell makes 3-pt jump shot from 25 ft,35,53
2,3:10.0,C. LeVert misses 2-pt jump shot from 17 ft,,35,53
2,3:08.0,,Defensive rebound by D. Mitchell,35,53
2,3:00.0,,D. Mitchell makes 2-pt layup from 7 ft,35,55
2,2:58.0,Brooklyn full timeout,,35,55
2,2:58.0,D. Carroll enters the game for J. Dudley,,35,55
2,2:50.0,J. Harris misses 2-pt jump shot from 5 ft (block by R. Gobert),,35,55
2,2:47.0,,Defensive rebound by J. Crowder,35,55
2,2:44.0,,R. Rubio misses 2-pt jump shot from 16 ft,35,55
2,2:40.0,,Offensive rebound by R. Rubio,35,55
2,2:39.0,,R. Rubio misses 2-pt jump shot from 13 ft,35,55
2,2:37.0,Defensive rebound by D. Carroll,,35,55
2,2:21.0,S. Dinwiddie makes 2-pt layup from 2 ft,,37,55
2,1:57.0,,Shooting foul by S. Dinwiddie (drawn by R. Rubio),37,55
2,1:57.0,,R. Rubio makes free throw 1 of 2,37,56
2,1:57.0,,R. Rubio makes free throw 2 of 2,37,57
2,1:34.0,S. Dinwiddie makes 2-pt layup from 3 ft,,39,57
2,1:17.0,,D. Mitchell misses 2-pt jump shot from 8 ft,39,57
2,1:15.0,,Offensive rebound by D. Mitchell,39,57
2,1:12.0,,D. Mitchell misses 2-pt jump shot from 5 ft,39,57
2,1:11.0,Defensive rebound by E. Davis,,39,57
2,1:06.0,D. Carroll makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),,42,57
2,0:50.0,,Shooting foul by E. Davis (drawn by R. Rubio),42,57
2,0:50.0,,R. Rubio makes free throw 1 of 2,42,58
2,0:50.0,,R. Rubio makes free throw 2 of 2,42,59
2,0:38.0,Personal foul by R. Rubio (drawn by S. Dinwiddie),,42,59
2,0:34.0,Offensive foul by E. Davis (drawn by R. Rubio),,42,59
2,0:34.0,Turnover by E. Davis (offensive foul),,42,59
2,0:22.0,,J. Crowder misses 3-pt jump shot from 25 ft,42,59
2,0:19.0,,Offensive rebound by D. Mitchell,42,59
2,0:10.0,,D. Mitchell misses 3-pt jump shot from 25 ft,42,59
2,0:07.0,Defensive rebound by E. Davis,,42,59
2,0:02.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,42,59
2,0:02.0,,Defensive rebound by D. Mitchell,42,59
3,11:40.0,,J. Ingles misses 2-pt layup from 8 ft (block by J. Allen),42,59
3,11:38.0,Defensive rebound by D. Russell,,42,59
3,11:35.0,R. Kurucs misses 3-pt jump shot from 25 ft,,42,59
3,11:35.0,,Defensive rebound by R. Gobert,42,59
3,11:24.0,,D. Favors misses 3-pt jump shot from 23 ft,42,59
3,11:21.0,Defensive rebound by J. Allen,,42,59
3,11:11.0,D. Russell misses 2-pt layup from 2 ft,,42,59
3,11:10.0,,Defensive rebound by D. Favors,42,59
3,11:05.0,,R. Rubio makes 2-pt jump shot from 14 ft,42,61
3,10:55.0,Personal foul by D. Mitchell (drawn by D. Russell),,42,61
3,10:40.0,J. Harris misses 2-pt jump shot from 15 ft,,42,61
3,10:38.0,,Defensive rebound by J. Ingles,42,61
3,10:28.0,,R. Gobert misses 2-pt hook shot from 4 ft,42,61
3,10:25.0,Defensive rebound by R. Kurucs,,42,61
3,10:22.0,D. Russell makes 3-pt jump shot from 25 ft (assist by R. Kurucs),,45,61
3,10:01.0,,R. Rubio misses 2-pt jump shot from 8 ft,45,61
3,10:00.0,Defensive rebound by R. Kurucs,,45,61
3,9:47.0,D. Russell misses 2-pt layup from 2 ft,,45,61
3,9:45.0,,Defensive rebound by D. Favors,45,61
3,9:37.0,,R. Gobert misses 2-pt hook shot from 8 ft,45,61
3,9:35.0,,Offensive rebound by R. Gobert,45,61
3,9:35.0,,Turnover by D. Favors (out of bounds lost ball),45,61
3,9:26.0,J. Harris makes 2-pt layup from 2 ft (assist by D. Russell),,47,61
3,9:01.0,,D. Mitchell makes 2-pt layup from 2 ft,47,63
3,8:49.0,D. Russell misses 2-pt jump shot from 14 ft,,47,63
3,8:46.0,,Defensive rebound by D. Favors,47,63
3,8:40.0,,D. Mitchell misses 3-pt jump shot from 25 ft,47,63
3,8:37.0,,Offensive rebound by D. Favors,47,63
3,8:35.0,,R. Rubio misses 3-pt jump shot from 25 ft,47,63
3,8:30.0,,Offensive rebound by R. Gobert,47,63
3,8:30.0,,R. Gobert makes 2-pt layup from 1 ft,47,65
3,8:12.0,C. LeVert misses 2-pt jump shot from 10 ft,,47,65
3,8:10.0,,Defensive rebound by R. Rubio,47,65
3,8:05.0,,R. Rubio misses 2-pt jump shot from 13 ft,47,65
3,8:02.0,,Offensive rebound by R. Gobert,47,65
3,8:02.0,,R. Gobert makes 2-pt dunk from 1 ft,47,67
3,8:02.0,Brooklyn full timeout,,47,67
3,7:53.0,J. Allen misses 3-pt jump shot from 23 ft,,47,67
3,7:50.0,,Defensive rebound by D. Mitchell,47,67
3,7:42.0,,D. Mitchell makes 2-pt jump shot from 8 ft,47,69
3,7:28.0,C. LeVert makes 2-pt jump shot from 10 ft,,49,69
3,7:06.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Rubio),49,71
3,6:55.0,C. LeVert misses 2-pt jump shot from 10 ft,,49,71
3,6:52.0,,Defensive rebound by R. Rubio,49,71
3,6:52.0,,Personal foul by C. LeVert (drawn by R. Rubio),49,71
3,6:52.0,S. Dinwiddie enters the game for R. Kurucs,,49,71
3,6:52.0,T. Graham enters the game for C. LeVert,,49,71
3,6:52.0,,J. Crowder enters the game for D. Favors,49,71
3,6:52.0,,R. O'Neale enters the game for J. Ingles,49,71
3,6:37.0,,R. Gobert makes 2-pt layup from 3 ft (assist by R. O'Neale),49,73
3,6:22.0,D. Russell misses 3-pt jump shot from 25 ft,,49,73
3,6:20.0,,Defensive rebound by Team,49,73
3,6:20.0,,K. Korver enters the game for R. Rubio,49,73
3,6:04.0,,D. Mitchell makes 2-pt jump shot from 14 ft,49,75
3,5:45.0,D. Russell makes 3-pt jump shot from 27 ft (assist by T. Graham),,52,75
3,5:20.0,,Shooting foul by T. Graham (drawn by R. Gobert),52,75
3,5:20.0,,R. Gobert misses free throw 1 of 2,52,75
3,5:20.0,,Offensive rebound by Team,52,75
3,5:20.0,D. Carroll enters the game for D. Russell,,52,75
3,5:20.0,,R. Gobert misses free throw 2 of 2,52,75
3,5:19.0,Defensive rebound by T. Graham,,52,75
3,5:00.0,Turnover by S. Dinwiddie (lost ball; steal by D. Mitchell),,52,75
3,4:54.0,,D. Mitchell misses 3-pt jump shot from 25 ft,52,75
3,4:53.0,Defensive rebound by J. Harris,,52,75
3,4:39.0,S. Dinwiddie makes 3-pt jump shot from 23 ft,,55,75
3,4:16.0,,Turnover by D. Mitchell (bad pass; steal by J. Allen),55,75
3,4:03.0,S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by D. Carroll),,58,75
3,4:00.0,,Utah full timeout,58,75
3,4:00.0,E. Davis enters the game for J. Allen,,58,75
3,4:00.0,T. Pinson enters the game for J. Harris,,58,75
3,4:00.0,,D. Favors enters the game for R. Gobert,58,75
3,4:00.0,,J. Ingles enters the game for D. Mitchell,58,75
3,4:00.0,,R. Neto enters the game for R. O'Neale,58,75
3,3:44.0,,K. Korver misses 3-pt jump shot from 25 ft,58,75
3,3:42.0,Defensive rebound by E. Davis,,58,75
3,3:36.0,Offensive foul by E. Davis (drawn by R. Neto),,58,75
3,3:36.0,Turnover by E. Davis (offensive foul),,58,75
3,3:26.0,,Shooting foul by T. Pinson (drawn by D. Favors),58,75
3,3:26.0,,D. Favors misses free throw 1 of 2,58,75
3,3:26.0,,Offensive rebound by Team,58,75
3,3:26.0,,D. Favors makes free throw 2 of 2,58,76
3,3:16.0,Personal foul by R. Neto (drawn by S. Dinwiddie),,58,76
3,3:10.0,T. Graham misses 3-pt jump shot from 23 ft,,58,76
3,3:07.0,,Defensive rebound by D. Favors,58,76
3,3:00.0,,R. Neto makes 3-pt jump shot from 23 ft (assist by K. Korver),58,79
3,2:40.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,58,79
3,2:37.0,Offensive rebound by E. Davis,,58,79
3,2:36.0,D. Carroll misses 3-pt jump shot from 25 ft,,58,79
3,2:36.0,Offensive rebound by Team,,58,79
3,2:35.0,,Loose ball foul by R. Neto (drawn by T. Graham),58,79
3,2:28.0,T. Graham makes 3-pt jump shot from 23 ft (assist by E. Davis),,61,79
3,2:18.0,,Personal foul by T. Graham (drawn by J. Ingles),61,79
3,2:18.0,,Offensive foul by K. Korver (drawn by T. Graham),61,79
3,2:18.0,,Turnover by K. Korver (offensive foul),61,79
3,2:03.0,S. Dinwiddie misses 2-pt layup from 7 ft,,61,79
3,2:02.0,,Defensive rebound by J. Ingles,61,79
3,1:44.0,,Turnover by J. Ingles (bad pass; steal by T. Graham),61,79
3,1:37.0,S. Dinwiddie makes 3-pt jump shot from 24 ft (assist by D. Carroll),,64,79
3,1:35.0,,Utah full timeout,64,79
3,1:35.0,,R. O'Neale enters the game for K. Korver,64,79
3,1:18.0,,R. Neto misses 2-pt jump shot from 13 ft,64,79
3,1:15.0,,Offensive rebound by D. Favors,64,79
3,1:12.0,,D. Favors misses 2-pt dunk from 2 ft,64,79
3,1:11.0,,Offensive rebound by Team,64,79
3,0:57.0,,R. O'Neale misses 3-pt jump shot from 26 ft,64,79
3,0:54.0,,Offensive rebound by Team,64,79
3,0:46.0,,R. Neto misses 3-pt jump shot from 23 ft,64,79
3,0:45.0,,Offensive rebound by Team,64,79
3,0:45.0,Loose ball foul by D. Carroll (drawn by D. Favors),,64,79
3,0:45.0,,D. Favors makes free throw 1 of 2,64,80
3,0:45.0,,D. Favors makes free throw 2 of 2,64,81
3,0:32.0,S. Dinwiddie misses 2-pt layup from 3 ft (block by D. Favors),,64,81
3,0:32.0,Offensive rebound by Team,,64,81
3,0:32.0,Technical foul by S. Dinwiddie,,64,81
3,0:32.0,,J. Ingles misses technical free throw,64,81
3,0:32.0,Defensive rebound by Team,,64,81
3,0:24.0,D. Carroll misses 3-pt jump shot from 25 ft,,64,81
3,0:20.0,,Defensive rebound by R. Neto,64,81
3,0:02.0,,D. Favors makes 2-pt jump shot from 11 ft (assist by J. Ingles),64,83
3,0:00.0,T. Pinson misses 3-pt jump shot from 64 ft,,64,83
3,0:00.0,Offensive rebound by Team,,64,83
4,12:00.0,Away from play foul by J. Crowder (drawn by D. Russell),,64,83
4,12:00.0,D. Russell makes free throw 1 of 1,,65,83
4,11:49.0,Personal foul by R. Neto (drawn by D. Russell),,65,83
4,11:43.0,D. Russell misses 2-pt jump shot from 9 ft,,65,83
4,11:39.0,,Defensive rebound by D. Favors,65,83
4,11:28.0,,Shooting foul by J. Allen (drawn by R. Neto),65,83
4,11:28.0,,R. Neto makes free throw 1 of 2,65,84
4,11:28.0,,R. Neto makes free throw 2 of 2,65,85
4,11:18.0,D. Russell makes 2-pt layup from 9 ft,,67,85
4,10:57.0,,D. Favors makes 2-pt dunk from 3 ft (assist by R. Neto),67,87
4,10:45.0,Turnover by D. Russell (out of bounds lost ball),,67,87
4,10:45.0,,K. Korver enters the game for R. O'Neale,67,87
4,10:35.0,,Personal foul by C. LeVert (drawn by J. Crowder),67,87
4,10:28.0,,J. Ingles misses 3-pt jump shot from 25 ft,67,87
4,10:26.0,,Offensive rebound by Team,67,87
4,10:23.0,,K. Korver misses 3-pt jump shot from 23 ft (block by R. Kurucs),67,87
4,10:20.0,Defensive rebound by D. Russell,,67,87
4,10:18.0,Shooting foul by J. Crowder (drawn by S. Dinwiddie),,67,87
4,10:18.0,S. Dinwiddie makes free throw 1 of 3,,68,87
4,10:18.0,S. Dinwiddie makes free throw 2 of 3,,69,87
4,10:18.0,S. Dinwiddie makes free throw 3 of 3,,70,87
4,10:05.0,,Turnover by R. Neto (bad pass; steal by D. Russell),70,87
4,10:02.0,D. Russell makes 2-pt layup from 3 ft (assist by C. LeVert),,72,87
4,9:46.0,,J. Crowder makes 3-pt jump shot from 23 ft (assist by J. Ingles),72,90
4,9:46.0,,Shooting foul by R. Kurucs (drawn by J. Crowder),72,90
4,9:46.0,,R. Gobert enters the game for D. Favors,72,90
4,9:46.0,,D. Mitchell enters the game for R. Neto,72,90
4,9:46.0,,J. Crowder makes free throw 1 of 1,72,91
4,9:35.0,D. Russell misses 2-pt jump shot from 14 ft,,72,91
4,9:32.0,,Defensive rebound by J. Ingles,72,91
4,9:23.0,,Shooting foul by J. Allen (drawn by R. Gobert),72,91
4,9:23.0,Brooklyn full timeout,,72,91
4,9:23.0,J. Dudley enters the game for J. Allen,,72,91
4,9:23.0,T. Graham enters the game for S. Dinwiddie,,72,91
4,9:23.0,R. Hollis-Jefferson enters the game for R. Kurucs,,72,91
4,9:23.0,T. Pinson enters the game for D. Russell,,72,91
4,9:23.0,,R. Gobert makes free throw 1 of 2,72,92
4,9:23.0,,R. Gobert misses free throw 2 of 2,72,92
4,9:21.0,Defensive rebound by R. Hollis-Jefferson,,72,92
4,9:06.0,C. LeVert makes 2-pt layup from 2 ft (assist by J. Dudley),,74,92
4,8:52.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Ingles),74,94
4,8:39.0,C. LeVert makes 2-pt jump shot from 8 ft,,76,94
4,8:27.0,,Turnover by D. Mitchell (lost ball; steal by C. LeVert),76,94
4,8:22.0,T. Pinson makes 2-pt layup from 3 ft (assist by C. LeVert),,78,94
